,County Pair,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,% Enrolled in Free or Reduced Lunch,Median Household Income,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,Cig Tax Rate
0,Baldwin/Escambia,-1.0,1.0,0.7000000000000002,-4.0,1.0,-1.0,8.0,-376.50000000000006,-3.0,-2.0,-19.0,-102.0,5.0,7.0,-3.0,-2.0,1.0,0.0,-0.5,-11.0,0.40000000000000036,-456.0,1.4000000000000004,0.20000000000000018,-13.0,0.0,0.0,9.0,15.0,0.5,3.8999999999999986,-14.200000000000001,-2.1999999999999997,-0.1,-0.09999999999999998,-1.2000000000000002,19.200000000000003,0.0,13.0,-1.0,-14.0,7049.0,-5.0,-7.0,-1.0,-3.0,0.0,-1.0,2.9000000000000057,-0.07695133501066667
1,Chambers/Harris,7.0,11.0,-2.2,9.0,47.0,-5.0,3.0,369.9,27.0,4.0,1.0,-17.0,-5.0,-1.0,11.0,4.0,-10.0,-21.0,-0.20000000000000018,19.0,0.5,405.0,8.500000000000002,-0.10000000000000142,27.0,0.0,5.0,0.0,-10.0,-0.5,0.8999999999999986,23.499999999999996,-0.09999999999999987,-0.1,-0.2,-1.2999999999999998,-21.4,0.0,-21.0,-14.0,36.0,-32037.0,4.0,10.0,6.0,2.0,5.0,5.0,-4.400000000000006,0.04063717258947033
2,Chambers/Troup,1.0,-8.0,-0.39999999999999947,-2.0,-11.0,-2.0,10.0,-80.5,1.0,-11.0,-43.0,-127.0,-3.0,1.0,3.0,2.0,-1.0,-1.0,-0.30000000000000027,3.0,-1.1000000000000005,197.0,6.200000000000001,0.09999999999999964,19.0,0.0,-3.0,3.0,1.0,-3.5,5.0,3.5999999999999943,-1.1999999999999997,-0.2,-0.10000000000000003,-1.1,-0.6999999999999957,-1.0,10.0,-4.0,3.0,-5281.0,1.0,3.0,1.0,5.0,3.0,2.0,-0.7000000000000028,0.04063717258947033
3,Cherokee/Chattooga,-2.0,4.0,0.10000000000000053,6.0,-8.0,-1.0,-4.0,-25.100000000000023,-23.0,30.0,-25.0,-9.0,-1.0,6.0,-2.0,0.0,8.0,12.0,-2.1,0.0,0.39999999999999947,194.0,-0.8000000000000007,0.40000000000000036,8.0,0.0,-4.0,-3.0,6.0,-3.5,5.899999999999999,-5.4,-0.19999999999999996,-0.3,0.19999999999999996,-3.8,9.200000000000003,-2.0,9.0,1.0,-10.0,4421.0,-3.0,-3.0,1.0,2.0,0.0,-1.0,1.0,0.04063717258947033
4,Cherokee/Floyd,3.0,4.0,0.5,-3.0,-25.0,0.0,14.0,-114.30000000000001,4.0,-93.0,-26.0,-108.0,-5.0,0.0,1.0,-1.0,0.0,-1.0,-0.8999999999999999,-1.0,0.09999999999999964,-8.0,-1.6999999999999993,1.0,21.0,0.0,-4.0,1.0,17.0,-4.0,6.5,-10.3,-1.2000000000000002,-0.3,-0.10000000000000009,-9.9,21.10000000000001,-2.0,16.0,-7.0,-13.0,-4538.0,-1.0,-9.0,2.0,2.0,3.0,1.0,-0.7000000000000028,0.04063717258947033
5,Cherokee/Polk,1.0,-4.0,0.0,-3.0,-47.0,-1.0,11.0,-67.10000000000002,-10.0,10.0,-11.0,-47.0,-5.0,3.0,0.0,-1.0,3.0,4.0,-0.7000000000000002,0.0,0.2999999999999998,-239.0,-2.3000000000000007,0.40000000000000036,6.0,0.0,-6.0,-1.0,9.0,-6.5,7.800000000000001,-8.1,-0.4,-0.2,-0.20000000000000007,-11.9,20.10000000000001,-4.0,12.0,-4.0,-23.0,-1914.0,0.0,-5.0,2.0,-1.0,2.0,1.0,0.7000000000000028,0.04063717258947033
6,Choctaw/Lauderdale,1.0,10.0,0.0,4.0,-23.0,0.0,54.0,-447.4,-3.0,-57.0,-19.0,-298.0,-4.0,-5.0,3.0,-2.0,-4.0,-5.0,-0.7999999999999998,-2.0,0.10000000000000053,-231.0,6.4,-0.29999999999999893,12.0,0.0,-4.0,2.0,28.0,-3.6000000000000014,5.800000000000001,-2.1999999999999957,-0.6000000000000001,0.0,-0.09999999999999998,-1.2999999999999998,4.299999999999997,0.0,17.0,-10.0,6.0,-1796.0,3.0,-4.0,2.0,6.0,2.0,1.0,-0.20000000000000284,-0.0017548392653359834
7,Colbert/Tishomingo,-3.0,-2.0,-0.40000000000000036,-6.0,5.0,0.0,-7.0,231.2,-1.0,33.0,44.0,-72.0,1.0,-2.0,-3.0,0.0,5.0,3.0,-1.3999999999999995,-3.0,0.0,374.0,11.100000000000001,-0.9000000000000004,-48.0,0.0,3.0,1.0,-1.0,-0.6000000000000014,-0.8000000000000007,13.6,0.49999999999999994,0.1,0.29999999999999993,-0.19999999999999973,-15.099999999999994,1.0,-4.0,4.0,-10.0,3342.0,3.0,7.0,-1.0,-4.0,-1.0,-3.0,2.0999999999999943,-0.0017548392653359834
8,Covington/Okaloosa,3.0,9.0,-0.5999999999999996,8.0,-25.0,-6.0,-5.0,-113.69999999999999,15.0,-27.0,-44.0,-94.0,-2.0,2.0,5.0,2.0,-9.0,-16.0,0.6999999999999997,11.0,1.0999999999999996,-64.0,3.700000000000001,0.40000000000000036,-3.0,0.0,-3.0,7.0,-5.0,-0.1999999999999993,5.099999999999998,2.5999999999999996,-2.7,-0.2,0.10000000000000009,-7.799999999999999,10.099999999999994,-2.0,11.0,-13.0,10.0,-18684.0,-1.0,-6.0,6.0,5.0,3.0,3.0,-4.299999999999997,-0.07695133501066667
9,Covington/Walton,1.0,4.0,-0.7999999999999998,6.0,-16.0,-5.0,-12.0,49.89999999999998,10.0,-6.0,-8.0,-3.0,2.0,-1.0,4.0,2.0,-6.0,-7.0,0.6000000000000001,9.0,0.5,-31.0,2.0,0.40000000000000036,6.0,-1.0,-6.0,12.0,-13.0,1.6000000000000014,1.1999999999999993,7.4,-0.8999999999999999,-0.2,0.0,-4.6,-0.9000000000000057,-1.0,-1.0,-11.0,3.0,-17764.0,-2.0,-2.0,5.0,4.0,2.0,1.0,-5.200000000000003,-0.07695133501066667
