,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,% Enrolled in Free or Reduced Lunch,Median Household Income,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,Cig Tax Rate
% Smokers,0.9999999999999998,0.5201001539259325,-0.5318132919785814,0.6660465869967466,-0.49320813205921377,-0.3623371307886131,-0.00994426676126742,0.07264306653125639,0.6084226022114303,-0.40054417065806636,-0.4321164707877617,-0.2020926030186457,-0.23775714510760024,-0.3222235864482446,0.7016526009958323,0.364699688414838,-0.4772939913585698,-0.6587589147023626,0.43279373642795516,0.6515688185938004,0.28982231920582513,0.05405705634300752,0.0715695485646284,0.21019772032828238,0.501160048232535,-0.08968478307709844,-0.1567800073959114,0.2937723857623553,0.06619825670009274,-0.06282874302358107,0.1908754054278171,0.14766573350467427,-0.48362619137886564,-0.2112961173044661,0.1849108251171397,-0.36100609646447374,0.15611732341922213,-0.3419819928327284,0.1264287560800792,-0.6751702391033557,0.49135366196522545,-0.7320318329581312,0.6334251988194122,0.12276225175630472,0.6438478875577645,0.5640383292407247,0.8505524507652344,0.7847727165213066,-0.7363460244012849,-0.2612743923007727
% Adults with Obesity,0.5201001539259325,1.0,-0.3235881687894603,0.5843418269555447,-0.37353745870465926,-0.28785358904225605,0.005670789687798597,0.19773858982044693,0.3779356152889133,-0.33333760316474415,-0.3237419306099911,-0.23130925592765927,-0.05343791650498832,-0.14559907452437965,0.4375251305198698,0.3030964058242253,-0.3073780348180708,-0.3889578992846199,0.25842180325175507,0.3965986966760148,0.14804121814462468,0.10660051382228294,0.0831411693722698,0.220805394880284,0.19476912709431668,-0.06707031779685199,-0.17899273331253038,0.39988025763111545,0.052890572535668375,0.17459320422366437,-0.05678616028370247,0.3221878810074059,-0.3374183762256571,-0.09794754800289518,0.07852288940169891,-0.1968599414631375,-0.0656945915835895,-0.19288285740238867,0.05446929265884558,-0.4181268824919139,0.372416689887129,-0.43687042005156984,0.44185145721580527,0.08402609073799824,0.38614224303270384,0.5560258959516046,0.44803089027982484,0.42639873444166154,-0.5314573093197612,-0.24124196949631366
Food Environment Index,-0.5318132919785815,-0.3235881687894603,0.9999999999999999,-0.4710926739385228,0.33648082554165326,0.5423380555817497,0.0600123215251234,-0.37869741463680806,-0.6497374485971558,0.22488012654365666,0.2098642630842754,-0.023573257544046714,0.48262660107869615,0.43040535178451306,-0.751572500005133,-0.48722384081059256,0.5276355347487967,0.514097620438228,-0.4909192135830311,-0.7635138244491404,-0.49835434049004473,-0.31806390234823373,0.14915179205133214,-0.11166806524154822,-0.41091464996916305,-0.08548220555761406,-0.2680528189854006,-0.10339843447379439,0.12003654967144549,-0.054881899581853855,-0.05710824102681688,-0.3537603639312089,0.25344713346028996,0.0062954437825652075,-0.2679132523235629,-0.11837812443438081,0.3808070822513742,-0.018675747198256754,0.2478782942046865,0.5990827359721438,-0.6669640415317829,0.6899735638255177,-0.46554182315208437,-0.7195637863642221,-0.8775573348723186,-0.4419244054294121,-0.6482232484864958,-0.7385713351491067,0.6132024346311059,0.22500697823432567
% Physically Inactive,0.6660465869967467,0.5843418269555447,-0.4710926739385228,1.0,-0.4536275862029368,-0.4289917102325791,-0.09252519566611997,0.13053911287978984,0.5559675695727967,-0.3901240084885589,-0.4093141430838097,-0.2570912197765496,-0.2413137467540518,-0.25782048285746306,0.6071826607278207,0.3911997821845579,-0.46872058270211736,-0.5627052409341632,0.26175683238392783,0.5552055505889361,0.24885245792208316,0.1411340896519779,0.05722376022575845,0.2877926070275165,0.32761951796092814,-0.08043796545917553,-0.1268386922504489,0.3284023155564526,0.11699942025498106,0.060432712528363276,0.11761950788630501,0.29185438514977535,-0.349661655728703,-0.130574307770381,0.024010366051437405,-0.1709942345116742,-0.04192348965745274,-0.15511965915269038,0.08202150861577358,-0.5562191593000683,0.4981235378972088,-0.571851980371435,0.552870508921712,0.11722910873447472,0.5658784563513894,0.6079389271107686,0.6214112745955118,0.5994252619270446,-0.6501579135185648,-0.3392684020333445
% With Access to Exercise Opportunities,-0.4932081320592138,-0.37353745870465926,0.3364808255416533,-0.45362758620293675,1.0,0.2993081559530697,0.016347893769510336,0.031039200839153402,-0.37340743325162307,0.43438247325204943,0.4908135941502477,0.32529895439725115,0.23951398929763654,0.3226221641898595,-0.4624708634415668,-0.22093794654154889,0.3963880328847511,0.499875598936952,-0.14755298276198003,-0.40710989997099284,-0.15789806168790196,0.07372775751601349,-0.04469557851029191,-0.11241433251392514,-0.27578835188106826,0.05731271484591651,0.19809712371167718,-0.18828576176397674,-0.19812974015985826,-0.06617044373673267,-0.13861414967639116,-0.1777010259589279,0.39195082848644536,0.11337668451225415,-0.09892327862996271,0.1317172123557786,0.003136758739114524,0.19123223685446722,-0.2712344293353885,0.5537534133324175,-0.3495794750760706,0.45638827037960106,-0.30851978209570646,-0.10650819238237498,-0.3893756194353672,-0.41222536160267076,-0.4684828232669429,-0.46171393424342166,0.4243381090009126,0.29243513389311515
% Excessive Drinking,-0.36233713078861307,-0.28785358904225605,0.5423380555817497,-0.42899171023257904,0.29930815595306964,1.0,0.20059197028897813,-0.2965255527940479,-0.5159122786883834,0.19901029009939594,0.22601091602822304,0.0139003337753201,0.45453659034799193,0.17651755412886005,-0.6825348787863587,-0.5301993930937631,0.5323797931208757,0.43554422468614573,-0.2363639893545719,-0.5350264062125665,-0.36309742520265803,-0.2347656006096394,0.2461780371586962,-0.35220175747659965,-0.2309189055815031,-0.015229555256222351,-0.17912123441821182,-0.17681025741349837,-0.12227843190796606,-0.18885626700068395,0.18887202241963824,-0.40932388208639975,0.043398166899267336,-0.07282754341858712,-0.028197257944187898,-0.09509831960469979,0.36245995762320393,-0.09175151208210328,0.1943614114727572,0.39956105937054137,-0.537062721626432,0.3869153318497912,-0.614896110451783,-0.1676938135535459,-0.6304169191302826,-0.4325069591019983,-0.622360483042867,-0.6389676815480949,0.5310670421957004,0.35783835903272326
% Driving Deaths with Alcohol Involvement,-0.00994426676126742,0.005670789687798597,0.0600123215251234,-0.09252519566611998,0.016347893769510336,0.20059197028897813,1.0,0.026050043120867557,-0.08749737306566668,0.031476192308392395,0.07050797930157847,0.07919904730851338,0.08796201046921014,-0.0411800218719277,-0.09889246898334572,-0.05824589618520545,0.12344404719590298,0.07226620904849362,0.07858898506217966,-0.044548450716518286,-0.04513554856033311,-0.035923845923831216,0.01204582791697023,-0.1368776983754734,0.08603448876103659,0.015753139187715096,-0.0036339324798970174,-0.05277933596041719,-0.006169268752123735,-0.06941610830434561,0.06682680836248661,-0.021437689015815616,-0.03737569867044511,0.005442378525091925,0.1724450973599111,-0.0903708707033413,0.025429233643236418,-0.08686907707227261,0.042500271838465685,0.04910315834478893,-0.06526029390045418,0.024318722080856055,-0.09858289804246592,-0.008168300295656522,-0.08236162981524758,-0.033176167472002284,-0.064653968224694,-0.06147805754316418,0.03636452780494653,0.10692518938418963
Chlamydia Rate,0.07264306653125639,0.19773858982044693,-0.37869741463680806,0.13053911287978984,0.031039200839153402,-0.29652555279404796,0.02605004312086756,0.9999999999999999,0.2985302261934064,0.08071511397471891,0.16451112626496406,0.2007661975905102,-0.08974176359149692,0.019943247793325673,0.3367124748662897,0.5195234809710344,-0.22256660955848534,-0.07099538641737359,0.13144214917469066,0.41163365401661756,0.4472298509147341,0.5725541353619956,-0.14636111275275487,0.22336696169731232,-0.0004925793113696984,0.03748945378034189,0.4347839157377885,0.01993802157931031,-0.08951423455921607,0.18177285622260989,-0.38614114182553855,0.6792257636761598,0.16041703412632596,0.10430792786883358,0.22060491868915236,0.1395729821024283,-0.6734100740939307,0.15829967274218723,-0.6110180652686652,-0.17357880155519037,0.4403897016904005,-0.19632979619539012,0.26538250441086725,0.24784214974063934,0.34887167127251717,0.20031631214199694,0.14608413029108575,0.23420872334418655,-0.288423316220266,-0.14895483846208468
Teen Birth Rate,0.6084226022114303,0.3779356152889133,-0.6497374485971558,0.5559675695727967,-0.37340743325162307,-0.5159122786883835,-0.0874973730656667,0.2985302261934064,1.0,-0.3516971771680626,-0.3023625553496711,-0.12731123371940334,-0.5239149125987264,-0.42104553802536754,0.7964056249713312,0.44879273550096027,-0.7057438200103765,-0.6897784984313213,0.35023963612202386,0.7137696472922084,0.32256741170014397,0.3026079627155818,-0.08636570656031664,0.1592541677920116,0.41165117944862956,0.027580969413829377,0.056987779883266386,0.21335687773500459,-0.0987636824444884,0.3113133668781128,-0.04756514128988451,0.22415522242210859,-0.29491312286363003,0.008517688193555356,0.22829391626814238,0.22349044837849036,-0.34005397925803954,0.14438840542886483,-0.1331183988492752,-0.6128891546642521,0.6827581855223614,-0.6335888902923591,0.48185460132995933,0.2660075213726599,0.7089524739066239,0.48285294530247447,0.6470625219187491,0.7389011785157922,-0.6976549264514319,-0.28059113437336514
Primary Care Physicians Rate,-0.4005441706580663,-0.33333760316474415,0.22488012654365666,-0.39012400848855894,0.4343824732520495,0.19901029009939591,0.031476192308392395,0.08071511397471891,-0.3516971771680626,0.9999999999999998,0.6043794987538464,0.42030133788573354,0.2680325271182098,0.2577969479057282,-0.3854217635892523,-0.12029432628164177,0.3732496961391605,0.49097960434084226,-0.17084736932260347,-0.27981227204403797,0.03682221935116358,0.06895048978105385,0.07780700242615027,-0.13524549819652273,-0.13761127901731635,0.037067095139010436,0.15244069009984934,-0.2217085076382112,-0.3092902340627192,-0.10810649541524733,-0.043714223307933585,-0.05181202197923697,0.3509233996221271,0.05693782506937608,-0.024477997768861774,-0.026711084809974195,0.0076927082004155205,0.035142152593806014,-0.2850801972944548,0.3780113792339535,-0.2903594124494847,0.3209224960142227,-0.2853416573556082,-0.05877144368146884,-0.26711622953450076,-0.30563793462108996,-0.3659974132142133,-0.37366932147235093,0.32106630548563314,0.17753215477501236
