,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,0,0,0,1,1000,Alabama,,,82249,9820,9718,9922,,5145.0,4094.0,6196.0,,3383.0,2898.0,3867.0,,12214.0,12000.0,12428.0,,4321.0,4003.0,4639.0,,9248.0,9126.0,9371.0,,21,20,23,,4.4,4.1,4.7,,4.9,4.6,5.2,,,10,10,10,,9.0,8.0,11.0,9.0,9.0,10.0,16.0,15.0,16.0,7.0,7.0,7.0,8.0,8.0,8.0,20,19,21,,36,,,,5.5,,29,,,,61,,15,14,16,,1280,4764,27,26,28,,28437,583.4,,29,29,29,,15.0,12.0,18.0,5.0,4.0,6.0,35.0,35.0,36.0,51.0,49.0,53.0,25.0,24.0,25.0,470052,12,12,12,,3187.0,65.0,1534.0,,2446.0,50.0,2005.0,,5310.0,108.0,923.0,,5466,,8887.0,2557.0,6844.0,4518.0,5220.0,40,,35.0,33.0,40.0,30.0,40.0,43,,44.0,43.0,31.0,34.0,46.0,2861955,3320877,86,86,86,,749416,1234335,61,60.0,61.0,,67265,2241752,3.0,,22,21,23,,20.0,11.0,40.0,39.0,14.0,103239,19709,5.2,,347950,1093711,32,31,32,,6022,12.3,,23307.0,480.0,,20599,84,83,86,,37.0,28.0,48.0,25.0,20.0,30.0,80.0,78.0,82.0,40.0,37.0,44.0,91.0,90.0,92.0,9.2,,,,14,14,14,12,12,12,2,2,2,1,1,1,,86,85,86,,81.0,70.0,91.0,77.0,75.0,79.0,84.0,84.0,84.0,77.0,76.0,78.0,87.0,87.0,87.0,2073072,35,34,35,,
1,1,1,1,2,1001,Alabama,Autauga,,787,7830,6998,8662,-1.52,,,,,,,,,10729.0,8641.0,12816.0,,,,,,7245.0,6301.0,8190.0,,20,17,22,-1.23,4.5,4.1,4.9,-0.98,4.9,4.5,5.2,-1.55,,9,8,10,-0.69,,,,,,,14.0,12.0,16.0,,,,8.0,7.0,9.0,20,17,23,-1.33,33,27.0,39.0,-1.11,6.7,-0.04,31,25.0,37.0,-0.27,69,-1.15,14,14,15,0.14,19,57,33,26,40,0.39,280,504.5,-0.24,24,21,26,-1.22,,,,,,,29.0,23.0,36.0,,,,23.0,20.0,26.0,4693,10,9,11,-1.45,26.0,47.0,2139.0,-0.06,19.0,34.0,2940.0,-0.08,16.0,29.0,3492.0,0.55,6650,0.51,,,9081.0,,6293.0,39,-0.12,,,35.0,,40.0,42,-0.28,,,32.0,42.0,43.0,33076,37367,89,87,90,-1.41,8689,14362,60,54.0,67.0,-0.84,714,26172,2.7,-0.76,16,11,21,-1.26,,11.0,56.0,4.0,16.0,109062,21425,5.1,-0.22,3267,13205,25,20,30,-0.78,68,12.2,-0.33,149.0,272.0,-0.63,190,68,59,78,-1.43,,,,,,,47.0,31.0,69.0,,,,76.0,64.0,88.0,10.4,1.05,No,-0.34,14,11,16,12,10,14,1,0,2,2,1,3,0.13,86,83,88,-0.02,,,,,,,80.0,74.0,85.0,,,,82.0,78.0,87.0,24635,38,34,42,-0.01,
2,2,2,2,3,1003,Alabama,Baldwin,,3147,7680,7237,8124,-1.59,,,,,,,,,10269.0,8724.0,11814.0,,4223.0,2907.0,5931.0,,7708.0,7207.0,8208.0,,16,14,19,-2.1,3.6,3.3,4.1,-2.72,4.8,4.4,5.2,-1.79,,8,8,9,-1.11,,,,9.0,5.0,13.0,15.0,13.0,16.0,6.0,5.0,7.0,8.0,7.0,8.0,19,16,22,-1.88,30,27.0,33.0,-1.74,7.8,-1.17,25,22.0,28.0,-1.56,74,-1.37,19,18,20,2.64,53,179,30,26,33,0.05,632,297.2,-0.97,26,24,28,-0.93,,,,,,,33.0,28.0,38.0,45.0,37.0,53.0,24.0,23.0,26.0,22660,13,12,15,0.35,153.0,70.0,1425.0,-1.09,110.0,49.0,2029.0,-0.96,220.0,99.0,1015.0,-0.46,3471,-1.54,3128.0,,4832.0,2761.0,3414.0,43,-0.96,38.0,33.0,39.0,30.0,43.0,46,-0.96,57.0,41.0,33.0,39.0,46.0,137219,151112,91,90,92,-1.97,33404,49776,67,63.0,71.0,-1.52,2653,97328,2.7,-0.77,14,9,18,-1.54,20.0,,33.0,24.0,10.0,116934,26666,4.4,-1.06,10321,46133,22,20,25,-0.96,229,10.5,0.22,408.0,204.0,-1.0,777,73,68,78,-1.15,,,,,,,43.0,31.0,59.0,25.0,13.0,43.0,80.0,74.0,86.0,7.2,-2.08,No,-0.34,13,12,14,12,11,13,1,1,1,0,0,0,-0.08,84,82,85,-0.71,,,,,,,86.0,82.0,90.0,72.0,62.0,83.0,82.0,80.0,84.0,93141,40,38,43,0.22,
3,3,3,3,4,1005,Alabama,Barbour,,515,11477,9908,13045,0.26,,,,,,,,,13846.0,11422.0,16269.0,,,,,,9424.0,7385.0,11464.0,,30,27,33,1.34,5.6,5.2,6.0,1.19,5.6,5.3,6.0,0.62,,11,10,13,0.33,,,,,,,15.0,13.0,17.0,,,,7.0,5.0,9.0,26,23,28,1.11,41,34.0,49.0,0.63,5.5,1.2,28,22.0,35.0,-0.84,53,-0.38,12,12,13,-1.03,13,33,39,30,48,0.94,191,755.8,0.63,37,32,43,0.47,,,,,,,38.0,31.0,45.0,57.0,29.0,99.0,34.0,26.0,43.0,2310,14,12,15,0.54,8.0,32.0,3110.0,0.58,9.0,36.0,2743.0,-0.23,3.0,12.0,8229.0,0.78,5314,-0.35,,,5946.0,,5281.0,44,-1.17,,,42.0,,46.0,39,0.23,,,33.0,,41.0,13152,17964,73,71,75,2.35,2379,6680,36,31.0,40.0,1.7,324,8537,3.8,0.37,41,29,53,1.71,,,67.0,83.0,17.0,74745,12495,6.0,0.84,2707,5307,51,45,57,1.23,19,7.6,1.13,106.0,414.0,0.12,98,77,63,94,-0.89,,,,,,,75.0,55.0,100.0,,,,80.0,58.0,106.0,9.4,0.07,No,-0.34,14,11,16,13,10,15,2,1,3,1,0,1,0.16,82,79,85,-1.27,,,,,,,80.0,73.0,87.0,,,,86.0,82.0,91.0,8231,31,26,36,-0.8,
4,4,4,4,5,1007,Alabama,Bibb,,476,12173,10506,13839,0.6,,,,,,,,,13027.0,9571.0,17323.0,,,,,,12377.0,10416.0,14338.0,,24,21,27,-0.2,4.9,4.5,5.3,-0.18,5.3,4.9,5.6,-0.31,,10,9,12,-0.21,,,,,,,17.0,13.0,20.0,,,,9.0,7.0,10.0,23,21,26,0.07,37,30.0,46.0,-0.18,7.6,-0.96,33,26.0,41.0,0.34,16,1.39,15,15,16,0.7,8,27,30,19,40,0.05,139,613.2,0.13,38,32,44,0.56,,,,,,,24.0,15.0,38.0,,,,40.0,33.0,47.0,1764,11,9,12,-1.13,12.0,54.0,1867.0,-0.36,5.0,22.0,4479.0,0.59,6.0,27.0,3732.0,0.57,6690,0.54,,,4416.0,,6544.0,33,1.14,,,32.0,,34.0,40,0.06,,,31.0,,41.0,12782,16168,79,75,83,0.91,2483,6186,40,33.0,48.0,1.24,266,8685,3.1,-0.41,26,17,34,-0.07,,,34.0,,30.0,84389,16869,5.0,-0.32,1404,4586,31,18,43,-0.33,19,8.5,0.86,20.0,89.0,-1.6,119,106,87,125,0.92,,,,,,,106.0,69.0,155.0,,,,110.0,89.0,135.0,10.0,0.66,No,-0.34,9,6,12,8,5,11,1,0,1,1,0,1,-1.32,87,82,92,0.41,,,,,,,,,,,,,,,,8167,52,44,60,1.47,
5,5,5,5,6,1009,Alabama,Blount,,1100,11096,10087,12105,0.07,,,,,,,,,,,,,,,,,,,,,22,19,25,-0.68,5.0,4.5,5.5,0.01,5.4,4.9,5.8,-0.06,,7,7,8,-1.52,,,,,,,,,,6.0,5.0,8.0,7.0,7.0,8.0,23,20,26,0.01,33,27.0,39.0,-1.11,7.9,-1.27,33,28.0,39.0,0.32,16,1.42,16,15,17,0.94,15,82,18,13,24,-0.98,176,303.4,-0.94,31,28,34,-0.27,,,,,,,,,,30.0,22.0,40.0,32.0,28.0,35.0,6642,14,12,16,0.89,12.0,21.0,4820.0,1.09,11.0,19.0,5257.0,0.78,10.0,17.0,5783.0,0.71,4440,-0.91,,,10909.0,,4458.0,37,0.3,,,,13.0,37.0,40,0.06,,,22.0,31.0,41.0,32028,39791,80,78,82,0.56,7862,14102,56,51.0,61.0,-0.36,676,25331,2.7,-0.83,21,16,26,-0.65,,,4.0,38.0,15.0,95721,21618,4.4,-1.01,3003,13372,22,17,28,-0.96,45,7.8,1.08,279.0,483.0,0.48,311,108,96,120,1.05,,,,,,,,,,41.0,20.0,73.0,116.0,103.0,130.0,10.6,1.25,No,-0.34,10,8,12,7,6,9,2,1,2,1,1,2,-1.03,88,86,89,0.57,,,,,,,,,,80.0,47.0,100.0,84.0,80.0,88.0,21690,58,54,62,2.11,
6,6,6,6,7,1011,Alabama,Bullock,,189,10802,8440,13163,-0.07,,,,,,,,,,,,,,,,,,,,,31,28,35,1.75,5.5,5.1,5.9,1.08,5.4,5.0,5.8,0.05,,15,13,18,2.24,,,,,,,17.0,14.0,20.0,10.0,5.0,15.0,,,,25,22,28,0.85,47,30.0,62.0,1.77,5.0,1.72,42,29.0,56.0,2.3,3,2.06,12,11,12,-1.46,12,22,55,45,63,2.32,126,1222.2,2.26,46,36,56,1.53,,,,,,,47.0,37.0,60.0,63.0,30.0,116.0,,,,815,12,10,14,-0.4,3.0,30.0,3379.0,0.7,2.0,20.0,5051.0,0.74,3.0,30.0,3367.0,0.53,5645,-0.13,,,6366.0,,3822.0,32,1.35,,,25.0,,45.0,29,1.92,,,22.0,,43.0,5303,7101,75,68,81,1.99,854,2655,32,21.0,44.0,2.05,175,4818,3.6,0.2,40,24,56,1.58,,,67.0,5.0,,70400,12503,5.6,0.43,1561,2119,74,61,87,2.96,8,7.9,1.05,33.0,311.0,-0.43,51,99,74,130,0.49,,,,,,,109.0,77.0,148.0,,,,89.0,43.0,163.0,9.2,-0.12,No,-0.34,20,13,27,19,12,26,0,0,1,2,0,4,2.35,81,65,97,-1.67,,,,,,,74.0,60.0,88.0,,,,77.0,67.0,86.0,4319,47,30,64,0.97,
7,7,7,7,8,1013,Alabama,Butler,,398,12848,10897,14799,0.93,,,,,,,,,13158.0,10411.0,15906.0,,,,,,13128.0,10134.0,16123.0,,28,25,30,0.84,5.4,5.0,5.8,0.82,5.7,5.4,6.1,1.0,,12,11,14,0.78,,,,,,,15.0,12.0,17.0,,,,9.0,7.0,12.0,23,20,25,-0.04,47,38.0,55.0,1.81,6.8,-0.14,40,32.0,49.0,1.84,49,-0.16,13,12,13,-0.98,16,52,31,24,38,0.16,185,933.2,1.25,37,31,43,0.45,,,,,,,37.0,30.0,46.0,,,,38.0,29.0,48.0,1838,12,10,14,-0.38,5.0,25.0,3936.0,0.88,6.0,31.0,3241.0,0.1,11.0,57.0,1768.0,0.14,8070,1.43,,,9099.0,,7696.0,39,-0.12,,,43.0,,36.0,35,0.9,,,25.0,,40.0,11753,13819,85,83,87,-0.56,1962,4868,40,34.0,47.0,1.22,338,9263,3.6,0.22,35,24,45,0.95,,,48.0,77.0,14.0,83270,16618,5.0,-0.31,1841,4455,41,33,50,0.49,19,9.7,0.49,117.0,582.0,1.01,98,99,80,121,0.5,,,,,,,90.0,64.0,123.0,,,,112.0,85.0,145.0,8.9,-0.42,Yes,2.91,12,9,14,11,8,13,2,1,3,0,0,1,-0.46,86,82,90,0.07,,,,,,,82.0,77.0,88.0,,,,90.0,88.0,91.0,7820,31,26,36,-0.84,
8,8,8,8,9,1015,Alabama,Calhoun,,2340,11327,10628,12025,0.18,,,,,,,,,10559.0,9125.0,11994.0,,,,,,11837.0,10996.0,12678.0,,24,21,27,-0.25,4.9,4.4,5.3,-0.18,5.7,5.3,6.1,0.89,,9,9,10,-0.6,,,,,,,14.0,13.0,16.0,6.0,4.0,8.0,8.0,7.0,8.0,21,18,24,-0.72,40,36.0,44.0,0.31,6.6,0.07,31,28.0,35.0,-0.16,48,-0.12,14,13,14,-0.3,16,106,15,11,20,-1.27,683,595.3,0.07,32,30,34,-0.13,,,,,,,32.0,28.0,36.0,35.0,26.0,47.0,33.0,30.0,35.0,10166,11,10,13,-0.84,73.0,64.0,1565.0,-0.81,77.0,68.0,1475.0,-2.03,139.0,122.0,817.0,-0.8,5879,0.02,,,7507.0,5196.0,5630.0,33,1.14,,41.0,36.0,35.0,33.0,40,0.06,,46.0,31.0,29.0,42.0,66793,79108,84,83,86,-0.41,16959,28823,59,55.0,63.0,-0.67,1635,46209,3.5,0.1,25,18,31,-0.23,,20.0,49.0,30.0,16.0,93318,19267,4.8,-0.51,7506,24756,30,27,34,-0.36,163,14.3,-0.97,871.0,756.0,1.93,527,92,84,100,0.06,,,,,,,72.0,58.0,89.0,46.0,22.0,85.0,102.0,92.0,111.0,10.8,1.45,No,-0.34,13,11,14,11,9,12,2,1,2,1,1,1,-0.21,84,83,86,-0.5,,,,,,,84.0,80.0,88.0,87.0,74.0,99.0,88.0,86.0,90.0,47207,31,29,33,-0.8,
9,9,9,9,10,1017,Alabama,Chambers,,635,10371,9066,11677,-0.28,,,,,,,,,9759.0,7861.0,11656.0,,,,,,10550.0,8744.0,12355.0,,25,23,27,0.11,5.0,4.7,5.4,0.09,5.5,5.1,5.8,0.27,,13,11,14,0.94,,,,,,,17.0,15.0,19.0,,,,9.0,8.0,11.0,23,21,25,0.13,42,34.0,50.0,0.86,6.7,-0.04,29,22.0,36.0,-0.69,62,-0.8,14,13,14,-0.33,11,37,30,21,39,0.06,240,711.9,0.48,42,37,47,1.13,,,,,,,45.0,37.0,52.0,,,,40.0,33.0,47.0,3092,12,10,13,-0.55,14.0,42.0,2401.0,0.17,6.0,18.0,5542.0,0.84,1.0,3.0,33254.0,0.91,5784,-0.04,,,6653.0,,5416.0,36,0.51,,,37.0,,36.0,43,-0.45,,,31.0,,48.0,19417,23789,82,79,84,0.28,3966,7964,50,43.0,56.0,0.25,462,15748,2.9,-0.54,30,21,40,0.46,,,31.0,88.0,12.0,83878,17480,4.8,-0.57,2408,7065,34,27,41,-0.07,61,18.1,-2.2,181.0,529.0,0.73,154,91,77,106,0.02,,,,,,,56.0,40.0,77.0,,,,120.0,98.0,142.0,10.2,0.86,No,-0.34,15,12,18,11,9,14,3,2,4,1,0,2,0.54,86,84,88,0.12,,,,,,,86.0,79.0,94.0,,,,86.0,78.0,93.0,14367,30,26,33,-0.95,
