,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,2000,Alaska,,,8292.0,7979.0,7745.0,8214.0,,17483.0,16612.0,18354.0,,4539.0,3923.0,5156.0,,8387.0,7287.0,9488.0,,4842.0,4160.0,5524.0,,6244.0,5987.0,6500.0,,16,14,18,,4.1,3.6,4.5,,3.7,3.3,4.2,,,6.0,6.0,6.0,,6.0,6.0,7.0,7.0,6.0,8.0,9.0,8.0,10.0,6.0,6.0,7.0,5.0,5.0,6.0,19,17,21,,32,,,,6.4,,19,,,,100.0,,18,15,20,,142.0,375.0,38.0,35.0,40.0,,6159.0,832.5,,25.0,24.0,26.0,,45.0,43.0,48.0,28.0,25.0,30.0,22.0,19.0,25.0,25.0,23.0,28.0,16.0,15.0,17.0,88519,14,13,15,,690.0,94.0,1069,,748.0,102.0,978,,3655.0,500.0,200,,2693.0,,5155.0,2488.0,3634.0,1595.0,2256.0,35.0,,30.0,27.0,35.0,31.0,37.0,36.0,,25.0,43.0,27.0,31.0,38.0,446210,480586,93,93.0,93.0,,139197,212708,65,64.0,67.0,,21350,347778,6.1,,13,12,14,,30.0,20.0,20.0,14.0,8.0,143435,34473,4.2,,39223,183648,21,20,23,,832,11.3,,5325.0,720.0,,3581.0,97.0,94.0,100.0,,203.0,192.0,215.0,35.0,28.0,41.0,79.0,65.0,92.0,50.0,41.0,59.0,83.0,79.0,87.0,6.5,,,,20,20.0,21.0,12,11,12,7,6,7,5,4,5,,69,68,70,,47.0,44.0,49.0,61.0,59.0,63.0,62.0,59.0,66.0,69.0,66.0,72.0,72.0,71.0,73.0,356400,16,16,17,,
1,2,2013,Alaska,Aleutians East,,,,,,,,,,,,,,,,,,,,,,,,,,,21,19,23,,4.3,4.0,4.5,,3.7,3.4,3.9,,,,,,,,,,,,,,,,,,,,,,21,19,23,,52,39.0,65.0,,5.4,,27,17.0,38.0,,100.0,,15,14,16,,,,,,,,8.0,237.4,,,,,,,,,,,,,,,,,,,,,818,26,22,29,,,,nan,,1.0,30.0,3337,,3.0,90.0,1112,,,,,,,,,,,,,,,,,,,,,,,2236,2616,85,83.0,88.0,,463,1025,45,38.0,52.0,,68,2428,2.8,,13,9,18,,,,,,,116111,26818,4.3,,150,483,31,25,38,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,13,9.0,16.0,8,3,13,3,1,6,2,0,5,,27,22,31,,49.0,43.0,55.0,2.0,1.0,3.0,,,,3.0,0.0,7.0,41.0,34.0,48.0,2262,0,0,8,,
2,3,2016,Alaska,Aleutians West,x,,,,,0.0,,,,,,,,,,,,,,,,,,,,,18,16,19,-0.31,3.9,3.6,4.1,-0.7,3.5,3.3,3.7,-1.34,x,7.0,,,1.14,,,,,,,,,,,,,,,,19,18,21,-0.68,42,33.0,52.0,1.47,7.8,-0.77,27,20.0,35.0,1.05,100.0,0.0,17,16,17,-1.52,4.0,4.0,100.0,,,1.84,9.0,156.2,-0.84,,,,0.0,,,,,,,,,,,,,,,,907,18,15,20,0.29,2.0,35.0,2862,1.01,6.0,106.0,939,-0.74,8.0,142.0,704,0.66,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,3692,4127,89,87.0,92.0,0.15,1026,1871,55,48.0,61.0,0.0,129,3606,3.6,-1.38,5,3,8,-1.27,15.0,5.0,,6.0,5.0,147423,48875,3.0,-1.75,177,946,19,15,23,-0.55,0,0.0,1.08,13.0,295.0,-0.37,14.0,49.0,27.0,83.0,-1.24,,,,,,,,,,,,,,,,,0.0,Yes,0.8,18,15.0,20.0,6,2,9,9,6,13,4,2,6,-0.63,47,41,53,-0.02,37.0,30.0,43.0,39.0,32.0,46.0,,,,46.0,41.0,50.0,52.0,44.0,60.0,3772,1,0,3,-0.69,
3,4,2020,Alaska,Anchorage,,3201.0,7599.0,7246.0,7952.0,-0.65,20708.0,18804.0,22613.0,,5343.0,4512.0,6175.0,,9877.0,8364.0,11390.0,,5335.0,4343.0,6327.0,,6135.0,5731.0,6539.0,,14,13,16,-0.73,3.7,3.5,4.1,-0.81,3.9,3.6,4.2,-0.84,,6.0,6.0,7.0,0.78,8.0,7.0,9.0,7.0,6.0,8.0,9.0,8.0,11.0,6.0,6.0,7.0,6.0,5.0,6.0,17,15,19,-0.98,30,28.0,33.0,-0.46,8.1,-0.91,17,15.0,19.0,-1.32,100.0,0.0,18,17,19,-0.74,27.0,106.0,25.0,21.0,31.0,-0.91,2666.0,905.7,-0.12,22.0,21.0,23.0,-0.54,30.0,26.0,34.0,35.0,31.0,38.0,26.0,21.0,30.0,28.0,24.0,32.0,14.0,12.0,15.0,30742,12,11,13,-1.47,334.0,115.0,873,-0.1,370.0,128.0,778,-1.24,1403.0,487.0,205,0.07,2758.0,-0.4,6963.0,2857.0,3852.0,1212.0,2278.0,38.0,-0.75,38.0,30.0,35.0,33.0,39.0,40.0,-0.78,34.0,45.0,27.0,31.0,41.0,180169,191870,94,,,-0.71,64223,89255,72,,,-1.22,7423,146949,5.1,-0.97,11,8,14,-0.65,29.0,25.0,22.0,13.0,6.0,155987,40381,3.9,-0.63,16270,71678,23,20,25,0.06,332,11.4,-0.75,3022.0,1007.0,1.81,1281.0,87.0,82.0,92.0,-0.67,227.0,201.0,252.0,39.0,31.0,49.0,90.0,73.0,110.0,54.0,42.0,68.0,80.0,74.0,86.0,6.4,-0.45,Yes,0.8,17,15.0,18.0,12,11,13,4,4,5,1,1,1,-0.7,76,75,78,1.33,68.0,63.0,73.0,70.0,67.0,73.0,69.0,65.0,73.0,76.0,71.0,80.0,79.0,78.0,80.0,153083,13,12,14,0.54,
4,5,2050,Alaska,Bethel,,266.0,15220.0,13090.0,17351.0,0.98,,,,,,,,,,,,,,,,,,,,,32,29,36,1.68,6.8,6.3,7.4,1.68,5.9,5.4,6.3,1.59,,6.0,6.0,7.0,0.89,,,,,,,,,,,,,,,,35,31,39,1.48,34,27.0,41.0,0.16,2.9,1.5,28,22.0,34.0,1.24,100.0,0.0,17,16,18,-1.52,6.0,9.0,67.0,54.0,76.0,0.61,590.0,3264.0,2.17,60.0,54.0,67.0,1.22,,,,,,,,,,,,,,,,2971,18,16,20,0.39,19.0,104.0,959,0.04,26.0,141.0,707,-1.53,427.0,2322.0,43,-3.0,5053.0,1.22,,,,,,4.0,2.25,,,,,,7.0,1.58,,,,,,7930,9801,81,79.0,83.0,1.82,1605,4823,33,27.0,39.0,1.54,905,7025,12.9,1.16,32,21,42,1.6,,,,,,115286,20235,5.7,1.79,1643,6292,26,22,31,0.58,8,4.4,0.38,,,0.0,185.0,204.0,175.0,234.0,1.08,214.0,181.0,247.0,,,,,,,,,,139.0,76.0,233.0,,0.0,Yes,0.8,59,56.0,63.0,8,6,10,35,32,38,36,34,38,1.87,23,20,27,-1.13,18.0,14.0,22.0,,,,,,,,,,36.0,22.0,51.0,6000,0,0,3,-0.77,
5,6,2060,Alaska,Bristol Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,17,16,19,,4.3,4.0,4.5,,4.4,4.1,4.6,,,,,,,,,,,,,,,,,,,,,,22,20,24,,43,32.0,53.0,,6.8,,28,19.0,37.0,,100.0,,21,20,21,,0.0,1.0,0.0,0.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,119,16,14,19,,0.0,0.0,877,,1.0,120.0,836,,0.0,0.0,836,,2521.0,,3590.0,,,,2629.0,32.0,,25.0,,,,33.0,35.0,,27.0,,,,36.0,597,635,94,87.0,100.0,,125,216,58,48.0,68.0,,27,441,6.1,,11,6,16,,25.0,,,,7.0,141600,36125,3.9,,32,180,18,9,27,,0,0.0,,0.0,0.0,,10.0,229.0,110.0,421.0,,,,,,,,,,,,,,,,,,,No,,11,6.0,16.0,4,0,14,5,0,11,2,0,5,,60,56,64,,79.0,57.0,100.0,,,,,,,,,,40.0,26.0,55.0,473,3,0,15,,
6,7,2068,Alaska,Denali,x,,,,,0.0,,,,,,,,,,,,,,,,,,,,,14,12,17,-0.73,3.9,3.5,4.3,-0.69,4.0,3.6,4.4,-0.74,,,,,0.0,,,,,,,,,,,,,,,,19,15,22,-0.76,23,16.0,32.0,-1.55,5.8,0.16,21,15.0,29.0,-0.35,100.0,0.0,20,19,21,0.47,2.0,7.0,29.0,9.0,50.0,-0.79,7.0,337.5,-0.67,,,,0.0,,,,,,,,,,,,,,,,210,12,10,14,-1.46,,,nan,0.0,0.0,0.0,2097,1.64,,,nan,0.0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,1602,1627,98,92.0,100.0,-1.61,428,599,71,54.0,89.0,-1.18,88,1038,8.5,-0.04,9,5,12,-0.92,,,,,,122611,39460,3.1,-1.63,36,237,15,4,27,-1.09,0,0.0,1.08,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,No,-1.2,24,19.0,28.0,6,0,11,3,0,7,15,9,22,-0.28,32,10,53,-0.73,,,,,,,,,,,,,,,,1550,30,19,40,2.18,
7,8,2070,Alaska,Dillingham,,79.0,14346.0,10648.0,18914.0,0.79,,,,,,,,,,,,,,,,,,,,,26,23,29,0.84,5.9,5.5,6.4,0.94,5.3,5.0,5.7,0.92,,6.0,4.0,8.0,0.23,,,,,,,,,,,,,,,,30,27,33,0.82,31,23.0,39.0,-0.35,4.8,0.62,26,19.0,33.0,0.72,100.0,0.0,19,18,20,0.03,1.0,2.0,50.0,10.0,77.0,0.0,104.0,2108.7,1.05,41.0,31.0,54.0,0.34,,,,,,,,,,,,,,,,845,19,16,21,0.64,13.0,260.0,385,-2.13,6.0,122.0,819,-1.09,39.0,793.0,126,-0.45,3661.0,0.24,,,,,,31.0,-0.13,34.0,,,,26.0,19.0,0.72,16.0,,,,34.0,2499,2895,86,84.0,89.0,0.77,661,1316,50,40.0,60.0,0.33,157,1938,8.1,-0.14,27,16,38,1.11,27.0,,,39.0,22.0,110636,24710,4.5,0.18,463,1523,30,25,36,1.23,0,0.0,1.08,,,0.0,37.0,149.0,105.0,206.0,0.26,,,,,,,,,,,,,,,,,0.0,No,-1.2,38,35.0,42.0,9,5,12,22,19,26,14,10,17,0.62,34,28,40,-0.64,34.0,29.0,39.0,,,,,,,,,,34.0,17.0,51.0,1912,5,2,8,-0.23,
8,9,2090,Alaska,Fairbanks North Star,,917.0,6820.0,6239.0,7401.0,-0.82,17379.0,14202.0,20557.0,,,,,,5994.0,3950.0,8721.0,,4482.0,2954.0,6521.0,,5840.0,5216.0,6464.0,,14,12,16,-0.79,4.0,3.7,4.3,-0.64,4.1,3.8,4.4,-0.64,,6.0,5.0,6.0,0.28,5.0,4.0,6.0,8.0,6.0,10.0,9.0,7.0,11.0,7.0,5.0,8.0,6.0,5.0,6.0,17,15,20,-0.92,31,28.0,34.0,-0.33,7.9,-0.82,18,16.0,20.0,-1.01,100.0,0.0,19,18,19,-0.27,18.0,44.0,41.0,33.0,48.0,-0.34,918.0,920.7,-0.1,24.0,22.0,26.0,-0.44,33.0,26.0,41.0,19.0,10.0,31.0,20.0,14.0,29.0,29.0,21.0,38.0,23.0,20.0,25.0,10417,12,11,14,-1.4,81.0,82.0,1222,0.36,139.0,144.0,697,-1.57,613.0,633.0,158,-0.18,2002.0,-0.93,3750.0,,1332.0,1472.0,1717.0,35.0,-0.49,41.0,30.0,41.0,20.0,35.0,36.0,-0.5,37.0,37.0,29.0,28.0,37.0,58440,61846,94,94.0,95.0,-0.83,22264,30579,73,69.0,77.0,-1.28,2404,44652,5.4,-0.88,8,5,11,-0.99,7.0,3.0,14.0,20.0,8.0,140932,37842,3.7,-0.81,4868,23868,20,17,24,-0.3,92,9.3,-0.42,,,0.0,415.0,84.0,76.0,92.0,-0.72,212.0,171.0,260.0,57.0,29.0,100.0,64.0,38.0,100.0,37.0,21.0,61.0,76.0,67.0,85.0,13.9,1.49,No,-1.2,23,21.0,26.0,14,12,16,6,4,7,7,5,8,-0.29,74,73,76,1.24,75.0,65.0,85.0,76.0,65.0,87.0,65.0,59.0,71.0,71.0,62.0,79.0,76.0,75.0,78.0,51000,17,15,20,0.95,
9,10,2100,Alaska,Haines,x,,,,,0.0,,,,,,,,,,,,,,,,,,,,,13,12,15,-0.87,3.7,3.4,4.1,-0.81,4.1,3.8,4.4,-0.62,,,,,0.0,,,,,,,,,,,,,,,,18,15,21,-0.85,29,21.0,38.0,-0.64,7.5,-0.63,19,13.0,27.0,-0.73,100.0,0.0,22,21,23,1.68,2.0,3.0,67.0,39.0,82.0,0.61,,,0.0,,,,0.0,,,,,,,,,,,,,,,,269,14,12,16,-0.89,7.0,283.0,353,-2.45,2.0,79.0,1265,-0.13,6.0,237.0,422,0.5,,0.0,,,,,,34.0,-0.4,29.0,,,,35.0,35.0,-0.42,31.0,,,,35.0,1804,1850,98,97.0,98.0,-1.42,434,603,72,52.0,92.0,-1.22,99,1111,8.9,0.08,14,8,21,-0.28,29.0,,,30.0,17.0,121821,23425,5.2,1.14,38,642,6,2,10,-2.5,0,0.0,1.08,4.0,156.0,-0.8,,,,,0.0,,,,,,,,,,,,,,,,,0.0,No,-1.2,17,9.0,24.0,4,0,9,7,1,14,5,0,11,-0.7,57,43,71,0.44,,,,,,,,,,,,,,,,1143,0,0,7,-0.77,
