,Unnamed: 0,FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low.1,95% CI - High.1,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths.1,Child Mortality Rate,95% CI - Low.2,95% CI - High.2,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths.2,Infant Mortality Rate,95% CI - Low.3,95% CI - High.3,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low.4,95% CI - High.4,% Frequent Mental Distress,95% CI - Low.5,95% CI - High.5,% Adults with Diabetes,95% CI - Low.6,95% CI - High.6,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low.7,95% CI - High.7,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low.8,95% CI - High.8,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low.9,95% CI - High.9,# Uninsured (Adults),% Uninsured (Adults),95% CI - Low (Adults),95% CI - High (Adults),# Uninsured (Children),% Uninsured (Children),95% CI - Low (Children),95% CI - High (Children),Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low.10,95% CI - High.10,Average Grade Performance (Math),Average Grade Performance (Asian) (Math),Average Grade Performance (Black) (Math),Average Grade Performance (Hispanic) (Math),Average Grade Performance (White) (Math),Average Grade Performance (Reading),Average Grade Performance (Asian) (Reading),Average Grade Performance (Black) (Reading),Average Grade Performance (Hispanic) (Reading),Average Grade Performance (White) (Reading),Median Household Income,95% CI - Low.11,95% CI - High.11,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low.12,95% CI - High.12,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths.3,Suicide Rate (Age-Adjusted),95% CI - Low.13,95% CI - High.13,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low.14,95% CI - High.14,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low.15,95% CI - High.15,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low.16,95% CI - High.16,% Broadband Access,Numerator,95% CI - Low.17,95% CI - High.17,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low.18,95% CI - High.18,% Female,# Rural,% Rural,Unnamed: 277
0,1,5000,Arkansas,,76.0,75.9,76.2,109.9,98.1,121.7,85.1,83.4,86.8,73.1,72.8,73.4,91.5,89.3,93.6,76.1,76.0,76.2,48253,457,453,462,167.0,138.0,196.0,225.0,201.0,249.0,601.0,588.0,613.0,181.0,168.0,195.0,454.0,450.0,459.0,1897.0,67.0,64.0,70.0,,,,78.0,58.0,103.0,101.0,92.0,109.0,40.0,34.0,47.0,62.0,59.0,66.0,2017.0,8.0,7.0,8.0,,,,9.0,7.0,12.0,11.0,11.0,12.0,5.0,4.0,6.0,7.0,7.0,7.0,15,14,17,17,15,19,14,,,5722.0,228.0,521490,17,254970,9,1278.0,14.0,13.0,15.0,,,,,,,9.0,8.0,11.0,3.0,2.0,4.0,17.0,16.0,18.0,3813.0,18.0,18.0,19.0,,,,7.0,5.0,10.0,18.0,17.0,20.0,11.0,9.0,12.0,19.0,19.0,20.0,37,35,39,205307,12,11,12,31477,4,4,5,92,1083,35245.0,89.0,9.0,8.0,9.0,2.9,3.2,2.4,2.7,3.1,2.8,3.0,2.3,2.6,3.0,49020,48016,50024,40625.0,37564.0,43686.0,71716.0,65387.0,78045.0,32070.0,31383.0,32757.0,42532.0,41217.0,43847.0,51681.0,51200.0,52162.0,64,64.0,51,8.0,8.0,8.0,,,,3.0,2.0,5.0,27.0,25.0,28.0,4.0,3.0,5.0,5.0,4.0,5.0,2863.0,19.0,18.0,20.0,19.0,13.0,8.0,21.0,10.0,7.0,15.0,7.0,6.0,8.0,5.0,4.0,6.0,23.0,22.0,24.0,2827.0,19.0,18.0,20.0,,,,6.0,4.0,10.0,29.0,27.0,31.0,5.0,4.0,7.0,19.0,18.0,19.0,,6312,319600,,167,759455,66,65,66,125057,11,11,12,73,845966,72,74,3017804,23.2,17.4,465209,15.4,30717,1.0,50403,1.7,11786,0.4,236631,7.8,2173848,72.0,44613,2,2.0,2.0,50.9,1278329,43.8,
1,2,5001,Arkansas,Arkansas,74.2,72.9,75.5,,,,,,,73.2,70.1,76.2,,,,74.6,73.2,76.1,341,517,458,575,,,,,,,593.0,473.0,735.0,,,,502.0,434.0,569.0,10.0,61.0,29.0,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,16,19,17,16,19,19,13.0,25.0,34.0,230.0,3500,19,3390,18,,,,,,,,,,,,,,,,,,,,38.0,30.0,21.0,41.0,,,,,,,50.0,29.0,82.0,,,,23.0,14.0,36.0,36,34,37,1073,11,9,12,177,4,3,6,63,1590,211.0,92.0,,,,2.7,,2.3,,3.0,2.6,,2.1,,3.0,52539,47789,57289,,,,,,,28479.0,23639.0,33319.0,31435.0,8716.0,54154.0,54471.0,48225.0,60717.0,83,36.0,36,11.0,6.0,18.0,,,,,,,,,,,,,,,,13.0,14.0,7.0,25.0,14.0,,,,,,,,,,,,,,,,17.0,19.0,11.0,30.0,,,,,,,,,,,,,,,,,37,1700,22.0,80,4883,65,63,67,785,11,8,15,68,5070,64,71,17486,22.9,20.3,4315,24.7,61,0.3,144,0.8,6,0.0,602,3.4,12075,69.1,48,0,0.0,1.0,51.7,6601,34.7,
2,3,5003,Arkansas,Ashley,75.0,73.7,76.3,,,,,,,71.8,69.1,74.6,,,,75.8,74.4,77.3,404,512,459,565,,,,,,,716.0,586.0,846.0,,,,466.0,406.0,525.0,11.0,60.0,30.0,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,16,19,18,16,19,14,10.0,18.0,17.0,101.0,4030,20,2623,12,,,,,,,,,,,,,,,,,,,,34.0,24.0,16.0,33.0,,,,,,,,,,,,,,,,37,36,38,1333,12,10,14,193,4,3,5,66,1512,267.0,90.0,,,,2.6,,2.1,2.7,2.8,2.7,,2.2,3.0,2.8,47744,42206,53282,,,,,,,22510.0,16466.0,28554.0,,,,54887.0,48445.0,61329.0,64,22.0,20,8.0,4.0,15.0,,,,,,,,,,,,,,,,15.0,14.0,8.0,24.0,15.0,,,,,,,,,,,,,,,,23.0,23.0,14.0,34.0,,,,,,,,,,,,,,,,,43,2100,20.0,36,6010,77,75,80,821,11,7,15,61,4757,56,66,19657,22.4,20.9,4766,24.2,152,0.8,53,0.3,19,0.1,1119,5.7,13456,68.5,290,2,1.0,2.0,51.3,11294,51.7,
3,4,5005,Arkansas,Baxter,77.0,76.1,78.0,,,,,,,,,,,,,,,,821,446,411,482,,,,,,,,,,,,,,,,11.0,37.0,19.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13,16,16,14,18,16,12.0,20.0,33.0,91.0,6720,16,1835,4,24.0,19.0,12.0,29.0,,,,,,,,,,,,,,,,50.0,17.0,13.0,23.0,,,,,,,,,,,,,,,,32,31,34,2222,10,9,12,322,4,3,6,134,749,424.0,89.0,,,,3.1,,,,,2.9,,,,,41950,38970,44930,,,,,,,,,,38464.0,18549.0,58379.0,41962.0,39796.0,44128.0,58,,30,5.0,2.0,8.0,,,,,,,,,,,,,,,,69.0,30.0,22.0,39.0,33.0,,,,,,,,,,,,,,,,60.0,29.0,22.0,37.0,,,,,,,,,,,,,,,,,71,3500,20.0,84,14038,76,75,78,1484,8,7,10,75,13749,72,77,41932,17.8,31.1,173,0.4,333,0.8,205,0.5,29,0.1,1102,2.6,39544,94.3,39,0,0.0,0.0,51.5,27333,65.8,
4,5,5007,Arkansas,Benton,79.9,79.5,80.3,89.6,78.8,100.4,90.2,77.3,103.1,,,,85.0,82.9,87.1,79.2,78.8,79.6,2661,311,299,323,183.0,113.0,280.0,223.0,165.0,294.0,316.0,206.0,462.0,159.0,130.0,187.0,336.0,322.0,350.0,148.0,52.0,44.0,61.0,,,,,,,,,,40.0,26.0,58.0,57.0,46.0,68.0,156.0,6.0,5.0,7.0,,,,,,,,,,5.0,4.0,7.0,7.0,6.0,8.0,13,11,14,14,12,15,10,8.0,11.0,270.0,122.0,30160,12,11738,5,95.0,12.0,9.0,14.0,,,,,,,,,,,,,,,,172.0,10.0,8.0,11.0,,,,,,,,,,5.0,3.0,8.0,11.0,9.0,12.0,33,31,34,19594,12,11,13,4058,5,4,7,74,1349,3074.0,90.0,8.0,6.0,10.0,3.3,3.6,3.3,3.0,3.4,3.1,3.6,3.0,2.7,3.2,70775,66057,75493,49583.0,40304.0,58862.0,95190.0,88302.0,102078.0,60000.0,45737.0,74263.0,53554.0,50026.0,57082.0,68449.0,66861.0,70037.0,42,49.0,32,2.0,1.0,3.0,,,,,,,,,,,,,,,,227.0,17.0,15.0,20.0,17.0,,,,,,,,,,,,,,,,142.0,11.0,9.0,12.0,,,,,,,,,,,,,,,,,496,32600,15.0,151,64742,67,66,68,7903,8,8,9,70,68140,68,72,279141,26.0,13.6,5068,1.8,5217,1.9,11628,4.2,2032,0.7,47630,17.1,202658,72.6,8456,3,,,50.3,55689,25.2,
5,6,5009,Arkansas,Boone,76.7,75.8,77.6,,,,,,,,,,,,,,,,627,448,410,485,,,,,,,,,,,,,,,,17.0,50.0,29.0,80.0,,,,,,,,,,,,,,,,23.0,7.0,5.0,11.0,,,,,,,,,,,,,,,,16,14,17,17,15,18,11,8.0,15.0,21.0,67.0,5930,16,3822,10,12.0,11.0,6.0,19.0,,,,,,,,,,,,,,,,47.0,18.0,13.0,24.0,,,,,,,,,,,,,,,,35,33,36,2288,11,9,13,353,4,3,5,99,1012,429.0,90.0,14.0,6.0,22.0,3.3,,,3.0,3.3,3.2,,,2.9,3.2,50083,46799,53367,,,,,,,,,,46250.0,44009.0,48491.0,45364.0,42913.0,47815.0,58,,33,5.0,2.0,8.0,,,,,,,,,,,,,,,,47.0,25.0,18.0,34.0,25.0,,,,,,,,,,,,,,,,39.0,21.0,15.0,29.0,,,,,,,,,,,,,,,,,43,3900,11.0,93,10793,72,70,74,1219,8,6,11,81,12182,78,84,37432,22.8,20.9,157,0.4,327,0.9,218,0.6,42,0.1,988,2.6,35078,93.7,12,0,0.0,0.0,50.7,22953,62.2,
6,7,5011,Arkansas,Bradley,73.0,71.1,74.9,,,,,,,67.4,63.5,71.3,,,,75.1,72.8,77.4,214,552,475,629,,,,,,,747.0,586.0,940.0,,,,498.0,402.0,594.0,13.0,125.0,66.0,213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,16,18,17,16,18,18,10.0,31.0,11.0,122.0,2140,20,595,5,,,,,,,,,,,,,,,,,,,,22.0,29.0,18.0,43.0,,,,,,,,,,,,,,,,38,37,39,872,14,12,17,133,5,3,7,28,3588,159.0,89.0,,,,2.7,,2.6,2.5,3.0,2.6,,2.4,2.6,2.7,39982,34275,45689,,,,,,,37422.0,23187.0,51657.0,30889.0,23583.0,38195.0,54470.0,46868.0,62072.0,100,10.0,13,,,,,,,,,,,,,,,,,,,10.0,17.0,8.0,33.0,18.0,,,,,,,,,,,,,,,,10.0,18.0,9.0,34.0,,,,,,,,,,,,,,,,,48,1200,40.0,37,2880,65,61,69,498,12,8,17,67,2974,62,72,10763,24.0,19.2,2905,27.0,167,1.6,51,0.5,5,0.0,1716,15.9,5928,55.1,365,4,,,51.0,5707,49.6,
7,8,5013,Arkansas,Calhoun,73.0,70.4,75.6,,,,,,,,,,,,,,,,134,614,502,727,,,,,,,848.0,572.0,1211.0,,,,573.0,456.0,711.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,15,18,17,16,19,10,5.0,17.0,6.0,131.0,880,17,1747,33,,,,,,,,,,,,,,,,,,,,12.0,33.0,17.0,57.0,,,,,,,,,,,,,,,,37,36,39,288,10,8,11,42,4,3,6,96,1038,,,,,,2.5,,,,,2.9,,,,,48415,42369,54461,,,,,,,31976.0,20562.0,43390.0,,,,53173.0,44697.0,61649.0,73,9.0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,500,0.0,17,1569,85,82,87,127,7,2,12,63,1173,55,72,5189,18.9,22.0,1093,21.1,41,0.8,12,0.2,1,0.0,214,4.1,3741,72.1,18,0,0.0,2.0,49.5,5368,100.0,
8,9,5015,Arkansas,Carroll,76.6,75.4,77.8,,,,,,,,,,99.7,58.3,141.1,75.2,73.8,76.6,520,452,409,495,,,,,,,,,,228.0,133.0,364.0,501.0,450.0,553.0,24.0,98.0,63.0,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,14,17,16,14,17,9,6.0,13.0,55.0,230.0,4000,14,1047,4,20.0,24.0,14.0,37.0,,,,,,,,,,,,,,,,48.0,25.0,18.0,33.0,,,,,,,,,,,,,,,,35,33,36,2408,16,13,18,377,6,4,8,32,3153,302.0,87.0,,,,2.8,,,2.8,2.8,2.7,,,2.8,2.7,43841,38004,49678,,,,86292.0,29910.0,142674.0,,,,40685.0,33275.0,48095.0,47634.0,42844.0,52424.0,73,59.0,28,,,,,,,,,,,,,,,,,,,36.0,24.0,16.0,34.0,26.0,,,,,,,,,,,,,,,,21.0,15.0,9.0,23.0,,,,,,,,,,,,,,,,,33,2800,12.0,1,8436,76,74,77,884,8,6,11,69,7659,64,73,28380,21.4,23.9,162,0.6,388,1.4,570,2.0,400,1.4,4306,15.2,22245,78.4,1136,4,3.0,5.0,50.2,19990,72.8,
9,10,5017,Arkansas,Chicot,72.7,70.8,74.7,,,,,,,71.5,68.9,74.0,,,,73.5,70.3,76.6,229,610,526,695,,,,,,,680.0,555.0,805.0,,,,580.0,459.0,724.0,11.0,117.0,58.0,209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,17,20,18,16,19,9,6.0,13.0,30.0,343.0,2590,24,3940,33,,,,,,,,,,,,,,,,,,,,15.0,20.0,11.0,33.0,,,,,,,,,,,,,,,,41,40,42,598,11,9,13,93,4,3,5,178,562,90.0,92.0,,,,2.3,,,,,2.2,,,,,37014,32757,41271,,,,140982.0,77732.0,204232.0,28068.0,16770.0,39366.0,32765.0,9934.0,55596.0,45469.0,37766.0,53172.0,100,54.0,53,13.0,6.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,21.0,10.0,37.0,,,,,,,,,,,,,,,,,32,1100,29.0,31,2513,62,58,66,517,15,10,19,62,2531,57,67,10118,21.9,21.1,5436,53.7,53,0.5,71,0.7,4,0.0,600,5.9,3892,38.5,135,1,0.0,2.0,49.6,6405,54.3,
