,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,5000,Arkansas,,,48253,9337,9212,9462,,3810.0,2965.0,4655.0,,5377.0,4664.0,6090.0,,12978.0,12614.0,13342.0,,3822.0,3540.0,4104.0,,9182.0,9035.0,9329.0,,23,22,25,,4.8,4.5,5.2,,5.3,4.8,5.7,,,9,9,9,,7.0,6.0,8.0,9.0,8.0,10.0,15.0,15.0,15.0,7.0,7.0,7.0,8.0,8.0,8.0,24,22,26,,35,,,,5.1,,30,,,,64,,17,15,19,,695,2657,26,25,27,,17663,587.9,,36,35,36,,29.0,25.0,33.0,25.0,23.0,28.0,48.0,47.0,49.0,42.0,40.0,43.0,31.0,31.0,32.0,233441,10,9,10,,2000.0,66.0,1507,,1435.0,48.0,2103,,7133.0,236.0,423,,4769,,6551.0,2771.0,6125.0,4181.0,4644.0,38,,36.0,27.0,37.0,25.0,38.0,48,,52.0,45.0,33.0,33.0,49.0,1741471,2011639,87,86,87,,445008,760274,59,58,59,,48356,1362649,3.5,,22,21,23,,32.0,18.0,42.0,33.0,17.0,95962,20062,4.8,,202643,700843,29,28,30,,3612,12.0,,15352.0,516.0,,12384,83,81,84,,34.0,25.0,46.0,31.0,25.0,38.0,81.0,77.0,84.0,29.0,26.0,32.0,90.0,88.0,92.0,9.1,,,,14,14,14,11,11,11,3,3,3,1,1,1,,83,83,83,,80.0,78.0,83.0,73.0,70.0,75.0,82.0,81.0,83.0,75.0,73.0,76.0,84.0,84.0,84.0,1287774,27,26,28,,
1,2,5001,Arkansas,Arkansas,,341,10791,9054,12529,0.13,,,,,,,,,12825.0,9282.0,17275.0,,,,,,10081.0,8154.0,12007.0,,28,25,31,0.44,5.5,5.0,5.9,0.22,5.1,4.8,5.5,-0.51,,10,8,11,0.46,,,,,,,17.0,14.0,21.0,,,,7.0,5.0,9.0,25,22,28,-0.22,35,28.0,43.0,-0.24,5.4,0.92,39,32.0,47.0,1.09,48,0.17,15,14,16,-0.78,5,14,36,21,50,0.86,116,645.6,0.4,53,46,61,1.01,,,,,,,61.0,47.0,77.0,,,,50.0,41.0,60.0,1234,9,7,10,-0.51,9.0,51.0,1974,-0.18,9.0,51.0,1943,-0.87,19.0,109.0,920,0.36,4981,-0.17,,,5449.0,,5023.0,34,0.35,,,43.0,,33.0,43,-0.02,,,23.0,,45.0,10424,12423,84,81,87,0.15,2289,4132,55,48,62,-0.37,286,9427,3.0,-1.31,24,14,34,-0.36,,,41.0,10.0,15.0,88982,15200,5.9,1.57,1263,4073,31,25,37,0.1,23,12.9,-0.5,88.0,473.0,0.29,91,101,82,124,0.45,,,,,,,111.0,72.0,164.0,,,,101.0,78.0,129.0,8.3,-1.67,No,-1.06,10,7,12,9,6,11,1,0,2,0,0,1,-1.4,85,82,88,0.89,,,,,,,81.0,75.0,86.0,,,,85.0,82.0,88.0,7760,15,12,18,-1.53,
2,3,5003,Arkansas,Ashley,,404,9989,8391,11586,-0.27,,,,,,,,,14037.0,10329.0,17745.0,,,,,,8897.0,7072.0,10722.0,,28,25,31,0.42,5.6,5.2,6.0,0.47,5.4,5.1,5.8,0.65,,12,10,14,1.51,,,,,,,17.0,14.0,21.0,,,,10.0,8.0,12.0,26,23,28,0.25,42,34.0,50.0,1.02,5.9,0.38,45,36.0,52.0,2.14,50,0.06,16,15,17,0.13,6,21,29,17,41,0.23,122,601.5,0.25,43,36,49,0.08,,,,,,,49.0,38.0,63.0,,,,42.0,35.0,50.0,1508,10,8,11,-0.06,8.0,40.0,2506,0.23,8.0,41.0,2457,-0.17,15.0,76.0,1310,0.6,6294,0.79,,,6065.0,,6527.0,34,0.35,,,49.0,,31.0,43,-0.02,,,30.0,24.0,46.0,11495,13802,83,80,86,0.32,2175,4316,50,42,59,0.27,418,7751,5.4,1.37,25,14,35,-0.26,,,38.0,2.0,12.0,88804,16507,5.4,0.87,1287,4624,28,21,35,-0.21,29,14.5,-0.92,67.0,321.0,-0.32,90,89,71,109,-0.21,,,,,,,102.0,67.0,150.0,,,,90.0,69.0,116.0,8.3,-1.67,Yes,0.93,13,10,16,11,8,14,2,1,2,1,0,1,-0.13,83,78,89,0.37,,,,,,,72.0,58.0,87.0,,,,88.0,84.0,92.0,7666,24,19,29,-0.71,
3,4,5005,Arkansas,Baxter,,821,9057,7918,10196,-0.74,,,,,,,,,,,,,,,,,,,,,21,19,24,-1.57,4.7,4.3,5.2,-1.49,4.9,4.5,5.3,-1.37,,7,6,8,-1.09,,,,,,,,,,,,,,,,24,20,27,-0.54,31,27.0,36.0,-0.94,7.2,-1.02,30,25.0,35.0,-0.77,65,-0.72,18,17,19,1.51,11,42,26,18,35,0.02,96,232.1,-1.0,35,31,40,-0.56,,,,,,,,,,,,,,,,2511,9,7,10,-0.5,31.0,74.0,1343,-1.09,22.0,52.0,1906,-0.94,116.0,277.0,361,-0.93,5268,0.04,,,,,,49,-3.1,,,,38.0,49.0,49,-0.73,,43.0,,38.0,49.0,28194,31775,89,87,90,-1.19,4786,7816,61,55,68,-1.11,650,16296,4.0,-0.22,18,10,26,-1.17,,,,28.0,17.0,78496,21357,3.7,-1.66,1335,7255,18,12,25,-1.11,41,9.9,0.36,75.0,182.0,-0.87,218,105,91,119,0.66,,,,,,,,,,,,,,,,8.8,-0.54,No,-1.06,10,8,12,8,6,10,2,1,3,1,0,2,-1.29,84,82,86,0.58,,,,,,,,,,,,,,,,15791,14,12,17,-1.6,
4,5,5007,Arkansas,Benton,,2661,6080,5751,6410,-2.24,,,,,5475.0,3978.0,7350.0,,5912.0,3862.0,8662.0,,3315.0,2728.0,3903.0,,6707.0,6293.0,7121.0,,20,17,23,-2.02,4.3,3.9,4.7,-2.55,4.4,4.0,4.8,-3.22,,7,7,8,-0.85,7.0,4.0,9.0,10.0,8.0,11.0,9.0,7.0,12.0,7.0,6.0,8.0,7.0,7.0,8.0,19,16,21,-3.0,31,28.0,35.0,-0.94,8.1,-1.99,23,20.0,26.0,-2.2,77,-1.34,19,18,19,1.99,31,111,28,23,33,0.17,837,314.3,-0.72,26,25,27,-1.34,30.0,21.0,42.0,25.0,19.0,33.0,13.0,8.0,22.0,38.0,34.0,41.0,22.0,21.0,24.0,23281,10,9,11,0.08,164.0,60.0,1662,-0.54,113.0,40.0,2470,-0.15,640.0,229.0,436,-0.57,3012,-1.61,4591.0,830.0,3240.0,3222.0,2983.0,44,-1.95,44.0,37.0,28.0,23.0,46.0,53,-1.2,60.0,47.0,31.0,33.0,54.0,154050,173907,89,88,89,-1.15,48470,77153,63,61,65,-1.32,3601,137211,2.6,-1.77,12,9,15,-1.96,49.0,13.0,14.0,23.0,9.0,129246,31060,4.2,-0.94,12434,70364,18,16,20,-1.18,229,8.4,0.77,662.0,275.0,-0.5,783,59,55,63,-1.8,49.0,25.0,88.0,16.0,8.0,30.0,,,,18.0,13.0,25.0,72.0,66.0,77.0,9.5,1.03,Yes,0.93,11,10,12,8,7,9,3,3,4,0,0,1,-0.87,85,84,86,0.82,80.0,61.0,98.0,78.0,72.0,84.0,89.0,83.0,94.0,78.0,75.0,82.0,86.0,85.0,87.0,128735,22,20,23,-0.92,
5,6,5009,Arkansas,Boone,,627,9184,8051,10318,-0.68,,,,,,,,,,,,,,,,,,,,,24,21,27,-0.86,5.1,4.6,5.6,-0.68,5.0,4.6,5.5,-0.93,,7,6,8,-0.97,,,,,,,,,,,,,,,,25,21,28,-0.23,29,23.0,36.0,-1.28,6.8,-0.59,32,27.0,39.0,-0.26,54,-0.14,17,16,19,1.21,7,41,17,10,26,-0.79,125,334.4,-0.66,37,33,41,-0.4,,,,,,,,,,,,,,,,2610,9,8,10,-0.46,28.0,75.0,1339,-1.1,21.0,56.0,1782,-1.17,49.0,131.0,764,0.19,4058,-0.84,,,,,,40,-1.03,,23.0,,,41.0,46,-0.37,21.0,61.0,,53.0,46.0,22712,25983,87,85,90,-0.83,5304,8730,61,54,67,-1.05,511,16036,3.2,-1.13,19,12,25,-1.07,9.0,2.0,,23.0,19.0,85677,21997,3.9,-1.33,1835,8525,22,16,27,-0.81,43,11.5,-0.09,206.0,551.0,0.61,164,88,74,101,-0.27,,,,,,,,,,,,,,,,8.4,-1.45,Yes,0.93,12,9,14,8,6,10,3,1,4,1,0,2,-0.72,83,79,86,0.18,,,,,,,,,,,,,,,,15796,23,19,27,-0.79,
6,7,5011,Arkansas,Bradley,,214,12357,9744,14969,0.92,,,,,,,,,18952.0,13201.0,26358.0,,,,,,9788.0,6797.0,12779.0,,29,27,32,0.85,5.6,5.2,5.9,0.48,5.2,4.9,5.5,-0.33,,10,8,12,0.61,,,,,,,16.0,12.0,21.0,7.0,3.0,10.0,8.0,5.0,10.0,25,22,27,-0.11,31,20.0,43.0,-0.92,6.5,-0.27,37,26.0,49.0,0.73,67,-0.81,15,14,16,-0.75,1,6,17,1,43,-0.82,64,589.1,0.21,41,33,50,-0.09,,,,,,,48.0,33.0,67.0,34.0,20.0,54.0,39.0,28.0,53.0,992,11,10,13,0.95,6.0,55.0,1816,-0.35,4.0,37.0,2691,0.06,3.0,28.0,3588,0.98,4926,-0.21,,,5917.0,,4400.0,31,1.03,,,31.0,,32.0,52,-1.09,,,44.0,31.0,54.0,6094,7520,81,78,84,0.95,1251,2664,47,39,55,0.71,185,4483,4.1,-0.07,31,21,42,0.61,,,41.0,57.0,9.0,85500,17308,4.9,0.21,1027,2591,40,30,49,0.93,13,11.9,-0.21,29.0,261.0,-0.55,46,84,62,112,-0.46,,,,,,,118.0,70.0,187.0,,,,72.0,45.0,109.0,9.1,0.13,No,-1.06,16,12,20,14,10,18,4,2,6,1,0,2,1.18,81,77,84,-0.44,,,,,,,76.0,61.0,91.0,,,,78.0,73.0,83.0,4026,32,24,39,0.02,
7,8,5013,Arkansas,Calhoun,,134,12031,8541,15522,0.75,,,,,,,,,,,,,,,,,,,,,27,24,29,0.12,5.4,5.0,5.8,0.04,5.3,4.9,5.6,-0.06,,9,6,13,0.23,,,,,,,,,,,,,,,,26,23,28,0.31,26,17.0,36.0,-1.89,4.6,1.78,40,28.0,53.0,1.19,11,2.1,16,15,17,0.3,1,6,17,1,43,-0.82,23,438.3,-0.3,30,20,43,-1.01,,,,,,,47.0,23.0,84.0,,,,23.0,13.0,38.0,325,8,7,10,-0.81,1.0,19.0,5277,1.03,,,nan,0.0,,,nan,0.0,2316,-2.12,,,,,,35,0.12,,,31.0,,36.0,34,1.05,,,19.0,,36.0,3131,3717,84,80,88,0.06,630,1141,55,41,70,-0.34,108,2453,4.4,0.25,20,12,28,-0.88,,,76.0,13.0,6.0,90089,17800,5.1,0.39,318,968,33,18,47,0.28,7,13.3,-0.58,11.0,211.0,-0.76,31,119,81,169,1.39,,,,,,,,,,,,,,,,9.2,0.36,No,-1.06,12,7,16,10,6,15,1,0,3,1,0,2,-0.67,84,77,91,0.58,,,,,,,91.0,82.0,99.0,,,,90.0,83.0,98.0,2101,30,21,39,-0.12,
8,9,5015,Arkansas,Carroll,,520,10103,8650,11557,-0.21,,,,,,,,,,,,,,,,,,,,,24,21,27,-0.83,5.0,4.5,5.4,-0.99,4.8,4.4,5.2,-1.59,,6,5,7,-1.47,,,,8.0,3.0,13.0,,,,4.0,2.0,5.0,7.0,6.0,8.0,22,19,25,-1.29,30,22.0,38.0,-1.23,7.6,-1.45,34,27.0,41.0,0.0,52,-0.05,17,16,18,0.63,21,53,40,33,46,1.21,70,250.5,-0.94,43,38,49,0.13,,,,105.0,60.0,171.0,,,,47.0,36.0,60.0,39.0,33.0,45.0,2740,13,11,15,1.68,15.0,53.0,1882,-0.28,8.0,28.0,3548,0.65,23.0,81.0,1234,0.57,2799,-1.76,,,,1471.0,2761.0,36,-0.11,,,,26.0,36.0,46,-0.37,,69.0,,23.0,46.0,17128,19852,86,84,88,-0.51,2589,5868,44,37,51,1.08,400,12783,3.1,-1.2,19,10,28,-1.02,,48.0,10.0,34.0,10.0,86349,19770,4.4,-0.63,921,6085,15,8,22,-1.43,38,13.5,-0.64,94.0,337.0,-0.25,158,113,95,131,1.07,,,,,,,,,,,,,,,,8.3,-1.67,Yes,0.93,16,13,19,9,6,12,5,3,7,2,1,4,0.91,81,77,85,-0.39,,,,,,,,,,75.0,62.0,88.0,81.0,77.0,85.0,11827,24,20,28,-0.7,
9,10,5017,Arkansas,Chicot,,229,13710,10945,16476,1.6,,,,,,,,,14783.0,11050.0,18516.0,,,,,,13085.0,8891.0,18573.0,,32,29,35,1.78,5.9,5.5,6.3,1.22,5.3,5.0,5.7,0.24,,11,9,14,1.25,,,,,,,14.0,11.0,17.0,15.0,6.0,23.0,5.0,2.0,7.0,26,24,29,0.67,41,32.0,49.0,0.77,3.1,3.0,35,28.0,43.0,0.28,29,1.13,14,14,15,-1.33,5,30,17,8,27,-0.82,84,789.8,0.88,48,39,58,0.58,,,,,,,58.0,46.0,74.0,,,,34.0,22.0,52.0,682,9,8,10,-0.36,11.0,105.0,949,-2.27,7.0,69.0,1445,-2.03,60.0,593.0,169,-3.0,8130,2.13,,,9677.0,,7333.0,37,-0.34,,,40.0,,34.0,28,1.76,,,16.0,,36.0,6010,7441,81,78,84,1.03,1121,2358,48,39,56,0.64,228,3285,6.9,3.0,45,30,60,2.47,,,53.0,60.0,21.0,73438,12162,6.0,1.84,1020,2364,43,34,52,1.27,12,11.5,-0.09,41.0,367.0,-0.13,56,105,80,137,0.67,,,,,,,94.0,62.0,137.0,,,,138.0,92.0,198.0,8.6,-0.99,No,-1.06,17,12,21,15,10,19,3,1,4,1,0,1,1.36,78,73,84,-1.09,,,,,,,76.0,65.0,87.0,,,,88.0,85.0,90.0,3282,28,21,36,-0.31,
