,Unnamed: 0,FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low.1,95% CI - High.1,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths.1,Child Mortality Rate,95% CI - Low.2,95% CI - High.2,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths.2,Infant Mortality Rate,95% CI - Low.3,95% CI - High.3,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low.4,95% CI - High.4,% Frequent Mental Distress,95% CI - Low.5,95% CI - High.5,% Adults with Diabetes,95% CI - Low.6,95% CI - High.6,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low.7,95% CI - High.7,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low.8,95% CI - High.8,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low.9,95% CI - High.9,# Uninsured (Adults),% Uninsured (Adults),95% CI - Low (Adults),95% CI - High (Adults),# Uninsured (Children),% Uninsured (Children),95% CI - Low (Children),95% CI - High (Children),Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low.10,95% CI - High.10,Average Grade Performance (Math),Average Grade Performance (Asian) (Math),Average Grade Performance (Black) (Math),Average Grade Performance (Hispanic) (Math),Average Grade Performance (White) (Math),Average Grade Performance (Reading),Average Grade Performance (Asian) (Reading),Average Grade Performance (Black) (Reading),Average Grade Performance (Hispanic) (Reading),Average Grade Performance (White) (Reading),Median Household Income,95% CI - Low.11,95% CI - High.11,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low.12,95% CI - High.12,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths.3,Suicide Rate (Age-Adjusted),95% CI - Low.13,95% CI - High.13,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low.14,95% CI - High.14,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low.15,95% CI - High.15,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low.16,95% CI - High.16,% Broadband Access,Numerator,95% CI - Low.17,95% CI - High.17,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low.18,95% CI - High.18,% Female,# Rural,% Rural,Unnamed: 277
0,1,6000,California,,81.7,81.6,81.7,78.3,77.7,78.8,87.7,87.6,87.8,76.2,76.0,76.3,83.8,83.7,83.9,80.5,80.4,80.5,350612,268,267,269,441.0,425.0,456.0,157.0,155.0,159.0,482.0,477.0,487.0,239.0,237.0,240.0,293.0,292.0,295.0,12984.0,36.0,35.0,37.0,49.0,39.0,60.0,29.0,27.0,30.0,67.0,64.0,70.0,36.0,35.0,37.0,33.0,32.0,34.0,14503.0,4.0,4.0,4.0,5.0,4.0,6.0,4.0,3.0,4.0,8.0,8.0,9.0,4.0,4.0,4.0,4.0,4.0,4.0,12,11,12,11,11,12,9,,,131013.0,396.0,4291830,11,1225949,3,16414.0,14.0,14.0,14.0,34.0,29.0,38.0,4.0,3.0,4.0,23.0,22.0,24.0,8.0,8.0,8.0,22.0,21.0,22.0,26096.0,10.0,9.0,10.0,18.0,16.0,20.0,5.0,5.0,5.0,13.0,13.0,14.0,10.0,10.0,10.0,10.0,10.0,10.0,35,33,36,2511196,10,10,11,296145,3,3,3,68,1481,434814.0,87.0,6.0,6.0,7.0,2.9,3.6,2.4,2.6,3.3,2.7,3.6,2.2,2.5,3.1,80423,80050,80796,55362.0,53962.0,56762.0,96962.0,96347.0,97577.0,51837.0,51219.0,52455.0,58703.0,58347.0,59059.0,87089,86726,87452,59,55.0,38.0,5.0,5.0,5.0,10.0,8.0,11.0,2.0,2.0,2.0,21.0,20.0,22.0,6.0,5.0,6.0,3.0,3.0,3.0,21654.0,11.0,10.0,11.0,11.0,15.0,13.0,17.0,6.0,6.0,7.0,7.0,7.0,8.0,6.0,6.0,6.0,16.0,16.0,16.0,15448.0,8.0,8.0,8.0,13.0,11.0,15.0,3.0,2.0,3.0,20.0,19.0,21.0,6.0,6.0,6.0,10.0,9.0,10.0,,,,,1991,7154580,55,55,55,2502809,20,20,20,87,11303564,86,87,39512223,22.5,14.8,2221363,5.6,649862,1.6,6110945,15.5,199805,0.5,15574880,39.4,14423748,36.5,3523601,10,10.0,10.0,50.3,1880350,5.0,
1,2,6001,California,Alameda,83.1,82.9,83.2,82.3,77.9,86.7,88.6,88.2,89.0,75.7,75.3,76.1,84.5,84.0,85.0,82.2,82.0,82.4,12711,228,224,232,396.0,311.0,497.0,130.0,125.0,136.0,502.0,484.0,519.0,211.0,201.0,221.0,229.0,223.0,236.0,429.0,31.0,28.0,34.0,,,,28.0,23.0,33.0,52.0,42.0,65.0,33.0,28.0,39.0,24.0,19.0,29.0,497.0,4.0,3.0,4.0,,,,3.0,3.0,4.0,7.0,6.0,8.0,3.0,3.0,4.0,3.0,2.0,3.0,11,10,11,11,10,12,7,6.0,8.0,6055.0,427.0,150140,9,15141,1,568.0,11.0,10.0,12.0,,,,3.0,2.0,4.0,28.0,24.0,33.0,9.0,7.0,11.0,15.0,13.0,17.0,686.0,6.0,6.0,6.0,,,,4.0,3.0,5.0,9.0,7.0,11.0,7.0,6.0,8.0,6.0,5.0,7.0,33,32,34,63772,6,5,6,8207,2,2,3,57,1745,15783.0,87.0,5.0,4.0,5.0,3.1,3.6,2.3,2.5,3.6,3.0,3.7,2.1,2.4,3.5,107589,104926,110252,71268.0,63491.0,79045.0,124079.0,121949.0,126209.0,51749.0,49803.0,53695.0,77990.0,76265.0,79715.0,114427,112565,116289,43,50.0,36.0,6.0,6.0,6.0,,,,1.0,1.0,2.0,29.0,26.0,32.0,6.0,5.0,7.0,2.0,2.0,3.0,774.0,9.0,8.0,9.0,9.0,,,,5.0,4.0,6.0,8.0,6.0,10.0,6.0,5.0,7.0,14.0,13.0,15.0,613.0,7.0,7.0,8.0,,,,2.0,1.0,2.0,28.0,24.0,31.0,7.0,6.0,8.0,7.0,6.0,8.0,,,,,2670,308891,54,53,54,96579,17,17,18,89,513047,89,89,1671329,20.3,14.3,169954,10.2,17797,1.1,540391,32.3,15761,0.9,373055,22.3,512134,30.6,123725,8,,,50.7,5869,0.4,
2,3,6003,California,Alpine,,,,,,,,,,,,,,,,,,,45,1107,747,1581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,14,17,16,14,17,7,3.0,15.0,,,170,15,147,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,33,36,49,8,6,9,9,4,3,5,0,1129,,,,,,,,,,,,,,,,58112,49601,66623,44000.0,32801.0,55199.0,,,,,,,30750.0,19481.0,42019.0,78125,45790,110460,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,294,84,79,89,46,13,0,27,83,289,79,86,1129,17.7,26.4,4,0.4,290,25.7,18,1.6,0,0.0,139,12.3,692,61.3,21,2,0.0,8.0,46.1,1175,100.0,
3,4,6005,California,Amador,80.5,79.6,81.4,,,,,,,,,,83.0,79.7,86.2,80.1,79.0,81.1,537,294,266,322,,,,,,,,,,237.0,170.0,322.0,308.0,274.0,341.0,12.0,51.0,26.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,14,14,13,15,17,11.0,26.0,209.0,594.0,4110,11,1360,4,25.0,21.0,14.0,31.0,,,,,,,,,,,,,,,,54.0,20.0,15.0,27.0,,,,,,,,,,,,,,,,33,32,35,1315,7,6,8,196,3,2,4,58,1728,356.0,89.0,15.0,6.0,24.0,2.7,,,2.5,2.8,2.5,,,2.3,2.5,62640,58028,67252,,,,85893.0,46884.0,124902.0,,,,84821.0,65592.0,104050.0,61164,57449,64879,42,,14.0,6.0,3.0,9.0,,,,,,,,,,,,,,,,53.0,24.0,18.0,33.0,28.0,,,,,,,,,,,,,,,,34.0,18.0,12.0,25.0,,,,,,,,,,,,,,,,,,,,110,11165,77,74,79,2417,17,14,20,85,12351,83,87,39752,15.1,27.5,994,2.5,925,2.3,665,1.7,116,0.3,5753,14.5,30742,77.3,441,1,1.0,2.0,45.6,23016,60.4,
4,5,6007,California,Butte,77.9,77.6,78.3,76.9,72.6,81.3,83.2,80.2,86.1,75.3,72.3,78.4,82.6,81.2,84.0,77.4,77.0,77.8,3164,391,376,405,491.0,378.0,627.0,324.0,260.0,399.0,550.0,425.0,699.0,237.0,204.0,270.0,410.0,393.0,427.0,72.0,40.0,31.0,50.0,,,,,,,,,,29.0,16.0,50.0,37.0,27.0,50.0,71.0,4.0,3.0,5.0,,,,,,,,,,,,,,,,14,13,16,15,14,16,10,8.0,14.0,259.0,131.0,32300,14,16363,7,160.0,24.0,20.0,27.0,,,,,,,,,,,,,,,,223.0,14.0,12.0,16.0,,,,,,,,,,14.0,10.0,19.0,15.0,13.0,17.0,35,34,37,12789,9,8,11,1502,3,2,4,113,887,2085.0,87.0,6.0,4.0,8.0,2.7,2.6,2.4,2.6,2.9,2.5,2.6,2.1,2.4,2.7,58394,53623,63165,45000.0,30634.0,59366.0,48668.0,43723.0,53613.0,30360.0,20359.0,40361.0,47729.0,44582.0,50876.0,54549,52326,56772,59,59.0,28.0,3.0,3.0,4.0,,,,,,,,,,,,,,,,229.0,19.0,17.0,22.0,20.0,,,,,,,,,,9.0,5.0,15.0,22.0,19.0,25.0,162.0,14.0,12.0,17.0,,,,,,,,,,9.0,5.0,14.0,16.0,13.0,18.0,,,,,449,50331,59,58,60,15648,19,18,20,85,72838,84,87,219186,20.3,18.4,3526,1.6,5547,2.5,10984,5.0,628,0.3,37731,17.2,155415,70.9,5358,3,2.0,3.0,50.5,41584,18.9,
5,6,6009,California,Calaveras,79.6,78.6,80.6,,,,,,,,,,86.4,82.0,90.7,79.1,78.0,80.1,720,348,318,378,,,,,,,,,,207.0,145.0,287.0,364.0,330.0,398.0,16.0,51.0,29.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,14,14,13,16,11,6.0,17.0,44.0,109.0,5510,12,1252,3,27.0,20.0,13.0,29.0,,,,,,,,,,,,,,,,85.0,27.0,21.0,33.0,,,,,,,,,,,,,,,,32,31,34,2162,9,7,10,288,4,3,5,24,4173,424.0,91.0,,,,2.7,,,2.6,2.7,2.4,,,2.2,2.4,68248,60520,75976,,,,,,,,,,69696.0,50065.0,89327.0,63324,58117,68531,53,59.0,22.0,5.0,3.0,8.0,,,,,,,,,,,,,,,,62.0,24.0,18.0,32.0,27.0,,,,,,,,,,,,,,,,49.0,22.0,16.0,29.0,,,,,,,,,,,,,,,,,,,,44,13173,78,76,80,2788,17,14,20,82,13935,79,85,45905,17.1,28.0,420,0.9,905,2.0,859,1.9,122,0.3,5967,13.0,36672,79.9,333,1,0.0,1.0,50.2,34370,75.4,
6,7,6011,California,Colusa,79.9,78.6,81.2,,,,,,,,,,85.2,81.9,88.5,77.8,75.9,79.8,234,337,293,381,,,,,,,,,,224.0,174.0,284.0,425.0,347.0,503.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,14,16,15,13,16,16,8.0,26.0,16.0,92.0,2950,14,632,3,,,,,,,,,,,,,,,,,,,,35.0,23.0,16.0,32.0,,,,,,,,,,,,,,,,33,32,35,1859,15,13,17,253,4,3,6,28,3591,392.0,90.0,,,,2.8,,,,,2.6,,,,,59048,51551,66545,86705.0,51238.0,122172.0,,,,,,,61675.0,55491.0,67859.0,58512,50452,66572,75,31.0,6.0,,,,,,,,,,,,,,,,,,,10.0,10.0,5.0,18.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,4410,61,58,64,779,11,8,14,81,5853,78,84,21547,27.1,14.9,220,1.0,594,2.8,337,1.6,130,0.6,13018,60.4,7344,34.1,2953,15,13.0,17.0,49.1,6795,31.7,
7,8,6013,California,Contra Costa,82.5,82.3,82.7,78.6,75.9,81.4,88.4,87.8,89.0,76.6,76.0,77.2,85.2,84.6,85.8,81.9,81.7,82.2,9449,232,227,237,384.0,289.0,500.0,142.0,134.0,151.0,443.0,421.0,465.0,190.0,180.0,201.0,237.0,230.0,244.0,317.0,30.0,27.0,34.0,,,,21.0,15.0,29.0,48.0,36.0,63.0,34.0,28.0,39.0,27.0,21.0,32.0,316.0,4.0,3.0,4.0,,,,2.0,2.0,3.0,6.0,4.0,8.0,4.0,3.0,5.0,3.0,3.0,4.0,11,10,12,12,11,13,9,7.0,10.0,2675.0,276.0,96040,9,31140,3,441.0,13.0,12.0,14.0,,,,4.0,2.0,5.0,22.0,17.0,28.0,9.0,7.0,11.0,16.0,14.0,18.0,584.0,7.0,7.0,8.0,,,,4.0,3.0,6.0,14.0,12.0,17.0,7.0,6.0,9.0,7.0,6.0,8.0,33,32,34,50205,7,6,8,7788,3,2,3,51,1955,13435.0,88.0,5.0,4.0,6.0,3.0,3.6,2.3,2.5,3.4,2.8,3.6,2.0,2.3,3.3,106555,102741,110369,75822.0,62270.0,89374.0,119516.0,116244.0,122788.0,66852.0,62187.0,71517.0,74373.0,71759.0,76987.0,111774,110002,113546,41,53.0,37.0,6.0,5.0,6.0,,,,1.0,1.0,2.0,29.0,25.0,33.0,5.0,4.0,6.0,2.0,2.0,3.0,589.0,10.0,9.0,11.0,10.0,,,,7.0,5.0,8.0,8.0,6.0,11.0,6.0,5.0,8.0,13.0,12.0,15.0,468.0,8.0,7.0,9.0,,,,2.0,1.0,3.0,29.0,24.0,33.0,6.0,5.0,8.0,7.0,6.0,8.0,,,,,1505,260244,66,65,66,63787,16,16,17,92,361852,91,92,1153526,22.4,16.3,100798,8.7,11709,1.0,211118,18.3,6871,0.6,300420,26.0,492393,42.7,69338,6,,,51.1,8316,0.8,
8,9,6015,California,Del Norte,76.4,75.4,77.5,69.2,64.2,74.2,,,,,,,85.1,79.7,90.4,75.8,74.5,77.0,515,480,436,524,830.0,616.0,1094.0,,,,,,,212.0,136.0,315.0,513.0,459.0,567.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,17,16,15,17,17,9.0,30.0,27.0,114.0,4570,17,4006,14,14.0,17.0,9.0,28.0,,,,,,,,,,,,,,,,44.0,23.0,17.0,31.0,85.0,45.0,145.0,,,,,,,,,,21.0,14.0,30.0,36,35,37,1283,9,8,11,184,3,2,4,79,1264,255.0,87.0,19.0,9.0,29.0,2.5,,,2.4,2.6,2.2,,,2.1,2.3,48979,42950,55008,37924.0,22990.0,52858.0,82875.0,17208.0,148542.0,103661.0,5340.0,201982.0,41803.0,29021.0,54585.0,45974,39750,52198,67,51.0,21.0,9.0,6.0,15.0,,,,,,,,,,,,,,,,24.0,16.0,10.0,25.0,17.0,,,,,,,,,,,,,,,,20.0,15.0,9.0,22.0,,,,,,,,,,,,,,,,,,,,99,6273,63,59,67,1431,15,12,18,80,7929,76,84,27812,20.9,18.4,917,3.3,2692,9.7,861,3.1,54,0.2,5596,20.1,17236,62.0,429,2,1.0,2.0,45.4,9634,33.7,
9,10,6017,California,El Dorado,82.3,81.9,82.7,81.8,76.2,87.4,87.6,85.1,90.1,79.9,76.1,83.6,86.7,84.3,89.1,81.9,81.4,82.3,1932,236,225,248,,,,109.0,77.0,148.0,,,,192.0,159.0,226.0,248.0,235.0,261.0,35.0,23.0,16.0,32.0,,,,,,,,,,,,,,,,27.0,2.0,2.0,4.0,,,,,,,,,,,,,,,,11,10,12,13,11,14,8,6.0,11.0,207.0,126.0,17040,9,10967,6,98.0,17.0,14.0,21.0,,,,,,,,,,,,,,,,170.0,13.0,11.0,15.0,,,,,,,,,,11.0,7.0,18.0,14.0,12.0,16.0,30,29,32,7639,7,6,8,1079,3,2,3,47,2119,1963.0,92.0,4.0,2.0,5.0,3.1,3.5,,2.6,3.2,2.9,3.4,,2.4,3.0,86202,80005,92399,,,,122306.0,113525.0,131087.0,87944.0,33001.0,142887.0,71866.0,64603.0,79129.0,83123,80101,86145,30,55.0,27.0,3.0,2.0,4.0,,,,,,,,,,,,,,,,172.0,18.0,15.0,20.0,18.0,,,,,,,,,,8.0,4.0,15.0,20.0,17.0,24.0,103.0,11.0,9.0,13.0,,,,,,,,,,,,,,,,,,,,212,53750,76,75,77,11058,16,15,17,87,61899,86,88,192843,19.8,21.9,1696,0.9,2574,1.3,9317,4.8,436,0.2,25378,13.2,148903,77.2,2847,2,1.0,2.0,50.1,62827,34.7,
