,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,6000,California,,,350612.0,5253.0,5228.0,5278.0,,9636.0,9156.0,10117.0,,3130.0,3078.0,3183.0,,9685.0,9548.0,9822.0,,4830.0,4792.0,4868.0,,5636.0,5592.0,5680.0,,18,17,19,,3.9,3.7,4.0,,3.7,3.6,3.9,,,7.0,7.0,7.0,,8.0,7.0,8.0,8.0,7.0,8.0,12.0,11.0,12.0,7.0,6.0,7.0,6.0,6.0,6.0,11,11,12,,24,,,,8.8,,18,,,,93,,18,17,19,,5252,18277,29,28,29,,231415,585.3,,17.0,17.0,18.0,,22.0,20.0,23.0,3.0,3.0,3.0,21.0,21.0,22.0,26.0,26.0,26.0,7.0,7.0,7.0,2772644,8,8,8,,31557,80,1254,,34385,87,1149,,147533,373,268,,3358,,5165.0,2553.0,5940.0,3857.0,3124.0,36,,27.0,33.0,29.0,29.0,40.0,43,,35.0,48.0,28.0,34.0,46,22052868,26471543,83,83.0,83.0,,7341539,11173751,66,66.0,66.0,,784199,19411578,4.0,,16,15,16,,27.0,10.0,28.0,24,9.0,154403,29898,5.2,,2024881,8997470,23,22,23,,23360,5.9,,164253,421,,102015,52,51,52,,94.0,88.0,100.0,26.0,25.0,26.0,76.0,75.0,78.0,37.0,36.0,37.0,72.0,72.0,73.0,8.1,,,,26,26,27,20,20,20,8,8,8,1,1,1,,74,74,74,,71.0,68.0,74.0,71.0,71.0,71.0,73.0,73.0,73.0,74.0,74.0,74.0,75.0,75.0,75.0,18191555,42,42,42,,
1,2,6001,California,Alameda,,12711.0,4341.0,4230.0,4452.0,-1.06,8387.0,6019.0,11379.0,,2663.0,2494.0,2832.0,,9980.0,9482.0,10478.0,,4186.0,3962.0,4410.0,,4088.0,3901.0,4275.0,,15,13,17,-0.99,3.8,3.5,4.1,-1.17,4.0,3.7,4.3,-1.21,,7.0,7.0,7.0,0.66,8.0,5.0,12.0,8.0,8.0,8.0,11.0,10.0,12.0,6.0,6.0,6.0,6.0,5.0,6.0,11,10,13,-1.54,22,20.0,25.0,-0.83,8.9,-1.19,15,13.0,16.0,-1.14,100,-1.12,18,18,18,-1.31,109,435,25,23,28,-0.67,9701,583.3,0.61,10.0,10.0,10.0,-1.18,11.0,5.0,19.0,2.0,2.0,2.0,17.0,16.0,18.0,19.0,18.0,20.0,3.0,3.0,4.0,70837,5,5,5,-1.57,1835,110,908,-1.27,1606,96,1041,-0.82,10826,648,154,-1.45,3023,-0.23,515.0,2178.0,5277.0,3037.0,2751.0,37,0.04,28.0,36.0,31.0,32.0,40.0,46,-0.65,40.0,52.0,28.0,38.0,51,1037138,1172662,88,,,-0.53,398956,524249,76,,,-1.41,24671,844346,2.9,-0.81,10,8,11,-1.08,18.0,5.0,29.0,17,5.0,196571,38001,5.2,0.72,67574,342905,20,19,21,-0.63,1086,6.5,-0.18,10242,629,1.39,3539,43,41,44,-1.05,72.0,44.0,111.0,20.0,19.0,22.0,92.0,85.0,98.0,34.0,31.0,36.0,53.0,51.0,56.0,8.7,0.04,No,-1.48,23,23,24,17,17,18,7,7,8,1,1,1,0.25,61,60,61,-1.52,68.0,62.0,73.0,67.0,67.0,68.0,67.0,65.0,69.0,69.0,68.0,70.0,68.0,68.0,69.0,781901,48,47,48,1.23,
2,3,6003,California,Alpine,x,,,,,0.0,,,,,,,,,,,,,,,,,,,,,20,18,23,0.27,5.0,4.6,5.5,1.07,5.0,4.6,5.4,1.12,,,,,0.0,,,,,,,,,,,,,,,,18,16,21,1.42,17,8.0,29.0,-1.73,6.8,1.33,20,12.0,31.0,-0.15,100,-1.14,21,20,22,0.21,4,15,27,13,41,-0.5,12,1071.4,3.0,,,,0.0,,,,,,,,,,,,,,,,58,7,6,8,-0.48,0,0,1101,2.12,0,0,1129,2.84,4,354,282,0.09,3018,-0.23,,,,,,41,-0.9,,,,,,32,1.18,26.0,,,,31,702,770,91,85.0,97.0,-0.91,111,214,52,32.0,72.0,0.88,28,551,5.1,-0.01,30,19,41,1.9,46.0,,,59,,127917,30242,4.2,-0.82,84,201,42,20,63,2.98,0,0.0,2.61,5,442,0.15,12,217,112,379,3.0,,,,,,,,,,,,,,,,5.4,-0.98,No,-1.48,28,17,39,28,13,42,4,0,12,0,0,7,1.43,62,45,79,-1.42,,,,,,,,,,,,,,,,330,23,12,34,-0.91,
3,4,6005,California,Amador,,537.0,6204.0,5224.0,7184.0,-0.16,,,,,,,,,,,,,4920.0,3184.0,7262.0,,6540.0,5365.0,7715.0,,17,15,19,-0.58,4.3,4.0,4.7,-0.22,4.5,4.1,4.9,-0.04,,6.0,5.0,8.0,-0.24,,,,,,,,,,7.0,4.0,10.0,6.0,5.0,7.0,16,14,18,0.39,30,22.0,39.0,0.49,8.3,-0.47,24,17.0,33.0,0.6,76,0.36,25,24,26,1.74,19,60,32,25,38,0.04,63,163.1,-1.5,16.0,13.0,20.0,-0.45,,,,,,,,,,19.0,12.0,28.0,16.0,12.0,20.0,1487,6,5,7,-1.01,25,63,1575,0.16,27,68,1472,0.25,96,241,414,0.69,2802,-0.5,6095.0,,,2667.0,2860.0,42,-1.14,21.0,42.0,,33.0,43.0,47,-0.78,52.0,51.0,8.0,41.0,47,27271,30295,90,88.0,92.0,-0.75,5244,8411,62,56.0,69.0,-0.11,572,14900,3.8,-0.47,13,8,17,-0.68,,,,17,11.0,116042,26361,4.4,-0.54,1062,5761,18,13,24,-0.84,27,6.9,-0.33,87,237,-1.23,184,96,82,110,0.5,,,,,,,,,,56.0,31.0,92.0,107.0,90.0,123.0,9.0,0.13,No,-1.48,18,15,21,16,14,19,2,1,3,1,1,2,-1.12,79,76,82,0.6,,,,,,,,,,76.0,66.0,87.0,76.0,74.0,79.0,13281,45,39,51,0.99,
4,5,6007,California,Butte,,3164.0,7578.0,7174.0,7982.0,0.5,9969.0,6819.0,14074.0,,6302.0,4809.0,8111.0,,9503.0,6905.0,12757.0,,4880.0,4094.0,5666.0,,8052.0,7557.0,8547.0,,19,17,21,-0.08,4.7,4.3,5.1,0.5,5.1,4.7,5.4,1.31,,6.0,6.0,6.0,-0.76,5.0,3.0,7.0,7.0,5.0,8.0,10.0,7.0,13.0,6.0,6.0,7.0,6.0,5.0,6.0,17,14,19,0.69,30,25.0,36.0,0.51,7.4,0.61,23,19.0,28.0,0.37,84,-0.16,22,21,23,0.42,57,177,32,28,36,0.1,1316,573.9,0.56,16.0,15.0,17.0,-0.48,33.0,23.0,45.0,12.0,9.0,16.0,29.0,22.0,39.0,18.0,16.0,21.0,14.0,13.0,15.0,14119,8,7,9,-0.12,140,61,1652,0.25,164,75,1337,-0.01,1571,717,140,-1.81,4748,1.87,8803.0,2014.0,8168.0,3728.0,4747.0,40,-0.67,25.0,28.0,29.0,33.0,41.0,40,0.14,25.0,32.0,27.0,36.0,40,131645,147509,89,88.0,90.0,-0.64,36594,53402,69,66.0,71.0,-0.69,5080,99242,5.1,0.01,16,11,21,-0.13,26.0,28.0,31.0,21,17.0,110060,20269,5.4,1.13,9389,45316,21,18,23,-0.47,174,7.5,-0.61,734,327,-0.63,1097,97,91,103,0.53,106.0,66.0,160.0,23.0,13.0,39.0,80.0,50.0,123.0,51.0,41.0,62.0,113.0,106.0,120.0,7.6,-0.3,No,-1.48,22,21,24,19,18,21,3,3,3,1,1,2,-0.04,76,75,77,0.26,75.0,68.0,82.0,70.0,62.0,77.0,56.0,40.0,71.0,75.0,72.0,78.0,77.0,76.0,79.0,93125,24,22,26,-0.83,
5,6,6009,California,Calaveras,,720.0,7867.0,6787.0,8948.0,0.64,,,,,,,,,,,,,,,,,,,,,16,14,18,-0.73,4.2,3.9,4.6,-0.39,4.7,4.4,5.1,0.5,,6.0,5.0,7.0,-0.83,,,,,,,,,,7.0,4.0,9.0,6.0,5.0,7.0,16,13,18,0.26,28,20.0,38.0,0.19,8.2,-0.35,27,18.0,36.0,1.02,60,1.32,23,22,25,1.15,26,65,40,34,46,0.93,120,262.8,-1.0,13.0,10.0,15.0,-0.82,,,,,,,,,,11.0,7.0,18.0,13.0,11.0,17.0,2419,7,6,8,-0.27,19,42,2400,0.83,22,48,2087,1.01,76,166,604,1.09,2536,-0.82,,,,2603.0,2561.0,42,-1.14,39.0,31.0,,29.0,43.0,42,-0.12,42.0,34.0,34.0,38.0,43,31424,34848,90,88.0,92.0,-0.77,4748,8440,56,49.0,63.0,0.47,812,21428,3.8,-0.49,20,13,26,0.39,,,,27,14.0,120885,28830,4.2,-0.88,2223,7733,29,20,38,0.84,40,8.8,-1.15,146,327,-0.62,227,100,87,113,0.62,,,,,,,,,,51.0,28.0,85.0,108.0,93.0,123.0,8.0,-0.18,Yes,0.67,21,18,24,19,16,23,2,1,3,1,0,1,-0.43,77,75,79,0.36,,,,,,,,,,72.0,68.0,75.0,68.0,64.0,71.0,16860,60,52,67,2.28,
6,7,6011,California,Colusa,,234.0,6576.0,5367.0,7785.0,0.02,,,,,,,,,,,,,5092.0,3791.0,6695.0,,7811.0,5491.0,10130.0,,24,21,27,1.17,4.8,4.4,5.2,0.71,4.7,4.3,5.0,0.36,,6.0,5.0,7.0,-0.7,,,,,,,,,,6.0,5.0,8.0,6.0,4.0,8.0,16,14,17,0.26,39,28.0,51.0,1.98,7.8,0.13,26,16.0,38.0,0.91,75,0.42,20,19,21,-0.6,6,42,14,7,23,-1.82,58,266.0,-0.98,26.0,21.0,30.0,0.66,,,,,,,,,,29.0,23.0,34.0,15.0,9.0,24.0,2087,12,10,13,1.96,6,28,3605,1.26,9,42,2394,1.25,36,167,599,1.08,4095,1.08,,,,2119.0,5035.0,33,0.99,,38.0,25.0,26.0,38.0,45,-0.52,27.0,47.0,24.0,43.0,46,9745,13677,71,69.0,74.0,1.88,2779,5447,51,44.0,58.0,0.96,1407,10993,12.8,2.87,15,11,20,-0.25,,,,17,26.0,104097,24039,4.3,-0.65,1110,5841,19,14,24,-0.75,11,5.1,0.43,43,201,-1.47,77,71,56,89,-0.21,,,,,,,,,,50.0,34.0,70.0,101.0,72.0,138.0,6.6,-0.61,No,-1.48,20,16,23,11,8,14,8,6,11,1,0,1,-0.75,79,75,82,0.59,,,,,,,,,,72.0,61.0,83.0,84.0,80.0,88.0,9469,33,28,38,-0.04,
7,8,6013,California,Contra Costa,,9449.0,4619.0,4475.0,4763.0,-0.93,7740.0,5222.0,11049.0,,2873.0,2599.0,3146.0,,9093.0,8469.0,9717.0,,3939.0,3689.0,4189.0,,4645.0,4417.0,4873.0,,15,13,17,-1.0,3.8,3.5,4.2,-1.1,4.1,3.8,4.4,-0.96,,7.0,7.0,7.0,0.33,8.0,5.0,12.0,8.0,8.0,9.0,11.0,11.0,12.0,6.0,6.0,6.0,6.0,5.0,6.0,11,10,13,-1.5,25,22.0,28.0,-0.35,8.9,-1.19,16,14.0,18.0,-0.87,97,-0.95,18,18,19,-1.19,113,372,30,28,33,-0.1,6189,539.4,0.39,10.0,10.0,11.0,-1.14,13.0,7.0,22.0,2.0,2.0,3.0,15.0,14.0,17.0,19.0,18.0,20.0,4.0,3.0,4.0,57099,6,5,6,-1.08,1190,103,967,-1.07,1029,89,1121,-0.56,4044,351,285,0.11,3222,0.01,6274.0,1976.0,5398.0,3249.0,3120.0,40,-0.67,25.0,37.0,34.0,31.0,44.0,48,-0.91,41.0,47.0,29.0,36.0,52,704257,787178,89,89.0,90.0,-0.67,214639,298402,72,,,-1.02,17261,561757,3.1,-0.76,10,8,12,-1.07,7.0,5.0,24.0,17,4.0,196326,41345,4.7,0.03,51707,260707,20,19,21,-0.61,637,5.5,0.24,3773,336,-0.57,2710,47,46,49,-0.91,64.0,35.0,108.0,24.0,21.0,27.0,80.0,73.0,88.0,35.0,32.0,38.0,56.0,53.0,59.0,8.1,-0.15,No,-1.48,20,20,21,16,16,17,5,4,5,1,1,1,-0.55,68,67,68,-0.74,76.0,66.0,86.0,70.0,70.0,71.0,72.0,70.0,74.0,72.0,70.0,73.0,75.0,75.0,76.0,544376,52,51,52,1.57,
8,9,6015,California,Del Norte,,515.0,8783.0,7609.0,9958.0,1.08,20524.0,14213.0,28680.0,,,,,,,,,,,,,,9231.0,7696.0,10766.0,,23,20,25,0.81,5.2,4.8,5.6,1.38,5.2,4.8,5.5,1.53,,6.0,5.0,7.0,-1.01,8.0,4.0,11.0,9.0,4.0,14.0,,,,5.0,2.0,7.0,5.0,4.0,7.0,19,17,21,1.71,34,23.0,46.0,1.13,6.3,1.93,33,21.0,46.0,2.08,89,-0.46,21,20,22,0.13,11,50,22,15,30,-0.99,89,324.0,-0.69,38.0,33.0,44.0,2.17,48.0,31.0,70.0,42.0,22.0,72.0,,,,33.0,23.0,45.0,38.0,31.0,46.0,1449,7,6,9,-0.3,17,61,1637,0.24,22,79,1264,-0.17,119,428,234,-0.29,2997,-0.26,,,,2244.0,3109.0,29,1.94,27.0,33.0,,30.0,29.0,38,0.4,31.0,33.0,,31.0,39,15726,19644,80,78.0,82.0,0.65,3240,7703,42,36.0,48.0,1.81,555,9674,5.7,0.24,26,16,36,1.33,27.0,,,17,20.0,93442,18552,5.0,0.49,1764,5901,30,21,38,1.03,10,3.6,1.07,167,609,1.26,144,104,87,121,0.75,217.0,139.0,323.0,,,,,,,40.0,20.0,72.0,121.0,98.0,143.0,5.8,-0.86,Yes,0.67,20,17,23,17,14,21,4,2,5,1,0,2,-0.63,75,72,79,0.18,63.0,50.0,77.0,,,,,,,86.0,80.0,91.0,75.0,71.0,79.0,8838,10,7,13,-2.07,
9,10,6017,California,El Dorado,,1932.0,4819.0,4439.0,5199.0,-0.83,,,,,,,,,,,,,3899.0,3044.0,4753.0,,5105.0,4649.0,5561.0,,13,12,15,-1.38,3.7,3.3,4.0,-1.44,4.1,3.7,4.4,-0.97,,7.0,6.0,7.0,-0.06,10.0,4.0,15.0,9.0,6.0,11.0,,,,8.0,7.0,9.0,6.0,6.0,7.0,13,11,16,-0.59,26,21.0,31.0,-0.26,8.5,-0.71,18,14.0,23.0,-0.5,90,-0.5,24,23,25,1.21,34,132,26,21,30,-0.59,447,236.5,-1.13,9.0,8.0,10.0,-1.29,24.0,11.0,43.0,,,,,,,16.0,13.0,19.0,7.0,6.0,8.0,8584,6,5,6,-1.18,150,79,1271,-0.3,151,78,1277,-0.14,667,346,289,0.14,3131,-0.1,10064.0,2222.0,5791.0,2830.0,3098.0,41,-0.9,39.0,34.0,42.0,37.0,42.0,48,-0.91,42.0,42.0,34.0,43.0,48,127999,137028,93,93.0,94.0,-1.22,27900,40170,69,66.0,73.0,-0.78,3237,92022,3.5,-0.59,9,6,12,-1.19,14.0,,10.0,14,9.0,161711,33761,4.8,0.09,6435,37815,17,14,20,-1.07,107,5.6,0.2,399,218,-1.36,683,72,67,78,-0.18,,,,24.0,12.0,42.0,,,,39.0,29.0,52.0,81.0,75.0,88.0,8.3,-0.08,No,-1.48,18,17,20,16,15,18,2,2,3,1,0,1,-1.13,77,75,78,0.38,,,,75.0,70.0,80.0,81.0,67.0,94.0,73.0,68.0,78.0,73.0,71.0,75.0,83461,40,38,42,0.56,
