,FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low,95% CI - High,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Adults with Diabetes,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low,95% CI - High,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low,95% CI - High,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured (Adults),% Uninsured (Adults),95% CI - Low (Adults),95% CI - High (Adults),# Uninsured (Children),% Uninsured (Children),95% CI - Low (Children),95% CI - High (Children),Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low,95% CI - High,Average Grade Performance (Math),Average Grade Performance (Asian) (Math),Average Grade Performance (Black) (Math),Average Grade Performance (Hispanic) (Math),Average Grade Performance (White) (Math),Average Grade Performance (Reading),Average Grade Performance (Asian) (Reading),Average Grade Performance (Black) (Reading),Average Grade Performance (Hispanic) (Reading),Average Grade Performance (White) (Reading),Median Household Income,95% CI - Low,95% CI - High,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths,Suicide Rate (Age-Adjusted),95% CI - Low,95% CI - High,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low,95% CI - High,% Broadband Access,Numerator,95% CI - Low,95% CI - High,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural,
1,08000,Colorado,,80.6,80.5,80.7,78.8,77.3,80.4,87.2,86.5,87.9,77.4,77.0,77.9,80.6,80.3,80.8,80.8,80.7,80.9,53905,282,279,284,449,412,485,146,136,156,414,398,429,312,305,318,271,269,274,2238,44,42,46,57,36,86,40,31,50,75,65,86,48,44,51,39,37,41,2169,5,4,5,5,3,7,4,3,5,9,8,10,5,5,5,4,4,4,10,9,10,11,10,12,7,,,12696,265,566490,10,274704,5,3089,18,17,19,22,15,32,5,3,7,21,18,24,17,16,18,19,18,20,4089,11,10,11,11,7,15,6,5,7,10,8,11,12,12,13,10,10,11,30,29,31,362626,10,10,11,62493,5,4,5,115,867:1,65898,81,6,6,7,3.1,3.4,2.7,2.7,3.4,3.0,3.6,2.6,2.6,3.3,77104,76181,78027,47097,44030,50164,80261,77818,82704,51677,50163,53191,53929,53126,54732,78571,77996,79146,41,62,37,4,4,4,10,7,14,2,2,3,16,15,18,6,6,7,2,2,3,6031,21,20,21,21,31,24,40,9,8,11,12,10,14,14,13,15,23,23,24,4027,14,14,15,22,16,29,5,4,7,21,19,24,10,10,11,15,15,16,,8538,580400,15,554,1401735,65,65,66,293501,14,14,14,88,1883120,87,88,5758736,21.9,14.6,233523,4.1,92982,1.6,202664,3.5,11329,0.2,1256904,21.8,3896103,67.7,154117,3,3,3,49.6,696435,13.8,
2,08001,Colorado,Adams,79.4,79.1,79.7,76.7,72.5,80.9,85.8,83.9,87.8,76.3,74.6,78.0,82.1,81.3,82.8,78.6,78.3,79.0,4711,315,306,324,476,355,626,172,138,205,463,399,527,269,253,284,333,321,345,241,44,39,50,,,,,,,67,38,108,43,35,50,43,34,52,260,5,5,6,,,,,,,,,,6,5,7,4,4,5,12,11,13,13,12,14,7,7,8,1157,279,46150,9,24846,6,305,20,18,22,,,,,,,39,24,58,14,11,17,25,21,28,360,10,9,11,,,,7,4,13,,,,11,10,13,10,9,11,33,32,34,41143,13,12,14,7226,5,4,6,196,509:1,5998,77,8,6,9,2.8,3.3,2.4,2.6,3.2,2.7,3.4,2.2,2.4,3.1,75341,72508,78174,68111,57538,78684,71815,64760,78870,46490,37281,55699,58592,56158,61026,81212,79338,83086,51,51,27,5,4,6,,,,,,,21,14,31,6,5,8,3,3,4,491,20,18,21,19,,,,,,,,,,12,10,15,25,23,28,327,13,12,14,,,,,,,18,11,30,8,7,10,16,14,19,,552,61900,9,713,110208,66,65,67,22991,14,13,15,85,141547,84,86,517421,26.1,10.7,16842,3.3,12087,2.3,23237,4.5,1133,0.2,211139,40.8,253680,49.0,29990,6,6,7,49.4,15988,3.6,
3,08003,Colorado,Alamosa,76.0,74.5,77.5,,,,,,,,,,75.3,72.9,77.7,76.1,74.0,78.3,203,419,359,478,,,,,,,,,,473,379,583,386,309,463,13,82,44,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,15,14,13,15,8,5,11,27,197,2400,15,405,3,10,20,10,37,,,,,,,,,,,,,,,,19,17,10,26,,,,,,,,,,,,,,,,33,32,35,1537,17,14,20,276,7,5,9,203,492:1,160,82,,,,3.0,,,2.9,3.1,2.9,,,2.9,3.0,38213,34339,42087,52759,21270,84248,,,,29844,23885,35803,30319,22598,38040,46510,37281,55739,68,55,1,,,,,,,,,,,,,,,,,,,20,24,14,38,24,,,,,,,,,,,,,,,,15,18,10,30,,,,,,,,,,,,,,,,,25,1700,15,166,3562,58,55,61,798,13,10,17,75,4647,72,79,16233,24.2,13.9,168,1.0,886,5.5,270,1.7,48,0.3,7725,47.6,7648,47.1,617,4,2,6,50.1,5694,36.9,
4,08005,Colorado,Arapahoe,81.3,81.1,81.5,80.1,76.5,83.6,87.6,86.0,89.3,79.4,78.5,80.4,83.7,82.6,84.8,81.2,80.9,81.5,5310,250,243,257,313,215,440,138,117,158,330,305,355,223,204,242,250,242,258,266,43,38,49,,,,46,28,72,73,56,94,44,35,56,34,27,40,294,5,5,6,,,,,,,11,8,13,6,5,7,4,3,4,10,9,11,12,11,13,7,6,8,1542,285,58770,9,13732,2,301,15,14,17,,,,,,,13,9,18,12,8,16,18,16,21,335,8,7,8,,,,5,3,8,9,7,12,7,6,9,8,7,9,30,29,32,42610,10,9,11,8291,5,4,6,124,809:1,8525,83,6,5,7,3.1,3.5,2.7,2.6,3.5,3.0,3.6,2.5,2.5,3.5,82364,79258,85470,59857,46341,73373,79021,71121,86921,58390,55298,61482,60895,58687,63103,85278,84008,86548,41,47,35,5,4,5,,,,4,2,7,15,12,19,5,4,7,2,2,3,577,18,16,19,18,,,,8,5,13,12,9,16,11,8,14,22,20,24,385,12,11,13,,,,6,3,10,19,15,24,8,6,11,12,11,14,,964,70700,14,783,152635,64,63,64,32485,14,13,14,90,215902,89,90,656590,23.3,13.5,69867,10.6,7625,1.2,43046,6.6,1993,0.3,129681,19.8,389920,59.4,24142,4,4,4,50.4,9011,1.6,
5,08007,Colorado,Archuleta,82.3,80.4,84.2,,,,,,,,,,81.1,76.3,85.8,82.2,80.0,84.4,164,271,222,320,,,,,,,,,,299,188,453,272,215,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,11,12,11,13,6,4,9,13,108,1370,11,1290,11,,,,,,,,,,,,,,,,,,,,18,20,12,31,,,,,,,,,,,,,,,,30,28,31,1157,15,13,18,201,8,5,10,71,1403:1,83,83,,,,2.9,,,2.5,3.4,2.6,,,2.3,3.0,57604,49981,65227,,,,85911,30330,141492,,,,39500,25465,53535,54209,47557,60861,50,,19,,,,,,,,,,,,,,,,,,,17,24,13,40,26,,,,,,,,,,,,,,,,16,24,14,39,,,,,,,,,,,,,,,,,1-4,1200,,52,4230,72,70,75,823,14,11,18,83,4868,79,87,14029,17.7,27.3,80,0.6,473,3.4,162,1.2,18,0.1,2585,18.4,10775,76.8,53,0,0,1,49.6,7175,59.4,
6,08009,Colorado,Baca,79.2,76.8,81.6,,,,,,,,,,,,,,,,51,350,253,471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12,15,15,13,16,14,8,21,,,510,14,318,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,31,34,300,16,13,19,91,11,7,15,112,895:1,,,,,,,,,,,,,,,,38945,33352,44538,,,,,,,,,,28594,20684,36504,40566,35792,45340,62,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-4,400,,60,1180,71,67,75,166,11,7,15,71,1184,68,74,3581,22.2,24.4,29,0.8,76,2.1,14,0.4,0,0.0,405,11.3,3005,83.9,70,2,0,4,49.8,3788,100.0,
7,08011,Colorado,Bent,74.9,71.9,77.8,,,,,,,,,,72.4,67.2,77.7,75.3,71.6,78.9,102,505,402,609,,,,,,,,,,665,460,929,482,360,632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,15,14,13,15,12,6,21,,,960,17,786,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,34,36,268,13,10,15,51,6,4,8,54,1859:1,348,82,,,,3.1,,,2.9,3.2,3.1,,,2.9,3.2,35764,30647,40881,45000,4303,85697,,,,,,,26602,20067,33137,32218,24648,39788,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,400,20,56,1053,60,53,67,276,17,10,23,73,1290,66,80,5577,15.4,18.9,391,7.0,200,3.6,83,1.5,7,0.1,1798,32.2,3179,57.0,136,2,,,35.6,2467,38.0,
8,08013,Colorado,Boulder,82.8,82.5,83.2,,,,91.2,87.9,94.5,80.4,76.2,84.6,82.7,81.1,84.3,82.8,82.5,83.2,2282,207,198,216,,,,75,52,104,300,201,431,249,216,282,206,197,216,76,31,24,38,,,,,,,,,,47,31,68,24,17,33,80,4,3,5,,,,,,,,,,6,4,8,3,3,5,9,8,10,11,10,12,6,5,6,468,165,28770,9,9078,3,127,13,11,15,,,,,,,,,,10,6,17,14,12,17,156,7,6,8,,,,,,,,,,9,6,13,7,5,8,27,25,28,17685,8,7,10,2678,4,3,5,118,849:1,4739,89,3,2,5,3.4,,,2.7,3.6,3.3,4.0,,2.5,3.6,88341,84528,92154,37000,18478,55522,96400,90142,102658,48371,39946,56796,55208,48047,62369,87340,84866,89814,26,53,24,1,1,2,,,,,,,,,,,,,,,,294,17,15,19,18,,,,,,,,,,7,4,12,19,17,22,149,9,8,11,,,,,,,,,,,,,,,,,383,30600,13,538,79273,62,61,63,21724,17,16,18,91,116032,91,91,326196,18.8,14.8,3214,1.0,2808,0.9,16361,5.0,243,0.1,45579,14.0,252479,77.4,5310,2,1,2,49.6,26255,8.9,
9,08014,Colorado,Broomfield,82.8,82.0,83.5,,,,90.6,85.9,95.3,,,,87.5,81.6,93.4,82.2,81.3,83.0,463,205,186,224,,,,,,,,,,175,120,245,217,196,239,27,42,28,62,,,,,,,,,,,,,,,,20,4,2,6,,,,,,,,,,,,,,,,8,7,9,10,9,11,7,5,9,20,34,4960,8,2905,5,30,14,10,21,,,,,,,,,,,,,,,,22,5,3,7,,,,,,,,,,,,,,,,29,27,30,2637,6,5,7,491,3,2,4,81,1236:1,,,,,,3.6,3.4,,2.9,3.8,3.4,3.4,,2.7,3.6,106892,97396,116388,82500,71939,93061,114196,98481,129911,90385,66648,114122,78692,70516,86868,97181,94538,99824,18,34,14,3,2,5,,,,,,,,,,,,,,,,62,18,13,23,18,,,,,,,,,,,,,,,,41,12,9,16,,,,,,,,,,,,,,,,,48,7900,6,305,17917,65,64,67,2896,11,9,12,93,25507,92,94,70465,22.1,14.3,898,1.3,562,0.8,4838,6.9,89,0.1,8964,12.7,53836,76.4,829,1,1,2,50.3,326,0.6,
10,08015,Colorado,Chaffee,82.7,81.4,84.0,,,,,,,,,,85.2,80.1,90.3,82.2,80.8,83.7,209,243,206,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,9,12,12,11,14,8,5,12,22,123,2040,11,449,3,11,18,9,33,,,,,,,,,,,,,,,,16,12,7,19,,,,,,,,,,,,,,,,30,28,31,1297,12,10,14,205,7,5,9,74,1357:1,162,90,,,,3.0,,,2.5,3.1,2.6,,,,,60331,53238,67424,,,,,,,,,,50049,13526,86572,56133,52993,59273,34,,41,,,,,,,,,,,,,,,,,,,37,35,24,49,38,,,,,,,,,,,,,,,,20,20,12,32,,,,,,,,,,,,,,,,,25,1400,18,154,6405,78,76,79,1036,13,9,17,81,6687,78,84,20356,15.1,26.0,352,1.7,315,1.5,180,0.9,17,0.1,2027,10.0,17341,85.2,260,1,1,2,47.0,6663,37.4,
