,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,8000,Colorado,,,53905.0,5943.0,5871.0,6016.0,,10152.0,9118.0,11186.0,,3202.0,2917.0,3487.0,,8788.0,8388.0,9189.0,,6492.0,6336.0,6648.0,,5646.0,5559.0,5733.0,,14,13,15,,3.3,3.1,3.5,,3.7,3.5,3.9,,,9.0,9.0,9.0,,9.0,8.0,10.0,11.0,11.0,12.0,14.0,13.0,14.0,9.0,9.0,9.0,8.0,8.0,9.0,15,14,16,,22,,,,8.4,,15,,,,90,,21,20,22,,1020,3031,34,33.0,35.0,,29124.0,519.4,,18.0,18.0,18.0,,23.0,20.0,26.0,7.0,6.0,8.0,21.0,20.0,22.0,33.0,33.0,34.0,10.0,10.0,10.0,419456,9,8,9,,4702.0,83.0,1211,,4720.0,82.0,1220,,21420.0,372.0,269,,2617.0,,3080.0,1762.0,3649.0,3102.0,2540.0,41,,25.0,31.0,32.0,30.0,42.0,49,,41.0,49.0,36.0,40.0,50.0,3509828,3825579,92,92,92,,1178982,1635683,72,72.0,73.0,,86668,3148766,2.8,,11,10,12,,24.0,11.0,24.0,21.0,7.0,138152,31531,4.4,,264802,1257197,21,21,22,,5005,8.8,,17769.0,326.0,,22420.0,80.0,79.0,81.0,,113.0,99.0,127.0,35.0,32.0,39.0,76.0,71.0,80.0,64.0,62.0,66.0,87.0,86.0,88.0,4.9,,,,16,16.0,17.0,14,14.0,14.0,3,3,3,1,1,1,,75,75,75,,75.0,73.0,78.0,69.0,68.0,70.0,73.0,71.0,74.0,75.0,74.0,76.0,76.0,75.0,76.0,2886239,36,36,37,,
1,2,8001,Colorado,Adams,,4711.0,6320.0,6078.0,6563.0,-0.24,9323.0,6418.0,13093.0,,3775.0,2816.0,4734.0,,8896.0,7449.0,10344.0,,5689.0,5325.0,6053.0,,6591.0,6231.0,6950.0,,18,16,20,0.56,3.9,3.6,4.2,0.36,4.0,3.7,4.3,0.18,,9.0,9.0,9.0,-0.3,10.0,6.0,13.0,10.0,9.0,12.0,14.0,13.0,16.0,9.0,8.0,9.0,8.0,8.0,9.0,18,16,21,0.28,29,27.0,31.0,0.67,8.5,-0.51,19,17.0,20.0,-0.01,93,-0.88,20,19,21,-0.42,98,288,34,31.0,37.0,0.24,2923.0,580.9,1.45,24.0,23.0,25.0,0.33,24.0,14.0,38.0,11.0,8.0,15.0,22.0,18.0,26.0,31.0,29.0,32.0,15.0,14.0,17.0,47699,11,10,12,-0.02,236.0,46.0,2169,0.64,339.0,66.0,1526,-0.17,1803.0,348.0,287,-0.5,2997.0,0.17,1867.0,485.0,4867.0,2770.0,3032.0,35,0.19,21.0,24.0,33.0,26.0,39.0,47,-0.51,31.0,49.0,38.0,39.0,49.0,271665,324255,84,83,84,1.48,89845,156220,58,56.0,59.0,0.43,8065,275440,2.9,0.09,12,9,15,-0.56,16.0,17.0,23.0,19.0,7.0,125794,34026,3.7,-0.98,29552,135740,22,20,23,0.18,244,4.8,0.91,1825.0,372.0,1.31,1949.0,77.0,74.0,81.0,-0.69,115.0,70.0,177.0,41.0,30.0,54.0,84.0,66.0,105.0,56.0,52.0,61.0,96.0,90.0,101.0,9.2,2.84,Yes,0.7,18,18.0,19.0,14,13.0,15.0,5,5,6,0,0,1,0.62,78,78,79,0.8,82.0,78.0,87.0,67.0,63.0,70.0,78.0,74.0,82.0,78.0,77.0,79.0,82.0,82.0,82.0,258075,47,46,49,1.25,
2,3,8003,Colorado,Alamosa,,203.0,9501.0,7698.0,11305.0,1.13,,,,,,,,,,,,,10791.0,8214.0,13919.0,,9042.0,6372.0,11713.0,,22,20,24,1.5,4.5,4.2,4.9,1.5,4.4,4.0,4.7,1.16,,11.0,9.0,12.0,0.29,,,,,,,,,,12.0,9.0,14.0,10.0,8.0,13.0,19,17,22,0.65,31,23.0,39.0,1.08,7.7,0.15,21,15.0,28.0,0.39,83,-0.37,18,17,19,-1.3,7,16,44,31.0,56.0,0.91,95.0,574.0,1.41,18.0,15.0,22.0,-0.35,,,,,,,,,,21.0,16.0,28.0,11.0,7.0,15.0,1795,14,12,16,1.17,13.0,78.0,1283,-0.28,21.0,129.0,773,-2.12,236.0,1454.0,69,-3.0,3275.0,0.36,,,,3109.0,2989.0,31,0.76,,,,29.0,31.0,43,-0.11,,,,42.0,44.0,8355,9619,87,84,90,0.85,2469,4079,61,52.0,69.0,0.21,313,8726,3.6,0.86,25,16,34,0.91,,,14.0,34.0,13.0,78827,17346,4.5,0.47,632,3913,16,10,22,-0.66,16,9.6,0.05,,,0.0,68.0,82.0,64.0,104.0,-0.52,,,,,,,,,,107.0,77.0,146.0,66.0,44.0,96.0,4.6,-0.47,Yes,0.7,19,15.0,23.0,13,10.0,17.0,5,2,8,1,0,3,0.75,79,75,83,0.84,,,,,,,,,,75.0,70.0,80.0,78.0,75.0,82.0,6601,13,9,18,-1.11,
3,4,8005,Colorado,Arapahoe,,5310.0,5344.0,5139.0,5550.0,-0.66,7742.0,5057.0,11343.0,,3357.0,2678.0,4035.0,,7561.0,6838.0,8283.0,,4728.0,4307.0,5150.0,,5188.0,4927.0,5450.0,,14,12,15,-0.55,3.3,3.0,3.6,-0.66,3.8,3.5,4.2,-0.29,,10.0,9.0,10.0,-0.04,8.0,5.0,11.0,12.0,11.0,13.0,13.0,12.0,14.0,9.0,9.0,9.0,9.0,8.0,9.0,15,13,17,-0.88,23,21.0,24.0,-0.32,8.8,-0.76,16,15.0,18.0,-0.47,98,-1.14,19,18,19,-0.93,79,211,37,34.0,41.0,0.48,4174.0,649.1,1.83,16.0,16.0,17.0,-0.5,16.0,9.0,27.0,7.0,6.0,9.0,19.0,17.0,21.0,32.0,30.0,34.0,9.0,8.0,9.0,50188,9,8,10,-0.61,525.0,81.0,1240,-0.36,712.0,108.0,922,-1.48,2471.0,376.0,266,-0.62,2913.0,0.11,2043.0,1348.0,3526.0,3041.0,2858.0,45,-1.24,27.0,33.0,41.0,29.0,47.0,53,-1.11,45.0,53.0,39.0,38.0,56.0,405548,437887,93,92,93,-0.32,137968,192275,72,70.0,73.0,-0.61,9930,368504,2.7,-0.18,9,6,12,-0.92,5.0,12.0,18.0,16.0,5.0,143135,36928,3.9,-0.67,35063,152734,23,22,24,0.36,530,8.1,0.31,2082.0,330.0,1.0,2206.0,69.0,66.0,71.0,-0.99,90.0,51.0,146.0,32.0,25.0,40.0,65.0,57.0,73.0,44.0,38.0,49.0,81.0,77.0,85.0,5.5,0.17,Yes,0.7,16,16.0,17.0,14,13.0,14.0,3,3,3,1,1,1,0.11,77,76,78,0.58,80.0,69.0,91.0,73.0,70.0,76.0,74.0,71.0,77.0,77.0,75.0,78.0,81.0,80.0,82.0,343091,42,41,43,0.85,
4,5,8007,Colorado,Archuleta,,164.0,6560.0,4769.0,8352.0,-0.14,,,,,,,,,,,,,,,,,,,,,14,12,16,-0.52,3.3,2.9,3.7,-0.72,3.7,3.3,4.1,-0.73,,8.0,6.0,10.0,-0.72,,,,,,,,,,8.0,4.0,11.0,8.0,6.0,10.0,15,13,18,-0.72,24,18.0,31.0,-0.06,7.8,0.07,12,8.0,17.0,-1.22,89,-0.69,20,20,21,-0.14,3,13,23,9.0,39.0,-0.5,22.0,165.2,-0.86,18.0,13.0,25.0,-0.3,,,,,,,,,,27.0,15.0,44.0,16.0,10.0,25.0,1346,13,12,15,1.01,11.0,80.0,1251,-0.34,6.0,43.0,2338,0.53,22.0,157.0,638,0.36,1967.0,-0.56,,,,2114.0,1985.0,40,-0.52,,,,23.0,41.0,34,0.8,,,,24.0,35.0,9360,10137,92,90,95,-0.27,1771,2644,67,55.0,79.0,-0.26,220,6937,3.2,0.38,20,12,28,0.36,,,,17.0,7.0,93793,23830,3.9,-0.57,348,2302,15,6,24,-0.82,15,10.9,-0.18,24.0,190.0,-0.03,61.0,92.0,70.0,118.0,-0.19,,,,,,,,,,,,,,,,4.8,-0.33,No,-1.4,19,15.0,23.0,14,10.0,18.0,4,2,6,1,0,2,0.68,73,68,77,-0.04,,,,,,,,,,77.0,63.0,91.0,71.0,65.0,77.0,5893,18,12,23,-0.81,
5,6,8009,Colorado,Baca,x,,,,,0.0,,,,,,,,,,,,,,,,,,,,,19,16,22,0.79,4.4,3.9,4.8,1.23,4.5,4.1,5.0,1.67,x,5.0,,,-1.55,,,,,,,,,,,,,,,,22,18,25,1.48,31,21.0,42.0,1.08,7.2,0.56,28,20.0,39.0,1.78,81,-0.28,20,19,21,-0.3,1,12,8,0.0,27.0,-1.51,9.0,252.7,-0.37,26.0,16.0,41.0,0.55,,,,,,,,,,,,,,,,389,15,13,17,1.52,3.0,84.0,1195,-0.45,2.0,56.0,1791,0.13,1.0,28.0,3581,0.94,7826.0,3.0,,,,,,32,0.61,,,,,,26,1.6,,,,42.0,26.0,2249,2608,86,83,89,0.98,535,790,68,58.0,78.0,-0.32,37,2175,1.7,-1.33,29,17,40,1.35,,,,30.0,23.0,76780,16603,4.6,0.61,133,748,18,10,25,-0.42,6,16.7,-1.22,4.0,96.0,-0.72,23.0,128.0,81.0,193.0,1.05,,,,,,,,,,,,,,,,5.0,-0.19,Yes,0.7,12,7.0,16.0,10,5.0,14.0,1,0,3,2,0,3,-1.09,78,72,85,0.79,,,,,,,,,,,,,,,,1598,15,10,19,-1.03,
6,7,8011,Colorado,Bent,,102.0,11334.0,7451.0,15217.0,1.92,,,,,,,,,,,,,,,,,,,,,22,20,25,1.62,4.5,4.2,4.9,1.53,4.2,3.9,4.5,0.67,,11.0,7.0,14.0,0.32,,,,,,,,,,,,,,,,22,20,25,1.67,33,23.0,44.0,1.41,6.5,1.14,24,16.0,33.0,0.92,82,-0.29,19,18,20,-0.73,1,6,17,1.0,43.0,-0.94,12.0,202.1,-0.66,23.0,14.0,35.0,0.2,,,,,,,,,,,,,,,,315,11,9,12,0.01,,,nan,0.0,1.0,18.0,5577,1.29,4.0,72.0,1394,0.75,4243.0,1.04,,,,5382.0,3578.0,39,-0.38,,,,38.0,39.0,35,0.7,,,,39.0,35.0,3843,4534,85,81,88,1.28,608,2154,28,21.0,35.0,2.58,56,1919,2.9,0.08,31,20,42,1.62,,,,42.0,37.0,69947,15596,4.5,0.37,193,878,22,11,33,0.22,3,5.1,0.85,8.0,133.0,-0.45,34.0,117.0,81.0,163.0,0.66,,,,,,,,,,150.0,82.0,252.0,114.0,69.0,178.0,5.0,-0.19,No,-1.4,23,17.0,29.0,19,13.0,26.0,3,0,6,0,0,2,1.74,76,68,84,0.44,,,,,,,,,,,,,,,,1439,21,12,31,-0.56,
7,8,8013,Colorado,Boulder,,2282.0,4184.0,3919.0,4449.0,-1.16,,,,,,,,,,,,,5051.0,4316.0,5786.0,,4097.0,3801.0,4394.0,,11,10,13,-1.14,3.0,2.7,3.4,-1.19,3.6,3.3,4.0,-0.86,,8.0,8.0,8.0,-0.61,,,,9.0,7.0,10.0,14.0,9.0,19.0,8.0,8.0,9.0,8.0,7.0,8.0,13,10,16,-1.64,14,13.0,16.0,-1.73,8.8,-0.76,9,8.0,10.0,-1.79,96,-1.04,21,20,22,0.29,32,121,26,22.0,31.0,-0.27,1412.0,437.8,0.65,7.0,6.0,8.0,-1.51,,,,,,,,,,27.0,25.0,30.0,2.0,2.0,3.0,20047,7,7,8,-1.16,393.0,121.0,830,-1.52,346.0,106.0,943,-1.41,2410.0,739.0,135,-2.25,2452.0,-0.22,7480.0,1700.0,3716.0,2571.0,2416.0,45,-1.24,,37.0,45.0,33.0,46.0,55,-1.31,47.0,49.0,45.0,44.0,56.0,202159,212755,95,95,95,-0.82,71538,85456,84,82.0,86.0,-1.49,4640,196991,2.4,-0.57,8,6,11,-1.02,,5.0,4.0,18.0,5.0,167489,32806,5.1,1.43,12718,62282,20,18,22,-0.02,304,9.3,0.1,698.0,242.0,0.35,1080.0,67.0,63.0,71.0,-1.05,,,,26.0,16.0,39.0,48.0,23.0,89.0,37.0,30.0,46.0,75.0,70.0,80.0,6.9,1.18,Yes,0.7,19,18.0,20.0,17,16.0,18.0,2,1,2,1,1,1,0.78,65,64,66,-1.22,62.0,52.0,72.0,67.0,63.0,71.0,62.0,51.0,73.0,73.0,70.0,75.0,69.0,68.0,70.0,172617,30,29,31,0.03,
8,9,8014,Colorado,Broomfield,,463.0,4549.0,3926.0,5171.0,-1.01,,,,,,,,,,,,,4208.0,2796.0,6081.0,,4857.0,4099.0,5616.0,,10,9,12,-1.43,2.9,2.5,3.2,-1.51,3.2,2.9,3.6,-2.05,,8.0,7.0,9.0,-0.55,,,,13.0,10.0,17.0,,,,8.0,6.0,10.0,8.0,7.0,9.0,12,10,15,-1.77,20,16.0,24.0,-0.85,8.9,-0.84,12,9.0,15.0,-1.2,99,-1.2,21,20,22,-0.01,8,14,57,45.0,67.0,1.82,257.0,376.1,0.31,8.0,7.0,10.0,-1.37,,,,,,,,,,22.0,17.0,29.0,5.0,4.0,7.0,3078,5,4,6,-1.98,68.0,98.0,1019,-0.87,68.0,97.0,1036,-1.12,117.0,166.0,602,0.32,1889.0,-0.61,,,,752.0,1808.0,50,-1.95,,33.0,25.0,41.0,51.0,58,-1.61,,54.0,52.0,52.0,58.0,45553,46992,97,96,98,-1.21,17818,20327,88,83.0,92.0,-1.78,992,40520,2.4,-0.46,5,3,6,-1.42,,5.0,,13.0,5.0,172707,45446,3.8,-0.8,2242,15730,14,11,17,-0.95,43,6.2,0.65,33.0,51.0,-1.06,212.0,62.0,54.0,71.0,-1.2,,,,,,,,,,50.0,31.0,76.0,67.0,57.0,76.0,8.4,2.26,No,-1.4,13,11.0,15.0,11,9.0,12.0,2,1,3,1,1,2,-0.76,75,73,77,0.31,,,,77.0,69.0,84.0,82.0,72.0,93.0,83.0,77.0,88.0,80.0,78.0,83.0,37971,44,41,48,1.04,
9,10,8015,Colorado,Chaffee,,209.0,5449.0,4192.0,6707.0,-0.62,,,,,,,,,,,,,,,,,,,,,14,12,17,-0.42,3.4,3.0,3.8,-0.55,3.9,3.5,4.3,-0.15,,9.0,7.0,10.0,-0.39,,,,,,,,,,10.0,4.0,16.0,9.0,7.0,11.0,17,14,21,-0.02,16,12.0,22.0,-1.39,8.5,-0.51,16,11.0,21.0,-0.58,97,-1.09,21,20,22,-0.02,7,23,30,19.0,42.0,0.0,30.0,152.8,-0.93,13.0,9.0,18.0,-0.83,,,,,,,,,,,,,,,,1491,11,9,13,0.14,18.0,90.0,1113,-0.63,11.0,54.0,1851,0.18,41.0,201.0,496,0.16,2117.0,-0.45,,,,2207.0,2058.0,38,-0.24,,,,31.0,39.0,46,-0.41,,,,43.0,46.0,14519,15523,94,91,96,-0.51,2911,4697,62,51.0,73.0,0.1,235,9871,2.4,-0.54,13,8,18,-0.44,,,,23.0,8.0,108617,23932,4.5,0.46,525,2944,18,10,25,-0.41,33,16.5,-1.17,12.0,61.0,-0.98,96.0,98.0,80.0,120.0,0.02,,,,,,,,,,,,,,,,3.8,-1.05,No,-1.4,12,9.0,15.0,11,9.0,14.0,1,0,2,0,0,1,-0.9,69,65,72,-0.68,,,,,,,,,,,,,,,,8243,20,14,27,-0.63,
