,Unnamed: 0,FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low.1,95% CI - High.1,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths.1,Child Mortality Rate,95% CI - Low.2,95% CI - High.2,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths.2,Infant Mortality Rate,95% CI - Low.3,95% CI - High.3,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low.4,95% CI - High.4,% Frequent Mental Distress,95% CI - Low.5,95% CI - High.5,% Adults with Diabetes,95% CI - Low.6,95% CI - High.6,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low.7,95% CI - High.7,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low.8,95% CI - High.8,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low.9,95% CI - High.9,# Uninsured (Adults),% Uninsured (Adults),95% CI - Low (Adults),95% CI - High (Adults),# Uninsured (Children),% Uninsured (Children),95% CI - Low (Children),95% CI - High (Children),Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low.10,95% CI - High.10,Average Grade Performance (Math),Average Grade Performance (Asian) (Math),Average Grade Performance (Black) (Math),Average Grade Performance (Hispanic) (Math),Average Grade Performance (White) (Math),Average Grade Performance (Reading),Average Grade Performance (Asian) (Reading),Average Grade Performance (Black) (Reading),Average Grade Performance (Hispanic) (Reading),Average Grade Performance (White) (Reading),Median Household Income,95% CI - Low.11,95% CI - High.11,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low.12,95% CI - High.12,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths.3,Suicide Rate (Age-Adjusted),95% CI - Low.13,95% CI - High.13,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low.14,95% CI - High.14,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low.15,95% CI - High.15,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low.16,95% CI - High.16,% Broadband Access,Numerator,95% CI - Low.17,95% CI - High.17,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low.18,95% CI - High.18,% Female,# Rural,% Rural,Unnamed: 277
0,1,12000,Florida,,80.2,80.1,80.2,95.1,91.8,98.3,89.9,89.4,90.4,77.5,77.4,77.7,84.3,84.2,84.4,79.2,79.1,79.2,266657,337,335,338,228.0,207.0,249.0,150.0,145.0,155.0,433.0,429.0,437.0,210.0,208.0,212.0,375.0,373.0,377.0,8695.0,52.0,51.0,53.0,36.0,21.0,59.0,35.0,30.0,40.0,89.0,86.0,92.0,42.0,41.0,44.0,42.0,40.0,43.0,9460.0,6.0,6.0,6.0,,,,4.0,3.0,4.0,11.0,11.0,12.0,5.0,4.0,5.0,5.0,4.0,5.0,13,12,14,13,12,15,11,,,110907,607,2768480,13,1347762,7,15054.0,24.0,23.0,24.0,20.0,14.0,27.0,4.0,3.0,5.0,13.0,12.0,13.0,11.0,11.0,12.0,34.0,33.0,34.0,20416,14,14,14,15.0,12.0,20.0,6.0,6.0,7.0,15.0,14.0,15.0,12.0,11.0,12.0,15.0,15.0,16.0,37,36,39,2378003,19,19,20,331182,8,7,8,121,829,209126,86,7.0,7.0,7.0,3.2,3.7,2.8,3.1,3.5,3.3,4.0,2.9,3.2,3.5,59198,58674,59722,48608.0,46431.0,50785.0,72205.0,70582.0,73828.0,41702.0,41266.0,42138.0,49266.0,48785.0,49747.0,61682,61401,61963,55,54,43,6.0,6.0,6.0,4.0,2.0,6.0,2.0,1.0,2.0,19.0,18.0,19.0,4.0,4.0,4.0,3.0,3.0,3.0,16580.0,14.0,14.0,15.0,16.0,10.0,7.0,14.0,7.0,6.0,8.0,6.0,5.0,6.0,8.0,7.0,8.0,20.0,20.0,21.0,13758.0,13.0,13.0,13.0,7.0,4.0,11.0,4.0,3.0,4.0,20.0,19.0,20.0,6.0,6.0,7.0,15.0,15.0,15.0,21962,28504,1928300,26,552,5058841,65,65,66,1265509,17,17,17,83,6420244,83,83,21477737,19.7,20.9,3335263,15.5,108950,0.5,634827,3.0,24641,0.1,5663860,26.4,11436685,53.2,1290579,7,6.0,7.0,51.1,1661466,8.8,
1,2,12001,Florida,Alachua,79.2,78.8,79.6,,,,94.7,89.2,100.3,75.0,74.0,75.9,86.3,84.1,88.5,79.4,79.0,79.9,2849,344,331,357,,,,99.0,69.0,137.0,522.0,484.0,560.0,187.0,149.0,224.0,329.0,314.0,345.0,144.0,75.0,63.0,87.0,,,,,,,117.0,91.0,149.0,59.0,30.0,102.0,58.0,45.0,75.0,179.0,9.0,8.0,10.0,,,,,,,19.0,16.0,23.0,,,,6.0,5.0,7.0,13,12,14,15,14,16,9,8.0,11.0,1009,431,36630,14,15899,6,77.0,10.0,8.0,12.0,,,,,,,11.0,6.0,17.0,,,,11.0,8.0,14.0,211,11,10,13,,,,,,,12.0,9.0,16.0,15.0,10.0,22.0,12.0,10.0,14.0,36,35,37,22684,13,12,15,3160,6,5,8,294,340,2129,88,5.0,3.0,6.0,3.3,,2.7,3.3,3.7,3.3,4.2,2.7,3.3,3.6,49880,47053,52707,38824.0,24693.0,52955.0,57982.0,43032.0,72932.0,31183.0,28207.0,34159.0,41109.0,36805.0,45413.0,56593,54247,58939,45,39,29,4.0,3.0,5.0,,,,,,,9.0,7.0,13.0,,,,2.0,1.0,3.0,170.0,13.0,11.0,15.0,13.0,,,,,,,4.0,2.0,8.0,,,,18.0,15.0,21.0,122.0,9.0,8.0,11.0,,,,,,,10.0,6.0,14.0,,,,11.0,9.0,13.0,308,447,20500,37,386,53913,55,54,56,18013,19,18,21,85,83640,84,86,269043,17.9,14.6,53858,20.0,1008,0.4,16551,6.2,199,0.1,28222,10.5,163036,60.6,3788,2,1.0,2.0,51.8,52419,21.2,
2,3,12003,Florida,Baker,75.5,74.4,76.7,,,,,,,77.0,73.1,80.9,,,,75.0,73.8,76.3,482,496,451,541,,,,,,,416.0,304.0,557.0,,,,520.0,470.0,571.0,20.0,73.0,45.0,113.0,,,,,,,,,,,,,,,,23.0,10.0,6.0,15.0,,,,,,,,,,,,,,,,15,14,16,17,16,18,15,12.0,17.0,115,488,3760,14,3514,13,13.0,15.0,8.0,26.0,,,,,,,,,,,,,,,,43,22,16,30,,,,,,,,,,,,,,,,43,42,45,2097,14,12,16,453,6,5,8,68,1461,380,76,,,,3.5,,3.0,,3.5,3.5,,3.1,,3.6,60454,54805,66103,,,,,,,35266.0,31681.0,38851.0,,,,66160,60767,71553,44,25,22,5.0,2.0,9.0,,,,,,,,,,,,,,,,20.0,13.0,8.0,21.0,14.0,,,,,,,,,,,,,,,,23.0,16.0,10.0,24.0,,,,,,,,,,,,,,,,51,67,3100,38,81,6544,75,71,79,646,8,5,11,78,6750,73,82,29210,23.9,14.1,4102,14.0,148,0.5,195,0.7,9,0.0,831,2.8,23471,80.4,143,1,0.0,1.0,47.4,16131,59.5,
3,4,12005,Florida,Bay,76.4,76.0,76.8,,,,82.9,79.1,86.7,75.0,73.5,76.6,85.6,82.0,89.1,76.1,75.6,76.6,3094,462,445,479,,,,239.0,171.0,324.0,574.0,512.0,635.0,217.0,163.0,284.0,472.0,453.0,492.0,105.0,68.0,55.0,81.0,,,,,,,124.0,84.0,177.0,,,,59.0,46.0,75.0,124.0,8.0,6.0,9.0,,,,,,,15.0,11.0,21.0,,,,6.0,5.0,8.0,14,13,16,17,15,18,12,11.0,14.0,455,291,27200,15,17869,11,127.0,23.0,19.0,27.0,,,,,,,,,,,,,,,,210,17,14,19,,,,,,,16.0,10.0,23.0,,,,18.0,15.0,20.0,40,38,41,19727,18,16,20,3080,8,6,9,141,710,1881,81,7.0,4.0,10.0,3.2,3.8,2.7,3.0,3.4,3.4,4.1,2.8,3.2,3.5,58376,54732,62020,60163.0,23086.0,97240.0,44395.0,27165.0,61625.0,38864.0,32442.0,45286.0,48516.0,43823.0,53209.0,57482,55049,59915,53,46,34,6.0,5.0,8.0,,,,,,,14.0,9.0,22.0,,,,5.0,4.0,7.0,215.0,22.0,19.0,25.0,24.0,,,,,,,,,,,,,,,,158.0,17.0,15.0,20.0,,,,,,,9.0,5.0,17.0,,,,20.0,17.0,24.0,271,793,17200,62,288,46488,65,64,66,9664,14,13,15,85,60905,84,86,174705,20.6,18.6,18943,10.8,1414,0.8,4070,2.3,270,0.2,11638,6.7,133860,76.6,2038,1,1.0,2.0,50.4,20262,12.0,
4,5,12007,Florida,Bradford,75.3,74.1,76.4,,,,,,,78.4,75.5,81.4,,,,74.1,72.7,75.4,511,507,462,553,,,,,,,391.0,296.0,506.0,,,,554.0,499.0,609.0,19.0,87.0,52.0,136.0,,,,,,,,,,,,,,,,23.0,11.0,7.0,17.0,,,,,,,,,,,,,,,,17,15,18,18,17,19,13,11.0,15.0,77,324,4400,16,641,2,16.0,19.0,11.0,31.0,,,,,,,,,,,,,,,,56,29,22,38,,,,,,,,,,,,,,,,41,40,43,2209,16,14,18,398,7,5,9,85,1175,209,88,15.0,6.0,25.0,3.1,,2.8,,3.1,3.3,,2.8,,3.4,47509,41105,53913,,,,,,,25781.0,11841.0,39721.0,,,,52665,46963,58367,60,34,31,6.0,3.0,11.0,,,,,,,,,,,,,,,,21.0,15.0,9.0,23.0,15.0,,,,,,,,,,,,,,,,19.0,14.0,8.0,22.0,,,,,,,,,,,,,,,,33,31,2400,27,116,6316,69,66,73,1268,15,11,19,71,6473,67,75,28201,19.4,18.0,5687,20.2,164,0.6,177,0.6,14,0.0,1331,4.7,20368,72.2,97,0,0.0,1.0,44.4,21541,75.5,
5,6,12009,Florida,Brevard,77.8,77.5,78.0,96.5,76.1,116.9,90.2,86.9,93.5,76.6,75.7,77.5,84.3,83.3,85.3,77.2,76.9,77.5,9769,409,400,418,,,,175.0,141.0,209.0,472.0,440.0,503.0,225.0,203.0,247.0,430.0,420.0,441.0,192.0,44.0,38.0,50.0,,,,,,,63.0,45.0,85.0,37.0,24.0,55.0,42.0,35.0,50.0,216.0,6.0,5.0,7.0,,,,,,,10.0,8.0,13.0,6.0,4.0,8.0,5.0,4.0,6.0,13,12,15,15,14,17,13,11.0,15.0,1576,303,72000,13,66905,12,812.0,45.0,42.0,49.0,,,,,,,23.0,16.0,30.0,20.0,15.0,28.0,53.0,49.0,57.0,587,15,13,16,,,,,,,15.0,12.0,20.0,9.0,6.0,12.0,15.0,14.0,17.0,41,39,42,54043,16,14,17,7280,6,5,8,106,942,5728,88,5.0,4.0,7.0,3.3,3.8,2.9,3.2,3.5,3.3,3.9,2.8,3.1,3.4,57582,54541,60623,67908.0,47305.0,88511.0,61622.0,48139.0,75105.0,41796.0,37604.0,45988.0,51682.0,48230.0,55134.0,59478,58057,60899,49,47,34,5.0,5.0,6.0,,,,,,,21.0,16.0,25.0,4.0,2.0,7.0,4.0,3.0,4.0,683.0,21.0,19.0,23.0,23.0,,,,,,,8.0,5.0,11.0,7.0,5.0,11.0,25.0,23.0,28.0,480.0,16.0,15.0,18.0,,,,,,,20.0,16.0,26.0,5.0,3.0,9.0,18.0,16.0,20.0,714,668,51600,27,331,171269,74,74,75,29981,13,13,14,87,201004,87,88,601942,18.1,24.2,60402,10.0,2796,0.5,15666,2.6,786,0.1,65612,10.9,444290,73.8,7324,1,1.0,2.0,51.1,27573,5.1,
6,7,12011,Florida,Broward,81.5,81.3,81.6,90.2,80.2,100.1,89.0,87.7,90.4,80.8,80.4,81.2,86.9,86.5,87.3,79.6,79.3,79.8,19888,290,286,294,300.0,212.0,411.0,145.0,131.0,160.0,334.0,325.0,343.0,170.0,164.0,176.0,355.0,347.0,362.0,734.0,45.0,41.0,48.0,,,,40.0,26.0,58.0,71.0,65.0,78.0,33.0,28.0,37.0,23.0,19.0,28.0,788.0,5.0,5.0,5.0,,,,4.0,2.0,6.0,9.0,8.0,10.0,3.0,3.0,4.0,2.0,2.0,3.0,13,12,14,14,13,15,9,8.0,11.0,19483,1177,222100,12,43289,2,1506.0,26.0,24.0,27.0,,,,,,,10.0,8.0,11.0,11.0,10.0,13.0,52.0,49.0,55.0,1572,12,11,12,,,,7.0,5.0,9.0,13.0,11.0,14.0,9.0,8.0,10.0,13.0,12.0,14.0,41,40,42,239129,20,19,21,36250,8,7,10,109,915,20330,84,6.0,5.0,7.0,3.3,3.8,3.0,3.3,3.6,3.3,4.0,3.1,3.3,3.6,61429,60183,62675,47097.0,33770.0,60424.0,71688.0,65168.0,78208.0,47863.0,46443.0,49283.0,58522.0,56934.0,60110.0,67280,65875,68685,60,52,42,6.0,5.0,6.0,,,,,,,12.0,11.0,13.0,2.0,2.0,3.0,3.0,3.0,4.0,1183.0,11.0,11.0,12.0,12.0,,,,9.0,7.0,13.0,5.0,4.0,5.0,6.0,5.0,7.0,20.0,18.0,21.0,986.0,10.0,10.0,11.0,,,,5.0,3.0,8.0,14.0,12.0,15.0,5.0,4.0,5.0,13.0,11.0,14.0,1412,2041,186900,18,952,428682,62,62,63,142560,21,21,22,85,583293,84,85,1952778,21.0,17.1,555237,28.4,8012,0.4,75617,3.9,2337,0.1,606982,31.1,680536,34.8,140394,8,7.0,8.0,51.3,296,0.0,
7,8,12013,Florida,Calhoun,75.3,73.9,76.8,,,,,,,77.9,73.1,82.7,,,,74.4,72.7,76.0,282,510,448,571,,,,,,,362.0,218.0,565.0,,,,558.0,487.0,630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,18,18,17,20,17,14.0,19.0,26,208,2020,14,1310,9,,,,,,,,,,,,,,,,,,,,21,21,13,32,,,,,,,,,,,,,,,,41,40,42,1317,18,15,20,219,7,5,10,64,1567,191,88,,,,3.3,,,,,3.6,,,,,41399,35698,47100,49688.0,28787.0,70589.0,,,,34688.0,5583.0,63793.0,39397.0,6378.0,72416.0,37423,29927,44919,53,55,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,9,1400,21,22,3665,81,78,85,424,10,6,14,68,3050,62,74,14105,19.9,18.9,1731,12.3,187,1.3,126,0.9,20,0.1,805,5.7,10975,77.8,101,1,0.0,2.0,46.0,9874,67.5,
8,9,12015,Florida,Charlotte,81.1,80.5,81.6,,,,91.9,83.8,100.0,83.1,81.0,85.3,87.0,84.1,89.9,80.4,79.8,81.1,3076,348,332,364,,,,191.0,113.0,301.0,271.0,217.0,333.0,224.0,181.0,274.0,369.0,350.0,389.0,51.0,57.0,42.0,75.0,,,,,,,,,,77.0,37.0,142.0,53.0,37.0,74.0,41.0,6.0,4.0,8.0,,,,,,,,,,,,,,,,13,12,15,16,14,17,13,11.0,15.0,308,181,23660,13,22606,14,46.0,8.0,6.0,11.0,,,,,,,,,,,,,,,,183,15,13,17,,,,,,,,,,13.0,6.0,23.0,15.0,13.0,18.0,40,38,41,15629,18,16,20,1846,8,6,10,100,1000,1453,88,6.0,3.0,10.0,3.4,,3.1,3.2,3.4,3.5,,3.0,3.3,3.5,54756,50278,59234,,,,48056.0,28293.0,67819.0,37255.0,31228.0,43282.0,41973.0,34070.0,49876.0,52767,51317,54217,50,46,33,2.0,1.0,3.0,,,,,,,,,,,,,,,,193.0,19.0,16.0,22.0,21.0,,,,,,,,,,,,,,,,134.0,15.0,12.0,17.0,,,,,,,,,,,,,,,,263,96,10700,34,158,61262,80,79,81,10706,14,13,15,85,65110,83,86,188910,11.8,40.8,10163,5.4,762,0.4,2673,1.4,120,0.1,14591,7.7,158292,83.8,3478,2,1.0,2.0,51.3,14213,8.9,
9,10,12017,Florida,Citrus,75.7,75.2,76.3,,,,89.9,85.3,94.5,77.9,74.8,81.0,80.1,77.5,82.8,75.2,74.6,75.8,3284,501,480,523,,,,,,,458.0,357.0,578.0,318.0,253.0,394.0,525.0,501.0,548.0,55.0,63.0,48.0,82.0,,,,,,,,,,,,,,,,62.0,8.0,6.0,11.0,,,,,,,,,,,,,,,,15,13,16,17,15,19,13,11.0,15.0,220,166,22180,16,18199,13,134.0,30.0,25.0,35.0,,,,,,,,,,,,,,,,204,20,17,23,,,,,,,,,,,,,,,,43,41,44,12600,18,16,20,1720,8,5,10,109,918,1191,84,10.0,5.0,15.0,3.3,,3.0,3.3,3.3,3.3,,2.9,3.3,3.4,49762,46335,53189,41875.0,7092.0,76658.0,62750.0,41198.0,84302.0,45370.0,22470.0,68270.0,38723.0,30160.0,47286.0,44406,42769,46043,65,42,26,4.0,3.0,5.0,,,,,,,,,,,,,,,,194.0,23.0,19.0,27.0,27.0,,,,,,,,,,,,,,,,156.0,21.0,18.0,25.0,,,,,,,,,,,,,,,,106,90,10500,19,66,52144,82,81,83,7494,12,11,13,82,52290,80,84,149657,14.7,36.7,4294,2.9,673,0.4,2501,1.7,61,0.0,9166,6.1,130922,87.5,1223,1,1.0,1.0,51.5,48753,34.5,
