,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,12000,Florida,,,266657,7188,7145,7231,,5380.0,4680.0,6080.0,,3174.0,3010.0,3338.0,,9500.0,9380.0,9619.0,,4448.0,4384.0,4512.0,,8086.0,8021.0,8151.0,,20,18,21,,4.0,3.7,4.3,,4.2,3.9,4.5,,,9,9,9,,7.0,6.0,8.0,9.0,9.0,9.0,13.0,13.0,14.0,7.0,7.0,7.0,7.0,7.0,7.0,15,14,16,,27,,,,6.9,,26,,,,89,,20,18,21,,3460,15546,22,22,23,,104758,499.2,,20,20,20,,14.0,11.0,16.0,4.0,3.0,4.0,29.0,29.0,30.0,21.0,21.0,21.0,16.0,15.0,16.0,2673659,16,16,16,,15382.0,72.0,1385,,13053.0,61.0,1645,,36301.0,169.0,592,,4684,,6281.0,3143.0,7324.0,6214.0,4275.0,43,,35.0,36.0,38.0,32.0,45.0,46,,35.0,42.0,29.0,28.0,49.0,13198162,14965745,88,88,88,,3305359,5242136,63,63,63,,320693,10336762,3.1,,18,17,19,,18.0,12.0,32.0,24.0,12,111567,24189,4.6,,1210552,4168946,29,29,29,,14903,7.0,,98111,484,,86028,82,82,83,,67.0,58.0,76.0,29.0,27.0,30.0,65.0,64.0,66.0,45.0,44.0,45.0,107.0,106.0,108.0,7.7,,,,20,19,20,17,17,17,3,3,3,1,1,1,,79,79,79,,73.0,66.0,81.0,76.0,75.0,77.0,79.0,78.0,79.0,77.0,76.0,77.0,81.0,81.0,81.0,9383111,42,42,43,,
1,2,12001,Florida,Alachua,,2849,6840,6457,7223,-0.95,,,,,,,,,10773.0,9732.0,11814.0,,4429.0,3403.0,5454.0,,6370.0,5904.0,6837.0,,18,16,20,-0.92,4.2,3.9,4.5,-0.78,4.9,4.5,5.2,-0.3,,10,10,11,1.16,,,,8.0,6.0,9.0,16.0,15.0,17.0,7.0,6.0,8.0,7.0,7.0,8.0,18,16,20,-1.08,27,25.0,30.0,-0.81,7.5,-0.37,23,21.0,26.0,-1.23,87,-0.75,21,20,22,0.44,76,261,29,26,32,0.34,2464,923.0,2.64,11,11,12,-1.51,,,,,,,29.0,27.0,32.0,8.0,6.0,10.0,6.0,6.0,7.0,25329,12,10,13,-1.32,422.0,156.0,640,-3.91,478.0,178.0,563,-5.26,1735.0,645.0,155,-5.6,4792,-0.38,,1946.0,8432.0,4625.0,4139.0,46,-0.77,,43.0,46.0,37.0,47.0,51,-1.25,,57.0,38.0,44.0,52.0,149867,161824,93,92,93,-1.13,53190,69984,76,73,79,-1.72,4105,139217,2.9,-0.84,18,12,24,-0.58,3.0,9.0,40.0,18.0,9,107910,17506,6.2,3.42,14445,47516,30,27,34,0.36,247,9.1,-0.33,1455,561,0.82,869,65,61,70,-1.45,,,,,,,50.0,42.0,59.0,34.0,25.0,46.0,81.0,75.0,88.0,6.0,-1.67,Yes,1.07,21,19,22,19,18,21,2,2,2,1,1,1,1.25,74,73,76,-1.27,,,,64.0,59.0,69.0,77.0,74.0,80.0,70.0,66.0,74.0,78.0,76.0,80.0,123725,26,24,27,-1.34,
2,3,12003,Florida,Baker,,482,9788,8493,11082,0.53,,,,,,,,,,,,,,,,,,,,,22,20,24,-0.04,4.9,4.5,5.3,0.42,5.4,5.0,5.7,0.84,,10,9,11,1.04,,,,,,,14.0,10.0,18.0,,,,10.0,8.0,11.0,25,22,28,0.79,38,34.0,43.0,1.2,7.0,0.33,34,30.0,38.0,0.65,41,1.13,18,17,19,-0.78,16,44,36,29,44,1.18,142,502.1,0.31,42,37,47,1.23,,,,,,,42.0,28.0,60.0,,,,43.0,37.0,49.0,2505,11,10,13,-1.34,8.0,28.0,3544,0.86,11.0,38.0,2655,0.3,30.0,103.0,974,0.21,6604,1.17,,,9600.0,,6492.0,38,0.49,,,34.0,,39.0,43,-0.22,,,25.0,,44.0,16339,19065,86,83,88,-0.01,3365,7533,45,37,52,0.49,368,11852,3.1,-0.59,21,14,28,-0.12,,,11.0,58.0,15,117329,26339,4.5,-0.04,1497,6706,22,15,29,-1.0,18,6.3,0.8,128,466,0.33,117,83,68,98,-0.53,,,,,,,50.0,24.0,91.0,,,,92.0,74.0,109.0,7.8,0.31,No,-0.92,12,9,16,9,5,12,4,2,6,0,0,1,-1.09,84,80,88,0.91,,,,,,,,,,,,,,,,10612,53,45,61,1.3,
3,4,12005,Florida,Bay,,3094,9456,8946,9966,0.36,,,,,,,,,11360.0,9783.0,12937.0,,4412.0,3180.0,5964.0,,9660.0,9073.0,10247.0,,21,19,24,-0.15,4.9,4.5,5.3,0.47,5.3,4.9,5.6,0.69,,8,8,9,-0.24,,,,9.0,7.0,12.0,13.0,12.0,14.0,7.0,5.0,8.0,7.0,7.0,8.0,22,19,25,-0.06,30,28.0,33.0,-0.3,6.9,0.47,31,28.0,33.0,0.14,68,0.04,19,18,20,-0.54,30,157,19,15,23,-0.81,724,394.4,-0.29,34,32,36,0.48,,,,12.0,6.0,22.0,42.0,36.0,48.0,40.0,33.0,48.0,32.0,30.0,34.0,22534,15,13,17,-0.3,104.0,56.0,1782,-0.18,97.0,56.0,1801,-0.41,469.0,268.0,373,-1.56,5119,-0.1,,7132.0,7889.0,4119.0,4915.0,31,1.59,,21.0,25.0,24.0,32.0,36,0.68,,36.0,24.0,30.0,36.0,116444,128438,91,90,91,-0.81,29870,47882,62,59,66,-0.76,3255,84235,3.9,0.59,18,11,25,-0.51,,12.0,41.0,21.0,17,102651,24142,4.3,-0.45,11695,38897,30,26,34,0.31,150,8.1,0.09,901,497,0.49,842,93,86,99,-0.03,,,,44.0,22.0,79.0,56.0,43.0,72.0,39.0,25.0,59.0,104.0,96.0,111.0,8.1,0.64,No,-0.92,16,15,18,14,13,16,2,1,2,1,0,1,0.04,81,80,83,0.36,,,,82.0,76.0,89.0,77.0,71.0,83.0,71.0,63.0,79.0,83.0,82.0,84.0,84130,32,30,34,-0.74,
4,5,12007,Florida,Bradford,,511,10229,8824,11633,0.75,,,,,,,,,7133.0,4777.0,10244.0,,,,,,11632.0,9842.0,13423.0,,25,22,28,0.67,5.3,4.9,5.8,1.15,5.4,5.1,5.8,0.95,,11,10,13,2.03,,,,,,,17.0,13.0,20.0,,,,10.0,8.0,11.0,27,25,30,1.34,37,34.0,41.0,0.98,7.4,-0.23,35,32.0,38.0,0.87,65,0.15,18,18,19,-0.73,10,44,23,15,31,-0.39,104,384.6,-0.34,42,36,48,1.22,,,,,,,42.0,30.0,58.0,,,,43.0,36.0,50.0,2571,14,12,15,-0.73,7.0,25.0,3962,0.97,7.0,25.0,4029,0.81,27.0,96.0,1044,0.29,7334,1.8,,,7248.0,,7304.0,46,-0.77,,,60.0,50.0,44.0,36,0.68,,42.0,27.0,38.0,36.0,15830,19879,80,77,82,0.96,2968,7911,38,32,43,1.0,347,11062,3.1,-0.54,27,19,35,0.75,,,50.0,49.0,32,86998,15598,5.6,2.23,2065,5413,38,25,52,1.67,30,10.8,-1.01,120,454,0.27,155,113,95,131,1.05,,,,,,,66.0,39.0,104.0,,,,130.0,108.0,152.0,7.7,0.2,No,-0.92,14,10,18,12,8,15,2,1,3,0,0,1,-0.6,86,82,89,1.34,,,,,,,,,,,,,,,,9350,52,44,60,1.19,
5,6,12009,Florida,Brevard,,9769,8904,8605,9203,0.09,,,,,3918.0,2723.0,5112.0,,10899.0,9931.0,11867.0,,5011.0,4367.0,5655.0,,9353.0,8990.0,9716.0,,19,16,21,-0.81,4.5,4.1,4.9,-0.2,5.0,4.6,5.3,-0.02,,8,8,8,-0.65,,,,8.0,6.0,9.0,13.0,12.0,14.0,7.0,6.0,8.0,7.0,6.0,7.0,20,17,23,-0.52,29,26.0,32.0,-0.52,7.3,-0.09,27,24.0,30.0,-0.62,88,-0.79,21,20,22,0.49,90,432,21,18,23,-0.61,2053,348.5,-0.54,17,16,18,-0.99,,,,3.0,1.0,6.0,26.0,23.0,28.0,20.0,18.0,22.0,15.0,14.0,16.0,60388,13,12,15,-0.77,435.0,73.0,1372,-0.8,365.0,61.0,1649,-0.62,974.0,162.0,618,-0.42,4541,-0.59,,4134.0,6247.0,4879.0,4366.0,43,-0.3,,45.0,41.0,40.0,43.0,41,0.04,39.0,40.0,28.0,32.0,43.0,400939,434825,92,92,93,-1.06,84288,125909,67,65,69,-1.08,9062,284087,3.2,-0.46,13,8,17,-1.27,37.0,12.0,23.0,25.0,13,110950,25747,4.3,-0.33,27007,107337,25,23,27,-0.52,437,7.3,0.4,2807,496,0.49,3210,109,106,113,0.85,,,,30.0,19.0,44.0,76.0,67.0,86.0,50.0,42.0,58.0,124.0,119.0,129.0,5.2,-2.56,Yes,1.07,15,15,16,14,13,15,1,1,2,1,0,1,-0.23,82,81,83,0.43,,,,72.0,67.0,77.0,82.0,78.0,87.0,79.0,75.0,83.0,82.0,81.0,83.0,249363,34,33,35,-0.54,
6,7,12011,Florida,Broward,,19888,6142,6013,6271,-1.3,,,,,3140.0,2640.0,3640.0,,7508.0,7246.0,7770.0,,3558.0,3385.0,3731.0,,7468.0,7222.0,7713.0,,20,18,22,-0.46,3.9,3.6,4.2,-1.21,4.3,4.1,4.6,-1.46,,10,9,10,0.67,5.0,2.0,8.0,9.0,9.0,10.0,13.0,13.0,13.0,8.0,7.0,8.0,7.0,7.0,7.0,17,15,19,-1.33,25,22.0,27.0,-1.28,8.3,-1.5,24,21.0,26.0,-1.18,97,-1.14,19,18,19,-0.57,152,1146,13,12,15,-1.48,11322,584.9,0.77,14,14,14,-1.3,22.0,14.0,32.0,3.0,2.0,4.0,22.0,21.0,23.0,14.0,13.0,14.0,5.0,5.0,6.0,271663,17,16,18,0.26,1418.0,73.0,1376,-0.8,1506.0,77.0,1297,-1.27,3644.0,187.0,536,-0.69,4806,-0.37,9787.0,4662.0,7071.0,4427.0,4338.0,37,0.65,23.0,31.0,32.0,31.0,39.0,39,0.29,20.0,36.0,22.0,27.0,44.0,1211715,1362196,89,89,89,-0.54,348275,517574,67,66,68,-1.1,31706,1040519,3.0,-0.68,16,14,19,-0.76,14.0,12.0,27.0,17.0,10,121263,25434,4.8,0.6,128896,409274,31,30,33,0.55,1089,5.6,1.11,7570,398,-0.02,6646,69,67,71,-1.26,122.0,80.0,179.0,29.0,23.0,34.0,49.0,46.0,52.0,38.0,36.0,40.0,111.0,108.0,114.0,9.1,1.74,No,-0.92,24,24,25,21,21,22,4,4,4,1,1,1,2.28,80,79,80,-0.06,78.0,65.0,90.0,78.0,76.0,80.0,79.0,78.0,80.0,78.0,77.0,79.0,81.0,80.0,81.0,948166,45,44,46,0.55,
7,8,12013,Florida,Calhoun,,282,8933,7191,10675,0.1,,,,,,,,,,,,,,,,,,,,,26,23,29,0.88,5.1,4.7,5.5,0.77,5.4,5.1,5.8,1.03,,8,7,10,-0.16,,,,,,,13.0,6.0,19.0,,,,7.0,6.0,9.0,26,23,28,0.86,37,34.0,40.0,0.95,7.3,-0.09,41,38.0,45.0,2.02,20,1.99,18,17,18,-1.02,5,20,25,13,38,-0.13,57,393.6,-0.29,41,34,49,1.16,,,,,,,48.0,26.0,80.0,,,,43.0,35.0,53.0,1517,15,13,17,-0.32,6.0,41.0,2431,0.38,8.0,57.0,1763,-0.46,3.0,21.0,4702,1.09,6215,0.84,,,6676.0,,6030.0,32,1.43,,,24.0,,33.0,20,2.73,,,21.0,25.0,21.0,8093,10524,77,74,80,1.4,1403,3995,35,28,42,1.17,197,4819,4.1,0.94,28,18,39,0.9,,,,5.0,11,81466,16816,4.8,0.75,660,2898,23,15,30,-0.92,13,8.9,-0.24,25,174,-1.16,55,76,57,99,-0.88,,,,,,,,,,,,,,,,8.0,0.53,No,-0.92,13,9,17,10,6,14,2,1,4,1,0,2,-0.87,77,72,83,-0.54,,,,,,,,,,,,,,,,4703,41,31,52,0.17,
8,9,12015,Florida,Charlotte,,3076,7982,7357,8607,-0.38,,,,,,,,,6337.0,4567.0,8566.0,,5392.0,3933.0,7215.0,,8581.0,7834.0,9328.0,,18,16,21,-0.9,4.5,4.2,5.0,-0.14,4.9,4.5,5.2,-0.22,,8,8,9,-0.21,,,,6.0,2.0,9.0,10.0,8.0,13.0,9.0,7.0,11.0,8.0,7.0,9.0,21,18,24,-0.2,28,25.0,30.0,-0.74,6.9,0.47,26,24.0,29.0,-0.72,81,-0.47,20,19,21,-0.05,36,129,28,23,33,0.2,279,153.3,-1.62,20,18,22,-0.73,,,,,,,19.0,14.0,26.0,19.0,15.0,25.0,21.0,19.0,23.0,17270,16,14,18,-0.02,111.0,60.0,1667,-0.32,91.0,48.0,2076,-0.12,213.0,113.0,887,0.11,4427,-0.69,,1434.0,5186.0,5672.0,4382.0,51,-1.56,,51.0,39.0,42.0,51.0,53,-1.5,,46.0,32.0,43.0,54.0,135399,149434,91,90,91,-0.8,14083,27118,52,48,56,-0.02,2626,71865,3.7,0.26,20,15,25,-0.27,,13.0,31.0,28.0,16,97880,23860,4.1,-0.75,5991,22164,27,23,31,-0.21,110,5.9,0.96,343,200,-1.03,672,74,68,80,-0.99,,,,,,,45.0,29.0,67.0,37.0,23.0,55.0,80.0,74.0,86.0,7.2,-0.35,Yes,1.07,16,15,17,14,13,15,2,1,2,1,1,2,-0.05,79,78,81,-0.07,,,,71.0,53.0,88.0,72.0,62.0,82.0,68.0,63.0,73.0,79.0,77.0,80.0,60672,31,29,34,-0.82,
9,10,12017,Florida,Citrus,,3284,11524,10751,12296,1.4,,,,,,,,,8864.0,6063.0,12514.0,,8968.0,6490.0,12079.0,,12080.0,11221.0,12939.0,,20,17,22,-0.52,4.8,4.4,5.2,0.25,5.3,4.9,5.7,0.77,,9,8,9,-0.11,,,,7.0,3.0,12.0,14.0,10.0,18.0,7.0,5.0,9.0,8.0,8.0,9.0,23,20,26,0.26,29,26.0,32.0,-0.54,6.6,0.89,36,33.0,39.0,0.99,73,-0.18,21,20,22,0.57,31,143,22,17,26,-0.51,332,227.9,-1.21,27,25,30,-0.08,,,,,,,24.0,16.0,34.0,24.0,18.0,33.0,29.0,26.0,31.0,14158,15,13,17,-0.21,75.0,51.0,1972,0.02,49.0,33.0,3054,0.49,99.0,66.0,1512,0.61,4449,-0.67,,,4929.0,3956.0,4473.0,45,-0.61,,46.0,58.0,37.0,45.0,47,-0.73,,53.0,33.0,39.0,47.0,102096,115528,88,87,89,-0.44,10876,23174,47,42,51,0.33,2281,47377,4.8,2.07,25,17,32,0.37,,,16.0,27.0,26,82350,20026,4.1,-0.73,6702,21398,31,26,37,0.52,115,7.8,0.22,412,296,-0.53,946,130,122,138,1.92,,,,87.0,43.0,156.0,56.0,30.0,95.0,77.0,53.0,109.0,136.0,127.0,145.0,5.8,-1.89,No,-0.92,14,12,15,12,11,13,2,1,2,1,1,1,-0.67,82,80,85,0.58,,,,,,,90.0,79.0,100.0,74.0,63.0,85.0,81.0,79.0,84.0,45250,34,31,37,-0.5,
