,Unnamed: 0,FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low.1,95% CI - High.1,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths.1,Child Mortality Rate,95% CI - Low.2,95% CI - High.2,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths.2,Infant Mortality Rate,95% CI - Low.3,95% CI - High.3,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low.4,95% CI - High.4,% Frequent Mental Distress,95% CI - Low.5,95% CI - High.5,% Adults with Diabetes,95% CI - Low.6,95% CI - High.6,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low.7,95% CI - High.7,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low.8,95% CI - High.8,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low.9,95% CI - High.9,# Uninsured (Adults),% Uninsured (Adults),95% CI - Low (Adults),95% CI - High (Adults),# Uninsured (Children),% Uninsured (Children),95% CI - Low (Children),95% CI - High (Children),Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low.10,95% CI - High.10,Average Grade Performance (Math),Average Grade Performance (Asian) (Math),Average Grade Performance (Black) (Math),Average Grade Performance (Hispanic) (Math),Average Grade Performance (White) (Math),Average Grade Performance (Reading),Average Grade Performance (Asian) (Reading),Average Grade Performance (Black) (Reading),Average Grade Performance (Hispanic) (Reading),Average Grade Performance (White) (Reading),Median Household Income,95% CI - Low.11,95% CI - High.11,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low.12,95% CI - High.12,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths.3,Suicide Rate (Age-Adjusted),95% CI - Low.13,95% CI - High.13,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low.14,95% CI - High.14,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low.15,95% CI - High.15,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low.16,95% CI - High.16,% Broadband Access,Numerator,95% CI - Low.17,95% CI - High.17,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low.18,95% CI - High.18,% Female,# Rural,% Rural,Unnamed: 277
0,1,13000,Georgia,,77.9,77.9,78.0,125.4,106.0,144.8,88.4,87.7,89.0,76.1,76.0,76.2,89.8,89.0,90.6,78.0,77.9,78.1,133085,378,376,380,123.0,100.0,146.0,149.0,142.0,155.0,459.0,455.0,463.0,174.0,168.0,180.0,374.0,372.0,377.0,5864.0,58.0,57.0,60.0,,,,35.0,29.0,40.0,86.0,83.0,89.0,42.0,39.0,46.0,45.0,43.0,47.0,6578.0,7.0,7.0,7.0,,,,4.0,3.0,5.0,11.0,11.0,11.0,5.0,4.0,5.0,5.0,5.0,6.0,12,11,13,13,12,14,12,,,54600.0,625.0,1318500,13,876198.0,9.0,4349.0,14.0,13.0,14.0,,,,3.0,2.0,4.0,8.0,8.0,9.0,3.0,3.0,4.0,20.0,19.0,21.0,9910.0,14.0,13.0,14.0,,,,6.0,5.0,7.0,15.0,14.0,15.0,9.0,8.0,10.0,15.0,14.0,15.0,38,37,40,1212218,19,19,20,206642,8,7,9,113.0,882,131238.0,83.0,8.0,7.0,8.0,3.0,3.7,2.6,2.8,3.4,2.9,3.9,2.5,2.7,3.3,61950,61434,62466,38720.0,35105.0,42335.0,80977.0,79025.0,82929.0,44670.0,44185.0,45155.0,49897.0,48958.0,50836.0,67955.0,67390.0,68520.0,60,54.0,48.0,7.0,7.0,7.0,,,,2.0,2.0,3.0,16.0,16.0,17.0,4.0,3.0,4.0,3.0,3.0,3.0,7323.0,14.0,13.0,14.0,14.0,,,,7.0,6.0,9.0,7.0,6.0,7.0,7.0,6.0,7.0,19.0,19.0,20.0,8014.0,15.0,15.0,16.0,,,,5.0,4.0,6.0,19.0,19.0,20.0,6.0,5.0,7.0,16.0,15.0,16.0,3871,11801.0,1014800,,371,2377773,63,63,64,506094,14,14,14,81,3057219,81,82,10617423,23.6,14.3,3359449,31.6,56008,0.5,463966,4.4,12411,0.1,1048724,9.9,5523358,52.0,271418,3,3.0,3.0,51.4,2415502,24.9,
1,2,13001,Georgia,Appling,75.1,73.8,76.4,,,,,,,71.3,68.2,74.3,,,,75.4,73.8,77.0,352,515,459,571,,,,,,,686.0,540.0,860.0,,,,499.0,434.0,563.0,10.0,55.0,26.0,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,15,18,17,16,19,17,9.0,27.0,32.0,211.0,2900,16,1235.0,7.0,,,,,,,,,,,,,,,,,,,,33.0,26.0,18.0,36.0,,,,,,,,,,,,,,,,41,40,42,2372,23,20,26,432,9,7,12,109.0,919,249.0,89.0,,,,2.8,,2.4,2.8,3.0,2.8,,2.5,2.9,2.9,43821,37455,50187,,,,,,,25833.0,4552.0,47114.0,33295.0,19525.0,47065.0,44851.0,36638.0,53064.0,90,42.0,38.0,,,,,,,,,,,,,,,,,,,12.0,14.0,7.0,24.0,13.0,,,,,,,,,,,,,,,,10.0,11.0,5.0,20.0,,,,,,,,,,,,,,,,,,1800,,63,5086,76,73,80,585,10,6,13,60,4021,56,65,18386,24.5,17.7,3466,18.9,105,0.6,153,0.8,40,0.2,1845,10.0,12631,68.7,533,3,2.0,4.0,50.2,13028,71.4,
2,3,13003,Georgia,Atkinson,72.8,70.6,75.0,,,,,,,,,,91.8,62.0,121.5,70.8,67.9,73.6,151,546,457,635,,,,,,,579.0,363.0,876.0,,,,618.0,498.0,738.0,13.0,145.0,77.0,249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,17,19,18,17,19,13,7.0,21.0,16.0,238.0,1300,16,1027.0,12.0,,,,,,,,,,,,,,,,,,,,18.0,31.0,18.0,49.0,,,,,,,,,,,,,,,,39,38,40,1509,31,28,34,235,11,7,14,49.0,2041,113.0,88.0,,,,3.1,,2.9,3.0,3.2,3.1,,2.9,3.0,3.2,38581,33051,44111,,,,,,,24507.0,19747.0,29267.0,26000.0,16816.0,35184.0,44510.0,35207.0,53813.0,84,28.0,23.0,17.0,8.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,27.0,13.0,47.0,,,,,,,,,,,,,,,,,,900,,63,2112,73,69,77,232,9,5,13,62,1787,55,69,8165,26.2,14.5,1320,16.2,132,1.6,82,1.0,89,1.1,2074,25.4,4574,56.0,744,10,7.0,13.0,49.2,8375,100.0,
3,4,13005,Georgia,Bacon,73.9,72.4,75.4,,,,,,,70.1,66.0,74.2,,,,74.0,72.3,75.7,223,566,489,642,,,,,,,824.0,589.0,1122.0,,,,547.0,463.0,631.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,15,18,17,16,19,13,6.0,25.0,44.0,480.0,1880,17,608.0,5.0,,,,,,,,,,,,,,,,,,,,22.0,28.0,17.0,42.0,,,,,,,,,,,,,,,,40,39,41,1448,23,20,26,322,11,8,14,72.0,1396,141.0,93.0,,,,2.8,,2.4,2.6,3.1,2.7,,2.4,2.6,2.9,41807,36396,47218,,,,,,,23370.0,14770.0,31970.0,26377.0,20932.0,31822.0,46034.0,38590.0,53478.0,74,29.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,18.0,9.0,33.0,,,,,,,,,,,,,,,,,,1200,,33,2805,72,67,77,449,12,7,17,66,2572,61,72,11164,25.4,16.8,1756,15.7,43,0.4,85,0.8,20,0.2,958,8.6,8192,73.4,240,2,0.0,4.0,51.1,7688,69.3,
4,5,13007,Georgia,Baker,79.6,75.6,83.6,,,,,,,,,,,,,,,,46,397,281,544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,14,16,16,14,17,18,7.0,34.0,7.0,262.0,550,17,1054.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,41,43,357,20,17,23,51,8,6,11,99.0,1013,,,,,,2.4,,,,,2.3,,,,,39515,33758,45272,,,,,,,25484.0,15238.0,35730.0,,,,41000.0,21010.0,60990.0,94,18.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,0,930,65,57,73,179,15,6,24,51,721,40,61,3038,19.5,23.7,1308,43.1,15,0.5,35,1.2,2,0.1,193,6.4,1454,47.9,32,1,0.0,4.0,50.8,3451,100.0,
5,6,13009,Georgia,Baldwin,74.9,74.0,75.8,,,,,,,74.6,73.0,76.2,,,,75.0,73.9,76.2,748,500,462,538,,,,,,,580.0,518.0,643.0,,,,472.0,421.0,523.0,27.0,79.0,52.0,115.0,,,,,,,94.0,55.0,151.0,,,,70.0,33.0,128.0,28.0,9.0,6.0,13.0,,,,,,,,,,,,,,,,15,14,16,16,15,17,12,7.0,19.0,135.0,348.0,7540,17,4261.0,9.0,10.0,7.0,4.0,14.0,,,,,,,,,,,,,,,,51.0,16.0,12.0,21.0,,,,,,,14.0,9.0,22.0,,,,19.0,13.0,27.0,42,40,43,4664,19,17,22,574,7,5,9,107.0,935,274.0,92.0,5.0,1.0,8.0,2.5,,2.2,,3.0,2.4,,2.2,,2.9,44429,38331,50527,98311.0,43993.0,152629.0,117941.0,21844.0,214038.0,33339.0,25852.0,40826.0,60750.0,14697.0,106803.0,50644.0,43500.0,57788.0,91,15.0,15.0,10.0,7.0,15.0,,,,,,,,,,,,,,,,35.0,16.0,11.0,23.0,16.0,,,,,,,,,,,,,,,,51.0,23.0,17.0,30.0,,,,,,,24.0,15.0,36.0,,,,23.0,16.0,34.0,,,3500,,134,9468,58,56,61,2896,19,16,22,75,12113,72,78,44890,18.5,16.5,18880,42.1,152,0.3,782,1.7,38,0.1,1051,2.3,23502,52.4,378,1,0.0,2.0,49.3,16066,35.1,
6,7,13011,Georgia,Banks,75.9,74.5,77.3,,,,,,,,,,,,,,,,305,429,379,480,,,,,,,,,,,,,,,,21.0,125.0,77.0,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13,16,16,15,18,9,4.0,16.0,22.0,137.0,2140,12,266.0,1.0,12.0,21.0,11.0,37.0,,,,,,,,,,,,,,,,35.0,27.0,19.0,37.0,,,,,,,,,,,,,,,,39,37,40,2865,25,22,28,528,12,9,15,52.0,1923,233.0,93.0,,,,2.9,,,2.7,3.1,3.0,,,2.9,3.0,53481,48428,58534,,,,58194.0,49551.0,66837.0,21825.0,3844.0,39806.0,48275.0,44112.0,52438.0,48678.0,43892.0,53464.0,62,47.0,29.0,,,,,,,,,,,,,,,,,,,16.0,19.0,11.0,31.0,17.0,,,,,,,,,,,,,,,,14.0,15.0,8.0,25.0,,,,,,,,,,,,,,,,,,1800,,17,5082,75,72,79,592,9,7,12,66,4448,61,71,19234,22.2,17.7,508,2.6,117,0.6,202,1.1,21,0.1,1394,7.2,16797,87.3,262,1,1.0,2.0,49.2,17260,93.8,
7,8,13013,Georgia,Barrow,76.4,75.7,77.0,,,,79.9,75.6,84.1,74.7,72.7,76.6,90.4,75.2,105.5,75.9,75.1,76.7,1139,440,414,465,,,,313.0,198.0,469.0,480.0,400.0,560.0,228.0,163.0,310.0,460.0,430.0,491.0,45.0,54.0,39.0,72.0,,,,,,,,,,,,,,,,45.0,6.0,4.0,8.0,,,,,,,,,,,,,,,,13,12,15,15,14,16,14,9.0,20.0,135.0,205.0,8120,11,3542.0,5.0,46.0,19.0,14.0,25.0,,,,,,,,,,,,,,,,86.0,16.0,13.0,20.0,,,,,,,15.0,7.0,28.0,,,,18.0,14.0,23.0,39,38,40,10709,21,19,24,1995,9,7,12,38.0,2601,848.0,86.0,9.0,6.0,13.0,3.1,3.0,2.8,3.0,3.2,2.9,3.0,2.7,2.9,3.0,68924,64349,73499,105000.0,10289.0,199711.0,75245.0,53919.0,96571.0,53504.0,45652.0,61356.0,53692.0,43083.0,64301.0,64923.0,61599.0,68247.0,61,33.0,28.0,4.0,3.0,6.0,,,,,,,,,,,,,,,,80.0,20.0,16.0,25.0,20.0,,,,,,,,,,,,,,,,61.0,15.0,12.0,20.0,,,,,,,,,,,,,,,,,,8500,,80,19895,76,74,77,2845,11,10,13,84,22138,82,86,83240,25.7,12.7,10208,12.3,466,0.6,3332,4.0,81,0.1,10137,12.2,57737,69.4,1585,2,2.0,3.0,50.9,20853,30.1,
8,9,13015,Georgia,Bartow,76.7,76.1,77.2,,,,,,,75.2,73.4,77.0,89.5,81.8,97.3,76.3,75.7,76.9,1579,427,405,448,,,,,,,488.0,413.0,562.0,129.0,76.0,204.0,441.0,417.0,466.0,57.0,55.0,42.0,72.0,,,,,,,100.0,53.0,170.0,,,,50.0,35.0,69.0,56.0,6.0,5.0,8.0,,,,,,,,,,,,,,,,14,12,15,15,13,16,9,6.0,13.0,194.0,220.0,12290,12,14128.0,14.0,67.0,21.0,16.0,27.0,,,,,,,,,,,,,,,,124.0,17.0,14.0,20.0,,,,,,,19.0,10.0,31.0,,,,18.0,14.0,21.0,38,37,40,13579,21,19,23,2286,9,6,11,94.0,1067,1315.0,88.0,9.0,5.0,13.0,3.1,,2.7,2.9,3.1,3.0,,2.6,2.9,3.1,60254,54951,65557,80750.0,26980.0,134520.0,,,,45791.0,37072.0,54510.0,41946.0,30918.0,52974.0,60758.0,58568.0,62948.0,54,35.0,27.0,4.0,3.0,6.0,,,,,,,,,,,,,,,,100.0,19.0,15.0,22.0,19.0,,,,,,,,,,,,,,,,88.0,17.0,13.0,21.0,,,,,,,,,,,,,,,,95,59.0,10500,15.0,156,24946,66,64,68,4643,13,11,15,80,30038,78,82,107738,23.8,14.4,11661,10.8,625,0.6,1115,1.0,116,0.1,9867,9.2,82889,76.9,2010,2,1.0,3.0,50.7,35283,35.2,
9,10,13017,Georgia,Ben Hill,73.0,71.7,74.3,,,,,,,72.5,70.2,74.7,,,,72.6,70.8,74.4,362,578,516,640,,,,,,,657.0,541.0,772.0,,,,575.0,494.0,657.0,12.0,71.0,36.0,123.0,,,,,,,,,,,,,,,,20.0,13.0,8.0,20.0,,,,,,,,,,,,,,,,16,15,18,17,16,18,21,14.0,32.0,14.0,101.0,3370,20,2359.0,13.0,,,,,,,,,,,,,,,,,,,,22.0,18.0,11.0,28.0,,,,,,,,,,,,,,,,41,40,42,1848,19,17,22,295,7,5,9,102.0,982,208.0,80.0,23.0,9.0,36.0,2.7,,2.4,2.8,2.8,2.4,,2.2,2.4,2.6,35931,30834,41028,,,,,,,20870.0,16041.0,25699.0,32375.0,1134.0,63616.0,47256.0,42676.0,51836.0,92,30.0,30.0,11.0,6.0,19.0,,,,,,,,,,,,,,,,13.0,15.0,8.0,26.0,15.0,,,,,,,,,,,,,,,,18.0,21.0,13.0,33.0,,,,,,,,,,,,,,,,,,1700,,83,3791,59,56,62,788,14,10,18,56,3578,49,62,16700,24.5,17.9,6108,36.6,113,0.7,142,0.9,9,0.1,1048,6.3,9150,54.8,203,1,0.0,2.0,52.8,5996,34.0,
