,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,13000,Georgia,,,133085.0,7616.0,7556.0,7676.0,,2607.0,1931.0,3282.0,,3051.0,2861.0,3241.0,,9585.0,9468.0,9703.0,,3835.0,3701.0,3969.0,,7377.0,7296.0,7459.0,,18,17,19,,3.9,3.7,4.2,,4.2,3.9,4.4,,,10.0,10.0,10.0,,10.0,8.0,12.0,9.0,9.0,9.0,14.0,14.0,14.0,7.0,7.0,7.0,7.0,7.0,7.0,16,15,17,,32,,,,6.5,,26,,,,75,,17,16,18,,1524,7523,20,20,21,,65936,632.2,,24,24,24,,11.0,9.0,14.0,5.0,4.0,5.0,29.0,29.0,29.0,36.0,36.0,37.0,19.0,19.0,19.0,1398968,16,16,16,,6974.0,66.0,1508,,5528.0,52.0,1921,,15371.0,145.0,691,,4835.0,,6187.0,2463.0,5987.0,3451.0,4618.0,41,,31.0,30.0,39.0,30.0,42.0,46,,39.0,49.0,33.0,36.0,49.0,6002781,6888279,87,87,87,,1789544,2814908,64,63.0,64.0,,175011,5110328,3.4,,20,19,20,,34.0,10.0,31.0,32.0,12.0,117610,24202,4.9,,761172,2499486,30,30,31,,9271,8.8,,39544.0,388.0,,34596.0,66.0,66.0,67.0,,21.0,14.0,31.0,24.0,22.0,26.0,60.0,59.0,61.0,30.0,28.0,31.0,80.0,79.0,81.0,9.6,,,,16,16,17,14,14,14,2,2,2,1,1,1,,79,79,79,,61.0,57.0,65.0,74.0,73.0,75.0,78.0,78.0,79.0,67.0,66.0,68.0,82.0,82.0,83.0,4781201,42,42,43,,
1,2,13001,Georgia,Appling,,352.0,9868.0,8260.0,11476.0,0.25,,,,,,,,,13316.0,9327.0,18435.0,,,,,,9734.0,7751.0,11716.0,,26,23,29,0.8,5.3,4.9,5.7,1.08,5.2,4.8,5.5,1.08,,10.0,9.0,12.0,0.12,,,,,,,15.0,11.0,19.0,8.0,5.0,12.0,9.0,7.0,11.0,25,22,27,0.85,34,24.0,46.0,-0.09,7.1,0.1,41,32.0,53.0,1.98,20,1.28,16,15,17,-0.27,8,23,35,24,46,1.29,80,431.9,-0.38,54,46,61,1.58,,,,,,,52.0,38.0,69.0,58.0,39.0,82.0,54.0,45.0,63.0,2772,19,17,21,0.68,7.0,38.0,2644,0.32,2.0,11.0,9193,0.42,15.0,82.0,1226,-0.01,6168.0,0.75,,,7193.0,5911.0,5902.0,36,0.76,,,30.0,,37.0,30,1.99,,,22.0,,32.0,9207,12288,75,71,79,1.27,1912,4245,45,38.0,52.0,0.49,361,9306,3.9,-0.03,31,21,41,0.51,,,32.0,35.0,30.0,82405,16364,5.0,0.14,1108,4534,24,15,34,-0.81,23,12.4,-1.12,70.0,379.0,0.28,83.0,90.0,72.0,111.0,0.57,,,,,,,67.0,35.0,117.0,,,,98.0,75.0,125.0,9.4,-0.28,No,-0.49,12,8,15,9,6,12,3,1,5,1,0,2,-1.24,83,77,89,0.1,,,,,,,72.0,59.0,84.0,,,,87.0,80.0,94.0,7093,26,21,32,-0.95,
2,3,13003,Georgia,Atkinson,,151.0,12375.0,9497.0,15253.0,1.5,,,,,,,,,,,,,,,,,,,,,30,27,32,1.65,5.4,5.1,5.8,1.34,5.1,4.8,5.4,0.98,,7.0,6.0,9.0,-1.35,,,,,,,10.0,5.0,16.0,7.0,5.0,10.0,6.0,4.0,8.0,26,23,28,1.18,31,20.0,42.0,-0.67,6.6,0.59,30,20.0,42.0,-0.07,0,2.02,15,14,16,-0.66,3,14,21,8,37,0.02,50,599.4,0.25,66,55,77,2.54,,,,,,,49.0,29.0,76.0,61.0,44.0,83.0,74.0,58.0,93.0,1728,25,22,27,2.97,,,nan,0.0,1.0,12.0,8165,0.4,,,nan,0.0,6459.0,0.98,,,9680.0,,5614.0,35,0.95,,,29.0,,37.0,36,1.05,,,22.0,17.0,39.0,3495,5200,67,62,72,2.56,707,2119,33,26.0,41.0,1.47,143,4695,3.0,-0.92,37,25,49,1.14,,,77.0,69.0,31.0,77964,18185,4.3,-0.69,926,2219,42,30,54,0.65,6,7.2,0.43,,,0.0,45.0,108.0,79.0,145.0,1.63,,,,,,,142.0,68.0,261.0,,,,122.0,82.0,176.0,9.4,-0.28,No,-0.49,13,9,16,11,6,15,2,0,3,0,0,1,-1.0,82,78,87,0.01,,,,,,,,,,,,,,,,3232,30,23,37,-0.63,
3,4,13005,Georgia,Bacon,,223.0,10293.0,8353.0,12233.0,0.46,,,,,,,,,15257.0,9966.0,22355.0,,,,,,9888.0,7648.0,12129.0,,25,23,28,0.54,5.2,4.8,5.6,0.83,5.1,4.7,5.4,0.83,,11.0,9.0,13.0,0.24,,,,,,,14.0,10.0,19.0,12.0,6.0,17.0,8.0,6.0,11.0,25,22,28,0.97,44,30.0,59.0,1.36,7.0,0.2,38,25.0,51.0,1.28,61,-0.24,16,15,17,-0.38,4,19,21,10,35,-0.01,54,477.1,-0.21,38,31,46,0.39,,,,,,,60.0,39.0,87.0,44.0,23.0,75.0,33.0,25.0,42.0,1748,19,17,22,0.94,8.0,72.0,1398,-0.89,3.0,27.0,3721,0.16,1.0,9.0,11164,0.9,9190.0,3.0,,,4926.0,,9215.0,28,2.27,,,36.0,,27.0,35,1.21,,,26.0,,36.0,6036,7354,82,78,87,0.07,1097,2967,37,29.0,45.0,1.16,176,4966,3.5,-0.39,31,19,43,0.52,,,30.0,56.0,16.0,88797,15711,5.7,0.82,870,2872,30,19,41,-0.32,10,8.9,-0.08,,,0.0,46.0,82.0,60.0,109.0,0.09,,,,,,,,,,,,,,,,9.2,-0.57,No,-0.49,12,7,17,9,5,14,3,0,5,0,0,1,-1.16,80,73,87,-0.46,,,,,,,,,,,,,,,,4088,29,21,36,-0.77,
4,5,13007,Georgia,Baker,x,,,,,0.0,,,,,,,,,,,,,,,,,,,,,24,21,26,0.2,4.7,4.4,5.0,0.04,4.7,4.4,5.0,-0.18,x,11.0,7.0,16.0,0.47,,,,,,,,,,,,,,,,22,20,24,0.01,36,20.0,54.0,0.19,4.7,2.44,26,13.0,43.0,-0.72,6,1.8,16,15,16,-0.35,4,8,50,32,65,2.73,16,500.0,-0.12,23,13,39,-0.78,,,,,,,,,,,,,,,,404,17,15,20,0.09,,,nan,0.0,0.0,0.0,3038,0.6,1.0,33.0,3038,0.6,,0.0,,,,,,42,-0.37,,,,,,28,2.31,,,19.0,,28.0,1813,2249,81,74,87,0.31,327,661,49,36.0,63.0,0.12,55,1163,4.7,0.88,40,25,55,1.47,,,26.0,,27.0,72647,11603,6.3,1.49,271,656,41,19,63,0.61,0,0.0,2.6,,,0.0,13.0,83.0,44.0,142.0,0.17,,,,,,,,,,,,,,,,9.5,-0.13,No,-0.49,14,8,20,10,3,16,5,2,9,0,0,2,-0.63,87,83,91,0.96,,,,,,,,,,,,,,,,1062,48,33,64,0.89,
5,6,13009,Georgia,Baldwin,,748.0,10323.0,9173.0,11473.0,0.48,,,,,,,,,12071.0,10251.0,13892.0,,,,,,9502.0,7915.0,11089.0,,24,22,26,0.27,4.7,4.4,5.1,0.08,4.8,4.5,5.1,0.1,,12.0,11.0,13.0,1.03,,,,,,,16.0,14.0,18.0,,,,8.0,7.0,10.0,23,20,25,0.24,41,31.0,51.0,0.92,6.7,0.49,26,18.0,34.0,-0.74,64,-0.36,16,15,17,-0.28,8,48,17,10,25,-0.43,379,844.0,1.16,14,12,16,-1.49,,,,,,,25.0,21.0,29.0,,,,8.0,7.0,10.0,5178,16,14,18,-0.31,22.0,49.0,2037,-0.09,17.0,38.0,2641,-0.02,65.0,145.0,691,-0.81,4912.0,-0.23,,,7221.0,,4359.0,43,-0.56,,40.0,37.0,,45.0,44,-0.2,,36.0,26.0,,49.0,24166,28170,86,84,88,-0.56,5928,9995,59,52.0,66.0,-0.71,738,17409,4.2,0.36,29,19,40,0.34,,,39.0,,21.0,88019,15472,5.7,0.86,3776,8375,45,36,54,0.93,34,7.6,0.33,316.0,689.0,1.71,153.0,68.0,57.0,79.0,-0.69,,,,,,,60.0,46.0,78.0,,,,79.0,64.0,96.0,10.2,0.87,No,-0.49,20,17,23,19,16,23,1,1,2,1,0,2,1.63,86,82,91,0.78,,,,,,,92.0,88.0,96.0,,,,86.0,82.0,90.0,17605,26,21,31,-0.98,
6,7,13011,Georgia,Banks,,305.0,9727.0,7949.0,11506.0,0.18,,,,,,,,,,,,,,,,,,,,,22,19,25,-0.24,4.7,4.3,5.2,0.05,5.0,4.6,5.4,0.56,,7.0,6.0,9.0,-1.34,,,,,,,,,,9.0,4.0,14.0,7.0,6.0,9.0,23,20,27,0.51,33,22.0,44.0,-0.37,8.4,-1.16,36,25.0,48.0,1.0,37,0.65,18,16,19,0.72,2,32,6,1,16,-1.42,31,166.4,-1.36,27,22,33,-0.46,,,,,,,,,,26.0,13.0,48.0,28.0,22.0,34.0,3352,22,19,24,1.72,4.0,21.0,4747,0.92,1.0,5.0,19234,0.52,,,nan,0.0,5233.0,0.02,,,,,,39,0.2,,,,,,47,-0.67,,,36.0,19.0,48.0,9833,12958,76,73,79,1.11,2153,4562,47,41.0,54.0,0.31,264,9616,2.7,-1.24,19,12,26,-0.78,,,,10.0,15.0,84685,19028,4.5,-0.51,702,4347,16,11,22,-1.51,14,7.4,0.39,36.0,195.0,-0.58,83.0,89.0,71.0,110.0,0.49,,,,,,,,,,,,,,,,10.0,0.59,No,-0.49,14,11,17,11,8,14,3,1,4,1,0,2,-0.58,81,77,84,-0.34,,,,,,,,,,,,,,,,7583,45,38,51,0.6,
7,8,13013,Georgia,Barrow,,1139.0,8845.0,8132.0,9559.0,-0.26,,,,,,,,,10148.0,8013.0,12284.0,,4845.0,3428.0,6650.0,,9349.0,8463.0,10235.0,,20,18,22,-0.69,4.3,3.9,4.6,-0.72,4.5,4.2,4.8,-0.74,,8.0,7.0,8.0,-1.2,,,,7.0,5.0,10.0,12.0,9.0,14.0,6.0,4.0,7.0,7.0,7.0,8.0,20,18,23,-0.51,39,31.0,48.0,0.62,8.3,-1.07,23,17.0,31.0,-1.26,65,-0.41,17,16,18,0.57,12,65,18,12,25,-0.26,297,375.7,-0.59,22,20,25,-0.85,,,,19.0,11.0,32.0,19.0,14.0,25.0,22.0,16.0,29.0,23.0,21.0,26.0,12561,18,16,20,0.34,19.0,24.0,4253,0.83,14.0,17.0,5946,0.33,14.0,17.0,5946,0.8,5786.0,0.45,,3428.0,5669.0,6061.0,5901.0,39,0.2,,27.0,30.0,37.0,40.0,49,-0.98,,47.0,37.0,37.0,50.0,43888,51919,85,83,86,-0.35,13103,22805,57,54.0,61.0,-0.55,1138,40385,2.8,-1.16,14,9,18,-1.4,,22.0,41.0,22.0,13.0,106106,28427,3.7,-1.3,4720,20735,23,19,26,-0.95,51,6.3,0.71,370.0,497.0,0.82,291.0,74.0,65.0,82.0,-0.37,,,,,,,35.0,21.0,56.0,28.0,14.0,48.0,89.0,78.0,100.0,10.5,1.31,Yes,2.03,13,12,15,11,9,12,2,2,3,1,0,1,-0.8,83,81,84,0.11,,,,77.0,65.0,90.0,84.0,74.0,93.0,80.0,66.0,93.0,82.0,79.0,85.0,36695,55,52,58,1.49,
8,9,13015,Georgia,Bartow,,1579.0,8396.0,7786.0,9006.0,-0.49,,,,,,,,,9858.0,7899.0,11818.0,,,,,,8754.0,8040.0,9469.0,,20,17,22,-0.7,4.3,3.9,4.7,-0.61,4.6,4.2,5.0,-0.45,,8.0,7.0,8.0,-1.12,,,,,,,12.0,10.0,14.0,7.0,5.0,8.0,7.0,7.0,8.0,21,18,24,-0.16,29,23.0,36.0,-0.86,7.2,0.0,30,24.0,36.0,-0.07,67,-0.47,17,17,18,0.64,15,120,13,8,17,-0.82,454,432.2,-0.37,30,27,32,-0.29,,,,,,,30.0,24.0,37.0,36.0,29.0,43.0,29.0,26.0,31.0,15637,17,15,19,0.13,42.0,39.0,2534,0.26,37.0,34.0,2912,0.04,126.0,117.0,855,-0.46,6120.0,0.72,,,6390.0,8593.0,6064.0,38,0.38,,24.0,38.0,30.0,39.0,51,-1.3,,46.0,42.0,42.0,51.0,58744,70245,84,82,85,-0.19,15528,27370,57,53.0,61.0,-0.49,1654,50539,3.3,-0.68,16,11,21,-1.11,8.0,17.0,13.0,43.0,13.0,102799,24035,4.3,-0.7,5825,25609,23,18,27,-0.96,74,7.0,0.52,477.0,468.0,0.69,406.0,77.0,70.0,85.0,-0.16,,,,,,,56.0,39.0,79.0,33.0,18.0,54.0,86.0,77.0,94.0,10.4,1.16,No,-0.49,15,14,17,13,11,14,3,2,4,1,0,1,-0.04,82,80,84,-0.07,,,,,,,87.0,81.0,92.0,59.0,51.0,68.0,82.0,79.0,85.0,47075,44,40,47,0.51,
9,10,13017,Georgia,Ben Hill,,362.0,11217.0,9425.0,13009.0,0.92,,,,,,,,,12017.0,9052.0,14983.0,,,,,,11811.0,9209.0,14414.0,,26,24,29,0.82,5.3,4.9,5.6,1.01,5.1,4.8,5.4,0.82,,14.0,12.0,16.0,1.9,,,,,,,20.0,17.0,23.0,,,,9.0,7.0,11.0,24,22,26,0.63,42,32.0,53.0,1.14,5.7,1.46,41,31.0,51.0,1.92,39,0.56,14,14,15,-1.06,3,9,33,15,51,1.15,119,700.2,0.62,54,46,62,1.61,,,,,,,57.0,45.0,70.0,29.0,14.0,53.0,56.0,45.0,68.0,2118,16,14,18,-0.43,8.0,48.0,2098,-0.04,7.0,42.0,2386,-0.08,6.0,36.0,2783,0.56,7260.0,1.61,,,7058.0,,7542.0,35,0.95,,,28.0,,38.0,36,1.05,,,27.0,19.0,39.0,9323,11161,84,81,87,-0.18,1630,3724,44,36.0,51.0,0.59,295,5348,5.5,1.73,32,20,44,0.62,,,77.0,67.0,22.0,62852,12912,4.9,-0.05,2147,4262,50,41,60,1.37,12,7.1,0.46,63.0,361.0,0.19,63.0,74.0,57.0,95.0,-0.34,,,,,,,55.0,32.0,88.0,,,,94.0,68.0,125.0,9.3,-0.42,No,-0.49,16,12,20,15,11,20,1,0,2,1,0,3,0.14,89,85,92,1.21,,,,,,,83.0,73.0,94.0,,,,93.0,90.0,96.0,6133,19,14,23,-1.61,
