,,,Premature death,,,,,,,,,,,,,,,,,,,,,,,,,,Poor or fair health,,,,Poor physical health days,,,,Poor mental health days,,,,Low birthweight,,,,,,,,,,,,,,,,,,,,Adult smoking,,,,Adult obesity,,,,Food environment index,,Physical inactivity,,,,Access to exercise opportunities,,Excessive drinking,,,,Alcohol-impaired driving deaths,,,,,,Sexually transmitted infections,,,Teen births,,,,,,,,,,,,,,,,,,,Uninsured,,,,,Primary care physicians,,,,Dentists,,,,Mental health providers,,,,Preventable hospital stays,,,,,,,Mammography screening,,,,,,,Flu vaccinations,,,,,,,High school completion,,,,,,Some college,,,,,,Unemployment,,,,Children in poverty,,,,,,,,,Income inequality,,,,Children in single-parent households,,,,,,Social associations,,,Violent crime,,,Injury deaths,,,,,,,,,,,,,,,,,,,,Air pollution - particulate matter,,Drinking water violations,,Severe housing problems,,,,,,,,,,,,,Driving alone to work,,,,,,,,,,,,,,,,,,,Long commute - driving alone,,,,,
FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low,95% CI - High,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score,
16000,Idaho,,,18269,6169,6036,6303,,12274,10565,13982,,3640,2888,4392,,4786,3738,6037,,4826,4502,5150,,6298,6149,6448,,15,14,17,,3.7,3.4,4.1,,4.0,3.6,4.3,,,7,7,7,,7,6,8,8,7,9,8,7,10,8,7,8,7,6,7,15,13,17,,29,,,,7.7,,20,,,,79,,17,15,19,,367,1169,31,30,33,,6572,382.8,,20,20,20,,39,33,44,8,6,10,20,16,23,35,34,37,17,16,17,190472,13,12,14,,1148,65,1528:1,,1187,66,1506:1,,3892,218,459:1,,2469,,4593,2276,5654,2357,2438,40,,31,40,32,31,40,43,,38,45,33,35,43,1012627,1115556,91,90,91,,283739,439188,65,64,66,,25649,881897,2.9,,13,12,14,,28,16,35,26,13,105616,25142,4.2,,78947,439783,18,17,19,,1299,7.4,,3672,221,,6536,76,74,78,,125,104,146,25,18,35,43,31,59,43,39,47,82,80,84,6.6,,,,14,14,15,11,11,12,3,2,3,1,1,1,,79,78,79,,73,69,78,75,71,79,74,65,82,76,75,78,79,79,80,781670,23,23,24,,
16001,Idaho,Ada,,3995,4834,4609,5059,-1.24,,,,,3135,2218,4303,,5096,3463,7234,,4381,3659,5103,,4910,4663,5158,,13,11,15,-2.10,3.4,3.0,3.8,-2.55,4.1,3.7,4.5,-1.54,,7,6,7,-0.50,6,3,9,8,7,10,8,7,10,7,6,8,6,6,7,15,13,18,-1.90,25,23,27,-1.09,8.6,-0.94,15,14,17,-1.96,89,-1.14,20,19,21,0.92,46,137,34,29,38,0.25,2117,463.4,1.31,12,11,13,-1.28,19,9,34,8,5,11,30,23,37,21,19,24,10,10,11,37625,9,9,10,-1.86,447,95,1051:1,-1.38,390,81,1235:1,-1.24,1439,299,335:1,-1.85,2404,-0.09,5649,3080,,1827,2383,45,-1.70,21,46,34,40,46,49,-1.42,52,48,29,43,50,292957,307855,95,95,96,-1.21,95569,129827,74,71,76,-1.40,6369,254224,2.5,-0.76,10,7,12,-1.44,53,11,40,21,10,123929,28893,4.3,0.40,21161,109556,19,17,22,0.35,376,8.0,-0.82,1005,231,0.78,1438,63,60,66,-1.13,,,,13,6,24,48,29,76,37,29,47,67,64,71,6.2,-0.46,Yes,0.88,13,12,14,12,11,13,1,1,2,1,1,1,-0.30,81,79,82,0.96,81,68,95,72,67,77,80,68,91,80,77,83,81,80,83,227064,20,19,22,-0.53,
16003,Idaho,Adams,x,,,,,0.00,,,,,,,,,,,,,,,,,,,,,19,17,22,0.07,4.5,4.1,5.0,0.44,4.7,4.3,5.1,0.90,x,10,6,14,2.54,,,,,,,,,,,,,,,,21,17,24,0.93,32,23,43,0.41,7.7,-0.10,19,12,27,-0.99,33,1.86,20,18,21,0.65,2,16,13,3,28,-1.54,8,192.9,-0.65,,,,0.00,,,,,,,,,,,,,,,,466,16,13,18,0.16,1,24,4250:1,0.92,2,47,2147:1,0.19,3,70,1431:1,0.64,1785,-0.97,,,,,,35,0.20,,,,,,36,0.17,,,,,,2896,3209,90,86,94,-0.29,368,701,52,40,65,0.47,117,1721,6.8,2.78,21,12,30,1.15,,,,,,85569,23564,3.6,-0.77,130,701,19,9,29,0.22,3,7.1,-0.57,5,117,-0.56,30,147,99,210,2.42,,,,,,,,,,,,,,,,5.6,-0.85,No,-1.11,14,9,18,11,6,15,3,0,5,1,0,2,-0.26,70,63,76,-1.17,,,,,,,,,,,,,,,,1551,29,22,35,0.09,
16005,Idaho,Bannock,,1075,7845,7179,8510,0.66,25918,19237,34170,,,,,,,,,,6786,4826,9277,,7368,6673,8063,,17,15,19,-0.61,4.1,3.7,4.5,-0.73,4.6,4.2,5.0,0.41,,8,7,9,0.85,8,5,11,14,9,20,,,,8,6,11,8,7,8,19,16,22,-0.04,31,28,35,0.16,7.7,-0.10,22,19,25,-0.41,75,-0.36,19,19,20,0.58,14,49,29,21,36,-0.18,303,355.3,0.52,21,19,23,-0.32,69,51,91,,,,,,,35,28,44,18,16,20,9071,12,11,14,-0.87,66,76,1320:1,-0.76,89,101,987:1,-2.09,361,411,243:1,-3.07,2829,0.51,5906,,,656,2732,35,0.20,22,33,45,28,36,45,-0.93,44,42,28,41,45,50171,54266,92,91,94,-0.70,15719,23578,67,63,71,-0.79,1206,42752,2.8,-0.50,15,10,20,-0.20,35,26,,25,17,99958,21832,4.6,0.92,3736,22525,17,14,19,-0.08,54,6.2,-0.33,214,254,1.06,393,92,83,101,0.09,322,233,434,,,,,,,54,33,84,88,79,98,7.1,0.13,Yes,0.88,15,13,16,12,10,13,2,2,3,1,1,2,0.03,77,75,79,0.27,69,64,75,,,,,,,72,66,78,79,77,81,36893,13,12,15,-1.06,
16007,Idaho,Bear Lake,,66,7734,5218,11041,0.59,,,,,,,,,,,,,,,,,,,,,17,15,20,-0.44,4.2,3.8,4.7,-0.30,4.3,4.0,4.7,-0.52,,9,7,12,2.01,,,,,,,,,,,,,,,,18,16,21,-0.21,30,22,38,-0.18,7.9,-0.29,26,19,34,0.64,49,1.00,19,18,20,0.05,2,5,40,15,62,0.79,5,82.9,-1.45,21,15,30,-0.27,,,,,,,,,,,,,,,,502,11,9,12,-1.51,5,83,1210:1,-0.98,3,49,2042:1,0.09,4,65,1531:1,0.69,3430,1.37,,,,,,32,0.77,,,,,,24,1.65,,,,,,3718,3976,94,91,96,-0.90,744,1335,56,47,65,0.19,87,2978,2.9,-0.42,15,10,21,-0.13,,,,48,23,95470,22073,4.3,0.46,232,1584,15,8,21,-0.39,0,0.0,1.38,11,176,0.14,25,83,54,123,-0.27,,,,,,,,,,,,,,,,5.9,-0.65,No,-1.11,11,8,15,8,4,12,2,0,3,1,0,2,-0.87,72,67,77,-0.76,,,,,,,,,,,,,,,,2510,22,17,27,-0.41,
16009,Idaho,Benewah,,165,10774,7973,13574,2.50,,,,,,,,,,,,,,,,,,,,,20,18,23,0.65,4.8,4.4,5.2,1.18,5.0,4.6,5.3,1.76,,7,5,9,-0.27,,,,,,,,,,,,,,,,22,19,25,1.78,30,23,39,-0.06,7.1,0.46,28,21,35,1.03,72,-0.23,18,17,19,-0.28,3,10,30,13,48,-0.06,42,457.3,1.26,36,27,46,1.27,56,28,99,,,,,,,,,,31,23,42,1048,15,13,17,-0.08,5,54,1845:1,-0.06,9,97,1033:1,-1.90,24,258,387:1,-1.41,3099,0.90,1430,,,,3089,34,0.39,26,,,,34,28,1.15,32,,,,28,5676,6483,88,84,91,0.22,825,1781,46,38,54,1.02,215,4109,5.2,1.49,23,15,31,1.66,56,,,35,21,82183,22493,3.7,-0.73,507,2058,25,19,31,1.19,5,5.4,-0.11,22,272,1.28,51,111,83,146,0.92,303,157,529,,,,,,,,,,98,70,134,7.9,0.64,No,-1.11,15,12,19,9,6,12,5,2,8,1,0,2,0.18,79,75,83,0.66,66,45,87,,,,,,,,,,77,72,83,3409,28,22,34,0.01,
16011,Idaho,Bingham,,553,8059,7098,9021,0.79,23271,17099,30945,,,,,,,,,,5241,3671,7255,,7518,6430,8607,,19,17,21,0.21,4.5,4.1,4.9,0.39,4.6,4.2,4.9,0.39,,8,7,8,0.56,10,7,13,,,,,,,6,5,8,8,7,9,19,16,22,0.10,34,30,38,0.73,8.1,-0.48,23,19,27,-0.04,45,1.19,17,16,18,-1.02,16,50,32,25,39,0.11,119,259.1,-0.17,26,23,29,0.27,54,38,73,,,,,,,42,34,50,19,16,22,5850,15,13,17,-0.04,15,32,3082:1,0.63,21,45,2229:1,0.26,64,137,731:1,-0.09,3289,1.17,4047,,,438,3411,35,0.20,25,58,,26,35,31,0.79,44,33,,19,31,24555,27543,89,88,91,-0.08,6876,10802,64,58,70,-0.52,635,23817,2.7,-0.63,14,8,19,-0.54,33,,,25,9,99570,25221,3.9,-0.21,2607,14178,18,15,22,0.20,11,2.4,0.72,74,163,-0.02,196,86,74,98,-0.17,140,85,219,,,,,,,54,34,81,90,76,104,7.2,0.19,Yes,0.88,12,9,14,8,6,10,4,2,5,1,0,2,-0.74,75,71,78,-0.22,78,66,91,,,,,,,67,60,73,75,72,79,19359,27,23,30,-0.05,
16013,Idaho,Blaine,,166,4782,3600,5964,-1.27,,,,,,,,,,,,,,,,,,,,,16,14,19,-0.95,3.8,3.4,4.2,-1.51,4.0,3.6,4.4,-1.89,,7,6,8,-0.21,,,,,,,,,,8,6,10,6,4,8,15,12,18,-1.81,17,12,21,-2.82,8.2,-0.57,14,10,18,-2.23,78,-0.55,21,20,21,1.27,8,19,42,30,53,0.97,67,304.2,0.15,12,9,15,-1.30,,,,,,,,,,24,17,33,6,4,10,3357,18,16,20,1.05,23,102,983:1,-1.59,19,83,1212:1,-1.30,45,195,512:1,-0.73,1400,-1.52,,,,,,42,-1.13,,,,26,43,54,-2.03,,71,,39,54,14063,15859,89,86,92,0.01,2492,5082,49,39,59,0.78,323,12318,2.6,-0.66,8,5,11,-1.82,,,,49,8,111910,25544,4.4,0.56,1640,4963,33,21,45,2.51,22,9.7,-1.30,38,173,0.10,76,68,54,86,-0.89,,,,,,,,,,,,,,,,5.4,-0.98,Yes,0.88,18,14,22,17,13,21,1,0,2,1,0,2,0.95,76,71,81,0.07,,,,,,,,,,83,74,91,74,69,79,12150,22,16,29,-0.38,
16015,Idaho,Boise,x,,,,,0.00,,,,,,,,,,,,,,,,,,,,,15,13,18,-1.26,3.9,3.5,4.3,-1.32,4.2,3.8,4.6,-0.89,x,7,4,9,-0.38,,,,,,,,,,,,,,,,17,14,19,-1.14,30,23,39,-0.08,6.3,1.20,25,18,32,0.34,80,-0.62,20,18,21,0.60,12,28,43,33,52,1.03,12,164.6,-0.86,12,7,19,-1.30,,,,,,,,,,,,,,,,789,14,12,16,-0.42,1,13,7634:1,1.26,,,,0.00,5,64,1566:1,0.71,2211,-0.36,,,,,,42,-1.13,,,,,,37,0.05,,,,,,5420,5747,94,92,96,-1.05,759,1219,62,47,77,-0.39,151,3516,4.3,0.71,17,10,24,0.26,,,,6,14,109058,26115,4.2,0.20,217,1209,18,8,28,0.13,6,7.9,-0.79,11,164,-0.01,31,84,57,119,-0.24,,,,,,,,,,,,,,,,6.8,-0.07,Yes,0.88,13,10,17,10,7,14,1,0,2,3,1,5,-0.37,68,63,72,-1.56,,,,,,,,,,,,,,,,2925,62,51,73,2.61,
