,FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low,95% CI - High,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Adults with Diabetes,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low,95% CI - High,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low,95% CI - High,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured (Adults),% Uninsured (Adults),95% CI - Low (Adults),95% CI - High (Adults),# Uninsured (Children),% Uninsured (Children),95% CI - Low (Children),95% CI - High (Children),Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low,95% CI - High,Average Grade Performance (Math),Average Grade Performance (Asian) (Math),Average Grade Performance (Black) (Math),Average Grade Performance (Hispanic) (Math),Average Grade Performance (White) (Math),Average Grade Performance (Reading),Average Grade Performance (Asian) (Reading),Average Grade Performance (Black) (Reading),Average Grade Performance (Hispanic) (Reading),Average Grade Performance (White) (Reading),Median Household Income,95% CI - Low,95% CI - High,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths,Suicide Rate (Age-Adjusted),95% CI - Low,95% CI - High,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low,95% CI - High,% Broadband Access,Numerator,95% CI - Low,95% CI - High,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural,
1,18000,Indiana,,77.1,77.0,77.2,114.9,98.4,131.5,89.3,87.9,90.6,73.5,73.2,73.7,85.3,84.6,86.0,77.2,77.1,77.2,92231,401,398,404,148,119,183,138,126,150,566,555,576,234,224,244,399,396,401,3727,59,57,61,,,,43,34,54,108,101,115,50,45,55,53,50,55,4107,7,7,7,,,,7,5,8,13,12,14,6,6,7,6,6,6,12,11,13,15,14,16,12,,,11503,206,883260,13,449235,7,5180,26,25,26,,,,2,1,4,27,25,29,10,9,12,28,27,29,5711,12,12,13,,,,4,3,5,12,11,13,8,7,9,13,13,13,38,36,40,434681,11,11,11,106332,7,6,7,101,994:1,76838,88,7,6,7,3.1,3.5,2.6,2.8,3.3,3.2,3.7,2.5,2.9,3.4,57617,56819,58415,48360,42163,54557,63722,61434,66010,34895,34023,35767,47149,45881,48417,59861,59473,60249,49,67,54,6,6,7,,,,2,1,3,36,34,37,6,6,7,3,3,3,5135,15,15,16,15,,,,6,4,8,9,8,10,7,6,9,17,16,17,4794,14,14,15,,,,3,2,5,39,37,41,8,6,9,12,12,13,,,,,385,1776182,69,69,70,271765,11,11,11,80,2059551,80,81,6732219,23.3,16.1,645375,9.6,28340,0.4,174750,2.6,4539,0.1,489353,7.3,5278982,78.4,91726,1,1,2,50.7,1786702,27.6,
2,18001,Indiana,Adams,78.9,77.9,80.0,,,,,,,,,,,,,,,,390,349,313,385,,,,,,,,,,,,,,,,39,88,62,120,,,,,,,,,,,,,,,,40,8,6,12,,,,,,,,,,,,,,,,15,13,16,17,15,19,8,6,12,7,26,4290,12,1140,3,17,16,9,25,,,,,,,,,,,,,,,,36,15,10,20,,,,,,,,,,,,,,,,36,35,38,2701,14,12,16,906,8,6,10,45,2236:1,319,98,11,4,18,3.0,,,2.8,3.0,3.0,,,2.9,3.1,53532,47697,59367,,,,,,,,,,42813,17650,67976,52755,48794,56716,40,75,36,,,,,,,,,,,,,,,,,,,12,6,3,12,7,,,,,,,,,,,,,,,,10,6,3,10,,,,,,,,,,,,,,,,,,,,200,9623,77,75,80,1142,9,7,12,71,8876,68,74,35777,31.4,15.9,171,0.5,117,0.3,137,0.4,15,0.0,1623,4.5,33487,93.6,381,1,1,2,50.0,18457,53.7,
3,18003,Indiana,Allen,77.2,76.9,77.5,,,,83.1,79.7,86.5,72.0,71.1,73.0,82.2,80.0,84.5,77.8,77.5,78.1,4825,389,377,400,,,,273,219,328,608,565,652,286,239,333,369,357,381,238,62,54,69,,,,55,28,96,125,99,156,52,33,77,48,39,56,280,8,7,9,,,,,,,15,12,19,8,5,11,6,5,7,12,11,14,15,13,16,11,10,13,539,176,46500,13,34971,10,290,26,23,29,,,,,,,32,24,43,22,13,35,26,23,30,249,10,8,11,,,,,,,11,8,16,,,,10,9,11,36,34,37,25843,12,10,13,7305,7,6,9,177,566:1,3920,90,9,7,11,3.1,2.9,2.5,2.8,3.4,3.1,2.7,2.3,2.8,3.4,56838,54298,59378,,,,50580,42461,58699,31944,29629,34259,43151,39515,46787,60468,59044,61892,48,55,48,9,8,11,,,,,,,50,42,57,9,5,14,3,2,4,245,13,12,15,13,,,,21,9,42,10,6,15,13,7,23,14,12,16,275,15,13,16,,,,,,,51,42,60,14,8,21,9,8,11,,,,,298,99264,68,68,69,13810,10,9,10,84,122111,83,85,379299,25.6,14.9,43791,11.5,1780,0.5,17431,4.6,393,0.1,29356,7.7,277144,73.1,7242,2,2,2,51.1,42212,11.9,
4,18005,Indiana,Bartholomew,78.3,77.6,78.9,,,,,,,77.8,71.1,84.5,89.0,78.7,99.2,77.6,76.9,78.3,1041,369,346,392,,,,,,,522,355,741,,,,393,367,419,38,48,34,66,,,,,,,,,,,,,,,,59,8,6,10,,,,,,,,,,,,,,,,12,10,13,14,12,16,12,9,15,58,85,9490,12,7052,9,76,31,24,38,,,,,,,,,,,,,,,,93,16,13,20,,,,,,,,,,,,,,,,35,34,37,5342,11,9,12,1337,7,5,8,86,1164:1,941,91,7,3,10,3.1,3.8,,2.7,3.2,3.2,4.1,,2.8,3.3,71181,65774,76588,,,,102283,90406,114160,59440,28254,90626,56579,48075,65083,61202,57843,64561,44,39,33,2,1,4,,,,,,,,,,,,,,,,65,16,12,20,16,,,,,,,,,,,,,,,,42,10,7,14,,,,,,,,,,,,,,,,,,,,321,22470,71,70,73,3032,10,8,11,81,25591,80,83,83779,23.7,16.5,1785,2.1,390,0.5,7133,8.5,58,0.1,6019,7.2,67443,80.5,1204,2,1,2,49.7,25882,33.7,
5,18007,Indiana,Benton,79.1,77.1,81.1,,,,,,,,,,,,,,,,128,397,326,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,16,17,15,18,16,9,25,7,98,1210,14,73,1,,,,,,,,,,,,,,,,,,,,15,25,14,41,,,,,,,,,,,,,,,,38,37,40,575,12,10,14,161,7,5,10,23,4374:1,135,98,,,,3.1,,,,,3.5,,,,,55016,47530,62502,,,,,,,58500,43076,73924,41202,37211,45193,49778,45342,54214,47,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2541,74,72,76,322,10,6,13,78,2677,74,82,8748,25.0,18.0,74,0.8,28,0.3,21,0.2,6,0.1,476,5.4,8055,92.1,43,1,0,1,50.1,8854,100.0,
6,18009,Indiana,Blackford,75.7,73.9,77.4,,,,,,,,,,,,,,,,212,454,388,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,15,17,15,18,14,9,23,8,79,1680,14,99,1,,,,,,,,,,,,,,,,,,,,16,19,11,31,,,,,,,,,,,,,,,,38,36,39,652,10,8,11,146,5,4,7,43,2352:1,131,93,,,,3.1,,,,,3.2,,,,,46811,40221,53401,,,,,,,,,,,,,,,,56,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,3911,75,72,77,448,9,6,12,73,3825,69,78,11758,21.5,21.9,77,0.7,31,0.3,67,0.6,4,0.0,206,1.8,11198,95.2,11,0,0,1,51.0,6461,50.6,
7,18011,Indiana,Boone,78.6,78.0,79.3,,,,95.8,78.1,113.4,,,,95.0,80.6,109.4,78.2,77.5,78.9,664,305,281,328,,,,,,,,,,,,,,,,32,46,31,64,,,,,,,,,,,,,,,,23,4,3,6,,,,,,,,,,,,,,,,10,8,11,12,11,14,10,7,12,45,83,5470,9,725,1,46,23,17,31,,,,,,,,,,,,,,,,45,10,7,13,,,,,,,,,,,,,,,,33,31,35,3060,8,6,9,914,5,3,6,105,956:1,856,96,,,,3.5,4.0,,3.4,3.5,3.7,4.3,,3.4,3.7,84137,73241,95033,163654,56079,271229,84125,49665,118585,66654,25305,108003,78201,51151,105251,83252,79841,86663,19,47,35,3,2,5,,,,,,,,,,,,,,,,54,17,12,22,16,,,,,,,,,,,,,,,,41,12,9,17,,,,,,,,,,,,,,,,,,,,334,19658,77,76,79,2127,8,7,10,87,22098,85,89,67843,26.0,13.8,1364,2.0,184,0.3,2284,3.4,25,0.0,2157,3.2,60873,89.7,561,1,1,1,50.3,19487,34.4,
8,18013,Indiana,Brown,79.1,77.4,80.8,,,,,,,,,,,,,,,,240,350,298,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,14,15,13,16,8,5,13,13,97,1590,11,192,1,,,,,,,,,,,,,,,,,,,,21,20,12,31,,,,,,,,,,,,,,,,36,34,38,1030,12,10,13,224,8,6,10,46,2156:1,162,98,,,,3.3,,,,,3.4,,,,,59617,51375,67859,,,,,,,,,,37361,29528,45194,62887,55179,70595,52,,43,,,,,,,,,,,,,,,,,,,18,23,13,39,24,,,,,,,,,,,,,,,,15,20,11,33,,,,,,,,,,,,,,,,,,,,17,5224,84,82,87,728,12,8,16,77,4796,73,82,15092,17.3,25.4,91,0.6,94,0.6,72,0.5,3,0.0,278,1.8,14389,95.3,84,1,0,1,50.6,15242,100.0,
9,18015,Indiana,Carroll,80.1,78.8,81.4,,,,,,,,,,,,,,,,237,303,262,345,,,,,,,,,,,,,,,,15,84,47,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,11,14,15,14,17,10,7,15,6,35,2310,12,292,1,10,17,8,30,,,,,,,,,,,,,,,,22,16,10,24,,,,,,,,,,,,,,,,35,34,37,1321,11,10,13,355,8,5,10,74,1350:1,180,95,,,,3.2,,,,,3.3,,,,,58965,51181,66749,,,,,,,78750,55875,101625,31908,8157,55659,55032,50460,59604,48,83,36,,,,,,,,,,,,,,,,,,,16,16,9,26,16,,,,,,,,,,,,,,,,12,12,6,21,,,,,,,,,,,,,,,,,,,,21,6457,81,78,83,601,8,5,10,77,6182,74,80,20257,22.1,20.0,166,0.8,79,0.4,37,0.2,7,0.0,869,4.3,18977,93.7,103,1,0,1,49.7,16407,81.4,
10,18017,Indiana,Cass,76.3,75.4,77.3,,,,,,,,,,85.7,76.4,94.9,75.7,74.6,76.8,578,425,389,461,,,,,,,,,,222,146,323,450,408,491,29,83,55,118,,,,,,,,,,,,,,,,29,9,6,13,,,,,,,,,,,,,,,,14,13,16,16,15,17,17,13,22,31,98,4890,13,487,1,19,17,10,26,,,,,,,,,,,,,,,,36,14,9,19,,,,,,,,,,,,,,,,37,36,39,3154,14,12,16,660,7,5,10,90,1109:1,443,97,6,3,10,3.0,,,2.5,3.1,3.0,,,2.8,3.1,51777,47671,55883,,,,108750,88845,128655,45813,33014,58612,41875,30488,53262,50362,48020,52704,55,75,44,,,,,,,,,,,,,,,,,,,38,20,14,28,20,,,,,,,,,,,,,,,,28,15,10,21,,,,,,,,,,,,,,,,,,,,181,10863,74,72,76,1076,8,6,9,76,11169,74,78,37689,22.9,18.3,652,1.7,467,1.2,798,2.1,73,0.2,6207,16.5,29536,78.4,1475,4,3,5,50.0,17405,44.7,
