,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,18000,Indiana,,,92231,8252,8172,8331,,3215.0,2362.0,4275.0,,2965.0,2650.0,3280.0,,12509.0,12207.0,12810.0,,5051.0,4823.0,5279.0,,8104.0,8016.0,8193.0,,18,17,19,,4.0,3.7,4.2,,4.7,4.4,4.9,,,8,8,8,,8.0,6.0,10.0,8.0,7.0,8.0,13.0,13.0,13.0,7.0,7.0,7.0,7.0,7.0,7.0,22,20,23,,34,,,,7.0,,27,,,,75,,19,17,20,,795,4229,19,18,20,,34926,523.9,,25,25,25,,13.0,10.0,17.0,9.0,8.0,10.0,39.0,38.0,40.0,35.0,34.0,36.0,22.0,21.0,22.0,532695,10,9,10,,4467.0,67.0,1498,,3843.0,57.0,1752,,11330.0,168.0,594,,4795,,4584.0,2507.0,7809.0,5564.0,4607.0,42,,37.0,33.0,39.0,35.0,43.0,52,,47.0,52.0,37.0,42.0,53.0,3935103,4430493,89,89,89,,1059510,1686438,63,62,63,,112312,3387371,3.3,,15,14,16,,22.0,16.0,39.0,29.0,13.0,107416,24771,4.3,,393326,1566344,25,25,26,,8216,12.3,,25472.0,385.0,,26606,80,79,81,,30.0,20.0,43.0,20.0,17.0,23.0,98.0,95.0,102.0,39.0,36.0,41.0,83.0,82.0,84.0,9.0,,,,13,13,13,11,11,11,2,2,2,1,1,1,,83,83,83,,72.0,66.0,78.0,73.0,71.0,75.0,80.0,79.0,80.0,75.0,74.0,77.0,84.0,84.0,84.0,3146465,32,31,32,,
1,2,18001,Indiana,Adams,,390,7529,6477,8581,-0.52,,,,,,,,,,,,,,,,,,,,,21,18,24,0.77,4.6,4.2,5.1,0.99,5.0,4.6,5.5,0.45,,7,6,8,-0.47,,,,,,,,,,,,,,,,26,22,30,0.85,36,29.0,43.0,0.42,8.1,-0.42,31,24.0,38.0,0.44,60,0.19,17,16,18,-0.59,6,33,18,10,28,0.05,78,219.8,-0.66,26,22,29,-0.16,,,,,,,,,,,,,,,,3557,12,10,14,0.96,14.0,39.0,2545,0.31,14.0,39.0,2556,0.06,17.0,48.0,2105,0.7,4220,-0.34,,,,,,37,0.78,,,,29.0,37.0,48,0.3,,,,52.0,48.0,17992,21240,85,82,87,0.8,4046,7790,52,46,57,0.58,470,17255,2.7,-1.02,21,14,29,1.4,,,98.0,21.0,24.0,94882,23995,4.0,-0.16,1534,11089,14,9,19,-1.37,52,14.6,-0.66,,,0.0,101,57,46,68,-1.33,,,,,,,,,,,,,,,,9.2,0.58,No,-0.52,18,15,20,9,7,11,6,4,7,9,7,10,2.4,74,71,77,-1.89,,,,,,,,,,71.0,58.0,84.0,79.0,75.0,82.0,15210,25,21,29,-0.94,
2,3,18003,Indiana,Allen,,4825,8161,7831,8491,-0.16,,,,,5683.0,4376.0,6990.0,,14159.0,12936.0,15383.0,,5803.0,4817.0,6789.0,,7479.0,7114.0,7844.0,,19,17,21,-0.17,4.1,3.7,4.5,-0.43,4.8,4.4,5.2,-0.19,,9,8,9,1.17,,,,9.0,8.0,11.0,14.0,13.0,15.0,7.0,7.0,8.0,8.0,7.0,8.0,22,19,26,-0.57,34,32.0,37.0,-0.09,7.5,0.73,23,21.0,25.0,-1.29,78,-1.0,16,15,16,-2.15,63,180,35,31,39,1.84,2551,684.1,2.15,26,25,27,-0.08,,,,33.0,28.0,38.0,45.0,42.0,49.0,39.0,35.0,43.0,19.0,18.0,21.0,32655,10,9,11,0.29,263.0,70.0,1427,-0.65,252.0,66.0,1505,-1.44,736.0,194.0,515,-1.13,5105,0.47,17647.0,3601.0,7964.0,5689.0,4820.0,43,-0.39,,33.0,39.0,34.0,44.0,52,-0.3,33.0,54.0,37.0,42.0,53.0,216491,242295,89,89,90,-0.27,65352,97367,67,65,69,-1.1,5876,186799,3.1,-0.27,13,9,17,-0.4,44.0,26.0,44.0,33.0,11.0,103526,25315,4.1,0.15,26716,95929,28,26,30,1.11,436,11.6,0.23,1088.0,296.0,0.45,1453,78,74,82,-0.23,,,,36.0,24.0,52.0,111.0,98.0,124.0,47.0,36.0,60.0,78.0,73.0,83.0,8.9,0.06,No,-0.52,12,11,12,10,9,10,2,1,2,1,1,1,0.22,84,83,84,0.15,,,,79.0,73.0,84.0,80.0,77.0,83.0,78.0,75.0,81.0,86.0,85.0,87.0,179225,20,19,21,-1.43,
3,4,18005,Indiana,Bartholomew,,1041,7593,6919,8266,-0.48,,,,,,,,,,,,,,,,,,,,,17,15,20,-0.85,3.9,3.5,4.4,-0.88,4.5,4.1,4.9,-1.32,,8,7,8,-0.12,,,,8.0,7.0,10.0,13.0,9.0,17.0,8.0,6.0,10.0,7.0,6.0,8.0,21,17,24,-1.27,32,27.0,37.0,-0.72,7.7,0.35,25,21.0,30.0,-0.75,64,-0.09,16,15,17,-1.54,9,82,11,6,17,-0.72,281,342.5,0.08,30,27,32,0.32,,,,,,,17.0,8.0,31.0,33.0,24.0,44.0,31.0,28.0,34.0,6572,10,8,11,-0.03,59.0,71.0,1403,-0.69,64.0,76.0,1309,-1.99,132.0,158.0,635,-0.67,4765,0.16,,,1287.0,,4814.0,39,0.39,,45.0,38.0,32.0,39.0,59,-1.36,,73.0,48.0,50.0,59.0,50710,55986,91,89,92,-0.55,15299,22305,69,64,73,-1.26,1125,45027,2.5,-1.42,16,12,19,0.2,,12.0,7.0,32.0,19.0,116775,28148,4.1,0.28,4694,19677,24,19,29,0.41,85,10.3,0.63,78.0,96.0,-0.55,310,75,67,84,-0.36,,,,,,,,,,36.0,17.0,66.0,83.0,74.0,93.0,8.6,-0.45,No,-0.52,12,10,14,9,7,10,3,2,4,1,0,1,0.33,84,80,88,0.3,,,,91.0,86.0,97.0,83.0,74.0,91.0,67.0,59.0,75.0,86.0,85.0,86.0,39409,20,18,22,-1.45,
4,5,18007,Indiana,Benton,,128,6883,5079,8686,-0.88,,,,,,,,,,,,,,,,,,,,,21,18,24,0.73,4.5,4.1,5.0,0.81,5.0,4.6,5.4,0.48,,6,5,8,-1.4,,,,,,,,,,,,,,,,25,22,29,0.61,36,26.0,47.0,0.44,8.0,-0.23,29,21.0,41.0,0.19,58,0.33,18,17,19,0.03,0,13,0,0,17,-1.89,18,209.0,-0.73,25,18,33,-0.28,,,,,,,,,,,,,,,,723,10,9,12,0.26,,,nan,0.0,4.0,46.0,2187,-0.31,2.0,23.0,4374,1.0,3992,-0.54,,,,,,42,-0.19,,,,,,55,-0.75,,,,28.0,56.0,5254,5845,90,88,92,-0.39,1230,1992,62,53,71,-0.5,146,4582,3.2,-0.2,13,8,18,-0.53,,,,21.0,20.0,89967,24496,3.7,-0.81,433,2142,20,14,26,-0.24,7,8.1,1.29,,,0.0,31,72,49,102,-0.57,,,,,,,,,,,,,,,,8.3,-0.97,No,-0.52,10,7,13,8,5,11,2,1,3,0,0,1,-0.34,81,77,84,-0.51,,,,,,,,,,,,,,,,4022,48,40,55,1.24,
5,6,18009,Indiana,Blackford,,212,9790,7508,12073,0.76,,,,,,,,,,,,,,,,,,,,,20,17,23,0.28,4.5,4.1,5.0,0.71,5.1,4.7,5.6,0.84,,9,7,11,1.09,,,,,,,,,,,,,,,,26,23,30,0.82,29,20.0,39.0,-1.41,8.0,-0.23,28,19.0,37.0,-0.24,58,0.33,18,17,19,-0.23,3,7,43,22,61,2.67,42,350.7,0.13,35,28,43,0.96,,,,,,,,,,,,,,,,785,9,7,10,-0.43,8.0,67.0,1491,-0.56,2.0,17.0,5879,1.27,3.0,26.0,3919,0.97,4059,-0.48,,,,,,37,0.78,,,,,,53,-0.45,,,,,,7603,8503,89,87,91,-0.29,1336,2571,52,43,61,0.57,198,5006,4.0,1.16,18,11,26,0.76,,64.0,,,15.0,79286,22559,3.5,-1.17,593,2591,23,14,31,0.23,21,17.6,-1.57,6.0,49.0,-0.78,64,106,82,136,1.28,,,,,,,,,,,,,,,,8.8,-0.11,No,-0.52,12,8,15,10,7,13,1,0,2,1,0,1,0.21,85,81,90,0.54,,,,,,,,,,,,,,,,5118,37,31,43,0.24,
6,7,18011,Indiana,Boone,,664,6144,5451,6837,-1.3,,,,,,,,,,,,,,,,,,,,,13,11,15,-2.84,3.2,2.8,3.7,-2.9,4.0,3.5,4.4,-3.01,,7,6,7,-0.89,,,,6.0,3.0,10.0,9.0,4.0,14.0,,,,7.0,6.0,8.0,17,13,20,-2.91,27,23.0,32.0,-2.04,9.0,-2.15,21,17.0,26.0,-1.69,77,-0.93,21,20,22,2.59,6,38,16,8,25,-0.21,147,223.1,-0.64,12,10,14,-1.91,,,,,,,,,,,,,,,,3902,7,6,8,-1.2,142.0,212.0,472,-5.08,32.0,47.0,2120,-0.38,77.0,113.0,881,-0.13,3542,-0.95,,3973.0,,,3564.0,45,-0.78,,23.0,65.0,38.0,45.0,59,-1.36,,55.0,54.0,51.0,59.0,40558,43307,94,92,95,-1.26,13275,16680,80,74,85,-2.47,897,36450,2.5,-1.49,6,5,8,-1.92,,9.0,39.0,2.0,5.0,165966,39814,4.2,0.33,2546,17335,15,11,18,-1.22,79,11.8,0.18,63.0,187.0,-0.09,233,71,62,80,-0.6,,,,,,,,,,,,,,,,9.7,1.43,Yes,1.89,10,8,12,9,7,10,1,1,2,1,0,1,-0.45,84,82,86,0.15,,,,,,,82.0,73.0,90.0,54.0,41.0,67.0,80.0,78.0,82.0,33529,41,37,44,0.58,
7,8,18013,Indiana,Brown,,240,7808,5894,9721,-0.36,,,,,,,,,,,,,,,,,,,,,17,14,19,-1.27,4.0,3.5,4.5,-0.81,4.6,4.2,5.1,-0.92,,7,5,8,-1.1,,,,,,,,,,,,,,,,22,18,25,-0.91,32,24.0,40.0,-0.75,8.6,-1.38,23,17.0,30.0,-1.22,63,-0.01,19,18,21,1.09,0,17,0,0,14,-1.89,16,106.4,-1.35,17,13,23,-1.26,,,,,,,,,,,,,,,,1233,11,9,12,0.44,5.0,33.0,3047,0.51,1.0,7.0,15092,1.84,9.0,60.0,1677,0.55,3140,-1.32,,,,,,37,0.78,,,,,,50,0.0,,,,,,10528,11431,92,90,94,-0.9,1749,2921,60,50,69,-0.3,232,7750,3.0,-0.54,15,9,20,-0.11,,,,56.0,7.0,117085,25011,4.7,1.51,675,2674,25,17,34,0.65,16,10.5,0.57,28.0,187.0,-0.09,66,88,68,112,0.29,,,,,,,,,,,,,,,,8.3,-0.97,No,-0.52,15,11,20,12,8,16,2,1,3,2,0,3,1.58,81,77,85,-0.48,,,,,,,,,,,,,,,,6798,55,48,62,1.98,
8,9,18015,Indiana,Carroll,,237,6386,4992,7781,-1.16,,,,,,,,,,,,,,,,,,,,,18,16,21,-0.39,4.1,3.7,4.6,-0.36,4.7,4.3,5.2,-0.46,,7,5,8,-1.15,,,,,,,,,,,,,,,,23,20,26,-0.38,41,33.0,49.0,1.58,8.4,-1.0,31,24.0,39.0,0.54,52,0.7,18,17,20,0.42,4,16,25,12,39,0.77,52,259.5,-0.42,20,16,25,-0.84,,,,,,,,,,,,,,,,1651,10,9,12,0.25,3.0,15.0,6709,1.07,8.0,39.0,2532,0.04,15.0,74.0,1350,0.37,4171,-0.38,,,,7881.0,4007.0,36,0.97,,,,,,53,-0.45,,,,62.0,53.0,12392,14011,88,87,90,-0.06,2478,4576,54,48,60,0.33,309,10276,3.0,-0.52,12,8,16,-0.75,,,,38.0,14.0,106762,27457,3.9,-0.31,830,4481,19,13,24,-0.54,26,12.9,-0.16,,,0.0,70,70,54,88,-0.66,,,,,,,,,,,,,,,,9.1,0.4,Yes,1.89,8,6,10,5,3,7,2,1,3,1,1,2,-1.25,85,82,88,0.49,,,,,,,,,,,,,,,,9259,46,42,51,1.12,
9,10,18017,Indiana,Cass,,578,9263,8092,10435,0.46,,,,,,,,,,,,,5847.0,3853.0,8507.0,,10049.0,8598.0,11500.0,,22,19,24,1.18,4.5,4.1,4.9,0.74,4.8,4.5,5.2,-0.09,,8,7,9,0.54,,,,9.0,4.0,14.0,21.0,9.0,32.0,6.0,5.0,8.0,9.0,7.0,10.0,24,21,27,0.15,35,29.0,42.0,0.18,8.2,-0.61,30,25.0,36.0,0.4,73,-0.68,17,16,18,-1.11,4,31,13,5,23,-0.52,178,468.5,0.85,36,32,40,1.17,,,,,,,,,,54.0,43.0,65.0,31.0,27.0,35.0,3760,12,11,14,1.09,16.0,42.0,2372,0.22,9.0,24.0,4188,0.89,97.0,257.0,389,-1.92,4520,-0.06,,,,,,43,-0.39,,,,38.0,43.0,53,-0.45,,,28.0,29.0,54.0,22031,25806,85,84,87,0.65,4282,8886,48,43,53,0.99,629,17995,3.5,0.35,16,11,21,0.2,,,33.0,26.0,15.0,89632,21751,4.1,0.22,1888,8617,22,17,27,0.06,51,13.4,-0.32,27.0,70.0,-0.67,156,82,69,95,0.0,,,,,,,,,,41.0,21.0,71.0,91.0,76.0,106.0,9.1,0.4,No,-0.52,12,10,14,9,7,11,3,1,4,1,0,2,0.29,84,81,86,0.14,,,,,,,,,,76.0,65.0,88.0,85.0,82.0,89.0,17396,23,20,26,-1.15,
