,Unnamed: 0,FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low.1,95% CI - High.1,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths.1,Child Mortality Rate,95% CI - Low.2,95% CI - High.2,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths.2,Infant Mortality Rate,95% CI - Low.3,95% CI - High.3,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low.4,95% CI - High.4,% Frequent Mental Distress,95% CI - Low.5,95% CI - High.5,% Adults with Diabetes,95% CI - Low.6,95% CI - High.6,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low.7,95% CI - High.7,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low.8,95% CI - High.8,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low.9,95% CI - High.9,# Uninsured (Adults),% Uninsured (Adults),95% CI - Low (Adults),95% CI - High (Adults),# Uninsured (Children),% Uninsured (Children),95% CI - Low (Children),95% CI - High (Children),Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low.10,95% CI - High.10,Average Grade Performance (Math),Average Grade Performance (Asian) (Math),Average Grade Performance (Black) (Math),Average Grade Performance (Hispanic) (Math),Average Grade Performance (White) (Math),Average Grade Performance (Reading),Average Grade Performance (Asian) (Reading),Average Grade Performance (Black) (Reading),Average Grade Performance (Hispanic) (Reading),Average Grade Performance (White) (Reading),Median Household Income,95% CI - Low.11,95% CI - High.11,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low.12,95% CI - High.12,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths.3,Suicide Rate (Age-Adjusted),95% CI - Low.13,95% CI - High.13,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low.14,95% CI - High.14,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low.15,95% CI - High.15,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low.16,95% CI - High.16,% Broadband Access,Numerator,95% CI - Low.17,95% CI - High.17,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low.18,95% CI - High.18,% Female,# Rural,% Rural,Unnamed: 277
0,1,19000,Iowa,,79.4,79.3,79.5,77.7,73.9,81.6,86.1,84.6,87.6,74.4,73.7,75.1,90.1,88.1,92.0,79.4,79.3,79.5,35779,322,318,325,537.0,452.0,622.0,183.0,163.0,204.0,527.0,498.0,555.0,193.0,177.0,209.0,322.0,319.0,326.0,1406.0,48.0,46.0,51.0,,,,52.0,38.0,69.0,109.0,94.0,123.0,46.0,39.0,54.0,43.0,40.0,46.0,1342.0,5.0,5.0,5.0,,,,6.0,4.0,8.0,12.0,11.0,14.0,5.0,4.0,6.0,4.0,4.0,5.0,9,8,10,11,10,11,10,,,2788.0,106.0,305100,10,169972,6,980.0,10.0,10.0,11.0,31.0,15.0,57.0,,,,17.0,14.0,22.0,5.0,3.0,7.0,11.0,10.0,11.0,2437.0,11.0,11.0,12.0,18.0,9.0,30.0,5.0,4.0,8.0,11.0,9.0,13.0,9.0,7.0,11.0,11.0,11.0,12.0,33,32,34,123928,7,6,7,20414,3,2,3,109,916,35369.0,91.0,5.0,5.0,5.0,3.1,3.0,2.3,2.6,3.2,3.1,3.2,2.1,2.6,3.2,61807,60928,62686,36794.0,31799.0,41789.0,59890.0,56842.0,62938.0,32139.0,30791.0,33487.0,47502.0,45716.0,49288.0,62628.0,62272.0,62984.0,43,61.0,47.0,3.0,2.0,3.0,,,,,,,17.0,14.0,20.0,3.0,2.0,4.0,2.0,2.0,2.0,2377.0,15.0,14.0,16.0,15.0,,,,8.0,5.0,12.0,8.0,6.0,10.0,6.0,4.0,7.0,16.0,16.0,17.0,1404.0,9.0,8.0,9.0,,,,3.0,1.0,5.0,19.0,16.0,22.0,3.0,2.0,5.0,9.0,9.0,10.0,9123,3185,331400,37.0,260,899223,71,71,71,124324,10,10,10,81,1022488,80,81,3155070,23.0,17.5,122388,3.9,17060,0.5,84119,2.7,4804,0.2,198550,6.3,2682696,85.0,49643,2,2.0,2.0,50.2,1096099,36.0,
1,2,19001,Iowa,Adair,78.7,76.5,80.8,,,,,,,,,,,,,,,,97,341,272,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,11,12,11,13,15,10.0,22.0,,,660,9,99,1,,,,,,,,,,,,,,,,,,,,10.0,20.0,9.0,36.0,,,,,,,,,,,,,,,,33,31,34,238,6,5,7,52,3,2,5,98,1022,,,,,,3.0,,,,,2.9,,,,,57977,50255,65699,,,,,,,,,,60875.0,34304.0,87446.0,53586.0,49729.0,57443.0,52,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,700,10.0,13,2378,74,72,77,284,9,6,12,72,2296,68,75,7152,21.8,23.0,41,0.6,18,0.3,38,0.5,3,0.0,182,2.5,6803,95.1,5,0,0.0,1.0,50.2,7682,100.0,
2,3,19003,Iowa,Adams,79.8,76.5,83.1,,,,,,,,,,,,,,,,48,326,232,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,11,12,11,13,10,6.0,16.0,,,340,9,52,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,30,33,152,7,6,9,34,4,3,6,111,901,,,,,,3.2,,,,,3.3,,,,,53385,46228,60542,,,,,,,,,,38333.0,14662.0,62004.0,49654.0,43848.0,55460.0,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,300,50.0,3,1306,82,81,82,94,6,2,10,75,1206,71,80,3602,20.9,23.7,17,0.5,19,0.5,25,0.7,1,0.0,52,1.4,3461,96.1,6,0,0.0,2.0,50.1,4029,100.0,
3,4,19005,Iowa,Allamakee,78.1,76.7,79.5,,,,,,,,,,,,,,,,190,345,291,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,9,12,12,11,14,9,6.0,13.0,7.0,61.0,1170,8,310,2,,,,,,,,,,,,,,,,,,,,19.0,20.0,12.0,30.0,,,,,,,,,,,,,,,,34,32,35,812,11,9,13,169,5,3,7,73,1369,158.0,89.0,,,,3.0,,,,,3.0,,,2.4,3.3,56240,49678,62802,,,,,,,29095.0,22712.0,35478.0,47000.0,1240.0,92760.0,53120.0,48659.0,57581.0,61,65.0,40.0,,,,,,,,,,,,,,,,,,,13.0,18.0,9.0,33.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,9,1400,26.0,17,4723,79,77,82,540,9,7,12,72,4266,68,75,13687,23.5,23.5,207,1.5,96,0.7,63,0.5,41,0.3,973,7.1,12321,90.0,276,2,1.0,3.0,49.0,10599,74.0,
4,5,19007,Iowa,Appanoose,77.1,75.5,78.8,,,,,,,,,,,,,,,,205,399,340,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,13,13,12,14,15,10.0,23.0,6.0,57.0,1570,13,656,5,,,,,,,,,,,,,,,,,,,,21.0,24.0,15.0,37.0,,,,,,,,,,,,,,,,33,31,34,493,7,6,9,92,3,2,4,40,2485,133.0,91.0,,,,3.0,,,,,3.0,,,,,41672,36633,46711,,,,60313.0,30912.0,89714.0,27750.0,17308.0,38192.0,,,,41523.0,37862.0,45184.0,62,,29.0,,,,,,,,,,,,,,,,,,,10.0,16.0,7.0,31.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,17,1300,43.0,111,3801,71,69,73,610,12,9,15,70,3725,66,73,12426,22.6,22.9,100,0.8,40,0.3,85,0.7,8,0.1,278,2.2,11759,94.6,46,0,0.0,1.0,50.5,7507,58.3,
5,6,19009,Iowa,Audubon,76.4,73.7,79.0,,,,,,,,,,,,,,,,90,429,335,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,12,12,11,14,10,6.0,15.0,7.0,149.0,490,9,162,3,,,,,,,,,,,,,,,,,,,,19.0,48.0,29.0,75.0,,,,,,,,,,,,,,,,34,32,35,241,8,7,9,44,4,3,5,164,611,,,,,,3.1,,,,,3.0,,,,,53197,46112,60282,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-4,7,500,,27,2034,77,73,81,163,6,4,9,75,1996,73,78,5496,21.1,24.7,23,0.4,13,0.2,36,0.7,1,0.0,105,1.9,5270,95.9,4,0,0.0,1.0,51.3,6119,100.0,
6,7,19011,Iowa,Benton,80.1,79.0,81.2,,,,,,,,,,,,,,,,300,315,278,353,,,,,,,,,,,,,,,,11.0,46.0,23.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,11,11,10,13,11,8.0,16.0,13.0,61.0,2020,8,771,3,,,,,,,,,,,,,,,,,,,,43.0,24.0,17.0,32.0,,,,,,,,,,,,,,,,31,30,33,819,5,5,6,158,3,2,3,86,1166,261.0,91.0,,,,3.4,,,,,3.4,,,,,70023,62520,77526,26250.0,25186.0,27314.0,,,,,,,61141.0,44448.0,77834.0,68131.0,64418.0,71844.0,30,,30.0,,,,,,,,,,,,,,,,,,,22.0,18.0,11.0,28.0,17.0,,,,,,,,,,,,,,,,14.0,11.0,6.0,18.0,,,,,,,,,,,,,,,,49,18,2800,24.0,26,8538,83,81,85,686,7,5,9,80,8221,77,82,25645,23.2,19.0,165,0.6,73,0.3,109,0.4,15,0.1,405,1.6,24647,96.1,88,0,0.0,1.0,50.0,21032,80.7,
7,8,19013,Iowa,Black Hawk,78.4,77.9,78.9,,,,81.1,75.3,86.9,71.1,69.3,72.9,93.1,78.5,107.7,79.1,78.6,79.6,1573,355,336,373,,,,,,,661.0,573.0,750.0,,,,333.0,314.0,352.0,68.0,59.0,46.0,75.0,,,,,,,144.0,95.0,209.0,,,,39.0,27.0,55.0,73.0,6.0,5.0,8.0,,,,,,,15.0,10.0,23.0,,,,4.0,3.0,6.0,11,10,12,12,11,13,10,8.0,11.0,117.0,105.0,13600,10,14314,11,36.0,9.0,6.0,13.0,,,,,,,,,,,,,,,,80.0,9.0,7.0,11.0,,,,,,,11.0,5.0,20.0,,,,9.0,7.0,11.0,35,34,37,5302,7,6,8,646,2,2,3,144,694,1211.0,89.0,4.0,3.0,6.0,2.8,2.3,2.0,2.4,3.1,2.8,2.6,1.9,2.5,3.1,60010,56127,63893,26875.0,3580.0,50170.0,71893.0,42634.0,101152.0,29164.0,26736.0,31592.0,42982.0,36926.0,49038.0,57987.0,56037.0,59937.0,48,58.0,46.0,4.0,3.0,5.0,,,,,,,27.0,17.0,40.0,,,,2.0,1.0,3.0,98.0,15.0,12.0,19.0,15.0,,,,,,,,,,,,,,,,56.0,8.0,6.0,11.0,,,,,,,24.0,14.0,39.0,,,,7.0,5.0,9.0,436,171,12400,49.0,299,34645,65,65,66,6714,13,12,14,81,43052,80,83,131228,21.7,16.9,12436,9.5,522,0.4,3313,2.5,506,0.4,6022,4.6,105729,80.6,2390,2,2.0,2.0,50.8,17672,13.5,
8,9,19015,Iowa,Boone,79.5,78.6,80.3,,,,,,,,,,,,,,,,300,283,249,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,11,12,10,13,8,6.0,12.0,19.0,85.0,2170,8,1178,4,,,,,,,,,,,,,,,,,,,,22.0,12.0,7.0,18.0,,,,,,,,,,,,,,,,32,30,34,851,5,4,6,124,2,1,3,30,3279,298.0,93.0,,,,3.3,,,,,3.1,,,,,63975,56044,71906,,,,,,,,,,52738.0,40499.0,64977.0,64306.0,61021.0,67591.0,35,66.0,50.0,,,,,,,,,,,,,,,,,,,18.0,14.0,8.0,22.0,14.0,,,,,,,,,,,,,,,,13.0,10.0,5.0,17.0,,,,,,,,,,,,,,,,72,32,2700,39.0,71,8558,78,76,80,785,7,5,9,81,8841,78,84,26234,21.1,19.0,302,1.2,129,0.5,129,0.5,9,0.0,700,2.7,24735,94.3,132,1,0.0,1.0,49.3,13320,50.6,
9,10,19017,Iowa,Bremer,82.0,81.0,83.1,,,,,,,,,,,,,,,,224,246,212,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,10,11,9,12,9,6.0,13.0,9.0,43.0,1630,7,415,2,,,,,,,,,,,,,,,,,,,,18.0,10.0,6.0,16.0,,,,,,,,,,,,,,,,32,30,33,589,4,4,5,113,2,1,3,136,737,377.0,94.0,,,,3.2,,,,,3.3,,,,,67229,62443,72015,,,,98500.0,72387.0,124613.0,27639.0,4598.0,50680.0,89306.0,25280.0,153332.0,70474.0,66684.0,74264.0,24,,38.0,,,,,,,,,,,,,,,,,,,15.0,11.0,6.0,19.0,12.0,,,,,,,,,,,,,,,,11.0,9.0,4.0,16.0,,,,,,,,,,,,,,,,88,28,2600,45.0,89,8000,83,82,84,716,8,6,10,83,8056,81,85,25062,22.4,19.9,288,1.1,40,0.2,289,1.2,6,0.0,405,1.6,23786,94.9,105,0,0.0,1.0,50.5,15655,64.5,
