,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,19000,Iowa,,,35779.0,6232.0,6133.0,6331.0,,12046.0,9785.0,14306.0,,3551.0,3095.0,4007.0,,10848.0,10225.0,11471.0,,3956.0,3642.0,4270.0,,6184.0,6077.0,6291.0,,13,13,14,,3.1,2.9,3.2,,3.5,3.3,3.7,,,7,7.0,7.0,,7.0,6.0,9.0,8.0,8.0,9.0,11.0,11.0,12.0,6.0,6.0,7.0,6.0,6.0,6.0,17,16,18,,34,,,,8.5,,23,,,,83,,26,25,27,,458,1706,27,26,28,,14682,466.7,,18,17,18,,39.0,32.0,45.0,10.0,9.0,11.0,41.0,39.0,43.0,40.0,38.0,41.0,14.0,14.0,14.0,142584,6,5,6,,2326,74,1357,,2173.0,69.0,1452,,5197.0,165.0,607,,3536,,6898.0,3129.0,6258.0,4466.0,3485.0,52,,21.0,38.0,41.0,34.0,52.0,54,,42.0,49.0,41.0,41.0,54.0,1927271,2092785,92,92.0,92.0,,542912,770691,70,70.0,71.0,,47810,1738833,2.7,,13,12,14,,32.0,13.0,43.0,27.0,10.0,111750,26512,4.2,,152178,725323,21,20,22,,4736,15.0,,8804.0,282.0,,10700,68,67,69,,75.0,54.0,103.0,25.0,20.0,30.0,68.0,62.0,74.0,33.0,29.0,36.0,72.0,70.0,73.0,7.5,,,,12,12,12,10,10,10,2,2,2,1,1,1,,81,81,81,,75.0,68.0,81.0,67.0,65.0,69.0,70.0,68.0,72.0,73.0,72.0,74.0,82.0,82.0,83.0,1587322,21,20,21,,
1,2,19001,Iowa,Adair,,97.0,7283.0,4981.0,10281.0,0.49,,,,,,,,,,,,,,,,,,,,,14,12,16,-0.26,3.3,3.0,3.7,-0.06,3.6,3.3,3.9,-0.38,,6,4.0,8.0,-0.44,,,,,,,,,,,,,,,,20,18,23,0.62,29,20.0,38.0,-1.62,8.9,-0.68,25,17.0,34.0,-0.1,72,0.28,25,24,27,0.63,5,17,29,16,43,0.13,19,269.4,-0.26,16,10,23,-0.39,,,,,,,,,,,,,,,,284,5,4,6,-0.53,3,42,2354,0.45,4.0,56.0,1788,-0.13,,,nan,0.0,2454,-0.78,,,,,,46,0.78,,,,,,39,0.83,,,,,,4819,5115,94,93.0,96.0,-0.83,949,1545,61,53.0,70.0,0.68,101,4281,2.4,-0.63,13,8,18,-0.26,,,,11.0,13.0,100476,24023,4.2,0.32,254,1518,17,10,23,-0.32,7,9.9,1.12,8.0,103.0,-0.67,37,104,73,143,1.59,,,,,,,,,,,,,,,,7.3,-0.7,No,-0.42,8,6,10,7,5,10,1,0,2,0,0,1,-0.84,80,75,84,-0.05,,,,,,,,,,,,,,,,3455,34,29,39,1.06,
2,3,19003,Iowa,Adams,x,,,,,0.0,,,,,,,,,,,,,,,,,,,,,14,12,16,-0.36,3.3,3.0,3.6,-0.19,3.7,3.4,4.1,0.21,x,6,,,-0.49,,,,,,,,,,,,,,,,20,17,23,0.35,37,28.0,47.0,0.31,8.9,-0.68,25,18.0,34.0,0.13,54,1.95,25,23,26,0.06,0,2,0,0,51,-1.83,7,189.9,-0.79,26,15,42,1.04,,,,,,,,,,,,,,,,183,7,6,8,0.4,1,27,3645,0.96,3.0,83.0,1201,-1.17,1.0,28.0,3602,0.84,1445,-1.7,,,,,,51,-0.11,,,,,,53,-0.42,,,,,,2496,2662,94,92.0,96.0,-0.69,533,764,70,57.0,83.0,-0.42,38,2209,1.7,-1.78,20,12,27,1.3,,,,,,91425,25375,3.6,-1.03,104,767,14,6,21,-0.93,5,13.7,0.42,3.0,66.0,-0.95,15,81,46,134,0.35,,,,,,,,,,,,,,,,7.2,-0.92,No,-0.42,6,4,9,5,2,8,1,0,2,1,0,2,-1.53,77,71,83,-0.67,,,,,,,,,,,,,,,,1665,24,18,30,-0.11,
3,4,19005,Iowa,Allamakee,,190.0,6879.0,5242.0,8517.0,0.21,,,,,,,,,,,,,,,,,,,,,16,13,18,0.79,3.4,3.0,3.8,0.21,3.8,3.4,4.2,0.62,,5,4.0,6.0,-1.25,,,,,,,,,,7.0,3.0,10.0,5.0,4.0,6.0,20,17,23,0.3,41,33.0,47.0,1.25,9.0,-0.87,24,18.0,31.0,-0.26,72,0.27,23,22,25,-0.64,6,11,55,40,66,1.79,23,165.7,-0.95,21,16,28,0.41,,,,,,,,,,110.0,68.0,168.0,14.0,10.0,20.0,971,9,8,11,2.21,8,58,1729,-0.07,4.0,29.0,3422,0.88,3.0,22.0,4562,0.9,2119,-1.09,,,,,,56,-1.0,,,,,,43,0.47,,,,,,8537,9672,88,86.0,91.0,1.1,1712,2822,61,53.0,68.0,0.78,263,7490,3.5,1.45,16,10,22,0.37,,,,60.0,7.0,96824,23283,4.2,0.26,476,3194,15,11,19,-0.67,22,15.9,0.02,6.0,39.0,-1.14,57,82,62,107,0.4,,,,,,,,,,,,,,,,7.5,-0.25,No,-0.42,12,9,14,8,6,10,2,1,4,2,1,3,0.5,77,73,80,-0.73,,,,,,,,,,,,,,,,6655,29,25,34,0.54,
4,5,19007,Iowa,Appanoose,,205.0,8388.0,6367.0,10410.0,1.27,,,,,,,,,,,,,,,,,,,,,16,14,19,1.11,3.6,3.2,4.0,1.1,4.0,3.6,4.4,1.65,,8,7.0,10.0,2.55,,,,,,,,,,,,,,,,21,18,24,1.16,45,35.0,53.0,2.22,7.9,1.17,34,27.0,41.0,2.37,69,0.49,23,22,24,-0.95,5,12,42,26,56,0.94,36,291.5,-0.11,27,21,34,1.23,,,,,,,,,,,,,,,,579,6,5,7,0.07,9,72,1382,-0.56,4.0,32.0,3107,0.77,15.0,121.0,828,-0.2,3752,0.39,,,,,,43,1.31,,,,,,39,0.83,,,,,,8025,8901,90,88.0,92.0,0.48,1728,2603,66,58.0,75.0,0.03,215,6044,3.6,1.53,24,16,32,2.34,,,,17.0,26.0,80458,16992,4.7,1.6,563,2719,21,11,30,0.45,15,12.1,0.73,28.0,219.0,0.19,60,96,74,124,1.18,,,,,,,,,,,,,,,,7.6,-0.02,No,-0.42,14,11,17,11,9,14,2,1,4,1,0,3,1.35,83,80,86,0.89,,,,,,,,,,,,,,,,5201,24,19,28,-0.14,
5,6,19009,Iowa,Audubon,,90.0,10163.0,7038.0,14202.0,2.51,,,,,,,,,,,,,,,,,,,,,14,12,17,-0.01,3.3,3.0,3.7,-0.02,3.8,3.5,4.2,0.63,,5,3.0,7.0,-1.28,,,,,,,,,,,,,,,,20,17,23,0.51,32,24.0,41.0,-0.88,8.9,-0.68,21,14.0,29.0,-1.11,65,0.92,25,24,27,0.6,2,7,29,9,50,0.07,7,125.5,-1.21,18,11,28,-0.04,,,,,,,,,,,,,,,,283,7,6,8,0.62,4,73,1377,-0.57,2.0,36.0,2748,0.61,,,nan,0.0,1395,-1.74,,,,,,45,0.96,,,,,,37,1.01,,,,,,3606,4030,89,87.0,92.0,0.7,758,1062,71,62.0,81.0,-0.63,79,3172,2.5,-0.39,17,11,23,0.67,,,,,,95026,24515,3.9,-0.39,295,1146,26,17,34,1.43,11,20.0,-0.73,4.0,70.0,-0.92,43,153,111,207,3.0,,,,,,,,,,,,,,,,7.4,-0.47,No,-0.42,6,4,8,5,3,7,0,0,1,1,0,2,-1.67,81,76,85,0.17,,,,,,,,,,,,,,,,2869,18,14,21,-0.82,
6,7,19011,Iowa,Benton,,300.0,6121.0,4995.0,7246.0,-0.32,,,,,,,,,,,,,,,,,,,,,13,11,15,-0.88,3.2,2.8,3.6,-0.53,3.6,3.3,4.0,-0.37,,6,5.0,7.0,-0.25,,,,,,,,,,,,,,,,20,17,23,0.37,37,31.0,43.0,0.26,9.0,-0.87,24,19.0,30.0,-0.18,50,2.34,27,26,28,1.68,5,36,14,6,23,-0.91,64,249.6,-0.39,13,10,17,-0.73,,,,,,,,,,,,,,,,964,5,4,5,-0.96,5,19,5128,1.23,6.0,23.0,4274,1.1,6.0,23.0,4274,0.88,4278,0.87,,,,,,53,-0.47,,,,,,33,1.37,,,,,,16701,17751,94,93.0,95.0,-0.79,3921,5706,69,63.0,75.0,-0.28,406,13745,3.0,0.44,8,5,11,-1.34,,,33.0,28.0,9.0,116354,29547,3.9,-0.25,784,6026,13,10,16,-1.04,37,14.4,0.29,,,0.0,111,87,70,103,0.63,,,,,,,,,,,,,,,,8.3,1.54,No,-0.42,8,6,10,6,5,8,1,0,2,1,0,2,-0.94,84,83,86,1.1,,,,,,,,,,,,,,,,13139,40,37,43,1.79,
7,8,19013,Iowa,Black Hawk,,1573.0,6998.0,6482.0,7514.0,0.3,,,,,,,,,14327.0,11990.0,16663.0,,,,,,6223.0,5702.0,6744.0,,15,13,17,0.21,3.4,3.1,3.8,0.28,3.8,3.5,4.2,0.73,,7,7.0,8.0,1.07,,,,9.0,7.0,11.0,13.0,11.0,14.0,5.0,3.0,7.0,6.0,5.0,6.0,19,16,22,-0.32,31,28.0,34.0,-1.07,7.8,1.36,22,20.0,25.0,-0.74,83,-0.86,26,25,27,1.26,9,50,18,11,26,-0.63,1004,756.9,2.96,17,15,18,-0.26,,,,26.0,17.0,39.0,43.0,37.0,50.0,35.0,27.0,44.0,11.0,10.0,12.0,5885,6,5,6,-0.33,122,92,1085,-1.23,97.0,74.0,1353,-0.81,242.0,184.0,542,-0.9,3315,0.0,,,5692.0,,3214.0,55,-0.83,,50.0,49.0,42.0,55.0,60,-1.05,,53.0,45.0,41.0,61.0,76514,83718,91,91.0,92.0,0.08,22803,32089,71,68.0,74.0,-0.59,2269,70280,3.2,0.94,15,11,19,0.28,15.0,12.0,44.0,35.0,12.0,104061,24066,4.3,0.65,6895,28607,24,21,27,1.11,158,11.9,0.75,683.0,511.0,2.37,410,62,56,68,-0.73,,,,,,,89.0,68.0,115.0,,,,62.0,55.0,68.0,7.6,-0.02,No,-0.42,14,13,16,13,11,14,2,1,2,1,1,1,1.67,81,80,82,0.27,,,,69.0,61.0,77.0,73.0,67.0,80.0,73.0,65.0,80.0,84.0,83.0,85.0,67604,9,8,10,-1.87,
8,9,19015,Iowa,Boone,,300.0,4714.0,3811.0,5617.0,-1.3,,,,,,,,,,,,,,,,,,,,,13,11,15,-0.6,3.3,2.9,3.7,0.01,3.6,3.2,4.0,-0.34,,6,5.0,7.0,-0.61,,,,,,,,,,,,,,,,18,15,21,-0.66,39,33.0,46.0,0.89,8.8,-0.5,23,18.0,28.0,-0.63,86,-1.07,24,22,25,-0.61,6,13,46,32,59,1.24,85,320.9,0.08,15,12,19,-0.48,,,,,,,,,,,,,,,,963,5,4,5,-1.02,14,53,1882,0.09,11.0,42.0,2385,0.4,19.0,72.0,1381,0.34,4987,1.51,,,,,,49,0.24,,,,,,61,-1.14,,,,53.0,61.0,17418,18546,94,93.0,95.0,-0.74,4571,6472,71,64.0,77.0,-0.53,360,15151,2.4,-0.6,11,7,14,-0.81,,,,2.0,8.0,110737,30129,3.7,-0.86,890,5593,16,11,21,-0.48,37,14.0,0.36,74.0,277.0,0.62,99,75,61,91,-0.01,,,,,,,,,,,,,,,,7.7,0.2,No,-0.42,11,9,14,9,6,11,2,1,4,1,0,1,0.35,83,80,86,0.74,,,,,,,,,,,,,,,,13838,30,26,33,0.57,
9,10,19017,Iowa,Bremer,,224.0,4316.0,3401.0,5231.0,-1.58,,,,,,,,,,,,,,,,,,,,,11,10,13,-1.94,2.7,2.4,3.1,-2.32,3.2,2.9,3.6,-2.26,,6,5.0,7.0,-0.32,,,,,,,,,,,,,,,,16,13,19,-1.85,35,28.0,42.0,-0.05,9.4,-1.61,21,16.0,26.0,-1.13,82,-0.76,26,25,28,1.31,2,9,22,6,42,-0.35,74,297.1,-0.08,5,3,7,-1.95,,,,,,,,,,,,,,,,690,4,3,4,-1.62,14,56,1782,-0.01,16.0,64.0,1566,-0.43,37.0,148.0,677,-0.5,3637,0.29,,,,,,55,-0.83,,,,,,51,-0.25,,,,,,15837,16428,96,96.0,97.0,-1.54,4260,5526,77,71.0,83.0,-1.38,329,14103,2.3,-0.68,6,4,9,-1.78,,,,14.0,6.0,119975,32202,3.7,-0.74,958,5478,17,13,22,-0.17,45,18.0,-0.37,94.0,378.0,1.37,64,51,40,66,-1.31,,,,,,,,,,,,,,,,8.0,0.87,No,-0.42,8,7,10,8,6,10,0,0,1,0,0,1,-0.69,80,79,82,0.14,,,,,,,,,,,,,,,,12980,28,24,31,0.33,
