,Unnamed: 0,FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low.1,95% CI - High.1,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths.1,Child Mortality Rate,95% CI - Low.2,95% CI - High.2,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths.2,Infant Mortality Rate,95% CI - Low.3,95% CI - High.3,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low.4,95% CI - High.4,% Frequent Mental Distress,95% CI - Low.5,95% CI - High.5,% Adults with Diabetes,95% CI - Low.6,95% CI - High.6,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low.7,95% CI - High.7,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low.8,95% CI - High.8,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low.9,95% CI - High.9,# Uninsured (Adults),% Uninsured (Adults),95% CI - Low (Adults),95% CI - High (Adults),# Uninsured (Children),% Uninsured (Children),95% CI - Low (Children),95% CI - High (Children),Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low.10,95% CI - High.10,Average Grade Performance (Math),Average Grade Performance (Asian) (Math),Average Grade Performance (Black) (Math),Average Grade Performance (Hispanic) (Math),Average Grade Performance (White) (Math),Average Grade Performance (Reading),Average Grade Performance (Asian) (Reading),Average Grade Performance (Black) (Reading),Average Grade Performance (Hispanic) (Reading),Average Grade Performance (White) (Reading),Median Household Income,95% CI - Low.11,95% CI - High.11,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low.12,95% CI - High.12,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths.3,Suicide Rate (Age-Adjusted),95% CI - Low.13,95% CI - High.13,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low.14,95% CI - High.14,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low.15,95% CI - High.15,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low.16,95% CI - High.16,% Broadband Access,Numerator,95% CI - Low.17,95% CI - High.17,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low.18,95% CI - High.18,% Female,# Rural,% Rural,Unnamed: 277
0,1,20000,Kansas,,78.5,78.3,78.6,72.8,71.8,73.8,87.8,86.4,89.2,74.0,73.6,74.5,82.9,82.3,83.5,78.6,78.5,78.7,35107.0,354.0,350.0,358.0,551.0,501.0,602.0,165.0,149.0,181.0,555.0,534.0,576.0,256.0,244.0,268.0,349.0,345.0,353.0,1501.0,53.0,50.0,56.0,56.0,32.0,92.0,35.0,24.0,49.0,96.0,83.0,108.0,53.0,46.0,59.0,48.0,45.0,51.0,1612.0,6.0,6.0,6.0,,,,5.0,3.0,6.0,11.0,9.0,12.0,6.0,6.0,7.0,5.0,5.0,6.0,11,10,12,13,12,14,11,,,3080.0,128.0,368770,13,236076,8,1081.0,12.0,12.0,13.0,21.0,12.0,33.0,,,,16.0,13.0,19.0,6.0,5.0,8.0,13.0,12.0,14.0,2734.0,13.0,13.0,14.0,21.0,15.0,28.0,6.0,4.0,8.0,13.0,11.0,15.0,11.0,10.0,13.0,14.0,13.0,14.0,34,33,35,207842,12,12,13,36327,5,4,6,124.0,809,36632.0,87.0,6.0,5.0,6.0,3.1,3.3,2.4,2.6,3.3,3.0,3.4,2.3,2.6,3.2,62028,61215,62841,41691.0,37174.0,46208.0,70987.0,67819.0,74155.0,38079.0,36549.0,39609.0,47203.0,45770.0,48636.0,63078.0,62656.0,63500.0,47,57.0,42.0,5.0,4.0,5.0,8.0,5.0,13.0,4.0,2.0,6.0,23.0,20.0,25.0,7.0,6.0,8.0,3.0,3.0,3.0,2622.0,18.0,17.0,19.0,18.0,25.0,18.0,35.0,10.0,7.0,13.0,12.0,10.0,14.0,10.0,9.0,12.0,20.0,19.0,20.0,2006.0,14.0,13.0,14.0,22.0,15.0,31.0,5.0,3.0,7.0,28.0,25.0,31.0,10.0,9.0,12.0,13.0,13.0,14.0,,,,,292,748123,66,66,67,116308,11,10,11,82,924024,81,82,2913314,24.0,16.3,167325,5.7,35063,1.2,92862,3.2,3687,0.1,356073,12.2,2196863,75.4,62533,2,2.0,2.0,50.2,736157,25.8,
1,2,20001,Kansas,Allen,76.0,74.2,77.7,,,,,,,,,,,,,,,,208.0,447.0,382.0,511.0,,,,,,,,,,,,,,,,10.0,88.0,42.0,163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,14,15,14,17,17,13.0,21.0,12.0,114.0,1920,15,2608,20,,,,,,,,,,,,,,,,,,,,11.0,12.0,6.0,22.0,,,,,,,,,,,,,,,,35,34,37,710,10,9,12,147,5,3,7,137.0,728,236.0,86.0,,,,3.2,,,,,3.0,,,,,46690,40937,52443,,,,,,,,,,,,,,,,52,,35.0,,,,,,,,,,,,,,,,,,,12.0,21.0,10.0,37.0,19.0,,,,,,,,,,,,,,,,11.0,18.0,9.0,31.0,,,,,,,,,,,,,,,,,,,,99,3801,71,67,74,489,10,6,13,75,4023,71,78,12369,22.2,21.0,255,2.1,129,1.0,145,1.2,4,0.0,469,3.8,11071,89.5,0,0,0.0,1.0,50.8,7642,57.2,
2,3,20003,Kansas,Anderson,76.2,74.1,78.4,,,,,,,,,,,,,,,,126.0,437.0,355.0,519.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,11,14,15,13,17,12,8.0,16.0,6.0,93.0,1030,13,625,8,,,,,,,,,,,,,,,,,,,,16.0,29.0,17.0,47.0,,,,,,,,,,,,,,,,34,33,36,552,13,11,15,105,5,3,7,64.0,1572,101.0,92.0,,,,3.2,,,,,3.2,,,,,51352,43883,58821,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,2306,74,69,80,298,10,5,16,70,2171,65,75,7858,25.7,21.5,46,0.6,55,0.7,55,0.7,1,0.0,163,2.1,7398,94.1,1,0,0.0,1.0,50.3,4766,58.8,
3,4,20005,Kansas,Atchison,77.9,76.5,79.3,,,,,,,,,,,,,,,,212.0,390.0,335.0,445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,11,14,15,13,16,12,8.0,15.0,10.0,74.0,2440,15,967,6,,,,,,,,,,,,,,,,,,,,21.0,18.0,11.0,28.0,,,,,,,,,,,,,,,,35,33,36,767,9,7,10,144,4,3,5,106.0,945,166.0,86.0,,,,3.1,,,,,3.0,,,,,51860,44940,58780,,,,,,,44737.0,23714.0,65760.0,,,,52259.0,45674.0,58844.0,61,21.0,26.0,,,,,,,,,,,,,,,,,,,13.0,16.0,8.0,28.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,4133,69,65,74,482,9,6,12,73,4345,70,76,16073,22.8,17.6,748,4.7,123,0.8,105,0.7,9,0.1,512,3.2,14176,88.2,28,0,0.0,1.0,51.4,5780,34.2,
4,5,20007,Kansas,Barber,75.5,72.5,78.5,,,,,,,,,,,,,,,,72.0,399.0,301.0,520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,11,14,15,14,17,10,7.0,15.0,,,650,14,130,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,34,38,383,16,13,18,102,10,6,13,113.0,885,,,,,,2.8,,,,,2.7,,,,,50660,43350,57970,,,,,,,,,,,,,,,,52,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1380,72,67,76,174,10,6,14,77,1489,73,82,4427,23.2,23.1,39,0.9,60,1.4,22,0.5,1,0.0,206,4.7,4041,91.3,44,1,0.0,2.0,48.7,4861,100.0,
5,6,20009,Kansas,Barton,78.5,77.4,79.6,,,,,,,,,,82.5,75.8,89.2,78.6,77.4,79.8,348.0,369.0,328.0,411.0,,,,,,,,,,273.0,169.0,417.0,367.0,322.0,411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,14,15,14,16,14,11.0,17.0,16.0,74.0,3640,14,2538,9,,,,,,,,,,,,,,,,,,,,23.0,12.0,8.0,18.0,,,,,,,,,,,,,,,,34,33,36,2048,14,12,16,407,6,4,8,151.0,661,307.0,83.0,,,,3.0,,,2.7,3.1,3.1,,,2.7,3.3,50754,44887,56621,43150.0,30875.0,55425.0,,,,38068.0,4984.0,71152.0,40830.0,31411.0,50249.0,51952.0,47767.0,56137.0,62,38.0,24.0,,,,,,,,,,,,,,,,,,,30.0,25.0,16.0,36.0,23.0,,,,,,,,,,,,,,,,22.0,17.0,10.0,25.0,,,,,,,,,,,,,,,,,,,,181,7464,70,67,73,872,8,6,11,78,8244,75,80,25779,23.6,19.9,358,1.4,260,1.0,75,0.3,17,0.1,3940,15.3,20879,81.0,508,2,1.0,3.0,50.5,8788,31.8,
6,7,20011,Kansas,Bourbon,76.1,74.6,77.5,,,,,,,,,,,,,,,,245.0,454.0,394.0,515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,15,16,14,18,14,11.0,18.0,11.0,92.0,2330,16,1254,8,,,,,,,,,,,,,,,,,,,,18.0,17.0,10.0,28.0,,,,,,,,,,,,,,,,37,35,38,989,13,11,15,170,4,3,6,138.0,727,183.0,87.0,,,,2.8,,,,,2.5,,,,,47452,41206,53698,72083.0,8001.0,136165.0,,,,,,,31458.0,9639.0,53277.0,44614.0,42065.0,47163.0,57,43.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,4024,71,69,74,514,9,6,13,74,4192,71,77,14534,25.5,20.2,438,3.0,136,0.9,163,1.1,6,0.0,410,2.8,13031,89.7,16,0,0.0,1.0,50.7,7278,48.0,
7,8,20013,Kansas,Brown,74.3,72.6,76.1,,,,,,,,,,,,,,,,194.0,519.0,441.0,597.0,1074.0,695.0,1585.0,,,,,,,,,,479.0,399.0,559.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,14,15,13,16,13,9.0,18.0,5.0,64.0,1290,13,359,4,,,,,,,,,,,,,,,,,,,,22.0,32.0,20.0,49.0,,,,,,,,,,,,,,,,34,32,35,626,12,10,14,121,5,3,6,84.0,1196,111.0,86.0,,,,2.9,,,,,2.7,,,,,47558,41145,53971,29464.0,17858.0,41070.0,78750.0,12660.0,144840.0,33426.0,31256.0,35596.0,27500.0,9321.0,45679.0,51394.0,46503.0,56285.0,56,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,2719,70,67,73,328,9,6,12,75,2909,72,78,9564,25.3,20.7,126,1.3,919,9.6,58,0.6,6,0.1,505,5.3,7859,82.2,19,0,0.0,1.0,50.6,6833,68.4,
8,9,20015,Kansas,Butler,77.7,77.1,78.4,,,,,,,72.1,66.8,77.4,82.3,76.9,87.8,77.9,77.3,78.6,862.0,374.0,348.0,399.0,1242.0,818.0,1807.0,,,,,,,,,,368.0,342.0,395.0,23.0,34.0,21.0,50.0,,,,,,,,,,,,,,,,37.0,7.0,5.0,10.0,,,,,,,,,,,,,,,,11,10,12,14,12,15,10,8.0,12.0,55.0,100.0,7510,11,4457,7,25.0,12.0,8.0,18.0,,,,,,,,,,,,,,,,63.0,14.0,10.0,17.0,,,,,,,,,,,,,,,,36,34,37,3665,10,8,11,810,5,3,6,55.0,1808,1254.0,89.0,7.0,4.0,10.0,3.2,,2.7,2.9,3.3,3.2,,2.5,2.8,3.3,66199,58771,73627,61597.0,17521.0,105673.0,,,,,,,44630.0,11297.0,77963.0,65125.0,62451.0,67799.0,27,42.0,25.0,2.0,1.0,4.0,,,,,,,,,,,,,,,,73.0,23.0,18.0,29.0,22.0,,,,,,,,,,,,,,,,46.0,14.0,10.0,18.0,,,,,,,,,,,,,,,,,,,,114,18523,74,73,76,2597,11,9,13,82,20325,80,83,66911,25.4,15.7,1370,2.0,720,1.1,946,1.4,78,0.1,3443,5.1,58998,88.2,296,0,0.0,1.0,49.7,26664,40.5,
9,10,20017,Kansas,Chase,79.7,76.2,83.2,,,,,,,,,,,,,,,,36.0,356.0,237.0,515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,13,14,13,16,11,7.0,18.0,,,320,12,971,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,33,36,146,11,9,13,32,6,4,8,38.0,2648,,,,,,3.2,,,,,3.1,,,,,51022,43930,58114,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,848,81,72,89,85,9,4,13,71,744,65,76,2648,19.7,25.9,33,1.2,20,0.8,8,0.3,0,0.0,127,4.8,2418,91.3,9,0,0.0,2.0,48.6,2790,100.0,
