,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,20000,Kansas,,,35107.0,7079.0,6968.0,7189.0,,10961.0,9669.0,12253.0,,3259.0,2862.0,3655.0,,11558.0,11023.0,12094.0,,5531.0,5253.0,5809.0,,6877.0,6751.0,7003.0,,16,15,17,,3.6,3.4,3.8,,4.1,3.8,4.3,,,7.0,7.0,7.0,,6.0,5.0,7.0,8.0,8.0,9.0,13.0,13.0,14.0,7.0,6.0,7.0,7.0,7.0,7.0,18,17,19,,33,,,,6.7,,24,,,,80,,18,17,19,,409.0,2060.0,20.0,19.0,21.0,,14231.0,488.5,,24.0,23.0,24.0,,17.0,15.0,20.0,9.0,8.0,10.0,38.0,36.0,39.0,42.0,41.0,43.0,19.0,18.0,19.0,241000,10,10,10,,2279.0,78.0,1278,,1754.0,60.0,1661,,5960.0,205.0,489,,3959,,5283.0,2696.0,5394.0,3703.0,3911.0,45,,40.0,36.0,42.0,33.0,46.0,49,,45.0,50.0,38.0,41.0,49.0,1730153,1902279,91,91,91,,516683,736268,70,69,71,,47055,1486619,3.2,,14,13,15,,24.0,13.0,35.0,24.0,10.0,114115,26269,4.3,,150410,708719,21,21,22,,3966,13.6,,10592.0,365.0,,11058.0,76.0,75.0,77.0,,105.0,88.0,121.0,28.0,23.0,33.0,79.0,73.0,85.0,45.0,42.0,49.0,81.0,80.0,83.0,6.7,,,,13,13,13,10,10,11,2,2,2,1,1,1,,82,82,83,,77.0,73.0,81.0,75.0,73.0,78.0,80.0,79.0,82.0,77.0,76.0,79.0,84.0,84.0,84.0,1435438,21,21,22,,
1,2,20001,Kansas,Allen,,208.0,9606.0,7409.0,11803.0,0.77,,,,,,,,,,,,,,,,,,,,,19,16,21,0.44,4.1,3.7,4.5,0.64,4.8,4.4,5.2,1.53,,7.0,5.0,8.0,-0.19,,,,,,,,,,,,,,,,21,18,25,0.72,39,34.0,45.0,1.02,6.1,1.44,33,27.0,39.0,1.49,78,-0.87,18,17,19,-0.29,1.0,13.0,8.0,0.0,25.0,-0.77,32.0,255.6,-0.37,26.0,20.0,32.0,-0.01,,,,,,,,,,,,,,,,843,9,8,10,-0.86,8.0,64.0,1556,0.04,7.0,57.0,1767,-0.61,15.0,121.0,825,0.05,5456,0.51,,,,,,31,1.18,,,,,,40,-0.02,,,,71.0,40.0,7867,8560,92,90,94,-0.35,1635,2671,61,52,70,0.39,227,6436,3.5,0.77,24,16,32,1.83,,,,32.0,22.0,81765,17379,4.7,1.12,755,2822,27,16,38,1.34,13,10.4,1.0,37.0,319.0,0.65,51.0,81.0,61.0,107.0,-0.55,,,,,,,,,,,,,,,,7.6,1.05,Yes,1.01,9,7,12,8,5,10,1,0,2,1,0,2,-0.35,85,83,87,1.2,,,,,,,,,,,,,,,,5823,15,11,18,-0.73,
2,3,20003,Kansas,Anderson,,126.0,9250.0,6582.0,11917.0,0.59,,,,,,,,,,,,,,,,,,,,,18,15,20,0.01,4.0,3.6,4.4,0.46,4.6,4.2,5.0,0.89,,5.0,4.0,7.0,-1.07,,,,,,,,,,,,,,,,22,19,25,1.05,35,28.0,42.0,-0.04,7.5,-0.09,24,19.0,31.0,-0.8,55,0.34,20,18,21,0.87,5.0,16.0,31.0,18.0,45.0,0.82,13.0,166.0,-0.88,25.0,18.0,34.0,-0.12,,,,,,,,,,,,,,,,649,11,9,12,-0.29,3.0,38.0,2626,0.7,2.0,25.0,3929,0.57,4.0,51.0,1965,0.66,3032,-0.99,,,,,,45,-0.42,,,,,,28,1.17,,,,,,4756,5225,91,87,95,-0.2,973,1598,61,47,75,0.43,137,4178,3.3,0.42,13,7,20,-0.64,1.0,,,59.0,21.0,87090,20468,4.3,0.28,310,2037,15,8,22,-0.53,8,10.2,1.03,18.0,237.0,0.06,43.0,110.0,79.0,148.0,0.39,,,,,,,,,,,,,,,,7.2,0.66,No,-0.98,13,8,18,11,6,17,1,0,2,2,0,4,0.71,75,69,80,-1.27,,,,,,,,,,,,,,,,3293,40,32,48,1.68,
3,4,20005,Kansas,Atchison,,212.0,7601.0,6038.0,9164.0,-0.24,,,,,,,,,,,,,,,,,,,,,18,15,20,0.09,4.2,3.8,4.6,0.99,4.4,4.1,4.8,0.26,,6.0,5.0,8.0,-0.29,,,,,,,13.0,6.0,21.0,,,,6.0,4.0,7.0,23,19,26,1.4,37,32.0,43.0,0.57,7.4,0.02,30,24.0,35.0,0.61,74,-0.67,18,17,19,-0.32,2.0,16.0,13.0,3.0,28.0,-0.45,46.0,281.7,-0.22,21.0,17.0,24.0,-0.55,,,,,,,38.0,19.0,69.0,,,,19.0,16.0,24.0,896,7,6,8,-1.37,8.0,49.0,2024,0.41,11.0,68.0,1461,-1.06,26.0,162.0,618,-0.3,4816,0.11,,,7178.0,,4500.0,40,0.15,,,55.0,,39.0,30,0.97,,,25.0,,31.0,9399,10135,93,91,95,-0.5,2184,3359,65,55,75,-0.02,361,6987,5.2,3.0,17,10,23,0.11,,,7.0,16.0,16.0,97460,21659,4.5,0.74,480,3772,13,7,18,-0.93,20,12.4,0.79,48.0,288.0,0.43,68.0,84.0,65.0,106.0,-0.47,,,,,,,,,,,,,,,,7.6,1.05,Yes,1.01,13,9,17,10,7,14,1,0,2,2,0,3,0.65,79,75,83,-0.21,,,,,,,,,,,,,,,,7667,24,19,28,0.15,
4,5,20007,Kansas,Barber,x,,,,,0.0,,,,,,,,,,,,,,,,,,,,,18,16,21,0.25,4.0,3.6,4.4,0.43,4.7,4.3,5.1,1.41,x,6.0,3.0,8.0,-0.82,,,,,,,,,,,,,,,,22,19,26,1.21,30,23.0,37.0,-1.18,7.9,-0.52,28,22.0,35.0,0.19,55,0.32,18,17,19,-0.5,0.0,8.0,0.0,0.0,23.0,-1.29,19.0,414.3,0.55,28.0,18.0,42.0,0.21,,,,,,,,,,,,,,,,482,14,12,16,0.88,2.0,45.0,2236,0.53,,,nan,0.0,1.0,23.0,4427,0.9,4821,0.12,,,,,,35,0.72,,,,,,24,1.57,,,,,,2931,3216,91,88,94,-0.22,587,947,62,50,74,0.31,58,2319,2.5,-0.67,20,13,27,0.9,,,,88.0,13.0,95207,18087,5.3,2.17,254,1103,23,11,35,0.74,13,29.1,-1.05,13.0,297.0,0.49,24.0,104.0,67.0,155.0,0.22,,,,,,,,,,,,,,,,6.7,0.16,No,-0.98,10,7,14,9,6,12,1,0,3,0,0,1,-0.08,83,81,86,0.73,,,,,,,,,,,,,,,,2092,25,19,31,0.24,
5,6,20009,Kansas,Barton,,348.0,7405.0,6190.0,8620.0,-0.33,,,,,,,,,,,,,,,,,,,,,19,17,21,0.51,4.1,3.8,4.5,0.79,4.5,4.1,4.9,0.52,,7.0,6.0,8.0,0.22,,,,,,,,,,8.0,6.0,11.0,7.0,5.0,8.0,21,18,24,0.6,37,33.0,42.0,0.59,7.3,0.13,28,24.0,33.0,0.24,75,-0.68,18,17,19,-0.57,3.0,20.0,15.0,5.0,28.0,-0.28,89.0,336.2,0.1,32.0,27.0,36.0,0.58,,,,,,,,,,54.0,42.0,67.0,25.0,21.0,30.0,2427,12,10,13,0.11,15.0,57.0,1741,0.21,12.0,47.0,2148,-0.23,61.0,237.0,423,-0.94,3755,-0.54,,,,,,40,0.15,,,,30.0,41.0,32,0.78,,,39.0,45.0,32.0,15980,17859,89,88,91,0.07,3746,6178,61,55,66,0.46,423,13526,3.1,0.21,17,11,23,0.2,,,,19.0,22.0,94802,21779,4.4,0.46,1461,6219,23,17,30,0.82,50,19.1,0.04,100.0,364.0,0.98,107.0,81.0,66.0,96.0,-0.56,,,,,,,,,,51.0,24.0,93.0,85.0,69.0,105.0,6.1,-0.43,No,-0.98,12,10,15,9,7,11,2,1,3,3,1,4,0.51,84,81,87,1.0,,,,,,,,,,77.0,65.0,88.0,86.0,84.0,89.0,13091,10,8,12,-1.12,
6,7,20011,Kansas,Bourbon,,245.0,8683.0,6950.0,10415.0,0.3,,,,,,,,,,,,,,,,,,,,,19,17,22,0.57,4.2,3.8,4.7,1.13,5.1,4.7,5.5,2.9,,7.0,6.0,8.0,0.14,,,,,,,28.0,15.0,40.0,,,,6.0,5.0,7.0,23,20,26,1.54,37,31.0,43.0,0.54,6.9,0.57,27,22.0,33.0,-0.02,43,0.92,17,16,18,-1.36,0.0,8.0,0.0,0.0,23.0,-1.29,42.0,284.7,-0.2,38.0,31.0,44.0,1.24,,,,,,,,,,,,,,,,1144,10,9,11,-0.47,7.0,48.0,2093,0.45,4.0,28.0,3634,0.5,10.0,69.0,1453,0.5,3250,-0.85,,,,,,47,-0.65,,,,,,51,-1.11,,,43.0,,51.0,8703,9530,91,89,93,-0.25,1877,3165,59,50,68,0.6,284,6700,4.2,1.77,22,14,31,1.41,,20.0,43.0,54.0,18.0,83895,19724,4.3,0.28,673,3744,18,11,25,-0.08,22,15.0,0.5,77.0,522.0,2.13,51.0,70.0,52.0,92.0,-0.93,,,,,,,,,,,,,,,,7.6,1.05,Yes,1.01,12,9,15,9,6,11,3,1,6,2,1,4,0.44,76,72,80,-0.9,,,,,,,,,,,,,,,,6360,20,16,25,-0.19,
7,8,20013,Kansas,Brown,,194.0,10060.0,7679.0,12441.0,0.99,,,,,,,,,,,,,,,,,,,,,18,16,21,0.25,4.2,3.8,4.6,1.1,4.6,4.3,5.0,0.98,,5.0,4.0,7.0,-1.29,,,,,,,,,,,,,,,,21,18,24,0.57,40,33.0,48.0,1.28,7.9,-0.52,34,28.0,41.0,1.85,56,0.25,18,17,19,-0.08,6.0,21.0,29.0,17.0,41.0,0.64,24.0,248.9,-0.41,38.0,30.0,48.0,1.27,75.0,45.0,118.0,,,,,,,,,,31.0,23.0,41.0,738,10,8,11,-0.56,10.0,104.0,960,-0.97,5.0,52.0,1913,-0.44,32.0,335.0,299,-1.78,3037,-0.98,2943.0,,,,2903.0,36,0.61,33.0,,,,36.0,28,1.17,24.0,,,,29.0,6103,6548,93,92,95,-0.58,1257,2053,61,52,70,0.39,169,5352,3.2,0.25,21,14,27,1.02,58.0,,,63.0,11.0,87186,24597,3.5,-1.06,606,2427,25,16,34,1.05,22,22.9,-0.37,21.0,213.0,-0.12,45.0,93.0,68.0,125.0,-0.15,,,,,,,,,,,,,,,,7.4,0.86,Yes,1.01,9,7,12,7,5,10,2,0,3,1,0,1,-0.42,79,75,84,-0.17,95.0,84.0,100.0,,,,,,,,,,78.0,74.0,82.0,4524,20,16,24,-0.23,
8,9,20015,Kansas,Butler,,862.0,6972.0,6254.0,7690.0,-0.55,,,,,,,,,,,,,,,,,,,,,16,13,18,-0.74,3.7,3.3,4.1,-0.58,4.2,3.8,4.6,-0.67,,7.0,6.0,8.0,0.31,,,,,,,15.0,8.0,23.0,7.0,4.0,11.0,7.0,6.0,8.0,19,15,22,-0.89,37,33.0,40.0,0.42,8.0,-0.63,27,24.0,30.0,-0.15,68,-0.33,17,16,18,-0.83,11.0,51.0,22.0,14.0,29.0,0.17,193.0,288.6,-0.18,17.0,15.0,19.0,-0.91,,,,,,,23.0,12.0,40.0,17.0,10.0,26.0,17.0,15.0,19.0,4395,8,7,9,-1.13,44.0,66.0,1517,0.0,19.0,28.0,3522,0.46,80.0,120.0,836,0.07,3823,-0.5,,,,1936.0,3821.0,39,0.26,31.0,27.0,,41.0,39.0,51,-1.11,41.0,42.0,48.0,44.0,51.0,40526,43819,92,91,94,-0.45,11682,16302,72,67,76,-0.74,1049,32491,3.2,0.35,10,7,14,-1.41,25.0,,,17.0,13.0,118665,30369,3.9,-0.37,2872,17104,17,12,21,-0.27,80,12.0,0.83,119.0,182.0,-0.35,244.0,73.0,64.0,82.0,-0.82,287.0,138.0,528.0,,,,,,,,,,74.0,65.0,84.0,7.9,1.35,Yes,1.01,13,11,15,10,8,11,2,1,3,2,1,2,0.63,84,83,86,0.96,,,,,,,,,,74.0,59.0,89.0,80.0,78.0,83.0,30594,35,32,37,1.16,
9,10,20017,Kansas,Chase,x,,,,,0.0,,,,,,,,,,,,,,,,,,,,,17,15,19,-0.22,3.9,3.5,4.3,0.07,4.4,4.0,4.8,-0.08,,,,,0.0,,,,,,,,,,,,,,,,20,17,23,-0.02,42,32.0,53.0,1.79,5.3,2.31,22,14.0,31.0,-1.47,68,-0.36,18,17,20,-0.05,2.0,17.0,12.0,2.0,27.0,-0.5,6.0,223.6,-0.55,,,,0.0,,,,,,,,,,,,,,,,177,10,8,11,-0.63,,,nan,0.0,0.0,0.0,2648,1.54,,,nan,0.0,2321,-1.43,,,,,,50,-1.0,,,,,,40,-0.02,,,,,,1671,1820,92,88,95,-0.34,341,514,66,53,80,-0.16,42,1524,2.8,-0.31,16,10,21,-0.12,,,,20.0,16.0,84813,20821,4.1,-0.06,125,603,21,10,32,0.37,0,0.0,2.14,4.0,150.0,-0.58,14.0,105.0,58.0,177.0,0.24,,,,,,,,,,,,,,,,6.9,0.36,Yes,1.01,8,4,12,8,3,13,1,0,3,1,0,3,-0.72,75,70,80,-1.13,,,,,,,,,,,,,,,,1102,30,22,37,0.71,
