,Unnamed: 0,FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low.1,95% CI - High.1,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths.1,Child Mortality Rate,95% CI - Low.2,95% CI - High.2,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths.2,Infant Mortality Rate,95% CI - Low.3,95% CI - High.3,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low.4,95% CI - High.4,% Frequent Mental Distress,95% CI - Low.5,95% CI - High.5,% Adults with Diabetes,95% CI - Low.6,95% CI - High.6,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low.7,95% CI - High.7,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low.8,95% CI - High.8,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low.9,95% CI - High.9,# Uninsured (Adults),% Uninsured (Adults),95% CI - Low (Adults),95% CI - High (Adults),# Uninsured (Children),% Uninsured (Children),95% CI - Low (Children),95% CI - High (Children),Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low.10,95% CI - High.10,Average Grade Performance (Math),Average Grade Performance (Asian) (Math),Average Grade Performance (Black) (Math),Average Grade Performance (Hispanic) (Math),Average Grade Performance (White) (Math),Average Grade Performance (Reading),Average Grade Performance (Asian) (Reading),Average Grade Performance (Black) (Reading),Average Grade Performance (Hispanic) (Reading),Average Grade Performance (White) (Reading),Median Household Income,95% CI - Low.11,95% CI - High.11,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low.12,95% CI - High.12,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths.3,Suicide Rate (Age-Adjusted),95% CI - Low.13,95% CI - High.13,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low.14,95% CI - High.14,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low.15,95% CI - High.15,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low.16,95% CI - High.16,% Broadband Access,Numerator,95% CI - Low.17,95% CI - High.17,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low.18,95% CI - High.18,% Female,# Rural,% Rural,Unnamed: 277
0,1,21000,Kentucky,,75.6,75.5,75.7,111.6,93.2,129.9,86.5,85.2,87.9,74.3,73.9,74.6,96.3,93.0,99.7,75.5,75.4,75.6,74341,470,466,473,184.0,140.0,237.0,160.0,141.0,178.0,544.0,531.0,558.0,202.0,186.0,219.0,475.0,471.0,479.0,2242.0,56.0,53.0,58.0,,,,43.0,30.0,60.0,86.0,77.0,95.0,45.0,37.0,53.0,52.0,50.0,55.0,2434.0,6.0,6.0,7.0,,,,4.0,2.0,6.0,10.0,9.0,11.0,5.0,4.0,6.0,6.0,6.0,6.0,14,13,16,17,16,19,13,,,7337.0,196.0,662660,15,242254.0,6.0,4261.0,32.0,31.0,33.0,,,,,,,24.0,21.0,27.0,12.0,9.0,15.0,34.0,33.0,35.0,5223.0,17.0,16.0,17.0,,,,8.0,6.0,11.0,14.0,12.0,15.0,13.0,11.0,15.0,17.0,17.0,18.0,42,40,44,206343,8,7,8,38710,4,3,4,147,680,48848.0,91.0,7.0,7.0,8.0,3.1,3.4,2.5,2.7,3.2,3.0,3.6,2.4,2.7,3.1,52256,51521,52991,34250.0,26221.0,42279.0,64044.0,60802.0,67286.0,36424.0,35502.0,37346.0,43804.0,41727.0,45881.0,52387.0,52014.0,52760.0,57,60.0,51.0,6.0,5.0,6.0,,,,,,,24.0,22.0,25.0,6.0,4.0,7.0,4.0,4.0,4.0,3853.0,17.0,16.0,17.0,17.0,,,,8.0,5.0,13.0,8.0,7.0,10.0,7.0,5.0,9.0,18.0,18.0,19.0,3640.0,16.0,16.0,17.0,,,,3.0,2.0,6.0,29.0,26.0,31.0,7.0,6.0,9.0,16.0,15.0,16.0,,,,,303,1166031,67,67,68,191778,12,11,12,78,1360404,78,79,4467673,22.4,16.8,367899,8.2,13404,0.3,71504,1.6,4192,0.1,174706,3.9,3759463,84.1,43008,1,1.0,1.0,50.7,1806024,41.6,
1,2,21001,Kentucky,Adair,76.5,75.1,77.8,,,,,,,,,,,,,,,,315,441,389,493,,,,,,,,,,,,,,,,13.0,83.0,44.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,16,20,19,17,21,14,9.0,19.0,,,3090,16,982.0,5.0,10.0,17.0,8.0,32.0,,,,,,,,,,,,,,,,37.0,28.0,19.0,38.0,,,,,,,,,,,,,,,,43,41,44,983,9,8,11,154,4,3,5,94,1067,200.0,98.0,,,,2.8,,,,,2.9,,,,,37650,32593,42707,,,,,,,,,,,,,,,,69,55.0,47.0,,,,,,,,,,,,,,,,,,,18.0,18.0,10.0,29.0,19.0,,,,,,,,,,,,,,,,13.0,14.0,7.0,23.0,,,,,,,,,,,,,,,,,,,,13,5311,76,73,79,617,9,7,12,69,4820,65,73,19202,19.9,19.2,537,2.8,58,0.3,78,0.4,10,0.1,415,2.2,17864,93.0,39,0,0.0,1.0,50.2,14077,75.5,
2,3,21003,Kentucky,Allen,74.8,73.6,76.0,,,,,,,,,,,,,,,,387,490,439,541,,,,,,,,,,,,,,,,13.0,66.0,35.0,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,15,19,18,17,20,13,8.0,18.0,,,3130,15,99.0,0.0,16.0,25.0,14.0,41.0,,,,,,,,,,,,,,,,30.0,21.0,14.0,29.0,,,,,,,,,,,,,,,,41,39,43,1015,8,7,10,216,4,3,6,28,3553,247.0,92.0,,,,3.2,,,,,3.2,,,,,47307,41631,52983,,,,,,,,,,,,,,,,62,77.0,70.0,8.0,4.0,14.0,,,,,,,,,,,,,,,,22.0,19.0,12.0,29.0,21.0,,,,,,,,,,,,,,,,23.0,22.0,14.0,33.0,,,,,,,,,,,,,,,,,,,,10,5698,75,72,78,779,11,8,14,69,5273,65,73,21315,23.0,18.1,250,1.2,68,0.3,59,0.3,3,0.0,515,2.4,20160,94.6,70,0,0.0,1.0,50.4,15705,78.7,
3,4,21005,Kentucky,Anderson,75.3,74.1,76.5,,,,,,,,,,,,,,,,363,458,409,507,,,,,,,,,,,,,,,,11.0,52.0,26.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13,16,16,15,18,16,10.0,22.0,,,2750,12,1280.0,6.0,28.0,41.0,27.0,60.0,,,,,,,,,,,,,,,,21.0,13.0,8.0,21.0,,,,,,,,,,,,,,,,43,41,45,972,7,6,8,209,4,3,5,57,1750,293.0,98.0,,,,2.9,,,,,2.9,,,,,61308,52946,69670,,,,,,,33377.0,5594.0,61160.0,,,,57287.0,52308.0,62266.0,46,38.0,28.0,,,,,,,,,,,,,,,,,,,19.0,17.0,10.0,26.0,17.0,,,,,,,,,,,,,,,,10.0,9.0,4.0,16.0,,,,,,,,,,,,,,,,,,,,49,6612,76,72,80,829,10,7,13,78,6744,74,81,22747,23.5,16.3,467,2.1,59,0.3,161,0.7,11,0.0,438,1.9,21257,93.4,57,0,0.0,1.0,51.0,8932,41.7,
4,5,21007,Kentucky,Ballard,76.1,74.2,78.1,,,,,,,,,,,,,,,,140,443,364,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,18,18,16,19,17,11.0,24.0,,,1210,15,138.0,2.0,,,,,,,,,,,,,,,,,,,,21.0,37.0,23.0,57.0,,,,,,,,,,,,,,,,43,41,44,345,8,6,9,77,4,3,6,38,2629,81.0,98.0,,,,2.9,,,,,2.7,,,,,48053,41153,54953,,,,,,,,,,,,,,,,58,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,27.0,14.0,49.0,,,,,,,,,,,,,,,,,,,,52,2473,81,77,85,222,8,4,11,75,2310,71,80,7888,20.9,21.9,268,3.4,29,0.4,43,0.5,4,0.1,117,1.5,7260,92.0,3,0,0.0,1.0,50.3,8249,100.0,
5,6,21009,Kentucky,Barren,75.9,75.1,76.7,,,,,,,73.4,69.9,77.0,,,,75.8,74.9,76.6,759,464,430,498,,,,,,,591.0,416.0,815.0,,,,468.0,432.0,504.0,13.0,31.0,17.0,53.0,,,,,,,,,,,,,,,,20.0,5.0,3.0,8.0,,,,,,,,,,,,,,,,18,16,20,19,17,20,15,11.0,19.0,,,7490,17,1557.0,4.0,23.0,17.0,11.0,26.0,,,,,,,,,,,,,,,,63.0,21.0,16.0,26.0,,,,,,,,,,,,,,,,43,41,45,2434,9,8,11,602,6,4,8,129,776,629.0,92.0,,,,3.0,,2.4,2.6,3.1,2.9,,2.5,2.5,3.1,44859,39425,50293,,,,,,,34309.0,27618.0,41000.0,55045.0,33985.0,76105.0,41797.0,39698.0,43896.0,57,60.0,52.0,,,,,,,,,,,,,,,,,,,56.0,25.0,19.0,33.0,25.0,,,,,,,,,,,,,,,,40.0,18.0,13.0,25.0,,,,,,,,,,,,,,,,,,,,80,11290,67,65,69,2526,15,13,18,79,13426,77,82,44249,23.5,18.0,1786,4.0,160,0.4,372,0.8,86,0.2,1525,3.4,39813,90.0,74,0,0.0,0.0,51.6,26685,63.3,
6,7,21011,Kentucky,Bath,72.7,71.0,74.4,,,,,,,,,,,,,,,,258,592,517,667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,16,20,19,18,21,14,10.0,20.0,,,2190,18,7.0,0.0,,,,,,,,,,,,,,,,,,,,25.0,29.0,19.0,43.0,,,,,,,,,,,,,,,,44,42,45,651,9,7,11,171,5,4,7,96,1042,144.0,93.0,,,,3.2,,,,,3.4,,,,,42248,36764,47732,,,,,,,,,,63542.0,62621.0,64463.0,44731.0,38986.0,50476.0,71,31.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,24.0,14.0,40.0,,,,,,,,,,,,,,,,,,,,11,3479,72,67,77,388,9,6,12,74,3567,69,79,12500,25.6,17.0,166,1.3,32,0.3,51,0.4,14,0.1,215,1.7,11855,94.8,6,0,0.0,1.0,50.6,11591,100.0,
7,8,21013,Kentucky,Bell,71.5,70.4,72.6,,,,,,,,,,,,,,,,707,695,641,749,,,,,,,,,,,,,,,,15.0,67.0,37.0,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,20,25,22,20,24,17,12.0,23.0,,,6700,25,3402.0,12.0,30.0,38.0,25.0,54.0,,,,,,,,,,,,,,,,40.0,21.0,15.0,29.0,,,,,,,,,,,,,,,,44,43,46,1291,9,7,10,205,4,2,5,150,667,325.0,97.0,12.0,5.0,20.0,3.0,,,,,2.9,,,,,30940,26993,34887,11488.0,8304.0,14672.0,,,,,,,,,,26491.0,24490.0,28492.0,78,59.0,49.0,5.0,3.0,10.0,,,,,,,,,,,,,,,,28.0,22.0,14.0,32.0,21.0,,,,,,,,,,,,,,,,26.0,19.0,13.0,28.0,,,,,,,,,,,,,,,,,,,,129,7017,66,63,69,1675,17,13,21,63,6714,59,67,26032,21.0,19.7,623,2.4,69,0.3,95,0.4,14,0.1,305,1.2,24475,94.0,13,0,0.0,0.0,51.0,17926,62.5,
8,9,21015,Kentucky,Boone,78.9,78.4,79.5,,,,99.9,74.6,125.2,77.2,72.7,81.8,90.8,78.9,102.7,78.7,78.2,79.3,1487,336,319,354,,,,,,,354.0,251.0,483.0,229.0,145.0,344.0,343.0,325.0,361.0,64.0,46.0,36.0,59.0,,,,,,,,,,,,,,,,67.0,6.0,4.0,7.0,,,,,,,,,,,,,,,,12,11,14,14,12,15,12,10.0,15.0,142.0,132.0,11420,9,7339.0,6.0,129.0,33.0,27.0,38.0,,,,,,,,,,,,,,,,76.0,8.0,7.0,11.0,,,,,,,,,,,,,,,,40,38,42,4076,5,4,6,1060,3,2,4,70,1421,1675.0,94.0,5.0,2.0,8.0,3.2,,2.8,,3.2,3.1,3.6,2.6,2.6,3.2,78806,71043,86569,,,,83625.0,35248.0,132002.0,45843.0,27237.0,64449.0,41161.0,20914.0,61408.0,81048.0,78235.0,83861.0,37,53.0,32.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,100.0,16.0,13.0,19.0,15.0,,,,,,,,,,,,,,,,61.0,9.0,7.0,12.0,,,,,,,,,,,,,,,,,,,,331,35015,75,73,76,4381,9,8,11,90,42257,89,91,133581,25.8,14.1,4945,3.7,295,0.2,3232,2.4,247,0.2,5861,4.4,116598,87.3,1912,2,1.0,2.0,50.5,15769,13.3,
9,10,21017,Kentucky,Bourbon,75.9,74.5,77.2,,,,,,,,,,,,,,,,353,488,434,541,,,,,,,757.0,511.0,1080.0,,,,487.0,429.0,544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,18,17,15,19,11,6.0,18.0,,,2790,14,1542.0,8.0,22.0,37.0,23.0,56.0,,,,,,,,,,,,,,,,33.0,24.0,16.0,33.0,,,,,,,,,,,,,,,,42,40,43,1123,10,8,11,260,5,4,7,35,2827,260.0,90.0,,,,3.0,,,2.8,3.1,2.7,,,2.6,2.8,47046,41749,52343,,,,,,,32417.0,17674.0,47160.0,34949.0,25442.0,44456.0,54311.0,45861.0,62761.0,64,44.0,27.0,,,,,,,,,,,,,,,,,,,12.0,13.0,6.0,22.0,12.0,,,,,,,,,,,,,,,,11.0,11.0,5.0,20.0,,,,,,,,,,,,,,,,,,,,165,5119,63,60,66,782,10,8,13,74,6000,71,77,19788,22.5,19.7,1116,5.6,80,0.4,106,0.5,4,0.0,1350,6.8,16832,85.1,517,3,1.0,4.0,51.1,8943,44.7,
