,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,21000,Kentucky,,,74341.0,9505.0,9404.0,9607.0,,4651.0,3091.0,6722.0,,3307.0,2840.0,3774.0,,11510.0,11135.0,11885.0,,4581.0,4219.0,4944.0,,9592.0,9481.0,9703.0,,22,20,23,,4.6,4.3,4.9,,5.0,4.7,5.4,,,9,9.0,9.0,,9.0,6.0,12.0,9.0,8.0,9.0,14.0,14.0,14.0,7.0,7.0,7.0,8.0,8.0,8.0,24,22,26,,35,,,,6.9,,29,,,,71,,17,16,19,,976.0,3833.0,25.0,25.0,26.0,,19440.0,436.4,,31,31,32,,25.0,19.0,33.0,8.0,6.0,9.0,34.0,33.0,35.0,42.0,40.0,44.0,31.0,30.0,31.0,241947,7,6,7,,2895.0,65.0,1543,,2996,67,1491,,10733.0,240.0,416,,5615,,5825.0,2879.0,6884.0,3745.0,5568.0,40,,39.0,31.0,41.0,33.0,40.0,46,,37.0,47.0,39.0,37.0,47.0,2604309,3019093,86,86.0,87.0,,703868,1130997,62,62.0,63.0,,89014,2072597,4.3,,21,20,22,,23.0,18.0,41.0,36.0,20.0,101776,20248,5.0,,265296,1005667,26,26,27,,4732,10.6,,9824,222,,21274,96,94,97,,44.0,28.0,67.0,26.0,21.0,31.0,85.0,81.0,89.0,45.0,40.0,49.0,100.0,99.0,102.0,8.7,,,,14,13,14,11,11,12,2,2,2,1,1,1,,82,82,82,,76.0,68.0,84.0,72.0,70.0,75.0,76.0,75.0,77.0,70.0,68.0,72.0,84.0,84.0,84.0,1949184,31,30,31,,
1,2,21001,Kentucky,Adair,,315.0,8940.0,7354.0,10526.0,-0.65,,,,,,,,,,,,,,,,,,,,,27,24,31,0.37,5.7,5.2,6.3,0.29,5.8,5.3,6.3,0.55,,8,7.0,10.0,-0.58,,,,,,,,,,,,,,,,27,23,31,0.24,40,33.0,47.0,0.85,7.2,-0.06,34,27.0,41.0,0.53,60,-0.18,15,14,15,-0.54,4.0,22.0,18.0,8.0,31.0,-0.6,53.0,272.0,-0.14,22,18,26,-1.48,,,,,,,,,,,,,,,,1128,8,7,9,0.88,7.0,36.0,2745,0.28,4,21,4801,0.68,39.0,203.0,492,-0.11,6026,-0.07,,,5142.0,,6084.0,39,-0.36,,,53.0,,38.0,31,1.15,,,31.0,,31.0,10502,13199,80,77.0,82.0,0.41,2064,4352,47,40.0,55.0,0.52,380,7140,5.3,0.17,30,19,41,0.53,,,,,,75926,16365,4.6,-0.43,679,3651,19,12,26,-1.02,9,4.7,0.94,8,40,-0.74,89,93,74,114,-0.48,,,,,,,,,,,,,,,,8.8,0.22,No,-0.43,12,9,15,9,6,11,3,1,5,1,0,2,-0.48,85,82,88,0.55,,,,,,,,,,,,,,,,7702,31,26,36,-0.5,
2,3,21003,Kentucky,Allen,,387.0,9882.0,8341.0,11422.0,-0.25,,,,,,,,,,,,,,,,,,,,,26,23,30,0.07,5.5,5.0,6.1,-0.04,5.4,5.0,5.9,-0.21,,11,9.0,12.0,1.42,,,,,,,,,,,,,,,,28,24,31,0.44,37,29.0,44.0,0.07,7.8,-0.83,40,32.0,48.0,1.62,37,0.71,15,14,16,-0.38,10.0,28.0,36.0,26.0,45.0,0.83,59.0,281.9,-0.08,35,29,41,-0.35,,,,,,,,,,,,,,,,1214,7,6,8,0.13,3.0,14.0,7041,1.18,6,28,3553,0.4,13.0,61.0,1640,0.39,6326,0.06,,,,,,33,0.49,,,,,,42,-0.01,,,17.0,,42.0,11843,14417,82,79.0,85.0,-0.01,2507,5063,50,42.0,57.0,0.31,378,9060,4.2,-0.66,24,15,33,-0.14,,,,18.0,27.0,83683,18754,4.5,-0.66,1306,4982,26,18,35,0.23,8,3.8,1.13,21,102,0.08,110,105,85,125,0.04,,,,,,,,,,,,,,,,8.9,0.46,No,-0.43,14,11,16,9,7,12,2,1,4,3,2,4,0.16,78,74,82,-1.51,,,,,,,,,,,,,,,,8530,42,36,49,0.46,
3,4,21005,Kentucky,Anderson,,363.0,10069.0,8516.0,11622.0,-0.16,,,,,,,,,,,,,,,,,,,,,21,18,24,-1.21,4.7,4.3,5.2,-1.18,5.0,4.6,5.5,-1.14,,8,7.0,9.0,-0.87,,,,,,,,,,,,,,,,22,19,26,-1.15,41,32.0,52.0,1.05,7.8,-0.83,31,23.0,40.0,-0.06,76,-0.78,17,16,18,1.1,6.0,20.0,30.0,18.0,42.0,0.36,65.0,288.3,-0.04,33,28,39,-0.49,,,,,,,,,,,,,,,,1162,6,5,7,-0.85,6.0,26.0,3777,0.69,11,48,2068,-0.36,16.0,70.0,1422,0.35,4400,-0.79,,,,,,39,-0.36,,,46.0,,38.0,50,-0.85,,,46.0,,50.0,13815,15369,90,88.0,92.0,-1.26,3310,5442,61,51.0,70.0,-0.81,448,12091,3.7,-0.99,14,9,19,-1.32,,,86.0,29.0,22.0,100812,26075,3.9,-1.42,1271,5348,24,15,32,-0.17,23,10.1,-0.18,20,89,-0.1,107,95,77,114,-0.36,,,,,,,,,,,,,,,,8.7,-0.01,No,-0.43,11,8,14,10,7,13,1,0,2,1,0,2,-0.89,85,82,88,0.75,,,,,,,,,,,,,,,,10407,43,38,49,0.56,
4,5,21007,Kentucky,Ballard,,140.0,8530.0,6067.0,10993.0,-0.83,,,,,,,,,,,,,,,,,,,,,23,20,26,-0.67,5.1,4.6,5.6,-0.68,5.2,4.8,5.6,-0.72,,9,7.0,12.0,0.28,,,,,,,,,,,,,,,,25,21,28,-0.43,38,30.0,46.0,0.44,7.7,-0.7,36,28.0,45.0,0.93,48,0.28,16,15,17,0.66,3.0,16.0,19.0,7.0,34.0,-0.56,27.0,335.9,0.26,41,32,51,0.15,,,,,,,,,,,,,,,,417,7,6,8,-0.24,,,nan,0.0,2,25,3944,0.5,1.0,13.0,7888,0.56,5791,-0.17,,,,,,45,-1.21,,,,,,51,-0.95,,,17.0,,52.0,4903,5624,87,84.0,90.0,-0.82,1119,1725,65,53.0,77.0,-1.22,201,3524,5.7,0.45,24,15,33,-0.19,,,19.0,6.0,26.0,96196,18840,5.1,0.17,582,1765,33,21,45,1.33,12,15.0,-1.19,6,66,-0.39,51,127,95,167,0.94,,,,,,,,,,,,,,,,8.9,0.46,No,-0.43,10,7,13,8,5,11,1,0,2,1,0,3,-1.19,92,89,94,2.65,,,,,,,,,,,,,,,,3266,31,24,38,-0.48,
5,6,21009,Kentucky,Barren,,759.0,8401.0,7487.0,9316.0,-0.89,,,,,,,,,,,,,,,,,,,,,27,24,31,0.34,5.8,5.3,6.4,0.34,5.4,5.0,5.8,-0.36,,8,7.0,9.0,-0.66,,,,,,,10.0,5.0,15.0,7.0,3.0,10.0,8.0,7.0,9.0,28,24,31,0.42,36,30.0,43.0,0.04,7.1,0.07,38,32.0,44.0,1.3,66,-0.42,15,14,16,0.05,9.0,44.0,20.0,13.0,29.0,-0.42,188.0,429.2,0.84,42,38,46,0.27,,,,,,,36.0,21.0,58.0,44.0,25.0,72.0,43.0,38.0,47.0,3001,8,7,10,1.44,34.0,77.0,1299,-1.36,16,36,2766,0.1,69.0,156.0,641,0.05,4877,-0.58,,,2891.0,,4910.0,41,-0.64,,,42.0,,41.0,49,-0.74,,,43.0,27.0,50.0,24805,29872,83,81.0,85.0,-0.15,5311,10289,52,46.0,57.0,0.1,851,18852,4.5,-0.41,26,18,34,0.07,,,48.0,60.0,34.0,81332,17710,4.6,-0.49,3148,10410,30,24,37,0.88,33,7.5,0.37,54,124,0.37,198,90,78,103,-0.58,,,,,,,,,,,,,,,,9.0,0.69,No,-0.43,16,14,18,14,11,16,3,2,4,2,1,3,1.09,82,79,86,-0.16,,,,,,,,,,,,,,,,18135,26,22,30,-0.95,
6,7,21011,Kentucky,Bath,,258.0,12757.0,10439.0,15075.0,1.0,,,,,,,,,,,,,,,,,,,,,28,24,31,0.41,5.8,5.2,6.4,0.38,5.9,5.4,6.4,0.73,,8,7.0,10.0,-0.6,,,,,,,,,,,,,,,,29,25,32,0.73,46,38.0,55.0,2.19,7.3,-0.18,40,32.0,47.0,1.62,40,0.61,15,14,15,-0.54,6.0,15.0,40.0,26.0,53.0,1.18,32.0,258.5,-0.23,46,38,54,0.6,,,,,,,,,,,,,,,,813,8,7,9,1.05,1.0,8.0,12383,1.43,1,8,12500,1.16,37.0,296.0,338,-0.44,4930,-0.55,,,,,,32,0.64,,,,,,40,0.2,,,38.0,,41.0,6311,8210,77,73.0,80.0,0.84,1246,2827,44,35.0,53.0,0.85,288,4631,6.2,0.82,29,18,41,0.48,,,,2.0,28.0,85107,19149,4.4,-0.68,711,3202,22,14,30,-0.43,5,4.0,1.08,4,29,-0.88,74,120,94,150,0.64,,,,,,,,,,,,,,,,8.4,-0.72,No,-0.43,13,9,16,10,7,14,2,0,3,2,1,3,-0.13,80,76,83,-0.93,,,,,,,,,,,,,,,,4602,38,30,46,0.09,
7,8,21013,Kentucky,Bell,,707.0,14002.0,12406.0,15597.0,1.54,,,,,,,,,,,,,,,,,,,,,35,31,39,2.21,6.9,6.3,7.5,1.94,6.6,6.1,7.2,2.36,,10,9.0,11.0,0.98,,,,,,,22.0,10.0,34.0,,,,10.0,9.0,11.0,33,29,37,1.94,39,32.0,46.0,0.53,4.9,2.91,35,28.0,41.0,0.65,84,-1.12,12,12,13,-1.95,7.0,33.0,21.0,12.0,31.0,-0.36,61.0,226.8,-0.42,57,51,64,1.59,,,,,,,,,,,,,,,,1484,7,6,8,0.33,13.0,49.0,2044,-0.22,15,58,1735,-0.71,7.0,27.0,3719,0.51,6362,0.08,,,,,,29,1.06,,,32.0,,28.0,37,0.52,,,29.0,,37.0,13176,18922,70,67.0,72.0,2.01,2772,6438,43,37.0,49.0,0.95,543,8452,6.4,0.97,41,26,56,1.86,,,70.0,81.0,46.0,56293,11060,5.1,0.15,1538,5678,27,20,34,0.37,26,9.8,-0.11,47,170,0.97,185,138,118,158,1.4,,,,,,,,,,,,,,,,9.8,2.56,No,-0.43,20,17,23,18,15,21,2,1,3,1,0,1,2.4,79,74,84,-1.08,,,,,,,,,,,,,,,,7364,32,27,38,-0.39,
8,9,21015,Kentucky,Boone,,1487.0,6765.0,6263.0,7266.0,-1.6,,,,,,,,,8681.0,5898.0,12322.0,,,,,,6860.0,6321.0,7398.0,,17,14,19,-2.19,4.0,3.6,4.4,-2.28,4.3,3.9,4.7,-2.78,,7,7.0,8.0,-1.39,,,,6.0,4.0,9.0,12.0,10.0,15.0,7.0,5.0,9.0,7.0,6.0,7.0,18,15,22,-2.33,37,32.0,41.0,0.13,8.5,-1.73,23,20.0,27.0,-1.66,85,-1.13,18,17,19,1.78,19.0,68.0,28.0,22.0,34.0,0.19,350.0,267.7,-0.17,18,17,20,-1.83,,,,,,,18.0,11.0,27.0,42.0,32.0,54.0,17.0,16.0,19.0,5035,4,4,5,-2.51,83.0,63.0,1585,-0.8,88,66,1518,-1.02,146.0,109.0,915,0.22,4929,-0.55,,,8656.0,,4960.0,46,-1.35,,39.0,34.0,28.0,46.0,55,-1.37,,50.0,39.0,40.0,56.0,79864,85741,93,92.0,94.0,-1.78,25170,34420,73,70.0,77.0,-2.04,2424,71372,3.4,-1.22,9,6,11,-1.96,,8.0,35.0,35.0,7.0,139718,35552,3.9,-1.34,7586,34571,22,18,26,-0.47,82,6.2,0.62,169,132,0.48,473,73,66,79,-1.3,,,,,,,54.0,29.0,92.0,40.0,20.0,71.0,77.0,69.0,84.0,9.4,1.63,No,-0.43,11,10,12,10,9,11,1,1,1,1,0,1,-0.69,83,81,85,0.12,,,,81.0,73.0,90.0,72.0,65.0,79.0,70.0,62.0,78.0,84.0,83.0,85.0,66325,32,30,34,-0.41,
9,10,21017,Kentucky,Bourbon,,353.0,10173.0,8536.0,11811.0,-0.12,,,,,,,,,,,,,,,,,,,,,23,21,27,-0.56,5.1,4.6,5.6,-0.68,5.2,4.7,5.6,-0.81,,8,7.0,10.0,-0.36,,,,,,,15.0,7.0,24.0,,,,9.0,7.0,10.0,25,21,28,-0.47,33,23.0,43.0,-0.72,7.4,-0.31,29,20.0,39.0,-0.55,72,-0.65,16,15,17,0.21,8.0,33.0,24.0,15.0,34.0,-0.11,77.0,384.4,0.56,28,23,33,-0.97,,,,,,,,,,,,,,,,1365,8,7,10,1.52,14.0,69.0,1442,-1.05,14,71,1413,-1.21,22.0,111.0,899,0.21,5669,-0.23,,,5729.0,,5625.0,43,-0.93,,,59.0,,42.0,54,-1.27,,,51.0,55.0,55.0,11807,14060,84,81.0,87.0,-0.3,2618,4741,55,48.0,63.0,-0.26,372,9813,3.8,-0.93,20,12,28,-0.62,,,60.0,22.0,18.0,97497,22103,4.4,-0.72,1142,4535,25,19,32,0.06,20,9.9,-0.13,26,127,0.41,99,99,80,120,-0.22,,,,,,,,,,,,,,,,8.8,0.22,Yes,2.3,13,10,16,12,9,15,1,0,2,0,0,1,0.04,81,77,85,-0.56,,,,,,,,,,,,,,,,9127,37,31,42,-0.02,
