,Unnamed: 0,FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low.1,95% CI - High.1,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths.1,Child Mortality Rate,95% CI - Low.2,95% CI - High.2,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths.2,Infant Mortality Rate,95% CI - Low.3,95% CI - High.3,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low.4,95% CI - High.4,% Frequent Mental Distress,95% CI - Low.5,95% CI - High.5,% Adults with Diabetes,95% CI - Low.6,95% CI - High.6,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low.7,95% CI - High.7,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low.8,95% CI - High.8,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low.9,95% CI - High.9,# Uninsured (Adults),% Uninsured (Adults),95% CI - Low (Adults),95% CI - High (Adults),# Uninsured (Children),% Uninsured (Children),95% CI - Low (Children),95% CI - High (Children),Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low.10,95% CI - High.10,Average Grade Performance (Math),Average Grade Performance (Asian) (Math),Average Grade Performance (Black) (Math),Average Grade Performance (Hispanic) (Math),Average Grade Performance (White) (Math),Average Grade Performance (Reading),Average Grade Performance (Asian) (Reading),Average Grade Performance (Black) (Reading),Average Grade Performance (Hispanic) (Reading),Average Grade Performance (White) (Reading),Median Household Income,95% CI - Low.11,95% CI - High.11,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low.12,95% CI - High.12,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths.3,Suicide Rate (Age-Adjusted),95% CI - Low.13,95% CI - High.13,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low.14,95% CI - High.14,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low.15,95% CI - High.15,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low.16,95% CI - High.16,% Broadband Access,Numerator,95% CI - Low.17,95% CI - High.17,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low.18,95% CI - High.18,% Female,# Rural,% Rural,Unnamed: 277
0,1,22000,Louisiana,,76.1,76.1,76.2,93.7,89.6,97.9,86.6,85.4,87.8,73.4,73.2,73.6,87.0,86.1,87.9,77.0,76.9,77.1,72099,453,449,456,239.0,209.0,270.0,188.0,171.0,204.0,586.0,578.0,593.0,220.0,208.0,232.0,411.0,407.0,415.0,3085.0,70.0,68.0,72.0,31.0,15.0,56.0,30.0,19.0,44.0,100.0,96.0,105.0,54.0,45.0,62.0,52.0,49.0,55.0,3384.0,8.0,8.0,8.0,,,,5.0,4.0,7.0,12.0,12.0,13.0,5.0,4.0,6.0,5.0,5.0,6.0,14,13,15,16,15,18,13,,,20907.0,541.0,751920,16,431879,10,3515.0,25.0,24.0,26.0,15.0,9.0,25.0,6.0,3.0,9.0,18.0,16.0,19.0,13.0,10.0,16.0,31.0,30.0,32.0,5393.0,17.0,16.0,17.0,9.0,6.0,14.0,9.0,7.0,12.0,17.0,16.0,18.0,14.0,12.0,16.0,17.0,16.0,17.0,38,36,40,321607,12,11,12,37311,3,3,4,104,961,48616.0,83.0,10.0,10.0,11.0,,,,,,,,,,,51108,50418,51798,43875.0,39123.0,48627.0,60955.0,55929.0,65981.0,30540.0,30200.0,30880.0,43717.0,41812.0,45622.0,60959,60318,61600,53,56,51,13.0,12.0,13.0,,,,5.0,3.0,7.0,29.0,28.0,30.0,7.0,6.0,8.0,5.0,4.0,5.0,3540.0,15.0,14.0,15.0,15.0,9.0,5.0,15.0,8.0,6.0,11.0,7.0,6.0,7.0,7.0,5.0,9.0,20.0,19.0,21.0,4951.0,21.0,21.0,22.0,11.0,7.0,18.0,6.0,4.0,9.0,31.0,30.0,33.0,9.0,7.0,10.0,17.0,17.0,18.0,,,,,330,1141205,66,65,66,233932,14,14,15,75,1312922,75,76,4648794,23.4,15.9,1500991,32.3,36596,0.8,84192,1.8,2854,0.1,246972,5.3,2715282,58.4,63604,1,1.0,2.0,51.2,1215567,26.8,
1,2,22001,Louisiana,Acadia,74.9,74.2,75.6,,,,,,,69.8,68.0,71.7,97.1,71.8,122.4,75.8,75.0,76.6,1101,516,485,548,,,,,,,821.0,722.0,921.0,,,,463.0,430.0,496.0,40.0,62.0,44.0,84.0,,,,,,,83.0,43.0,144.0,,,,56.0,37.0,82.0,32.0,5.0,4.0,7.0,,,,,,,,,,,,,,,,16,14,18,19,17,20,13,10.0,18.0,122.0,241.0,10970,18,372,1,26.0,14.0,9.0,20.0,,,,,,,,,,,,,,,,86.0,20.0,16.0,24.0,,,,,,,14.0,7.0,24.0,,,,21.0,17.0,27.0,38,37,40,4551,13,11,14,588,4,2,5,31,3266,604.0,93.0,9.0,5.0,14.0,,,,,,,,,,,44728,38883,50573,,,,,,,19141.0,16553.0,21729.0,,,,51042,45985,56099,52,52,48,11.0,8.0,14.0,,,,,,,41.0,28.0,57.0,,,,4.0,2.0,7.0,49.0,16.0,12.0,21.0,16.0,,,,,,,,,,,,,,,,65.0,21.0,16.0,27.0,,,,,,,52.0,35.0,74.0,,,,14.0,10.0,19.0,,,,,88,15806,71,69,74,2288,11,8,14,77,17045,75,79,62045,25.8,15.8,11009,17.7,253,0.4,210,0.3,17,0.0,1732,2.8,47971,77.3,498,1,0.0,1.0,51.1,31936,51.7,
2,3,22003,Louisiana,Allen,75.1,74.0,76.3,,,,,,,74.8,71.8,77.8,,,,75.1,73.8,76.4,450,521,472,570,,,,,,,579.0,465.0,693.0,,,,506.0,450.0,562.0,16.0,70.0,40.0,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,14,17,17,16,19,14,8.0,22.0,179.0,831.0,4050,16,2975,12,14.0,18.0,10.0,31.0,,,,,,,,,,,,,,,,53.0,30.0,22.0,39.0,,,,,,,24.0,11.0,44.0,,,,30.0,22.0,41.0,39,38,41,1461,12,10,14,197,3,2,4,90,1114,254.0,95.0,,,,,,,,,,,,,,47111,40527,53695,,,,,,,26750.0,21155.0,32345.0,25046.0,10677.0,39415.0,49677,45501,53853,47,31,34,6.0,3.0,11.0,,,,,,,,,,,,,,,,29.0,22.0,14.0,31.0,23.0,,,,,,,,,,,,,,,,22.0,17.0,11.0,26.0,,,,,,,,,,,,,,,,,,,,52,5906,75,70,79,450,6,3,8,71,5613,66,75,25627,22.4,15.2,5721,22.3,601,2.3,162,0.6,11,0.0,588,2.3,18158,70.9,499,2,1.0,3.0,43.5,17886,69.4,
3,4,22005,Louisiana,Ascension,79.5,78.9,80.1,,,,89.4,75.7,103.0,76.5,75.3,77.7,116.6,66.0,167.1,79.8,79.1,80.5,1259,322,304,340,,,,,,,418.0,374.0,462.0,,,,309.0,288.0,330.0,73.0,55.0,43.0,69.0,,,,,,,78.0,51.0,113.0,,,,49.0,35.0,66.0,70.0,6.0,5.0,8.0,,,,,,,9.0,6.0,13.0,,,,5.0,3.0,6.0,12,11,13,15,13,16,13,10.0,17.0,241.0,239.0,13160,11,8683,8,103.0,28.0,22.0,33.0,,,,,,,11.0,5.0,21.0,,,,35.0,28.0,43.0,143.0,17.0,14.0,20.0,,,,,,,22.0,16.0,30.0,,,,16.0,13.0,20.0,37,35,38,6355,8,7,10,880,3,2,3,58,1734,1569.0,88.0,10.0,4.0,16.0,,,,,,,,,,,83072,75699,90445,,,,68462.0,19872.0,117052.0,53046.0,41927.0,64165.0,49234.0,37459.0,61009.0,87323,81401,93245,41,43,37,7.0,5.0,9.0,,,,,,,19.0,13.0,26.0,,,,3.0,1.0,4.0,80.0,13.0,11.0,17.0,13.0,,,,,,,,,,,,,,,,79.0,13.0,10.0,16.0,,,,,,,16.0,10.0,24.0,,,,13.0,10.0,17.0,,,,,180,35079,82,80,83,3428,8,7,10,87,37367,85,88,126604,26.6,12.3,29829,23.6,569,0.4,1785,1.4,116,0.1,7542,6.0,85493,67.5,1408,1,1.0,2.0,50.8,14170,13.2,
4,5,22007,Louisiana,Assumption,77.1,75.8,78.4,,,,,,,72.8,70.2,75.3,,,,78.6,77.0,80.1,354,425,378,472,,,,,,,622.0,514.0,730.0,,,,360.0,308.0,412.0,13.0,67.0,36.0,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,17,18,17,20,20,13.0,29.0,36.0,190.0,3750,17,3352,14,,,,,,,,,,,,,,,,,,,,39.0,25.0,17.0,34.0,,,,,,,40.0,24.0,62.0,,,,19.0,12.0,29.0,39,38,41,1524,11,9,13,169,3,2,4,27,3649,229.0,94.0,,,,,,,,,,,,,,51763,45384,58142,30592.0,4896.0,56288.0,,,,31612.0,22824.0,40400.0,30199.0,12572.0,47826.0,55667,47124,64210,58,52,48,,,,,,,,,,,,,,,,,,,14.0,12.0,6.0,20.0,12.0,,,,,,,,,,,,,,,,18.0,16.0,10.0,25.0,,,,,,,,,,,,,,,,,,,,43,6683,78,74,82,735,10,6,13,72,6161,68,76,21891,21.2,18.7,6405,29.3,165,0.8,92,0.4,15,0.1,728,3.3,14316,65.4,211,1,0.0,2.0,51.4,10538,45.0,
5,6,22009,Louisiana,Avoyelles,74.0,73.1,74.9,,,,,,,71.6,69.8,73.3,,,,74.6,73.5,75.7,754,535,496,575,,,,,,,670.0,584.0,757.0,,,,499.0,454.0,545.0,33.0,86.0,59.0,120.0,,,,,,,105.0,57.0,175.0,,,,77.0,46.0,122.0,29.0,8.0,5.0,11.0,,,,,,,,,,,,,,,,17,16,19,19,17,20,12,8.0,17.0,152.0,454.0,7360,18,3930,9,25.0,21.0,13.0,30.0,,,,,,,,,,,,,,,,65.0,23.0,18.0,29.0,,,,,,,21.0,12.0,33.0,,,,23.0,17.0,31.0,42,41,44,2735,13,11,15,330,3,2,4,60,1673,367.0,87.0,18.0,9.0,26.0,,,,,,,,,,,38316,32842,43790,,,,,,,20071.0,15839.0,24303.0,45550.0,194.0,90906.0,45325,40404,50246,53,31,29,8.0,5.0,12.0,,,,,,,13.0,6.0,23.0,,,,6.0,3.0,10.0,45.0,21.0,15.0,29.0,22.0,,,,,,,,,,,,,,,,47.0,23.0,17.0,31.0,,,,,,,,,,,,,,,,,,,,29,10537,69,67,72,1892,14,11,16,68,10255,64,71,40144,23.4,17.3,11832,29.5,486,1.2,208,0.5,33,0.1,829,2.1,26066,64.9,151,0,0.0,1.0,49.7,26835,63.8,
6,7,22011,Louisiana,Beauregard,75.7,74.8,76.6,,,,,,,74.3,71.0,77.6,,,,75.7,74.7,76.6,598,460,422,498,,,,,,,522.0,411.0,655.0,,,,461.0,420.0,502.0,34.0,93.0,64.0,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13,16,17,15,18,14,10.0,20.0,47.0,153.0,5590,15,4919,14,,,,,,,,,,,,,,,,,,,,44.0,17.0,12.0,23.0,,,,,,,,,,,,,,,,39,37,40,2587,12,10,14,350,4,3,5,40,2500,416.0,94.0,,,,,,,,,,,,,,55343,49219,61467,,,,53808.0,53445.0,54171.0,37760.0,22199.0,53321.0,45833.0,17191.0,74475.0,54442,50627,58257,53,51,41,7.0,4.0,11.0,,,,,,,,,,,,,,,,25.0,13.0,9.0,20.0,14.0,,,,,,,,,,,,,,,,28.0,15.0,10.0,22.0,,,,,,,,,,,,,,,,,,,,86,10474,77,76,79,931,7,6,9,77,10401,74,80,37497,24.9,15.9,4420,11.8,440,1.2,245,0.7,43,0.1,1438,3.8,30188,80.5,71,0,0.0,1.0,49.0,23708,66.5,
7,8,22013,Louisiana,Bienville,73.8,72.1,75.6,,,,,,,73.8,71.0,76.7,,,,73.8,71.6,76.0,285,575,504,646,,,,,,,606.0,490.0,722.0,,,,567.0,474.0,660.0,12.0,98.0,51.0,172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,16,19,19,18,20,21,12.0,33.0,37.0,330.0,2740,20,1756,12,,,,,,,,,,,,,,,,,,,,16.0,17.0,10.0,27.0,,,,,,,,,,,,,,,,43,42,44,734,10,8,12,87,3,2,4,60,1655,151.0,93.0,,,,,,,,,,,,,,37198,31977,42419,,,,,,,20199.0,17878.0,22520.0,,,,48698,40210,57186,43,40,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,4248,73,71,76,621,12,8,15,65,3775,60,70,13241,22.2,21.7,5458,41.2,54,0.4,44,0.3,5,0.0,279,2.1,7217,54.5,34,0,,,52.1,11459,79.8,
8,9,22015,Louisiana,Bossier,77.8,77.3,78.3,,,,84.9,77.7,92.1,76.0,74.8,77.2,98.1,80.0,116.2,78.0,77.4,78.6,1586,383,364,402,,,,256.0,156.0,395.0,447.0,402.0,493.0,196.0,135.0,275.0,377.0,354.0,399.0,93.0,73.0,59.0,90.0,,,,,,,119.0,85.0,162.0,80.0,38.0,147.0,53.0,38.0,72.0,89.0,7.0,6.0,9.0,,,,,,,15.0,11.0,20.0,,,,5.0,3.0,7.0,13,12,14,15,14,17,10,7.0,13.0,240.0,231.0,16920,13,9275,8,35.0,9.0,6.0,13.0,,,,,,,,,,,,,,,,102.0,12.0,9.0,14.0,,,,,,,12.0,8.0,18.0,,,,12.0,10.0,15.0,39,37,40,7520,10,8,11,999,3,2,4,59,1694,1520.0,86.0,13.0,9.0,18.0,,,,,,,,,,,54080,48461,59699,67222.0,43298.0,91146.0,33092.0,1500.0,64684.0,35250.0,30130.0,40370.0,33343.0,16722.0,49964.0,61261,57391,65131,42,34,30,6.0,5.0,8.0,,,,,,,13.0,9.0,19.0,,,,4.0,3.0,6.0,89.0,14.0,11.0,17.0,14.0,,,,,,,,,,,,,,,,86.0,14.0,11.0,17.0,,,,,,,15.0,9.0,22.0,,,,14.0,11.0,18.0,,,,,259,31315,63,62,65,6391,14,12,15,67,32930,64,69,127039,24.7,14.9,28805,22.7,817,0.6,2369,1.9,161,0.1,8760,6.9,83748,65.9,1539,1,1.0,2.0,50.6,28475,24.3,
9,10,22017,Louisiana,Caddo,74.9,74.5,75.3,,,,85.4,81.0,89.8,72.6,71.9,73.2,100.8,83.1,118.5,77.2,76.7,77.7,4352,511,495,527,,,,,,,623.0,597.0,649.0,255.0,184.0,343.0,423.0,403.0,444.0,204.0,87.0,75.0,99.0,,,,,,,123.0,104.0,141.0,,,,35.0,23.0,50.0,263.0,11.0,10.0,12.0,,,,,,,16.0,13.0,18.0,,,,5.0,4.0,7.0,14,13,16,17,15,18,14,11.0,16.0,1197.0,596.0,43320,17,36054,14,92.0,13.0,10.0,15.0,,,,,,,8.0,5.0,11.0,,,,18.0,13.0,23.0,260.0,15.0,13.0,17.0,,,,,,,15.0,12.0,17.0,,,,17.0,14.0,19.0,41,40,43,14008,10,9,11,1704,3,2,4,159,629,2656.0,81.0,11.0,8.0,14.0,,,,,,,,,,,45613,41319,49907,38621.0,29349.0,47893.0,55781.0,41164.0,70398.0,28902.0,27307.0,30497.0,52409.0,37034.0,67784.0,60002,57969,62035,53,59,56,17.0,15.0,19.0,,,,,,,29.0,25.0,32.0,,,,5.0,4.0,7.0,176.0,14.0,12.0,16.0,14.0,,,,,,,6.0,4.0,8.0,,,,21.0,17.0,25.0,336.0,27.0,24.0,30.0,,,,,,,34.0,30.0,39.0,,,,22.0,18.0,25.0,,,,,320,57358,60,59,61,16466,18,17,19,70,66756,68,71,240204,23.4,17.7,119131,49.6,1183,0.5,3109,1.3,159,0.1,6888,2.9,106406,44.3,1014,0,0.0,1.0,52.7,36805,14.4,
