,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,22000,Louisiana,,,72099,9516,9415,9617,,5032.0,4181.0,5884.0,,3922.0,3461.0,4383.0,,12605.0,12403.0,12807.0,,5168.0,4848.0,5488.0,,8349.0,8225.0,8472.0,,21,20,23,,4.3,4.0,4.6,,5.0,4.7,5.4,,,11,11,11,,9.0,8.0,10.0,9.0,9.0,10.0,15.0,15.0,16.0,7.0,7.0,8.0,8.0,8.0,8.0,21,20,23,,36,,,,5.2,,28,,,,75,,20,18,21,,1220,3774,32,32,33,,36293,774.8,,32,32,32,,28.0,24.0,32.0,7.0,5.0,8.0,41.0,40.0,42.0,51.0,49.0,53.0,25.0,24.0,25.0,354948,9,9,10,,3179.0,68.0,1466,,2614.0,56.0,1778,,14140.0,304.0,329,,5651,,9554.0,3274.0,7114.0,4872.0,5192.0,42,,36.0,34.0,41.0,39.0,42.0,44,,37.0,47.0,34.0,40.0,47,2663447,3125153,85,85.0,85.0,,710341,1250767,57,56,57,,101169,2095456,4.8,,26,25,27,,30.0,16.0,45.0,32.0,14.0,106425,18603,5.7,,387700,1100855,35,35,36,,4441,9.5,,25218,541,,20922,90,88,91,,46.0,36.0,58.0,37.0,32.0,43.0,89.0,87.0,91.0,52.0,48.0,56.0,95.0,93.0,96.0,8.7,,,,16,16,16,14,13,14,2,2,2,1,1,1,,83,82,83,,79.0,74.0,84.0,74.0,71.0,76.0,81.0,80.0,81.0,69.0,67.0,70.0,85.0,85.0,86.0,2013055,34,33,34,,
1,2,22001,Louisiana,Acadia,,1101,10312,9418,11207,0.14,,,,,,,,,16091.0,13534.0,18647.0,,,,,,9256.0,8280.0,10232.0,,25,23,28,0.17,5.0,4.5,5.4,0.22,5.6,5.2,6.0,0.92,,9,8,10,-0.98,,,,,,,17.0,15.0,19.0,,,,7.0,6.0,8.0,27,24,30,0.67,41,34.0,48.0,0.44,7.3,-0.79,32,26.0,38.0,0.31,43,0.58,19,18,20,-0.1,19,75,25,19,32,-0.57,330,527.2,-0.76,44,40,47,0.6,,,,,,,69.0,60.0,78.0,60.0,35.0,96.0,36.0,33.0,40.0,5085,10,8,11,0.39,23.0,37.0,2704,0.22,24.0,39.0,2585,-0.09,53.0,85.0,1171,0.8,5819,-0.25,,,8983.0,,5335.0,48,-1.91,,,42.0,52.0,49.0,49,-1.11,,,41.0,36.0,51,32532,41205,79,77.0,81.0,0.67,7319,15945,46,41,51,0.12,1269,23841,5.3,-0.2,27,18,35,-0.26,,,73.0,40.0,23.0,97084,16444,5.9,0.31,4800,16328,29,25,33,-0.76,49,7.9,0.43,274,443,0.05,258,83,73,93,-0.4,,,,,,,92.0,69.0,120.0,,,,82.0,71.0,93.0,8.7,-0.02,Yes,0.53,13,10,15,8,6,10,3,2,5,2,1,2,-0.4,85,82,88,0.13,,,,,,,79.0,71.0,86.0,,,,87.0,84.0,89.0,24628,38,34,42,0.06,
2,3,22003,Louisiana,Allen,,450,9788,8465,11111,-0.17,,,,,,,,,10849.0,7857.0,13841.0,,,,,,9557.0,7999.0,11114.0,,24,22,27,-0.08,4.8,4.4,5.2,-0.06,5.3,4.9,5.7,0.02,,9,8,11,-0.86,,,,,,,16.0,12.0,19.0,,,,8.0,6.0,9.0,27,24,29,0.39,28,19.0,38.0,-2.06,6.7,-0.03,33,24.0,42.0,0.56,73,-0.75,20,19,21,0.52,4,29,14,6,25,-1.72,79,308.3,-1.62,50,44,57,1.19,,,,,,,51.0,38.0,67.0,,,,51.0,44.0,59.0,1637,9,8,11,-0.06,3.0,12.0,8535,1.15,7.0,27.0,3661,0.48,25.0,98.0,1025,0.73,6489,0.01,,,7751.0,,6282.0,35,1.14,,,31.0,29.0,36.0,33,0.88,,,28.0,14.0,34,14262,17895,80,77.0,82.0,0.51,2995,7431,40,34,47,0.62,499,8811,5.7,0.06,26,18,34,-0.31,22.0,,22.0,5.0,15.0,94609,17720,5.3,-0.38,1220,5731,21,14,28,-1.59,29,11.3,-0.61,27,124,-1.18,122,95,78,112,0.39,,,,,,,71.0,44.0,108.0,,,,103.0,84.0,126.0,8.5,-0.26,Yes,0.53,12,9,15,6,4,8,4,2,6,1,1,2,-0.62,86,80,91,0.35,,,,,,,82.0,78.0,87.0,,,,85.0,79.0,91.0,8550,40,32,48,0.26,
3,4,22005,Louisiana,Ascension,,1259,7012,6481,7543,-1.78,,,,,,,,,8835.0,7648.0,10021.0,,,,,,6867.0,6219.0,7516.0,,18,16,20,-1.63,3.9,3.6,4.3,-1.68,4.8,4.4,5.1,-1.56,,9,9,10,-1.0,,,,10.0,6.0,15.0,15.0,14.0,17.0,7.0,6.0,9.0,7.0,6.0,7.0,20,17,22,-1.74,35,31.0,41.0,-0.61,7.9,-1.56,25,20.0,29.0,-1.3,73,-0.73,20,20,21,0.67,41,115,36,31,40,0.46,624,507.5,-0.84,21,20,23,-1.46,,,,,,,27.0,24.0,31.0,50.0,40.0,62.0,16.0,14.0,18.0,7123,7,6,8,-2.2,51.0,41.0,2445,0.07,39.0,31.0,3246,0.3,130.0,103.0,974,0.7,4498,-0.78,,,5191.0,1519.0,4380.0,45,-1.2,,32.0,46.0,39.0,46.0,50,-1.23,,52.0,42.0,34.0,53,70708,79773,89,87.0,90.0,-1.4,23263,34752,67,63,71,-1.75,2635,63953,4.1,-1.09,13,9,17,-1.92,,,34.0,15.0,6.0,144047,30454,4.7,-1.12,7948,33232,24,20,28,-1.32,65,5.2,1.23,401,337,-0.35,413,67,61,74,-1.38,,,,,,,64.0,51.0,78.0,,,,74.0,66.0,82.0,10.1,1.66,Yes,0.53,11,9,13,9,7,10,2,1,3,1,0,1,-0.86,86,85,88,0.47,,,,,,,81.0,77.0,86.0,74.0,67.0,80.0,86.0,84.0,87.0,58552,50,47,54,1.19,
4,5,22007,Louisiana,Assumption,,354,9149,7651,10648,-0.54,,,,,,,,,13577.0,10271.0,16882.0,,,,,,7675.0,5955.0,9396.0,,25,23,28,0.16,4.9,4.5,5.3,0.04,5.4,5.0,5.8,0.37,,11,9,12,-0.12,,,,,,,14.0,11.0,17.0,,,,9.0,7.0,11.0,27,25,30,0.69,36,26.0,47.0,-0.45,6.3,0.48,28,21.0,35.0,-0.65,35,0.89,20,19,21,0.44,6,25,24,14,35,-0.7,173,768.0,0.19,28,24,33,-0.81,,,,,,,31.0,23.0,40.0,,,,27.0,21.0,34.0,1675,9,8,11,-0.01,3.0,13.0,7433,1.09,2.0,9.0,10946,1.38,6.0,27.0,3649,1.15,5143,-0.52,,,5018.0,,4850.0,41,-0.27,,,41.0,22.0,43.0,49,-1.11,,,38.0,45.0,53,11514,15486,74,71.0,78.0,1.65,1841,5247,35,28,42,1.09,542,8877,6.1,0.38,25,16,34,-0.43,,,27.0,35.0,24.0,105214,16243,6.5,1.01,2347,4946,47,38,57,1.09,11,4.9,1.31,73,319,-0.43,94,84,68,102,-0.33,,,,,,,95.0,65.0,134.0,,,,80.0,61.0,103.0,9.0,0.34,Yes,0.53,11,8,14,9,6,11,2,0,3,1,0,2,-0.84,87,83,90,0.51,,,,,,,74.0,64.0,84.0,,,,87.0,83.0,91.0,9128,51,43,59,1.28,
5,6,22009,Louisiana,Avoyelles,,754,11220,10033,12406,0.67,,,,,,,,,13834.0,11551.0,16117.0,,,,,,10378.0,8927.0,11830.0,,28,25,30,0.67,5.4,5.0,5.9,1.05,5.8,5.5,6.2,1.58,,12,11,13,0.38,,,,,,,18.0,16.0,20.0,,,,8.0,7.0,9.0,28,25,31,0.94,45,38.0,53.0,1.33,6.4,0.35,36,30.0,44.0,1.39,24,1.37,20,19,21,0.19,12,29,41,32,50,1.03,380,927.3,0.81,56,51,61,1.68,,,,,,,66.0,56.0,75.0,54.0,27.0,97.0,51.0,45.0,57.0,3034,10,8,11,0.49,11.0,27.0,3678,0.58,10.0,25.0,4014,0.6,73.0,182.0,550,0.22,6992,0.21,27962.0,,7285.0,,6932.0,38,0.44,,,36.0,29.0,39.0,41,-0.11,,,31.0,30.0,44,21316,27757,77,75.0,79.0,1.13,4631,10664,43,38,49,0.35,883,15109,5.8,0.19,34,26,42,0.67,42.0,,54.0,39.0,17.0,89341,13956,6.4,0.92,3658,9607,38,30,46,0.13,34,8.4,0.27,227,584,0.6,198,97,84,111,0.52,,,,,,,87.0,66.0,114.0,,,,103.0,86.0,120.0,8.8,0.1,Yes,0.53,14,12,17,11,8,13,4,2,5,2,1,3,0.17,84,83,85,-0.13,,,,,,,79.0,58.0,100.0,,,,88.0,84.0,92.0,14446,40,35,44,0.22,
6,7,22011,Louisiana,Beauregard,,598,8975,7897,10054,-0.64,,,,,,,,,12262.0,8720.0,16763.0,,,,,,8710.0,7552.0,9868.0,,22,20,25,-0.62,4.7,4.3,5.2,-0.22,5.1,4.7,5.5,-0.63,,9,8,10,-0.79,,,,,,,16.0,12.0,20.0,7.0,3.0,11.0,9.0,8.0,10.0,25,21,28,-0.24,38,31.0,45.0,-0.16,6.6,0.1,33,27.0,41.0,0.68,15,1.76,21,20,22,0.93,6,29,21,11,31,-1.03,138,373.7,-1.36,41,36,45,0.3,,,,,,,40.0,29.0,54.0,36.0,20.0,59.0,41.0,36.0,46.0,2900,10,8,11,0.27,15.0,40.0,2484,0.1,9.0,24.0,4166,0.64,26.0,69.0,1442,0.9,7331,0.35,,,9541.0,7489.0,6968.0,33,1.61,,,38.0,47.0,33.0,42,-0.24,,38.0,33.0,34.0,43,21059,24684,85,83.0,87.0,-0.69,5118,9639,53,47,59,-0.52,757,14606,5.2,-0.3,19,13,26,-1.15,,,34.0,15.0,17.0,104562,20178,5.2,-0.57,2205,9181,24,19,29,-1.31,46,12.3,-0.91,40,109,-1.24,137,74,62,86,-0.94,,,,,,,92.0,58.0,139.0,,,,74.0,60.0,87.0,8.6,-0.14,No,-1.88,11,9,13,8,6,9,2,1,4,1,0,2,-0.9,82,79,85,-0.64,,,,,,,80.0,65.0,96.0,80.0,63.0,96.0,83.0,80.0,86.0,14329,47,42,52,0.86,
7,8,22013,Louisiana,Bienville,,285,12230,9918,14542,1.26,,,,,,,,,13798.0,10002.0,17593.0,,,,,,11394.0,8430.0,14359.0,,29,26,31,0.93,5.4,5.0,5.7,0.95,5.5,5.2,5.9,0.71,,14,12,16,1.45,,,,,,,20.0,17.0,24.0,,,,8.0,6.0,11.0,28,26,31,0.92,47,34.0,60.0,1.59,5.8,1.12,27,18.0,38.0,-0.84,21,1.5,17,16,18,-1.13,4,17,24,11,38,-0.75,135,989.9,1.06,46,38,54,0.79,,,,,,,47.0,36.0,60.0,,,,46.0,36.0,59.0,813,8,7,9,-1.17,2.0,15.0,6654,1.03,3.0,23.0,4414,0.71,45.0,340.0,294,-0.74,7696,0.49,,,6636.0,,8357.0,36,0.9,,,36.0,,36.0,39,0.14,,,29.0,,44,7954,9456,84,,,-0.44,1229,3039,40,33,48,0.61,326,5516,5.9,0.24,33,21,45,0.52,,,45.0,,33.0,80980,11714,6.9,1.55,1308,3072,43,35,50,0.59,21,15.8,-1.94,54,410,-0.08,45,66,48,89,-1.43,,,,,,,60.0,35.0,95.0,,,,75.0,50.0,108.0,9.4,0.82,Yes,0.53,12,10,15,10,7,13,2,1,4,1,0,1,-0.48,89,85,92,1.1,,,,,,,77.0,68.0,87.0,,,,82.0,78.0,85.0,4558,54,47,62,1.55,
8,9,22015,Louisiana,Bossier,,1586,7491,6958,8024,-1.51,,,,,,,,,9167.0,7934.0,10400.0,,5182.0,3567.0,7278.0,,7081.0,6458.0,7705.0,,20,18,22,-1.21,4.3,3.9,4.7,-1.09,4.9,4.5,5.2,-1.25,,11,10,11,-0.18,,,,6.0,3.0,8.0,17.0,16.0,19.0,6.0,4.0,7.0,9.0,8.0,10.0,20,17,23,-1.73,35,30.0,41.0,-0.67,7.5,-1.05,28,23.0,33.0,-0.54,76,-0.89,19,18,19,-0.33,13,60,22,15,29,-0.93,876,686.3,-0.13,28,26,30,-0.89,,,,,,,35.0,31.0,40.0,42.0,34.0,52.0,23.0,20.0,25.0,8400,8,7,9,-1.13,56.0,44.0,2271,-0.04,76.0,60.0,1672,-1.15,288.0,227.0,441,-0.05,6455,0.0,,,7427.0,7164.0,6267.0,46,-1.44,,49.0,46.0,38.0,46.0,49,-1.11,,56.0,37.0,43.0,51,74899,83544,90,89.0,91.0,-1.62,23937,36193,66,62,70,-1.68,2475,57604,4.3,-0.96,26,21,30,-0.37,22.0,17.0,42.0,50.0,15.0,107600,22386,4.8,-1.03,10053,31405,32,29,35,-0.49,91,7.2,0.64,605,480,0.19,377,60,54,66,-1.86,,,,,,,47.0,37.0,60.0,40.0,23.0,64.0,67.0,60.0,75.0,9.9,1.42,Yes,0.53,15,14,17,13,11,14,3,2,3,1,0,1,0.39,87,85,89,0.65,,,,75.0,59.0,90.0,82.0,80.0,85.0,73.0,66.0,80.0,87.0,85.0,90.0,58235,23,20,25,-1.31,
9,10,22017,Louisiana,Caddo,,4352,10972,10485,11459,0.52,,,,,,,,,13882.0,13114.0,14651.0,,5930.0,4056.0,8371.0,,8001.0,7415.0,8586.0,,25,23,28,0.09,4.5,4.2,4.9,-0.57,5.2,4.9,5.6,-0.25,,14,14,14,1.54,,,,11.0,8.0,14.0,17.0,17.0,18.0,10.0,8.0,12.0,9.0,9.0,10.0,23,20,25,-0.83,42,38.0,46.0,0.76,6.1,0.74,29,26.0,32.0,-0.33,85,-1.27,18,17,18,-0.76,69,184,38,34,41,0.64,2565,1040.2,1.26,40,39,42,0.28,,,,,,,52.0,50.0,55.0,51.0,40.0,64.0,22.0,20.0,24.0,15530,8,7,9,-1.09,282.0,116.0,861,-2.72,195.0,81.0,1232,-2.21,1647.0,686.0,146,-2.83,6243,-0.09,,6333.0,7333.0,6967.0,5465.0,43,-0.74,,36.0,45.0,41.0,42.0,45,-0.61,,43.0,36.0,46.0,50,144364,165903,87,86.0,88.0,-1.06,36648,63923,57,55,60,-0.89,5546,103405,5.4,-0.17,36,30,42,0.87,,9.0,50.0,34.0,16.0,94214,16568,5.7,0.05,25607,58715,44,40,47,0.69,296,12.2,-0.86,1723,688,1.0,1047,85,80,90,-0.24,,,,,,,82.0,75.0,90.0,28.0,14.0,52.0,94.0,86.0,102.0,10.0,1.54,Yes,0.53,18,16,19,16,15,17,2,1,2,1,1,1,1.13,86,85,87,0.28,,,,76.0,64.0,88.0,84.0,83.0,86.0,79.0,72.0,86.0,90.0,89.0,91.0,102126,19,18,21,-1.63,
