,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,23000,Maine,,,18350,7021,6849,7192,,10664.0,8493.0,12835.0,,3348.0,2542.0,4328.0,,8299.0,6957.0,9642.0,,3169.0,2344.0,4189.0,,7025.0,6847.0,7203.0,,17,16,18,,4.2,3.9,4.5,,5.0,4.6,5.4,,,7,7,7,,9.0,8.0,11.0,9.0,7.0,10.0,9.0,8.0,10.0,8.0,6.0,9.0,7.0,7.0,7.0,19,18,21,,30,,,,8.0,,21,,,,70,,22,20,24,,277,783,35,34,37,,4345,325.2,,14,14,14,,31.0,24.0,38.0,4.0,3.0,6.0,18.0,15.0,21.0,15.0,12.0,18.0,14.0,13.0,14.0,106052,10,10,11,,1488,111,899,,906,67,1484,,6653,495,202,,3447,,9575.0,1721.0,3556.0,3873.0,3435.0,46,,34.0,40.0,28.0,33.0,46.0,46,,23.0,50.0,38.0,41.0,46.0,902132,974117,93,92,93,,212309,310680,68,67,69,,20978,692736,3.0,,14,13,15,,35.0,12.0,46.0,24.0,14.0,109468,24188,4.5,,51718,251059,21,20,22,,1506,11.3,,1674,126,,6214,93,91,95,,129.0,100.0,163.0,31.0,21.0,45.0,61.0,47.0,76.0,31.0,21.0,43.0,95.0,93.0,97.0,6.6,,,,14,14,15,12,12,13,1,1,2,1,1,1,,79,78,79,,76.0,68.0,83.0,72.0,67.0,77.0,66.0,63.0,70.0,65.0,61.0,69.0,79.0,79.0,80.0,657018,33,32,33,,
1,2,23001,Maine,Androscoggin,,1597,7751,7166,8337,0.37,,,,,,,,,11159.0,7728.0,15594.0,,,,,,7554.0,6957.0,8151.0,,18,15,20,0.2,4.2,3.8,4.7,0.07,4.9,4.4,5.3,0.12,,8,7,9,1.0,,,,,,,9.0,7.0,11.0,8.0,3.0,12.0,8.0,7.0,8.0,22,18,25,0.4,33,31.0,36.0,0.59,7.8,0.07,23,21.0,25.0,0.12,84,-1.49,21,20,22,-0.1,17,60,28,22,35,-0.99,569,528.6,3.08,21,19,23,0.81,,,,,,,40.0,32.0,51.0,17.0,9.0,30.0,19.0,17.0,21.0,8379,10,9,11,-0.75,94,87,1146,0.23,60,55,1805,-0.08,529,489,205,-0.5,3280,-0.27,,,3393.0,,3300.0,42,0.89,,35.0,29.0,33.0,42.0,49,-0.81,42.0,37.0,29.0,39.0,50.0,67389,74726,90,89,91,0.86,17344,25943,67,63,71,-0.53,1631,55225,3.0,-0.58,15,9,21,-0.28,66.0,6.0,63.0,17.0,11.0,102777,23393,4.4,-0.16,4882,23353,21,17,25,0.01,88,8.2,0.76,150,139,0.74,476,88,81,96,-0.67,,,,,,,69.0,40.0,110.0,,,,91.0,83.0,100.0,5.6,-1.02,Yes,0.85,14,13,16,12,10,13,2,1,2,2,1,2,0.27,79,78,81,0.33,,,,,,,58.0,46.0,71.0,57.0,39.0,76.0,81.0,79.0,83.0,53112,34,32,36,0.17,
2,3,23003,Maine,Aroostook,,1007,7189,6384,7995,-0.19,,,,,,,,,,,,,,,,,,,,,22,19,25,1.61,4.9,4.4,5.4,1.26,5.4,4.9,5.8,1.7,,8,7,8,0.24,7.0,3.0,11.0,,,,,,,,,,7.0,7.0,8.0,23,19,26,0.78,38,35.0,40.0,1.6,7.2,1.25,31,29.0,33.0,2.03,56,0.42,16,16,17,-2.32,13,44,30,22,38,-0.83,171,252.8,-0.59,18,16,21,0.32,,,,,,,,,,,,,,,,6807,14,12,15,1.13,74,110,907,-0.44,40,60,1676,-0.26,379,565,177,-0.95,5412,2.58,14785.0,,1775.0,,5337.0,55,-2.25,41.0,57.0,,,56.0,37,0.9,34.0,41.0,35.0,7.0,37.0,44534,50280,89,88,90,1.65,8984,13780,65,61,69,-0.3,1391,30205,4.6,1.67,20,14,27,0.78,46.0,,16.0,26.0,19.0,85636,16628,5.2,2.01,2320,12074,19,16,22,-0.76,72,10.7,-0.16,83,120,0.25,279,82,73,92,-1.17,,,,,,,,,,,,,,,,7.4,1.24,Yes,0.85,13,12,14,11,10,13,1,1,2,1,1,1,-0.9,80,78,82,0.7,60.0,46.0,73.0,,,,,,,,,,81.0,79.0,83.0,29128,20,18,22,-1.84,
3,4,23005,Maine,Cumberland,,3154,5583,5265,5901,-1.79,,,,,,,,,7314.0,5374.0,9726.0,,,,,,5572.0,5241.0,5904.0,,12,10,14,-1.95,3.2,2.8,3.6,-1.93,4.2,3.7,4.6,-2.13,,7,6,7,-1.05,,,,11.0,8.0,13.0,9.0,8.0,10.0,7.0,4.0,9.0,6.0,6.0,7.0,14,11,17,-1.99,23,22.0,25.0,-1.77,8.3,-0.91,15,14.0,16.0,-1.65,84,-1.46,25,24,25,1.54,31,107,29,24,34,-0.9,1049,358.6,0.82,7,6,8,-2.1,,,,,,,12.0,8.0,16.0,13.0,9.0,19.0,7.0,6.0,7.0,19765,8,8,9,-1.39,492,168,597,-2.12,306,104,964,-2.15,2158,732,137,-1.92,2565,-1.23,,880.0,1415.0,2595.0,2555.0,45,0.17,,35.0,20.0,33.0,45.0,55,-1.67,55.0,56.0,43.0,45.0,55.0,201336,211601,95,95,96,-1.58,58954,75146,78,76,81,-2.13,3920,164832,2.4,-1.36,9,6,12,-1.61,,10.0,45.0,14.0,7.0,135744,31100,4.4,-0.24,10705,54835,20,17,22,-0.62,397,13.5,-1.16,372,128,0.46,1189,81,77,86,-1.27,,,,27.0,13.0,50.0,43.0,27.0,66.0,36.0,18.0,65.0,85.0,80.0,90.0,6.5,0.11,Yes,0.85,15,14,16,14,13,15,1,1,2,1,1,1,1.13,77,76,78,-0.62,,,,67.0,61.0,74.0,67.0,64.0,71.0,68.0,61.0,75.0,80.0,79.0,80.0,160054,31,30,33,-0.18,
4,5,23007,Maine,Franklin,,449,7067,5858,8275,-0.31,,,,,,,,,,,,,,,,,,,,,16,14,19,-0.25,4.0,3.6,4.4,-0.36,4.6,4.2,5.0,-0.68,,8,7,9,0.98,,,,,,,,,,,,,,,,20,17,23,-0.27,32,30.0,35.0,0.36,8.3,-0.91,22,20.0,23.0,-0.14,47,1.02,23,22,24,0.59,10,23,43,33,53,1.07,72,240.1,-0.76,13,11,16,-0.81,,,,,,,,,,,,,,,,2436,11,9,13,-0.15,32,107,934,-0.35,11,36,2745,0.74,89,295,339,0.63,3020,-0.62,,,,,,51,-1.28,,,,,,43,0.04,,,,,,19984,21589,93,91,94,-0.31,3899,6238,63,56,69,0.08,548,14241,3.8,0.64,17,9,24,0.0,,,,6.0,12.0,92988,22284,4.2,-0.79,988,5401,18,14,23,-1.18,29,9.7,0.21,34,111,0.01,145,97,81,112,0.0,,,,,,,,,,,,,,,,6.4,-0.02,Yes,0.85,11,9,13,9,7,11,1,1,2,1,1,2,-2.58,76,73,79,-0.8,,,,,,,,,,,,,,,,14250,36,32,41,0.51,
5,6,23009,Maine,Hancock,,778,6426,5616,7235,-0.95,,,,,,,,,,,,,,,,,,,,,14,12,17,-0.99,3.8,3.4,4.3,-0.68,4.7,4.2,5.1,-0.48,,7,6,8,-0.07,,,,,,,,,,,,,,,,18,15,21,-0.72,27,24.0,29.0,-0.98,8.2,-0.71,18,16.0,20.0,-0.9,70,-0.51,22,21,23,0.31,21,46,46,39,52,1.37,126,231.2,-0.87,15,12,17,-0.47,,,,,,,,,,,,,,,,4938,12,11,14,0.37,78,142,703,-1.38,28,51,1964,0.12,222,404,248,0.0,3343,-0.19,,,8344.0,,3316.0,45,0.17,,,,42.0,45.0,52,-1.24,,33.0,43.0,36.0,52.0,39104,41572,94,93,95,-1.05,7558,11678,65,60,70,-0.23,1025,29089,3.5,0.2,14,9,20,-0.52,9.0,,39.0,,13.0,108041,24742,4.4,-0.23,2003,9380,21,17,26,0.21,77,14.0,-1.34,33,60,-1.31,256,94,82,105,-0.25,,,,,,,,,,,,,,,,4.6,-2.28,Yes,0.85,15,13,17,12,10,13,2,1,3,2,1,3,0.96,73,72,75,-1.97,,,,,,,,,,,,,,,,26573,35,33,38,0.4,
6,7,23011,Maine,Kennebec,,1766,7600,7011,8189,0.22,,,,,,,,,,,,,,,,,,,,,17,15,19,-0.07,4.5,4.1,5.0,0.57,5.0,4.5,5.4,0.42,,7,6,7,-1.01,,,,,,,,,,,,,,,,22,18,26,0.49,32,30.0,34.0,0.26,8.0,-0.32,22,20.0,24.0,0.05,77,-0.98,20,19,21,-0.61,31,71,44,38,49,1.1,364,298.8,0.02,14,13,16,-0.58,,,,,,,,,,,,,,,,8702,9,8,10,-1.03,147,120,830,-0.74,104,85,1176,-1.35,627,513,195,-0.64,3243,-0.32,,,,,,46,-0.08,,53.0,,22.0,47.0,48,-0.67,,54.0,39.0,42.0,48.0,81306,87875,93,92,93,-0.29,18889,28018,67,64,71,-0.6,1823,61923,2.9,-0.59,14,9,19,-0.59,16.0,11.0,41.0,52.0,16.0,103667,23065,4.5,0.13,4923,23530,21,18,24,0.01,179,14.7,-1.56,203,168,1.49,596,98,90,106,0.13,,,,,,,,,,,,,,,,5.7,-0.9,No,-1.1,14,12,15,12,11,13,2,1,2,1,0,1,-0.39,80,79,81,0.59,,,,67.0,52.0,82.0,,,,59.0,41.0,77.0,82.0,81.0,83.0,58527,32,30,33,-0.16,
7,8,23013,Maine,Knox,,564,7113,6034,8191,-0.27,,,,,,,,,,,,,,,,,,,,,16,13,18,-0.51,3.8,3.4,4.2,-0.78,4.5,4.0,4.9,-1.12,,7,6,8,-1.31,,,,,,,,,,,,,,,,18,15,22,-0.74,28,26.0,31.0,-0.62,8.0,-0.32,17,15.0,19.0,-1.18,45,1.15,22,21,23,0.2,8,22,36,25,47,0.1,114,286.5,-0.14,17,14,20,-0.02,,,,,,,,,,,,,,,,3339,12,10,13,0.17,40,101,994,-0.16,29,73,1371,-0.83,213,536,187,-0.77,2440,-1.39,,,,,,48,-0.56,,,,,,50,-0.95,,62.0,,19.0,50.0,28084,30014,94,92,95,-0.8,5167,8514,61,55,67,0.33,589,20194,2.9,-0.63,18,12,23,0.19,,,,,,107182,25491,4.2,-0.7,1762,7173,25,18,31,1.66,59,14.8,-1.63,21,53,-1.5,202,102,88,116,0.4,,,,,,,,,,,,,,,,6.6,0.24,No,-1.1,15,13,17,13,11,15,1,1,2,2,1,3,1.05,77,74,80,-0.64,,,,,,,,,,,,,,,,19364,19,17,21,-1.97,
8,9,23015,Maine,Lincoln,,459,6471,5300,7641,-0.91,,,,,,,,,,,,,,,,,,,,,15,12,17,-0.95,3.8,3.4,4.3,-0.71,4.8,4.4,5.3,-0.11,,9,8,10,2.07,,,,,,,,,,,,,,,,19,15,22,-0.65,25,23.0,27.0,-1.28,8.2,-0.71,19,18.0,21.0,-0.64,57,0.35,24,23,25,1.23,7,20,35,23,47,-0.08,92,269.0,-0.37,18,14,21,0.13,,,,,,,,,,,,,,,,3272,13,12,15,0.94,39,114,881,-0.54,12,35,2886,0.81,74,214,468,1.11,3661,0.24,,,,,,43,0.65,,,,,,37,0.9,,,,25.0,37.0,24497,26321,93,92,94,-0.56,3876,6760,57,52,63,0.79,499,16789,3.0,-0.55,16,10,23,-0.04,,,,60.0,19.0,104322,24812,4.2,-0.7,1220,5718,21,17,26,0.2,40,11.6,-0.49,53,154,1.14,166,97,82,112,0.02,,,,,,,,,,,,,,,,6.6,0.24,No,-1.1,14,12,16,13,11,15,1,0,2,1,1,2,0.19,78,75,80,-0.24,,,,,,,,,,,,,,,,16010,37,33,40,0.58,
9,10,23017,Maine,Oxford,,932,8491,7539,9444,1.11,,,,,,,,,,,,,,,,,,,,,19,16,21,0.59,4.5,4.1,5.0,0.63,4.8,4.4,5.2,-0.11,,7,6,8,-0.45,,,,,,,,,,,,,,,,22,18,25,0.38,32,30.0,35.0,0.31,7.8,0.07,24,22.0,26.0,0.43,41,1.4,20,19,21,-0.66,25,55,45,39,52,1.34,166,289.0,-0.11,19,17,22,0.55,,,,,,,,,,,,,,,,5227,12,10,13,0.2,35,61,1646,1.0,21,36,2761,0.75,150,259,387,0.84,3009,-0.63,,,,,,48,-0.56,,,,,,34,1.33,,,,22.0,34.0,39380,42832,92,91,93,0.0,6982,12491,56,51,61,0.99,952,26333,3.6,0.32,18,11,25,0.22,,,,8.0,26.0,92094,21942,4.2,-0.72,2042,10721,19,14,25,-0.84,52,9.0,0.45,64,112,0.03,267,93,82,104,-0.31,,,,,,,,,,,,,,,,6.9,0.61,No,-1.1,14,12,16,11,10,13,2,1,2,1,1,2,-0.24,83,80,85,1.62,,,,,,,,,,,,,,,,25490,42,39,45,1.33,
