,Unnamed: 0,FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low.1,95% CI - High.1,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths.1,Child Mortality Rate,95% CI - Low.2,95% CI - High.2,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths.2,Infant Mortality Rate,95% CI - Low.3,95% CI - High.3,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low.4,95% CI - High.4,% Frequent Mental Distress,95% CI - Low.5,95% CI - High.5,% Adults with Diabetes,95% CI - Low.6,95% CI - High.6,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low.7,95% CI - High.7,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low.8,95% CI - High.8,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low.9,95% CI - High.9,# Uninsured (Adults),% Uninsured (Adults),95% CI - Low (Adults),95% CI - High (Adults),# Uninsured (Children),% Uninsured (Children),95% CI - Low (Children),95% CI - High (Children),Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low.10,95% CI - High.10,Average Grade Performance (Math),Average Grade Performance (Asian) (Math),Average Grade Performance (Black) (Math),Average Grade Performance (Hispanic) (Math),Average Grade Performance (White) (Math),Average Grade Performance (Reading),Average Grade Performance (Asian) (Reading),Average Grade Performance (Black) (Reading),Average Grade Performance (Hispanic) (Reading),Average Grade Performance (White) (Reading),Median Household Income,95% CI - Low.11,95% CI - High.11,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low.12,95% CI - High.12,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths.3,Suicide Rate (Age-Adjusted),95% CI - Low.13,95% CI - High.13,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low.14,95% CI - High.14,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low.15,95% CI - High.15,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low.16,95% CI - High.16,% Broadband Access,Numerator,95% CI - Low.17,95% CI - High.17,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low.18,95% CI - High.18,% Female,# Rural,% Rural,Unnamed: 277
0,1,24000,Maryland,,79.2,79.1,79.3,94.6,89.6,99.6,89.7,89.2,90.3,76.6,76.4,76.7,90.3,89.4,91.1,79.3,79.2,79.4,70898,339,336,341,213.0,176.0,251.0,129.0,122.0,135.0,450.0,445.0,456.0,158.0,151.0,165.0,328.0,324.0,331.0,2699.0,50.0,48.0,52.0,,,,34.0,28.0,39.0,77.0,73.0,81.0,40.0,36.0,45.0,35.0,33.0,38.0,3230.0,6.0,6.0,7.0,,,,5.0,4.0,5.0,10.0,10.0,11.0,4.0,4.0,5.0,4.0,4.0,5.0,10,9,11,11,11,12,11,,,33164,653,667110,11,195673,3,6940,38,37,39,26.0,14.0,43.0,5.0,3.0,6.0,43.0,41.0,45.0,10.0,8.0,11.0,46.0,44.0,47.0,3650,9,8,9,,,,4.0,3.0,5.0,10.0,9.0,10.0,7.0,6.0,8.0,9.0,9.0,9.0,38,36,39,306378,8,8,9,44282,3,3,4,115,869,65089,87,6.0,6.0,6.0,,,,,,,,,,,86644,85560,87728,71803.0,64104.0,79502.0,105691.0,103646.0,107736.0,67583.0,66492.0,68674.0,72758.0,71294.0,74222.0,95238,94654,95822,46,63.0,55,9.0,8.0,9.0,,,,2.0,1.0,2.0,23.0,22.0,24.0,5.0,4.0,5.0,2.0,2.0,2.0,3075.0,10.0,9.0,10.0,10.0,,,,6.0,5.0,7.0,5.0,5.0,6.0,4.0,3.0,5.0,13.0,13.0,14.0,3621.0,12.0,12.0,12.0,,,,2.0,1.0,3.0,24.0,23.0,25.0,3.0,3.0,4.0,8.0,8.0,9.0,9093,6895,605200,26,734,1475149,67,66,67,304466,14,14,14,86,1905593,86,87,6045680,22.1,15.9,1810267,29.9,36840,0.6,406303,6.7,6705,0.1,643822,10.6,3025781,50.0,187726,3,3,3,51.6,739221,12.8,
1,2,24001,Maryland,Allegany,76.7,76.0,77.4,,,,,,,74.9,71.9,77.8,,,,76.3,75.5,77.0,1085,416,390,442,,,,,,,499.0,368.0,661.0,,,,431.0,403.0,459.0,28.0,56.0,37.0,81.0,,,,,,,,,,,,,,,,38.0,8.0,6.0,11.0,,,,,,,,,,,,,,,,14,13,15,15,14,17,14,12.0,16.0,139,223,10890,15,9849,13,96,45,37,55,,,,,,,,,,,,,,,,50,10,7,13,,,,,,,,,,,,,,,,41,40,43,2442,6,5,8,330,3,2,3,186,538,687,90,8.0,5.0,11.0,,,,,,,,,,,48170,43411,52929,,,,,,,27899.0,22596.0,33202.0,43365.0,41397.0,45333.0,46434,44357,48511,56,58.0,37,3.0,2.0,5.0,,,,,,,,,,,,,,,,68.0,18.0,14.0,23.0,19.0,,,,,,,,,,,,,,,,43.0,12.0,9.0,16.0,,,,,,,,,,,,,,,,170,126,5700,52,395,18859,69,67,70,3200,12,11,14,75,20672,74,77,70416,17.3,20.6,5707,8.1,153,0.2,797,1.1,49,0.1,1356,1.9,61036,86.7,183,0,0,0,47.9,20463,27.3,
2,3,24003,Maryland,Anne Arundel,79.3,79.1,79.6,111.0,64.4,157.6,85.1,83.5,86.7,78.0,77.4,78.7,86.4,84.1,88.7,79.1,78.8,79.4,6278,320,311,328,,,,164.0,136.0,192.0,381.0,359.0,403.0,160.0,132.0,188.0,328.0,318.0,337.0,198.0,39.0,33.0,44.0,,,,,,,65.0,50.0,82.0,36.0,23.0,53.0,31.0,25.0,37.0,243.0,5.0,4.0,6.0,,,,,,,9.0,7.0,11.0,5.0,3.0,7.0,4.0,3.0,4.0,10,9,11,11,10,12,10,9.0,11.0,1244,258,48380,9,27013,5,767,44,41,48,,,,,,,34.0,28.0,41.0,11.0,7.0,18.0,53.0,49.0,57.0,305,8,7,9,,,,,,,7.0,6.0,10.0,6.0,4.0,9.0,8.0,7.0,9.0,35,34,37,20179,6,5,6,3924,3,2,4,113,887,5757,89,5.0,3.0,6.0,,,,,,,,,,,100916,98537,103295,,,,100921.0,92634.0,109208.0,82360.0,78516.0,86204.0,85640.0,76044.0,95236.0,106376,105075,107677,32,46.0,40,4.0,3.0,5.0,,,,,,,12.0,10.0,15.0,4.0,2.0,7.0,2.0,2.0,3.0,369.0,12.0,11.0,14.0,13.0,,,,,,,5.0,3.0,7.0,5.0,2.0,9.0,15.0,13.0,17.0,229.0,8.0,7.0,9.0,,,,,,,13.0,10.0,16.0,4.0,2.0,8.0,8.0,6.0,9.0,1632,520,56500,38,536,155617,74,74,75,23132,11,11,12,91,190839,90,92,579234,22.3,15.0,101478,17.5,2604,0.4,24437,4.2,686,0.1,48798,8.4,386285,66.7,8053,2,1,2,50.5,28518,5.3,
3,4,24005,Maryland,Baltimore,78.1,77.9,78.3,85.6,77.1,94.1,89.4,87.4,91.3,76.5,76.1,76.9,90.5,87.6,93.3,78.0,77.7,78.2,10993,379,371,386,374.0,248.0,540.0,144.0,125.0,163.0,439.0,424.0,454.0,161.0,136.0,187.0,386.0,377.0,396.0,380.0,53.0,48.0,58.0,,,,51.0,34.0,75.0,81.0,70.0,92.0,39.0,25.0,57.0,34.0,28.0,40.0,444.0,7.0,6.0,7.0,,,,7.0,4.0,9.0,10.0,9.0,12.0,5.0,3.0,6.0,4.0,3.0,5.0,11,10,12,13,12,14,11,11.0,12.0,2993,428,90900,11,23077,3,1246,50,47,53,,,,8.0,4.0,13.0,39.0,35.0,44.0,17.0,11.0,25.0,64.0,60.0,68.0,454,8,7,9,,,,4.0,2.0,7.0,9.0,7.0,10.0,9.0,6.0,13.0,8.0,7.0,9.0,38,36,39,36295,7,7,8,6016,3,3,4,115,868,7916,89,5.0,4.0,6.0,,,,,,,,,,,76972,73576,80368,64595.0,42135.0,87055.0,78245.0,73355.0,83135.0,68143.0,65926.0,70360.0,64359.0,60600.0,68118.0,82690,81081,84299,50,59.0,51,8.0,7.0,9.0,,,,,,,21.0,19.0,23.0,6.0,3.0,9.0,3.0,2.0,3.0,453.0,10.0,9.0,11.0,11.0,,,,7.0,4.0,11.0,5.0,4.0,6.0,8.0,5.0,13.0,14.0,12.0,15.0,520.0,13.0,11.0,14.0,,,,,,,23.0,21.0,26.0,5.0,2.0,9.0,9.0,8.0,10.0,1593,1428,80800,37,885,207123,66,65,67,43610,14,14,15,86,270481,86,87,827370,21.6,17.6,244532,29.6,3718,0.4,52266,6.3,634,0.1,48074,5.8,461626,55.8,18056,2,2,3,52.7,52599,6.5,
4,5,24009,Maryland,Calvert,79.5,78.9,80.2,,,,88.0,82.7,93.2,78.3,76.6,79.9,86.2,79.7,92.6,79.3,78.6,80.1,985,307,287,327,,,,,,,349.0,291.0,406.0,,,,312.0,289.0,334.0,30.0,35.0,24.0,50.0,,,,,,,,,,,,,,,,30.0,5.0,3.0,7.0,,,,,,,,,,,,,,,,10,9,11,12,11,13,12,10.0,13.0,124,160,7240,8,4626,5,112,41,33,48,,,,,,,32.0,17.0,56.0,,,,45.0,36.0,54.0,77,12,10,15,,,,,,,15.0,8.0,26.0,,,,12.0,9.0,15.0,35,34,36,2495,4,4,5,549,2,2,3,69,1446,1304,94,4.0,2.0,7.0,,,,,,,,,,,111056,104832,117280,,,,121845.0,92655.0,151035.0,70423.0,57232.0,83614.0,141389.0,107609.0,175169.0,113838,110029,117647,21,21.0,14,2.0,1.0,3.0,,,,,,,,,,,,,,,,58.0,13.0,9.0,16.0,13.0,,,,,,,,,,,,,,,,37.0,8.0,6.0,11.0,,,,,,,,,,,,,,,,231,71,10600,28,78,27070,85,83,86,2906,9,8,11,90,28825,89,91,92525,23.0,15.5,11907,12.9,425,0.5,1750,1.9,104,0.1,4068,4.4,71709,77.5,302,0,0,1,50.4,34350,38.7,
5,6,24011,Maryland,Caroline,76.8,75.9,77.8,,,,,,,75.1,72.7,77.5,,,,77.0,75.9,78.1,475,400,362,437,,,,,,,444.0,346.0,563.0,,,,401.0,358.0,443.0,14.0,45.0,24.0,75.0,,,,,,,,,,,,,,,,22.0,8.0,5.0,12.0,,,,,,,,,,,,,,,,14,13,16,16,14,17,15,13.0,17.0,58,209,4190,13,750,2,43,43,31,58,,,,,,,,,,,,,,,,57,25,19,32,,,,,,,30.0,14.0,55.0,,,,22.0,16.0,30.0,40,39,41,1946,10,8,11,321,4,3,5,87,1152,389,89,,,,,,,,,,,,,,60143,53156,67130,89167.0,11566.0,166768.0,,,,40208.0,26830.0,53586.0,49839.0,38819.0,60859.0,63991,60384,67598,55,38.0,32,,,,,,,,,,,,,,,,,,,30.0,16.0,11.0,23.0,18.0,,,,,,,,,,,,,,,,23.0,14.0,9.0,21.0,,,,,,,,,,,,,,,,144,55,3700,54,39,8759,73,71,75,1600,14,11,16,80,9635,78,82,33406,23.6,16.7,4556,13.6,290,0.9,400,1.2,107,0.3,2608,7.8,25102,75.1,570,2,1,2,51.1,25130,76.0,
6,7,24013,Maryland,Carroll,78.6,78.2,79.0,,,,93.1,82.6,103.6,77.4,74.6,80.1,92.3,82.2,102.4,78.4,77.9,78.8,1960,322,307,337,,,,,,,433.0,347.0,533.0,,,,328.0,312.0,344.0,41.0,28.0,20.0,38.0,,,,,,,,,,,,,,,,40.0,3.0,2.0,5.0,,,,,,,,,,,,,,,,10,9,11,12,11,13,9,8.0,11.0,155,108,13500,8,5422,3,208,41,36,47,,,,,,,,,,,,,,,,144,12,10,14,,,,,,,,,,,,,,,,34,32,35,5060,5,4,6,871,2,2,3,75,1326,2172,96,6.0,3.0,9.0,,,,,,,,,,,101810,96379,107241,163281.0,93154.0,233408.0,88523.0,67223.0,109823.0,87457.0,71770.0,103144.0,78781.0,40564.0,116998.0,97356,94579,100133,19,33.0,25,1.0,1.0,2.0,,,,,,,,,,,,,,,,108.0,13.0,10.0,15.0,13.0,,,,,,,,,,,,,,,,51.0,6.0,5.0,8.0,,,,,,,,,,,,,,,,153,89,17800,14,177,49823,82,81,83,5797,10,9,11,87,52667,86,87,168447,21.6,17.3,6289,3.7,453,0.3,3510,2.1,98,0.1,6508,3.9,148781,88.3,795,1,0,1,50.5,66028,39.5,
7,8,24015,Maryland,Cecil,75.7,75.1,76.3,,,,,,,72.7,70.5,74.9,94.8,78.1,111.5,75.5,74.9,76.2,1671,452,429,475,,,,,,,592.0,483.0,700.0,186.0,112.0,291.0,457.0,433.0,482.0,46.0,49.0,36.0,66.0,,,,,,,,,,,,,,,,47.0,6.0,4.0,8.0,,,,,,,,,,,,,,,,12,11,14,14,13,16,11,10.0,13.0,138,159,11320,11,6577,7,208,67,58,77,,,,,,,70.0,40.0,114.0,,,,70.0,60.0,80.0,100,14,11,17,,,,,,,,,,,,,,,,39,37,40,3922,6,5,7,760,3,2,4,55,1804,1154,91,9.0,5.0,14.0,,,,,,,,,,,75307,69310,81304,,,,66974.0,54525.0,79423.0,53171.0,48597.0,57745.0,51818.0,34216.0,69420.0,80400,77221,83579,44,45.0,39,4.0,3.0,6.0,,,,,,,,,,,,,,,,94.0,17.0,14.0,22.0,18.0,,,,,,,,,,,,,,,,60.0,12.0,9.0,15.0,,,,,,,,,,,,,,,,156,126,11200,25,192,27065,73,71,75,3980,11,10,12,84,31305,83,86,102855,22.5,16.2,6959,6.8,422,0.4,1470,1.4,67,0.1,4820,4.7,87009,84.6,805,1,1,1,50.5,42569,42.1,
8,9,24017,Maryland,Charles,78.6,78.1,79.1,,,,98.3,85.0,111.5,77.8,77.1,78.6,86.5,81.9,91.2,78.0,77.3,78.8,1813,343,327,359,,,,164.0,112.0,233.0,354.0,329.0,379.0,160.0,103.0,236.0,371.0,345.0,396.0,96.0,62.0,50.0,76.0,,,,,,,68.0,52.0,89.0,,,,52.0,34.0,76.0,95.0,7.0,6.0,9.0,,,,,,,9.0,7.0,12.0,,,,5.0,4.0,8.0,10,9,11,12,11,13,12,10.0,13.0,539,401,13990,9,6600,5,127,26,22,31,,,,,,,14.0,9.0,19.0,,,,48.0,38.0,58.0,141,13,11,15,,,,,,,13.0,10.0,17.0,,,,13.0,10.0,17.0,42,40,43,5566,5,5,6,1179,3,2,4,84,1192,2176,93,9.0,6.0,11.0,,,,,,,,,,,102510,97562,107458,87740.0,63829.0,111651.0,125179.0,98376.0,151982.0,96264.0,91995.0,100533.0,101654.0,76332.0,126976.0,102795,98104,107486,36,39.0,37,6.0,4.0,7.0,,,,,,,,,,,,,,,,91.0,11.0,9.0,14.0,11.0,,,,,,,5.0,3.0,8.0,,,,17.0,13.0,22.0,95.0,12.0,10.0,15.0,,,,,,,12.0,9.0,16.0,,,,14.0,10.0,19.0,486,177,18500,36,157,43436,77,75,78,6828,12,11,14,87,49444,86,89,163257,23.8,12.9,79891,48.9,1257,0.8,5545,3.4,218,0.1,10211,6.3,60813,37.2,1583,1,1,1,51.8,43238,29.5,
9,10,24019,Maryland,Dorchester,75.6,74.5,76.7,,,,,,,70.5,68.3,72.6,,,,77.1,75.8,78.4,582,468,426,509,,,,,,,658.0,563.0,752.0,,,,423.0,374.0,472.0,20.0,74.0,45.0,114.0,,,,,,,,,,,,,,,,22.0,9.0,5.0,13.0,,,,,,,,,,,,,,,,13,12,14,15,13,16,19,17.0,21.0,146,536,4770,15,1936,6,37,39,27,53,,,,,,,43.0,22.0,75.0,,,,41.0,27.0,60.0,31,14,9,19,,,,,,,15.0,7.0,28.0,,,,13.0,8.0,20.0,39,37,40,1587,9,7,10,273,4,3,5,75,1330,322,82,,,,,,,,,,,,,,48709,43270,54148,,,,,,,36783.0,31220.0,42346.0,49318.0,22803.0,75833.0,62192,54844,69540,100,44.0,42,7.0,4.0,11.0,,,,,,,,,,,,,,,,27.0,16.0,10.0,23.0,17.0,,,,,,,,,,,,,,,,24.0,15.0,10.0,22.0,,,,,,,,,,,,,,,,202,151,3200,110,88,8969,68,66,70,1880,15,12,17,77,10166,76,79,31929,21.0,22.1,8906,27.9,165,0.5,393,1.2,21,0.1,1949,6.1,19902,62.3,499,2,1,2,52.5,18338,56.2,
