,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,24000,Maryland,,,70898,7198,7119,7276,,4541.0,3475.0,5608.0,,2715.0,2522.0,2908.0,,9733.0,9570.0,9896.0,,3869.0,3696.0,4042.0,,6879.0,6770.0,6988.0,,15,14,16,,3.4,3.2,3.6,,3.7,3.5,3.9,,,9,9,9,,8.0,7.0,10.0,9.0,8.0,9.0,12.0,12.0,12.0,7.0,7.0,7.0,7.0,7.0,7.0,13,12,14,,32,,,,8.7,,22,,,,93,,15,14,16,,755,2622,29,28,30,,35482,586.3,,16,16,16,,13.0,9.0,17.0,2.0,2.0,3.0,22.0,21.0,22.0,39.0,38.0,40.0,9.0,8.0,9.0,346367,7,7,7,,5352,89,1129,,4801,79,1259,,16618,275,364,,4134,,4146.0,1952.0,5696.0,3136.0,3726.0,42,,36.0,32.0,41.0,35.0,42.0,52,,48.0,55.0,41.0,44.0,55.0,3733545,4139008,90,90,90,,1115720,1597549,70,69,70,,116699,3260668,3.6,,12,11,13,,18.0,7.0,19.0,16,6,161750,35624,4.5,,353788,1338765,26,26,27,,5457,9.0,,27531,459,,24707,82,81,83,,52.0,38.0,69.0,23.0,21.0,25.0,93.0,91.0,95.0,34.0,32.0,36.0,93.0,91.0,94.0,8.0,,,,16,16,16,14,14,14,2,2,2,1,1,1,,74,74,74,,66.0,61.0,72.0,72.0,71.0,72.0,72.0,71.0,72.0,66.0,65.0,67.0,81.0,81.0,81.0,3046449,50,50,51,,
1,2,24001,Maryland,Allegany,,1085,8602,7785,9419,0.46,,,,,,,,,7760.0,5405.0,10793.0,,,,,,9242.0,8312.0,10173.0,,20,17,22,0.98,4.6,4.2,5.1,1.6,4.9,4.6,5.3,1.5,,9,8,10,0.46,,,,,,,12.0,7.0,16.0,,,,9.0,8.0,10.0,20,17,23,1.06,35,31.0,38.0,0.2,6.7,2.06,29,26.0,32.0,0.92,82,-0.13,17,16,17,-0.25,17,36,47,39,55,2.18,242,337.9,-0.49,24,21,26,0.93,,,,,,,14.0,10.0,20.0,,,,26.0,23.0,28.0,2733,5,5,6,-0.55,43,61,1651,0.21,54,77,1304,-0.13,220,312,320,-0.64,4377,0.59,,,1524.0,4890.0,4413.0,48,-1.75,,36.0,45.0,53.0,48.0,45,1.26,,47.0,40.0,56.0,45.0,45032,49921,90,89,91,-0.06,9013,16865,53,50,57,1.08,1679,32491,5.2,1.08,21,14,28,0.82,,10.0,43.0,28,22,88239,19439,4.5,0.34,3419,12364,28,23,32,0.2,124,17.5,-2.35,225,311,-0.17,367,103,92,113,0.66,,,,,,,51.0,29.0,83.0,,,,110.0,99.0,122.0,7.5,-0.47,No,-0.44,14,13,16,13,11,15,1,1,1,1,0,1,-0.34,83,82,85,0.76,,,,,,,61.0,46.0,77.0,,,,87.0,85.0,88.0,27857,21,19,23,-1.98,
2,3,24003,Maryland,Anne Arundel,,6278,6793,6551,7035,-0.44,,,,,3685.0,2833.0,4538.0,,7685.0,7100.0,8271.0,,4061.0,3401.0,4722.0,,7046.0,6743.0,7350.0,,13,12,15,-0.89,3.2,2.9,3.6,-0.88,3.7,3.4,4.0,-0.92,,8,7,8,-0.37,,,,9.0,8.0,10.0,12.0,11.0,13.0,7.0,6.0,7.0,6.0,6.0,7.0,14,12,16,-0.78,31,29.0,33.0,-0.59,8.7,-0.66,20,19.0,22.0,-0.93,92,-0.78,20,19,21,1.25,72,220,33,29,36,0.32,2316,404.0,-0.24,13,12,13,-0.52,,,,3.0,2.0,5.0,18.0,17.0,20.0,35.0,31.0,38.0,9.0,8.0,9.0,23727,5,4,6,-0.84,391,68,1473,0.02,403,70,1437,0.07,1180,204,491,0.38,3924,0.11,,1424.0,5705.0,2909.0,3765.0,41,0.26,46.0,30.0,42.0,31.0,41.0,54,-0.59,38.0,54.0,42.0,45.0,56.0,363794,393584,92,92,93,-0.71,116098,156216,74,72,76,-0.93,9712,317780,3.1,-0.82,8,5,11,-0.84,15.0,3.0,17.0,10,4,176599,47905,3.7,-0.96,26336,127619,21,19,22,-0.57,468,8.1,0.59,2551,453,0.34,2303,80,77,84,-0.16,,,,21.0,14.0,31.0,66.0,59.0,73.0,35.0,27.0,43.0,93.0,89.0,98.0,8.2,0.32,No,-0.44,13,12,14,11,11,12,2,1,2,0,0,1,-0.68,80,79,80,0.23,69.0,58.0,81.0,75.0,72.0,79.0,81.0,81.0,81.0,71.0,69.0,74.0,82.0,81.0,83.0,301362,48,47,50,0.31,
3,4,24005,Maryland,Baltimore,,10993,8127,7899,8354,0.22,,,,,3353.0,2722.0,3984.0,,9580.0,9137.0,10023.0,,4443.0,3758.0,5128.0,,8132.0,7829.0,8436.0,,17,15,19,0.22,3.6,3.3,3.9,-0.27,4.1,3.8,4.5,-0.08,,9,9,9,0.54,7.0,3.0,10.0,9.0,8.0,9.0,13.0,12.0,13.0,7.0,7.0,8.0,7.0,7.0,7.0,15,13,17,-0.41,31,30.0,33.0,-0.49,8.4,-0.25,23,22.0,25.0,-0.28,96,-1.09,17,16,17,-0.25,87,342,25,23,28,-0.61,4463,536.1,0.27,14,13,14,-0.42,17.0,9.0,31.0,4.0,3.0,5.0,18.0,17.0,19.0,41.0,37.0,45.0,9.0,8.0,9.0,41775,6,6,7,-0.09,829,100,999,-0.84,644,78,1285,-0.17,2703,327,306,-0.77,4938,1.18,2149.0,1682.0,6290.0,4589.0,4622.0,45,-0.89,38.0,32.0,45.0,33.0,46.0,55,-0.79,59.0,55.0,45.0,47.0,58.0,526291,575300,91,91,92,-0.44,152234,214934,71,69,72,-0.6,16917,457555,3.7,-0.25,11,8,14,-0.46,10.0,12.0,15.0,22,6,144043,34514,4.2,-0.22,49527,178170,28,26,29,0.22,696,8.4,0.5,4245,511,0.55,4291,103,100,106,0.69,77.0,37.0,142.0,28.0,22.0,35.0,86.0,81.0,92.0,43.0,35.0,52.0,126.0,122.0,131.0,8.7,0.89,No,-0.44,16,15,16,14,13,14,2,1,2,1,0,1,0.05,79,79,80,0.12,64.0,49.0,79.0,73.0,71.0,75.0,72.0,71.0,73.0,66.0,63.0,69.0,83.0,83.0,84.0,415113,47,46,48,0.21,
4,5,24009,Maryland,Calvert,,985,6842,6193,7490,-0.41,,,,,,,,,7303.0,5530.0,9076.0,,,,,,7068.0,6317.0,7820.0,,13,11,15,-1.03,3.4,3.1,3.7,-0.58,3.8,3.4,4.1,-0.86,,7,6,7,-1.03,,,,12.0,7.0,18.0,13.0,10.0,15.0,7.0,4.0,11.0,6.0,5.0,6.0,15,12,17,-0.52,31,29.0,34.0,-0.51,8.8,-0.79,21,19.0,24.0,-0.75,61,1.34,19,19,20,0.98,14,46,30,23,38,0.03,269,294.0,-0.66,10,9,11,-0.9,,,,,,,17.0,13.0,23.0,12.0,7.0,20.0,9.0,7.0,10.0,2990,4,3,4,-1.5,47,51,1958,0.47,47,51,1969,0.61,182,197,508,0.45,3898,0.08,,,5241.0,,3573.0,40,0.55,,37.0,46.0,35.0,39.0,54,-0.59,,50.0,42.0,55.0,56.0,59230,62546,95,94,95,-1.38,15410,21168,73,68,77,-0.79,1596,50484,3.2,-0.73,7,5,9,-0.97,,7.0,8.0,10,5,182000,52926,3.4,-1.33,3786,21315,18,14,22,-0.89,58,6.3,1.16,137,150,-0.75,377,82,74,91,-0.1,,,,,,,79.0,58.0,104.0,,,,87.0,78.0,97.0,8.2,0.32,No,-0.44,12,10,13,11,9,12,1,0,1,0,0,0,-1.06,83,81,84,0.68,,,,,,,82.0,70.0,93.0,74.0,66.0,81.0,81.0,77.0,84.0,46864,63,60,66,1.53,
5,6,24011,Maryland,Caroline,,475,8336,7204,9469,0.33,,,,,,,,,9394.0,6614.0,12949.0,,,,,,8337.0,7014.0,9660.0,,21,18,23,1.32,4.7,4.3,5.1,1.67,5.1,4.7,5.5,1.75,,7,6,8,-0.71,,,,,,,14.0,10.0,17.0,4.0,2.0,6.0,7.0,6.0,8.0,21,18,24,1.33,41,38.0,44.0,1.44,8.1,0.16,31,28.0,34.0,1.4,48,2.3,16,16,17,-0.31,11,39,28,20,37,-0.25,83,250.1,-0.83,21,17,24,0.54,,,,,,,33.0,23.0,44.0,46.0,30.0,66.0,15.0,12.0,19.0,2244,8,7,9,1.01,11,33,3028,0.95,19,57,1758,0.44,15,45,2227,1.87,3964,0.15,,,3803.0,,4058.0,39,0.84,,,42.0,,39.0,49,0.44,,27.0,42.0,35.0,50.0,19014,22557,84,83,86,1.66,3693,8187,45,40,50,1.89,658,18270,3.6,-0.33,20,13,26,0.67,,,19.0,37,16,114460,26003,4.4,0.13,2096,7824,27,22,31,0.11,34,10.2,-0.06,84,259,-0.36,163,99,83,114,0.51,,,,,,,75.0,44.0,118.0,,,,107.0,89.0,125.0,8.0,0.09,No,-0.44,18,15,21,17,14,19,2,1,2,1,0,1,0.72,84,82,86,0.84,,,,,,,89.0,83.0,95.0,,,,83.0,73.0,92.0,15729,49,45,53,0.35,
6,7,24013,Maryland,Carroll,,1960,6753,6284,7222,-0.46,,,,,,,,,8828.0,6439.0,11812.0,,,,,,6987.0,6475.0,7499.0,,13,11,15,-1.15,3.4,3.0,3.8,-0.59,4.0,3.6,4.4,-0.45,,7,6,7,-1.22,,,,9.0,6.0,13.0,12.0,8.0,15.0,5.0,3.0,7.0,6.0,6.0,7.0,15,12,18,-0.49,31,28.0,34.0,-0.59,8.9,-0.93,23,21.0,26.0,-0.3,87,-0.41,20,19,20,1.05,20,87,23,18,29,-0.92,407,242.6,-0.85,7,7,8,-1.23,,,,,,,17.0,11.0,24.0,20.0,14.0,27.0,7.0,6.0,7.0,5817,4,4,5,-1.28,75,45,2246,0.64,99,59,1701,0.38,377,224,447,0.2,4461,0.68,,2065.0,6856.0,3149.0,4416.0,43,-0.31,,29.0,46.0,34.0,43.0,56,-1.0,,54.0,50.0,51.0,57.0,108136,116607,93,92,93,-0.8,27196,37898,72,69,75,-0.69,2821,96466,2.9,-0.94,6,4,8,-1.16,,10.0,4.0,19,5,166156,43426,3.8,-0.74,5292,36592,14,12,17,-1.25,164,9.7,0.08,314,188,-0.61,729,87,80,93,0.07,,,,,,,104.0,72.0,145.0,,,,90.0,84.0,97.0,8.8,1.0,Yes,2.19,11,10,12,10,9,11,1,1,1,1,0,1,-1.33,85,84,86,1.0,,,,74.0,64.0,84.0,75.0,67.0,84.0,70.0,62.0,77.0,81.0,79.0,82.0,86353,59,57,61,1.18,
7,8,24015,Maryland,Cecil,,1671,9841,9130,10552,1.08,,,,,,,,,11852.0,9144.0,14560.0,,,,,,9993.0,9217.0,10768.0,,17,15,20,0.24,4.2,3.8,4.6,0.81,4.5,4.1,4.9,0.61,,8,7,8,-0.47,,,,10.0,5.0,15.0,13.0,10.0,15.0,9.0,6.0,12.0,7.0,6.0,8.0,19,16,22,0.57,36,33.0,39.0,0.39,8.1,0.16,28,25.0,30.0,0.67,81,-0.04,18,17,19,0.3,28,113,25,20,30,-0.69,336,327.0,-0.53,19,17,21,0.3,,,,,,,31.0,24.0,39.0,18.0,11.0,26.0,18.0,16.0,20.0,4611,5,5,6,-0.61,43,42,2391,0.72,42,41,2449,0.9,223,217,461,0.26,4326,0.54,,,6213.0,,4312.0,39,0.84,,43.0,45.0,38.0,39.0,51,0.03,,44.0,37.0,40.0,51.0,63484,70955,89,88,91,0.15,14523,25050,58,54,62,0.64,2130,53453,4.0,0.01,14,9,18,-0.12,,17.0,28.0,30,9,135114,32354,4.2,-0.21,5445,23266,23,20,27,-0.27,67,6.5,1.1,436,427,0.25,576,112,103,121,1.02,,,,,,,122.0,90.0,163.0,53.0,27.0,92.0,117.0,107.0,127.0,7.8,-0.13,No,-0.44,13,12,15,12,10,13,2,1,3,0,0,0,-0.61,83,81,85,0.72,,,,73.0,49.0,96.0,87.0,80.0,94.0,70.0,43.0,96.0,82.0,79.0,84.0,50376,46,43,48,0.08,
8,9,24017,Maryland,Charles,,1813,7310,6812,7807,-0.18,,,,,,,,,7374.0,6674.0,8074.0,,3725.0,2476.0,5384.0,,8145.0,7271.0,9018.0,,15,14,17,-0.38,3.2,2.9,3.4,-0.95,3.7,3.4,3.9,-1.02,,9,9,10,0.85,,,,11.0,9.0,14.0,12.0,11.0,13.0,7.0,5.0,8.0,7.0,6.0,7.0,15,13,17,-0.48,40,37.0,43.0,1.24,8.7,-0.66,25,23.0,27.0,0.08,77,0.23,16,15,16,-0.72,43,119,36,32,41,0.76,1103,690.7,0.86,14,13,16,-0.32,,,,,,,15.0,14.0,17.0,28.0,22.0,36.0,11.0,9.0,13.0,6632,5,4,5,-0.97,63,39,2564,0.79,118,72,1384,-0.01,275,168,594,0.71,4241,0.45,,2325.0,5352.0,2351.0,3751.0,36,1.7,,25.0,40.0,27.0,34.0,45,1.26,,43.0,38.0,37.0,49.0,99522,106804,93,92,94,-0.93,27074,41008,66,63,69,-0.13,3194,88102,3.6,-0.31,9,6,12,-0.7,,6.0,10.0,2,8,167000,47371,3.5,-1.2,10759,38448,28,25,31,0.24,91,5.6,1.38,557,357,0.0,558,70,64,76,-0.56,,,,,,,51.0,44.0,58.0,54.0,35.0,79.0,99.0,88.0,110.0,8.3,0.43,No,-0.44,14,13,16,13,12,14,1,1,2,1,0,1,-0.34,82,81,83,0.57,,,,73.0,65.0,82.0,80.0,77.0,83.0,74.0,66.0,82.0,84.0,82.0,86.0,81351,66,63,69,1.77,
9,10,24019,Maryland,Dorchester,,582,10435,9048,11823,1.37,,,,,,,,,15584.0,12484.0,18683.0,,,,,,9091.0,7440.0,10743.0,,21,19,23,1.34,4.3,3.9,4.6,0.99,4.7,4.3,5.0,0.93,,10,9,12,1.54,,,,,,,17.0,14.0,19.0,6.0,3.0,8.0,7.0,6.0,8.0,21,18,23,1.16,40,37.0,44.0,1.32,7.4,1.11,32,30.0,35.0,1.78,68,0.91,15,14,15,-1.04,5,25,20,10,32,-1.3,206,640.5,0.67,34,29,38,2.25,,,,,,,54.0,43.0,64.0,43.0,24.0,69.0,21.0,16.0,27.0,1843,7,6,9,0.61,15,47,2133,0.58,22,69,1451,0.09,82,257,389,-0.11,3345,-0.5,,,4348.0,,3046.0,46,-1.17,,,43.0,,46.0,51,0.03,,38.0,41.0,49.0,55.0,20274,23058,88,86,90,0.6,3866,7121,54,49,60,1.0,746,15684,4.8,0.71,24,15,33,1.27,,,32.0,31,18,100306,21551,4.7,0.51,2745,6762,41,33,48,1.63,34,10.6,-0.2,148,456,0.36,137,85,71,100,0.01,,,,,,,86.0,62.0,117.0,,,,91.0,74.0,112.0,7.9,-0.02,Yes,2.19,18,16,20,16,14,19,1,0,1,1,0,2,0.71,78,75,81,-0.05,,,,,,,71.0,62.0,80.0,50.0,37.0,63.0,81.0,78.0,83.0,14461,42,37,46,-0.23,
