,Unnamed: 0,FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low.1,95% CI - High.1,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths.1,Child Mortality Rate,95% CI - Low.2,95% CI - High.2,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths.2,Infant Mortality Rate,95% CI - Low.3,95% CI - High.3,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low.4,95% CI - High.4,% Frequent Mental Distress,95% CI - Low.5,95% CI - High.5,% Adults with Diabetes,95% CI - Low.6,95% CI - High.6,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low.7,95% CI - High.7,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low.8,95% CI - High.8,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low.9,95% CI - High.9,# Uninsured (Adults),% Uninsured (Adults),95% CI - Low (Adults),95% CI - High (Adults),# Uninsured (Children),% Uninsured (Children),95% CI - Low (Children),95% CI - High (Children),Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low.10,95% CI - High.10,Average Grade Performance (Math),Average Grade Performance (Asian) (Math),Average Grade Performance (Black) (Math),Average Grade Performance (Hispanic) (Math),Average Grade Performance (White) (Math),Average Grade Performance (Reading),Average Grade Performance (Asian) (Reading),Average Grade Performance (Black) (Reading),Average Grade Performance (Hispanic) (Reading),Average Grade Performance (White) (Reading),Median Household Income,95% CI - Low.11,95% CI - High.11,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low.12,95% CI - High.12,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths.3,Suicide Rate (Age-Adjusted),95% CI - Low.13,95% CI - High.13,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low.14,95% CI - High.14,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low.15,95% CI - High.15,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low.16,95% CI - High.16,% Broadband Access,Numerator,95% CI - Low.17,95% CI - High.17,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low.18,95% CI - High.18,% Female,# Rural,% Rural,Unnamed: 277
0,1,25000,Massachusetts,,80.6,80.6,80.7,88.8,85.0,92.6,90.6,89.9,91.2,80.7,80.3,81.0,85.7,85.2,86.3,80.4,80.3,80.4,68473,279,277,282,256.0,209.0,303.0,115.0,109.0,121.0,329.0,320.0,338.0,250.0,243.0,257.0,285.0,283.0,288.0,1761.0,32.0,31.0,34.0,,,,23.0,19.0,28.0,59.0,52.0,65.0,38.0,34.0,42.0,26.0,24.0,28.0,2007.0,4.0,4.0,4.0,,,,3.0,2.0,3.0,9.0,8.0,10.0,4.0,4.0,4.0,3.0,3.0,3.0,11,10,12,13,12,14,9,,,20739,349,617380,9,268099,4,6619.0,32.0,31.0,33.0,49.0,31.0,74.0,3.0,2.0,4.0,24.0,22.0,27.0,32.0,29.0,34.0,35.0,34.0,36.0,2738.0,6.0,6.0,6.0,,,,2.0,2.0,3.0,6.0,5.0,7.0,5.0,4.0,5.0,6.0,6.0,6.0,34,33,36,167383,4,4,4,16951,1,1,1,138,726,74726,88,4.0,4.0,4.0,3.4,3.8,2.9,2.9,3.5,3.2,3.9,2.7,2.8,3.4,85700,84555,86845,37587.0,30806.0,44368.0,96556.0,94342.0,98770.0,51842.0,50394.0,53290.0,44885.0,43896.0,45874.0,88656.0,87969.0,89343.0,,62,47,2.0,2.0,2.0,,,,1.0,0.0,1.0,10.0,9.0,11.0,5.0,4.0,6.0,1.0,1.0,1.0,3340.0,9.0,9.0,9.0,10.0,,,,4.0,3.0,5.0,5.0,4.0,6.0,5.0,4.0,6.0,10.0,10.0,11.0,1222.0,4.0,3.0,4.0,,,,1.0,0.0,1.0,10.0,8.0,11.0,5.0,4.0,5.0,3.0,3.0,3.0,,,,,1434,1632765,62,62,63,402350,16,16,16,86,2261257,86,87,6892503,19.6,17.0,505757,7.3,34310,0.5,497517,7.2,7410,0.1,854907,12.4,4897800,71.1,296635,5,4.0,5.0,51.5,525640,8.0,
1,2,25001,Massachusetts,Barnstable,79.7,79.3,80.1,,,,88.3,83.4,93.1,80.6,77.5,83.7,93.3,83.9,102.7,79.8,79.3,80.2,2816,303,289,316,640.0,410.0,952.0,,,,314.0,244.0,399.0,191.0,131.0,269.0,304.0,289.0,318.0,33.0,26.0,18.0,36.0,,,,,,,,,,,,,,,,45.0,4.0,3.0,6.0,,,,,,,,,,,,,,,,10,9,12,13,12,15,10,8.0,12.0,766,400,16240,8,20979,10,244.0,38.0,33.0,43.0,,,,,,,,,,,,,,,,118.0,8.0,6.0,9.0,,,,,,,,,,,,,,,,33,31,34,5067,4,4,5,437,1,1,2,103,973,2075,90,6.0,3.0,8.0,3.4,,2.9,,3.5,3.3,,2.5,,3.3,82686,78120,87252,,,,105313.0,52449.0,158177.0,53854.0,38717.0,68991.0,72241.0,64445.0,80037.0,75535.0,73175.0,77895.0,,55,35,1.0,1.0,2.0,,,,,,,,,,,,,,,,160.0,15.0,12.0,17.0,15.0,,,,,,,,,,,,,,,,38.0,4.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,382,75287,80,79,81,14716,16,15,17,88,82758,87,89,212990,14.8,31.4,6787,3.2,1594,0.7,3388,1.6,134,0.1,7235,3.4,190648,89.5,1840,1,1.0,1.0,52.2,16155,7.5,
2,3,25003,Massachusetts,Berkshire,78.2,77.7,78.8,,,,87.5,82.6,92.4,69.8,66.8,72.8,93.8,77.8,109.8,78.3,77.7,78.9,1837,365,347,384,,,,,,,789.0,630.0,975.0,216.0,142.0,314.0,363.0,343.0,382.0,36.0,42.0,29.0,58.0,,,,,,,,,,,,,,,,39.0,5.0,4.0,7.0,,,,,,,,,,,,,,,,12,11,13,15,13,16,11,8.0,13.0,188,168,12660,10,7836,6,138.0,37.0,30.0,43.0,,,,,,,,,,,,,,,,93.0,10.0,8.0,13.0,,,,,,,,,,,,,,,,38,36,40,2909,4,3,5,317,1,1,2,125,801,1207,87,5.0,2.0,7.0,3.2,,3.0,2.9,3.3,3.0,,2.6,2.7,3.1,58805,54966,62644,,,,55192.0,22365.0,88019.0,27606.0,22033.0,33179.0,54554.0,44798.0,64310.0,60815.0,58058.0,63572.0,,61,37,2.0,1.0,4.0,,,,,,,,,,,,,,,,90.0,14.0,11.0,17.0,14.0,,,,,,,,,,,,,,,,41.0,6.0,5.0,9.0,,,,,,,,,,,,,,,,,,,,409,37928,69,68,70,7932,15,14,16,82,45160,81,84,124944,16.7,23.9,4011,3.2,408,0.3,2082,1.7,64,0.1,6422,5.1,109523,87.7,1501,1,1.0,2.0,51.7,41457,31.6,
3,4,25005,Massachusetts,Bristol,78.7,78.5,79.0,,,,91.8,86.2,97.4,83.6,81.2,86.0,84.7,81.9,87.5,78.9,78.7,79.2,7096,350,342,359,461.0,289.0,699.0,148.0,113.0,191.0,307.0,266.0,349.0,311.0,273.0,348.0,347.0,338.0,356.0,141.0,30.0,25.0,35.0,,,,,,,40.0,22.0,67.0,41.0,27.0,59.0,24.0,19.0,30.0,150.0,4.0,3.0,4.0,,,,,,,,,,4.0,3.0,6.0,3.0,3.0,4.0,13,11,14,16,14,17,10,9.0,11.0,1412,293,55450,10,24684,5,789.0,47.0,43.0,50.0,,,,,,,37.0,25.0,52.0,33.0,24.0,44.0,48.0,44.0,51.0,319.0,8.0,7.0,9.0,,,,,,,8.0,4.0,13.0,6.0,3.0,9.0,9.0,8.0,10.0,36,35,38,15564,5,4,5,1587,1,1,2,99,1011,6125,88,5.0,4.0,6.0,3.3,3.6,3.1,3.0,3.4,3.2,3.5,2.9,2.9,3.3,69857,66041,73673,32708.0,19026.0,46390.0,80000.0,63274.0,96726.0,48483.0,43697.0,53269.0,36338.0,33022.0,39654.0,73455.0,71770.0,75140.0,,49,42,2.0,2.0,2.0,,,,,,,9.0,5.0,14.0,6.0,3.0,9.0,1.0,1.0,2.0,345.0,12.0,11.0,13.0,12.0,,,,,,,9.0,5.0,15.0,,,,12.0,11.0,14.0,118.0,4.0,3.0,5.0,,,,,,,9.0,5.0,16.0,4.0,2.0,8.0,4.0,3.0,5.0,,,,,829,136508,63,62,63,31619,15,14,16,82,178899,82,83,565217,20.5,17.3,28256,5.0,3556,0.6,13957,2.5,729,0.1,48568,8.6,462342,81.8,20715,4,4.0,4.0,51.6,53920,9.8,
4,5,25007,Massachusetts,Dukes,81.9,80.5,83.4,,,,,,,,,,,,,,,,162,214,177,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,12,13,12,15,8,5.0,12.0,42,277,1260,7,227,1,10.0,19.0,9.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,32,36,454,5,4,5,54,2,1,2,98,1020,165,91,,,,3.5,,,,,3.3,,,,,76036,66141,85931,,,,,,,41020.0,14512.0,67528.0,,,,81337.0,70478.0,92196.0,,48,16,,,,,,,,,,,,,,,,,,,13.0,14.0,7.0,25.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,4893,72,71,74,1295,20,16,25,79,5347,75,83,17332,17.8,25.1,748,4.3,222,1.3,189,1.1,11,0.1,671,3.9,15063,86.9,105,1,0.0,1.0,50.7,6453,39.0,
5,6,25009,Massachusetts,Essex,80.2,80.0,80.4,,,,89.0,86.8,91.2,80.0,78.4,81.6,86.4,85.2,87.6,79.8,79.6,80.0,8066,284,278,291,,,,121.0,98.0,144.0,319.0,279.0,359.0,220.0,206.0,235.0,299.0,292.0,307.0,214.0,32.0,28.0,36.0,,,,,,,67.0,43.0,101.0,42.0,34.0,51.0,24.0,19.0,29.0,251.0,4.0,4.0,5.0,,,,,,,9.0,5.0,13.0,5.0,4.0,5.0,4.0,3.0,4.0,11,10,12,13,11,14,10,8.0,11.0,1928,287,62120,8,32797,4,907.0,38.0,36.0,41.0,,,,,,,30.0,20.0,43.0,33.0,28.0,38.0,42.0,39.0,45.0,257.0,5.0,4.0,5.0,,,,,,,6.0,3.0,10.0,4.0,3.0,6.0,5.0,4.0,6.0,35,33,36,22548,5,4,5,2214,1,1,2,102,978,9002,87,6.0,5.0,7.0,3.3,3.7,3.2,3.0,3.5,3.2,3.7,2.8,2.8,3.4,83253,79931,86575,,,,106486.0,95385.0,117587.0,54869.0,47980.0,61758.0,47612.0,45105.0,50119.0,88379.0,86644.0,90114.0,,55,53,2.0,2.0,2.0,,,,,,,6.0,3.0,10.0,4.0,3.0,6.0,1.0,1.0,1.0,376.0,9.0,8.0,10.0,10.0,,,,,,,7.0,3.0,13.0,5.0,4.0,8.0,11.0,10.0,12.0,127.0,3.0,3.0,4.0,,,,,,,,,,4.0,3.0,6.0,3.0,2.0,4.0,,,,,1173,188804,64,63,65,50376,18,17,18,86,252501,85,86,789034,21.1,17.6,27570,3.5,6976,0.9,30826,3.9,1337,0.2,175535,22.2,544403,69.0,48486,7,6.0,7.0,51.8,31540,4.2,
6,7,25011,Massachusetts,Franklin,80.3,79.6,80.9,,,,,,,,,,85.7,75.4,96.0,82.4,81.6,83.1,885,287,266,308,,,,,,,,,,,,,,,,21.0,43.0,26.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,10,13,14,13,16,11,8.0,14.0,85,136,6320,9,4056,6,55.0,26.0,20.0,34.0,,,,,,,,,,,,,,,,44.0,9.0,6.0,12.0,,,,,,,,,,,,,,,,34,32,35,1513,4,3,4,165,1,1,2,101,988,797,82,,,,3.2,,,,,3.0,,,2.4,3.1,60143,57411,62875,63071.0,39039.0,87103.0,63262.0,31900.0,94624.0,,,,32813.0,20202.0,45424.0,62171.0,59788.0,64554.0,,65,32,,,,,,,,,,,,,,,,,,,45.0,10.0,7.0,14.0,13.0,,,,,,,,,,,,,,,,16.0,5.0,3.0,7.0,,,,,,,,,,,,,,,,,,,,246,20979,69,67,70,4299,14,13,16,82,25043,81,83,70180,17.1,23.1,935,1.3,351,0.5,1198,1.7,123,0.2,2947,4.2,63428,90.4,619,1,1.0,1.0,51.3,38849,54.4,
7,8,25013,Massachusetts,Hampden,78.2,77.9,78.5,,,,87.7,84.5,90.9,75.4,74.3,76.5,79.6,78.8,80.5,78.5,78.1,78.8,5978,366,357,376,,,,152.0,114.0,199.0,505.0,463.0,546.0,366.0,343.0,389.0,355.0,344.0,367.0,165.0,41.0,34.0,47.0,,,,,,,77.0,52.0,109.0,42.0,33.0,54.0,32.0,24.0,41.0,188.0,5.0,4.0,6.0,,,,,,,12.0,8.0,16.0,5.0,4.0,6.0,4.0,3.0,5.0,14,12,15,15,14,17,10,9.0,11.0,1964,492,54310,12,22863,5,573.0,41.0,37.0,44.0,,,,,,,38.0,28.0,51.0,38.0,31.0,44.0,43.0,39.0,48.0,282.0,9.0,8.0,10.0,,,,,,,8.0,5.0,12.0,9.0,7.0,11.0,9.0,8.0,10.0,36,35,38,13151,5,4,5,1365,1,1,2,164,609,5680,83,8.0,7.0,10.0,3.1,3.3,3.1,2.9,3.4,3.0,3.4,2.7,2.6,3.3,59918,57235,62601,24338.0,2882.0,45794.0,61934.0,54368.0,69500.0,40902.0,37332.0,44472.0,27151.0,25490.0,28812.0,67601.0,66212.0,68990.0,,55,44,5.0,4.0,6.0,,,,,,,20.0,15.0,26.0,8.0,7.0,11.0,1.0,1.0,2.0,250.0,10.0,9.0,11.0,11.0,,,,,,,5.0,2.0,9.0,7.0,5.0,10.0,12.0,10.0,14.0,164.0,7.0,6.0,8.0,,,,,,,16.0,11.0,22.0,9.0,7.0,12.0,5.0,4.0,6.0,,,,,855,109668,61,60,62,29374,17,16,18,79,141605,78,80,466372,21.3,17.3,36151,7.8,3631,0.8,12750,2.7,848,0.2,122812,26.3,286521,61.4,22065,5,5.0,5.0,51.7,39725,8.6,
8,9,25015,Massachusetts,Hampshire,80.6,80.1,81.1,,,,93.2,85.1,101.2,78.9,75.3,82.6,88.4,79.6,97.2,80.6,80.1,81.1,1511,270,255,285,,,,123.0,76.0,187.0,318.0,216.0,451.0,260.0,188.0,351.0,270.0,254.0,285.0,41.0,43.0,31.0,58.0,,,,,,,,,,,,,,,,40.0,5.0,4.0,7.0,,,,,,,,,,,,,,,,11,10,12,14,12,15,7,5.0,9.0,198,136,13190,8,15777,10,126.0,26.0,21.0,31.0,,,,,,,,,,39.0,20.0,71.0,27.0,22.0,32.0,53.0,5.0,4.0,6.0,,,,,,,,,,,,,,,,34,32,35,2907,3,3,4,315,1,1,2,106,941,1434,91,1.0,1.0,2.0,3.3,,2.9,2.9,3.4,3.1,,2.5,2.6,3.2,74142,69577,78707,,,,62423.0,47583.0,77263.0,48526.0,36469.0,60583.0,44485.0,21794.0,67176.0,73808.0,71578.0,76038.0,,50,37,,,,,,,,,,,,,,,,,,,85.0,11.0,8.0,13.0,11.0,,,,,,,,,,,,,,,,34.0,4.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,396,39341,67,66,68,8148,14,13,15,88,51689,87,89,160830,14.4,17.9,4704,2.9,486,0.3,9168,5.7,113,0.1,9430,5.9,134005,83.3,1600,1,1.0,1.0,53.4,43383,27.4,
9,10,25017,Massachusetts,Middlesex,82.4,82.2,82.5,96.0,82.9,109.1,90.5,89.5,91.6,82.7,81.7,83.6,89.6,87.7,91.5,81.9,81.7,82.0,12374,223,219,227,,,,109.0,100.0,118.0,274.0,253.0,295.0,210.0,193.0,227.0,233.0,228.0,238.0,329.0,26.0,23.0,29.0,,,,20.0,14.0,28.0,53.0,39.0,70.0,25.0,18.0,34.0,23.0,20.0,26.0,365.0,3.0,3.0,3.0,,,,3.0,2.0,4.0,7.0,5.0,9.0,2.0,2.0,3.0,3.0,2.0,3.0,10,8,11,11,10,13,7,6.0,8.0,3915,282,105610,7,44993,3,1074.0,22.0,21.0,24.0,,,,2.0,1.0,3.0,15.0,11.0,20.0,22.0,18.0,27.0,26.0,25.0,28.0,393.0,4.0,3.0,4.0,,,,1.0,1.0,2.0,4.0,2.0,6.0,3.0,2.0,5.0,4.0,3.0,4.0,33,31,34,33361,3,3,4,3683,1,1,1,99,1014,17087,92,3.0,2.0,4.0,3.5,3.8,3.1,3.0,3.6,3.5,4.0,2.8,2.8,3.6,106543,103630,109456,51019.0,28340.0,73698.0,114730.0,110946.0,118514.0,60474.0,54779.0,66169.0,62586.0,58423.0,66749.0,107819.0,106477.0,109161.0,,51,33,1.0,1.0,1.0,,,,1.0,0.0,1.0,3.0,2.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,734.0,8.0,8.0,9.0,9.0,,,,5.0,3.0,6.0,6.0,4.0,9.0,5.0,3.0,7.0,10.0,9.0,10.0,137.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,1426,376888,62,62,63,83028,14,14,14,90,541887,89,90,1611699,19.6,15.7,84822,5.3,4264,0.3,210784,13.1,1071,0.1,134172,8.3,1147646,71.2,61673,4,4.0,4.0,51.0,45509,3.0,
