,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,25000,Massachusetts,,,68473,5610,5546,5673,,6445.0,4867.0,8024.0,,2162.0,2016.0,2308.0,,6920.0,6662.0,7177.0,,5339.0,5169.0,5510.0,,5715.0,5637.0,5792.0,,14,12,15,,3.5,3.2,3.8,,4.3,4.0,4.6,,,8,7,8,,7.0,6.0,9.0,8.0,8.0,8.0,11.0,10.0,11.0,8.0,8.0,9.0,7.0,6.0,7.0,14,12,15,,25,,,,9.2,,20,,,,94,,24,22,25,,536,1772,30,29,31,,30460,444.0,,9,9,9,,11.0,8.0,15.0,2.0,2.0,3.0,13.0,12.0,13.0,31.0,30.0,32.0,4.0,4.0,4.0,182533,3,3,4,,7133,103,968,,7410,108,930,,45080,654,153,,4764,,5591.0,2711.0,5917.0,5871.0,4724.0,54,,41.0,44.0,46.0,48.0,55.0,55,,41.0,53.0,42,43.0,57,4339739,4781683,91,91,91,,1331794,1809852,74,73.0,74.0,,110880,3817437,2.9,,12,11,13,,23.0,10.0,26,31.0,6,162958,30184,5.4,,335584,1365151,25,24,25,,6516,9.4,,26038.0,384.0,,23345,68,67,69,,83.0,64.0,106.0,17.0,15.0,19.0,52.0,49.0,55.0,51.0,49.0,53.0,76.0,75.0,77.0,6.0,,,,17,17,18,16,15,16,2,2,2,1,1,1,,70,70,70,,58.0,53.0,64.0,55.0,54.0,56.0,61.0,60.0,62.0,57.0,56.0,58.0,74.0,74.0,74.0,3545037,44,44,45,,
1,2,25001,Massachusetts,Barnstable,,2816,7072,6585,7558,0.85,,,,,,,,,6719.0,4778.0,9186.0,,,,,,7144.0,6616.0,7672.0,,13,11,15,-0.67,3.4,3.0,3.9,-0.67,4.5,4.1,5.0,-0.09,,7,6,7,-0.42,,,,9.0,6.0,12.0,10.0,8.0,13.0,6.0,4.0,7.0,6.0,6.0,7.0,16,13,19,-0.01,23,19.0,26.0,-1.07,8.5,0.55,17,15.0,20.0,-1.02,92,-0.01,26,25,28,1.61,25,67,37,31,43,0.77,546,255.8,-0.79,7,6,8,-0.49,,,,,,,23.0,16.0,31.0,29.0,21.0,39.0,5.0,4.0,6.0,5461,4,3,4,0.49,200,94,1067,-0.04,228,107,934,-0.3,1129,530,189,0.82,2994,-1.48,3823.0,1734.0,4412.0,4691.0,2937.0,55,-0.71,31.0,48.0,42.0,49.0,55.0,55,-0.11,33.0,51.0,40,44.0,56,158330,165855,95,95,96,-1.06,24971,37872,66,63.0,69.0,0.68,4448,115437,3.9,0.94,10,7,14,-0.4,16.0,10.0,5,8.0,9,141251,32440,4.4,-0.79,7065,32481,22,19,25,-0.47,270,12.7,-0.3,856.0,400.0,0.05,1028,96,90,102,1.68,291.0,183.0,441.0,,,,58.0,36.0,88.0,67.0,42.0,102.0,95.0,89.0,101.0,5.9,-0.27,No,-0.72,17,16,18,16,15,17,1,1,1,1,0,1,-0.24,80,79,81,0.64,,,,76.0,64.0,89.0,74.0,66.0,82.0,68.0,61.0,75.0,81.0,80.0,82.0,103802,27,25,29,-0.49,
2,3,25003,Massachusetts,Berkshire,,1837,8223,7582,8863,1.77,,,,,,,,,15952.0,11984.0,20815.0,,,,,,8168.0,7483.0,8852.0,,15,13,18,0.38,3.9,3.5,4.4,0.61,5.0,4.5,5.5,1.15,,8,7,9,0.96,,,,7.0,3.0,10.0,15.0,12.0,19.0,9.0,7.0,11.0,8.0,7.0,8.0,19,15,22,1.12,27,23.0,31.0,0.3,8.3,1.04,20,17.0,23.0,-0.16,85,1.07,26,25,27,1.55,18,65,28,21,34,-0.11,253,200.3,-1.11,12,10,13,0.44,,,,,,,19.0,13.0,26.0,16.0,11.0,22.0,11.0,10.0,12.0,3197,3,3,4,0.03,149,118,848,-0.76,113,90,1106,0.11,1131,905,110,-1.16,3715,-0.74,,,6625.0,1166.0,3673.0,51,0.39,,32.0,37.0,34.0,51.0,53,0.51,,42.0,38,38.0,53,84612,92628,91,91,92,0.09,17319,26389,66,62.0,69.0,0.72,2285,65320,3.5,0.39,16,11,22,0.77,14.0,20.0,20,44.0,10,118575,24519,4.8,-0.24,6119,21002,29,25,33,0.56,136,10.8,0.14,493.0,420.0,0.17,609,96,89,104,1.69,,,,,,,97.0,61.0,145.0,,,,97.0,89.0,105.0,6.7,0.51,No,-0.72,15,13,16,14,13,15,1,0,1,1,0,1,-1.01,76,75,78,0.32,,,,57.0,45.0,69.0,49.0,37.0,62.0,57.0,49.0,66.0,79.0,78.0,81.0,62726,24,22,26,-0.67,
3,4,25005,Massachusetts,Bristol,,7096,7181,6929,7433,0.94,,,,,3195.0,2272.0,4368.0,,6317.0,5314.0,7320.0,,6279.0,5490.0,7068.0,,7134.0,6855.0,7414.0,,16,14,19,0.79,4.2,3.7,4.7,1.32,4.9,4.5,5.4,0.87,,8,8,8,0.88,,,,9.0,8.0,11.0,10.0,9.0,11.0,9.0,9.0,10.0,7.0,7.0,8.0,19,16,23,1.51,29,26.0,31.0,0.95,8.5,0.55,24,22.0,26.0,1.56,95,-0.68,24,23,25,0.04,65,219,30,26,33,0.07,2078,370.1,-0.14,13,13,14,0.8,,,,5.0,3.0,8.0,22.0,18.0,25.0,45.0,42.0,49.0,8.0,8.0,9.0,16990,4,3,4,0.44,298,53,1893,1.16,388,69,1457,0.65,2875,509,197,0.94,6086,1.71,1514.0,1882.0,4978.0,6500.0,6128.0,58,-1.53,,48.0,49.0,58.0,58.0,54,0.2,45.0,50.0,40,48.0,55,336619,392815,86,85,86,1.67,89324,140104,64,62.0,65.0,0.98,11327,304217,3.7,0.74,16,13,19,0.72,19.0,6.0,27,43.0,10,136161,25260,5.4,0.39,33913,116242,29,27,31,0.57,452,8.0,0.77,2798.0,504.0,0.66,2413,86,83,89,0.95,138.0,69.0,247.0,21.0,12.0,35.0,63.0,51.0,78.0,59.0,49.0,69.0,88.0,84.0,92.0,5.5,-0.66,Yes,1.29,17,16,18,15,15,16,1,1,2,1,1,1,-0.32,82,81,82,0.82,,,,74.0,69.0,79.0,73.0,69.0,77.0,66.0,62.0,70.0,84.0,83.0,85.0,279379,40,38,41,0.29,
4,5,25007,Massachusetts,Dukes,,162,5255,3782,6728,-0.6,,,,,,,,,,,,,,,,,,,,,12,11,15,-0.76,3.4,3.0,3.8,-0.66,4.3,3.9,4.7,-0.73,,5,4,6,-2.02,,,,,,,,,,,,,,,,15,12,19,-0.38,28,21.0,37.0,0.85,9.3,-1.38,19,13.0,25.0,-0.41,88,0.55,26,24,27,1.1,2,4,50,22,71,1.94,86,496.4,0.58,5,3,8,-0.89,,,,,,,,,,,,,,,,502,4,3,5,0.65,9,52,1928,1.19,12,69,1444,0.63,122,704,142,-0.09,3011,-1.47,,,3024.0,,2863.0,48,1.22,56.0,,51.0,33.0,48.0,55,-0.11,41.0,60.0,54,51.0,55,12162,12824,95,92,97,-0.88,2412,3718,65,52.0,78.0,0.82,395,9650,4.1,1.31,12,7,16,-0.12,25.0,,23,,7,145288,30877,4.7,-0.39,744,3159,24,14,33,-0.22,42,24.2,-2.95,,,0.0,65,75,58,96,0.17,,,,,,,,,,,,,,,,5.5,-0.66,No,-0.72,24,19,30,21,16,27,1,0,3,3,1,6,2.07,74,69,79,0.05,,,,,,,,,,,,,,,,8372,3,2,4,-1.98,
5,6,25009,Massachusetts,Essex,,8066,5943,5744,6142,-0.05,,,,,2047.0,1539.0,2554.0,,6661.0,5617.0,7705.0,,5088.0,4711.0,5465.0,,6231.0,5980.0,6483.0,,15,13,17,0.24,3.4,3.1,3.8,-0.68,4.3,3.9,4.7,-0.68,,8,8,8,0.61,,,,9.0,8.0,10.0,10.0,9.0,11.0,8.0,8.0,9.0,7.0,7.0,7.0,15,12,18,-0.53,26,24.0,28.0,0.1,8.8,-0.17,19,17.0,21.0,-0.34,96,-0.72,25,24,26,0.56,37,155,24,20,28,-0.46,3396,432.5,0.21,12,12,13,0.57,,,,4.0,2.0,5.0,9.0,7.0,11.0,34.0,32.0,36.0,4.0,3.0,4.0,24519,4,3,4,0.59,584,74,1354,0.54,726,92,1087,0.07,4688,594,168,0.48,5203,0.8,,2611.0,5010.0,6096.0,5240.0,55,-0.71,,43.0,50.0,47.0,56.0,55,-0.11,42.0,50.0,42,29.0,57,484719,542962,89,89,90,0.67,127226,189824,67,66.0,68.0,0.53,12779,429871,3.0,-0.42,12,10,14,-0.06,17.0,12.0,24,26.0,7,162300,29812,5.4,0.45,45026,167481,27,25,28,0.25,698,8.8,0.58,2831.0,368.0,-0.13,2873,73,71,76,0.04,,,,16.0,10.0,23.0,52.0,41.0,65.0,50.0,45.0,55.0,84.0,80.0,87.0,5.3,-0.86,Yes,1.29,19,18,19,16,16,17,2,2,2,1,1,1,0.29,75,74,75,0.14,,,,74.0,70.0,78.0,70.0,68.0,73.0,64.0,62.0,66.0,81.0,80.0,81.0,400638,44,42,45,0.54,
6,7,25011,Massachusetts,Franklin,,885,6028,5317,6739,0.02,,,,,,,,,,,,,,,,,,,,,15,13,17,0.25,3.9,3.5,4.4,0.61,5.0,4.5,5.4,1.1,,6,5,7,-1.19,,,,,,,,,,6.0,3.0,8.0,6.0,5.0,7.0,18,15,22,0.93,28,24.0,34.0,0.85,8.6,0.31,20,16.0,24.0,0.09,79,2.12,23,22,24,-0.47,9,40,23,14,31,-0.59,141,199.4,-1.12,12,10,14,0.5,,,,,,,,,,26.0,16.0,41.0,10.0,9.0,12.0,1664,3,3,4,-0.62,48,68,1478,0.72,47,67,1493,0.69,589,839,119,-0.81,4440,0.01,,,,10073.0,4426.0,50,0.67,,36.0,47.0,50.0,50.0,56,-0.42,,43.0,36,57.0,56,49574,53146,93,93,94,-0.45,11469,16541,69,65.0,73.0,0.21,1111,41318,2.7,-0.85,12,7,16,-0.14,,23.0,48,19.0,9,113270,25777,4.4,-0.74,3033,12283,25,21,28,-0.06,89,12.5,-0.27,246.0,407.0,0.09,264,75,66,84,0.15,,,,,,,,,,,,,,,,5.4,-0.76,No,-0.72,16,14,17,15,13,16,1,1,1,1,0,1,-0.62,76,74,78,0.31,,,,,,,,,,64.0,55.0,74.0,77.0,75.0,78.0,35848,37,34,39,0.11,
7,8,25013,Massachusetts,Hampden,,5978,7737,7444,8030,1.38,,,,,,,,,11195.0,9950.0,12440.0,,7681.0,7142.0,8221.0,,7434.0,7056.0,7812.0,,19,17,21,2.09,4.5,4.1,4.9,2.03,5.0,4.7,5.4,1.23,,8,8,9,1.12,,,,9.0,7.0,10.0,12.0,11.0,13.0,9.0,9.0,10.0,7.0,6.0,7.0,19,16,21,1.07,31,28.0,33.0,1.54,8.1,1.52,26,24.0,29.0,2.17,95,-0.62,23,22,24,-0.64,59,184,32,28,36,0.29,2873,611.5,1.23,20,19,21,2.23,,,,8.0,5.0,12.0,21.0,18.0,24.0,43.0,41.0,45.0,7.0,6.0,7.0,14372,4,3,4,0.58,316,67,1489,0.74,420,90,1110,0.12,4597,986,101,-1.58,5199,0.8,,3630.0,6126.0,8511.0,4854.0,50,0.67,,40.0,47.0,47.0,51.0,53,0.51,33.0,56.0,40,43.0,55,272375,317450,86,85,86,1.64,69021,115569,60,58.0,62.0,1.53,9423,230190,4.1,1.31,20,16,24,1.51,14.0,25.0,35,44.0,9,116633,20749,5.6,0.65,37975,101285,37,35,40,1.73,410,8.7,0.61,2840.0,616.0,1.32,1896,81,77,84,0.58,,,,19.0,10.0,34.0,76.0,63.0,88.0,66.0,60.0,73.0,89.0,84.0,94.0,6.4,0.22,Yes,1.29,19,18,20,16,16,17,2,2,3,1,1,2,0.31,82,81,83,0.85,,,,73.0,69.0,77.0,75.0,72.0,79.0,71.0,69.0,73.0,86.0,86.0,87.0,214519,29,28,30,-0.36,
8,9,25015,Massachusetts,Hampshire,,1511,5695,5176,6213,-0.24,,,,,,,,,,,,,6651.0,4632.0,9249.0,,5530.0,4984.0,6076.0,,14,12,16,-0.29,3.8,3.4,4.2,0.24,5.0,4.6,5.5,1.23,,7,6,7,-0.46,,,,6.0,4.0,8.0,16.0,11.0,21.0,8.0,6.0,11.0,6.0,5.0,7.0,16,13,19,-0.03,21,18.0,25.0,-1.43,8.3,1.04,17,14.0,20.0,-1.23,85,1.1,23,22,24,-0.91,11,41,27,19,35,-0.19,517,319.5,-0.43,2,2,2,-1.5,,,,,,,,,,9.0,6.0,12.0,2.0,1.0,2.0,3183,3,2,3,-0.95,223,138,724,-1.36,118,73,1363,0.53,1543,959,104,-1.44,3622,-0.83,,1349.0,5248.0,4172.0,3588.0,53,-0.16,,43.0,37.0,47.0,54.0,60,-1.67,,59.0,44,54.0,60,94876,100133,95,94,95,-0.86,25849,33166,78,74.0,82.0,-0.97,2458,90937,2.7,-0.83,10,7,13,-0.44,,10.0,42,17.0,9,136512,29170,4.7,-0.42,5483,23639,23,20,27,-0.27,154,9.5,0.42,424.0,271.0,-0.7,457,57,51,62,-1.15,,,,25.0,13.0,44.0,37.0,18.0,69.0,61.0,41.0,89.0,59.0,53.0,64.0,5.0,-1.15,No,-0.72,16,15,18,15,14,17,1,1,1,0,0,1,-0.45,72,71,73,-0.08,,,,43.0,35.0,51.0,66.0,57.0,75.0,62.0,55.0,69.0,73.0,71.0,74.0,81876,35,33,37,0.03,
9,10,25017,Massachusetts,Middlesex,,12374,4231,4119,4342,-1.41,,,,,2034.0,1815.0,2254.0,,5480.0,4937.0,6023.0,,4408.0,4026.0,4789.0,,4455.0,4319.0,4592.0,,11,9,13,-1.35,3.3,2.9,3.7,-1.03,4.0,3.7,4.4,-1.41,,7,7,7,0.02,8.0,3.0,12.0,8.0,8.0,9.0,10.0,9.0,10.0,7.0,7.0,8.0,6.0,6.0,7.0,12,10,15,-1.72,22,20.0,23.0,-1.36,9.2,-1.14,17,16.0,19.0,-0.94,98,-1.06,23,22,23,-0.78,60,236,25,22,29,-0.32,5411,337.6,-0.33,5,5,5,-0.95,,,,3.0,3.0,4.0,5.0,4.0,6.0,23.0,21.0,24.0,2.0,2.0,3.0,36691,3,3,3,-1.06,2037,126,793,-1.0,1645,102,980,-0.18,9705,602,166,0.44,4393,-0.04,,3187.0,5133.0,5244.0,4427.0,54,-0.43,58.0,44.0,42.0,46.0,56.0,58,-1.05,37.0,56.0,45,48.0,59,1049635,1123325,93,93,94,-0.49,373753,456785,82,81.0,83.0,-1.5,21488,929265,2.3,-1.44,7,6,9,-0.97,48.0,7.0,21,23.0,4,197345,40274,4.9,-0.17,56911,318262,18,17,19,-1.01,1555,9.6,0.4,2923.0,185.0,-1.21,4324,54,52,56,-1.34,,,,15.0,12.0,17.0,33.0,28.0,38.0,36.0,31.0,41.0,64.0,62.0,66.0,7.3,1.09,Yes,1.29,16,16,16,14,14,15,2,2,2,1,1,1,-0.56,67,67,68,-0.56,46.0,35.0,58.0,63.0,62.0,64.0,65.0,62.0,67.0,61.0,59.0,63.0,77.0,76.0,77.0,874163,49,48,50,0.88,
