,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,26000,Michigan,,,132221.0,7535.0,7472.0,7598.0,,9105.0,8331.0,9878.0,,2542.0,2343.0,2741.0,,12660.0,12451.0,12869.0,,6149.0,5909.0,6390.0,,6770.0,6701.0,6839.0,,18,17,19,,4.3,4.1,4.5,,4.7,4.5,5.0,,,9.0,8.0,9.0,,8.0,7.0,9.0,9.0,8.0,9.0,14.0,14.0,14.0,7.0,7.0,8.0,7.0,7.0,7.0,20,19,21,,32,,,,7.0,,23,,,,85,,21,20,22,,1471,5022,29,29.0,30.0,,50592.0,507.8,,18.0,18.0,19.0,,23.0,21.0,25.0,3.0,3.0,4.0,38.0,38.0,39.0,27.0,26.0,28.0,13.0,13.0,14.0,526541,7,6,7,,7895.0,79.0,1266,,7637,76,1308,,28098.0,281.0,355,,4789,,5806.0,3544.0,8857.0,4995.0,4302.0,44,,40.0,37.0,39.0,37.0,45.0,47,,35.0,51.0,35.0,42.0,49.0,6187290,6813480,91,91,91,,1655242,2433145,68,68,68,,201446,4937272,4.1,,18,17,18,,29.0,13.0,41.0,29.0,14.0,112621,24291,4.6,,557304,2171229,26,25,26,,9789,9.8,,43960.0,443.0,,38663,78,77,78,,99.0,89.0,110.0,20.0,17.0,22.0,97.0,95.0,99.0,54.0,51.0,57.0,77.0,77.0,78.0,7.1,,,,15,15,15,13,13,13,2,2,2,1,1,1,,82,82,82,,76.0,70.0,82.0,77.0,76.0,78.0,76.0,75.0,76.0,74.0,73.0,75.0,84.0,84.0,84.0,4561536,34,33,34,,
1,2,26001,Michigan,Alcona,,224.0,9624.0,6556.0,12692.0,1.38,,,,,,,,,,,,,,,,,,,,,20,17,22,0.28,4.8,4.3,5.3,0.35,5.1,4.7,5.6,0.66,,8.0,6.0,11.0,0.87,,,,,,,,,,,,,,,,24,21,27,0.5,32,22.0,43.0,-0.44,7.3,0.45,23,15.0,32.0,-0.44,72,0.27,21,20,22,-0.32,4,8,50,32.0,65.0,1.17,15.0,144.9,-0.93,21.0,14.0,30.0,-0.09,,,,,,,,,,,,,,,,575,9,7,10,1.01,6.0,58.0,1727,0.02,1,10,10405,1.66,6.0,58.0,1734,1.24,2794,-1.0,,,,,,49,-0.74,,,,,,30,1.29,,,,,,7607,8514,89,88,91,0.46,848,1473,58,51,64,0.4,244,3879,6.3,0.95,27,18,36,1.42,,,,,,77477,18699,4.1,-0.05,282,1341,21,15,27,-0.12,14,13.5,-0.8,13.0,120.0,-1.07,58,112,85,145,1.88,,,,,,,,,,,,,,,,6.6,-0.44,No,-0.32,11,9,12,10,8,11,1,0,2,0,0,1,-1.1,80,77,83,-0.22,,,,,,,,,,,,,,,,3272,36,32,40,0.63,
2,3,26003,Michigan,Alger,,116.0,5397.0,3446.0,7347.0,-1.4,,,,,,,,,,,,,,,,,,,,,20,17,22,0.3,4.7,4.3,5.1,0.09,4.8,4.4,5.2,-0.42,,7.0,4.0,9.0,-0.52,,,,,,,,,,,,,,,,24,21,27,0.45,36,25.0,48.0,0.41,6.8,1.26,25,16.0,36.0,0.15,94,-1.19,23,22,24,1.33,0,10,0,0.0,20.0,-2.26,7.0,76.7,-1.31,16.0,10.0,23.0,-0.79,,,,,,,,,,,,,,,,442,8,6,9,0.14,7.0,77.0,1300,-0.57,4,44,2277,0.46,6.0,66.0,1518,1.17,2125,-1.63,,,,,,51,-1.21,60.0,,,,50.0,32,1.08,33.0,,,,32.0,6285,6992,90,88,92,0.27,708,1958,36,30,43,2.78,249,3198,7.8,2.01,17,11,24,-0.2,,,,40.0,9.0,83444,20486,4.1,-0.2,181,1385,13,8,18,-1.7,10,11.0,0.03,20.0,207.0,-0.52,37,81,57,111,-0.01,,,,,,,,,,,,,,,,5.4,-1.34,No,-0.32,11,8,13,9,7,12,1,0,3,1,0,1,-1.05,70,64,75,-2.99,,,,,,,,,,,,,,,,3049,33,25,40,0.29,
3,4,26005,Michigan,Allegan,,1393.0,6343.0,5813.0,6873.0,-0.78,,,,,,,,,,,,,6270.0,4459.0,8571.0,,6108.0,5560.0,6655.0,,17,15,20,-0.7,4.3,3.9,4.7,-0.79,4.7,4.3,5.2,-0.71,,7.0,6.0,7.0,-0.6,,,,,,,11.0,7.0,16.0,6.0,4.0,8.0,7.0,6.0,7.0,21,18,24,-0.62,32,28.0,37.0,-0.44,8.8,-2.0,21,17.0,25.0,-0.84,68,0.48,23,22,24,1.74,18,71,25,19.0,32.0,-0.52,382.0,328.0,0.11,20.0,18.0,21.0,-0.25,,,,,,,27.0,16.0,43.0,34.0,27.0,41.0,18.0,16.0,19.0,5326,5,5,6,-1.39,26.0,22.0,4513,1.13,41,35,2880,0.78,109.0,92.0,1083,0.93,4143,0.29,,,7037.0,2221.0,4117.0,42,0.91,,,31.0,38.0,43.0,43,-0.12,36.0,44.0,33.0,34.0,43.0,71606,78753,91,90,92,-0.1,16072,27574,58,55,61,0.32,1950,62275,3.1,-1.31,16,13,19,-0.44,23.0,,25.0,37.0,12.0,109261,29380,3.7,-1.0,5364,28245,19,16,22,-0.53,129,11.0,0.03,280.0,246.0,-0.27,385,66,60,73,-0.88,,,,,,,,,,51.0,32.0,78.0,66.0,59.0,73.0,7.0,-0.14,Yes,3.04,11,10,12,9,8,10,2,2,3,0,0,1,-1.07,86,84,87,1.36,,,,62.0,49.0,74.0,82.0,74.0,90.0,68.0,53.0,83.0,84.0,82.0,86.0,54724,35,33,37,0.5,
4,5,26007,Michigan,Alpena,,439.0,7680.0,6375.0,8984.0,0.1,,,,,,,,,,,,,,,,,,,,,19,16,22,-0.07,4.8,4.3,5.3,0.41,5.0,4.6,5.4,0.24,,8.0,6.0,9.0,0.15,,,,,,,,,,,,,,,,24,20,27,0.38,35,27.0,43.0,0.2,7.8,-0.37,25,18.0,33.0,0.06,75,0.05,22,21,23,0.95,4,8,50,32.0,65.0,1.17,59.0,207.3,-0.57,22.0,18.0,26.0,0.15,,,,,,,,,,,,,,,,1345,6,5,7,-0.8,19.0,67.0,1493,-0.26,26,92,1093,-1.21,96.0,338.0,296,-1.3,3609,-0.22,,,,,,47,-0.26,,,,,,46,-0.44,29.0,,,54.0,46.0,19434,21155,92,91,93,-0.43,4066,6019,68,62,73,-0.72,628,13266,4.7,-0.16,18,12,25,-0.04,,,,38.0,15.0,87511,18747,4.7,1.13,1283,5330,24,19,30,0.48,39,13.8,-0.87,88.0,304.0,0.11,118,83,68,98,0.12,,,,,,,,,,,,,,,,6.6,-0.44,No,-0.32,11,9,13,10,8,12,1,0,1,1,0,1,-0.98,85,83,88,1.24,,,,,,,,,,,,,,,,12375,13,11,15,-1.69,
5,6,26009,Michigan,Antrim,,316.0,5760.0,4545.0,6976.0,-1.17,,,,,,,,,,,,,,,,,,,,,17,15,20,-0.7,4.4,3.9,4.8,-0.62,4.7,4.3,5.2,-0.67,,7.0,5.0,8.0,-0.66,,,,,,,,,,,,,,,,22,18,26,-0.17,32,25.0,40.0,-0.42,8.3,-1.19,28,21.0,36.0,0.77,67,0.53,22,20,23,0.49,5,17,29,16.0,43.0,-0.25,47.0,201.8,-0.61,19.0,15.0,24.0,-0.33,,,,,,,,,,,,,,,,1407,8,7,10,0.7,15.0,64.0,1558,-0.18,8,34,2916,0.8,8.0,34.0,2916,1.45,3405,-0.42,29412.0,,,,3235.0,43,0.68,,,,,,49,-0.77,50.0,,,39.0,49.0,16000,17456,92,90,93,-0.36,2467,4158,59,54,64,0.2,530,10321,5.1,0.12,17,11,23,-0.29,,,13.0,24.0,16.0,100406,25716,3.9,-0.58,919,4241,22,16,28,0.0,24,10.3,0.26,28.0,118.0,-1.09,83,71,57,88,-0.56,,,,,,,,,,,,,,,,6.4,-0.59,No,-0.32,12,11,14,11,9,12,2,1,2,0,0,1,-0.37,77,75,79,-1.05,,,,,,,,,,,,,,,,9835,35,32,39,0.54,
6,7,26011,Michigan,Arenac,,266.0,7645.0,5967.0,9322.0,0.08,,,,,,,,,,,,,,,,,,,,,21,19,24,0.95,5.1,4.7,5.6,1.14,5.3,4.9,5.7,1.24,,8.0,6.0,10.0,0.59,,,,,,,,,,,,,,,,26,22,29,1.02,39,29.0,50.0,0.94,6.5,1.75,28,19.0,37.0,0.65,70,0.38,21,20,22,0.14,3,18,17,6.0,31.0,-1.12,40.0,265.9,-0.24,24.0,19.0,31.0,0.41,,,,,,,,,,,,,,,,911,8,7,9,0.58,5.0,33.0,3008,0.78,7,47,2126,0.35,32.0,215.0,465,-0.18,5273,1.36,,,33333.0,,5280.0,48,-0.5,,,,,,42,-0.01,,,,41.0,42.0,10078,11390,88,87,90,0.77,1608,2993,54,49,58,0.82,399,6062,6.6,1.15,26,18,33,1.23,22.0,,,41.0,25.0,80055,20476,3.9,-0.57,670,2721,25,19,31,0.59,11,7.3,1.23,38.0,256.0,-0.2,67,89,69,113,0.49,,,,,,,,,,,,,,,,7.1,-0.06,No,-0.32,11,10,13,10,8,11,1,1,2,0,0,1,-0.88,84,82,86,0.8,,,,,,,,,,,,,,,,5779,38,35,41,0.8,
7,8,26013,Michigan,Baraga,,152.0,8840.0,6297.0,11382.0,0.86,,,,,,,,,,,,,,,,,,,,,22,20,24,1.2,5.0,4.6,5.4,0.9,5.1,4.7,5.4,0.44,,6.0,4.0,9.0,-0.86,10.0,5.0,16.0,,,,,,,,,,5.0,3.0,7.0,26,23,29,1.21,30,19.0,44.0,-0.78,7.4,0.28,23,14.0,34.0,-0.48,26,3.0,20,19,21,-0.63,4,6,67,49.0,78.0,2.31,14.0,165.9,-0.81,19.0,13.0,27.0,-0.29,33.0,17.0,56.0,,,,,,,,,,16.0,9.0,25.0,446,8,7,9,0.45,8.0,96.0,1040,-1.17,6,73,1368,-0.56,12.0,146.0,684,0.44,1969,-1.78,1245.0,,,,1446.0,43,0.68,41.0,,,,43.0,29,1.4,14.0,,,,30.0,5569,6242,89,87,92,0.51,927,1987,47,39,54,1.61,204,3219,6.3,0.98,18,11,25,-0.06,36.0,,,36.0,16.0,87218,19364,4.5,0.76,395,1508,26,19,33,0.9,5,6.0,1.65,16.0,333.0,0.3,41,98,70,132,1.01,,,,,,,,,,,,,,,,4.8,-1.79,No,-0.32,13,10,16,11,8,13,2,0,4,1,0,1,-0.06,82,77,87,0.37,81.0,65.0,97.0,,,,,,,,,,81.0,77.0,86.0,2891,20,16,24,-1.0,
8,9,26015,Michigan,Barry,,733.0,5920.0,5217.0,6623.0,-1.06,,,,,,,,,,,,,,,,,,,,,17,14,19,-0.96,4.3,3.8,4.7,-0.86,4.5,4.1,5.0,-1.33,,6.0,6.0,7.0,-0.74,,,,,,,,,,7.0,3.0,11.0,6.0,6.0,7.0,22,18,25,-0.31,34,27.0,40.0,-0.1,8.8,-2.0,29,23.0,36.0,0.95,57,1.22,22,21,23,0.75,5,43,12,5.0,20.0,-1.47,160.0,264.1,-0.25,17.0,15.0,19.0,-0.64,,,,,,,,,,26.0,15.0,42.0,17.0,14.0,19.0,2900,6,5,7,-1.1,21.0,34.0,2912,0.75,17,28,3621,1.03,75.0,122.0,821,0.66,4106,0.25,,,,,,45,0.21,,,,,,46,-0.44,,,,48.0,46.0,39246,42357,93,92,94,-0.72,7900,13685,58,53,62,0.38,1027,31665,3.2,-1.23,11,7,15,-1.33,,,39.0,8.0,9.0,109709,30796,3.6,-1.35,2521,13469,19,15,23,-0.58,62,10.1,0.31,99.0,171.0,-0.75,204,67,58,77,-0.8,,,,,,,,,,,,,,,,8.9,1.28,No,-0.32,11,10,13,9,8,11,2,1,2,1,0,2,-0.88,85,84,87,1.18,,,,,,,,,,,,,,,,28672,45,42,49,1.58,
9,10,26017,Michigan,Bay,,1664.0,8069.0,7427.0,8711.0,0.35,,,,,,,,,14941.0,9928.0,21594.0,,7898.0,5469.0,11036.0,,7917.0,7247.0,8588.0,,19,17,22,0.09,4.7,4.3,5.2,0.24,5.2,4.8,5.6,0.83,,7.0,7.0,8.0,-0.2,,,,,,,12.0,7.0,16.0,7.0,4.0,9.0,7.0,6.0,8.0,21,18,24,-0.46,36,31.0,41.0,0.37,7.4,0.28,26,21.0,30.0,0.2,86,-0.65,22,21,24,1.16,17,50,34,27.0,41.0,0.07,412.0,395.2,0.49,20.0,18.0,22.0,-0.19,,,,,,,32.0,20.0,47.0,29.0,22.0,39.0,19.0,17.0,21.0,5382,7,6,8,-0.59,40.0,38.0,2598,0.62,70,68,1473,-0.38,271.0,263.0,381,-0.62,6355,2.39,,,7003.0,4961.0,6352.0,46,-0.03,,46.0,44.0,41.0,47.0,50,-0.88,52.0,70.0,38.0,48.0,50.0,67522,74642,90,89,91,0.07,16386,24410,67,64,71,-0.67,2334,50038,4.7,-0.21,20,14,25,0.2,,,74.0,45.0,22.0,93212,22051,4.2,0.14,5998,21257,28,25,32,1.3,103,9.9,0.38,348.0,328.0,0.26,412,79,71,87,-0.11,,,,,,,123.0,69.0,203.0,47.0,25.0,80.0,80.0,72.0,88.0,6.8,-0.29,No,-0.32,12,11,13,11,9,12,1,1,1,1,1,1,-0.68,86,85,88,1.5,,,,,,,84.0,79.0,89.0,70.0,61.0,78.0,86.0,84.0,87.0,46051,25,24,27,-0.45,
