,Unnamed: 0,FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low.1,95% CI - High.1,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths.1,Child Mortality Rate,95% CI - Low.2,95% CI - High.2,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths.2,Infant Mortality Rate,95% CI - Low.3,95% CI - High.3,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low.4,95% CI - High.4,% Frequent Mental Distress,95% CI - Low.5,95% CI - High.5,% Adults with Diabetes,95% CI - Low.6,95% CI - High.6,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low.7,95% CI - High.7,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low.8,95% CI - High.8,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low.9,95% CI - High.9,# Uninsured (Adults),% Uninsured (Adults),95% CI - Low (Adults),95% CI - High (Adults),# Uninsured (Children),% Uninsured (Children),95% CI - Low (Children),95% CI - High (Children),Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low.10,95% CI - High.10,Average Grade Performance (Math),Average Grade Performance (Asian) (Math),Average Grade Performance (Black) (Math),Average Grade Performance (Hispanic) (Math),Average Grade Performance (White) (Math),Average Grade Performance (Reading),Average Grade Performance (Asian) (Reading),Average Grade Performance (Black) (Reading),Average Grade Performance (Hispanic) (Reading),Average Grade Performance (White) (Reading),Median Household Income,95% CI - Low.11,95% CI - High.11,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low.12,95% CI - High.12,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths.3,Suicide Rate (Age-Adjusted),95% CI - Low.13,95% CI - High.13,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low.14,95% CI - High.14,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low.15,95% CI - High.15,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low.16,95% CI - High.16,% Broadband Access,Numerator,95% CI - Low.17,95% CI - High.17,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low.18,95% CI - High.18,% Female,# Rural,% Rural,Unnamed: 277
0,1,27000,Minnesota,,80.9,80.8,81.0,68.4,67.5,69.3,84.8,84.1,85.4,78.4,77.9,79.0,89.4,88.0,90.9,81.2,81.1,81.3,52125,267,264,269,817.0,774.0,859.0,207.0,196.0,218.0,423.0,409.0,438.0,185.0,173.0,198.0,256.0,253.0,258.0,2184.0,42.0,40.0,44.0,121.0,98.0,144.0,48.0,41.0,55.0,76.0,69.0,83.0,45.0,39.0,51.0,33.0,31.0,35.0,2389.0,5.0,5.0,5.0,13.0,10.0,15.0,7.0,6.0,7.0,12.0,11.0,13.0,5.0,4.0,6.0,4.0,3.0,4.0,9,9,10,11,10,12,9,,,8575.0,184.0,461200,8,298129,6,2161.0,13.0,12.0,13.0,84.0,71.0,96.0,3.0,2.0,5.0,24.0,21.0,27.0,8.0,6.0,10.0,12.0,11.0,12.0,2995.0,8.0,7.0,8.0,22.0,18.0,27.0,4.0,3.0,5.0,6.0,5.0,7.0,6.0,5.0,7.0,8.0,8.0,8.0,29,28,30,198068,6,6,6,43894,3,3,4,121.0,824,66490.0,84.0,4.0,4.0,4.0,3.1,3.0,2.5,2.6,3.4,3.3,3.1,2.5,2.6,3.6,74529,73566,75492,37973.0,35720.0,40226.0,79482.0,77466.0,81498.0,37811.0,36542.0,39080.0,51426.0,49906.0,52946.0,74945.0,74599.0,75291.0,36,61.0,48.0,2.0,2.0,2.0,15.0,12.0,19.0,2.0,1.0,2.0,13.0,12.0,14.0,3.0,2.0,4.0,1.0,1.0,1.0,3819.0,14.0,13.0,14.0,14.0,32.0,25.0,38.0,9.0,7.0,11.0,7.0,6.0,8.0,6.0,5.0,7.0,14.0,14.0,15.0,2209.0,8.0,8.0,8.0,18.0,14.0,23.0,4.0,3.0,5.0,14.0,12.0,15.0,4.0,3.0,5.0,8.0,7.0,8.0,,14181,586900,24.0,435,1564870,72,71,72,232840,11,11,11,85,1853379,85,85,5639632,23.1,16.3,382621,6.8,77479,1.4,292507,5.2,4214,0.1,315130,5.6,4460149,79.1,108710,2,2.0,2.0,50.2,1417614,26.7,
1,2,27001,Minnesota,Aitkin,78.7,77.1,80.4,,,,,,,,,,,,,,,,274,373,318,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,13,14,12,15,12,9.0,15.0,5.0,36.0,1820,12,1908,12,,,,,,,,,,,,,,,,,,,,19.0,17.0,10.0,27.0,,,,,,,,,,,,,,,,32,30,33,636,8,7,9,125,5,3,6,69.0,1444,134.0,88.0,,,,3.1,,,,,3.1,,,,,51936,48572,55300,35000.0,25280.0,44720.0,83958.0,48699.0,119217.0,,,,46033.0,21413.0,70653.0,49553.0,47300.0,51806.0,46,,31.0,,,,,,,,,,,,,,,,,,,21.0,34.0,20.0,55.0,27.0,,,,,,,,,,,,,,,,10.0,13.0,6.0,23.0,,,,,,,,,,,,,,,,,45,1300,35.0,49,6310,82,78,86,954,13,11,15,74,5664,71,76,15886,16.5,33.8,78,0.5,427,2.7,47,0.3,5,0.0,226,1.4,14907,93.8,26,0,0.0,1.0,49.5,16202,100.0,
2,3,27003,Minnesota,Anoka,81.5,81.1,81.8,72.2,68.1,76.3,85.0,82.5,87.5,79.4,76.7,82.0,101.3,79.6,122.9,81.5,81.2,81.8,3138,255,246,264,553.0,405.0,738.0,181.0,142.0,227.0,338.0,280.0,396.0,171.0,124.0,230.0,254.0,244.0,264.0,133.0,39.0,33.0,46.0,,,,65.0,36.0,110.0,63.0,41.0,94.0,44.0,22.0,78.0,32.0,25.0,40.0,120.0,4.0,3.0,5.0,,,,,,,11.0,7.0,15.0,,,,3.0,2.0,4.0,10,9,11,12,10,13,9,8.0,10.0,425.0,145.0,21030,6,21469,6,140.0,13.0,11.0,15.0,,,,,,,15.0,8.0,26.0,,,,14.0,11.0,16.0,177.0,7.0,6.0,8.0,,,,,,,9.0,5.0,15.0,,,,7.0,6.0,8.0,31,30,33,11089,5,4,6,2431,3,2,3,68.0,1463,4839.0,85.0,5.0,3.0,6.0,3.2,3.1,2.8,2.5,3.4,3.4,3.3,2.7,2.6,3.6,83363,80586,86140,64917.0,46653.0,83181.0,82547.0,73365.0,91729.0,56155.0,50090.0,62220.0,62000.0,56071.0,67929.0,85059.0,83834.0,86284.0,34,46.0,32.0,2.0,1.0,2.0,,,,,,,8.0,4.0,14.0,,,,1.0,1.0,2.0,240.0,13.0,12.0,15.0,14.0,,,,,,,,,,,,,,,,132.0,8.0,6.0,9.0,,,,,,,11.0,6.0,18.0,,,,8.0,6.0,9.0,,714,39200,18.0,358,102689,80,79,81,11030,9,8,9,89,114237,88,90,356921,23.7,14.5,25629,7.2,3179,0.9,17759,5.0,221,0.1,17370,4.9,284497,79.7,5913,2,2.0,2.0,50.0,44666,13.5,
3,4,27005,Minnesota,Becker,78.3,77.4,79.3,65.1,61.3,68.9,,,,,,,,,,79.7,78.7,80.6,456,345,311,379,891.0,692.0,1130.0,,,,,,,,,,302.0,268.0,335.0,14.0,42.0,23.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,13,13,11,14,8,7.0,10.0,12.0,42.0,3090,9,4071,13,,,,,,,,,,,,,,,,,,,,30.0,13.0,9.0,18.0,,,,,,,,,,,,,,,,31,30,32,1444,8,6,9,403,5,3,6,119.0,840,358.0,88.0,6.0,2.0,9.0,3.1,,,,,3.3,,,,,61311,58861,63761,33672.0,25017.0,42327.0,59125.0,39215.0,79035.0,,,,35000.0,25355.0,44645.0,62421.0,60485.0,64357.0,41,52.0,49.0,4.0,2.0,8.0,,,,,,,,,,,,,,,,33.0,20.0,14.0,29.0,19.0,,,,,,,,,,,,,,,,25.0,15.0,10.0,22.0,,,,,,,,,,,,,,,,,103,3900,26.0,67,10691,79,77,80,1411,11,9,12,80,10943,79,82,34423,24.1,21.1,195,0.6,2786,8.1,186,0.5,13,0.0,781,2.3,29624,86.1,57,0,0.0,0.0,50.1,24531,75.5,
4,5,27007,Minnesota,Beltrami,77.9,77.0,78.9,67.3,64.5,70.1,,,,,,,,,,81.4,80.5,82.3,548,375,343,408,897.0,774.0,1021.0,,,,,,,,,,251.0,222.0,281.0,42.0,89.0,64.0,121.0,146.0,94.0,217.0,,,,,,,,,,41.0,20.0,73.0,47.0,10.0,7.0,13.0,,,,,,,,,,,,,,,,13,12,14,14,13,15,10,9.0,12.0,23.0,60.0,5400,12,2891,7,26.0,18.0,12.0,27.0,,,,,,,,,,,,,,,,45.0,14.0,10.0,19.0,24.0,14.0,38.0,,,,,,,,,,11.0,7.0,16.0,31,29,32,2604,10,8,12,624,5,4,7,129.0,774,573.0,68.0,8.0,5.0,10.0,2.7,,,,,3.0,,,,,54638,48970,60306,31095.0,24748.0,37442.0,40625.0,35645.0,45605.0,23237.0,15171.0,31303.0,43971.0,31770.0,56172.0,55519.0,52180.0,58858.0,55,50.0,52.0,5.0,3.0,8.0,,,,,,,,,,,,,,,,43.0,20.0,14.0,27.0,19.0,46.0,27.0,73.0,,,,,,,,,,13.0,8.0,20.0,32.0,14.0,9.0,19.0,31.0,18.0,51.0,,,,,,,,,,9.0,5.0,15.0,,196,4900,40.0,100,11650,67,65,69,2388,14,12,16,80,13853,77,82,47188,25.1,16.5,375,0.8,10470,22.2,357,0.8,25,0.1,1216,2.6,33822,71.7,74,0,0.0,0.0,50.1,29816,67.1,
5,6,27009,Minnesota,Benton,78.8,78.0,79.6,,,,,,,,,,,,,,,,385,296,266,326,,,,,,,,,,,,,,,,17.0,42.0,24.0,67.0,,,,,,,,,,,,,,,,21.0,5.0,3.0,8.0,,,,,,,,,,,,,,,,11,10,12,13,11,14,11,9.0,14.0,37.0,112.0,3860,10,1831,5,,,,,,,,,,,,,,,,,,,,25.0,9.0,6.0,13.0,,,,,,,,,,,,,,,,32,31,34,1244,5,4,6,321,3,2,4,7.0,13630,442.0,91.0,,,,3.0,,2.1,2.6,3.2,3.3,,2.1,2.6,3.4,63395,55407,71383,,,,36458.0,14701.0,58215.0,,,,62934.0,39649.0,86219.0,60152.0,56149.0,64155.0,34,73.0,47.0,,,,,,,,,,,,,,,,,,,32.0,16.0,11.0,23.0,16.0,,,,,,,,,,,,,,,,26.0,13.0,8.0,19.0,,,,,,,,,,,,,,,,,117,4500,26.0,198,11085,67,65,69,1912,12,10,14,83,13675,81,85,40889,25.4,14.3,2088,5.1,261,0.6,468,1.1,11,0.0,1125,2.8,36214,88.6,259,1,0.0,1.0,50.0,15385,40.0,
6,7,27011,Minnesota,Big Stone,81.5,79.8,83.3,,,,,,,,,,,,,,,,52,234,170,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,13,13,12,14,11,7.0,17.0,,,510,10,664,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,30,33,173,7,5,8,45,4,3,6,140.0,713,,,,,,3.4,,,,,3.4,,,,,52692,45730,59654,,,,,,,,,,44375.0,38470.0,50280.0,52470.0,45383.0,59557.0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,500,20.0,4,1676,73,69,77,171,8,5,10,77,1773,74,80,4991,21.6,26.8,22,0.4,36,0.7,15,0.3,0,0.0,104,2.1,4766,95.5,21,0,0.0,1.0,50.0,5269,100.0,
7,8,27013,Minnesota,Blue Earth,80.8,80.1,81.5,,,,92.5,79.7,105.2,,,,,,,80.8,80.1,81.5,534,269,245,292,,,,,,,439.0,260.0,694.0,,,,266.0,242.0,290.0,25.0,47.0,31.0,70.0,,,,,,,,,,,,,,,,29.0,6.0,4.0,8.0,,,,,,,,,,,,,,,,11,10,12,12,11,14,8,6.0,10.0,27.0,47.0,5730,9,10132,16,14.0,7.0,4.0,12.0,,,,,,,,,,,,,,,,30.0,6.0,4.0,9.0,,,,,,,,,,,,,,,,29,27,30,2119,5,4,6,393,3,2,4,198.0,505,807.0,90.0,2.0,1.0,4.0,3.3,,2.6,3.0,3.5,3.5,,2.5,3.4,3.7,60408,54267,66549,41950.0,22573.0,61327.0,42083.0,30031.0,54135.0,24250.0,6085.0,42415.0,42992.0,20280.0,65704.0,60915.0,58433.0,63397.0,34,51.0,41.0,,,,,,,,,,,,,,,,,,,52.0,15.0,11.0,20.0,16.0,,,,,,,,,,,,,,,,26.0,8.0,5.0,11.0,,,,,,,,,,,,,,,,,221,5800,38.0,127,16179,62,61,63,3365,13,12,15,85,22156,83,86,67653,19.9,14.2,2838,4.2,285,0.4,1681,2.5,47,0.1,2664,3.9,58972,87.2,566,1,1.0,1.0,49.7,17215,26.9,
8,9,27015,Minnesota,Brown,79.8,78.7,81.0,,,,,,,,,,,,,,,,255,286,248,323,,,,,,,,,,,,,,,,14.0,63.0,35.0,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,11,12,11,13,11,8.0,15.0,11.0,52.0,1840,7,1572,6,,,,,,,,,,,,,,,,,,,,24.0,14.0,9.0,20.0,,,,,,,,,,,,,,,,33,31,34,664,5,4,6,152,3,2,4,76.0,1316,320.0,87.0,,,,3.1,,,,,3.3,,,,,62904,56338,69470,,,,,,,33633.0,32660.0,34606.0,39130.0,36836.0,41424.0,64113.0,59746.0,68480.0,37,67.0,29.0,,,,,,,,,,,,,,,,,,,20.0,17.0,10.0,27.0,16.0,,,,,,,,,,,,,,,,15.0,12.0,7.0,20.0,,,,,,,,,,,,,,,,,69,2600,27.0,168,8522,79,78,81,613,6,4,7,81,8736,79,83,25008,21.8,21.3,118,0.5,77,0.3,221,0.9,8,0.0,1161,4.6,23279,93.1,141,1,0.0,1.0,50.1,9047,34.9,
9,10,27017,Minnesota,Carlton,78.9,78.1,79.7,70.1,66.6,73.6,,,,,,,,,,79.4,78.6,80.3,426,318,286,349,775.0,570.0,1031.0,,,,,,,,,,296.0,265.0,328.0,12.0,37.0,19.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,13,13,11,14,11,9.0,14.0,15.0,50.0,3290,9,2638,7,14.0,13.0,7.0,22.0,,,,,,,,,,,,,,,,28.0,11.0,7.0,16.0,,,,,,,,,,,,,,,,32,30,33,1174,6,5,7,252,3,2,4,78.0,1281,455.0,88.0,7.0,3.0,10.0,3.4,,,,,3.5,,,,,65749,58931,72567,36875.0,28340.0,45410.0,,,,,,,51429.0,27201.0,75657.0,65169.0,62137.0,68201.0,33,,50.0,,,,,,,,,,,,,,,,,,,24.0,13.0,8.0,20.0,13.0,,,,,,,,,,,,,,,,15.0,8.0,5.0,14.0,,,,,,,,,,,,,,,,,92,3900,24.0,71,10865,80,79,81,1180,9,7,10,77,10444,75,78,35871,22.3,17.5,604,1.7,2159,6.0,201,0.6,7,0.0,653,1.8,31533,87.9,30,0,0.0,0.0,47.8,19521,55.2,
