,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,27000,Minnesota,,,52125.0,5314.0,5245.0,5383.0,,19697.0,18486.0,20907.0,,4124.0,3858.0,4390.0,,8780.0,8453.0,9107.0,,3857.0,3609.0,4105.0,,4920.0,4846.0,4993.0,,13,12,14,,3.1,3.0,3.3,,3.5,3.4,3.7,,,7,7.0,7.0,,9.0,8.0,9.0,8.0,8.0,8.0,10.0,9.0,10.0,7.0,7.0,7.0,6.0,6.0,6.0,16,15,16,,29,,,,8.9,,20,,,,87,,23,22,24,,567.0,1906.0,30.0,29.0,31.0,,23569,422.6,,13.0,13.0,13.0,,48.0,45.0,51.0,15.0,15.0,16.0,27.0,26.0,28.0,33.0,31.0,34.0,8.0,8.0,9.0,238150,5,5,5,,5022.0,89.0,1117,,4215.0,75.0,1338,,15068.0,267.0,374,,5826,,7730.0,3588.0,6882.0,4176.0,5796.0,45,,23.0,30.0,28.0,33.0,46.0,50,,39.0,47.0,37.0,41.0,51.0,3508509,3766900,93,93.0,93.0,,1093723,1453414,75,75.0,76.0,,100496,3109661,3.2,,11,10,12,,37.0,16.0,36.0,23.0,6.0,133582,31116,4.3,,258383,1290808,20,20,20,,7239,12.9,,12950,236,,18630,67,66,68,,196.0,181.0,211.0,27.0,24.0,29.0,63.0,59.0,66.0,30.0,27.0,32.0,70.0,69.0,71.0,6.3,,,,13,13,13,11,11,11,2,2,2,1,1,1,,78,78,78,,70.0,68.0,71.0,68.0,66.0,69.0,69.0,68.0,70.0,67.0,66.0,68.0,80.0,80.0,80.0,2907476,31,31,31,,
1,2,27001,Minnesota,Aitkin,,274.0,8507.0,6446.0,10568.0,1.15,,,,,,,,,,,,,,,,,,,,,16,14,18,0.73,3.8,3.4,4.2,0.82,4.0,3.7,4.4,1.03,,5,3.0,6.0,-1.33,,,,,,,,,,,,,,,,22,19,25,1.02,30,26.0,35.0,-0.75,7.5,1.42,27,22.0,32.0,0.78,50,1.21,22,21,23,-0.73,4.0,23.0,17.0,7.0,30.0,-0.76,25,157.9,-0.91,13.0,9.0,18.0,-0.42,,,,,,,,,,,,,,,,752,7,6,8,0.92,13.0,82.0,1223,-0.38,5.0,31.0,3177,1.12,11.0,69.0,1444,0.73,7004,0.75,,,,,,52,-0.78,,,,,,29,1.42,,,,,,11291,12375,91,90.0,92.0,0.33,1558,2514,62,56.0,68.0,0.85,450,7268,6.2,2.16,20,13,26,1.66,26.0,,,5.0,18.0,90917,22268,4.1,0.08,757,2639,29,22,35,1.78,26,16.4,0.23,18,112,-0.13,99,125,102,153,2.43,,,,,,,,,,,,,,,,5.7,-0.62,No,-0.51,15,13,17,12,10,14,2,1,3,2,1,2,1.43,81,79,82,0.52,,,,,,,,,,,,,,,,6174,36,33,39,0.75,
2,3,27003,Minnesota,Anoka,,3138.0,5087.0,4815.0,5359.0,-0.54,14104.0,9446.0,20256.0,,3716.0,2740.0,4927.0,,6928.0,5754.0,8101.0,,3516.0,2584.0,4676.0,,4967.0,4669.0,5264.0,,13,12,15,-0.56,3.5,3.2,3.9,0.08,3.8,3.4,4.1,-0.01,,6,6.0,6.0,0.12,8.0,4.0,12.0,7.0,6.0,9.0,9.0,8.0,10.0,7.0,6.0,8.0,6.0,5.0,6.0,18,15,21,-0.52,31,29.0,33.0,-0.45,9.0,-0.76,20,18.0,21.0,-1.06,95,-1.58,22,21,23,-0.78,34.0,94.0,36.0,31.0,41.0,0.31,1290,367.1,0.75,10.0,10.0,11.0,-0.74,18.0,10.0,30.0,10.0,7.0,14.0,22.0,19.0,26.0,22.0,18.0,26.0,8.0,7.0,8.0,13296,4,4,5,-0.94,179.0,51.0,1977,0.47,229.0,64.0,1559,-0.49,618.0,173.0,578,-0.23,7337,0.96,5938.0,338.0,9005.0,1327.0,7476.0,38,1.49,,35.0,27.0,45.0,39.0,48,-0.29,46.0,44.0,36.0,47.0,49.0,224251,238608,94,94.0,94.0,-0.62,67719,92596,73,71.0,75.0,-0.65,6115,199416,3.1,-0.85,8,6,10,-1.04,11.0,6.0,21.0,13.0,5.0,139110,40439,3.4,-1.47,16091,83847,19,18,21,0.03,244,6.9,1.65,438,127,0.02,988,56,53,60,-0.91,88.0,45.0,154.0,25.0,16.0,38.0,44.0,33.0,57.0,38.0,25.0,54.0,60.0,56.0,64.0,6.7,0.4,Yes,1.95,11,10,12,9,8,10,2,2,2,1,0,1,-0.3,82,82,83,0.95,66.0,36.0,97.0,78.0,74.0,82.0,74.0,68.0,81.0,65.0,61.0,69.0,83.0,82.0,84.0,188738,44,42,45,1.51,
3,4,27005,Minnesota,Becker,,456.0,7361.0,6267.0,8455.0,0.58,21498.0,15621.0,28860.0,,,,,,,,,,,,,,5934.0,4919.0,6948.0,,15,13,17,0.32,3.8,3.4,4.1,0.69,3.7,3.4,4.1,-0.14,,7,6.0,7.0,0.48,10.0,7.0,13.0,,,,,,,,,,5.0,5.0,6.0,20,17,23,0.31,32,29.0,36.0,-0.15,7.9,0.83,27,24.0,31.0,0.88,65,0.33,25,24,26,1.22,11.0,24.0,46.0,36.0,55.0,0.86,109,319.7,0.38,19.0,16.0,22.0,0.23,37.0,26.0,52.0,,,,,,,,,,15.0,12.0,18.0,1819,7,6,8,0.62,25.0,73.0,1375,-0.13,20.0,58.0,1721,-0.19,72.0,209.0,478,-0.57,7267,0.92,4382.0,,,,7392.0,48,-0.13,12.0,,,,53.0,51,-0.56,48.0,,,,52.0,21694,23293,93,92.0,94.0,-0.33,5027,7379,68,64.0,72.0,0.02,747,18833,4.0,0.02,15,10,20,0.54,37.0,,3.0,15.0,12.0,107541,26619,4.0,-0.02,1533,8287,18,15,22,-0.1,57,16.6,0.2,25,75,-0.5,154,91,76,105,0.74,221.0,151.0,313.0,,,,,,,,,,79.0,65.0,93.0,3.8,-2.56,Yes,1.95,13,11,15,11,9,12,1,1,2,1,1,2,0.58,79,78,81,0.13,78.0,72.0,83.0,,,,,,,,,,79.0,77.0,81.0,15938,26,24,28,-0.17,
4,5,27007,Minnesota,Beltrami,,548.0,9202.0,8142.0,10261.0,1.49,23316.0,19735.0,26897.0,,,,,,,,,,,,,,5078.0,4201.0,5954.0,,17,15,20,1.47,4.1,3.8,4.5,1.78,4.0,3.7,4.3,0.95,,6,6.0,7.0,0.24,7.0,6.0,8.0,,,,,,,,,,5.0,5.0,6.0,22,19,25,0.83,34,31.0,38.0,0.32,7.9,0.83,23,20.0,26.0,-0.26,80,-0.62,25,24,26,1.16,10.0,24.0,42.0,31.0,51.0,0.62,219,470.8,1.58,31.0,28.0,34.0,1.58,85.0,75.0,96.0,,,,,,,30.0,14.0,54.0,11.0,9.0,13.0,3183,9,7,10,1.8,43.0,92.0,1089,-0.65,34.0,72.0,1388,-0.88,168.0,356.0,281,-1.93,7106,0.82,7470.0,,,,7005.0,49,-0.29,37.0,,,,51.0,46,-0.11,39.0,,19.0,45.0,48.0,26271,28514,92,91.0,93.0,0.02,7420,10808,69,64.0,74.0,-0.05,1045,24532,4.3,0.3,23,16,30,2.44,38.0,,72.0,57.0,13.0,96288,20517,4.7,1.56,3816,11587,33,27,38,2.57,58,12.4,0.83,118,257,1.29,216,93,81,105,0.86,194.0,156.0,233.0,,,,,,,,,,66.0,53.0,78.0,4.9,-1.44,No,-0.51,14,12,17,12,10,14,2,2,3,1,0,1,1.19,75,73,78,-0.95,73.0,68.0,79.0,,,,,,,62.0,48.0,77.0,78.0,76.0,80.0,20638,18,16,21,-0.89,
5,6,27009,Minnesota,Benton,,385.0,5773.0,4954.0,6592.0,-0.2,,,,,,,,,,,,,,,,,,,,,15,13,17,0.1,3.5,3.2,3.9,0.08,4.0,3.6,4.4,0.92,,6,6.0,7.0,0.27,,,,,,,13.0,9.0,16.0,,,,6.0,5.0,7.0,20,17,24,0.33,30,26.0,35.0,-0.73,8.5,-0.04,20,17.0,24.0,-0.86,74,-0.26,26,25,27,1.76,7.0,23.0,30.0,19.0,42.0,-0.02,142,355.6,0.66,13.0,10.0,15.0,-0.45,,,,,,,33.0,18.0,55.0,36.0,18.0,64.0,11.0,8.0,13.0,1537,4,4,5,-0.9,10.0,25.0,4055,1.18,15.0,37.0,2726,0.86,6.0,15.0,6815,1.24,7453,1.04,,,,,,45,0.36,,,,,,45,-0.02,,,47.0,,45.0,24541,26759,92,91.0,93.0,0.16,8231,11566,71,66.0,76.0,-0.39,857,22144,3.9,-0.07,10,6,14,-0.56,,4.0,12.0,23.0,9.0,104235,26934,3.9,-0.43,2064,10048,21,16,25,0.28,51,12.6,0.8,57,142,0.16,147,73,61,85,-0.1,,,,,,,,,,,,,,,,6.4,0.1,No,-0.51,15,13,17,13,11,15,2,1,3,0,0,1,1.41,85,83,86,1.59,,,,,,,,,,,,,,,,20896,24,22,26,-0.34,
6,7,27011,Minnesota,Big Stone,x,,,,,0.0,,,,,,,,,,,,,,,,,,,,,15,13,18,0.45,3.7,3.3,4.1,0.52,4.0,3.6,4.4,0.81,,7,4.0,9.0,0.63,,,,,,,,,,,,,,,,21,18,24,0.64,38,30.0,48.0,1.33,7.7,1.13,24,17.0,32.0,0.12,70,-0.01,24,23,25,0.56,1.0,3.0,33.0,4.0,64.0,0.15,5,99.5,-1.37,14.0,8.0,25.0,-0.27,,,,,,,,,,,,,,,,215,6,5,7,0.08,7.0,140.0,713,-1.98,1.0,20.0,4991,1.69,1.0,20.0,4991,1.19,5830,-0.01,,,,,,60,-2.08,,,,,,47,-0.2,,,,,,3378,3646,93,91.0,94.0,-0.16,591,953,62,53.0,71.0,0.84,105,2507,4.2,0.23,14,8,19,0.26,,,,,,99233,21507,4.6,1.37,157,1032,15,5,26,-0.71,13,26.1,-1.22,2,30,-0.94,22,88,55,133,0.6,,,,,,,,,,,,,,,,6.7,0.4,No,-0.51,11,8,14,9,6,12,0,0,1,2,1,4,-0.15,78,74,82,-0.2,,,,,,,,,,,,,,,,2327,21,16,25,-0.69,
7,8,27013,Minnesota,Blue Earth,,534.0,5039.0,4418.0,5661.0,-0.56,,,,,,,,,,,,,,,,,,,,,15,13,17,0.26,3.6,3.2,4.0,0.24,3.9,3.5,4.2,0.34,,7,6.0,7.0,0.74,,,,13.0,7.0,19.0,10.0,7.0,12.0,,,,6.0,6.0,7.0,19,16,23,-0.12,34,30.0,38.0,0.25,7.7,1.13,22,19.0,25.0,-0.43,83,-0.85,22,21,23,-0.87,5.0,31.0,16.0,8.0,27.0,-0.83,455,679.4,3.23,7.0,6.0,8.0,-1.14,,,,,,,12.0,7.0,19.0,18.0,9.0,30.0,6.0,5.0,7.0,2461,4,4,5,-0.9,60.0,89.0,1124,-0.58,63.0,93.0,1074,-1.93,220.0,325.0,308,-1.64,6805,0.62,,,2489.0,8484.0,6674.0,53,-0.94,,,,,,58,-1.19,55.0,56.0,28.0,46.0,59.0,36788,38917,95,94.0,96.0,-0.81,12295,16058,77,73.0,80.0,-1.12,1130,40878,2.8,-1.14,13,9,16,0.03,,,48.0,11.0,8.0,109839,25656,4.3,0.56,2796,13169,21,18,25,0.4,85,12.6,0.8,132,200,0.73,190,57,49,65,-0.89,,,,,,,,,,,,,,,,7.9,1.63,No,-0.51,15,13,17,14,12,15,1,1,1,1,1,1,1.42,81,80,82,0.67,,,,53.0,37.0,69.0,65.0,50.0,81.0,71.0,61.0,82.0,83.0,82.0,84.0,36770,16,14,17,-1.17,
8,9,27015,Minnesota,Brown,,255.0,6607.0,5297.0,7916.0,0.21,,,,,,,,,,,,,,,,,,,,,14,12,16,-0.28,3.4,3.0,3.7,-0.36,3.6,3.2,3.9,-0.73,,6,5.0,7.0,-0.1,,,,,,,,,,,,,,,,20,17,23,0.28,36,31.0,41.0,0.65,8.8,-0.47,25,21.0,30.0,0.3,82,-0.73,25,24,26,0.92,3.0,11.0,27.0,11.0,45.0,-0.2,59,234.2,-0.3,15.0,12.0,19.0,-0.18,,,,,,,,,,65.0,40.0,99.0,12.0,9.0,16.0,801,4,3,5,-1.06,28.0,112.0,897,-1.19,17.0,68.0,1471,-0.68,54.0,216.0,463,-0.63,4046,-1.17,,,,,,58,-1.75,,,,,,49,-0.38,,,,36.0,49.0,16215,17339,94,93.0,95.0,-0.46,4086,5461,75,68.0,81.0,-0.88,523,14435,3.6,-0.31,9,6,13,-0.72,,,,32.0,6.0,103524,29088,3.6,-1.19,906,5448,17,12,21,-0.45,50,19.9,-0.3,19,73,-0.51,82,65,52,81,-0.49,,,,,,,,,,,,,,,,8.0,1.73,No,-0.51,8,7,10,7,5,8,1,0,2,1,0,1,-1.31,82,80,84,0.88,,,,,,,,,,75.0,64.0,86.0,84.0,81.0,86.0,13500,15,13,17,-1.2,
9,10,27017,Minnesota,Carlton,,426.0,5969.0,5063.0,6875.0,-0.1,13898.0,9443.0,19727.0,,,,,,,,,,,,,,5417.0,4503.0,6331.0,,15,13,17,0.26,3.9,3.5,4.2,0.96,3.9,3.6,4.2,0.56,,6,5.0,7.0,0.14,10.0,6.0,13.0,,,,,,,,,,6.0,5.0,7.0,21,18,24,0.68,33,29.0,37.0,-0.08,8.3,0.25,22,19.0,26.0,-0.38,73,-0.19,24,23,25,0.63,9.0,21.0,43.0,32.0,53.0,0.69,108,304.2,0.25,18.0,15.0,21.0,0.15,57.0,39.0,79.0,,,,,,,68.0,33.0,125.0,14.0,11.0,17.0,1401,5,4,6,-0.57,26.0,73.0,1378,-0.13,20.0,56.0,1794,-0.08,54.0,151.0,664,-0.02,7067,0.79,7735.0,,,,6873.0,38,1.49,21.0,,,,40.0,53,-0.74,50.0,,,,54.0,23459,24961,94,93.0,95.0,-0.62,6293,8787,72,67.0,77.0,-0.45,801,17927,4.5,0.5,10,7,13,-0.56,38.0,13.0,,11.0,10.0,110247,30044,3.7,-0.92,1578,8030,20,15,24,0.11,43,12.0,0.89,61,172,0.45,135,76,63,88,0.02,142.0,81.0,231.0,,,,,,,,,,73.0,59.0,86.0,5.1,-1.23,No,-0.51,12,11,14,10,9,11,2,1,3,1,1,1,0.33,84,82,85,1.36,78.0,69.0,87.0,,,,,,,,,,82.0,81.0,83.0,16578,33,30,36,0.49,
