,Unnamed: 0,FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low.1,95% CI - High.1,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths.1,Child Mortality Rate,95% CI - Low.2,95% CI - High.2,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths.2,Infant Mortality Rate,95% CI - Low.3,95% CI - High.3,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low.4,95% CI - High.4,% Frequent Mental Distress,95% CI - Low.5,95% CI - High.5,% Adults with Diabetes,95% CI - Low.6,95% CI - High.6,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low.7,95% CI - High.7,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low.8,95% CI - High.8,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low.9,95% CI - High.9,# Uninsured (Adults),% Uninsured (Adults),95% CI - Low (Adults),95% CI - High (Adults),# Uninsured (Children),% Uninsured (Children),95% CI - Low (Children),95% CI - High (Children),Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low.10,95% CI - High.10,Average Grade Performance (Math),Average Grade Performance (Asian) (Math),Average Grade Performance (Black) (Math),Average Grade Performance (Hispanic) (Math),Average Grade Performance (White) (Math),Average Grade Performance (Reading),Average Grade Performance (Asian) (Reading),Average Grade Performance (Black) (Reading),Average Grade Performance (Hispanic) (Reading),Average Grade Performance (White) (Reading),Median Household Income,95% CI - Low.11,95% CI - High.11,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low.12,95% CI - High.12,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths.3,Suicide Rate (Age-Adjusted),95% CI - Low.13,95% CI - High.13,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low.14,95% CI - High.14,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low.15,95% CI - High.15,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low.16,95% CI - High.16,% Broadband Access,Numerator,95% CI - Low.17,95% CI - High.17,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low.18,95% CI - High.18,% Female,# Rural,% Rural,Unnamed: 277
0,1,28000,Mississippi,,74.9,74.8,75.0,81.3,74.9,87.7,84.9,83.1,86.7,73.1,72.9,73.2,100.4,95.5,105.4,75.7,75.5,75.8,51569,502,497,506,643.0,566.0,720.0,225.0,196.0,255.0,592.0,584.0,600.0,169.0,151.0,188.0,464.0,459.0,470.0,2171.0,76.0,73.0,80.0,93.0,54.0,150.0,41.0,22.0,70.0,96.0,90.0,101.0,39.0,29.0,51.0,64.0,60.0,68.0,2323.0,9.0,9.0,9.0,,,,,,,11.0,11.0,12.0,5.0,4.0,6.0,7.0,7.0,7.0,14,13,16,16,14,17,15,,,9466.0,381.0,559350,19,316296.0,11.0,1058.0,12.0,11.0,13.0,,,,,,,4.0,4.0,5.0,4.0,2.0,8.0,17.0,16.0,19.0,4944.0,24.0,23.0,24.0,34.0,24.0,47.0,11.0,7.0,16.0,23.0,22.0,24.0,15.0,12.0,18.0,25.0,24.0,26.0,38,36,40,319409,18,18,19,33741,5,4,5,127,790,35213.0,84.0,9.0,8.0,10.0,3.0,3.4,2.7,2.9,3.3,3.0,3.8,2.7,3.0,3.3,45928,44576,47280,32510.0,26723.0,38297.0,59529.0,55066.0,63992.0,30714.0,30260.0,31168.0,43929.0,41833.0,46025.0,56214.0,55530.0,56898.0,74.0,49.0,47.0,12.0,11.0,12.0,,,,6.0,4.0,10.0,23.0,22.0,24.0,6.0,5.0,9.0,5.0,4.0,5.0,2112.0,14.0,13.0,15.0,14.0,,,,7.0,4.0,12.0,5.0,5.0,6.0,3.0,2.0,5.0,20.0,19.0,21.0,3199.0,21.0,21.0,22.0,,,,14.0,9.0,21.0,26.0,24.0,27.0,9.0,6.0,12.0,20.0,19.0,21.0,3986,4933,327700,,121,752841,68,68,69,133925,13,13,13,72,790037,71,72,2976149,23.5,16.4,1113643,37.4,18705,0.6,33032,1.1,1806,0.1,100110,3.4,1678232,56.4,22352,1,1.0,1.0,51.5,1503073,50.7,
1,2,28001,Mississippi,Adams,73.6,72.5,74.7,,,,,,,71.2,69.6,72.8,93.5,74.5,112.4,74.6,72.8,76.3,666,557,513,602,,,,,,,679.0,608.0,750.0,,,,525.0,451.0,599.0,24.0,95.0,61.0,141.0,,,,,,,,,,,,,,,,23.0,9.0,6.0,14.0,,,,,,,,,,,,,,,,18,17,19,18,16,19,15,12.0,19.0,116.0,435.0,7180,23,4307.0,13.0,12.0,13.0,7.0,23.0,,,,,,,,,,,,,,,,48.0,22.0,16.0,29.0,,,,,,,21.0,13.0,31.0,,,,30.0,19.0,44.0,40,39,41,3519,21,18,24,294,5,3,6,137,731,228.0,84.0,19.0,9.0,30.0,2.4,,2.4,,2.5,2.7,,2.6,,2.9,34583,29911,39255,,,,,,,26053.0,23946.0,28160.0,28688.0,28367.0,29009.0,43057.0,35623.0,50491.0,100.0,44.0,44.0,21.0,15.0,28.0,,,,,,,,,,,,,,,,17.0,11.0,7.0,19.0,11.0,,,,,,,,,,,,,,,,48.0,31.0,23.0,41.0,,,,,,,40.0,27.0,56.0,,,,26.0,15.0,44.0,38,81,2800,43.0,151,7014,62,60,65,1473,15,12,18,73,8221,69,77,30693,19.9,19.6,16145,52.6,165,0.5,178,0.6,8,0.0,3099,10.1,10904,35.5,1856,6,5.0,8.0,48.0,12023,37.2,
2,3,28003,Mississippi,Alcorn,73.6,72.7,74.6,,,,,,,71.6,68.9,74.3,,,,73.8,72.7,74.9,752,557,516,599,,,,,,,666.0,537.0,815.0,,,,547.0,503.0,591.0,34.0,100.0,69.0,139.0,,,,,,,,,,,,,,,,33.0,11.0,8.0,15.0,,,,,,,,,,,,,,,,16,14,17,18,16,19,17,12.0,23.0,45.0,145.0,6250,17,1734.0,5.0,11.0,10.0,5.0,18.0,,,,,,,,,,,,,,,,63.0,24.0,19.0,31.0,,,,,,,,,,,,,,,,35,34,37,4261,20,17,23,444,5,3,7,143,697,393.0,91.0,,,,3.1,,2.7,,3.2,2.8,,2.3,,3.0,43496,39066,47926,,,,,,,27051.0,13953.0,40149.0,,,,44023.0,40781.0,47265.0,62.0,44.0,44.0,11.0,7.0,16.0,,,,,,,33.0,17.0,60.0,,,,7.0,4.0,11.0,42.0,22.0,16.0,30.0,23.0,,,,,,,,,,,,,,,,47.0,25.0,19.0,34.0,,,,,,,64.0,36.0,105.0,,,,19.0,13.0,28.0,52,25,4000,19.0,53,10064,69,66,71,1104,8,6,10,71,10354,67,75,36953,22.5,18.8,4500,12.2,153,0.4,145,0.4,13,0.0,1189,3.2,30577,82.7,126,0,0.0,1.0,51.3,24588,66.4,
3,4,28005,Mississippi,Amite,77.0,75.2,78.7,,,,,,,75.2,72.4,78.1,,,,77.8,75.6,80.1,236,464,397,530,,,,,,,559.0,446.0,692.0,,,,413.0,333.0,492.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,18,18,17,19,18,13.0,24.0,26.0,247.0,2400,19,1173.0,9.0,,,,,,,,,,,,,,,,,,,,31.0,35.0,24.0,50.0,,,,,,,34.0,17.0,59.0,,,,37.0,23.0,59.0,40,39,41,1395,20,17,23,169,6,4,9,89,1118,71.0,78.0,,,,2.6,,,,,2.3,,,,,41575,35583,47567,,,,,,,17279.0,14434.0,20124.0,,,,48236.0,40739.0,55733.0,100.0,16.0,16.0,,,,,,,,,,,,,,,,,,,10.0,18.0,8.0,35.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10,1200,14.0,0,4430,85,82,88,555,12,7,16,61,3157,55,66,12297,20.3,24.1,4865,39.6,46,0.4,20,0.2,3,0.0,166,1.3,7115,57.9,19,0,,,51.7,13131,100.0,
4,5,28007,Mississippi,Attala,74.1,72.7,75.5,,,,,,,71.7,69.4,74.1,,,,76.0,74.3,77.7,339,513,456,571,,,,,,,636.0,535.0,737.0,,,,431.0,363.0,500.0,22.0,118.0,74.0,178.0,,,,,,,,,,,,,,,,23.0,14.0,9.0,21.0,,,,,,,,,,,,,,,,17,15,18,18,16,19,17,12.0,22.0,48.0,319.0,3760,20,2253.0,12.0,,,,,,,,,,,,,,,,,,,,44.0,33.0,24.0,45.0,,,,,,,39.0,24.0,59.0,,,,31.0,19.0,47.0,38,37,40,1934,19,16,22,216,5,3,6,77,1298,243.0,79.0,,,,3.0,,2.8,,3.4,3.2,,3.0,,3.4,36905,31753,42057,,,,,,,25359.0,22553.0,28165.0,121983.0,89914.0,154052.0,46967.0,42141.0,51793.0,75.0,27.0,24.0,9.0,5.0,16.0,,,,,,,,,,,,,,,,14.0,15.0,8.0,25.0,15.0,,,,,,,,,,,,,,,,20.0,22.0,13.0,33.0,,,,,,,,,,,,,,,,22,31,2200,24.0,28,5031,72,69,76,699,11,7,14,68,4736,64,72,18174,24.9,19.5,7888,43.4,66,0.4,79,0.4,4,0.0,365,2.0,9632,53.0,55,0,0.0,1.0,52.7,12581,64.3,
5,6,28009,Mississippi,Benton,73.5,71.3,75.6,,,,,,,72.5,68.8,76.2,,,,73.5,70.7,76.3,180,577,488,666,,,,,,,635.0,487.0,814.0,,,,563.0,450.0,677.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,15,18,18,17,20,20,11.0,31.0,22.0,313.0,1540,19,1881.0,22.0,,,,,,,,,,,,,,,,,,,,34.0,58.0,40.0,82.0,,,,,,,,,,,,,,,,41,40,42,948,19,16,22,87,5,3,6,61,1652,102.0,88.0,,,,3.1,,2.8,,3.4,3.4,,3.3,,3.3,37875,33058,42692,,,,,,,29695.0,24937.0,34453.0,10915.0,406.0,21424.0,42569.0,33126.0,52012.0,81.0,39.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,900,11.0,23,2538,81,76,85,349,12,6,17,59,1864,51,68,8259,21.3,19.0,2929,35.5,31,0.4,8,0.1,3,0.0,218,2.6,4962,60.1,84,1,0.0,2.0,50.6,8729,100.0,
6,7,28011,Mississippi,Bolivar,71.5,70.4,72.5,,,,,,,69.4,68.1,70.7,,,,74.7,73.0,76.5,738,675,624,725,,,,,,,764.0,697.0,832.0,,,,533.0,455.0,610.0,28.0,90.0,60.0,131.0,,,,,,,,,,,,,,,,27.0,8.0,5.0,12.0,,,,,,,,,,,,,,,,19,17,20,19,17,20,15,11.0,19.0,116.0,451.0,7860,24,8315.0,24.0,,,,,,,,,,,,,,,,,,,,59.0,26.0,20.0,33.0,,,,,,,29.0,21.0,40.0,,,,20.0,11.0,33.0,40,39,42,3684,21,18,24,308,4,3,5,118,851,439.0,83.0,4.0,1.0,7.0,2.7,,2.6,,3.2,2.5,,2.4,,3.0,30309,26712,33906,,,,101818.0,61848.0,141788.0,22404.0,19243.0,25565.0,68125.0,13888.0,122362.0,54661.0,49953.0,59369.0,94.0,58.0,55.0,19.0,14.0,25.0,,,,,,,,,,,,,,,,10.0,6.0,3.0,12.0,6.0,,,,,,,,,,,,,,,,37.0,23.0,16.0,32.0,,,,,,,23.0,14.0,34.0,,,,23.0,12.0,40.0,75,43,3300,36.0,107,6491,54,51,56,2029,18,16,21,61,7366,58,64,30628,24.4,16.3,19369,63.2,51,0.2,346,1.1,15,0.0,684,2.2,10003,32.7,158,1,0.0,1.0,53.4,18423,54.0,
7,8,28013,Mississippi,Calhoun,75.4,73.7,77.1,,,,,,,72.5,69.3,75.8,,,,76.4,74.4,78.4,277,522,457,586,,,,,,,661.0,528.0,817.0,,,,479.0,405.0,554.0,10.0,73.0,35.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,15,18,18,17,20,19,14.0,26.0,19.0,157.0,2840,20,640.0,4.0,,,,,,,,,,,,,,,,,,,,38.0,37.0,26.0,51.0,,,,,,,38.0,19.0,68.0,,,,40.0,27.0,59.0,39,37,40,1940,23,20,26,235,7,5,9,63,1596,155.0,88.0,,,,3.1,,2.9,,3.4,3.1,,2.7,,3.4,38648,33886,43410,,,,,,,31792.0,26994.0,36590.0,31118.0,9612.0,52624.0,40383.0,36347.0,44419.0,78.0,30.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-4,9,1700,,0,4358,75,71,78,510,9,7,12,64,3759,61,68,14361,23.2,19.5,4002,27.9,53,0.4,23,0.2,5,0.0,902,6.3,9237,64.3,147,1,,,51.9,14962,100.0,
8,9,28015,Mississippi,Carroll,77.6,75.2,80.0,,,,,,,79.3,74.3,84.4,,,,77.0,74.2,79.9,196,482,407,557,,,,,,,460.0,339.0,610.0,,,,492.0,399.0,585.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,16,16,15,18,17,10.0,23.0,18.0,208.0,1680,17,2081.0,20.0,,,,,,,,,,,,,,,,,,,,20.0,28.0,17.0,43.0,,,,,,,,,,,,,,,,38,37,39,1032,19,16,22,112,6,4,8,40,2487,68.0,73.0,,,,2.7,,2.6,,2.6,2.5,,2.6,,2.3,44885,38415,51355,,,,,,,22681.0,15531.0,29831.0,,,,54724.0,37078.0,72370.0,91.0,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,26.0,14.0,44.0,,,,,,,,,,,,,,,,1-4,1-4,900,,8,3106,81,70,93,345,9,4,15,62,2384,55,69,9947,18.7,24.2,3252,32.7,25,0.3,25,0.3,2,0.0,163,1.6,6390,64.2,3,0,,,49.7,10597,100.0,
9,10,28017,Mississippi,Chickasaw,74.4,72.9,75.9,,,,,,,72.9,70.5,75.2,,,,74.6,72.5,76.7,320,541,480,603,,,,,,,593.0,494.0,691.0,,,,537.0,451.0,623.0,16.0,94.0,54.0,152.0,,,,,,,,,,,,,,,,20.0,12.0,7.0,19.0,,,,,,,,,,,,,,,,17,16,18,18,17,19,18,13.0,24.0,28.0,199.0,3110,18,386.0,2.0,,,,,,,,,,,,,,,,,,,,36.0,30.0,21.0,41.0,,,,,,,21.0,10.0,37.0,,,,41.0,27.0,60.0,40,39,41,2116,22,19,25,231,5,4,7,82,1222,196.0,85.0,,,,2.9,,2.8,,3.2,3.1,,3.0,,3.4,37533,32573,42493,,,,,,,25996.0,19911.0,32081.0,42623.0,18827.0,66419.0,47551.0,42231.0,52871.0,87.0,19.0,16.0,13.0,8.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,17.0,10.0,29.0,,,,,,,,,,,,,,,,6,11,1900,9.0,1,4513,70,66,73,862,14,10,18,61,3960,56,66,17103,24.9,17.5,7513,43.9,70,0.4,86,0.5,8,0.0,921,5.4,8335,48.7,178,1,0.0,2.0,50.6,14835,85.3,
