,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,28000,Mississippi,,,51569.0,10442.0,10309.0,10576.0,,14790.0,12593.0,16986.0,,4597.0,3791.0,5403.0,,12478.0,12247.0,12709.0,,3944.0,3497.0,4392.0,,9452.0,9280.0,9623.0,,22,21,23,,4.5,4.1,4.8,,4.8,4.5,5.2,,,12,12.0,12.0,,6.0,5.0,8.0,9.0,8.0,10.0,16.0,16.0,17.0,7.0,7.0,8.0,8.0,8.0,8.0,21,19,23,,39,,,,4.1,,30,,,,54,,15,13,16,,658,3356,20,19,20,,22086.0,740.1,,34.0,33.0,34.0,,53.0,46.0,60.0,5.0,4.0,7.0,40.0,40.0,41.0,40.0,37.0,42.0,28.0,27.0,29.0,349341,14,14,15,,1580.0,53.0,1890,,1451.0,49.0,2051,,5033.0,169.0,591,,5702,,11011.0,3718.0,7024,5441.0,5287,39,,15.0,29.0,38.0,27.0,40.0,43,,47.0,42.0,31,36.0,47,1669565,1975670,85,84.0,85.0,,454544,758944,60,59.0,61.0,,69226,1276119,5.4,,28,26,29,,44.0,15.0,44.0,32.0,15.0,93204,17434,5.3,,263410,710695,37,36,38,,3783,12.7,,8361.0,279.0,,13180.0,88.0,87.0,90.0,,79.0,61.0,102.0,41.0,32.0,51.0,77.0,74.0,79.0,37.0,32.0,43.0,100.0,98.0,102.0,8.7,,,,15,15,16,13,12,13,3,3,3,1,1,1,,85,85,85,,66.0,58.0,74.0,76.0,72.0,81.0,85.0,84.0,85.0,76.0,73.0,78.0,86.0,86.0,87.0,1223551,33,32,33,,
1,2,28001,Mississippi,Adams,,666.0,11856.0,10400.0,13311.0,0.14,,,,,,,,,14946.0,12740.0,17152.0,,,,,,11061.0,8584.0,13538.0,,31,28,34,0.95,5.5,5.0,5.9,0.76,5.2,4.9,5.5,-0.08,,13,12.0,14.0,0.33,,,,,,,16.0,14.0,17.0,,,,8.0,6.0,10.0,25,22,28,0.32,38,33.0,44.0,-0.46,5.2,0.71,29,25.0,34.0,-0.61,69,-1.23,13,12,14,-0.66,5,17,29,16,43,0.78,252.0,812.8,0.15,48.0,42.0,53.0,0.74,,,,,,,53.0,46.0,60.0,,,,37.0,28.0,47.0,3785,17,14,19,0.63,28.0,90.0,1114,-1.97,15.0,49.0,2046,-0.7,31.0,101.0,990,0.07,5557,-0.32,,,6489,,4743,45,-1.33,,,40.0,,49.0,44,-0.46,,33.0,34,,52,17364,22301,78,75.0,81.0,0.6,3700,7992,46,39.0,53.0,0.73,794,11260,7.1,0.38,41,28,53,0.91,,64.0,57.0,71.0,30.0,67260,11216,6.0,0.66,3734,6471,58,50,65,1.31,45,14.4,-0.79,97.0,304.0,0.35,186.0,120.0,102.0,137.0,1.09,,,,,,,116.0,94.0,141.0,,,,154.0,123.0,189.0,8.2,-1.24,No,-0.56,14,11,17,13,10,16,3,1,4,1,0,1,-0.21,87,84,90,0.54,,,,,,,88.0,72.0,100.0,,,,86.0,84.0,88.0,10169,16,12,20,-1.75,
2,3,28003,Mississippi,Alcorn,,752.0,11779.0,10471.0,13086.0,0.1,,,,,,,,,14237.0,10783.0,18445.0,,,,,,11481.0,10031.0,12931.0,,23,20,26,-0.68,4.9,4.4,5.4,-0.22,5.4,5.0,5.8,0.4,,11,10.0,13.0,-0.33,,,,,,,18.0,15.0,22.0,10.0,6.0,15.0,10.0,9.0,12.0,25,22,28,0.29,39,32.0,46.0,-0.39,7.1,-0.9,31,25.0,37.0,-0.23,31,0.49,16,15,17,1.07,7,36,19,11,29,-0.02,144.0,387.0,-1.17,43.0,38.0,47.0,0.29,,,,,,,56.0,44.0,71.0,115.0,71.0,175.0,38.0,34.0,43.0,4658,16,14,18,0.23,14.0,38.0,2638,0.08,20.0,54.0,1848,-0.96,106.0,287.0,349,-1.2,6492,0.25,,23077.0,6638,,6387,34,0.58,,,35.0,,34.0,44,-0.46,,50.0,35,25.0,45,20756,25524,81,78.0,84.0,-0.05,5494,9345,59,53.0,65.0,-0.55,757,16057,4.7,-0.89,24,15,32,-0.86,,,18.0,1.0,17.0,84767,17999,4.7,-0.75,2317,8601,27,21,33,-0.95,43,11.6,-0.01,,,0.0,195.0,105.0,90.0,120.0,0.37,,,,,,,136.0,93.0,192.0,,,,101.0,85.0,117.0,8.5,-0.43,No,-0.56,11,9,14,8,6,11,1,0,2,2,1,3,-1.12,87,84,90,0.52,,,,,,,75.0,62.0,89.0,,,,92.0,90.0,94.0,15019,25,21,29,-1.01,
3,4,28005,Mississippi,Amite,,236.0,9465.0,7381.0,11548.0,-0.88,,,,,,,,,11837.0,8566.0,15944.0,,,,,,8128.0,5472.0,10784.0,,27,25,30,0.18,5.0,4.7,5.4,0.06,5.5,5.2,5.8,0.75,,11,9.0,13.0,-0.39,,,,,,,15.0,12.0,19.0,,,,7.0,5.0,9.0,25,22,27,0.21,40,33.0,48.0,-0.07,6.2,-0.14,41,34.0,49.0,1.67,27,0.7,14,13,15,-0.04,4,22,18,8,31,-0.12,35.0,281.2,-1.49,31.0,24.0,39.0,-0.72,,,,,,,29.0,20.0,42.0,,,,33.0,24.0,46.0,1546,17,14,19,0.67,2.0,16.0,6163,0.93,3.0,24.0,4099,0.55,1.0,8.0,12297,0.71,6571,0.3,,,8614,,5706,39,-0.29,,,38.0,,39.0,25,1.61,,,17,,29,7390,9026,82,78.0,86.0,-0.15,1158,2529,46,35.0,57.0,0.79,308,4417,7.0,0.34,29,19,40,-0.3,,,52.0,,23.0,79540,11904,6.7,1.41,917,2567,36,24,47,-0.31,17,13.8,-0.61,,,0.0,49.0,79.0,58.0,104.0,-0.9,,,,,,,76.0,46.0,118.0,,,,83.0,56.0,119.0,8.4,-0.7,No,-0.56,10,7,14,9,5,12,1,0,3,1,0,2,-1.42,83,76,90,-0.44,,,,,,,,,,,,,,,,4171,52,40,64,1.4,
4,5,28007,Mississippi,Attala,,339.0,11022.0,9116.0,12927.0,-0.22,,,,,,,,,14762.0,11538.0,17986.0,,,,,,8055.0,5842.0,10269.0,,27,25,30,0.18,5.2,4.8,5.6,0.28,5.4,5.0,5.7,0.35,,14,12.0,15.0,0.48,,,,,,,18.0,15.0,21.0,,,,9.0,7.0,11.0,24,21,26,-0.12,43,35.0,50.0,0.38,5.8,0.2,31,24.0,38.0,-0.31,33,0.41,14,13,14,-0.3,4,24,17,7,29,-0.25,146.0,790.2,0.08,39.0,33.0,45.0,-0.05,,,,,,,47.0,38.0,57.0,,,,32.0,24.0,41.0,2127,15,13,16,-0.49,9.0,49.0,2041,-0.36,6.0,33.0,3029,0.11,5.0,28.0,3635,0.58,3698,-1.46,,,3581,,3685,39,-0.29,,,36.0,,41.0,50,-1.11,,,41,,54,9535,12286,78,74.0,81.0,0.65,2097,4055,52,44.0,60.0,0.18,439,7031,6.2,-0.06,35,24,46,0.31,,,61.0,,21.0,82328,13967,5.9,0.55,1956,4658,42,32,52,0.15,27,14.7,-0.87,,,0.0,98.0,105.0,86.0,128.0,0.39,,,,,,,100.0,71.0,136.0,,,,115.0,88.0,149.0,8.7,0.11,No,-0.56,16,13,20,11,8,15,3,1,5,2,1,3,0.25,82,79,85,-0.73,,,,,,,80.0,70.0,89.0,,,,86.0,80.0,92.0,6615,36,29,42,-0.06,
5,6,28009,Mississippi,Benton,,180.0,12427.0,9558.0,15296.0,0.38,,,,,,,,,14123.0,9596.0,20046.0,,,,,,12147.0,8371.0,15922.0,,27,24,30,0.11,5.1,4.7,5.6,0.24,5.5,5.2,5.9,0.76,,11,9.0,14.0,-0.43,,,,,,,16.0,11.0,21.0,,,,9.0,6.0,12.0,26,24,29,0.79,43,32.0,54.0,0.43,5.2,0.71,38,27.0,49.0,1.01,80,-1.72,14,14,15,0.26,3,21,14,5,27,-0.44,38.0,457.2,-0.95,54.0,44.0,66.0,1.27,,,,,,,41.0,28.0,58.0,,,,67.0,51.0,86.0,1023,15,13,18,-0.01,1.0,12.0,8271,1.1,2.0,24.0,4130,0.55,3.0,36.0,2753,0.52,6660,0.35,,,7077,,6474,31,1.1,,,26.0,,33.0,43,-0.35,,,34,,45,4132,5693,73,67.0,78.0,1.6,870,1959,44,32.0,57.0,0.93,187,3055,6.1,-0.13,31,19,43,-0.1,,,29.0,,13.0,69731,16120,4.3,-1.17,710,1769,40,24,57,0.02,7,8.5,0.87,,,0.0,54.0,131.0,98.0,171.0,1.63,,,,,,,135.0,82.0,208.0,,,,135.0,94.0,189.0,8.3,-0.97,Yes,1.75,9,5,13,9,5,13,1,0,3,0,0,1,-1.66,88,82,94,0.77,,,,,,,,,,,,,,,,2970,49,37,60,1.08,
6,7,28011,Mississippi,Bolivar,,738.0,13397.0,11955.0,14838.0,0.79,,,,,,,,,15236.0,13335.0,17138.0,,,,,,10246.0,7988.0,12504.0,,30,27,34,0.76,5.7,5.2,6.1,1.13,5.6,5.2,6.0,0.89,,14,13.0,15.0,0.72,,,,,,,16.0,15.0,18.0,,,,10.0,8.0,11.0,25,22,29,0.43,40,34.0,46.0,-0.1,3.9,1.8,32,26.0,37.0,-0.12,39,0.15,14,14,15,0.08,5,39,13,6,22,-0.56,272.0,851.5,0.27,40.0,36.0,44.0,0.07,,,,,,,50.0,44.0,56.0,,,,19.0,14.0,25.0,3959,16,14,18,0.41,16.0,51.0,1958,-0.44,13.0,42.0,2356,-0.37,18.0,59.0,1702,0.36,7728,1.0,,,8209,,7437,34,0.58,,,35.0,,33.0,41,-0.13,,54.0,32,33.0,51,16050,20618,78,76.0,80.0,0.61,4754,8122,59,52.0,65.0,-0.52,863,12260,7.0,0.37,49,40,58,1.75,,,57.0,21.0,30.0,73102,10597,6.9,1.64,3927,7905,50,43,57,0.72,48,15.3,-1.04,,,0.0,124.0,78.0,64.0,91.0,-0.96,,,,,,,78.0,62.0,98.0,,,,78.0,56.0,106.0,8.7,0.11,No,-0.56,20,17,23,18,15,21,3,2,3,1,0,1,1.41,84,81,87,-0.14,,,,,,,83.0,80.0,87.0,,,,81.0,74.0,87.0,10529,25,21,30,-0.94,
7,8,28013,Mississippi,Calhoun,,277.0,10794.0,8781.0,12807.0,-0.31,,,,,,,,,13862.0,10072.0,18609.0,,,,,,9649.0,7230.0,12068.0,,27,24,29,-0.01,4.9,4.5,5.3,-0.12,5.4,5.1,5.8,0.52,,12,10.0,14.0,-0.19,,,,,,,18.0,14.0,22.0,7.0,3.0,12.0,9.0,7.0,11.0,26,23,28,0.49,37,30.0,46.0,-0.58,6.6,-0.47,39,31.0,48.0,1.26,38,0.19,15,14,16,0.42,5,19,26,14,39,0.53,101.0,696.9,-0.21,39.0,32.0,46.0,-0.06,,,,,,,42.0,31.0,56.0,86.0,49.0,140.0,32.0,24.0,41.0,2155,19,16,21,1.82,2.0,14.0,7218,1.03,3.0,21.0,4787,0.72,1.0,7.0,14361,0.72,4487,-0.98,,,6452,,4154,34,0.58,,,38.0,,33.0,43,-0.35,,,36,,44,7650,9866,78,75.0,80.0,0.66,1502,3248,46,39.0,54.0,0.74,310,5660,5.5,-0.48,26,16,36,-0.65,,,40.0,55.0,21.0,73411,15526,4.7,-0.73,1230,3437,36,27,45,-0.3,22,15.2,-1.02,,,0.0,77.0,106.0,84.0,133.0,0.43,,,,,,,87.0,52.0,138.0,,,,123.0,93.0,158.0,8.8,0.38,Yes,1.75,13,10,16,10,7,13,3,2,5,0,0,1,-0.72,88,85,91,0.88,,,,,,,90.0,60.0,100.0,,,,85.0,84.0,87.0,5364,40,35,46,0.37,
8,9,28015,Mississippi,Carroll,,196.0,11151.0,8418.0,13883.0,-0.16,,,,,,,,,,,,,,,,,,,,,23,20,26,-0.75,4.5,4.1,4.9,-0.87,4.8,4.4,5.1,-1.4,,13,10.0,15.0,0.11,,,,,,,16.0,12.0,21.0,,,,10.0,7.0,14.0,23,20,26,-0.41,29,21.0,38.0,-2.14,5.8,0.2,34,26.0,42.0,0.26,21,0.96,15,14,16,0.37,2,18,11,2,25,-0.69,54.0,532.6,-0.71,35.0,27.0,45.0,-0.37,,,,,,,43.0,29.0,62.0,,,,32.0,22.0,45.0,1135,16,14,18,0.17,2.0,20.0,4956,0.78,2.0,20.0,4974,0.76,,,nan,0.0,4139,-1.19,,,4233,,4317,41,-0.64,,,45.0,,40.0,44,-0.46,,,31,,50,5852,7298,80,75.0,86.0,0.17,1079,1980,54,39.0,70.0,-0.11,218,3471,6.3,-0.04,24,15,32,-0.88,,,25.0,,17.0,96021,16547,5.8,0.45,537,1934,28,16,40,-0.89,7,7.1,1.27,,,0.0,39.0,77.0,55.0,106.0,-0.98,,,,,,,71.0,37.0,125.0,,,,83.0,54.0,120.0,8.4,-0.7,No,-0.56,16,10,22,12,7,17,3,0,7,1,0,2,0.28,90,84,97,1.43,,,,,,,,,,,,,,,,3407,39,28,50,0.25,
9,10,28017,Mississippi,Chickasaw,,320.0,11860.0,9948.0,13772.0,0.14,,,,,,,,,13035.0,10124.0,15946.0,,,,,,11817.0,8971.0,14663.0,,29,26,32,0.5,5.1,4.7,5.5,0.17,5.2,4.9,5.5,-0.08,,13,12.0,15.0,0.32,,,,,,,16.0,13.0,18.0,12.0,6.0,19.0,10.0,8.0,13.0,25,23,28,0.44,44,35.0,52.0,0.56,7.1,-0.9,33,26.0,40.0,0.11,23,0.88,14,14,15,0.26,2,27,7,1,18,-0.99,146.0,851.5,0.27,50.0,43.0,57.0,0.95,,,,,,,51.0,42.0,63.0,87.0,52.0,137.0,45.0,35.0,56.0,2329,17,15,19,0.9,9.0,52.0,1908,-0.49,5.0,29.0,3421,0.3,4.0,23.0,4276,0.61,4348,-1.06,,,5013,,3966,38,-0.12,,,44.0,,34.0,41,-0.13,,,34,,44,8559,11350,75,72.0,79.0,1.07,1959,4038,49,39.0,58.0,0.51,390,6921,5.6,-0.39,33,22,44,0.08,,,44.0,,17.0,79647,15982,5.0,-0.45,1466,4278,34,24,44,-0.41,18,10.5,0.31,,,0.0,85.0,99.0,79.0,122.0,0.08,,,,,,,73.0,49.0,106.0,,,,130.0,98.0,169.0,8.9,0.65,No,-0.56,17,13,20,14,10,17,3,1,4,1,0,1,0.41,85,82,89,0.17,,,,,,,87.0,81.0,93.0,,,,82.0,77.0,87.0,6721,37,31,44,0.11,
