,FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low,95% CI - High,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Adults with Diabetes,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low,95% CI - High,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low,95% CI - High,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured (Adults),% Uninsured (Adults),95% CI - Low (Adults),95% CI - High (Adults),# Uninsured (Children),% Uninsured (Children),95% CI - Low (Children),95% CI - High (Children),Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low,95% CI - High,Average Grade Performance (Math),Average Grade Performance (Asian) (Math),Average Grade Performance (Black) (Math),Average Grade Performance (Hispanic) (Math),Average Grade Performance (White) (Math),Average Grade Performance (Reading),Average Grade Performance (Asian) (Reading),Average Grade Performance (Black) (Reading),Average Grade Performance (Hispanic) (Reading),Average Grade Performance (White) (Reading),Median Household Income,95% CI - Low,95% CI - High,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths,Suicide Rate (Age-Adjusted),95% CI - Low,95% CI - High,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low,95% CI - High,% Broadband Access,Numerator,95% CI - Low,95% CI - High,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural,
1,29000,Missouri,,77.3,77.2,77.4,96.1,91.0,101.3,88.6,87.4,89.7,72.4,72.2,72.7,88.8,87.6,90.0,77.7,77.6,77.8,87080,404,401,406,218,190,246,151,139,164,628,617,639,218,205,231,385,382,388,3184,58,56,60,,,,34,25,45,110,103,117,40,33,46,49,47,52,3275,6,6,7,,,,4,3,5,12,11,12,5,4,5,5,5,6,13,12,14,15,13,16,11,,,12622,246,813840,13,409163,7,4560,25,24,26,19,11,29,4,2,6,44,41,47,8,6,10,23,23,24,6149,14,14,15,8,5,13,6,5,8,17,16,18,7,6,9,15,14,15,35,33,37,488464,14,13,14,81459,6,5,6,105,950:1,65568,91,6,6,7,3.0,3.4,2.4,2.8,3.2,3.0,3.5,2.3,2.7,3.2,57375,56620,58130,38999,35108,42890,68497,64172,72822,37179,36439,37919,47978,45998,49958,59138,58745,59531,50,71,57,9,9,9,4,2,8,2,1,4,47,45,48,6,5,7,4,3,4,5703,18,18,19,19,11,6,17,9,7,11,9,8,10,10,8,11,20,20,21,6108,20,19,20,8,4,13,5,4,7,54,51,56,11,9,12,16,15,16,12706,3124,546800,29,368,1611986,67,66,67,265093,11,11,12,80,1936788,80,81,6137428,22.3,17.3,711702,11.6,35839,0.6,133312,2.2,9857,0.2,268708,4.4,4857512,79.1,56833,1,1,1,50.9,1770556,29.6,
2,29001,Missouri,Adair,76.9,75.6,78.1,,,,,,,,,,,,,,,,316,425,376,474,,,,,,,,,,,,,,,,18,97,57,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13,16,16,15,18,8,5,12,48,218,3630,14,2331,9,,,,,,,,,,,,,,,,,,,,21,12,7,18,,,,,,,,,,,,,,,,35,33,36,2146,15,13,17,300,6,4,8,75,1334:1,235,91,,,,2.8,,,,,2.5,,,,,43044,38305,47783,16354,15975,16733,,,,,,,,,,42857,39778,45936,30,40,30,,,,,,,,,,,,,,,,,,,23,16,10,25,18,,,,,,,,,,,,,,,,16,13,7,20,,,,,,,,,,,,,,,,42,23,1900,34,156,5561,60,57,63,1160,13,11,16,75,6918,72,78,25343,17.9,15.1,823,3.2,100,0.4,664,2.6,17,0.1,653,2.6,22648,89.4,422,2,1,3,52.0,9693,37.9,
3,29003,Missouri,Andrew,80.1,78.7,81.6,,,,,,,,,,,,,,,,199,301,257,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,11,14,15,13,17,9,5,13,30,203,1810,10,481,3,,,,,,,,,,,,,,,,,,,,20,16,10,25,,,,,,,,,,,,,,,,33,31,35,1139,11,9,13,229,5,4,7,11,8856:1,228,96,,,,3.2,,,,,3.1,,,,,62823,54396,71250,,,,,,,107824,77248,138400,101528,6976,196080,57826,52326,63326,34,68,53,,,,,,,,,,,,,,,,,,,15,18,10,30,17,,,,,,,,,,,,,,,,12,14,7,24,,,,,,,,,,,,,,,,20,9,1600,18,55,5406,80,77,83,558,9,6,11,76,5132,72,80,17712,22.9,19.4,190,1.1,61,0.3,109,0.6,7,0.0,475,2.7,16632,93.9,4,0,0,1,50.5,10596,61.3,
4,29005,Missouri,Atchison,78.1,75.8,80.4,,,,,,,,,,,,,,,,88,390,307,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,11,14,15,13,17,16,10,23,,,640,12,279,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,34,37,404,14,12,17,77,7,5,10,194,514:1,,,,,,3.5,,,,,3.5,,,,,50516,45074,55958,,,,,,,,,,73516,21797,125235,50591,46149,55033,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-4,0,400,,25,1786,70,67,73,195,8,5,11,75,1921,72,78,5143,20.2,26.2,22,0.4,20,0.4,20,0.4,3,0.1,76,1.5,4944,96.1,9,0,0,2,50.0,5685,100.0,
5,29007,Missouri,Audrain,75.8,74.8,76.9,,,,,,,71.7,67.3,76.1,,,,76.2,75.1,77.3,420,444,400,487,,,,,,,636,445,880,,,,430,384,475,18,77,46,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,14,17,17,15,19,12,7,20,28,131,3520,14,1586,6,,,,,,,,,,,,,,,,,,,,26,14,9,21,,,,,,,,,,,,,,,,37,35,38,1996,15,13,17,431,7,5,10,63,1587:1,231,86,10,3,17,2.9,,2.3,,2.9,3.0,,2.2,,3.1,45609,40971,50247,61750,23867,99633,,,,30570,23357,37783,43188,27854,58522,45013,42895,47131,78,41,27,,,,,,,,,,,,,,,,,,,29,23,15,33,23,,,,,,,,,,,,,,,,19,15,9,23,,,,,,,,,,,,,,,,69,14,2300,36,118,6360,68,66,71,703,8,6,10,74,6853,71,77,25388,22.5,18.2,1707,6.7,154,0.6,135,0.5,26,0.1,828,3.3,22132,87.2,144,1,0,1,54.1,10517,41.2,
6,29009,Missouri,Barry,76.3,75.4,77.3,,,,,,,,,,90.7,73.7,107.7,76.0,75.0,77.0,654,463,424,501,,,,,,,,,,,,,,,,15,46,26,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,18,17,15,19,13,8,20,47,156,5310,15,1949,5,,,,,,,,,,,,,,,,,,,,77,31,24,38,,,,,,,,,,,,,,,,36,35,38,4379,22,19,24,806,10,7,13,103,967:1,478,95,,,,2.8,,,2.4,2.9,2.6,,,2.1,2.8,47155,42039,52271,,,,45548,32082,59014,,,,52548,31723,73373,44201,39766,48636,62,,23,,,,,,,,,,,,,,,,,,,30,18,12,27,17,,,,,,,,,,,,,,,,27,15,10,22,,,,,,,,,,,,,,,,71,12,3300,25,52,10062,74,72,76,1483,11,9,14,67,9117,63,70,35789,22.7,21.0,178,0.5,477,1.3,868,2.4,59,0.2,3557,9.9,30255,84.5,1051,3,2,4,49.7,26080,73.3,
7,29011,Missouri,Barton,78.3,76.7,79.9,,,,,,,,,,,,,,,,179,392,331,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,17,17,15,19,13,6,24,9,91,1850,16,1369,11,,,,,,,,,,,,,,,,,,,,15,18,10,30,,,,,,,,,,,,,,,,36,34,38,1173,18,15,20,193,7,5,9,51,1959:1,158,89,,,,2.9,,,,,2.8,,,,,46397,40279,52515,65446,20216,110676,,,,,,,18250,10661,25839,44500,39455,49545,55,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,21,1200,44,7,3430,70,66,74,549,12,8,16,68,3346,65,72,11754,23.2,21.2,63,0.5,183,1.6,66,0.6,7,0.1,338,2.9,10866,92.4,11,0,0,1,50.9,7932,64.0,
8,29013,Missouri,Bates,76.1,74.7,77.4,,,,,,,,,,,,,,,,261,437,381,493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13,16,17,15,18,15,10,21,26,190,2110,13,225,1,16,33,19,53,,,,,,,,,,,,,,,,29,25,17,36,,,,,,,,,,,,,,,,36,34,38,1437,16,13,18,301,8,5,10,56,1797:1,194,91,,,,3.1,,,,,3.0,,,,,48442,42537,54347,60917,28767,93067,,,,37969,5468,70470,42250,38305,46195,49044,44687,53401,54,34,9,,,,,,,,,,,,,,,,,,,13,16,8,29,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,9,1600,41,20,4761,73,69,76,556,9,7,11,70,4556,66,73,16172,23.0,19.6,188,1.2,145,0.9,45,0.3,9,0.1,372,2.3,15167,93.8,11,0,0,1,50.2,13174,77.3,
9,29015,Missouri,Benton,75.5,74.0,76.9,,,,,,,,,,,,,,,,424,467,413,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,17,17,16,19,15,10,22,34,200,3130,17,897,5,12,21,11,36,,,,,,,,,,,,,,,,31,23,16,33,,,,,,,,,,,,,,,,36,34,38,1852,19,16,21,327,10,7,13,62,1620:1,170,92,16,6,26,3.0,,,,,3.0,,,,,42144,37205,47083,22500,6895,38105,,,,,,,,,,41368,37954,44782,78,,28,8,4,15,,,,,,,,,,,,,,,,35,34,22,50,37,,,,,,,,,,,,,,,,29,30,20,44,,,,,,,,,,,,,,,,59,9,1400,49,24,6426,82,80,83,805,11,8,13,71,5611,68,75,19443,17.3,31.2,104,0.5,154,0.8,87,0.4,14,0.1,416,2.1,18369,94.5,33,0,0,1,49.9,16491,86.5,
10,29017,Missouri,Bollinger,77.4,75.7,79.2,,,,,,,,,,,,,,,,217,434,372,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,18,18,16,20,14,8,24,13,125,1870,15,1343,11,,,,,,,,,,,,,,,,,,,,22,26,16,39,,,,,,,,,,,,,,,,36,34,38,1326,19,16,21,208,8,6,10,8,12133:1,142,94,,,,2.9,,,,,2.8,,,,,45868,39504,52232,,,,,,,,,,,,,,,,56,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,18,9,32,,,,,,,,,,,,,,,,13,1-4,1100,,14,3712,81,76,86,486,11,7,15,71,3267,66,76,12133,21.2,21.1,61,0.5,104,0.9,28,0.2,3,0.0,179,1.5,11631,95.9,25,0,0,1,49.9,12363,100.0,
