,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,29000,Missouri,,,87080.0,8422.0,8338.0,8506.0,,4794.0,3938.0,5649.0,,2992.0,2679.0,3306.0,,14449.0,14137.0,14761.0,,4582.0,4292.0,4872.0,,7813.0,7723.0,7904.0,,19,18,21,,4.2,3.9,4.6,,4.5,4.2,4.9,,,8,8.0,9.0,,9.0,8.0,11.0,9.0,8.0,9.0,15.0,14.0,15.0,7.0,7.0,8.0,7.0,7.0,7.0,20,18,22,,33,,,,7.0,,26,,,,77,,21,19,22,,1232,4550,27,26,28,,34728.0,568.1,,24.0,24.0,25.0,,24.0,21.0,27.0,8.0,7.0,9.0,38.0,37.0,39.0,35.0,34.0,37.0,21.0,21.0,22.0,562414,11,11,12,,4309.0,70.0,1422,,3670.0,60.0,1672,,12502.0,204.0,491,,4638,,6739.0,2680.0,7180.0,4020.0,4427.0,44,,30.0,33.0,41.0,34.0,44.0,47,,44.0,48.0,36.0,42.0,48.0,3731783,4150049,90,90.0,90.0,,1036006,1551590,67,66.0,67.0,,101563,3083257,3.3,,17,16,18,,26.0,12.0,36.0,29.0,14.0,108856,23946,4.5,,349195,1375240,25,25,26,,7134,11.6,,29250.0,481.0,,27880,91,90,92,,47.0,38.0,59.0,27.0,24.0,31.0,134.0,131.0,138.0,39.0,36.0,42.0,89.0,88.0,91.0,8.1,,,,13,13,14,11,11,12,2,2,2,1,1,1,,82,82,82,,78.0,75.0,81.0,74.0,73.0,76.0,76.0,75.0,76.0,75.0,74.0,76.0,83.0,83.0,84.0,2885039,32,32,33,,
1,2,29001,Missouri,Adair,,316.0,8638.0,7158.0,10117.0,-0.13,,,,,,,,,,,,,,,,,,,,,21,18,24,-0.27,4.7,4.2,5.2,-0.2,4.9,4.5,5.3,-0.16,,9,7.0,10.0,0.38,,,,,,,12.0,7.0,18.0,,,,8.0,7.0,9.0,22,19,25,-0.78,29,22.0,36.0,-0.99,7.2,0.08,29,22.0,37.0,0.1,78,-1.15,18,17,19,-0.64,3,12,25,10,42,-0.02,86.0,338.9,-0.01,11.0,9.0,13.0,-1.73,,,,,,,,,,,,,,,,2418,13,11,15,-0.29,23.0,91.0,1102,-1.75,18.0,71.0,1408,-1.63,58.0,229.0,437,-1.23,2163,-2.14,,,,,,42,-0.25,,,,,,53,-1.31,,,29.0,25.0,54.0,12198,13536,90,88.0,92.0,-0.8,3177,4811,66,59.0,73.0,-1.17,400,10345,3.9,0.25,19,11,26,-0.41,,,,,,90330,14049,6.4,4.27,1130,4677,24,16,32,0.28,30,11.8,0.02,63.0,248.0,-0.16,81,64,51,79,-1.23,,,,,,,,,,,,,,,,7.8,-0.52,Yes,1.34,18,15,21,17,14,20,1,0,1,2,1,3,2.11,78,70,85,-0.49,,,,,,,,,,,,,,,,10552,16,12,19,-1.62,
2,3,29003,Missouri,Andrew,,199.0,6524.0,5032.0,8017.0,-1.25,,,,,,,,,,,,,,,,,,,,,18,15,21,-1.29,4.3,3.9,4.8,-1.01,4.6,4.2,5.1,-1.19,,6,5.0,8.0,-1.11,,,,,,,,,,,,,,,,20,17,24,-1.36,29,21.0,37.0,-1.04,8.5,-1.42,20,14.0,27.0,-1.79,64,-0.45,20,19,22,1.09,2,19,11,2,24,-1.29,46.0,262.0,-0.39,18.0,14.0,23.0,-1.09,,,,,,,,,,,,,,,,1344,9,8,11,-1.61,2.0,11.0,8804,1.18,4.0,23.0,4428,0.66,4.0,23.0,4428,0.94,4383,-0.29,,,,,,41,-0.06,,,,,,50,-0.99,,,,,,11188,12199,92,90.0,94.0,-1.16,2689,4044,66,58.0,75.0,-1.22,273,9767,2.8,-1.04,11,7,15,-1.49,,,,,,110049,25337,4.3,0.06,710,4033,18,11,24,-0.69,15,8.5,0.9,32.0,184.0,-0.43,57,65,49,84,-1.17,,,,,,,,,,,,,,,,7.9,-0.36,No,-0.74,10,7,13,8,6,10,1,0,2,1,0,2,-0.88,87,84,90,1.62,,,,,,,,,,,,,,,,8203,26,22,31,-0.65,
3,4,29005,Missouri,Atchison,,88.0,7110.0,4725.0,10276.0,-0.94,,,,,,,,,,,,,,,,,,,,,18,16,21,-1.2,4.2,3.8,4.7,-1.14,4.6,4.2,5.1,-0.99,x,5,,,-2.27,,,,,,,,,,,,,,,,21,18,25,-1.06,37,28.0,47.0,0.83,8.0,-0.84,18,12.0,24.0,-2.28,76,-1.06,20,19,21,0.68,2,7,29,9,50,0.29,5.0,94.8,-1.22,11.0,5.0,20.0,-1.73,,,,,,,,,,,,,,,,475,12,11,14,-0.46,2.0,39.0,2586,0.17,2.0,39.0,2572,-0.11,3.0,58.0,1714,0.57,6705,1.64,,,,,,40,0.12,,,,,,48,-0.77,,,,,,3571,3904,91,90.0,93.0,-1.11,674,1097,61,52.0,70.0,-0.71,100,2703,3.7,0.05,18,12,23,-0.61,,,,,,92686,22017,4.2,-0.21,146,1010,14,9,20,-1.16,15,29.0,-3.0,6.0,103.0,-0.79,25,95,62,141,0.27,,,,,,,,,,,,,,,,7.5,-0.99,No,-0.74,8,6,11,8,5,11,0,0,2,0,0,1,-1.51,82,77,86,0.35,,,,,,,,,,,,,,,,2586,22,17,27,-1.05,
4,5,29007,Missouri,Audrain,,420.0,8602.0,7297.0,9908.0,-0.14,,,,,,,,,,,,,,,,,,,,,22,20,25,0.13,4.9,4.4,5.4,0.18,5.1,4.7,5.6,0.54,,9,8.0,10.0,0.66,,,,,,,20.0,14.0,26.0,,,,8.0,7.0,9.0,25,21,28,0.18,34,24.0,44.0,0.05,7.6,-0.38,30,22.0,40.0,0.28,73,-0.88,18,17,19,-0.52,3,23,13,4,25,-1.07,178.0,694.2,1.75,30.0,25.0,35.0,0.01,,,,,,,49.0,30.0,75.0,,,,29.0,24.0,34.0,2395,13,11,14,-0.37,13.0,51.0,1959,-0.28,10.0,39.0,2539,-0.14,53.0,209.0,479,-1.02,4098,-0.53,,,3943.0,,3997.0,48,-1.34,,,53.0,,48.0,32,0.96,,,36.0,,32.0,15143,17575,86,84.0,88.0,0.11,2969,6368,47,41.0,52.0,0.79,360,10697,3.4,-0.36,24,15,33,0.28,,,10.0,36.0,19.0,83977,23403,3.6,-1.46,1483,5904,25,19,32,0.42,23,9.0,0.76,48.0,183.0,-0.44,90,70,56,86,-0.94,,,,,,,,,,,,,,,,8.4,0.43,No,-0.74,9,7,11,8,6,10,1,1,2,1,0,2,-1.22,82,78,85,0.35,,,,,,,,,,,,,,,,10744,30,25,34,-0.34,
5,6,29009,Missouri,Barry,,654.0,9269.0,8109.0,10428.0,0.21,,,,,,,,,,,,,,,,,,,,,24,21,27,0.77,5.1,4.7,5.6,0.66,5.0,4.6,5.4,0.03,,7,7.0,8.0,-0.36,,,,,,,,,,6.0,4.0,9.0,7.0,6.0,9.0,25,22,28,0.22,40,31.0,49.0,1.51,7.4,-0.15,34,25.0,43.0,0.97,49,0.3,18,17,19,-0.75,13,45,29,21,37,0.32,76.0,213.1,-0.63,38.0,33.0,42.0,0.73,,,,,,,,,,41.0,29.0,55.0,38.0,33.0,43.0,5132,18,16,20,1.8,23.0,64.0,1560,-0.77,11.0,31.0,3254,0.27,26.0,73.0,1377,0.42,3758,-0.81,,,,,,41,-0.06,,,,28.0,41.0,36,0.53,,45.0,,16.0,36.0,20783,24860,84,81.0,86.0,0.69,3630,7630,48,41.0,54.0,0.69,545,15589,3.5,-0.2,30,22,37,1.07,,,,41.0,30.0,85468,20091,4.3,-0.12,1694,8011,21,15,27,-0.17,51,14.2,-0.61,94.0,242.0,-0.18,167,93,79,108,0.17,,,,,,,,,,,,,,,,8.6,0.74,No,-0.74,15,12,17,11,9,13,3,2,4,1,0,2,0.9,79,75,83,-0.23,,,,,,,,,,73.0,65.0,80.0,80.0,78.0,82.0,14485,29,24,33,-0.42,
6,7,29011,Missouri,Barton,,179.0,7509.0,5717.0,9300.0,-0.72,,,,,,,,,,,,,,,,,,,,,23,20,26,0.3,5.0,4.5,5.5,0.33,5.1,4.7,5.6,0.53,,8,6.0,10.0,0.17,,,,,,,,,,,,,,,,25,21,29,0.32,29,19.0,39.0,-1.1,6.8,0.54,29,19.0,40.0,0.1,35,1.01,19,18,20,-0.19,2,7,29,9,50,0.29,45.0,379.7,0.2,36.0,29.0,44.0,0.54,,,,,,,,,,,,,,,,1347,15,13,16,0.36,4.0,34.0,2950,0.35,1.0,9.0,11754,1.32,8.0,68.0,1469,0.46,3168,-1.3,,,,,,38,0.48,,,,,,41,-0.01,,,,,,7042,8080,87,85.0,90.0,-0.12,1422,2562,56,46.0,65.0,-0.11,176,5202,3.4,-0.34,22,13,30,-0.04,46.0,,,79.0,22.0,93945,19193,4.9,1.17,588,2797,21,12,30,-0.18,13,11.0,0.24,34.0,283.0,0.0,38,64,45,88,-1.22,,,,,,,,,,,,,,,,7.8,-0.52,Yes,1.34,12,9,16,9,5,13,3,2,5,1,0,3,0.0,83,79,88,0.71,,,,,,,,,,,,,,,,5113,34,28,40,0.06,
7,8,29013,Missouri,Bates,,261.0,8884.0,7198.0,10569.0,0.01,,,,,,,,,,,,,,,,,,,,,21,18,24,-0.25,4.7,4.3,5.2,-0.18,4.9,4.5,5.4,-0.14,,7,6.0,9.0,-0.47,,,,,,,,,,,,,,,,25,21,28,0.16,38,30.0,47.0,1.03,8.2,-1.07,25,18.0,32.0,-0.75,37,0.92,19,18,20,-0.07,1,17,6,0,20,-1.69,30.0,183.7,-0.77,31.0,25.0,37.0,0.11,,,,,,,,,,,,,,,,1714,13,12,15,-0.13,3.0,18.0,5440,0.92,6.0,37.0,2695,-0.03,9.0,56.0,1797,0.59,7175,2.03,,,,,,38,0.48,,,,,,32,0.96,,,,,,9836,11258,87,86.0,89.0,-0.17,1935,3664,53,45.0,60.0,0.16,318,7908,4.0,0.43,25,19,32,0.49,,,30.0,27.0,18.0,98388,22921,4.3,-0.04,736,3828,19,13,25,-0.45,21,12.9,-0.25,77.0,473.0,0.83,85,104,83,129,0.68,,,,,,,,,,,,,,,,7.4,-1.14,Yes,1.34,11,9,14,8,6,10,3,1,4,1,0,2,-0.44,74,71,77,-1.35,,,,,,,,,,,,,,,,7390,49,44,54,1.41,
8,9,29015,Missouri,Benton,,424.0,10423.0,8448.0,12398.0,0.82,,,,,,,,,,,,,,,,,,,,,22,19,25,0.15,5.0,4.5,5.5,0.4,5.1,4.7,5.6,0.5,,7,6.0,9.0,-0.45,,,,,,,,,,,,,,,,25,21,28,0.1,34,26.0,43.0,0.21,7.1,0.2,30,22.0,39.0,0.22,31,1.19,18,17,19,-0.56,5,16,31,18,45,0.53,37.0,194.0,-0.72,32.0,26.0,38.0,0.15,,,,,,,,,,,,,,,,2160,16,14,18,1.09,5.0,26.0,3856,0.64,6.0,31.0,3241,0.27,15.0,77.0,1296,0.37,4792,0.05,,,,,,43,-0.43,,,,,,39,0.2,,,,21.0,39.0,12490,14783,84,82.0,87.0,0.49,1469,3167,46,38.0,54.0,0.81,346,7201,4.8,1.38,29,18,39,0.93,,,,28.0,28.0,79624,18753,4.2,-0.13,656,3308,20,12,27,-0.36,28,14.5,-0.69,82.0,435.0,0.66,120,126,103,148,1.72,,,,,,,,,,,,,,,,7.6,-0.83,Yes,1.34,15,12,18,13,10,16,2,1,3,2,1,3,0.84,77,72,82,-0.68,,,,,,,,,,,,,,,,6607,39,33,44,0.47,
9,10,29017,Missouri,Bollinger,,217.0,8470.0,6539.0,10401.0,-0.21,,,,,,,,,,,,,,,,,,,,,24,21,28,0.78,5.2,4.8,5.8,0.88,5.3,4.9,5.8,1.16,,7,5.0,9.0,-0.7,,,,,,,,,,,,,,,,27,24,31,1.06,38,29.0,49.0,0.96,6.9,0.43,32,23.0,42.0,0.69,26,1.44,18,17,19,-0.46,5,13,38,23,52,1.16,30.0,243.8,-0.48,29.0,22.0,36.0,-0.1,,,,,,,,,,,,,,,,1515,16,14,18,0.87,1.0,8.0,12169,1.3,3.0,25.0,4044,0.56,4.0,33.0,3033,0.83,4930,0.16,,,,,,42,-0.25,,,,,,40,0.09,,,,,,6953,8718,80,76.0,83.0,1.57,1165,2698,43,35.0,51.0,1.14,214,5484,3.9,0.29,21,13,30,-0.06,,,,,,80414,18672,4.3,-0.01,354,2663,13,6,20,-1.33,12,9.9,0.54,54.0,438.0,0.67,45,74,54,99,-0.75,,,,,,,,,,,,,,,,8.7,0.9,No,-0.74,13,9,16,10,7,13,2,1,4,1,1,2,0.1,71,65,76,-2.05,,,,,,,,,,,,,,,,5089,52,44,60,1.68,
