,Unnamed: 0,FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low.1,95% CI - High.1,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths.1,Child Mortality Rate,95% CI - Low.2,95% CI - High.2,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths.2,Infant Mortality Rate,95% CI - Low.3,95% CI - High.3,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low.4,95% CI - High.4,% Frequent Mental Distress,95% CI - Low.5,95% CI - High.5,% Adults with Diabetes,95% CI - Low.6,95% CI - High.6,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low.7,95% CI - High.7,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low.8,95% CI - High.8,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low.9,95% CI - High.9,# Uninsured (Adults),% Uninsured (Adults),95% CI - Low (Adults),95% CI - High (Adults),# Uninsured (Children),% Uninsured (Children),95% CI - Low (Children),95% CI - High (Children),Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low.10,95% CI - High.10,Average Grade Performance (Math),Average Grade Performance (Asian) (Math),Average Grade Performance (Black) (Math),Average Grade Performance (Hispanic) (Math),Average Grade Performance (White) (Math),Average Grade Performance (Reading),Average Grade Performance (Asian) (Reading),Average Grade Performance (Black) (Reading),Average Grade Performance (Hispanic) (Reading),Average Grade Performance (White) (Reading),Median Household Income,95% CI - Low.11,95% CI - High.11,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low.12,95% CI - High.12,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths.3,Suicide Rate (Age-Adjusted),95% CI - Low.13,95% CI - High.13,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low.14,95% CI - High.14,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low.15,95% CI - High.15,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low.16,95% CI - High.16,% Broadband Access,Numerator,95% CI - Low.17,95% CI - High.17,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low.18,95% CI - High.18,% Female,# Rural,% Rural,Unnamed: 277
0,1,30000,Montana,,78.9,78.7,79.1,67.4,66.6,68.2,89.0,84.4,93.6,79.8,74.7,84.9,83.9,81.9,85.8,79.7,79.5,79.9,13221.0,334.0,328.0,340.0,854.0,810.0,897.0,181.0,135.0,236.0,406.0,308.0,525.0,260.0,226.0,295.0,304.0,298.0,310.0,477.0,52.0,47.0,57.0,120.0,98.0,142.0,,,,,,,43.0,28.0,64.0,44.0,39.0,49.0,458.0,5.0,5.0,6.0,12.0,10.0,15.0,,,,,,,5.0,4.0,8.0,4.0,4.0,5.0,11,10,12,12,11,14,9,,,644.0,72.0,109150,10,81931,8,387.0,12.0,11.0,13.0,22.0,16.0,30.0,,,,,,,12.0,7.0,20.0,11.0,10.0,13.0,1315.0,18.0,17.0,19.0,52.0,46.0,59.0,,,,18.0,9.0,31.0,12.0,8.0,16.0,16.0,15.0,17.0,31,29,33,73022,12,11,13,14548,6,5,7,133,751,10397.0,85.0,7.0,6.0,8.0,3.1,3.2,2.6,2.8,3.2,3.0,3.1,2.5,2.7,3.2,57248,55879,58617,33535.0,30693.0,36377.0,61022.0,51772.0,70272.0,44614.0,33922.0,55306.0,46342.0,41774.0,50910.0,56501.0,55741.0,57261.0,39,77.0,49.0,4.0,3.0,4.0,14.0,11.0,18.0,,,,,,,,,,3.0,2.0,3.0,1403.0,26.0,25.0,28.0,27.0,32.0,26.0,39.0,,,,19.0,8.0,35.0,22.0,15.0,30.0,26.0,24.0,27.0,1038.0,20.0,19.0,21.0,18.0,14.0,23.0,,,,22.0,11.0,40.0,15.0,11.0,22.0,20.0,19.0,21.0,3436,567,103400,39.0,189,291471,68,68,69,51379,12,12,13,81,345162,80,81,1068778,21.4,19.3,5766,0.5,71096,6.7,9833,0.9,920,0.1,43289,4.1,917711,85.9,2654,0,0,0,49.7,436401,44.1,
1,2,30001,Montana,Beaverhead,82.0,80.3,83.8,,,,,,,,,,,,,,,,84.0,217.0,169.0,276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,12,13,12,15,7,4.0,12.0,,,940,10,857,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,30,33,696,13,11,15,131,8,5,11,85,1182,72.0,88.0,,,,3.1,,,,,3.1,,,,,49771,43024,56518,,,,,,,,,,,,,,,,48,,12.0,,,,,,,,,,,,,,,,,,,14.0,31.0,16.0,53.0,30.0,,,,,,,,,,,,,,,,10.0,21.0,10.0,39.0,,,,,,,,,,,,,,,,8,1-4,800,,18,2705,68,65,70,649,17,12,22,76,3035,72,81,9453,17.4,22.3,32,0.3,183,1.9,47,0.5,52,0.6,520,5.5,8464,89.5,100,1,0,2,48.8,4637,50.2,
2,3,30003,Montana,Big Horn,68.2,66.2,70.2,62.6,60.1,65.1,,,,,,,,,,78.1,74.8,81.5,293.0,777.0,685.0,869.0,1084.0,940.0,1228.0,,,,,,,,,,359.0,262.0,481.0,26.0,144.0,94.0,211.0,,,,,,,,,,,,,,,,24.0,13.0,8.0,20.0,,,,,,,,,,,,,,,,18,16,19,18,17,20,17,14.0,21.0,9.0,90.0,2190,16,3258,25,,,,,,,,,,,,,,,,,,,,78.0,84.0,66.0,105.0,,,,,,,,,,,,,,,,37,36,39,1459,21,17,24,341,8,5,10,143,701,194.0,71.0,11.0,5.0,18.0,,,,,,2.1,,,,,43718,37942,49494,45328.0,37615.0,53041.0,,,,,,,38250.0,1614.0,74886.0,53636.0,47609.0,59663.0,66,,50.0,17.0,10.0,28.0,,,,,,,,,,,,,,,,16.0,27.0,15.0,45.0,24.0,,,,,,,,,,,,,,,,18.0,27.0,16.0,43.0,,,,,,,,,,,,,,,,78,1-4,2000,,26,2288,63,59,68,237,7,4,10,66,2393,62,71,13319,33.5,13.3,53,0.4,8841,66.4,91,0.7,3,0.0,874,6.6,3528,26.5,123,1,0,2,50.8,9251,71.9,
3,4,30005,Montana,Blaine,73.9,71.0,76.9,67.9,63.4,72.5,,,,,,,,,,82.1,79.0,85.3,109.0,546.0,439.0,653.0,814.0,628.0,1037.0,,,,,,,,,,258.0,173.0,371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,18,18,17,19,15,12.0,18.0,,,1200,18,1276,20,,,,,,,,,,,,,,,,,,,,16.0,34.0,20.0,56.0,,,,,,,,,,,,,,,,37,36,38,732,20,17,23,191,9,7,12,60,1670,,,,,,2.9,,,,,3.0,,,,,44090,38444,49736,32404.0,23672.0,41136.0,,,,,,,,,,47750.0,41950.0,53550.0,56,,79.0,,,,,,,,,,,,,,,,,,,14.0,45.0,25.0,76.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1-4,900,,12,1373,58,53,63,234,11,7,15,70,1658,65,75,6681,29.5,15.8,25,0.4,3380,50.6,15,0.2,1,0.0,248,3.7,2929,43.8,4,0,0,1,50.1,6491,100.0,
4,5,30007,Montana,Broadwater,80.4,77.9,82.9,,,,,,,,,,,,,,,,68.0,268.0,200.0,351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,12,13,12,15,10,6.0,16.0,,,520,9,409,7,,,,,,,,,,,,,,,,,,,,14.0,34.0,19.0,57.0,,,,,,,,,,,,,,,,32,30,33,386,11,9,13,96,8,5,10,16,6237,,,,,,3.0,,,,,3.2,,,,,60622,52131,69113,,,,,,,,,,,,,,,,38,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1-4,600,,45,1951,83,81,84,226,10,4,15,73,1728,67,79,6237,19.6,24.0,24,0.4,94,1.5,18,0.3,7,0.1,183,2.9,5820,93.3,12,0,0,1,48.5,5612,100.0,
5,6,30009,Montana,Carbon,82.0,79.9,84.0,,,,,,,,,,,,,,,,143.0,290.0,234.0,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,12,13,11,14,7,5.0,10.0,8.0,85.0,980,9,1037,10,,,,,,,,,,,,,,,,,,,,16.0,22.0,12.0,35.0,,,,,,,,,,,,,,,,33,31,35,783,13,11,15,183,9,7,12,37,2681,,,,,,3.1,,,,,3.0,,,,,57585,52840,62330,,,,,,,,,,,,,,,,35,,26.0,,,,,,,,,,,,,,,,,,,13.0,34.0,18.0,57.0,25.0,,,,,,,,,,,,,,,,14.0,26.0,14.0,44.0,,,,,,,,,,,,,,,,12,1-4,1000,,19,3456,76,75,78,488,11,8,14,78,3549,75,82,10725,17.0,26.8,58,0.5,144,1.3,37,0.3,5,0.0,261,2.4,10082,94.0,52,1,0,1,49.4,10078,100.0,
6,7,30011,Montana,Carter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,10,13,14,12,15,11,7.0,18.0,,,120,9,436,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,31,34,100,15,12,18,33,13,8,18,160,626,,,,,,,,,,,,,,,,49057,42430,55684,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,100,0.0,1,452,72,65,79,62,11,0,22,78,489,66,90,1252,21.6,26.1,1,0.1,13,1.0,1,0.1,0,0.0,14,1.1,1200,95.8,0,0,0,4,50.1,1160,100.0,
7,8,30013,Montana,Cascade,77.7,77.1,78.3,68.4,65.5,71.4,,,,72.9,67.1,78.6,75.7,71.5,79.8,78.3,77.7,78.9,1135.0,385.0,361.0,408.0,911.0,736.0,1115.0,,,,,,,404.0,259.0,601.0,360.0,336.0,384.0,27.0,37.0,24.0,54.0,,,,,,,,,,,,,,,,38.0,5.0,3.0,7.0,,,,,,,,,,,,,,,,12,11,14,14,13,16,10,8.0,11.0,44.0,65.0,8680,11,7644,9,34.0,14.0,10.0,19.0,,,,,,,,,,,,,,,,86.0,15.0,12.0,19.0,40.0,20.0,71.0,,,,,,,,,,14.0,11.0,18.0,36,34,37,5084,11,9,12,1004,5,4,7,159,631,825.0,80.0,6.0,3.0,10.0,3.2,,,3.0,3.3,3.1,,,2.8,3.2,51732,47409,56055,23849.0,11310.0,36388.0,52663.0,10574.0,94752.0,50938.0,28139.0,73737.0,38702.0,34838.0,42566.0,51982.0,49986.0,53978.0,46,58.0,25.0,3.0,2.0,5.0,,,,,,,,,,,,,,,,109.0,26.0,21.0,31.0,27.0,,,,,,,,,,,,,,,,76.0,19.0,15.0,23.0,,,,,,,,,,,,,,,,494,129,7800,80.0,292,22099,64,63,66,3816,11,10,13,77,26426,75,79,81366,22.4,19.1,1247,1.5,3952,4.9,833,1.0,103,0.1,3860,4.7,69115,84.9,138,0,0,0,49.5,16120,19.8,
8,9,30015,Montana,Chouteau,79.8,77.6,82.1,,,,,,,,,,,,,,,,74.0,321.0,246.0,412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,15,15,14,16,12,7.0,17.0,,,660,12,2023,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,33,36,558,17,15,20,152,11,8,15,106,939,,,,,,3.6,,,,,3.6,,,,,48017,41550,54484,23241.0,19071.0,27411.0,,,,,,,,,,45913.0,41385.0,50441.0,44,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1-4,700,,8,1450,64,61,66,149,7,4,11,71,1620,68,75,5635,22.5,21.2,11,0.2,1075,19.1,24,0.4,7,0.1,161,2.9,4325,76.8,24,0,0,2,49.8,5813,100.0,
9,10,30017,Montana,Custer,78.3,76.7,80.0,,,,,,,,,,,,,,,,152.0,338.0,281.0,394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,12,14,12,15,11,8.0,14.0,6.0,61.0,1190,10,2291,20,,,,,,,,,,,,,,,,,,,,13.0,16.0,8.0,27.0,,,,,,,,,,,,,,,,33,32,35,688,10,9,12,154,6,4,8,149,671,139.0,93.0,,,,3.0,,,,,2.9,,,,,49379,43310,55448,,,,,,,,,,113162.0,8263.0,218061.0,53471.0,47742.0,59200.0,47,,46.0,,,,,,,,,,,,,,,,,,,14.0,22.0,12.0,38.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,14,1100,45.0,151,3371,69,65,72,560,12,9,15,76,3750,74,79,11402,20.7,20.7,64,0.6,260,2.3,83,0.7,10,0.1,426,3.7,10387,91.1,27,0,0,1,50.1,2095,17.9,
