,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,30000,Montana,,,13221.0,7121.0,6931.0,7311.0,,20397.0,19166.0,21628.0,,3934.0,2654.0,5615.0,,8478.0,6454.0,10936.0,,5332.0,4542.0,6121.0,,6197.0,6008.0,6386.0,,14,13,15,,3.6,3.3,3.9,,3.9,3.5,4.2,,,7.0,7.0,8.0,,9.0,8.0,10.0,10.0,8.0,12.0,12.0,10.0,15.0,8.0,7.0,9.0,7.0,7.0,7.0,19,17,21,,27,,,,7.4,,22,,,,75,,22,20,24,,433.0,966.0,45.0,43.0,46.0,,4917.0,468.1,,23.0,22.0,23.0,,69.0,65.0,72.0,8.0,5.0,11.0,22.0,17.0,28.0,29.0,26.0,32.0,17.0,17.0,18.0,86396,10,10,11,,857.0,81.0,1240,,788.0,74.0,1356,,3385.0,317.0,316,,3023.0,,6856.0,1602.0,5316.0,2730.0,2877.0,43,,26.0,38.0,38.0,34.0,44.0,43,,29.0,40.0,29.0,38.0,44.0,676645,723295,94,93,94,,176363,257819,68,67,70,,18583,533503,3.5,,15,14,17,,38.0,16.0,11.0,20.0,13.0,105788,23825,4.4,,45679,226579,20,19,21,,1520,14.3,,3577.0,346.0,,4882.0,93.0,90.0,95.0,,159.0,146.0,172.0,22.0,12.0,39.0,81.0,57.0,112.0,60.0,50.0,71.0,90.0,87.0,93.0,5.1,,,,15,14,15,12,12,12,2,2,2,1,1,1,,76,75,76,,71.0,69.0,72.0,65.0,59.0,71.0,73.0,67.0,78.0,69.0,66.0,72.0,77.0,76.0,77.0,504672,17,16,17,,
1,2,30001,Montana,Beaverhead,,84.0,4366.0,2767.0,6551.0,-0.98,,,,,,,,,,,,,,,,,,,,,14,12,16,-0.61,3.6,3.2,4.0,-0.64,4.1,3.7,4.5,-0.71,,8.0,6.0,10.0,0.5,,,,,,,,,,,,,,,,19,15,22,-0.7,27,21.0,34.0,-0.63,8.0,-0.44,20,15.0,26.0,-1.15,80,-0.85,23,22,24,0.34,4.0,15.0,27.0,13.0,41.0,-0.71,46.0,487.6,0.18,12.0,8.0,17.0,-0.88,,,,,,,,,,,,,,,,817,12,10,14,-0.01,14.0,149.0,672,-2.48,6.0,63.0,1576,-0.4,19.0,201.0,498,0.06,709.0,-1.93,,,,,,50,-1.5,,,,,,56,-1.76,,,,,,6093,6404,95,94,97,-1.08,1315,1888,70,58,81,-0.81,149,5071,2.9,-0.57,17,10,24,-0.25,,72.0,,,10.0,92400,18194,5.1,1.29,176,1573,11,7,16,-0.79,10,10.6,-0.05,10.0,107.0,-1.09,38.0,81.0,57.0,111.0,-0.97,,,,,,,,,,,,,,,,5.6,-0.03,Yes,1.34,15,11,18,13,9,16,1,0,3,1,0,2,0.49,72,68,76,0.16,,,,,,,,,,,,,,,,4533,13,9,16,-0.88,
2,3,30003,Montana,Big Horn,,293.0,21306.0,18229.0,24383.0,2.95,,,,,,,,,,,,,,,,,,,,,26,23,28,2.57,5.2,4.9,5.6,1.99,5.1,4.8,5.5,1.82,,8.0,7.0,10.0,0.69,8.0,6.0,9.0,,,,,,,,,,10.0,6.0,13.0,29,26,32,2.11,39,34.0,44.0,1.75,5.3,1.76,25,21.0,29.0,0.01,59,0.05,19,19,20,-2.17,46.0,65.0,71.0,67.0,74.0,1.66,168.0,1257.5,2.3,80.0,71.0,90.0,3.0,94.0,82.0,106.0,,,,,,,52.0,28.0,87.0,33.0,20.0,52.0,1782,16,14,18,1.3,7.0,52.0,1905,0.31,7.0,53.0,1903,-0.06,12.0,90.0,1110,0.87,6994.0,3.0,10704.0,,,,3902.0,32,1.19,26.0,,,,41.0,41,-0.39,30.0,,,,50.0,6805,7601,90,88,91,0.95,1542,2968,52,44,60,1.05,357,4832,7.4,2.81,32,20,45,2.31,30.0,,,55.0,11.0,98326,21423,4.6,0.46,1300,4521,29,23,35,1.28,8,6.0,0.66,71.0,533.0,1.86,130.0,195.0,162.0,229.0,3.0,240.0,194.0,287.0,,,,,,,,,,144.0,95.0,209.0,5.8,0.11,No,-0.73,23,19,27,7,4,10,15,12,19,2,1,3,2.58,69,65,74,-0.16,76.0,70.0,81.0,,,,,,,,,,67.0,58.0,76.0,4747,25,21,30,0.43,
3,4,30005,Montana,Blaine,,109.0,14865.0,11148.0,18581.0,1.45,,,,,,,,,,,,,,,,,,,,,23,21,25,1.87,5.0,4.7,5.4,1.7,5.2,4.9,5.6,2.04,,8.0,6.0,10.0,0.62,9.0,7.0,11.0,,,,,,,,,,6.0,3.0,10.0,28,25,30,1.73,39,35.0,44.0,1.73,5.6,1.52,27,24.0,30.0,0.52,39,0.96,20,19,21,-1.7,5.0,8.0,63.0,47.0,74.0,1.21,62.0,924.3,1.38,47.0,37.0,59.0,1.15,,,,,,,,,,,,,,,,911,16,14,19,1.45,4.0,59.0,1702,0.13,5.0,75.0,1336,-0.75,14.0,210.0,477,-0.01,4491.0,1.06,7018.0,,,,2623.0,30,1.49,19.0,,,,36.0,28,0.8,20.0,,,,30.0,3714,4130,90,88,92,0.81,952,1580,60,52,68,0.18,88,2487,3.5,-0.11,27,17,38,1.48,56.0,,,51.0,31.0,77000,16434,4.7,0.63,557,2007,28,19,36,1.16,6,8.8,0.23,8.0,133.0,-0.91,48.0,144.0,106.0,191.0,1.29,193.0,132.0,272.0,,,,,,,,,,91.0,50.0,152.0,5.2,-0.31,Yes,1.34,17,13,20,11,7,14,6,4,8,2,1,3,0.94,76,73,79,0.68,80.0,79.0,81.0,,,,,,,,,,72.0,63.0,81.0,2435,21,15,26,-0.03,
4,5,30007,Montana,Broadwater,x,,,,,0.0,,,,,,,,,,,,,,,,,,,,,14,12,17,-0.62,3.6,3.2,4.0,-0.65,4.1,3.7,4.5,-0.69,x,4.0,,,-3.0,,,,,,,,,,,,,,,,19,16,23,-0.54,29,20.0,40.0,-0.19,8.4,-0.76,23,16.0,33.0,-0.34,60,0.04,23,21,24,-0.02,3.0,10.0,30.0,13.0,48.0,-0.53,16.0,269.5,-0.42,19.0,12.0,29.0,-0.45,,,,,,,,,,,,,,,,476,10,9,12,-0.5,2.0,33.0,3043,0.88,2.0,32.0,3119,0.57,5.0,80.0,1247,0.94,3054.0,-0.07,,,,,,40,0.0,,,,,,46,-0.85,,,,,,3995,4288,93,90,96,-0.37,631,1074,59,44,73,0.34,103,2585,4.0,0.23,12,7,18,-0.95,,,,,,101870,26763,3.8,-0.86,126,1157,11,4,18,-0.83,4,6.6,0.57,25.0,438.0,1.2,22.0,74.0,46.0,112.0,-1.21,,,,,,,,,,,,,,,,4.9,-0.53,No,-0.73,9,5,14,9,4,13,1,0,3,1,0,2,-1.05,82,75,90,1.43,,,,,,,,,,,,,,,,2539,45,33,57,2.48,
5,6,30009,Montana,Carbon,,143.0,6430.0,4442.0,8417.0,-0.5,,,,,,,,,,,,,,,,,,,,,13,11,15,-1.0,3.3,2.9,3.8,-1.07,4.0,3.6,4.4,-0.88,,6.0,4.0,8.0,-1.43,,,,,,,,,,,,,,,,18,14,21,-1.01,24,19.0,30.0,-1.16,8.1,-0.52,22,17.0,28.0,-0.59,45,0.68,24,23,26,1.04,7.0,20.0,35.0,23.0,47.0,-0.26,24.0,224.4,-0.55,10.0,6.0,16.0,-0.98,,,,,,,,,,,,,,,,950,12,10,14,0.05,5.0,47.0,2143,0.48,7.0,65.0,1532,-0.46,10.0,93.0,1073,0.85,2456.0,-0.55,,,,,,46,-0.9,,,,,,50,-1.21,,,,,,7651,8123,94,93,96,-0.74,1399,2130,66,57,75,-0.39,189,5482,3.4,-0.18,13,7,18,-0.87,,,,6.0,11.0,102391,26996,3.8,-0.88,379,1873,20,13,27,0.27,10,9.3,0.15,25.0,234.0,-0.21,59.0,111.0,85.0,144.0,0.12,,,,,,,,,,,,,,,,5.2,-0.31,No,-0.73,12,10,15,11,8,14,1,0,2,1,0,2,-0.16,69,66,73,-0.16,,,,,,,,,,,,,,,,5162,39,33,44,1.8,
6,7,30011,Montana,Carter,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13,17,,3.7,3.3,4.1,,4.2,3.8,4.6,,,,,,,,,,,,,,,,,,,,,,20,17,23,,23,15.0,32.0,,5.6,,22,14.0,30.0,,22,,23,22,24,,1.0,3.0,33.0,4.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,133,15,12,17,,0.0,0.0,1238,,0.0,0.0,1252,,,,nan,,649.0,,,,,,,44,,,,,,,21,,,,,,,893,965,93,89,96,,181,260,70,53,86,,18,644,2.8,,21,12,30,,,,,,,97611,19100,5.1,,18,285,6,0,14,,3,24.2,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,4.4,,No,,10,5,14,8,0,15,1,0,4,1,0,5,,55,43,68,,,,,,,,,,,,,,,,,637,32,16,47,,
7,8,30013,Montana,Cascade,,1135.0,7520.0,6853.0,8188.0,-0.25,17590.0,13546.0,22462.0,,,,,,,,,,,,,,6970.0,6271.0,7670.0,,17,15,19,0.13,4.1,3.7,4.6,0.24,4.4,4.1,4.8,0.14,,8.0,7.0,9.0,0.57,9.0,6.0,11.0,11.0,6.0,16.0,13.0,9.0,18.0,10.0,7.0,12.0,8.0,7.0,8.0,21,17,24,-0.2,31,28.0,34.0,0.18,7.9,-0.36,24,22.0,27.0,-0.19,83,-1.02,22,21,22,-0.73,23.0,45.0,51.0,44.0,57.0,0.6,489.0,598.9,0.49,31.0,28.0,34.0,0.23,73.0,57.0,91.0,,,,34.0,18.0,58.0,32.0,22.0,45.0,28.0,25.0,31.0,6005,9,8,10,-0.85,62.0,76.0,1317,-0.37,73.0,90.0,1115,-1.21,275.0,338.0,296,-0.95,3377.0,0.18,6439.0,,,,3294.0,52,-1.8,36.0,38.0,58.0,40.0,54.0,44,-0.67,35.0,31.0,26.0,34.0,44.0,50802,55355,92,91,93,0.14,13045,20383,64,60,68,-0.21,1288,37939,3.4,-0.22,18,13,23,-0.05,50.0,,,30.0,12.0,99084,22687,4.4,0.09,4482,18218,25,20,29,0.79,109,13.4,-0.47,200.0,241.0,-0.16,415.0,102.0,92.0,111.0,-0.23,151.0,102.0,216.0,,,,,,,88.0,50.0,143.0,101.0,91.0,112.0,5.0,-0.46,Yes,1.34,12,11,14,10,9,11,2,1,2,1,1,2,-0.17,80,78,82,1.21,48.0,39.0,57.0,,,,,,,62.0,49.0,75.0,83.0,81.0,85.0,38629,9,8,10,-1.23,
8,9,30015,Montana,Chouteau,,74.0,6008.0,3888.0,8869.0,-0.6,,,,,,,,,,,,,,,,,,,,,18,16,20,0.45,4.2,3.9,4.6,0.4,4.6,4.3,5.0,0.6,,8.0,5.0,11.0,0.66,,,,,,,,,,,,,,,,22,19,25,0.28,31,23.0,39.0,0.24,5.5,1.6,26,20.0,34.0,0.3,37,1.07,22,21,23,-0.52,5.0,16.0,31.0,18.0,45.0,-0.46,6.0,104.1,-0.88,,,,0.0,,,,,,,,,,,,,,,,701,16,13,18,1.23,,,nan,0.0,1.0,18.0,5635,1.01,4.0,71.0,1409,1.01,1883.0,-1.0,,,,,,49,-1.35,,,,,,26,0.98,,,,,,3640,3929,93,91,94,-0.18,814,1250,65,57,73,-0.33,66,2455,2.7,-0.76,20,11,29,0.34,53.0,,,,8.0,84083,20698,4.1,-0.43,320,1356,24,15,32,0.67,6,10.4,-0.02,,,0.0,31.0,108.0,73.0,153.0,0.01,,,,,,,,,,,,,,,,4.8,-0.6,Yes,1.34,10,8,12,7,4,9,3,2,4,1,0,1,-0.87,60,57,64,-1.3,,,,,,,,,,,,,,,,2560,27,21,33,0.63,
9,10,30017,Montana,Custer,,152.0,6913.0,5072.0,8754.0,-0.39,,,,,,,,,,,,,,,,,,,,,15,13,17,-0.5,3.6,3.2,4.0,-0.65,4.1,3.8,4.5,-0.54,,7.0,5.0,9.0,-0.24,,,,,,,,,,,,,,,,19,16,22,-0.49,30,24.0,35.0,-0.13,7.1,0.3,23,18.0,27.0,-0.51,72,-0.52,25,24,26,1.45,1.0,6.0,17.0,1.0,43.0,-1.24,30.0,256.0,-0.46,31.0,24.0,39.0,0.2,,,,,,,,,,,,,,,,831,9,8,11,-0.86,10.0,86.0,1159,-0.67,7.0,61.0,1629,-0.34,42.0,368.0,271,-1.17,2473.0,-0.53,,,,,,40,0.0,,,,,,39,-0.21,64.0,,,,39.0,7576,8236,92,90,94,0.06,2003,2775,72,64,80,-1.07,174,6060,2.9,-0.62,14,8,21,-0.61,69.0,,,13.0,10.0,103023,23225,4.4,0.2,465,2527,18,12,25,0.06,8,6.9,0.52,26.0,210.0,-0.38,58.0,99.0,75.0,128.0,-0.33,,,,,,,,,,,,,,,,5.0,-0.46,No,-0.73,10,8,12,7,6,9,1,0,2,1,0,2,-0.84,77,73,80,0.76,,,,,,,,,,,,,,,,6104,8,6,10,-1.35,
