,Unnamed: 0,FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low.1,95% CI - High.1,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths.1,Child Mortality Rate,95% CI - Low.2,95% CI - High.2,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths.2,Infant Mortality Rate,95% CI - Low.3,95% CI - High.3,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low.4,95% CI - High.4,% Frequent Mental Distress,95% CI - Low.5,95% CI - High.5,% Adults with Diabetes,95% CI - Low.6,95% CI - High.6,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low.7,95% CI - High.7,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low.8,95% CI - High.8,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low.9,95% CI - High.9,# Uninsured (Adults),% Uninsured (Adults),95% CI - Low (Adults),95% CI - High (Adults),# Uninsured (Children),% Uninsured (Children),95% CI - Low (Children),95% CI - High (Children),Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low.10,95% CI - High.10,Average Grade Performance (Math),Average Grade Performance (Asian) (Math),Average Grade Performance (Black) (Math),Average Grade Performance (Hispanic) (Math),Average Grade Performance (White) (Math),Average Grade Performance (Reading),Average Grade Performance (Asian) (Reading),Average Grade Performance (Black) (Reading),Average Grade Performance (Hispanic) (Reading),Average Grade Performance (White) (Reading),Median Household Income,95% CI - Low.11,95% CI - High.11,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low.12,95% CI - High.12,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths.3,Suicide Rate (Age-Adjusted),95% CI - Low.13,95% CI - High.13,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low.14,95% CI - High.14,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low.15,95% CI - High.15,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low.16,95% CI - High.16,% Broadband Access,Numerator,95% CI - Low.17,95% CI - High.17,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low.18,95% CI - High.18,% Female,# Rural,% Rural,Unnamed: 277
0,1,31000,Nebraska,,79.6,79.4,79.7,73.2,70.6,75.7,87.3,85.6,89.0,74.9,74.2,75.6,86.7,85.5,88.0,79.6,79.4,79.7,20347.0,313.0,308.0,317.0,675.0,598.0,753.0,158.0,135.0,181.0,517.0,488.0,546.0,207.0,191.0,222.0,312.0,307.0,316.0,948.0,50.0,47.0,53.0,99.0,63.0,147.0,23.0,12.0,39.0,85.0,70.0,100.0,46.0,39.0,53.0,47.0,43.0,51.0,1010.0,6.0,5.0,6.0,13.0,9.0,19.0,,,,10.0,9.0,12.0,5.0,4.0,6.0,5.0,5.0,6.0,10,9,10,11,10,12,10,,,2174.0,137.0,237440,12,103099,6,451.0,8.0,7.0,9.0,,,,,,,9.0,6.0,13.0,2.0,1.0,4.0,9.0,8.0,9.0,1686.0,13.0,12.0,13.0,30.0,21.0,42.0,3.0,2.0,6.0,12.0,10.0,15.0,13.0,11.0,15.0,13.0,12.0,13.0,32,31,34,127048,11,11,12,24810,5,4,6,130,768,23151.0,87.0,5.0,4.0,5.0,3.1,3.2,2.5,2.7,3.3,3.2,3.3,2.4,2.7,3.4,63290,62207,64373,40910.0,36975.0,44845.0,58586.0,53648.0,63524.0,35976.0,33628.0,38324.0,49436.0,47613.0,51259.0,64768.0,64299.0,65237.0,45,64.0,45.0,3.0,3.0,3.0,18.0,11.0,27.0,,,,22.0,18.0,25.0,3.0,2.0,4.0,2.0,1.0,2.0,1324.0,14.0,13.0,15.0,14.0,22.0,13.0,35.0,8.0,5.0,12.0,8.0,5.0,11.0,7.0,5.0,9.0,15.0,14.0,16.0,888.0,9.0,9.0,10.0,16.0,9.0,27.0,,,,22.0,18.0,26.0,4.0,3.0,6.0,9.0,9.0,10.0,,5327,211500,25.0,358,501679,66,66,66,75980,10,10,11,83,632862,83,84,1934408,24.6,16.2,94830,4.9,29285,1.5,53187,2.7,2349,0.1,219645,11.4,1513172,78.2,46707,3,2.0,3.0,50.0,490655,26.9,
1,2,31001,Nebraska,Adams,78.8,77.7,79.8,,,,,,,,,,89.8,75.4,104.1,78.3,77.2,79.4,409.0,366.0,328.0,403.0,,,,,,,,,,,,,,,,18.0,60.0,36.0,95.0,,,,,,,,,,,,,,,,20.0,7.0,4.0,11.0,,,,,,,,,,,,,,,,11,10,12,12,11,13,12,11.0,14.0,,,4060,13,2914,9,,,,,,,,,,,,,,,,,,,,30.0,14.0,9.0,19.0,,,,,,,,,,,,,,,,32,31,34,1858,11,9,12,392,5,4,7,143,697,386.0,86.0,,,,3.1,,,2.9,3.2,2.9,,,2.7,3.0,55182,49186,61178,,,,40924.0,29432.0,52416.0,,,,45905.0,28042.0,63768.0,53923.0,51242.0,56604.0,52,73.0,28.0,,,,,,,,,,,,,,,,,,,27.0,18.0,12.0,27.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,3300,37.0,161,8449,66,64,69,1374,11,9,13,79,10001,76,81,31363,23.4,18.9,314,1.0,411,1.3,406,1.3,33,0.1,3450,11.0,26691,85.1,667,2,1.0,3.0,50.2,7052,22.5,
2,3,31003,Nebraska,Antelope,82.1,80.0,84.3,,,,,,,,,,,,,,,,55.0,229.0,167.0,306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,12,13,11,14,11,8.0,15.0,,,800,13,500,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,30,33,408,12,10,14,114,7,5,10,127,787,,,,,,3.3,,,,,3.5,,,,,50771,45278,56264,,,,,,,,,,,,,,,,44,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,700,20.0,48,2050,76,74,77,194,8,5,11,76,2064,73,79,6298,23.6,24.1,18,0.3,34,0.5,32,0.5,0,0.0,215,3.4,5978,94.9,41,1,0.0,2.0,49.5,6685,100.0,
3,4,31005,Nebraska,Arthur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,11,12,10,13,7,3.0,14.0,,,50,13,203,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,29,32,30,12,10,15,18,15,9,20,0,463,,,,,,,,,,,,,,,,46417,39952,52882,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,100,0.0,0,131,66,52,81,26,16,0,38,74,146,70,79,463,25.3,21.4,0,0.0,2,0.4,1,0.2,0,0.0,20,4.3,436,94.2,0,0,0.0,12.0,51.0,460,100.0,
4,5,31007,Nebraska,Banner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,11,12,11,13,13,7.0,21.0,,,80,12,308,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,30,33,37,10,8,11,16,9,6,13,0,745,,,,,,,,,,,,,,,,54706,46762,62650,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,100,0.0,0,197,70,58,81,16,8,0,29,78,220,69,86,745,24.4,24.0,10,1.3,2,0.3,2,0.3,0,0.0,43,5.8,684,91.8,14,2,0.0,9.0,51.5,690,100.0,
5,6,31009,Nebraska,Blaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,11,12,11,13,8,4.0,13.0,,,70,14,166,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,28,31,34,13,10,15,14,14,9,19,0,465,,,,,,,,,,,,,,,,45411,39063,51759,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-4,0,,7,157,74,62,86,5,3,0,28,86,184,84,89,465,18.5,26.9,2,0.4,1,0.2,0,0.0,0,0.0,7,1.5,450,96.8,2,0,0.0,11.0,47.7,478,100.0,
6,7,31011,Nebraska,Boone,81.3,79.1,83.5,,,,,,,,,,,,,,,,43.0,232.0,163.0,321.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,11,12,11,13,11,7.0,14.0,,,520,10,305,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,28,31,286,10,8,12,85,7,5,9,193,519,,,,,,3.4,,,,,3.5,,,,,58204,50103,66305,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,500,20.0,0,1760,76,74,79,140,6,3,9,79,1837,77,82,5192,23.2,23.4,22,0.4,15,0.3,19,0.4,1,0.0,114,2.2,4995,96.2,9,0,0.0,1.0,50.4,5505,100.0,
7,8,31013,Nebraska,Box Butte,77.8,76.0,79.5,,,,,,,,,,,,,,,,141.0,346.0,285.0,408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,12,12,11,13,12,10.0,15.0,,,1290,12,1464,13,,,,,,,,,,,,,,,,,,,,17.0,22.0,13.0,35.0,,,,,,,,,,,,,,,,32,31,33,659,11,9,13,136,5,3,6,102,980,151.0,84.0,,,,2.9,,,2.5,3.0,2.8,,,2.4,3.0,61522,53768,69276,,,,,,,,,,78444.0,39423.0,117465.0,53672.0,46006.0,61338.0,52,23.0,17.0,,,,,,,,,,,,,,,,,,,16.0,28.0,15.0,47.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,1200,28.0,119,3254,69,65,72,373,8,5,11,81,3863,77,86,10783,25.4,19.3,106,1.0,498,4.6,72,0.7,3,0.0,1396,12.9,8704,80.7,118,1,0.0,2.0,50.2,2822,25.0,
8,9,31015,Nebraska,Boyd,79.5,75.9,83.2,,,,,,,,,,,,,,,,33.0,372.0,231.0,569.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,12,12,11,13,11,7.0,16.0,,,260,13,865,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,29,32,128,13,11,15,39,10,7,14,104,960,,,,,,2.8,,,,,2.8,,,,,46548,40139,52957,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,200,35.0,13,737,82,77,86,49,6,1,11,73,656,64,81,1919,18.5,31.0,1,0.1,27,1.4,27,1.4,2,0.1,48,2.5,1812,94.4,5,0,0.0,3.0,50.2,2099,100.0,
9,10,31017,Nebraska,Brown,78.7,74.9,82.6,,,,,,,,,,,,,,,,43.0,399.0,277.0,558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,13,13,12,15,11,7.0,15.0,,,400,14,136,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,31,34,193,12,10,14,60,9,6,13,169,591,,,,,,3.2,,,,,3.1,,,,,48843,41926,55760,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,300,47.0,21,1046,75,64,87,93,7,3,12,79,1092,72,85,2955,21.6,27.0,14,0.5,34,1.2,6,0.2,3,0.1,80,2.7,2795,94.6,21,1,0.0,3.0,50.2,3145,100.0,
