,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,31000,Nebraska,,,20347.0,6149.0,6023.0,6274.0,,15920.0,13811.0,18029.0,,2827.0,2339.0,3315.0,,10114.0,9446.0,10782.0,,4295.0,3984.0,4605.0,,6081.0,5939.0,6223.0,,14,13,15,,3.2,3.0,3.4,,3.6,3.4,3.9,,,7.0,7.0,7.0,,7.0,6.0,8.0,8.0,7.0,9.0,13.0,12.0,13.0,7.0,7.0,7.0,7.0,6.0,7.0,17,16,18,,33,,,,7.6,,23,,,,84,,24,23,25,,383.0,1170.0,33.0,31.0,34.0,,8026.0,418.0,,20.0,19.0,20.0,,55.0,48.0,61.0,13.0,11.0,15.0,37.0,35.0,39.0,46.0,44.0,47.0,13.0,12.0,13.0,149728,9,9,10,,1473.0,76.0,1310,,1521.0,79.0,1272,,5345.0,276.0,362,,3475.0,,6993.0,2284.0,5519.0,3195.0,3390.0,48,,20.0,37.0,41.0,35.0,48.0,50,,32.0,55.0,44.0,41.0,51.0,1143491,1251026,91,91.0,92.0,,354282,491547,72,71.0,73.0,,31558,1035240,3.0,,12,11,12,,32.0,19.0,34.0,26.0,8.0,114247,27044,4.2,,99002,471753,21,20,22,,2693,14.0,,5413.0,286.0,,5750.0,60.0,58.0,62.0,,128.0,105.0,152.0,21.0,16.0,28.0,63.0,57.0,70.0,35.0,31.0,38.0,64.0,62.0,65.0,5.7,,,,13,12,13,10,10,10,2,2,2,1,1,1,,82,82,82,,72.0,68.0,76.0,68.0,65.0,71.0,79.0,78.0,81.0,75.0,74.0,77.0,84.0,83.0,84.0,987673,19,18,19,,
1,2,31001,Nebraska,Adams,,409.0,7235.0,6149.0,8322.0,0.28,,,,,,,,,,,,,,,,,,,,,15,13,17,0.05,3.5,3.1,3.9,0.41,3.9,3.5,4.3,0.46,,7.0,6.0,7.0,-0.09,,,,,,,,,,7.0,5.0,9.0,6.0,5.0,7.0,17,14,20,-0.14,37,34.0,40.0,0.52,7.4,0.21,27,24.0,30.0,-0.02,82,-1.0,23,22,24,0.04,7.0,19.0,37.0,25.0,49.0,0.24,85.0,268.3,0.27,24.0,20.0,27.0,0.37,,,,,,,,,,60.0,46.0,77.0,18.0,15.0,21.0,2216,9,8,10,-0.5,28.0,89.0,1125,-0.83,25.0,80.0,1255,-0.72,120.0,383.0,261,-2.02,3911.0,0.28,,,,4984.0,3796.0,52,-1.15,,56.0,,42.0,53.0,61,-1.59,,67.0,73.0,49.0,61.0,18505,20558,90,88.0,92.0,0.29,4942,7088,70,64.0,75.0,-0.06,530,16792,3.2,0.4,13,8,18,-0.24,,46.0,9.0,28.0,14.0,103278,24017,4.3,0.74,1481,7452,20,16,24,0.45,42,13.3,0.44,73.0,231.0,0.77,107.0,68.0,55.0,81.0,-0.48,,,,,,,,,,,,,,,,6.3,0.26,Yes,1.77,12,10,14,10,8,12,1,0,2,1,1,1,0.56,83,80,86,0.7,,,,,,,,,,57.0,45.0,69.0,85.0,83.0,87.0,15485,15,12,17,-0.78,
2,3,31003,Nebraska,Antelope,,55.0,5261.0,3214.0,8125.0,-0.68,,,,,,,,,,,,,,,,,,,,,14,13,17,-0.15,3.4,3.0,3.7,0.0,4.0,3.6,4.3,0.79,,5.0,3.0,7.0,-1.15,,,,,,,,,,,,,,,,18,15,21,0.4,34,29.0,39.0,-0.25,7.7,-0.12,22,18.0,27.0,-1.25,50,0.44,23,22,25,0.21,1.0,10.0,10.0,1.0,30.0,-1.0,6.0,94.3,-0.86,11.0,6.0,18.0,-1.05,,,,,,,,,,,,,,,,513,11,9,12,0.15,2.0,32.0,3168,1.02,2.0,32.0,3149,0.7,3.0,48.0,2099,0.67,3689.0,0.09,,,,,,48,-0.56,,,,,,33,0.28,,,,,,4088,4397,93,92.0,94.0,-0.36,929,1233,75,66.0,84.0,-0.69,91,3558,2.6,-1.08,16,10,22,0.44,,,50.0,20.0,12.0,91523,24024,3.8,-0.39,271,1491,18,10,27,0.2,17,26.8,-1.57,6.0,98.0,-0.26,21.0,66.0,41.0,101.0,-0.54,,,,,,,,,,,,,,,,5.9,-0.11,No,-0.56,11,8,13,8,5,11,1,0,3,2,1,4,0.16,77,73,80,-0.61,,,,,,,,,,,,,,,,3178,19,15,22,-0.32,
3,4,31005,Nebraska,Arthur,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12,16,,3.2,2.8,3.5,,3.6,3.3,4.0,,,,,,,,,,,,,,,,,,,,,,16,13,19,,32,22.0,44.0,,4.4,,22,14.0,34.0,,0,,23,22,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,13,10,16,,0.0,0.0,465,,0.0,0.0,463,,0.0,0.0,463,,,,,,,,,44,,,,,,,39,,,,,,,268,286,94,88.0,99.0,,55,69,80,38.0,100.0,,12,224,5.4,,20,12,28,,,,,,,74833,18727,4.0,,23,119,19,1,38,,0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,4.4,,No,,14,2,27,14,0,35,0,0,12,2,0,11,,62,53,72,,,,,,,,,,,,,,,,,191,36,23,50,,
4,5,31007,Nebraska,Banner,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12,16,,3.4,3.0,3.7,,3.7,3.4,4.1,,,,,,,,,,,,,,,,,,,,,,17,14,19,,30,21.0,42.0,,4.5,,19,11.0,28.0,,4,,23,21,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,9,8,11,,0.0,0.0,730,,0.0,0.0,745,,0.0,0.0,745,,,,,,,,,24,,,,,,,33,,,,,,,512,528,97,93.0,100.0,,124,150,83,61.0,100.0,,14,377,3.7,,19,11,27,,,,,,,88850,19571,4.5,,21,163,13,0,27,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,No,,10,1,19,8,0,20,0,0,7,5,0,12,,56,48,65,,,,,,,,,,,,,,,,,392,50,33,67,,
5,6,31009,Nebraska,Blaine,,,,,,,,,,,,,,,,,,,,,,,,,,,13,11,15,,3.2,2.8,3.5,,3.7,3.3,4.1,,,,,,,,,,,,,,,,,,,,,,17,14,19,,34,24.0,45.0,,5.0,,26,17.0,37.0,,10,,25,23,26,,0.0,1.0,0.0,0.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,47,13,11,15,,0.0,0.0,476,,0.0,0.0,465,,0.0,0.0,465,,2454.0,,,,,,,31,,,,,,,38,,,,,,,343,361,95,78.0,100.0,,63,85,74,40.0,100.0,,13,259,5.0,,28,16,40,,,,,,,70250,27714,2.5,,6,104,6,1,11,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,No,,9,0,17,5,0,19,2,0,12,2,0,9,,61,53,68,,,,,,,,,,,,,,,,,246,41,26,56,,
6,7,31011,Nebraska,Boone,x,,,,,0.0,,,,,,,,,,,,,,,,,,,,,14,12,16,-0.43,3.2,2.8,3.5,-0.69,3.5,3.2,3.9,-0.79,,7.0,5.0,10.0,0.35,,,,,,,,,,,,,,,,17,14,21,-0.06,36,31.0,42.0,0.23,8.4,-0.89,28,24.0,34.0,0.42,48,0.5,26,25,27,1.97,1.0,2.0,50.0,10.0,77.0,0.84,4.0,74.7,-0.99,16.0,10.0,25.0,-0.47,,,,,,,,,,,,,,,,366,9,8,11,-0.48,8.0,153.0,655,-2.89,4.0,77.0,1298,-0.64,2.0,39.0,2596,0.74,5304.0,1.5,,,,,,56,-1.75,,,,,,32,0.34,,,,,,3477,3663,95,93.0,97.0,-0.79,805,1031,78,66.0,90.0,-0.99,81,2963,2.7,-0.64,12,7,17,-0.42,,,,4.0,4.0,105438,31534,3.3,-1.48,60,1228,5,2,8,-1.77,7,13.4,0.43,,,0.0,25.0,95.0,61.0,140.0,0.64,,,,,,,,,,,,,,,,6.1,0.07,No,-0.56,9,7,12,7,4,10,2,0,3,1,0,1,-0.23,77,72,81,-0.57,,,,,,,,,,,,,,,,2835,19,15,23,-0.28,
7,8,31013,Nebraska,Box Butte,,141.0,7545.0,5488.0,9602.0,0.43,,,,,,,,,,,,,,,,,,,,,15,13,17,0.2,3.6,3.2,3.9,0.54,3.9,3.6,4.3,0.72,,8.0,6.0,10.0,0.85,,,,,,,,,,7.0,3.0,11.0,8.0,6.0,10.0,18,16,21,0.55,35,30.0,39.0,-0.17,7.4,0.21,25,21.0,29.0,-0.61,73,-0.6,21,20,22,-1.34,1.0,7.0,14.0,1.0,39.0,-0.8,24.0,220.5,-0.04,34.0,26.0,42.0,1.4,106.0,53.0,189.0,,,,,,,51.0,31.0,78.0,23.0,17.0,32.0,782,9,8,10,-0.49,5.0,46.0,2154,0.55,8.0,74.0,1348,-0.56,21.0,195.0,513,-0.51,2272.0,-1.15,,,,,,32,1.8,,,,18.0,33.0,40,-0.19,38.0,,,34.0,41.0,6734,7427,91,88.0,93.0,0.15,1736,2636,66,56.0,76.0,0.37,172,5419,3.2,0.44,14,8,20,-0.06,,,,4.0,8.0,99041,26102,3.8,-0.43,640,2794,23,13,33,0.9,22,20.4,-0.62,25.0,221.0,0.7,46.0,84.0,61.0,112.0,0.18,,,,,,,,,,,,,,,,4.2,-1.71,No,-0.56,9,6,12,8,4,11,1,0,2,2,0,5,-0.35,82,78,86,0.53,,,,,,,,,,,,,,,,4972,6,4,9,-1.74,
8,9,31015,Nebraska,Boyd,x,,,,,0.0,,,,,,,,,,,,,,,,,,,,,14,12,16,-0.24,3.5,3.1,3.8,0.23,3.8,3.5,4.2,0.4,,,,,0.0,,,,,,,,,,,,,,,,18,15,21,0.38,36,28.0,44.0,0.15,4.6,3.0,28,21.0,35.0,0.17,1,2.62,23,22,24,0.01,0.0,1.0,0.0,0.0,66.0,-1.45,,,0.0,,,,0.0,,,,,,,,,,,,,,,,165,12,10,14,0.73,3.0,153.0,652,-2.91,0.0,0.0,1919,1.65,,,nan,0.0,5625.0,1.78,,,,,,41,0.47,,,,,,33,0.28,,,,,,1395,1453,96,94.0,98.0,-1.03,217,305,71,57.0,86.0,-0.22,36,1078,3.3,0.85,22,13,31,1.81,,,,,,92824,21068,4.4,0.99,28,394,7,0,15,-1.44,4,20.5,-0.62,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,5.1,-0.86,No,-0.56,8,5,11,7,3,12,0,0,3,1,0,3,-0.85,67,64,69,-2.68,,,,,,,,,,,,,,,,979,26,18,35,0.53,
9,10,31017,Nebraska,Brown,x,,,,,0.0,,,,,,,,,,,,,,,,,,,,,17,14,19,0.89,3.9,3.5,4.3,1.61,3.9,3.6,4.3,0.72,x,6.0,,,-0.19,,,,,,,,,,,,,,,,20,17,23,1.39,41,33.0,48.0,1.42,7.8,-0.23,27,21.0,34.0,0.09,76,-0.74,22,21,23,-0.82,1.0,3.0,33.0,4.0,64.0,0.08,,,0.0,16.0,8.0,29.0,-0.45,,,,,,,,,,,,,,,,249,11,10,13,0.42,3.0,101.0,991,-1.21,3.0,102.0,985,-1.37,1.0,34.0,2955,0.78,1449.0,-1.86,,,,,,34,1.51,,,,,,13,1.61,,,,,,2129,2238,95,92.0,98.0,-0.84,374,591,63,48.0,79.0,0.66,49,1393,3.5,1.29,17,10,24,0.67,,,,,,89162,19514,4.6,1.37,132,600,22,10,34,0.76,6,20.2,-0.58,0.0,0.0,-1.03,10.0,67.0,32.0,124.0,-0.49,,,,,,,,,,,,,,,,4.5,-1.43,No,-0.56,11,7,15,8,4,12,2,0,5,1,0,2,0.4,76,72,80,-0.77,,,,,,,,,,,,,,,,1503,11,4,18,-1.25,
