,Unnamed: 0,FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low.1,95% CI - High.1,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths.1,Child Mortality Rate,95% CI - Low.2,95% CI - High.2,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths.2,Infant Mortality Rate,95% CI - Low.3,95% CI - High.3,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low.4,95% CI - High.4,% Frequent Mental Distress,95% CI - Low.5,95% CI - High.5,% Adults with Diabetes,95% CI - Low.6,95% CI - High.6,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low.7,95% CI - High.7,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low.8,95% CI - High.8,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low.9,95% CI - High.9,# Uninsured (Adults),% Uninsured (Adults),95% CI - Low (Adults),95% CI - High (Adults),# Uninsured (Children),% Uninsured (Children),95% CI - Low (Children),95% CI - High (Children),Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low.10,95% CI - High.10,Average Grade Performance (Math),Average Grade Performance (Asian) (Math),Average Grade Performance (Black) (Math),Average Grade Performance (Hispanic) (Math),Average Grade Performance (White) (Math),Average Grade Performance (Reading),Average Grade Performance (Asian) (Reading),Average Grade Performance (Black) (Reading),Average Grade Performance (Hispanic) (Reading),Average Grade Performance (White) (Reading),Median Household Income,95% CI - Low.11,95% CI - High.11,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low.12,95% CI - High.12,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths.3,Suicide Rate (Age-Adjusted),95% CI - Low.13,95% CI - High.13,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low.14,95% CI - High.14,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low.15,95% CI - High.15,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low.16,95% CI - High.16,% Broadband Access,Numerator,95% CI - Low.17,95% CI - High.17,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low.18,95% CI - High.18,% Female,# Rural,% Rural,Unnamed: 277
0,1,32000,Nevada,,78.7,78.6,78.8,78.1,76.5,79.6,85.3,84.8,85.9,74.7,74.3,75.1,86.1,85.6,86.6,77.3,77.1,77.4,38634.0,360.0,356.0,364.0,460.0,417.0,503.0,214.0,205.0,223.0,529.0,513.0,544.0,219.0,213.0,226.0,406.0,400.0,411.0,1372.0,50.0,47.0,53.0,70.0,42.0,109.0,48.0,39.0,57.0,98.0,88.0,109.0,40.0,37.0,44.0,45.0,41.0,49.0,1410.0,6.0,5.0,6.0,7.0,5.0,11.0,5.0,4.0,6.0,11.0,10.0,13.0,5.0,4.0,5.0,5.0,5.0,5.0,13,12,15,13,12,15,11,,,10212.0,403.0,388420,13,144749,5,2011.0,22.0,21.0,23.0,27.0,17.0,40.0,7.0,6.0,9.0,25.0,22.0,28.0,8.0,7.0,9.0,32.0,31.0,34.0,2239.0,11.0,10.0,11.0,22.0,16.0,29.0,7.0,6.0,8.0,13.0,11.0,15.0,8.0,7.0,9.0,13.0,12.0,13.0,37,35,40,273965,15,14,15,57246,8,7,9,82.0,1216,35275.0,83.0,9.0,8.0,10.0,2.9,3.3,2.5,2.7,3.3,2.8,3.3,2.3,2.6,3.1,63268,62092,64444,44324.0,41388.0,47260.0,68965.0,67069.0,70861.0,41034.0,39760.0,42308.0,51995.0,51122.0,52868.0,66440.0,65633.0,67247.0,61,45.0,32.0,6.0,6.0,7.0,7.0,4.0,12.0,3.0,2.0,4.0,21.0,19.0,23.0,6.0,5.0,6.0,5.0,4.0,5.0,3133.0,20.0,19.0,21.0,21.0,19.0,12.0,27.0,11.0,10.0,13.0,12.0,10.0,13.0,8.0,7.0,9.0,29.0,27.0,30.0,2492.0,17.0,16.0,17.0,20.0,13.0,28.0,8.0,6.0,9.0,24.0,22.0,27.0,9.0,8.0,9.0,21.0,20.0,22.0,,,,,580,618605,56,56,57,163449,15,15,16,83,913783,83,84,3080156,22.5,16.1,286466,9.3,51946,1.7,268166,8.7,24585,0.8,900600,29.2,1483933,48.2,164886,6,6.0,6.0,49.8,156754,5.8,
1,2,32001,Nevada,Churchill,75.4,74.3,76.6,,,,,,,,,,81.8,73.1,90.4,74.8,73.5,76.2,433.0,471.0,424.0,518.0,,,,,,,,,,413.0,276.0,593.0,488.0,434.0,542.0,16.0,71.0,41.0,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,15,15,14,16,12,9.0,15.0,25.0,123.0,3020,13,2298,9,21.0,29.0,18.0,44.0,,,,,,,,,,,,,,,,25.0,15.0,10.0,22.0,,,,,,,,,,,,,,,,37,36,39,2136,15,13,18,640,11,8,14,56.0,1779,254.0,76.0,,,,3.0,,,2.8,3.1,3.0,,,2.7,3.1,56335,48630,64040,39167.0,25874.0,52460.0,,,,,,,39167.0,26391.0,51943.0,62183.0,58225.0,66141.0,43,56.0,24.0,,,,,,,,,,,,,,,,,,,37.0,29.0,20.0,41.0,30.0,,,,,,,,,,,,,,,,27.0,22.0,15.0,32.0,,,,,,,,,,,,,,,,,,,,89,6503,65,62,69,1089,11,8,14,85,8468,82,88,24909,22.9,19.1,545,2.2,1382,5.5,747,3.0,97,0.4,3606,14.5,18059,72.5,609,3,1.0,4.0,49.2,8636,34.7,
2,3,32003,Nevada,Clark,79.0,78.8,79.1,81.3,78.5,84.2,85.4,84.9,86.0,74.7,74.2,75.1,86.0,85.4,86.5,77.4,77.2,77.6,27125.0,356.0,351.0,360.0,370.0,311.0,429.0,213.0,203.0,223.0,531.0,515.0,547.0,219.0,212.0,227.0,407.0,401.0,414.0,1008.0,49.0,46.0,52.0,,,,45.0,36.0,56.0,100.0,88.0,111.0,38.0,34.0,42.0,40.0,36.0,45.0,1008.0,5.0,5.0,6.0,,,,4.0,3.0,5.0,12.0,10.0,13.0,4.0,4.0,5.0,4.0,4.0,5.0,14,13,15,14,13,15,11,10.0,12.0,8600.0,463.0,273960,13,74962,4,1400.0,21.0,20.0,22.0,,,,8.0,6.0,10.0,24.0,21.0,28.0,8.0,7.0,9.0,32.0,30.0,34.0,1507.0,10.0,9.0,11.0,13.0,7.0,24.0,7.0,5.0,8.0,13.0,11.0,15.0,8.0,7.0,9.0,12.0,11.0,12.0,39,38,40,209083,15,15,16,39329,7,7,8,79.0,1260,25034.0,84.0,9.0,9.0,10.0,3.0,3.4,2.5,2.8,3.4,2.8,3.3,2.3,2.6,3.2,62131,61075,63187,47035.0,42750.0,51320.0,68516.0,66513.0,70519.0,40928.0,39692.0,42164.0,51175.0,50325.0,52025.0,67120.0,65964.0,68276.0,66,35.0,26.0,7.0,7.0,8.0,,,,4.0,3.0,5.0,22.0,20.0,24.0,6.0,5.0,7.0,5.0,5.0,6.0,2110.0,19.0,18.0,19.0,19.0,20.0,10.0,34.0,11.0,9.0,13.0,12.0,10.0,14.0,8.0,7.0,9.0,28.0,26.0,29.0,1729.0,16.0,15.0,16.0,,,,8.0,7.0,10.0,25.0,22.0,28.0,8.0,7.0,9.0,20.0,19.0,22.0,,,,,619,421252,54,53,54,125285,16,16,17,83,648867,82,83,2266715,23.0,15.1,269223,11.9,28058,1.2,234753,10.4,19891,0.9,717278,31.6,944618,41.7,141926,7,,,50.1,25485,1.3,
3,4,32005,Nevada,Douglas,80.7,79.8,81.6,,,,,,,,,,87.8,81.9,93.6,80.2,79.1,81.2,663.0,293.0,266.0,320.0,,,,,,,,,,230.0,165.0,312.0,299.0,268.0,330.0,15.0,46.0,26.0,76.0,,,,,,,,,,,,,,,,21.0,9.0,6.0,14.0,,,,,,,,,,,,,,,,12,11,13,13,12,14,8,7.0,11.0,48.0,111.0,5460,11,5885,13,23.0,16.0,10.0,24.0,,,,,,,,,,,,,,,,31.0,9.0,6.0,13.0,,,,,,,,,,,,,,,,35,33,36,3447,13,11,15,805,10,7,13,88.0,1137,454.0,89.0,,,,3.2,,,2.9,3.3,3.0,,,2.7,3.2,76296,70657,81935,34438.0,24935.0,43941.0,67830.0,36533.0,99127.0,42438.0,17939.0,66937.0,57219.0,46080.0,68358.0,69802.0,66020.0,73584.0,36,55.0,26.0,4.0,2.0,6.0,,,,,,,,,,,,,,,,70.0,28.0,21.0,36.0,29.0,,,,,,,,,,,,,,,,46.0,19.0,14.0,25.0,,,,,,,,,,,,,,,,,,,,132,14811,71,70,73,2672,13,11,15,89,18496,88,91,48905,16.0,29.7,391,0.8,1100,2.2,915,1.9,114,0.2,6447,13.2,39214,80.2,540,1,1.0,2.0,49.8,14829,31.6,
4,5,32007,Nevada,Elko,79.4,78.4,80.4,74.4,69.9,78.9,,,,,,,92.6,83.3,101.9,78.5,77.4,79.6,549.0,340.0,311.0,369.0,555.0,403.0,745.0,,,,,,,211.0,161.0,271.0,359.0,324.0,394.0,29.0,50.0,34.0,72.0,,,,,,,,,,60.0,30.0,107.0,43.0,24.0,71.0,38.0,7.0,5.0,10.0,,,,,,,,,,,,,,,,14,13,15,15,14,16,9,7.0,12.0,29.0,69.0,5240,10,4323,9,18.0,11.0,7.0,18.0,,,,,,,,,,,,,,,,58.0,16.0,12.0,20.0,,,,,,,,,,,,,,,,38,36,39,4132,13,11,15,1354,9,7,12,59.0,1703,695.0,91.0,14.0,8.0,20.0,2.9,,,2.6,3.0,2.7,,,2.4,2.8,83287,74700,91874,43317.0,32015.0,54619.0,61776.0,8887.0,114665.0,,,,71000.0,51362.0,90638.0,87112.0,84714.0,89510.0,34,68.0,46.0,4.0,2.0,7.0,,,,,,,,,,,,,,,,81.0,32.0,25.0,39.0,31.0,,,,,,,,,,23.0,13.0,37.0,34.0,26.0,44.0,78.0,30.0,24.0,37.0,,,,,,,,,,23.0,13.0,38.0,32.0,24.0,41.0,,,,,121,12870,71,69,74,1103,6,5,8,84,15238,82,86,52778,27.2,11.8,527,1.0,3400,6.4,653,1.2,145,0.3,13018,24.7,35113,66.5,1211,2,2.0,3.0,48.0,18478,37.9,
5,6,32009,Nevada,Esmeralda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,16,18,17,16,18,7,4.0,15.0,,,120,13,404,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,39,41,60,15,12,18,14,11,6,15,0.0,873,,,,,,,,,,,,,,,,50675,43300,58050,,,,,,,,,,37500.0,17663.0,57337.0,42404.0,28636.0,56172.0,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,286,58,55,62,8,2,0,15,54,263,50,57,873,14.1,35.7,30,3.4,62,7.1,5,0.6,1,0.1,168,19.2,579,66.3,16,2,0.0,8.0,45.7,783,100.0,
6,7,32011,Nevada,Eureka,82.4,77.0,87.8,,,,,,,,,,,,,,,,22.0,270.0,165.0,417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,14,14,13,15,8,4.0,14.0,,,200,11,546,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,35,38,85,7,6,8,41,8,5,11,148.0,676,,,,,,3.1,,,,,2.8,,,,,71541,60993,82089,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,571,74,61,87,26,4,0,12,82,632,72,91,2029,24.4,16.4,21,1.0,65,3.2,21,1.0,3,0.1,268,13.2,1630,80.3,0,0,0.0,4.0,46.6,1987,100.0,
7,8,32013,Nevada,Humboldt,78.2,76.5,79.9,,,,,,,,,,87.8,80.2,95.5,77.8,75.8,79.7,212.0,381.0,328.0,434.0,1102.0,673.0,1702.0,,,,,,,193.0,121.0,292.0,399.0,335.0,464.0,11.0,60.0,30.0,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12,15,15,13,16,8,6.0,12.0,8.0,59.0,1670,10,1485,9,11.0,22.0,11.0,39.0,,,,,,,,,,,,,,,,18.0,15.0,9.0,24.0,,,,,,,,,,,,,,,,38,37,39,1687,17,15,20,604,13,9,17,36.0,2805,256.0,91.0,,,,2.7,,,2.6,2.9,2.7,,,2.5,2.8,73106,62782,83430,,,,81313.0,28541.0,134085.0,,,,78011.0,51911.0,104111.0,67100.0,60630.0,73570.0,51,,18.0,,,,,,,,,,,,,,,,,,,27.0,32.0,21.0,47.0,32.0,,,,,,,,,,,,,,,,25.0,30.0,19.0,44.0,,,,,,,,,,,,,,,,,,,,71,4642,71,68,75,495,8,5,11,81,5266,77,85,16831,26.9,14.4,141,0.8,824,4.9,153,0.9,56,0.3,4636,27.5,10894,64.7,605,4,2.0,6.0,48.0,6260,37.9,
8,9,32015,Nevada,Lander,77.3,74.2,80.3,,,,,,,,,,,,,,,,82.0,431.0,341.0,538.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13,16,15,14,17,14,8.0,24.0,,,560,10,341,6,,,,,,,,,,,,,,,,,,,,13.0,32.0,17.0,55.0,,,,,,,,,,,,,,,,39,38,40,424,13,11,16,142,9,6,12,36.0,2766,76.0,88.0,,,,3.1,,,3.1,3.1,2.9,,,2.7,2.9,81239,69411,93067,33438.0,23844.0,43032.0,,,,,,,88466.0,19983.0,156949.0,89159.0,61630.0,116688.0,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,1614,73,68,79,210,10,3,18,86,1886,81,91,5532,26.2,16.0,39,0.7,325,5.9,64,1.2,1,0.0,1281,23.2,3824,69.1,255,5,1.0,8.0,48.6,2255,39.0,
9,10,32017,Nevada,Lincoln,83.1,80.5,85.6,,,,,,,,,,,,,,,,61.0,264.0,197.0,348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,15,15,13,16,11,6.0,21.0,,,630,12,1730,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,35,38,334,13,10,15,114,10,7,14,96.0,1037,85.0,88.0,,,,3.3,,,,,3.1,,,,,58782,50856,66708,,,,,,,,,,,,,,,,52,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1510,75,71,79,167,9,2,15,76,1535,70,82,5183,19.7,25.3,157,3.0,96,1.9,38,0.7,19,0.4,405,7.8,4382,84.5,15,0,0.0,2.0,46.6,5345,100.0,
