,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,32000,Nevada,,,38634.0,7136.0,7029.0,7243.0,,10243.0,8960.0,11526.0,,4560.0,4260.0,4860.0,,11394.0,10968.0,11820.0,,4553.0,4397.0,4708.0,,8032.0,7863.0,8200.0,,19,17,21,,4.2,3.8,4.7,,4.0,3.6,4.4,,,9.0,8.0,9.0,,7.0,6.0,8.0,10.0,9.0,10.0,14.0,13.0,14.0,7.0,7.0,8.0,8.0,8.0,8.0,16,14,18,,27,,,,7.6,,23,,,,93,,18,16,20,,465,1600,29,28,30,,17508.0,584.0,,25.0,24.0,25.0,,34.0,29.0,38.0,8.0,7.0,9.0,39.0,37.0,40.0,31.0,31.0,32.0,16.0,16.0,17.0,326024,13,12,13,,1772.0,58.0,1712,,1943.0,63.0,1585,,6751.0,219.0,456,,4245,,5321.0,3538.0,7925.0,4187.0,3938.0,34,,27.0,29.0,29.0,25.0,36.0,38,,34.0,37.0,24.0,29.0,41.0,1772563,2044695,87,86.0,87.0,,485226,829096,59,58.0,59.0,,59978,1542455,3.9,,18,17,19,,34.0,10.0,33.0,23.0,10.0,114516,26518,4.3,,186547,679385,27,27,28,,1337,4.4,,18991,657,,11645.0,78.0,77.0,79.0,,105.0,89.0,122.0,39.0,36.0,42.0,85.0,81.0,90.0,37.0,35.0,39.0,106.0,104.0,109.0,5.4,,,,19,18,19,15,15,15,4,4,4,1,1,1,,78,78,78,,71.0,69.0,73.0,76.0,75.0,77.0,74.0,73.0,75.0,77.0,76.0,78.0,80.0,80.0,81.0,1388343,32,31,32,,
1,2,32001,Nevada,Churchill,,433.0,9704.0,8244.0,11163.0,0.69,,,,,,,,,,,,,,,,,,,,,19,17,21,-0.34,4.5,4.2,4.9,-0.17,4.6,4.3,5.0,-0.02,,7.0,6.0,8.0,-1.19,,,,,,,,,,6.0,4.0,8.0,7.0,6.0,8.0,20,18,23,0.03,32,27.0,37.0,0.41,7.5,-0.22,28,23.0,33.0,0.9,87,-0.78,22,21,23,0.37,7,27,26,16,37,0.05,101.0,416.8,0.68,29.0,25.0,34.0,0.07,53.0,29.0,89.0,,,,,,,28.0,19.0,39.0,27.0,22.0,34.0,2726,14,12,16,0.81,13.0,53.0,1880,-0.27,16.0,64.0,1557,-0.53,57.0,229.0,437,-0.71,3667,-0.22,,,,1567.0,3946.0,33,-0.46,23.0,33.0,,34.0,33.0,36,-0.3,47.0,44.0,,41.0,36.0,15408,16818,92,90.0,93.0,-0.94,3428,5729,60,52.0,67.0,-0.77,391,11057,3.5,-0.18,17,11,23,0.17,34.0,12.0,42.0,40.0,6.0,103620,26256,3.9,-0.46,1347,5502,24,16,32,0.37,22,9.0,-1.43,51,211,-0.65,141.0,116.0,97.0,135.0,1.14,,,,,,,,,,100.0,58.0,160.0,126.0,103.0,149.0,6.5,0.38,Yes,1.1,16,12,19,12,9,15,3,2,5,1,0,2,0.56,81,78,84,0.86,80.0,71.0,89.0,,,,,,,74.0,60.0,89.0,83.0,79.0,87.0,10343,20,16,24,-0.52,
2,3,32003,Nevada,Clark,,27125.0,7029.0,6906.0,7151.0,-0.56,7487.0,5896.0,9078.0,,4499.0,4182.0,4816.0,,11551.0,11105.0,11998.0,,4508.0,4336.0,4681.0,,7927.0,7722.0,8131.0,,22,20,24,0.8,4.4,4.1,4.7,-0.45,4.2,3.9,4.5,-1.47,,9.0,9.0,9.0,0.41,8.0,6.0,10.0,10.0,9.0,10.0,14.0,13.0,14.0,7.0,7.0,8.0,8.0,7.0,8.0,18,16,20,-1.15,27,26.0,29.0,-0.67,7.9,-0.57,23,22.0,25.0,-0.15,97,-1.17,17,17,18,-2.13,295,1041,28,27,30,0.27,13695.0,621.3,2.05,24.0,24.0,24.0,-0.55,24.0,19.0,31.0,7.0,7.0,8.0,40.0,38.0,41.0,30.0,29.0,31.0,14.0,13.0,14.0,244660,13,13,14,0.38,1270.0,57.0,1757,-0.44,1443.0,64.0,1571,-0.51,4662.0,206.0,486,-0.47,4739,0.8,7549.0,3615.0,8176.0,4580.0,4372.0,31,-0.24,23.0,28.0,28.0,22.0,34.0,36,-0.3,28.0,36.0,24.0,27.0,39.0,1281930,1489158,86,,,0.52,363264,626650,58,,,-0.56,45758,1131551,4.0,0.54,19,17,20,0.49,37.0,11.0,33.0,24.0,9.0,113238,26043,4.3,0.37,148787,509566,29,28,30,0.99,789,3.5,0.14,15983,757,1.54,7860.0,72.0,70.0,73.0,-2.09,82.0,61.0,108.0,39.0,35.0,42.0,86.0,81.0,91.0,36.0,34.0,38.0,101.0,98.0,103.0,10.8,3.01,Yes,1.1,20,19,20,16,16,16,4,4,4,1,1,1,1.56,79,78,79,0.62,69.0,59.0,79.0,77.0,76.0,78.0,75.0,73.0,76.0,78.0,77.0,79.0,81.0,81.0,82.0,1018288,34,34,35,0.65,
3,4,32005,Nevada,Douglas,,663.0,6601.0,5558.0,7643.0,-0.76,,,,,,,,,,,,,5545.0,3623.0,8125.0,,6944.0,5647.0,8240.0,,16,14,18,-1.7,4.1,3.8,4.5,-1.22,4.2,3.8,4.5,-1.49,,8.0,7.0,9.0,0.01,,,,,,,,,,9.0,7.0,12.0,8.0,7.0,9.0,17,14,19,-1.67,26,22.0,30.0,-1.07,7.5,-0.22,20,16.0,23.0,-1.05,91,-0.94,23,22,24,0.88,7,34,21,12,30,-0.43,120.0,248.4,-0.44,13.0,10.0,15.0,-1.83,,,,,,,,,,18.0,12.0,25.0,11.0,9.0,14.0,4178,12,10,14,-0.11,28.0,58.0,1731,-0.48,36.0,74.0,1358,-0.88,64.0,131.0,764,0.31,2639,-1.19,,,,1389.0,2622.0,46,-1.95,27.0,41.0,,46.0,47.0,48,-1.45,69.0,57.0,46.0,38.0,48.0,34575,37096,93,92.0,94.0,-1.36,5957,9384,63,57.0,70.0,-1.18,910,23210,3.9,0.37,12,8,16,-1.17,34.0,,8.0,17.0,10.0,119638,32343,3.7,-0.98,1626,8113,20,15,25,-0.21,35,7.2,-0.92,73,152,-0.89,218.0,90.0,78.0,102.0,-0.72,,,,,,,,,,52.0,30.0,84.0,98.0,84.0,112.0,6.9,0.62,No,-0.85,15,13,17,13,11,15,2,1,3,1,1,2,0.49,77,75,79,0.43,91.0,82.0,100.0,74.0,57.0,91.0,,,,74.0,67.0,82.0,75.0,72.0,77.0,20908,34,31,38,0.65,
4,5,32007,Nevada,Elko,,549.0,7305.0,6470.0,8140.0,-0.43,13766.0,9219.0,19770.0,,,,,,,,,,5159.0,3829.0,6801.0,,7590.0,6541.0,8640.0,,19,17,21,-0.3,4.6,4.3,5.0,-0.02,4.8,4.4,5.1,0.44,,8.0,7.0,9.0,-0.22,7.0,4.0,9.0,,,,,,,8.0,7.0,10.0,8.0,7.0,9.0,22,19,24,0.54,28,25.0,33.0,-0.42,8.1,-0.74,24,20.0,28.0,-0.1,69,-0.08,21,20,22,-0.01,15,48,31,24,39,0.53,164.0,311.5,-0.02,33.0,30.0,36.0,0.48,43.0,28.0,62.0,,,,,,,39.0,33.0,46.0,29.0,25.0,32.0,5377,12,10,13,-0.31,20.0,38.0,2623,0.43,25.0,47.0,2111,0.1,40.0,76.0,1319,0.87,3194,-0.67,7134.0,,,2127.0,2939.0,29,-0.01,36.0,27.0,,26.0,29.0,35,-0.21,39.0,52.0,,33.0,34.0,28823,33383,86,85.0,88.0,0.45,7929,14488,55,49.0,60.0,-0.19,813,27362,3.0,-0.98,14,11,18,-0.58,27.0,,,15.0,15.0,133581,35618,3.8,-0.87,2527,14259,18,13,22,-0.51,24,4.6,-0.16,215,404,0.12,228.0,87.0,76.0,98.0,-0.96,145.0,88.0,227.0,,,,,,,51.0,35.0,72.0,99.0,84.0,113.0,5.4,-0.29,No,-0.85,10,8,12,6,5,8,3,2,5,1,0,1,-0.89,64,61,66,-1.03,67.0,57.0,76.0,,,,,,,68.0,62.0,74.0,71.0,68.0,74.0,25783,17,14,19,-0.79,
5,6,32009,Nevada,Esmeralda,,,,,,,,,,,,,,,,,,,,,,,,,,,25,23,28,,5.4,5.0,5.8,,5.1,4.8,5.4,,,,,,,,,,,,,,,,,,,,,,24,21,26,,24,13.0,38.0,,3.7,,34,21.0,48.0,,13,,19,18,20,,2,19,11,2,24,,,,,,,,,,,,,,,,,,,,,,,,73,14,12,17,,1.0,121.0,826,,0.0,0.0,873,,0.0,0.0,873,,3260,,,,,,,23,,,,,,,21,,,,,,,709,803,88,83.0,94.0,,101,219,46,22.0,70.0,,16,434,3.7,,14,9,19,,,,,,,78857,20641,3.8,,18,161,11,0,33,,0,0.0,,1,118,,,,,,,,,,,,,,,,,,,,,,4.4,,Yes,,6,0,12,1,0,10,3,0,9,3,0,8,,62,50,74,,,,,,,,,,,,,,,,,382,18,8,27,,
6,7,32011,Nevada,Eureka,x,,,,,0.0,,,,,,,,,,,,,,,,,,,,,17,16,19,-1.02,4.3,3.9,4.6,-0.91,4.5,4.1,4.8,-0.62,x,9.0,,,0.37,,,,,,,,,,,,,,,,20,17,22,-0.35,24,14.0,35.0,-1.36,6.2,0.9,25,16.0,38.0,0.24,34,1.23,23,22,24,0.93,3,12,25,10,42,-0.03,4.0,204.0,-0.74,,,,0.0,,,,,,,,,,,,,,,,122,7,6,9,-2.56,,,nan,0.0,2.0,99.0,1015,-1.82,,,nan,0.0,4884,0.93,,,,,,21,0.91,,,,,,21,1.12,,,,,,1273,1346,95,88.0,100.0,-1.73,162,361,45,22.0,68.0,0.93,26,1095,2.4,-1.83,13,8,17,-1.0,,,,,,129000,27667,4.7,1.03,41,428,10,0,25,-1.58,0,0.0,1.15,7,338,-0.14,,,,,0.0,,,,,,,,,,,,,,,,4.4,-0.91,No,-0.85,8,1,16,3,0,11,1,0,5,4,0,10,-1.18,53,38,68,-2.19,,,,,,,,,,,,,,,,930,42,22,62,1.27,
7,8,32013,Nevada,Humboldt,,212.0,8270.0,6688.0,9852.0,0.02,,,,,,,,,,,,,,,,,,,,,20,18,23,0.15,4.4,4.1,4.8,-0.52,4.6,4.3,5.0,-0.19,,7.0,6.0,9.0,-0.77,,,,,,,,,,7.0,5.0,9.0,7.0,6.0,9.0,21,18,23,0.19,32,26.0,39.0,0.41,8.1,-0.74,18,14.0,24.0,-1.37,60,0.26,24,23,25,1.78,10,25,40,30,50,1.32,54.0,320.9,0.04,34.0,29.0,40.0,0.64,,,,,,,,,,36.0,27.0,48.0,33.0,26.0,42.0,2254,16,13,18,1.73,8.0,48.0,2098,-0.01,7.0,42.0,2404,0.32,17.0,101.0,990,0.61,4040,0.14,3047.0,,,,4327.0,21,0.91,17.0,,,20.0,21.0,16,1.6,8.0,,,12.0,16.0,9161,11114,82,79.0,86.0,1.49,2311,4597,50,42.0,59.0,0.32,242,8251,2.9,-1.04,15,10,21,-0.36,75.0,,,10.0,14.0,125023,28872,4.3,0.34,654,4559,14,8,20,-0.95,14,8.3,-1.24,57,327,-0.19,86.0,102.0,82.0,126.0,0.14,293.0,140.0,538.0,,,,,,,44.0,21.0,80.0,116.0,90.0,148.0,5.8,-0.05,Yes,1.1,11,8,14,7,4,10,4,2,5,1,0,1,-0.67,59,54,64,-1.52,,,,,,,,,,53.0,45.0,62.0,62.0,58.0,67.0,8377,15,10,20,-0.9,
8,9,32015,Nevada,Lander,,82.0,9392.0,6647.0,12892.0,0.55,,,,,,,,,,,,,,,,,,,,,22,19,24,0.82,4.8,4.4,5.2,0.53,4.8,4.5,5.2,0.51,,10.0,8.0,13.0,2.0,,,,,,,,,,11.0,6.0,16.0,9.0,6.0,12.0,22,19,24,0.7,30,21.0,42.0,0.03,8.4,-1.0,20,13.0,30.0,-0.98,91,-0.93,21,20,22,-0.12,2,13,15,3,32,-0.9,15.0,263.5,-0.34,44.0,33.0,58.0,1.75,,,,,,,,,,42.0,24.0,68.0,45.0,32.0,63.0,557,12,10,14,-0.22,1.0,18.0,5575,1.37,1.0,18.0,5532,1.2,3.0,54.0,1844,1.1,2194,-1.61,,,,,,17,1.36,,,,,,16,1.6,27.0,,,5.0,16.0,3418,3871,88,84.0,93.0,-0.06,716,1519,47,33.0,61.0,0.67,102,3214,3.2,-0.7,15,9,20,-0.44,23.0,,,11.0,9.0,125019,24220,5.2,2.07,434,1519,29,9,48,0.91,4,7.2,-0.91,38,620,0.99,31.0,109.0,74.0,155.0,0.67,,,,,,,,,,,,,,,,4.5,-0.85,Yes,1.1,9,4,15,5,0,9,3,0,8,1,0,3,-1.02,59,51,66,-1.62,,,,,,,,,,,,,,,,2572,21,9,33,-0.43,
9,10,32017,Nevada,Lincoln,,61.0,4391.0,2682.0,6781.0,-1.8,,,,,,,,,,,,,,,,,,,,,18,16,21,-0.72,4.4,4.0,4.8,-0.59,4.6,4.2,5.0,-0.24,x,6.0,4.0,9.0,-1.9,,,,,,,,,,,,,,,,21,18,24,0.18,28,18.0,37.0,-0.6,5.5,1.51,30,21.0,40.0,1.46,54,0.47,23,21,24,0.87,3,15,20,7,35,-0.49,8.0,153.2,-1.08,11.0,6.0,19.0,-2.03,,,,,,,,,,,,,,,,435,12,10,14,-0.17,2.0,38.0,2601,0.42,1.0,19.0,5183,1.16,2.0,39.0,2592,1.26,6222,2.2,,,11101.0,5339.0,5892.0,21,0.91,,,27.0,22.0,22.0,34,-0.11,,35.0,26.0,35.0,35.0,3200,3713,86,80.0,92.0,0.5,615,1189,52,39.0,65.0,0.15,84,2113,4.0,0.44,17,11,24,0.17,,,,23.0,5.0,92537,27187,3.4,-1.6,95,901,11,0,21,-1.45,0,0.0,1.15,2,39,-1.34,26.0,101.0,66.0,148.0,0.08,,,,,,,,,,,,,,,,4.5,-0.85,No,-0.85,11,4,17,9,2,15,0,0,2,2,0,5,-0.59,77,65,89,0.43,,,,,,,,,,,,,,,,1789,15,5,25,-0.92,
