,Unnamed: 0,FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low.1,95% CI - High.1,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths.1,Child Mortality Rate,95% CI - Low.2,95% CI - High.2,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths.2,Infant Mortality Rate,95% CI - Low.3,95% CI - High.3,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low.4,95% CI - High.4,% Frequent Mental Distress,95% CI - Low.5,95% CI - High.5,% Adults with Diabetes,95% CI - Low.6,95% CI - High.6,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low.7,95% CI - High.7,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low.8,95% CI - High.8,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low.9,95% CI - High.9,# Uninsured (Adults),% Uninsured (Adults),95% CI - Low (Adults),95% CI - High (Adults),# Uninsured (Children),% Uninsured (Children),95% CI - Low (Children),95% CI - High (Children),Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low.10,95% CI - High.10,Average Grade Performance (Math),Average Grade Performance (Asian) (Math),Average Grade Performance (Black) (Math),Average Grade Performance (Hispanic) (Math),Average Grade Performance (White) (Math),Average Grade Performance (Reading),Average Grade Performance (Asian) (Reading),Average Grade Performance (Black) (Reading),Average Grade Performance (Hispanic) (Reading),Average Grade Performance (White) (Reading),Median Household Income,95% CI - Low.11,95% CI - High.11,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low.12,95% CI - High.12,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths.3,Suicide Rate (Age-Adjusted),95% CI - Low.13,95% CI - High.13,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low.14,95% CI - High.14,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low.15,95% CI - High.15,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low.16,95% CI - High.16,% Broadband Access,Numerator,95% CI - Low.17,95% CI - High.17,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low.18,95% CI - High.18,% Female,# Rural,% Rural,Unnamed: 277
0,1,33000,New Hampshire,,79.7,79.5,79.8,,,,92.0,89.1,95.0,83.6,80.4,86.9,92.4,88.9,95.9,79.4,79.2,79.5,15889,305,300,310,,,,108.0,89.0,128.0,319.0,270.0,369.0,178.0,152.0,205.0,314.0,308.0,319.0,330.0,32.0,29.0,35.0,,,,,,,44.0,23.0,76.0,21.0,12.0,36.0,32.0,29.0,36.0,351.0,4.0,4.0,4.0,,,,,,,,,,,,,4.0,4.0,4.0,10,9,12,15,14,17,10,,,1260,107,125590,9,65434,5,1326,33,31,34,,,,,,,27.0,17.0,43.0,26.0,18.0,35.0,34.0,32.0,36.0,803,9,8,9,,,,4.0,2.0,7.0,7.0,4.0,13.0,4.0,2.0,6.0,9.0,8.0,10.0,35,33,37,70565,9,8,9,6281,2,2,3,147,682,14196,89,5.0,4.0,5.0,3.2,3.5,2.6,2.7,3.2,3.2,3.7,2.5,2.6,3.2,78571,76444,80698,57250.0,43653.0,70847.0,87364.0,77926.0,96802.0,57925.0,46654.0,69196.0,60389,57081,63697,77493,76517,78469,27,64.0,40,2.0,1.0,2.0,,,,,,,,,,,,,2.0,1.0,2.0,1271,18,17,19,19,,,,9.0,5.0,15.0,9.0,4.0,16.0,8.0,5.0,14.0,19.0,18.0,20.0,710,11,10,11,,,,,,,,,,4.0,2.0,7.0,11.0,10.0,12.0,,,,,395,378178,71,71,72,65082,12,12,13,88,466797,87,88,1359711,18.8,18.7,20054,1.5,4114,0.3,40300,3.0,672,0.0,54589,4.0,1220437,89.8,12703,1,1,1,50.4,522598,39.7,
1,2,33001,New Hampshire,Belknap,77.6,76.9,78.4,,,,,,,,,,,,,,,,914,360,334,386,,,,,,,,,,,,,,,,17.0,38.0,22.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,12,14,12,16,10,9.0,12.0,28,53,5680,9,2585,4,77,42,33,53,,,,,,,,,,,,,,,,49,12,9,15,,,,,,,,,,,,,,,,35,33,37,3608,10,8,12,346,3,2,4,95,1057,705,89,,,,3.1,,,,,3.1,,,,,68752,60474,77030,,,,,,,,,,69830,8299,131361,69316,64284,74348,34,69.0,25,,,,,,,,,,,,,,,,,,,65,19,14,24,21,,,,,,,,,,,,,,,,41,13,10,18,,,,,,,,,,,,,,,,,,,,223,18918,76,73,78,3379,14,12,16,87,21675,85,88,61303,18.3,22.8,351,0.6,201,0.3,707,1.2,22,0.0,1096,1.8,58138,94.8,128,0,0,0,50.6,39826,66.3,
2,3,33003,New Hampshire,Carroll,79.6,78.7,80.5,,,,,,,,,,,,,,,,670,311,282,339,,,,,,,,,,,,,,,,17.0,55.0,32.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,12,14,12,15,11,10.0,13.0,25,57,4590,10,242,1,41,28,20,38,,,,,,,,,,,,,,,,46,14,10,18,,,,,,,,,,,,,,,,34,32,36,3137,11,10,13,263,3,2,4,123,815,449,94,,,,3.2,,,,,3.0,,,,,64495,57544,71446,,,,,,,,,,87721,67482,107960,63032,59950,66114,37,,45,,,,,,,,,,,,,,,,,,,58,26,19,34,24,,,,,,,,,,,,,,,,37,15,11,21,,,,,,,,,,,,,,,,,,,,65,17025,79,78,81,2674,13,11,15,87,18639,85,89,48910,15.3,29.0,295,0.6,173,0.4,374,0.8,17,0.0,802,1.6,46736,95.6,7,0,0,0,50.6,43133,90.2,
3,4,33005,New Hampshire,Cheshire,79.0,78.4,79.7,,,,,,,,,,,,,,,,959,321,299,343,,,,,,,,,,,,,,,,27.0,50.0,33.0,72.0,,,,,,,,,,,,,,,,24.0,5.0,3.0,8.0,,,,,,,,,,,,,,,,11,10,13,14,12,15,10,8.0,11.0,46,69,7250,10,2529,3,75,33,26,41,,,,,,,,,,,,,,,,63,12,9,15,,,,,,,,,,,,,,,,33,31,35,4003,9,8,11,336,2,2,3,101,988,618,87,3.0,1.0,5.0,3.1,,,,,3.1,,,,,65326,59258,71394,56250.0,41288.0,71212.0,69545.0,58619.0,80471.0,35536.0,28889.0,42183.0,67813,40182,95444,64553,62491,66615,36,49.0,29,2.0,1.0,4.0,,,,,,,,,,,,,,,,79,20,16,26,21,,,,,,,,,,,,,,,,53,14,10,18,,,,,,,,,,,,,,,,,,,,267,20929,69,68,71,3661,12,11,14,84,25260,82,85,76085,17.8,20.7,572,0.8,245,0.3,1293,1.7,35,0.0,1505,2.0,71382,93.8,253,0,0,1,51.0,50138,65.0,
4,5,33007,New Hampshire,Coos,77.3,76.4,78.3,,,,,,,,,,,,,,,,556,390,354,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,15,16,14,17,15,12.0,17.0,24,85,4030,13,1556,5,23,24,15,36,,,,,,,,,,,,,,,,36,16,11,22,,,,,,,,,,,,,,,,39,37,41,1810,11,9,12,150,3,2,4,127,789,290,84,,,,2.9,,,,,2.9,,,,,49156,44009,54303,,,,,,,,,,46406,22741,70071,47466,44971,49961,47,,39,,,,,,,,,,,,,,,,,,,38,23,15,32,24,,,,,,,,,,,,,,,,28,18,12,26,,,,,,,,,,,,,,,,,,,,121,9728,71,69,72,1637,12,10,14,78,10765,76,80,31563,16.1,24.2,265,0.8,161,0.5,200,0.6,4,0.0,600,1.9,29921,94.8,149,0,0,1,47.4,21896,66.2,
5,6,33009,New Hampshire,Grafton,80.7,80.1,81.3,,,,98.7,80.4,116.9,,,,97.9,74.9,120.8,80.4,79.8,81.0,1070,293,274,312,,,,,,,,,,,,,,,,16.0,27.0,16.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,9,12,13,12,15,8,6.0,9.0,47,59,8760,10,4303,5,53,20,15,26,,,,,,,,,,,,,,,,63,10,8,13,,,,,,,,,,,,,,,,32,31,34,4532,9,8,10,419,3,2,4,344,291,942,93,,,,3.4,3.7,,3.3,3.4,3.3,3.6,,3.1,3.3,62468,56916,68020,51473.0,46639.0,56307.0,57113.0,29411.0,84815.0,86630.0,28224.0,145036.0,74013,38776,109250,63820,61147,66493,29,56.0,37,2.0,1.0,4.0,,,,,,,,,,,,,,,,81,16,12,20,18,,,,,,,,,,,,,,,,55,12,9,16,,,,,,,,,,,,,,,,,,,,146,24081,69,68,70,4295,13,11,14,83,28719,81,84,89886,16.0,21.3,1053,1.2,362,0.4,3486,3.9,32,0.0,2279,2.5,81268,90.4,821,1,0,1,50.6,61238,68.7,
6,7,33011,New Hampshire,Hillsborough,79.6,79.3,79.9,,,,91.6,88.0,95.2,86.3,78.1,94.5,90.1,85.7,94.4,79.1,78.8,79.4,4603,309,300,319,,,,82.0,59.0,112.0,319.0,253.0,398.0,225.0,184.0,265.0,324.0,314.0,334.0,113.0,33.0,27.0,39.0,,,,,,,,,,,,,,,,124.0,4.0,3.0,5.0,,,,,,,,,,,,,,,,10,9,11,13,12,15,10,9.0,11.0,454,127,35800,9,22077,6,486,39,36,43,,,,,,,,,,32.0,21.0,46.0,42.0,38.0,46.0,203,7,6,8,,,,,,,,,,6.0,3.0,11.0,8.0,6.0,9.0,36,35,38,23411,9,8,10,2174,2,2,3,146,685,4531,87,5.0,4.0,7.0,3.1,3.5,2.5,2.5,3.2,3.1,3.9,2.3,2.4,3.2,82862,77865,87859,59038.0,288.0,117788.0,105762.0,90652.0,120872.0,50526.0,42147.0,58905.0,51897,43715,60079,83711,81726,85696,30,56.0,37,2.0,1.0,2.0,,,,,,,,,,,,,,,,390,18,16,20,19,,,,,,,,,,8.0,4.0,16.0,20.0,18.0,22.0,211,10,9,12,,,,,,,,,,,,,,,,,,,,714,106397,66,65,67,20382,13,12,14,90,144369,89,90,417025,20.2,16.2,10626,2.5,1314,0.3,18585,4.5,275,0.1,30369,7.3,349299,83.8,8023,2,2,2,50.3,84918,21.2,
7,8,33013,New Hampshire,Merrimack,79.7,79.3,80.2,,,,89.2,80.4,98.1,79.4,71.9,86.9,95.0,80.5,109.5,79.6,79.1,80.1,1744,304,289,319,,,,,,,385.0,238.0,588.0,,,,308.0,293.0,324.0,36.0,31.0,22.0,43.0,,,,,,,,,,,,,,,,42.0,4.0,3.0,6.0,,,,,,,,,,,,,,,,10,9,11,13,12,15,9,8.0,10.0,122,93,12820,9,7447,5,131,29,24,34,,,,,,,,,,,,,,,,96,9,7,11,,,,,,,,,,,,,,,,33,31,35,7551,8,7,9,698,2,2,3,168,594,1431,87,4.0,2.0,6.0,3.2,3.2,2.6,3.0,3.3,3.2,3.2,2.7,2.9,3.2,75800,70573,81027,,,,97083.0,68193.0,125973.0,69750.0,42315.0,97185.0,59602,25203,94001,75905,73602,78208,27,70.0,47,1.0,1.0,2.0,,,,,,,,,,,,,,,,158,20,17,24,21,,,,,,,,,,,,,,,,75,10,8,13,,,,,,,,,,,,,,,,,,,,259,41953,72,70,73,6752,12,11,13,87,50566,85,88,151391,18.9,18.7,2420,1.6,433,0.3,3392,2.2,56,0.0,3459,2.3,139466,92.1,1293,1,1,1,50.6,79978,54.6,
8,9,33015,New Hampshire,Rockingham,80.9,80.6,81.2,,,,94.3,85.3,103.3,80.5,75.8,85.2,93.3,85.1,101.5,80.7,80.3,81.0,3224,263,254,273,,,,149.0,102.0,211.0,341.0,227.0,493.0,128.0,82.0,190.0,269.0,259.0,279.0,53.0,22.0,17.0,29.0,,,,,,,,,,,,,,,,63.0,3.0,3.0,4.0,,,,,,,,,,,,,,,,10,9,12,12,11,14,9,8.0,10.0,191,71,21300,7,16332,6,265,29,25,32,,,,,,,,,,,,,,,,143,7,6,8,,,,,,,,,,,,,,,,33,31,34,13287,7,6,8,1153,2,1,2,118,846,3718,92,5.0,3.0,7.0,3.4,3.7,3.2,3.1,3.4,3.4,3.9,3.2,3.1,3.4,91416,87622,95210,,,,93155.0,70398.0,115912.0,96384.0,64160.0,128608.0,75078,49176,100980,94295,91986,96604,14,55.0,33,1.0,1.0,1.0,,,,,,,,,,,,,,,,249,15,13,17,16,,,,,,,,,,,,,,,,121,8,6,9,,,,,,,,,,,,,,,,,,,,277,94111,78,77,78,13857,12,11,13,91,110504,91,92,309769,19.1,18.6,2516,0.8,684,0.2,6915,2.2,152,0.0,10117,3.3,285575,92.2,1211,0,0,1,50.5,73505,24.9,
9,10,33017,New Hampshire,Strafford,78.0,77.6,78.5,,,,86.1,80.8,91.4,80.6,74.4,86.9,95.2,78.4,112.0,77.7,77.2,78.2,1552,350,332,368,,,,,,,,,,,,,,,,37.0,38.0,27.0,53.0,,,,,,,,,,,,,,,,33.0,4.0,3.0,5.0,,,,,,,,,,,,,,,,11,10,12,14,12,16,11,9.0,12.0,107,95,11530,9,6520,5,156,40,34,46,,,,,,,,,,,,,,,,76,9,7,11,,,,,,,,,,,,,,,,35,33,37,6895,9,7,10,535,2,1,3,144,695,1150,87,3.0,1.0,4.0,3.2,,,2.8,3.2,,,,,,71486,66517,76455,18200.0,7089.0,29311.0,64353.0,51672.0,77034.0,,,,64076,35862,92290,73941,71128,76754,30,58.0,31,2.0,1.0,3.0,,,,,,,,,,,,,,,,105,16,13,19,16,,,,,,,,,,,,,,,,57,9,7,11,,,,,,,,,,,,,,,,,,,,427,32335,66,65,67,6328,13,12,15,86,42162,85,87,130633,18.2,15.4,1623,1.2,362,0.3,4895,3.7,70,0.1,3622,2.8,117857,90.2,704,1,0,1,50.9,39900,32.4,
