,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,33000,New Hampshire,,,15889,6374,6214,6533,,,,,,2075.0,1572.0,2578.0,,6565.0,5414.0,7716.0,,3641.0,3072.0,4210.0,,6633.0,6460.0,6806.0,,13,12,14,,3.5,3.3,3.8,,4.6,4.2,5.0,,,7,7,7,,10.0,5.0,15.0,8.0,7.0,9.0,10.0,9.0,12.0,7.0,6.0,8.0,7.0,6.0,7.0,17,15,18,,29,,,,8.8,,21,,,,88,,20,18,22,,189,600,32,29,34,,3734,278.1,,10,9,10,,16.0,9.0,26.0,4.0,2.0,5.0,11.0,9.0,14.0,22.0,20.0,24.0,9.0,9.0,9.0,76244,7,7,8,,1233,91,1100,,1044,77,1302,,4376,322,311,,3844,,1623.0,3634.0,4650.0,3299.0,3851.0,49,,21.0,39.0,42.0,44.0,50.0,52,,43.0,52,40.0,44,52,894131,960337,93,93,93,,226560,319895,71,70,72,,19680,773734,2.5,,8,7,9,,11.0,6.0,24.0,22.0,8,143632,33165,4.3,,49471,259038,19,18,20,,1417,10.4,,2620,197,,5953,89,86,91,,,,,22.0,16.0,30.0,54.0,41.0,69.0,42.0,34.0,51.0,93.0,91.0,95.0,5.7,,,,14,14,15,13,12,13,1,1,2,1,1,1,,81,80,81,,70.0,60.0,80.0,72.0,69.0,76.0,70.0,68.0,72.0,72.0,68.0,75.0,81.0,80.0,82.0,714588,39,38,40,,
1,2,33001,New Hampshire,Belknap,,914,7980,7109,8851,1.4,,,,,,,,,,,,,,,,,,,,,14,12,17,-0.02,3.6,3.2,4.0,-0.3,4.4,4.0,4.9,-0.09,,7,7,8,1.14,,,,,,,,,,,,,,,,17,13,20,-0.11,28,25.0,31.0,-0.5,8.6,-0.04,21,19.0,24.0,-0.16,87,-0.36,21,20,22,-0.05,14,42,33,25,41,0.38,136,223.7,-0.51,11,9,13,-0.06,,,,,,,,,,,,,,,,3928,8,7,10,0.61,38,62,1606,0.77,42,69,1460,0.23,343,560,179,-1.91,3226,-0.78,,,,,,49,-0.26,,20.0,,37.0,50.0,52,-0.46,,40,23.0,46,52,42040,45114,93,92,94,-0.3,8568,12954,66,60,72,0.1,796,31583,2.5,-0.02,11,7,15,0.16,,,,32.0,12,127453,30360,4.2,-0.14,2908,11379,26,20,31,1.21,74,12.1,-0.61,145,239,1.06,327,107,96,119,0.86,,,,,,,,,,,,,,,,4.4,-1.67,Yes,0.32,15,13,17,13,12,15,1,0,2,1,0,1,0.28,80,78,83,0.23,,,,,,,,,,,,,,,,30807,39,36,42,0.53,
2,3,33003,New Hampshire,Carroll,,670,7676,6542,8809,1.05,,,,,,,,,,,,,,,,,,,,,14,12,16,-0.25,3.7,3.3,4.1,0.0,4.3,3.9,4.7,-0.56,,6,5,7,-1.01,,,,,,,,,,,,,,,,17,14,21,0.24,28,26.0,31.0,-0.44,8.9,-1.1,23,21.0,25.0,0.35,81,0.56,22,21,23,0.77,9,36,25,16,34,-0.51,76,158.1,-1.46,14,11,16,0.44,,,,,,,,,,,,,,,,3378,10,8,11,1.84,44,90,1109,0.13,35,72,1397,0.0,119,243,411,0.66,3262,-0.71,,,,,,47,0.22,,45.0,,33.0,47.0,49,0.07,,40,50.0,55,49,35211,37388,94,93,95,-0.8,5875,8870,66,59,73,0.09,608,23974,2.5,0.04,13,8,19,0.79,,7.0,46.0,27.0,13,113611,27935,4.1,-0.86,2278,7766,29,22,37,2.07,60,12.3,-0.69,78,181,-0.17,278,116,102,129,1.41,,,,,,,,,,,,,,,,5.7,0.46,Yes,0.32,15,13,17,12,10,15,1,1,2,1,0,2,0.22,81,79,83,0.46,,,,,,,,,,,,,,,,23334,36,32,39,0.01,
3,4,33005,New Hampshire,Cheshire,,959,7063,6322,7804,0.36,,,,,,,,,,,,,,,,,,,,,14,12,17,0.1,3.6,3.2,4.1,-0.14,4.5,4.0,4.9,0.09,,6,5,7,-1.56,,,,,,,,,,,,,,,,17,14,20,0.1,32,29.0,35.0,0.6,8.7,-0.39,21,18.0,23.0,-0.49,75,1.31,22,21,23,0.86,13,34,38,29,47,0.91,176,231.7,-0.4,10,9,12,-0.26,,,,,,,,,,,,,,,,4308,8,6,9,-0.09,52,68,1471,0.64,58,76,1312,-0.36,255,335,298,-0.09,2940,-1.32,,,,,,45,0.69,,32.0,,53.0,45.0,51,-0.28,,41,23.0,45,51,49659,53191,93,92,94,-0.39,10974,16748,66,61,70,0.19,1070,40926,2.6,0.31,11,7,15,0.13,,4.0,5.0,,11,118610,27957,4.2,0.11,2388,13659,17,14,21,-0.62,73,9.5,0.51,114,187,-0.04,327,86,77,95,-0.53,,,,,,,,,,,,,,,,5.9,0.78,Yes,0.32,16,14,17,14,12,15,1,1,2,1,1,2,1.16,77,75,79,-0.92,,,,,,,,,,,,,,,,39297,28,26,31,-1.18,
4,5,33007,New Hampshire,Coos,,556,7594,6424,8765,0.96,,,,,,,,,,,,,,,,,,,,,19,16,21,2.16,4.2,3.8,4.7,1.88,5.0,4.6,5.4,2.08,,8,7,9,1.75,,,,,,,,,,,,,,,,20,17,23,1.93,37,34.0,40.0,2.01,7.9,2.46,26,23.0,29.0,1.59,74,1.56,20,19,21,-0.72,15,36,42,33,50,1.28,101,319.3,0.86,22,18,26,2.09,,,,,,,,,,,,,,,,1949,9,8,10,1.05,37,117,854,-0.5,20,63,1578,0.63,63,200,501,1.01,3605,-0.06,,,,21816.0,3557.0,42,1.41,,,,,,41,1.49,,50,,28,41,21350,24304,88,87,89,2.4,3696,6964,53,48,59,1.92,468,14741,3.2,2.25,18,11,25,2.04,,,,10.0,17,92485,22016,4.2,-0.12,761,5204,15,9,20,-1.27,38,12.0,-0.57,48,159,-0.66,191,121,104,138,1.74,,,,,,,,,,,,,,,,5.6,0.29,No,-2.85,14,13,16,12,11,14,1,0,1,1,1,2,-0.41,76,74,78,-1.14,,,,,,,,,,,,,,,,13972,23,21,26,-1.94,
5,6,33009,New Hampshire,Grafton,,1070,5624,5048,6200,-1.27,,,,,,,,,,,,,,,,,,,,,13,11,15,-0.46,3.5,3.1,3.9,-0.49,4.4,4.0,4.8,-0.11,,7,6,7,-0.13,,,,5.0,3.0,8.0,22.0,11.0,34.0,,,,7.0,6.0,7.0,16,13,18,-0.9,25,22.0,28.0,-1.45,8.5,0.32,19,16.0,21.0,-1.14,90,-0.7,22,21,23,0.7,13,49,27,19,34,-0.35,267,298.7,0.57,6,5,7,-1.0,,,,,,,,,,,,,,,,4916,8,7,9,-0.06,186,207,483,-2.58,77,86,1167,-1.09,417,464,216,-1.13,3338,-0.57,,3823.0,,,3373.0,46,0.46,,35.0,,30.0,47.0,42,1.31,,42,7.0,22,42,58754,63283,93,92,94,-0.13,14415,20194,71,67,76,-0.62,1096,49880,2.2,-1.14,10,6,14,-0.14,,4.0,63.0,45.0,12,125292,26961,4.6,2.34,2943,14591,20,16,24,-0.01,117,13.0,-1.0,140,167,-0.48,361,81,72,89,-0.88,,,,,,,,,,,,,,,,5.1,-0.52,Yes,0.32,14,12,15,12,10,13,2,1,2,1,1,1,-0.79,74,72,77,-1.85,,,,59.0,47.0,70.0,57.0,37.0,78.0,59.0,47.0,71.0,78.0,77.0,80.0,45597,32,29,34,-0.61,
6,7,33011,New Hampshire,Hillsborough,,4603,6609,6320,6898,-0.15,,,,,,,,,6729.0,5147.0,8644.0,,4513.0,3670.0,5356.0,,7050.0,6718.0,7381.0,,12,10,14,-0.91,3.4,3.1,3.8,-0.81,4.2,3.8,4.6,-0.95,,7,7,7,0.33,,,,7.0,6.0,8.0,11.0,9.0,13.0,7.0,6.0,8.0,7.0,6.0,7.0,16,13,19,-0.59,29,27.0,30.0,-0.35,8.6,-0.04,22,21.0,23.0,-0.05,92,-1.0,19,18,20,-1.61,43,125,34,30,39,0.5,1364,332.9,1.06,12,11,13,0.1,,,,5.0,3.0,8.0,15.0,11.0,20.0,33.0,29.0,37.0,10.0,9.0,11.0,25370,7,7,8,-0.29,359,86,1157,0.21,345,83,1209,-0.86,1334,320,313,0.03,4364,1.37,5456.0,3904.0,5031.0,4126.0,4352.0,51,-0.74,,40.0,44.0,48.0,52.0,55,-0.99,34.0,55,42.0,44,55,268182,291168,92,92,93,0.25,75647,106169,71,69,73,-0.61,6363,242579,2.6,0.34,8,6,10,-0.67,,4.0,28.0,26.0,7,151632,35108,4.3,0.53,16463,85376,19,18,21,-0.21,389,9.4,0.58,1088,273,1.8,1846,90,86,94,-0.29,,,,18.0,10.0,28.0,49.0,32.0,71.0,53.0,41.0,66.0,98.0,93.0,102.0,4.3,-1.83,Yes,0.32,15,14,16,13,12,14,2,2,2,1,1,1,0.43,81,81,82,0.68,,,,74.0,68.0,80.0,70.0,65.0,75.0,71.0,67.0,75.0,83.0,82.0,84.0,222739,40,39,41,0.64,
7,8,33013,New Hampshire,Merrimack,,1744,6319,5845,6792,-0.48,,,,,,,,,,,,,,,,,,,,,13,11,15,-0.49,3.3,2.9,3.7,-1.2,4.4,3.9,4.8,-0.26,,7,6,7,-0.42,,,,10.0,6.0,13.0,6.0,3.0,8.0,7.0,4.0,10.0,6.0,6.0,7.0,17,14,20,0.16,28,26.0,30.0,-0.58,8.7,-0.39,20,18.0,22.0,-0.78,93,-1.12,21,20,22,0.21,17,82,21,15,27,-0.97,346,231.9,-0.39,9,8,10,-0.51,,,,,,,10.0,5.0,18.0,11.0,6.0,18.0,9.0,8.0,10.0,8181,7,6,8,-0.7,165,109,916,-0.31,117,77,1294,-0.44,643,425,235,-0.81,3714,0.14,,3657.0,,,3741.0,54,-1.46,,48.0,40.0,41.0,54.0,55,-0.99,,57,41.0,53,55,99447,106647,93,92,94,-0.33,24994,35465,70,68,73,-0.5,1890,83845,2.3,-0.94,7,4,10,-0.88,,11.0,6.0,7.0,6,136733,32920,4.2,-0.38,5386,28804,19,16,22,-0.34,213,14.1,-1.46,208,158,-0.68,664,89,82,95,-0.35,,,,,,,81.0,39.0,148.0,,,,91.0,84.0,98.0,5.8,0.62,Yes,0.32,14,13,16,13,12,14,1,1,2,1,1,1,-0.08,81,80,82,0.5,,,,73.0,55.0,91.0,65.0,53.0,77.0,74.0,65.0,83.0,83.0,81.0,84.0,78708,39,37,40,0.45,
8,9,33015,New Hampshire,Rockingham,,3224,5398,5087,5709,-1.52,,,,,,,,,,,,,,,,,,,,,11,10,14,-1.25,3.5,3.1,3.9,-0.63,4.1,3.7,4.5,-1.37,,6,6,7,-0.76,,,,10.0,7.0,13.0,12.0,6.0,17.0,7.0,5.0,9.0,6.0,6.0,7.0,14,11,17,-1.85,27,25.0,29.0,-0.73,8.9,-1.1,18,17.0,20.0,-1.33,88,-0.54,23,22,24,1.49,50,122,41,37,45,1.2,699,228.2,-0.45,5,5,6,-1.19,,,,,,,,,,7.0,4.0,12.0,5.0,5.0,6.0,14309,6,5,6,-1.84,237,77,1305,0.44,236,76,1313,-0.36,775,250,400,0.6,3843,0.39,,3571.0,3553.0,1763.0,3865.0,52,-0.98,,45.0,53.0,44.0,52.0,54,-0.82,,51,41.0,48,54,211946,222793,95,95,96,-1.29,54262,71610,76,73,78,-1.23,5114,188440,2.7,0.65,5,3,6,-1.49,,5.0,5.0,13.0,5,170552,43163,4.0,-1.49,9599,60178,16,14,17,-0.97,297,9.6,0.48,346,117,-1.55,1178,77,73,81,-1.12,,,,,,,67.0,32.0,124.0,31.0,17.0,52.0,80.0,75.0,84.0,5.7,0.46,Yes,0.32,13,12,14,11,11,12,1,1,1,1,1,1,-1.61,83,82,84,1.19,,,,80.0,72.0,88.0,78.0,70.0,86.0,75.0,70.0,81.0,82.0,81.0,83.0,172152,46,44,47,1.56,
9,10,33017,New Hampshire,Strafford,,1552,7096,6571,7621,0.4,,,,,,,,,,,,,,,,,,,,,14,12,16,-0.07,3.7,3.3,4.1,0.09,4.4,4.0,4.9,-0.05,,7,6,7,0.18,,,,10.0,8.0,13.0,10.0,4.0,16.0,6.0,3.0,8.0,7.0,6.0,7.0,17,14,21,0.37,32,29.0,34.0,0.54,8.6,-0.04,23,21.0,26.0,0.57,89,-0.66,21,20,22,-0.34,12,53,23,16,30,-0.77,487,378.7,1.72,8,7,9,-0.7,,,,,,,,,,16.0,9.0,25.0,8.0,7.0,9.0,7382,7,6,8,-0.4,82,63,1586,0.75,97,74,1347,-0.21,349,267,374,0.46,4642,1.9,,,3443.0,4251.0,4675.0,42,1.41,,32.0,23.0,21.0,43.0,53,-0.64,,55,37.0,40,53,78351,84448,93,92,94,-0.1,22683,31262,73,69,76,-0.79,1746,74621,2.3,-0.65,8,5,12,-0.56,,8.0,31.0,22.0,9,131479,31441,4.2,-0.23,5159,23948,22,18,26,0.3,96,7.4,1.44,298,236,1.0,606,94,87,102,0.0,,,,,,,,,,,,,,,,6.0,0.95,Yes,0.32,16,15,18,14,12,16,2,1,2,2,1,2,1.75,79,78,80,-0.16,,,,58.0,47.0,70.0,,,,66.0,51.0,81.0,77.0,75.0,79.0,67542,38,35,40,0.31,
