,FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low,95% CI - High,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Adults with Diabetes,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low,95% CI - High,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low,95% CI - High,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured (Adults),% Uninsured (Adults),95% CI - Low (Adults),95% CI - High (Adults),# Uninsured (Children),% Uninsured (Children),95% CI - Low (Children),95% CI - High (Children),Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low,95% CI - High,Average Grade Performance (Math),Average Grade Performance (Asian) (Math),Average Grade Performance (Black) (Math),Average Grade Performance (Hispanic) (Math),Average Grade Performance (White) (Math),Average Grade Performance (Reading),Average Grade Performance (Asian) (Reading),Average Grade Performance (Black) (Reading),Average Grade Performance (Hispanic) (Reading),Average Grade Performance (White) (Reading),Median Household Income,95% CI - Low,95% CI - High,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths,Suicide Rate (Age-Adjusted),95% CI - Low,95% CI - High,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low,95% CI - High,% Broadband Access,Numerator,95% CI - Low,95% CI - High,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural,
1,35000,New Mexico,,78.0,77.8,78.1,72.8,72.3,73.4,88.1,86.2,89.9,75.9,74.9,76.9,78.7,78.5,78.9,78.7,78.5,78.9,28571,400,395,404,635,613,657,163,140,186,467,430,503,382,375,389,366,359,373,1059,55,51,58,79,67,91,51,28,86,87,62,119,51,47,55,50,43,56,970,5,5,6,6,5,7,,,,8,6,11,5,5,6,5,4,6,13,12,15,15,13,16,10,,,3584,205,315990,15,289225,14,1629,26,25,27,18,15,22,,,,24,17,34,28,26,30,26,24,28,2581,18,17,18,46,43,50,6,3,9,16,12,21,16,15,17,14,13,15,33,31,35,170628,14,13,15,27180,5,5,6,107,932:1,26672,74,10,9,11,,,,,,2.7,3.6,2.5,2.6,3.1,52021,50901,53141,35349,33875,36823,65144,58436,71852,40528,36217,44839,42421,41692,43150,59815,58960,60670,72,49,41,8,8,9,15,13,17,,,,20,16,26,9,9,10,5,4,6,2509,24,23,25,24,25,22,29,16,11,23,15,11,22,17,16,18,30,29,32,2076,20,19,21,12,10,15,10,6,16,29,22,36,16,15,18,26,24,27,5275,3345,223100,,361,527896,68,67,68,100858,14,13,14,75,582074,74,75,2096829,22.7,18.0,39583,1.9,229794,11.0,37550,1.8,3341,0.2,1032942,49.3,772630,36.8,83183,4,4,4,50.5,464818,22.6,
2,35001,New Mexico,Bernalillo,78.4,78.1,78.6,74.7,73.2,76.1,86.4,84.3,88.5,74.6,73.3,75.9,78.0,77.7,78.4,79.3,78.9,79.6,8628,372,364,380,551,500,603,164,132,197,503,446,559,389,377,402,336,325,348,335,56,50,62,66,40,104,,,,71,39,120,56,48,63,53,42,66,307,6,5,6,,,,,,,,,,6,5,7,5,4,6,13,11,14,14,13,15,7,6,8,1495,260,88630,13,43577,7,616,30,28,33,33,22,47,,,,33,20,51,32,28,35,29,26,33,655,14,13,15,33,26,42,,,,18,11,26,15,14,17,10,9,12,33,32,34,53708,13,12,14,6693,4,4,5,146,686:1,8320,68,8,6,9,,,,,,2.6,3.6,2.3,2.5,3.2,56148,53522,58774,40669,36274,45064,67424,58839,76009,40887,36489,45285,45362,44041,46683,63080,61740,64420,68,39,23,9,9,10,13,9,19,,,,27,19,37,12,10,13,5,4,6,792,23,21,24,23,19,13,28,15,8,25,13,7,22,18,16,20,29,26,32,714,21,20,23,14,9,22,12,6,22,37,26,51,20,18,22,23,20,26,1043,733,68600,26,759,168608,63,62,64,40883,16,15,16,80,213635,79,81,679121,21.4,16.9,17603,2.6,43079,6.3,19735,2.9,982,0.1,341627,50.3,259792,38.3,23880,4,3,4,51.0,27798,4.2,
3,35003,New Mexico,Catron,81.7,77.5,85.8,,,,,,,,,,,,,,,,63,353,238,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,16,16,14,17,10,6,15,,,680,19,1694,45,,,,,,,,,,,,,,,,,,,,12,48,25,84,,,,,,,,,,,,,,,,32,30,33,139,8,6,10,32,7,4,10,28,3527:1,,,,,,,,,,,,,,,,37190,31926,42454,,,,,,,,,,43413,37241,49585,41378,30930,51826,88,,,,,,,,,,,,,,,,,,,,,10,55,20,120,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-4,1-4,200,,1,1162,88,83,92,92,7,0,15,54,711,45,62,3527,11.7,43.3,22,0.6,140,4.0,9,0.3,1,0.0,670,19.0,2641,74.9,18,1,0,2,46.8,3725,100.0,
4,35005,New Mexico,Chaves,75.7,75.0,76.5,,,,,,,,,,77.2,76.0,78.5,75.1,73.9,76.3,1036,490,459,521,,,,,,,1223,836,1726,460,417,503,509,462,556,47,69,50,91,,,,,,,,,,76,53,105,53,25,97,39,6,4,9,,,,,,,,,,,,,,,,15,14,16,15,14,17,10,8,13,54,102,9350,14,8659,13,49,25,19,33,,,,,,,,,,23,15,33,29,18,44,78,17,13,21,,,,,,,,,,17,12,23,17,11,24,33,32,34,5102,14,12,16,1094,6,4,8,85,1175:1,844,70,6,3,9,,,,,,2.9,,,2.8,3.2,43687,39088,48286,,,,,,,14450,81,28819,39227,35888,42566,49029,44531,53527,88,44,29,15,12,19,,,,,,,,,,18,13,24,10,6,15,63,19,15,25,19,,,,,,,,,,12,7,18,29,20,41,83,26,20,32,,,,,,,,,,22,16,30,29,21,40,375,184,8100,69,123,16040,69,67,71,2465,11,9,13,69,16172,67,72,64615,26.0,16.1,941,1.5,1554,2.4,771,1.2,168,0.3,37376,57.8,24514,37.9,3327,5,5,6,50.3,15918,24.2,
5,35006,New Mexico,Cibola,76.3,75.0,77.6,74.3,71.8,76.8,,,,,,,78.9,76.6,81.1,77.9,75.8,80.1,435,493,445,541,632,541,722,,,,,,,390,320,459,410,319,502,10,39,19,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,17,19,18,17,19,15,12,18,89,402,5230,19,6003,22,12,15,8,26,,,,,,,,,,,,,,,,52,27,20,36,50,36,69,,,,,,,14,7,25,,,,38,37,39,2008,15,12,17,356,5,4,7,150,667:1,303,63,11,4,17,,,,,,2.7,,,2.9,2.9,40436,34709,46163,34072,30084,38060,13750,5898,21602,,,,40778,30150,51406,47414,37205,57623,100,64,64,8,4,13,,,,,,,,,,,,,,,,35,27,19,38,26,29,16,47,,,,,,,22,11,40,,,,25,19,12,27,,,,,,,,,,,,,,,,48,42,2800,32,85,5981,69,66,71,657,8,6,11,58,5043,55,61,26675,23.2,16.8,273,1.0,11707,43.9,155,0.6,33,0.1,10261,38.5,5043,18.9,444,2,1,2,48.8,15061,55.3,
6,35007,New Mexico,Colfax,78.8,76.7,81.0,,,,,,,,,,76.8,73.8,79.8,81.2,78.2,84.2,189,393,327,458,,,,,,,,,,457,362,569,326,244,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,16,15,14,16,14,10,19,9,86,2080,17,3974,29,10,28,13,51,,,,,,,,,,,,,,,,18,21,12,33,,,,,,,,,,,,,,,,34,32,35,683,11,9,13,132,6,4,8,109,919:1,,,,,,,,,,,2.5,,,2.4,2.6,42754,36831,48677,14521,3668,25374,,,,,,,30852,26800,34904,46747,40145,53349,89,,14,13,6,23,,,,,,,,,,,,,,,,23,41,25,64,38,,,,,,,,,,44,22,79,36,14,74,16,26,15,43,,,,,,,,,,,,,,,,45,37,1000,82,94,4157,71,68,74,636,12,8,15,67,3943,62,73,11941,17.9,27.4,65,0.5,344,2.9,94,0.8,28,0.2,5876,49.2,5605,46.9,86,1,0,2,49.2,7199,52.4,
7,35009,New Mexico,Curry,76.5,75.7,77.4,,,,,,,71.1,66.8,75.5,77.4,75.7,79.2,77.0,75.9,78.1,628,456,419,492,,,,,,,637,468,848,460,399,521,436,387,484,33,63,43,88,,,,,,,,,,,,,,,,37,6,4,8,,,,,,,,,,,,,,,,15,14,16,15,14,16,9,7,11,32,81,7550,15,7419,15,24,16,10,24,,,,,,,,,,16,8,29,18,10,31,51,15,11,19,,,,,,,,,,19,12,27,11,7,17,32,31,33,3917,13,11,16,713,5,4,7,86,1166:1,671,84,14,7,21,,,,,,2.7,,2.4,2.6,3.0,45623,40053,51193,54432,40614,68250,,,,33364,22647,44081,35728,31686,39770,52202,48607,55797,73,31,28,7,4,10,,,,,,,,,,,,,,,,53,23,17,30,21,,,,,,,,,,12,6,22,26,17,37,46,18,14,25,,,,,,,,,,11,6,20,22,15,32,108,199,5400,57,151,10576,57,55,59,2710,15,12,18,81,15008,78,84,48954,26.2,12.8,2710,5.5,1050,2.1,893,1.8,117,0.2,21255,43.4,22780,46.5,2273,5,4,6,48.2,6806,14.1,
8,35011,New Mexico,De Baca,76.3,71.2,81.3,,,,,,,,,,,,,,,,36,515,336,755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,14,16,16,15,17,20,12,31,,,310,15,137,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,33,36,113,13,10,15,30,7,4,10,114,874:1,,,,,,,,,,,2.9,,,,,34746,30533,38959,,,,,,,,,,41625,15855,67395,30745,26412,35078,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,200,60,88,421,63,51,74,47,8,0,19,68,458,60,76,1748,22.4,28.7,9,0.5,39,2.2,8,0.5,0,0.0,803,45.9,874,50.0,5,0,0,3,50.4,2022,100.0,
9,35013,New Mexico,Dona Ana,80.0,79.6,80.5,97.0,75.6,118.5,91.4,80.3,102.5,77.8,74.1,81.5,81.2,80.6,81.8,78.7,78.0,79.4,2288,337,322,351,,,,,,,436,323,575,312,294,330,379,351,407,95,44,36,54,,,,,,,,,,46,36,57,40,22,68,101,5,4,6,,,,,,,,,,,,,,,,14,13,16,15,13,16,10,8,11,408,228,33900,16,40779,19,108,17,13,20,,,,,,,,,,15,11,19,23,16,31,189,13,11,14,,,,,,,,,,13,11,15,12,9,16,33,32,35,19496,15,14,17,3350,6,4,8,88,1136:1,3042,82,8,6,10,,,,,,2.7,3.4,2.7,2.7,3.2,43618,40089,47147,32346,8793,55899,44762,21346,68178,44289,30020,58558,34505,32096,36914,57369,54039,60699,85,50,21,4,3,6,,,,,,,,,,5,3,6,4,2,6,179,17,14,19,17,,,,,,,,,,11,9,14,27,21,35,142,13,11,15,,,,,,,,,,9,7,11,23,18,29,659,438,24200,45,263,49113,63,62,64,11628,16,14,17,73,56862,71,75,218195,24.3,16.2,3548,1.6,5124,2.3,2881,1.3,378,0.2,150033,68.8,58310,26.7,18094,9,8,10,51.0,40362,19.3,
10,35015,New Mexico,Eddy,74.7,73.9,75.5,,,,,,,,,,76.0,74.8,77.3,73.3,72.1,74.6,947,516,483,550,,,,,,,,,,455,407,504,572,521,622,40,65,47,89,,,,,,,,,,69,45,102,61,33,102,41,7,5,9,,,,,,,,,,,,,,,,13,12,14,14,13,15,12,10,15,30,64,6490,11,7021,13,53,31,23,40,,,,,,,,,,19,11,30,46,32,63,97,24,20,30,,,,,,,,,,22,16,30,25,19,33,34,33,35,3883,11,10,13,779,5,3,6,96,1044:1,819,72,12,6,17,,,,,,3.1,,,3.1,3.2,63671,55939,71403,,,,,,,51833,6844,96822,58216,45556,70876,74645,66562,82728,48,42,19,9,6,12,,,,,,,,,,11,7,17,7,4,11,90,33,26,41,31,,,,,,,,,,25,17,35,41,31,54,90,31,25,38,,,,,,,,,,24,17,34,40,30,52,316,82,6700,59,140,14768,69,67,72,1643,8,6,10,79,16843,77,82,58460,26.5,14.6,775,1.3,1423,2.4,520,0.9,86,0.1,29548,50.5,26456,45.3,1663,3,2,4,49.4,11226,20.9,
