,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,35000,New Mexico,,,28571.0,9092.0,8939.0,9245.0,,16549.0,15878.0,17220.0,,3531.0,2751.0,4312.0,,10225.0,9164.0,11285.0,,8525.0,8322.0,8727.0,,7927.0,7675.0,8178.0,,20,19,22,,4.3,4.0,4.5,,4.5,4.2,4.8,,,9.0,9.0,9.0,,8.0,8.0,8.0,10.0,9.0,12.0,14.0,13.0,16.0,9.0,9.0,9.0,8.0,8.0,9.0,16,15,17,,27,,,,4.2,,19,,,,77,,17,15,18,,566,1898,30,29,31,,14000.0,670.5,,32.0,31.0,32.0,,38.0,36.0,40.0,5.0,4.0,7.0,24.0,21.0,27.0,37.0,36.0,38.0,19.0,18.0,19.0,194630,12,11,12,,1569.0,75.0,1336,,1459.0,70.0,1437,,8462,404,248,,2894.0,,4215.0,2222.0,4935.0,2948.0,2717.0,35,,29.0,36.0,36.0,33,36,40,,52.0,38.0,27.0,35,41,1201121,1403371,86,85,86,,321191,531035,60,60.0,61.0,,46434,954605,4.9,,24,22,25,,40.0,9.0,32.0,30.0,14.0,102374,19889,5.1,,144000,486663,30,29,31,,1707,8.1,,13539.0,650.0,,11314.0,108.0,106.0,110.0,,160.0,152.0,168.0,39.0,30.0,49.0,95.0,82.0,108.0,93.0,90.0,95.0,119.0,115.0,122.0,5.6,,,,17,17,18,14,13,14,3,3,4,1,1,2,,80,80,81,,76.0,74.0,78.0,71.0,67.0,74.0,76.0,74.0,78.0,82.0,82.0,83.0,79.0,79.0,80.0,886880,27,26,27,,
1,2,35001,New Mexico,Bernalillo,,8628.0,8398.0,8143.0,8653.0,-0.62,13860.0,12406.0,15314.0,,3554.0,2405.0,4704.0,,10648.0,9037.0,12259.0,,8773.0,8419.0,9127.0,,7348.0,6930.0,7765.0,,19,17,21,-1.0,4.1,3.8,4.5,-0.83,4.6,4.3,4.9,-0.08,,9.0,9.0,10.0,0.16,8.0,7.0,9.0,11.0,9.0,13.0,16.0,14.0,17.0,10.0,9.0,10.0,9.0,8.0,9.0,15,13,17,-1.13,24,22.0,26.0,-1.11,7.6,-1.08,15,14.0,17.0,-1.45,91,-1.16,16,16,17,-0.42,130,451,29,26,31,0.0,5050.0,746.2,0.83,24.0,23.0,25.0,-0.85,35.0,31.0,39.0,5.0,3.0,8.0,22.0,18.0,27.0,29.0,28.0,30.0,11.0,10.0,12.0,59436,11,10,11,-0.04,703.0,104.0,965,-1.64,592.0,87.0,1147,-0.84,3197,471,212,-0.01,2299.0,-0.67,2531.0,2396.0,3707.0,2574.0,2171.0,38,-1.25,28.0,34.0,40.0,35,40,38,-0.23,47.0,37.0,24.0,32,41,414436,466135,89,88,89,-0.83,127163,188097,68,66.0,69.0,-1.24,14817,333865,4.4,-0.53,20,18,23,-0.85,34.0,7.0,39.0,28.0,12.0,108527,21603,5.0,0.14,46209,149137,31,29,33,0.21,529,7.8,0.27,6385.0,945.0,2.31,3718.0,110.0,106.0,113.0,-0.32,143.0,124.0,162.0,40.0,29.0,55.0,112.0,91.0,133.0,102.0,97.0,107.0,119.0,114.0,125.0,7.6,1.66,Yes,0.37,19,18,19,16,15,17,3,3,3,1,1,1,0.6,81,80,81,0.48,75.0,72.0,78.0,75.0,73.0,78.0,74.0,70.0,78.0,84.0,83.0,84.0,81.0,80.0,82.0,317562,26,25,27,0.04,
2,3,35003,New Mexico,Catron,x,,,,,0.0,,,,,,,,,,,,,,,,,,,,,20,18,22,-0.78,4.5,4.1,4.8,-0.27,4.7,4.3,5.0,0.08,x,8.0,,,-0.44,,,,,,,,,,,,,,,,21,18,23,0.51,26,19.0,33.0,-0.77,3.0,2.48,24,17.0,31.0,0.09,74,-0.25,18,17,19,0.69,5,7,71,58,81,3.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,167,8,6,10,-1.14,2.0,56.0,1789,-0.02,0.0,0.0,3527,1.88,2,57,1764,1.04,991.0,-1.95,,,,,,29,0.53,,,,32,29,25,1.19,,,,22,25,2671,2839,94,91,97,-1.77,228,526,43,27.0,60.0,0.92,72,1153,6.2,0.58,38,22,54,1.43,,,,6.0,37.0,64091,23646,2.7,-2.42,266,540,49,21,77,2.4,3,8.4,0.15,6.0,158.0,-1.42,33.0,187.0,129.0,262.0,2.14,,,,,,,,,,,,,,,,4.5,-1.28,No,-2.6,6,1,11,6,1,11,0,0,2,0,0,1,-1.7,68,50,87,-1.62,,,,,,,,,,,,,,,,876,21,8,33,-0.37,
3,4,35005,New Mexico,Chaves,,1036.0,10141.0,9261.0,11021.0,0.09,,,,,,,,,,,,,9561.0,8462.0,10661.0,,10380.0,8851.0,11910.0,,25,23,28,0.57,4.7,4.4,5.1,0.09,4.6,4.3,4.9,-0.08,,8.0,8.0,9.0,-0.41,,,,,,,14.0,6.0,22.0,8.0,7.0,9.0,9.0,7.0,10.0,20,18,22,0.37,34,29.0,38.0,0.65,6.8,-0.46,26,22.0,30.0,0.45,71,-0.12,19,18,20,1.46,15,57,26,19,34,-0.18,342.0,527.2,-0.18,44.0,41.0,47.0,0.55,,,,,,,,,,48.0,44.0,52.0,36.0,31.0,42.0,6097,12,10,13,0.34,43.0,66.0,1504,-0.38,36.0,56.0,1795,0.14,86,133,751,0.84,3909.0,0.9,,,7986.0,4024.0,3747.0,34,-0.46,36.0,27.0,42.0,31,35,43,-0.78,45.0,41.0,38.0,39,45,32359,41374,78,76,80,1.11,8246,15781,52,47.0,57.0,0.13,1326,27165,4.9,-0.26,24,16,32,-0.43,64.0,,16.0,32.0,11.0,85748,18148,4.7,-0.19,5097,17170,30,24,35,0.06,60,9.3,-0.02,408.0,622.0,0.78,347.0,107.0,95.0,118.0,-0.41,,,,,,,216.0,111.0,377.0,84.0,71.0,97.0,137.0,117.0,158.0,6.7,0.81,Yes,0.37,15,13,17,11,9,13,4,3,5,1,0,1,-0.1,84,81,86,0.96,,,,,,,,,,85.0,82.0,88.0,82.0,78.0,86.0,26631,18,15,20,-0.59,
4,5,35006,New Mexico,Cibola,,435.0,11182.0,9722.0,12641.0,0.51,15300.0,12589.0,18011.0,,,,,,,,,,8498.0,6528.0,10469.0,,7665.0,5037.0,10293.0,,29,27,31,1.44,5.7,5.4,6.0,1.61,5.5,5.2,5.8,1.85,,10.0,9.0,11.0,0.33,9.0,7.0,10.0,,,,,,,10.0,8.0,13.0,11.0,8.0,15.0,25,23,28,1.98,34,29.0,39.0,0.7,5.0,0.93,29,25.0,33.0,1.09,66,0.13,16,15,17,-0.71,19,65,29,23,36,0.03,246.0,916.1,1.62,41.0,36.0,46.0,0.34,43.0,36.0,51.0,,,,,,,42.0,34.0,52.0,28.0,17.0,42.0,2326,12,10,13,0.37,15.0,56.0,1783,-0.03,18.0,67.0,1482,-0.22,99,371,269,0.24,2938.0,-0.05,2575.0,,,2077.0,3628.0,26,1.12,11.0,,,35,34,40,-0.45,40.0,,36.0,39,41,15056,18134,83,81,86,0.24,3558,7284,49,42.0,55.0,0.43,566,8991,6.3,0.61,33,22,43,0.69,42.0,,15.0,27.0,11.0,84745,14775,5.7,0.93,2649,6364,42,34,49,1.49,12,4.5,0.91,148.0,543.0,0.41,163.0,121.0,102.0,139.0,0.03,131.0,103.0,166.0,,,,,,,105.0,79.0,136.0,138.0,97.0,190.0,5.3,-0.52,Yes,0.37,20,17,23,9,7,11,9,7,12,4,3,5,0.9,75,71,79,-0.5,75.0,71.0,79.0,,,,,,,78.0,68.0,87.0,76.0,66.0,86.0,9013,26,21,31,0.05,
5,6,35007,New Mexico,Colfax,,189.0,10243.0,7643.0,12843.0,0.13,,,,,,,,,,,,,,,,,,,,,22,20,24,-0.21,4.6,4.3,4.9,-0.13,4.5,4.2,4.8,-0.38,,15.0,13.0,18.0,3.0,,,,,,,,,,16.0,13.0,20.0,13.0,9.0,16.0,18,16,21,-0.1,28,21.0,35.0,-0.41,4.9,1.01,28,22.0,35.0,0.89,76,-0.37,16,15,17,-0.45,4,23,17,7,30,-0.81,34.0,279.3,-1.32,35.0,27.0,44.0,-0.08,,,,,,,,,,46.0,35.0,59.0,22.0,13.0,35.0,802,9,8,11,-0.56,4.0,33.0,3028,0.76,5.0,42.0,2388,0.58,116,971,103,-1.29,2552.0,-0.43,,,,2374.0,2509.0,36,-0.85,,,,37,35,47,-1.21,,,,47,48,8065,9141,88,86,90,-0.71,1443,2507,58,48.0,67.0,-0.35,257,5483,4.7,-0.38,27,16,38,-0.01,,,,43.0,11.0,79421,16155,4.9,0.02,871,2234,39,24,54,1.17,16,13.2,-0.78,33.0,274.0,-0.87,77.0,126.0,100.0,158.0,0.22,,,,,,,,,,130.0,92.0,178.0,124.0,87.0,172.0,4.6,-1.18,Yes,0.37,16,11,20,13,9,18,3,1,5,0,0,1,0.11,76,72,80,-0.34,,,,,,,,,,75.0,69.0,81.0,70.0,64.0,77.0,4868,18,13,22,-0.6,
6,7,35009,New Mexico,Curry,,628.0,8939.0,8009.0,9869.0,-0.4,,,,,,,,,16592.0,11491.0,23186.0,,8929.0,7537.0,10321.0,,7856.0,6625.0,9088.0,,22,20,25,-0.2,4.7,4.4,5.1,0.11,4.5,4.2,4.8,-0.28,,8.0,8.0,9.0,-0.42,,,,13.0,7.0,19.0,16.0,12.0,20.0,8.0,7.0,9.0,8.0,7.0,9.0,19,17,22,0.15,32,27.0,37.0,0.3,6.5,-0.23,29,25.0,34.0,1.09,78,-0.5,16,15,16,-0.77,8,27,30,19,40,0.06,438.0,879.3,1.45,56.0,51.0,60.0,1.38,,,,,,,43.0,29.0,62.0,67.0,60.0,73.0,42.0,35.0,48.0,4564,11,9,13,0.07,27.0,55.0,1831,0.02,40.0,82.0,1224,-0.67,295,603,166,-0.35,3523.0,0.52,,,6769.0,3485.0,3332.0,32,-0.06,,48.0,28.0,32,32,41,-0.56,,42.0,27.0,37,43,25006,30534,82,80,84,0.44,8964,14445,62,57.0,67.0,-0.75,897,21680,4.1,-0.71,26,18,33,-0.19,,,34.0,40.0,20.0,85807,20261,4.2,-0.73,3574,13126,27,22,32,-0.24,54,10.9,-0.34,207.0,407.0,-0.24,233.0,94.0,82.0,106.0,-0.83,,,,,,,135.0,83.0,206.0,83.0,66.0,102.0,98.0,80.0,115.0,6.2,0.33,Yes,0.37,18,16,20,15,13,17,3,2,4,1,0,1,0.52,84,81,86,0.97,,,,,,,84.0,71.0,97.0,83.0,80.0,86.0,85.0,82.0,88.0,22315,11,9,13,-1.13,
7,8,35011,New Mexico,De Baca,x,,,,,0.0,,,,,,,,,,,,,,,,,,,,,24,21,26,0.15,4.8,4.5,5.1,0.21,4.8,4.5,5.1,0.38,,,,,0.0,,,,,,,,,,,,,,,,20,18,22,0.42,35,26.0,46.0,0.99,7.3,-0.85,28,18.0,39.0,0.76,85,-0.87,18,17,18,0.51,5,11,45,30,59,1.17,8.0,437.4,-0.59,,,,0.0,,,,,,,,,,,,,,,,140,11,9,13,0.12,1.0,56.0,1781,-0.03,2.0,114.0,874,-1.69,16,915,109,-1.14,2778.0,-0.21,,,,,,31,0.14,,,,36,29,11,2.72,,,,11,11,965,1145,84,78,91,0.01,115,385,30,11.0,49.0,2.13,34,795,4.3,-0.63,30,18,41,0.35,,,,15.0,17.0,92636,15957,5.8,1.0,134,697,19,4,34,-1.2,5,28.1,-3.0,4.0,218.0,-1.13,12.0,134.0,69.0,233.0,0.45,,,,,,,,,,,,,,,,5.3,-0.52,Yes,0.37,5,0,11,3,0,12,1,0,5,0,0,3,-1.82,75,61,88,-0.56,,,,,,,,,,,,,,,,624,12,0,24,-1.0,
8,9,35013,New Mexico,Dona Ana,,2288.0,6918.0,6516.0,7320.0,-1.22,,,,,,,,,8609.0,5996.0,11973.0,,6594.0,6125.0,7064.0,,7565.0,6706.0,8424.0,,24,21,27,0.14,4.4,4.1,4.8,-0.36,4.5,4.2,4.9,-0.22,,8.0,8.0,9.0,-0.51,,,,6.0,3.0,9.0,15.0,11.0,20.0,8.0,8.0,9.0,7.0,6.0,8.0,16,14,18,-0.91,26,23.0,30.0,-0.64,6.0,0.15,16,14.0,18.0,-1.3,78,-0.48,18,17,18,0.44,27,117,23,18,28,-0.41,1538.0,713.4,0.68,34.0,32.0,35.0,-0.17,,,,,,,17.0,10.0,27.0,39.0,37.0,41.0,14.0,12.0,16.0,22457,13,11,14,0.78,138.0,63.0,1576,-0.27,138.0,63.0,1581,-0.09,670,307,326,0.4,3514.0,0.51,3918.0,3265.0,5187.0,3625.0,3513.0,39,-1.44,28.0,36.0,33.0,35,41,41,-0.56,36.0,32.0,36.0,37,43,104044,130958,79,78,81,0.89,31588,51399,61,58.0,65.0,-0.69,5551,97527,5.7,0.24,31,25,37,0.54,23.0,10.0,10.0,43.0,16.0,90140,16403,5.5,0.66,16160,53399,30,27,34,0.13,133,6.1,0.6,605.0,283.0,-0.83,800.0,74.0,69.0,79.0,-1.45,,,,,,,63.0,33.0,110.0,60.0,55.0,66.0,111.0,99.0,123.0,9.7,3.65,Yes,0.37,19,18,21,15,13,16,4,3,5,2,1,2,0.73,80,79,82,0.42,67.0,55.0,79.0,58.0,42.0,73.0,79.0,69.0,89.0,81.0,80.0,82.0,79.0,77.0,80.0,88174,23,21,25,-0.2,
9,10,35015,New Mexico,Eddy,,947.0,11040.0,10054.0,12026.0,0.46,,,,,,,,,,,,,9656.0,8402.0,10911.0,,12813.0,11112.0,14513.0,,21,19,23,-0.54,4.0,3.7,4.3,-1.02,4.3,4.0,4.6,-0.79,,8.0,7.0,9.0,-0.51,,,,,,,,,,8.0,7.0,9.0,8.0,7.0,10.0,18,16,20,-0.35,37,31.0,42.0,1.19,7.4,-0.93,25,21.0,30.0,0.33,70,-0.06,18,18,19,1.02,13,67,19,13,26,-0.67,322.0,564.9,0.0,53.0,49.0,57.0,1.17,,,,,,,,,,60.0,55.0,65.0,43.0,38.0,49.0,4588,9,8,11,-0.59,19.0,33.0,3047,0.76,19.0,33.0,3077,0.87,71,121,823,0.87,3165.0,0.17,,,,2957.0,3283.0,32,-0.06,,,23.0,33,32,40,-0.45,37.0,50.0,36.0,39,41,31446,37245,84,82,87,-0.02,7927,15273,52,47.0,57.0,0.16,1064,34483,3.1,-1.36,15,9,20,-1.6,48.0,,,21.0,14.0,120977,25553,4.7,-0.18,3634,15277,24,18,30,-0.65,56,9.7,-0.1,323.0,567.0,0.52,363.0,126.0,113.0,139.0,0.2,,,,,,,,,,95.0,79.0,111.0,160.0,138.0,181.0,6.9,1.0,Yes,0.37,13,11,15,8,6,10,5,3,6,1,0,1,-0.44,87,85,89,1.57,,,,,,,,,,87.0,84.0,90.0,88.0,86.0,89.0,26308,19,16,22,-0.49,
