,Unnamed: 0,FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low.1,95% CI - High.1,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths.1,Child Mortality Rate,95% CI - Low.2,95% CI - High.2,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths.2,Infant Mortality Rate,95% CI - Low.3,95% CI - High.3,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low.4,95% CI - High.4,% Frequent Mental Distress,95% CI - Low.5,95% CI - High.5,% Adults with Diabetes,95% CI - Low.6,95% CI - High.6,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low.7,95% CI - High.7,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low.8,95% CI - High.8,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low.9,95% CI - High.9,# Uninsured (Adults),% Uninsured (Adults),95% CI - Low (Adults),95% CI - High (Adults),# Uninsured (Children),% Uninsured (Children),95% CI - Low (Children),95% CI - High (Children),Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low.10,95% CI - High.10,Average Grade Performance (Math),Average Grade Performance (Asian) (Math),Average Grade Performance (Black) (Math),Average Grade Performance (Hispanic) (Math),Average Grade Performance (White) (Math),Average Grade Performance (Reading),Average Grade Performance (Asian) (Reading),Average Grade Performance (Black) (Reading),Average Grade Performance (Hispanic) (Reading),Average Grade Performance (White) (Reading),Median Household Income,95% CI - Low.11,95% CI - High.11,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low.12,95% CI - High.12,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths.3,Suicide Rate (Age-Adjusted),95% CI - Low.13,95% CI - High.13,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low.14,95% CI - High.14,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low.15,95% CI - High.15,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low.16,95% CI - High.16,% Broadband Access,Numerator,95% CI - Low.17,95% CI - High.17,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low.18,95% CI - High.18,% Female,# Rural,% Rural,Unnamed: 277
0,1,36000,New York,,81.4,81.4,81.5,94.1,91.4,96.8,90.0,89.8,90.3,79.5,79.4,79.7,85.4,85.2,85.6,81.1,81.0,81.1,191195,276,275,278,232.0,212.0,253.0,135.0,132.0,138.0,384.0,380.0,388.0,226.0,223.0,228.0,276.0,274.0,278.0,6334.0,39.0,38.0,39.0,24.0,14.0,39.0,27.0,24.0,30.0,65.0,62.0,68.0,31.0,29.0,33.0,33.0,31.0,34.0,7387.0,5.0,4.0,5.0,,,,3.0,3.0,3.0,7.0,7.0,8.0,3.0,3.0,3.0,4.0,4.0,4.0,11,10,11,11,11,12,10,,,127162.0,765.0,2166060,11,443539,2,11235.0,19.0,19.0,19.0,25.0,18.0,32.0,3.0,3.0,4.0,19.0,18.0,20.0,17.0,16.0,18.0,22.0,21.0,22.0,7788.0,6.0,6.0,6.0,6.0,4.0,8.0,3.0,3.0,3.0,5.0,5.0,6.0,5.0,4.0,5.0,6.0,6.0,7.0,39,38,40,914338,8,7,8,103277,2,2,3,127,787,206896.0,82.0,6.0,6.0,6.0,,,,,,,,,,,72038,71502,72574,41509.0,38928.0,44090.0,76341.0,75384.0,77298.0,48557.0,47999.0,49115.0,49159.0,48511.0,49807.0,78782.0,78359.0,79205.0,54,73.0,61.0,3.0,3.0,3.0,3.0,2.0,5.0,1.0,1.0,1.0,11.0,11.0,12.0,3.0,3.0,4.0,1.0,1.0,1.0,8442.0,8.0,8.0,8.0,9.0,5.0,3.0,8.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,4.0,5.0,10.0,10.0,11.0,4146.0,4.0,4.0,4.0,,,,1.0,0.0,1.0,9.0,9.0,9.0,2.0,2.0,3.0,4.0,4.0,4.0,3285,3747,1345800,5.0,1684,3957802,54,54,54,1392053,20,19,20,83,6083283,83,83,19453561,20.7,16.9,2813773,14.5,189748,1.0,1753199,9.0,27034,0.1,3751058,19.3,10755420,55.3,1276742,7,7.0,7.0,51.4,2349997,12.1,
1,2,36001,New York,Albany,79.9,79.6,80.3,,,,88.8,85.6,92.0,76.1,74.9,77.4,84.8,81.5,88.2,80.4,80.0,80.7,3336,306,295,316,,,,123.0,94.0,160.0,524.0,482.0,567.0,269.0,217.0,322.0,287.0,275.0,299.0,103.0,45.0,37.0,54.0,,,,,,,84.0,59.0,116.0,55.0,28.0,96.0,35.0,26.0,46.0,129.0,6.0,5.0,7.0,,,,,,,15.0,11.0,20.0,,,,4.0,3.0,5.0,10,9,11,12,11,14,10,8.0,11.0,1146.0,429.0,31210,10,14540,5,158.0,17.0,14.0,20.0,,,,,,,20.0,13.0,29.0,21.0,11.0,37.0,18.0,14.0,21.0,109.0,5.0,4.0,6.0,,,,,,,6.0,4.0,10.0,,,,5.0,4.0,6.0,39,37,40,9023,5,4,6,1196,2,1,3,209,479,3009.0,85.0,4.0,2.0,5.0,,,,,,,,,,,69408,64473,74343,48142.0,15966.0,80318.0,82181.0,71592.0,92770.0,31647.0,29843.0,33451.0,41682.0,34495.0,48869.0,74805.0,73281.0,76329.0,41,58.0,44.0,3.0,2.0,4.0,,,,,,,12.0,9.0,17.0,,,,1.0,1.0,2.0,159.0,10.0,8.0,11.0,10.0,,,,,,,,,,,,,,,,85.0,6.0,4.0,7.0,,,,,,,11.0,7.0,17.0,,,,5.0,4.0,7.0,112,112,18800,12.0,802,71341,56,55,57,17691,14,13,15,84,105695,83,84,305506,18.3,17.4,39031,12.8,930,0.3,20885,6.8,202,0.1,19102,6.3,218645,71.6,5366,2,2.0,2.0,51.6,29496,9.7,
2,3,36003,New York,Allegany,77.9,77.1,78.7,,,,,,,,,,,,,,,,637,368,337,398,,,,,,,,,,,,,,,,15.0,40.0,22.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,15,15,13,16,11,10.0,13.0,31.0,78.0,6030,13,1464,3,18.0,13.0,8.0,20.0,,,,,,,,,,,,,,,,26.0,8.0,5.0,12.0,,,,,,,,,,,,,,,,40,38,41,1637,7,6,8,300,3,2,4,82,1213,502.0,89.0,4.0,2.0,6.0,,,,,,,,,,,49411,46267,52555,,,,76250.0,45906.0,106594.0,45208.0,42093.0,48323.0,,,,48538.0,46816.0,50260.0,50,,40.0,,,,,,,,,,,,,,,,,,,36.0,16.0,11.0,22.0,15.0,,,,,,,,,,,,,,,,29.0,12.0,8.0,18.0,,,,,,,,,,,,,,,,20,24,3200,14.0,36,13678,76,75,77,1807,10,9,12,75,13480,74,77,46091,20.1,19.6,595,1.3,147,0.3,577,1.3,19,0.0,784,1.7,43456,94.3,244,1,0.0,1.0,49.2,38540,78.7,
3,4,36005,New York,Bronx,80.9,80.7,81.1,,,,91.7,89.4,94.1,79.0,78.6,79.3,83.4,83.1,83.7,79.1,78.6,79.6,15102,346,340,351,,,,164.0,145.0,182.0,420.0,409.0,431.0,285.0,278.0,292.0,393.0,375.0,412.0,611.0,43.0,39.0,46.0,,,,39.0,24.0,60.0,64.0,56.0,72.0,29.0,25.0,33.0,56.0,41.0,74.0,728.0,5.0,5.0,5.0,,,,5.0,3.0,8.0,7.0,7.0,8.0,3.0,3.0,3.0,5.0,4.0,7.0,16,14,17,15,14,16,13,11.0,14.0,27625.0,2357.0,251180,18,13,0,1165.0,27.0,25.0,29.0,,,,,,,28.0,25.0,31.0,24.0,22.0,26.0,42.0,36.0,49.0,359.0,4.0,3.0,4.0,,,,,,,3.0,2.0,4.0,3.0,3.0,4.0,7.0,6.0,9.0,42,41,43,97537,11,10,12,7673,2,2,3,124,805,14557.0,67.0,9.0,8.0,10.0,,,,,,,,,,,41470,40170,42770,30010.0,22512.0,37508.0,55493.0,51469.0,59517.0,41378.0,40376.0,42380.0,34614.0,33610.0,35618.0,63960.0,61887.0,66033.0,86,46.0,37.0,6.0,6.0,7.0,,,,,,,11.0,10.0,12.0,5.0,4.0,5.0,2.0,1.0,3.0,396.0,5.0,5.0,6.0,5.0,,,,6.0,3.0,9.0,5.0,4.0,6.0,5.0,4.0,5.0,11.0,8.0,14.0,312.0,4.0,4.0,5.0,,,,,,,8.0,7.0,9.0,3.0,2.0,3.0,3.0,2.0,4.0,231,376,112700,5.0,3716,99212,20,19,20,149739,31,30,32,76,381549,75,76,1418207,24.6,13.3,414684,29.2,41319,2.9,64686,4.6,5975,0.4,799580,56.4,127783,9.0,206972,16,15.0,16.0,52.8,39,0.0,
4,5,36007,New York,Broome,78.6,78.2,79.0,,,,95.8,84.7,106.9,75.0,72.6,77.5,89.5,79.3,99.6,78.7,78.2,79.1,2451,357,342,372,,,,133.0,85.0,198.0,540.0,449.0,630.0,354.0,261.0,469.0,353.0,337.0,368.0,77.0,51.0,41.0,64.0,,,,,,,111.0,65.0,177.0,,,,45.0,34.0,59.0,80.0,6.0,5.0,7.0,,,,,,,,,,,,,,,,12,11,14,14,13,16,11,9.0,12.0,394.0,238.0,24620,13,6501,3,155.0,27.0,23.0,31.0,,,,,,,33.0,17.0,57.0,,,,27.0,23.0,32.0,84.0,6.0,5.0,8.0,,,,,,,,,,,,,,,,39,38,41,6860,6,5,7,870,2,2,3,201,499,2157.0,84.0,4.0,2.0,5.0,,,,,,,,,,,52179,48241,56117,,,,43846.0,34938.0,52754.0,25790.0,21580.0,30000.0,33762.0,26371.0,41153.0,54854.0,53229.0,56479.0,52,48.0,44.0,3.0,2.0,4.0,,,,,,,12.0,6.0,22.0,,,,2.0,1.0,3.0,108.0,11.0,9.0,13.0,11.0,,,,,,,,,,,,,,,,49.0,5.0,4.0,7.0,,,,,,,,,,,,,,,,31,137,12400,14.0,576,51189,65,64,66,11269,15,14,16,82,64215,81,83,190488,19.3,19.4,10628,5.6,519,0.3,8424,4.4,129,0.1,8476,4.4,157534,82.7,2466,1,1.0,2.0,50.7,52270,26.1,
5,6,36009,New York,Cattaraugus,77.6,76.9,78.2,72.7,68.1,77.3,,,,,,,,,,77.6,77.0,78.3,1171,390,366,414,719.0,543.0,933.0,,,,,,,,,,383.0,358.0,407.0,29.0,42.0,28.0,61.0,,,,,,,,,,,,,,,,24.0,4.0,3.0,6.0,,,,,,,,,,,,,,,,14,13,16,16,14,17,14,13.0,16.0,85.0,131.0,9920,13,2075,3,42.0,18.0,13.0,25.0,,,,,,,,,,,,,,,,54.0,10.0,7.0,13.0,,,,,,,,,,,,,,,,37,36,39,3365,8,7,9,579,3,2,4,93,1072,1040.0,86.0,6.0,4.0,7.0,,,,,,,,,,,50783,47959,53607,26532.0,20609.0,32455.0,54375.0,21354.0,87396.0,,,,33021.0,27809.0,38233.0,50165.0,48529.0,51801.0,49,56.0,48.0,,,,,,,,,,,,,,,,,,,61.0,16.0,12.0,21.0,16.0,,,,,,,,,,,,,,,,35.0,9.0,6.0,13.0,,,,,,,,,,,,,,,,27,46,6000,12.0,145,22778,72,70,73,3597,12,10,13,72,22782,70,73,76117,21.9,19.7,1008,1.3,2742,3.6,645,0.8,30,0.0,1635,2.1,68830,90.4,512,1,1.0,1.0,50.3,49598,61.8,
6,7,36011,New York,Cayuga,79.8,79.2,80.4,,,,,,,84.7,66.9,102.5,94.4,75.5,113.4,79.8,79.1,80.4,992,326,304,347,,,,,,,457.0,306.0,657.0,,,,326.0,304.0,349.0,25.0,41.0,26.0,60.0,,,,,,,,,,,,,,,,32.0,6.0,4.0,9.0,,,,,,,,,,,,,,,,12,11,14,14,12,15,12,10.0,13.0,154.0,231.0,8300,11,1349,2,47.0,20.0,15.0,27.0,,,,,,,,,,,,,,,,55.0,10.0,8.0,13.0,,,,,,,,,,,,,,,,37,35,38,2448,6,5,6,408,3,2,3,95,1049,758.0,84.0,9.0,5.0,12.0,,,,,,,,,,,58055,53737,62373,28750.0,10469.0,47031.0,92083.0,56398.0,127768.0,37936.0,23426.0,52446.0,37786.0,31892.0,43680.0,59477.0,57199.0,61755.0,46,64.0,43.0,,,,,,,,,,,,,,,,,,,41.0,11.0,7.0,14.0,11.0,,,,,,,,,,,,,,,,12.0,3.0,2.0,5.0,,,,,,,,,,,,,,,,14,32,5200,9.0,202,22251,71,71,71,3549,12,10,13,80,24890,78,81,76576,19.5,19.8,3029,4.0,371,0.5,522,0.7,56,0.1,2401,3.1,68825,89.9,318,0,0.0,1.0,48.7,44640,55.8,
7,8,36013,New York,Chautauqua,78.0,77.5,78.5,,,,,,,73.7,70.3,77.1,76.5,73.8,79.1,78.2,77.7,78.7,1852,376,358,395,,,,,,,567.0,415.0,757.0,443.0,352.0,550.0,370.0,351.0,389.0,52.0,50.0,37.0,65.0,,,,,,,,,,87.0,45.0,151.0,44.0,31.0,60.0,66.0,7.0,5.0,9.0,,,,,,,,,,,,,,,,13,12,15,15,14,17,13,11.0,14.0,233.0,213.0,16820,13,9107,7,98.0,26.0,21.0,31.0,,,,,,,,,,44.0,23.0,75.0,25.0,20.0,31.0,68.0,7.0,6.0,9.0,,,,,,,,,,,,,,,,38,37,40,4659,6,5,7,794,3,2,4,102,984,1520.0,84.0,8.0,6.0,10.0,,,,,,,,,,,50143,47226,53060,,,,,,,21958.0,17418.0,26498.0,22276.0,18032.0,26520.0,48974.0,47433.0,50515.0,52,62.0,44.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,86.0,13.0,10.0,16.0,13.0,,,,,,,,,,,,,,,,52.0,8.0,6.0,11.0,,,,,,,,,,,,,,,,59,35,8900,11.0,197,36755,69,68,70,6951,14,12,15,76,40422,75,77,126903,20.2,20.7,2733,2.2,925,0.7,873,0.7,65,0.1,9864,7.8,110496,87.1,1472,1,1.0,2.0,50.7,59173,43.9,
8,9,36015,New York,Chemung,76.5,75.9,77.1,,,,,,,74.3,71.3,77.2,86.6,75.7,97.4,76.5,75.9,77.1,1346,422,398,446,,,,,,,550.0,438.0,681.0,,,,421.0,396.0,446.0,42.0,58.0,42.0,78.0,,,,,,,,,,,,,,,,43.0,7.0,5.0,9.0,,,,,,,,,,,,,,,,13,11,14,15,13,16,13,11.0,15.0,194.0,271.0,10360,12,5151,6,81.0,32.0,25.0,40.0,,,,,,,,,,,,,,,,44.0,7.0,5.0,10.0,,,,,,,,,,,,,,,,39,37,41,2362,5,4,6,353,2,1,2,147,679,903.0,76.0,12.0,7.0,17.0,,,,,,,,,,,58400,53715,63085,,,,112813.0,71829.0,153797.0,31408.0,27670.0,35146.0,,,,56471.0,53686.0,59256.0,49,55.0,37.0,3.0,2.0,5.0,,,,,,,,,,,,,,,,52.0,12.0,9.0,17.0,12.0,,,,,,,,,,,,,,,,26.0,6.0,4.0,9.0,,,,,,,,,,,,,,,,34,35,6100,11.0,349,23217,68,67,70,3843,12,10,13,80,27335,79,82,83456,21.2,19.5,4965,5.9,311,0.4,1247,1.5,31,0.0,2700,3.2,71819,86.1,350,0,0.0,1.0,50.5,21478,24.2,
9,10,36017,New York,Chenango,77.4,76.6,78.2,,,,,,,,,,,,,,,,711,370,341,400,,,,,,,,,,,,,,,,25.0,63.0,41.0,93.0,,,,,,,,,,,,,,,,23.0,7.0,4.0,10.0,,,,,,,,,,,,,,,,14,12,15,15,14,17,14,12.0,16.0,53.0,130.0,5980,12,815,2,13.0,9.0,5.0,16.0,,,,,,,,,,,,,,,,46.0,14.0,10.0,18.0,,,,,,,,,,,,,,,,41,39,42,1624,6,5,7,248,2,2,3,104,963,583.0,86.0,11.0,6.0,15.0,,,,,,,,,,,51894,47969,55819,60417.0,4020.0,116814.0,40982.0,5603.0,76361.0,70833.0,20512.0,121154.0,67321.0,44833.0,89809.0,52071.0,49500.0,54642.0,50,36.0,18.0,,,,,,,,,,,,,,,,,,,33.0,13.0,9.0,19.0,14.0,,,,,,,,,,,,,,,,22.0,9.0,6.0,14.0,,,,,,,,,,,,,,,,12,8,3400,6.0,86,15414,74,74,75,2224,11,10,13,78,16169,77,80,47207,20.6,20.9,420,0.9,197,0.4,279,0.6,8,0.0,1087,2.3,44611,94.5,228,1,0.0,1.0,49.9,42104,83.4,
