,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,36000,New York,,,191195.0,5406.0,5370.0,5443.0,,4789.0,4227.0,5351.0,,2642.0,2554.0,2731.0,,7772.0,7660.0,7883.0,,4477.0,4405.0,4550.0,,5350.0,5299.0,5400.0,,16,16,17,,3.6,3.4,3.7,,3.6,3.5,3.8,,,8,8.0,8.0,,9.0,8.0,10.0,8.0,8.0,9.0,12.0,12.0,13.0,8.0,8.0,8.0,6.0,6.0,6.0,13,12,14,,26,,,,9.0,,23,,,,93,,19,18,20,,1042,5057,21,20,21,,119571,602.4,,14.0,14.0,14.0,,12.0,11.0,14.0,4.0,4.0,4.0,19.0,19.0,20.0,26.0,26.0,27.0,8.0,8.0,9.0,1007242,6,6,6,,16366,84,1194,,16575.0,85.0,1174,,59204,304,329,,4043,,6021.0,2656.0,5752.0,4907.0,3766.0,42,,33.0,31.0,35.0,33.0,45.0,50,,29.0,52.0,34.0,39.0,53.0,11835343,13631937,87,87,87,,3638743,5298957,69,68,69,,376832,9514386,4.0,,18,18,19,,27.0,17.0,29.0,29.0,12.0,144703,25183,5.7,,1101711,4083011,27,27,27,,15832,8.1,,74842,379,,49646,50,50,51,,46.0,39.0,53.0,19.0,18.0,20.0,49.0,48.0,50.0,36.0,35.0,37.0,60.0,59.0,60.0,6.6,,,,24,23,24,20,19,20,5,5,5,1,1,1,,53,53,53,,45.0,43.0,47.0,31.0,31.0,31.0,38.0,38.0,38.0,35.0,34.0,35.0,63.0,63.0,63.0,9300315,39,38,39,,
1,2,36001,New York,Albany,,3336.0,6039.0,5716.0,6363.0,-0.35,,,,,2228.0,1599.0,3022.0,,10578.0,9442.0,11714.0,,5765.0,4553.0,6978.0,,5553.0,5187.0,5920.0,,13,12,15,-1.37,3.3,3.0,3.6,-1.93,4.1,3.7,4.4,-1.02,,8,8.0,9.0,1.07,,,,8.0,7.0,9.0,12.0,11.0,13.0,9.0,8.0,11.0,7.0,6.0,7.0,17,14,19,-1.04,28,25.0,30.0,-0.76,8.4,-0.24,20,18.0,22.0,-1.34,92,-0.87,22,21,23,0.55,26,95,27,22,33,0.54,1932,624.0,1.21,10.0,9.0,10.0,-0.92,,,,4.0,3.0,6.0,25.0,23.0,28.0,21.0,18.0,25.0,5.0,4.0,6.0,10070,4,4,5,-1.04,299,97,1027,-1.22,283.0,93.0,1080,-1.2,1147,375,266,-1.23,3983,-0.5,,1574.0,7429.0,3986.0,3617.0,46,0.03,,41.0,39.0,28.0,47.0,55,-1.09,,51.0,39.0,50.0,57.0,188812,204918,92,92,93,-0.84,58023,75215,77,75,80,-1.77,5745,157444,3.6,-1.07,16,13,19,-0.42,13.0,7.0,36.0,40.0,8.0,131267,27048,4.9,0.21,17503,56284,31,28,34,1.3,453,14.8,-1.39,1074,348,0.9,745,48,45,52,-1.05,,,,16.0,9.0,25.0,47.0,38.0,57.0,34.0,23.0,48.0,53.0,48.0,57.0,6.6,-0.16,No,-0.93,15,15,16,14,14,15,1,1,1,1,1,1,-0.18,75,74,76,0.05,,,,61.0,57.0,65.0,58.0,55.0,62.0,58.0,53.0,63.0,84.0,83.0,85.0,157933,21,20,22,-1.2,
2,3,36003,New York,Allegany,,637.0,7433.0,6498.0,8369.0,0.94,,,,,,,,,,,,,,,,,,,,,18,15,20,0.27,4.4,4.0,4.9,1.0,4.7,4.2,5.1,0.8,,7,6.0,7.0,-0.82,,,,,,,,,,,,,,,,22,19,26,0.65,37,33.0,40.0,1.02,8.0,0.61,28,25.0,31.0,0.83,62,1.12,20,19,21,-0.5,5,16,31,18,45,0.95,158,336.9,-0.2,14.0,12.0,16.0,-0.28,,,,,,,,,,,,,,,,1916,6,5,7,0.34,21,45,2211,0.51,16.0,35.0,2881,0.78,109,236,423,-0.09,5154,1.2,,,,,,49,-0.56,,,,,,49,0.57,,,,,,27268,30038,91,90,92,-0.46,5820,9318,62,59,66,0.07,1061,19441,5.5,1.73,27,20,33,1.5,,,,41.0,27.0,89353,21445,4.2,-0.6,2127,9386,23,19,27,-0.07,72,15.5,-1.63,92,195,-0.21,137,59,49,68,-0.17,,,,,,,,,,,,,,,,6.6,-0.16,Yes,1.06,14,12,16,11,9,12,2,1,3,3,2,3,-0.44,76,74,78,0.08,,,,,,,,,,24.0,8.0,41.0,76.0,74.0,78.0,19545,30,28,32,-0.42,
3,4,36005,New York,Bronx,,15102.0,6711.0,6567.0,6854.0,0.27,,,,,3518.0,2921.0,4116.0,,8488.0,8185.0,8790.0,,5477.0,5306.0,5647.0,,7881.0,7312.0,8450.0,,29,26,32,5.09,4.8,4.4,5.1,1.89,4.5,4.2,4.7,0.14,,10,9.0,10.0,2.77,13.0,7.0,20.0,11.0,10.0,11.0,12.0,11.0,12.0,9.0,8.0,9.0,8.0,7.0,8.0,18,16,20,-0.58,29,26.0,31.0,-0.62,7.4,1.88,30,28.0,32.0,1.39,100,-1.4,16,16,17,-2.6,25,192,13,10,17,-0.95,17689,1202.4,4.05,24.0,23.0,24.0,1.28,,,,6.0,5.0,8.0,19.0,18.0,20.0,29.0,28.0,29.0,11.0,9.0,12.0,104490,9,8,9,3.03,872,61,1642,-0.01,775.0,55.0,1830,0.09,3052,215,465,0.09,5474,1.66,1806.0,3509.0,6020.0,6490.0,4119.0,32,2.77,,25.0,33.0,28.0,37.0,40,3.06,37.0,48.0,35.0,34.0,49.0,676297,929546,73,72,73,4.61,212819,409835,52,51,53,1.4,32035,597677,5.4,1.58,37,33,40,3.23,47.0,32.0,38.0,42.0,19.0,89461,13233,6.8,2.47,177411,353456,50,49,51,4.4,387,2.7,2.49,8486,586,2.64,3558,49,48,51,-0.97,,,,15.0,11.0,21.0,52.0,49.0,56.0,43.0,41.0,45.0,83.0,76.0,89.0,8.2,1.53,No,-0.93,39,38,39,30,30,31,12,12,13,1,1,1,4.02,23,23,24,-3.25,28.0,16.0,40.0,43.0,40.0,45.0,35.0,33.0,36.0,29.0,28.0,30.0,58.0,57.0,60.0,582554,54,52,56,1.66,
4,5,36007,New York,Broome,,2451.0,7179.0,6723.0,7635.0,0.7,,,,,,,,,11233.0,9010.0,13455.0,,6823.0,4875.0,9291.0,,7012.0,6524.0,7501.0,,17,15,19,0.04,4.1,3.7,4.5,0.15,4.7,4.3,5.1,0.87,,8,7.0,8.0,0.31,,,,8.0,6.0,11.0,14.0,12.0,16.0,7.0,5.0,9.0,7.0,6.0,7.0,22,19,25,0.57,30,27.0,33.0,-0.3,8.0,0.61,23,21.0,25.0,-0.54,89,-0.7,22,21,23,0.67,22,65,34,27,40,1.22,623,321.7,-0.28,15.0,14.0,16.0,-0.11,,,,,,,23.0,19.0,28.0,23.0,19.0,29.0,15.0,13.0,16.0,7633,5,4,6,-0.11,158,82,1213,-0.72,135.0,71.0,1411,-0.46,431,226,442,0.0,3987,-0.49,,1829.0,5545.0,249.0,3944.0,46,0.03,,30.0,37.0,45.0,47.0,53,-0.54,,47.0,36.0,40.0,53.0,116137,128064,91,90,91,-0.44,27562,41311,67,64,70,-0.46,3956,83444,4.7,0.62,25,20,30,1.17,,28.0,44.0,35.0,19.0,102543,20429,5.0,0.41,9954,37325,27,24,30,0.58,220,11.5,-0.34,616,315,0.66,690,71,66,77,0.93,,,,,,,70.0,51.0,95.0,66.0,43.0,96.0,74.0,68.0,80.0,7.4,0.69,No,-0.93,16,15,17,14,13,15,1,1,2,1,1,1,-0.12,81,79,82,0.38,,,,59.0,51.0,66.0,60.0,55.0,65.0,65.0,58.0,73.0,84.0,83.0,85.0,84232,15,14,16,-1.75,
5,6,36009,New York,Cattaraugus,,1171.0,7627.0,6908.0,8345.0,1.12,13960.0,9485.0,19815.0,,,,,,,,,,,,,,7556.0,6796.0,8316.0,,20,17,22,1.13,4.7,4.2,5.1,1.62,4.8,4.5,5.2,1.35,,8,7.0,9.0,0.65,6.0,4.0,9.0,,,,11.0,5.0,18.0,8.0,4.0,13.0,8.0,7.0,9.0,24,21,27,1.09,39,36.0,42.0,1.48,8.1,0.4,29,26.0,31.0,1.02,63,1.07,21,20,22,-0.01,11,42,26,18,35,0.42,216,279.3,-0.49,22.0,20.0,24.0,0.99,50.0,34.0,69.0,,,,38.0,24.0,58.0,25.0,14.0,41.0,20.0,18.0,23.0,3903,6,6,7,1.04,33,43,2328,0.59,37.0,49.0,2057,0.3,108,142,705,0.69,4970,0.93,5005.0,,18568.0,,4788.0,45,0.23,33.0,,45.0,55.0,45.0,47,1.12,12.0,,44.0,39.0,48.0,46955,52849,89,88,90,0.08,9267,16677,56,52,59,0.94,1712,33884,5.1,1.1,22,16,27,0.56,47.0,12.0,55.0,34.0,20.0,92200,20309,4.5,-0.16,4340,17064,25,22,29,0.38,114,14.8,-1.41,153,197,-0.2,269,70,61,78,0.8,157.0,97.0,241.0,,,,,,,,,,69.0,61.0,78.0,7.2,0.47,No,-0.93,14,13,15,11,10,12,2,2,3,2,2,2,-0.4,83,82,84,0.51,84.0,76.0,92.0,,,,,,,57.0,46.0,68.0,83.0,82.0,85.0,32891,27,25,29,-0.72,
6,7,36011,New York,Cayuga,,992.0,6392.0,5727.0,7058.0,-0.03,,,,,,,,,,,,,,,,,,,,,17,15,20,0.21,4.2,3.7,4.6,0.33,4.6,4.2,5.0,0.5,,7,6.0,7.0,-0.78,,,,,,,11.0,7.0,15.0,8.0,4.0,11.0,6.0,6.0,7.0,23,19,26,0.75,34,31.0,37.0,0.45,8.6,-0.66,25,23.0,28.0,0.11,80,-0.04,23,22,23,0.82,14,42,33,25,41,1.17,259,333.7,-0.22,18.0,16.0,20.0,0.33,,,,,,,45.0,32.0,62.0,37.0,23.0,55.0,16.0,14.0,18.0,2817,5,4,5,-0.5,20,26,3857,1.15,36.0,47.0,2127,0.36,148,193,517,0.27,5700,1.99,,2647.0,780.0,6394.0,5660.0,55,-1.73,,,31.0,62.0,55.0,56,-1.36,,41.0,40.0,48.0,57.0,48664,55436,88,87,89,0.38,10710,18519,58,54,61,0.66,1541,35952,4.3,-0.08,21,15,26,0.38,,,14.0,26.0,16.0,107940,26205,4.1,-0.66,3759,15245,25,21,28,0.26,81,10.5,-0.02,190,241,0.12,232,60,52,68,-0.05,,,,,,,65.0,34.0,114.0,,,,61.0,53.0,70.0,6.5,-0.26,Yes,1.06,13,11,14,11,10,13,1,1,2,1,1,2,-0.66,83,81,84,0.52,,,,,,,,,,53.0,35.0,70.0,81.0,80.0,83.0,35549,34,31,36,-0.11,
7,8,36013,New York,Chautauqua,,1852.0,7432.0,6869.0,7995.0,0.94,,,,,,,,,11360.0,7819.0,15953.0,,8988.0,6980.0,11394.0,,7222.0,6630.0,7815.0,,18,16,21,0.44,4.2,3.8,4.6,0.46,4.7,4.3,5.1,0.88,,8,7.0,8.0,0.47,,,,,,,10.0,6.0,15.0,9.0,7.0,11.0,7.0,7.0,8.0,24,20,27,1.05,34,32.0,36.0,0.49,7.7,1.24,27,25.0,29.0,0.62,80,-0.06,22,21,23,0.6,10,55,18,12,26,-0.41,606,469.6,0.45,24.0,22.0,26.0,1.3,,,,,,,20.0,13.0,29.0,50.0,43.0,58.0,21.0,20.0,23.0,5387,6,5,6,0.17,71,55,1802,0.17,74.0,58.0,1715,-0.03,223,176,569,0.41,3788,-0.78,,,7204.0,6330.0,3679.0,47,-0.16,18.0,,40.0,47.0,48.0,53,-0.54,10.0,67.0,37.0,48.0,54.0,79498,89517,89,88,90,0.09,16583,28554,58,55,61,0.62,2574,54550,4.7,0.59,24,18,31,1.08,,,55.0,52.0,23.0,93445,18956,4.9,0.3,7041,26107,27,24,30,0.63,222,17.4,-2.22,356,271,0.34,476,74,67,81,1.16,,,,,,,60.0,30.0,108.0,78.0,55.0,107.0,74.0,67.0,81.0,5.8,-1.0,Yes,1.06,16,15,17,14,12,15,1,1,2,2,1,2,-0.15,81,80,82,0.42,,,,,,,54.0,45.0,63.0,61.0,55.0,67.0,83.0,82.0,84.0,54703,19,18,21,-1.36,
8,9,36015,New York,Chemung,,1346.0,8545.0,7812.0,9279.0,1.97,,,,,,,,,12120.0,9052.0,15894.0,,,,,,8412.0,7635.0,9189.0,,18,15,20,0.3,4.3,3.9,4.7,0.6,4.6,4.2,5.0,0.55,,7,7.0,8.0,0.09,,,,,,,10.0,7.0,12.0,13.0,8.0,17.0,7.0,6.0,8.0,24,20,27,1.02,35,32.0,39.0,0.71,7.9,0.82,30,27.0,33.0,1.31,83,-0.23,20,19,21,-0.58,4,32,13,5,23,-1.01,319,372.9,-0.03,27.0,25.0,30.0,1.79,,,,,,,38.0,29.0,49.0,39.0,26.0,57.0,26.0,24.0,29.0,2679,4,3,5,-1.08,64,76,1316,-0.51,51.0,61.0,1636,-0.13,243,291,343,-0.54,5813,2.15,,5256.0,4918.0,8347.0,5756.0,53,-1.34,,53.0,46.0,37.0,53.0,52,-0.26,,55.0,44.0,55.0,53.0,53817,59604,90,89,91,-0.32,12430,20474,61,57,64,0.29,1476,35019,4.2,-0.19,20,14,27,0.35,,,37.0,25.0,17.0,103585,23169,4.5,-0.24,4395,18278,24,20,28,0.16,99,11.8,-0.42,169,193,-0.23,363,85,76,94,2.12,,,,,,,99.0,68.0,141.0,,,,86.0,76.0,95.0,6.9,0.16,Yes,1.06,14,13,15,13,12,14,1,0,1,1,1,1,-0.43,82,81,84,0.49,,,,,,,71.0,58.0,84.0,62.0,46.0,79.0,85.0,83.0,86.0,36723,19,17,21,-1.4,
9,10,36017,New York,Chenango,,711.0,7735.0,6752.0,8719.0,1.22,,,,,,,,,,,,,,,,,,,,,18,15,20,0.31,4.3,3.9,4.8,0.71,4.8,4.3,5.2,1.05,,7,6.0,8.0,-0.5,,,,,,,,,,,,,,,,23,20,26,0.82,39,36.0,42.0,1.56,8.2,0.18,24,22.0,27.0,-0.13,74,0.33,20,19,21,-0.66,4,25,16,7,28,-0.64,99,206.8,-0.84,22.0,19.0,25.0,1.02,,,,,,,,,,,,,,,,1848,5,4,6,-0.36,17,36,2796,0.82,17.0,36.0,2777,0.73,94,199,502,0.22,4142,-0.27,,,,2151.0,4104.0,44,0.42,,,64.0,20.0,45.0,50,0.29,,,28.0,47.0,50.0,30256,34344,88,87,89,0.29,5883,10457,56,52,60,0.85,982,22080,4.4,0.17,20,14,26,0.31,,,,25.0,16.0,96150,21450,4.5,-0.23,2109,9876,21,17,26,-0.28,51,10.7,-0.09,90,183,-0.3,135,56,47,66,-0.37,,,,,,,,,,,,,,,,6.6,-0.16,No,-0.93,14,12,15,11,10,13,2,2,3,1,0,1,-0.47,79,77,81,0.26,,,,,,,,,,,,,,,,21140,34,31,37,-0.08,
