,Unnamed: 0,FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low.1,95% CI - High.1,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths.1,Child Mortality Rate,95% CI - Low.2,95% CI - High.2,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths.2,Infant Mortality Rate,95% CI - Low.3,95% CI - High.3,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low.4,95% CI - High.4,% Frequent Mental Distress,95% CI - Low.5,95% CI - High.5,% Adults with Diabetes,95% CI - Low.6,95% CI - High.6,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low.7,95% CI - High.7,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low.8,95% CI - High.8,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low.9,95% CI - High.9,# Uninsured (Adults),% Uninsured (Adults),95% CI - Low (Adults),95% CI - High (Adults),# Uninsured (Children),% Uninsured (Children),95% CI - Low (Children),95% CI - High (Children),Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low.10,95% CI - High.10,Average Grade Performance (Math),Average Grade Performance (Asian) (Math),Average Grade Performance (Black) (Math),Average Grade Performance (Hispanic) (Math),Average Grade Performance (White) (Math),Average Grade Performance (Reading),Average Grade Performance (Asian) (Reading),Average Grade Performance (Black) (Reading),Average Grade Performance (Hispanic) (Reading),Average Grade Performance (White) (Reading),Median Household Income,95% CI - Low.11,95% CI - High.11,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low.12,95% CI - High.12,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths.3,Suicide Rate (Age-Adjusted),95% CI - Low.13,95% CI - High.13,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low.14,95% CI - High.14,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low.15,95% CI - High.15,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low.16,95% CI - High.16,% Broadband Access,Numerator,95% CI - Low.17,95% CI - High.17,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low.18,95% CI - High.18,% Female,# Rural,% Rural,Unnamed: 277
0,1,37000,North Carolina,,78.1,78.1,78.2,75.5,74.9,76.2,89.2,88.3,90.1,75.6,75.4,75.7,89.9,89.1,90.8,78.4,78.3,78.4,135922,370,368,372,491.0,469.0,513.0,143.0,135.0,151.0,479.0,474.0,484.0,172.0,166.0,179.0,358.0,356.0,361.0,5177.0,56.0,55.0,58.0,86.0,69.0,102.0,39.0,32.0,46.0,94.0,90.0,97.0,43.0,40.0,47.0,43.0,42.0,45.0,5895.0,7.0,7.0,7.0,10.0,8.0,12.0,5.0,4.0,6.0,12.0,12.0,12.0,5.0,4.0,5.0,5.0,5.0,6.0,11,10,13,13,11,14,12,,,31864.0,364.0,1456200,14,642652.0,7.0,6939.0,22.0,22.0,23.0,31.0,25.0,37.0,4.0,3.0,5.0,14.0,13.0,15.0,6.0,5.0,7.0,28.0,27.0,29.0,10164.0,14.0,14.0,15.0,28.0,24.0,32.0,5.0,4.0,6.0,16.0,16.0,17.0,11.0,10.0,12.0,14.0,14.0,15.0,36,34,38,962363,16,15,16,127645,5,5,6,133.0,750,120161.0,86.0,7.0,7.0,7.0,3.1,3.6,2.7,2.8,3.5,3.1,3.8,2.6,2.8,3.4,57388,56668,58108,40272.0,38658.0,41886.0,84513.0,82532.0,86494.0,39108.0,38712.0,39504.0,42397.0,41663.0,43131.0,62036.0,61690.0,62382.0,56,50.0,45.0,6.0,6.0,6.0,16.0,14.0,19.0,2.0,1.0,3.0,17.0,16.0,18.0,4.0,3.0,4.0,3.0,3.0,3.0,7142.0,13.0,13.0,14.0,14.0,11.0,9.0,14.0,7.0,5.0,8.0,6.0,5.0,6.0,5.0,5.0,6.0,17.0,17.0,18.0,6941.0,14.0,13.0,14.0,21.0,17.0,24.0,3.0,3.0,4.0,19.0,18.0,20.0,5.0,5.0,6.0,13.0,13.0,14.0,5489,7244,795500,16.0,228,2585934,65,65,66,488365,13,13,13,81,3202115,80,81,10488084,21.9,16.7,2240609,21.4,165597,1.6,334299,3.2,13130,0.1,1025830,9.8,6567102,62.6,230976,2,2.0,2.0,51.4,3233727,33.9,
1,2,37001,North Carolina,Alamance,77.3,76.9,77.8,,,,89.1,81.1,97.2,74.5,73.5,75.6,86.7,83.3,90.0,77.3,76.7,77.8,2376,406,389,423,,,,,,,535.0,492.0,578.0,154.0,114.0,203.0,404.0,383.0,424.0,66.0,45.0,35.0,57.0,,,,,,,67.0,42.0,101.0,38.0,20.0,65.0,39.0,26.0,56.0,98.0,8.0,6.0,9.0,,,,,,,14.0,10.0,19.0,,,,7.0,5.0,9.0,13,12,15,15,14,16,11,7.0,15.0,428.0,305.0,22470,14,15144.0,10.0,120.0,24.0,20.0,28.0,,,,,,,20.0,13.0,31.0,,,,29.0,24.0,36.0,156.0,14.0,12.0,16.0,,,,,,,20.0,15.0,27.0,,,,14.0,11.0,16.0,38,37,40,16236,17,15,19,2281,6,4,8,82.0,1219,2051.0,82.0,10.0,7.0,13.0,3.0,3.4,2.7,2.7,3.3,2.8,3.4,2.4,2.7,3.1,57963,54200,61726,41677.0,31822.0,51532.0,62885.0,26080.0,99690.0,34936.0,31194.0,38678.0,40242.0,36181.0,44303.0,58001.0,55313.0,60689.0,56,41.0,38.0,5.0,4.0,7.0,,,,,,,15.0,10.0,21.0,,,,3.0,2.0,5.0,111.0,14.0,11.0,16.0,14.0,,,,,,,8.0,4.0,14.0,,,,16.0,13.0,20.0,103.0,13.0,10.0,15.0,,,,,,,18.0,12.0,26.0,,,,12.0,9.0,16.0,103,187,12800,23.0,247,41994,65,64,66,8130,13,12,14,78,50022,76,79,169509,22.0,17.1,34090,20.1,2466,1.5,2958,1.7,144,0.1,22130,13.1,106676,62.9,4825,3,3.0,4.0,52.5,43160,28.6,
2,3,37003,North Carolina,Alexander,77.1,76.2,78.1,,,,,,,73.8,69.4,78.1,92.7,73.4,112.0,77.2,76.2,78.3,598,409,374,444,,,,,,,537.0,380.0,738.0,,,,409.0,372.0,446.0,22.0,73.0,46.0,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,16,16,14,18,17,10.0,30.0,42.0,131.0,5200,14,1099.0,3.0,12.0,11.0,6.0,19.0,,,,,,,,,,,,,,,,50.0,19.0,14.0,25.0,,,,,,,,,,,,,,,,36,35,38,3221,15,13,17,469,6,4,8,48.0,2083,403.0,85.0,11.0,4.0,17.0,3.1,,2.8,2.5,3.3,3.1,,2.8,2.7,3.2,54960,48216,61704,,,,68170.0,29858.0,106482.0,33279.0,27790.0,38768.0,44496.0,17098.0,71894.0,49780.0,45206.0,54354.0,45,62.0,43.0,6.0,4.0,10.0,,,,,,,,,,,,,,,,37.0,19.0,13.0,26.0,20.0,,,,,,,,,,,,,,,,39.0,21.0,15.0,29.0,,,,,,,,,,,,,,,,45,50,2800,34.0,13,10728,76,72,79,1245,9,7,11,74,10478,71,77,37497,19.9,20.4,2138,5.7,199,0.5,385,1.0,20,0.1,1788,4.8,32492,86.7,429,1,1.0,2.0,49.0,27072,72.8,
3,4,37005,North Carolina,Alleghany,77.8,75.8,79.8,,,,,,,,,,,,,,,,194,395,330,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,17,17,15,19,13,7.0,23.0,,,1970,18,199.0,2.0,,,,,,,,,,,,,,,,,,,,16.0,21.0,12.0,34.0,,,,,,,,,,,,,,,,36,35,38,1271,21,18,24,169,9,6,11,54.0,1856,100.0,93.0,,,,3.0,,,,,3.3,,,,,41420,35787,47053,,,,,,,39327.0,34492.0,44162.0,23974.0,13674.0,34274.0,39420.0,34270.0,44570.0,61,34.0,25.0,,,,,,,,,,,,,,,,,,,16.0,29.0,15.0,50.0,29.0,,,,,,,,,,,,,,,,10.0,18.0,9.0,33.0,,,,,,,,,,,,,,,,1-4,12,700,,0,3752,76,74,79,667,14,10,19,76,3760,73,80,11137,17.0,28.0,162,1.5,59,0.5,89,0.8,5,0.0,1097,9.9,9659,86.7,187,2,0.0,4.0,50.4,11155,100.0,
4,5,37007,North Carolina,Anson,74.3,73.1,75.5,,,,,,,74.0,72.1,75.9,,,,74.8,73.1,76.6,514,558,507,608,,,,,,,629.0,550.0,707.0,,,,511.0,440.0,583.0,15.0,76.0,43.0,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,14,16,16,15,17,13,7.0,23.0,76.0,354.0,4190,17,979.0,4.0,13.0,17.0,9.0,30.0,,,,,,,,,,,,,,,,41.0,23.0,17.0,31.0,,,,,,,21.0,12.0,33.0,,,,26.0,16.0,40.0,42,41,43,2221,17,14,19,234,5,3,6,33.0,3056,281.0,84.0,,,,2.8,,2.5,,3.2,2.6,,2.3,,3.0,40826,35119,46533,,,,49000.0,40722.0,57278.0,28769.0,24107.0,33431.0,34888.0,16612.0,53164.0,53400.0,47116.0,59684.0,99,31.0,30.0,20.0,14.0,28.0,,,,,,,,,,,,,,,,18.0,14.0,8.0,22.0,14.0,,,,,,,,,,,,,,,,33.0,26.0,18.0,37.0,,,,,,,34.0,21.0,52.0,,,,21.0,11.0,37.0,26,17,1700,25.0,90,6297,66,63,70,1421,16,12,20,75,7105,71,78,24446,19.8,19.3,11756,48.1,227,0.9,360,1.5,16,0.1,1006,4.1,10840,44.3,268,1,0.0,2.0,48.7,21157,78.5,
5,6,37009,North Carolina,Ashe,79.2,78.1,80.2,,,,,,,,,,,,,,,,431,343,307,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,15,15,14,17,14,9.0,20.0,15.0,63.0,3850,14,625.0,2.0,12.0,15.0,8.0,26.0,,,,,,,,,,,,,,,,23.0,12.0,8.0,18.0,,,,,,,,,,,,,,,,35,33,37,2780,18,16,21,320,6,4,8,88.0,1133,220.0,87.0,,,,3.2,,,2.7,3.3,3.2,,,2.9,3.2,41542,37199,45885,,,,,,,83036.0,4986.0,161086.0,29306.0,19348.0,39264.0,41400.0,38179.0,44621.0,57,41.0,43.0,,,,,,,,,,,,,,,,,,,28.0,20.0,13.0,30.0,21.0,,,,,,,,,,,,,,,,22.0,16.0,10.0,25.0,,,,,,,,,,,,,,,,16,16,1700,19.0,0,9056,76,74,78,960,9,7,11,70,8400,67,74,27203,17.4,26.6,204,0.7,114,0.4,138,0.5,15,0.1,1390,5.1,25105,92.3,159,1,0.0,1.0,51.0,23152,84.9,
6,7,37011,North Carolina,Avery,77.4,76.2,78.7,,,,,,,,,,,,,,,,290,397,349,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12,15,15,14,17,12,6.0,20.0,28.0,179.0,2540,15,32.0,0.0,,,,,,,,,,,,,,,,,,,,15.0,12.0,7.0,20.0,,,,,,,,,,,,,,,,36,34,37,1852,21,18,24,208,8,5,10,40.0,2508,172.0,90.0,,,,3.0,,,,,2.8,,,,,45823,41609,50037,42794.0,24418.0,61170.0,,,,,,,19432.0,4250.0,34614.0,41042.0,37359.0,44725.0,56,,50.0,,,,,,,,,,,,,,,,,,,16.0,17.0,10.0,28.0,18.0,,,,,,,,,,,,,,,,12.0,14.0,7.0,24.0,,,,,,,,,,,,,,,,17,23,900,44.0,17,4930,75,68,83,765,12,9,16,71,4646,67,75,17557,14.7,22.9,788,4.5,103,0.6,107,0.6,14,0.1,887,5.1,15543,88.5,172,1,0.0,2.0,45.8,15801,88.8,
7,8,37013,North Carolina,Beaufort,76.1,75.2,77.0,,,,,,,73.8,71.9,75.8,93.6,70.6,116.6,76.5,75.4,77.6,885,455,422,489,,,,,,,590.0,513.0,666.0,,,,438.0,397.0,479.0,21.0,55.0,34.0,84.0,,,,,,,,,,,,,,,,35.0,11.0,7.0,15.0,,,,,,,,,,,,,,,,14,13,15,16,15,17,10,7.0,15.0,99.0,244.0,7640,16,1842.0,4.0,47.0,33.0,24.0,44.0,,,,,,,,,,,,,,,,59.0,18.0,14.0,23.0,,,,,,,20.0,12.0,33.0,,,,17.0,12.0,24.0,39,38,40,4106,16,14,18,571,6,4,8,68.0,1469,585.0,83.0,,,,3.2,,2.9,2.9,3.5,3.2,,2.8,3.2,3.5,49410,44884,53936,,,,,,,27185.0,23885.0,30485.0,27919.0,22006.0,33832.0,55746.0,50742.0,60750.0,92,28.0,28.0,6.0,3.0,9.0,,,,,,,,,,,,,,,,50.0,20.0,15.0,27.0,21.0,,,,,,,,,,,,,,,,46.0,19.0,14.0,26.0,,,,,,,20.0,11.0,36.0,,,,21.0,14.0,30.0,33,63,3400,28.0,81,13765,70,67,73,2758,15,12,17,69,13653,67,72,46994,19.8,24.6,11294,24.0,490,1.0,249,0.5,35,0.1,3769,8.0,30986,65.9,693,2,1.0,2.0,52.5,31330,65.6,
8,9,37015,North Carolina,Bertie,76.8,75.3,78.2,,,,,,,76.1,74.2,78.0,,,,78.1,76.2,80.1,355,467,414,520,,,,,,,506.0,434.0,578.0,,,,416.0,334.0,498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,17,16,15,18,22,16.0,30.0,85.0,510.0,3620,18,538.0,3.0,,,,,,,,,,,,,,,,,,,,42.0,31.0,22.0,41.0,,,,,,,34.0,23.0,49.0,,,,27.0,14.0,46.0,43,42,44,1537,15,13,17,160,5,3,6,79.0,1263,201.0,84.0,,,,2.6,,2.5,,3.1,2.6,,2.5,,3.0,37899,33037,42761,,,,97986.0,31202.0,164770.0,27618.0,21963.0,33273.0,31667.0,4310.0,59024.0,53368.0,45835.0,60901.0,98,20.0,20.0,11.0,6.0,18.0,,,,,,,,,,,,,,,,13.0,14.0,7.0,25.0,13.0,,,,,,,,,,,,,,,,13.0,13.0,7.0,23.0,,,,,,,,,,,,,,,,1-4,15,1200,,12,5887,74,71,78,1303,18,14,22,58,4602,54,62,18947,17.4,23.6,11493,60.7,137,0.7,145,0.8,19,0.1,446,2.4,6568,34.7,43,0,0.0,1.0,49.3,17716,83.2,
9,10,37017,North Carolina,Bladen,75.7,74.6,76.7,,,,,,,73.0,71.0,74.9,,,,76.2,74.8,77.7,661,486,446,527,,,,,,,617.0,536.0,698.0,,,,454.0,401.0,506.0,19.0,69.0,41.0,107.0,,,,,,,,,,,,,,,,21.0,9.0,5.0,14.0,,,,,,,,,,,,,,,,16,15,17,17,16,18,22,14.0,33.0,79.0,278.0,6470,19,1032.0,3.0,24.0,24.0,15.0,36.0,,,,,,,,,,,,,,,,87.0,37.0,29.0,45.0,,,,,,,43.0,30.0,60.0,55.0,26.0,100.0,31.0,22.0,42.0,39,38,40,4108,22,19,24,478,7,5,9,76.0,1309,408.0,88.0,12.0,4.0,20.0,2.9,,2.6,2.6,3.2,2.8,,2.6,2.9,3.1,42260,37330,47190,53438.0,35549.0,71327.0,,,,24195.0,21116.0,27274.0,30670.0,19750.0,41590.0,45699.0,41169.0,50229.0,92,30.0,27.0,12.0,8.0,18.0,,,,,,,,,,,,,,,,18.0,10.0,6.0,17.0,11.0,,,,,,,,,,,,,,,,34.0,20.0,14.0,28.0,,,,,,,24.0,13.0,41.0,,,,15.0,8.0,25.0,1-4,12,2400,,5,9732,71,68,75,1966,16,13,19,70,9577,66,74,32722,20.3,22.8,10891,33.3,1015,3.1,109,0.3,13,0.0,2538,7.8,17979,54.9,498,2,1.0,3.0,52.5,32105,91.2,
