,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,37000,North Carolina,,,135922,7644,7583,7706,,11634.0,10920.0,12349.0,,3064.0,2837.0,3290.0,,10209.0,10059.0,10360.0,,3913.0,3774.0,4051.0,,7340.0,7263.0,7417.0,,18,17,19,,3.6,3.3,3.9,,4.1,3.7,4.4,,,9,9.0,9.0,,12.0,11.0,12.0,9.0,8.0,9.0,14.0,14.0,14.0,7.0,7.0,7.0,7.0,7.0,8.0,18,16,19,,32,,,,6.8,,23,,,,74,,18,16,19,,1947.0,7051.0,28.0,27.0,28.0,,66553,647.8,,22,22,23,,41.0,39.0,43.0,8.0,7.0,9.0,29.0,29.0,30.0,40.0,39.0,41.0,16.0,16.0,16.0,1076670,13,12,13,,7391.0,71.0,1405,,6106.0,58.0,1718,,26976.0,257.0,389,,4539,,8916.0,2529.0,6525.0,3928.0,4111.0,46,,26.0,34.0,44.0,35.0,47.0,52,,39.0,50.0,41.0,40.0,55.0,6130463,6983859,88,88,88,,1794522,2660610,67,67,68,,196565,5080443,3.9,,19,19,20,,34.0,12.0,33.0,35.0,12.0,109397,23255,4.7,,633741,2290088,28,27,28,,11893,11.5,,35268.0,351.0,,39702,77,77,78,,105.0,97.0,113.0,22.0,19.0,24.0,68.0,67.0,70.0,32.0,30.0,33.0,89.0,88.0,90.0,8.5,,,,15,15,15,13,13,13,2,2,2,1,1,1,,81,81,81,,83.0,82.0,83.0,74.0,73.0,75.0,80.0,80.0,81.0,71.0,70.0,71.0,83.0,83.0,83.0,4758740,34,33,34,,
1,2,37001,North Carolina,Alamance,,2376,8101,7608,8594,-0.43,,,,,,,,,10466.0,9249.0,11683.0,,3435.0,2609.0,4441.0,,8326.0,7672.0,8979.0,,21,19,23,-0.11,4.1,3.8,4.5,-0.39,4.7,4.3,5.0,-0.33,,9,9.0,10.0,0.09,,,,12.0,8.0,16.0,13.0,12.0,15.0,8.0,7.0,9.0,9.0,8.0,9.0,21,18,24,-0.37,38,31.0,43.0,0.5,7.2,0.2,23,18.0,29.0,-0.72,80,-0.75,18,17,19,0.26,33.0,94.0,35.0,30.0,40.0,1.08,934,575.2,0.16,21,19,22,-0.72,,,,,,,31.0,27.0,35.0,41.0,36.0,46.0,13.0,12.0,15.0,18278,14,12,15,-0.08,73.0,44.0,2280,0.31,88.0,52.0,1926,-0.28,249.0,147.0,681,0.26,4870,0.15,,,6200.0,2501.0,4574.0,44,0.15,,26.0,42.0,33.0,45.0,53,-0.49,,46.0,40.0,31.0,56.0,94826,109872,86,85,87,-0.26,24132,39176,62,58,65,-0.29,3138,82597,3.8,-0.55,22,17,26,-0.23,,8.0,42.0,38.0,13.0,100210,21471,4.7,0.03,10527,36490,29,26,32,-0.06,160,9.6,0.79,602.0,382.0,0.75,710,87,81,93,-0.21,,,,,,,78.0,64.0,91.0,29.0,19.0,41.0,103.0,94.0,112.0,9.2,0.78,No,-0.64,16,15,17,14,12,15,2,2,3,1,0,1,0.32,86,85,87,1.04,,,,78.0,65.0,90.0,84.0,81.0,88.0,75.0,71.0,80.0,86.0,85.0,88.0,76425,33,31,34,-0.3,
2,3,37003,North Carolina,Alexander,,598,8717,7552,9882,-0.1,,,,,,,,,,,,,,,,,,,,,21,19,24,-0.07,4.5,4.1,4.9,0.4,5.0,4.6,5.5,0.63,,8,7.0,9.0,-0.69,,,,,,,16.0,9.0,23.0,,,,8.0,7.0,9.0,24,21,27,0.72,39,27.0,50.0,0.68,7.8,-0.69,28,18.0,40.0,0.27,20,2.01,20,19,21,1.43,5.0,21.0,24.0,12.0,36.0,-0.21,75,201.1,-1.3,27,23,30,-0.1,,,,,,,,,,27.0,15.0,45.0,26.0,22.0,30.0,3651,13,11,15,-0.52,9.0,24.0,4150,0.95,9.0,24.0,4166,0.73,20.0,53.0,1875,0.97,4451,-0.14,,,10582.0,11111.0,4122.0,48,-0.64,,,40.0,,49.0,46,0.74,,50.0,37.0,40.0,46.0,22103,26827,82,80,84,0.61,4119,8900,46,40,52,1.42,602,18159,3.3,-1.11,17,11,23,-0.89,,21.0,59.0,66.0,15.0,95451,22141,4.3,-0.65,1752,7559,23,16,30,-0.69,61,16.3,-1.19,72.0,193.0,-0.5,154,82,69,95,-0.48,,,,,,,,,,,,,,,,9.3,0.88,No,-0.64,13,10,15,8,6,10,3,2,4,2,1,3,-0.9,84,81,88,0.62,,,,,,,,,,,,,,,,16401,36,33,40,0.11,
3,4,37005,North Carolina,Alleghany,,194,9097,6672,11522,0.11,,,,,,,,,,,,,,,,,,,,,25,21,28,0.85,4.8,4.3,5.3,1.1,5.2,4.8,5.7,1.27,,9,7.0,12.0,0.07,,,,,,,,,,8.0,3.0,13.0,10.0,7.0,12.0,25,22,29,1.1,30,18.0,43.0,-0.66,7.1,0.35,25,15.0,36.0,-0.47,27,1.72,17,16,18,-0.1,2.0,8.0,25.0,7.0,46.0,-0.08,36,326.4,-0.81,41,32,50,1.39,,,,,,,,,,54.0,28.0,94.0,40.0,31.0,50.0,1427,18,16,20,1.73,12.0,108.0,930,-1.74,2.0,18.0,5569,0.95,26.0,233.0,428,-0.41,5359,0.49,,,,,,39,1.14,,,,,,54,-0.67,,,36.0,32.0,54.0,6525,8421,77,74,81,1.71,993,2228,45,35,54,1.61,210,4415,4.8,0.55,26,17,36,0.34,,,35.0,77.0,29.0,74193,16284,4.6,-0.18,462,1918,24,14,34,-0.59,14,12.5,-0.07,14.0,140.0,-0.85,58,105,80,136,0.89,,,,,,,,,,,,,,,,7.7,-0.64,No,-0.64,12,9,15,11,8,14,1,0,2,0,0,1,-1.22,82,77,86,-0.21,,,,,,,,,,,,,,,,4536,31,24,38,-0.51,
4,5,37007,North Carolina,Anson,,514,11631,10069,13194,1.45,,,,,,,,,13060.0,10804.0,15316.0,,,,,,10512.0,8171.0,12853.0,,26,24,28,1.17,4.7,4.4,5.0,0.81,5.0,4.7,5.3,0.56,,13,12.0,15.0,2.48,,,,,,,16.0,13.0,18.0,,,,10.0,8.0,12.0,25,23,27,1.01,41,26.0,56.0,1.01,7.2,0.2,37,25.0,52.0,1.93,6,2.66,16,15,16,-1.15,5.0,18.0,28.0,15.0,41.0,0.24,180,720.3,0.72,36,31,41,0.9,,,,,,,46.0,38.0,54.0,50.0,24.0,92.0,19.0,14.0,27.0,2431,13,12,15,-0.23,11.0,44.0,2262,0.3,5.0,20.0,4889,0.86,20.0,82.0,1222,0.75,7504,2.0,,,9865.0,,6661.0,37,1.53,,,35.0,,39.0,46,0.74,,,37.0,,52.0,14543,18013,81,78,83,0.98,2928,6725,44,37,50,1.72,453,10834,4.2,-0.11,31,21,41,0.96,,,45.0,38.0,9.0,82171,16539,5.0,0.61,1912,4826,40,33,46,1.14,26,10.5,0.55,92.0,428.0,1.06,123,98,81,115,0.45,,,,,,,86.0,64.0,113.0,,,,115.0,89.0,147.0,8.4,0.02,No,-0.64,16,13,19,11,8,14,4,2,6,1,0,2,0.36,84,80,88,0.53,,,,,,,83.0,65.0,100.0,,,,86.0,82.0,90.0,10224,44,37,51,0.94,
5,6,37009,North Carolina,Ashe,,431,6573,5385,7760,-1.24,,,,,,,,,,,,,,,,,,,,,19,17,22,-0.52,4.2,3.8,4.6,-0.21,4.8,4.4,5.3,0.07,,9,7.0,10.0,-0.44,,,,,,,,,,,,,,,,22,19,26,0.02,26,18.0,34.0,-1.35,7.8,-0.69,31,22.0,41.0,0.74,59,0.21,19,18,20,1.08,3.0,23.0,13.0,4.0,25.0,-1.44,40,148.4,-1.5,27,22,31,-0.09,,,,,,,,,,41.0,23.0,68.0,26.0,21.0,31.0,3069,15,13,17,0.64,12.0,44.0,2259,0.3,10.0,37.0,2720,0.27,46.0,169.0,591,0.09,4669,0.01,,,,,,43,0.35,,,,,,53,-0.49,,,41.0,36.0,53.0,17328,20356,85,83,87,0.0,3530,5820,61,52,69,-0.19,479,12908,3.7,-0.65,23,14,31,-0.13,,,,34.0,22.0,80881,19173,4.2,-0.82,1312,4847,27,19,35,-0.26,25,9.2,0.91,22.0,81.0,-1.24,111,82,67,97,-0.5,,,,,,,,,,,,,,,,7.7,-0.64,No,-0.64,10,8,12,9,7,11,1,0,2,0,0,1,-1.81,75,72,79,-2.05,,,,,,,,,,,,,,,,12229,38,32,43,0.26,
6,7,37011,North Carolina,Avery,,290,7582,6147,9018,-0.7,,,,,,,,,,,,,,,,,,,,,21,18,24,-0.21,4.3,3.9,4.8,0.04,4.8,4.4,5.2,0.02,,10,8.0,12.0,0.29,,,,,,,,,,,,,,,,23,19,27,0.32,24,15.0,36.0,-1.56,7.9,-0.84,29,20.0,41.0,0.42,100,-1.66,19,18,20,0.97,2.0,12.0,17.0,4.0,34.0,-1.03,29,165.4,-1.44,20,16,25,-0.83,,,,,,,,,,,,,,,,2039,18,16,20,1.84,5.0,29.0,3501,0.81,6.0,34.0,2926,0.36,76.0,433.0,231,-1.93,3160,-1.05,,,,,,35,1.93,,,,,,49,0.21,,,,,,11133,13324,84,81,86,0.35,2587,4516,57,50,65,0.19,281,7502,3.7,-0.61,24,15,34,0.1,,,,45.0,16.0,76808,17649,4.4,-0.57,503,2496,20,12,28,-1.03,32,18.3,-1.77,30.0,174.0,-0.62,82,93,74,116,0.18,,,,,,,,,,,,,,,,8.0,-0.36,Yes,1.56,13,10,17,11,8,14,2,0,4,0,0,1,-0.71,78,72,83,-1.44,,,,,,,,,,,,,,,,6370,27,22,32,-0.92,
7,8,37013,North Carolina,Beaufort,,885,10240,9068,11413,0.71,,,,,,,,,12665.0,10112.0,15219.0,,,,,,9912.0,8473.0,11351.0,,22,20,24,0.04,4.3,4.0,4.6,0.0,4.8,4.5,5.2,0.09,,10,9.0,11.0,0.63,,,,,,,15.0,13.0,17.0,6.0,4.0,8.0,9.0,7.0,10.0,22,19,24,-0.07,45,36.0,53.0,1.6,7.3,0.05,31,24.0,39.0,0.78,53,0.5,17,16,18,-0.29,5.0,34.0,15.0,7.0,25.0,-1.25,290,615.9,0.32,27,24,30,-0.05,,,,,,,44.0,36.0,51.0,39.0,28.0,52.0,16.0,13.0,20.0,4620,13,12,15,-0.4,24.0,51.0,1962,0.08,19.0,40.0,2473,0.14,72.0,153.0,653,0.21,3805,-0.6,,,5265.0,,3356.0,55,-2.03,,,52.0,25.0,56.0,55,-0.84,,,41.0,43.0,58.0,29969,34170,88,86,89,-0.57,5879,9807,60,54,66,-0.11,906,19578,4.6,0.4,30,21,38,0.75,,,48.0,45.0,14.0,95059,18068,5.3,1.16,3760,9592,39,34,45,1.09,59,12.5,-0.07,140.0,298.0,0.2,250,106,93,119,0.91,,,,,,,71.0,51.0,96.0,,,,128.0,110.0,146.0,7.3,-1.02,Yes,1.56,14,12,16,14,11,16,1,0,1,0,0,1,-0.26,87,84,89,1.39,,,,,,,87.0,81.0,93.0,89.0,85.0,93.0,86.0,84.0,87.0,19213,31,27,35,-0.46,
8,9,37015,North Carolina,Bertie,,355,9957,8207,11707,0.56,,,,,,,,,10900.0,8551.0,13248.0,,,,,,7955.0,5582.0,10328.0,,27,25,30,1.47,4.7,4.4,5.1,0.85,4.9,4.6,5.2,0.31,,12,10.0,14.0,1.9,,,,,,,15.0,13.0,17.0,,,,6.0,4.0,9.0,25,22,27,0.91,45,37.0,54.0,1.68,7.0,0.49,31,23.0,41.0,0.82,33,1.42,15,14,16,-1.58,10.0,36.0,28.0,19.0,37.0,0.24,165,858.3,1.26,35,29,42,0.84,,,,,,,41.0,33.0,49.0,,,,18.0,10.0,29.0,1680,13,11,14,-0.61,3.0,16.0,6342,1.22,2.0,11.0,9474,1.22,10.0,53.0,1895,0.97,5139,0.34,,,5179.0,,5077.0,50,-1.04,,,52.0,,47.0,39,1.98,,,35.0,,44.0,11283,14396,78,76,81,1.51,2053,4587,45,37,53,1.59,374,7822,4.8,0.58,32,21,44,1.12,,,53.0,40.0,10.0,74276,14390,5.2,0.97,1699,3387,50,40,60,2.32,47,24.7,-3.0,34.0,169.0,-0.66,98,101,82,123,0.61,,,,,,,90.0,68.0,118.0,,,,120.0,86.0,163.0,7.3,-1.02,No,-0.64,20,16,24,18,14,22,2,1,4,1,0,2,2.09,81,75,86,-0.45,,,,,,,70.0,61.0,79.0,,,,79.0,79.0,79.0,7196,34,28,40,-0.15,
9,10,37017,North Carolina,Bladen,,661,10312,9000,11623,0.75,,,,,,,,,13811.0,11150.0,16473.0,,,,,,9678.0,7870.0,11486.0,,26,24,29,1.25,4.9,4.5,5.2,1.18,5.2,4.9,5.6,1.21,,10,9.0,12.0,0.63,,,,,,,16.0,13.0,18.0,7.0,4.0,10.0,7.0,6.0,9.0,25,22,27,1.03,49,38.0,60.0,2.3,6.8,0.79,31,21.0,41.0,0.7,36,1.27,15,14,15,-1.58,14.0,54.0,26.0,19.0,33.0,0.03,143,427.1,-0.42,34,29,38,0.66,,,,,,,34.0,27.0,42.0,40.0,28.0,56.0,32.0,26.0,38.0,4542,18,16,20,1.75,7.0,21.0,4741,1.05,13.0,40.0,2517,0.16,24.0,73.0,1363,0.82,6089,1.01,,,7272.0,,5549.0,42,0.54,,,41.0,,43.0,32,3.21,,,28.0,20.0,34.0,19497,23971,81,79,84,0.85,3867,7512,51,45,58,0.84,706,14629,4.8,0.63,30,19,41,0.8,6.0,,47.0,45.0,22.0,75184,15148,5.0,0.6,2318,6950,33,26,41,0.44,44,13.3,-0.28,78.0,224.0,-0.29,190,113,97,130,1.37,,,,,,,96.0,72.0,125.0,92.0,47.0,161.0,125.0,103.0,148.0,7.9,-0.45,No,-0.64,18,15,21,16,13,19,2,1,3,1,0,1,1.08,87,84,90,1.49,95.0,89.0,100.0,,,,84.0,79.0,89.0,72.0,62.0,81.0,88.0,85.0,92.0,12686,38,32,44,0.26,
