,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,38000,North Dakota,,,7831.0,6650.0,6440.0,6860.0,,18820.0,17322.0,20319.0,,3811.0,2639.0,5325.0,,6221.0,5107.0,7336.0,,6477.0,5415.0,7539.0,,5934.0,5718.0,6150.0,,14,12,15,,3.2,2.9,3.4,,3.8,3.5,4.1,,,6.0,6.0,7.0,,8.0,7.0,8.0,8.0,7.0,9.0,9.0,8.0,10.0,7.0,6.0,7.0,6.0,6.0,6.0,20,18,21,,34,,,,8.9,,23,,,,74,,24,22,26,,239.0,565.0,42.0,40.0,44.0,,3525.0,466.6,,20.0,19.0,21.0,,62.0,58.0,67.0,18.0,13.0,24.0,29.0,24.0,33.0,48.0,43.0,53.0,14.0,13.0,14.0,50455,8,7,9,,585.0,77.0,1299,,506.0,66.0,1506,,1496.0,196.0,509,,4037.0,,8244.0,1820.0,3406.0,3468.0,3908.0,53,,23.0,28.0,30.0,38.0,55.0,50,,39.0,45.0,38.0,39.0,50.0,458674,495068,93,92.0,93.0,,149176,203625,73,72.0,75.0,,9579,403602,2.4,,11,10,12,,39.0,22.0,35.0,16.0,6.0,121941,27414,4.4,,34400,175130,20,19,21,,1213,16.0,,1932.0,258.0,,2675.0,71.0,68.0,73.0,,142.0,126.0,158.0,33.0,21.0,50.0,39.0,29.0,51.0,58.0,46.0,72.0,68.0,65.0,71.0,4.7,,,,12,11,12,9,9,10,2,2,2,1,1,1,,82,81,82,,78.0,75.0,80.0,67.0,62.0,72.0,78.0,75.0,82.0,75.0,72.0,77.0,83.0,82.0,83.0,401133,14,13,15,,
1,2,38001,North Dakota,Adams,x,,,,,0.0,,,,,,,,,,,,,,,,,,,,,14,12,16,-0.56,3.0,2.7,3.4,-0.7,3.5,3.2,3.9,-0.51,,,,,0.0,,,,,,,,,,,,,,,,19,16,22,-0.6,32,23.0,41.0,-0.7,9.2,-0.62,22,14.0,30.0,-1.13,42,0.69,24,22,25,0.21,0.0,3.0,0.0,0.0,42.0,-1.89,,,0.0,,,,0.0,,,,,,,,,,,,,,,,155,9,8,11,-0.06,10.0,436.0,229,-3.0,1.0,45.0,2216,0.2,2.0,90.0,1108,0.26,3117.0,-0.66,,,,,,49,0.14,,,,,,58,-1.29,,,,,,1552,1642,95,94.0,95.0,-1.32,316,463,68,53.0,83.0,-0.01,23,1046,2.2,-0.51,15,9,21,0.24,,,,,,111591,22069,5.1,0.67,44,513,9,3,15,-0.81,3,13.1,0.45,2.0,64.0,-0.7,,,,,0.0,,,,,,,,,,,,,,,,4.0,-0.61,No,-0.31,8,4,11,7,3,12,0,0,2,0,0,2,-0.52,69,62,77,-1.27,,,,,,,,,,,,,,,,1177,11,7,15,-1.19,
2,3,38003,North Dakota,Barnes,,143.0,7213.0,5284.0,9142.0,-0.39,,,,,,,,,,,,,,,,,,,,,15,12,17,-0.36,3.3,2.9,3.7,-0.27,3.7,3.3,4.1,-0.21,,6.0,4.0,7.0,-0.56,,,,,,,,,,,,,,,,19,16,23,-0.55,35,30.0,40.0,0.06,8.9,-0.3,23,19.0,28.0,-0.81,64,-0.31,22,20,23,-1.21,5.0,12.0,42.0,26.0,56.0,0.0,21.0,195.6,-0.54,13.0,9.0,18.0,-0.73,,,,,,,,,,,,,,,,670,9,7,10,-0.36,11.0,104.0,958,-0.48,8.0,77.0,1302,-0.59,9.0,86.0,1157,0.29,4065.0,-0.13,,,,,,61,-1.28,,,,,,57,-1.21,,,,,,7056,7645,92,90.0,95.0,-0.56,1456,2268,64,55.0,73.0,0.47,156,5143,3.0,0.21,10,5,15,-0.57,,,,8.0,13.0,111376,22198,5.0,0.62,299,2024,15,9,20,-0.23,21,19.9,-0.3,20.0,181.0,0.59,40.0,74.0,53.0,101.0,-0.67,,,,,,,,,,,,,,,,5.3,0.69,No,-0.31,9,6,12,9,6,12,0,0,1,0,0,1,-0.07,80,77,84,0.54,,,,,,,,,,,,,,,,5714,24,19,28,0.32,
3,4,38005,North Dakota,Benson,,130.0,17851.0,13864.0,21837.0,2.39,,,,,,,,,,,,,,,,,,,,,28,25,31,2.98,5.3,4.9,5.7,2.91,4.8,4.4,5.1,2.47,,7.0,6.0,9.0,0.42,,,,,,,,,,,,,,,,33,29,36,3.0,42,35.0,49.0,1.78,6.3,2.45,34,27.0,42.0,1.69,63,-0.25,21,20,22,-1.69,10.0,13.0,77.0,69.0,83.0,1.6,99.0,1427.3,2.3,90.0,76.0,104.0,3.0,,,,,,,,,,,,,,,,748,13,11,15,1.24,,,nan,0.0,1.0,15.0,6832,0.95,4.0,59.0,1708,0.51,4363.0,0.03,6304.0,,,,2471.0,47,0.38,32.0,,,,53.0,38,0.25,51.0,,,,33.0,3376,3912,86,,,1.48,818,1461,56,,,1.45,96,2273,4.2,1.25,34,19,49,3.0,59.0,,,44.0,16.0,92462,15453,6.0,1.76,1248,2388,52,44,61,3.0,3,4.3,1.41,2.0,29.0,-1.08,46.0,134.0,98.0,179.0,1.38,,,,,,,,,,,,,,,,5.1,0.49,No,-0.31,16,14,19,7,4,9,9,7,11,1,0,2,1.72,73,69,77,-0.62,78.0,70.0,85.0,,,,,,,,,,71.0,64.0,78.0,2322,28,23,32,0.81,
4,5,38007,North Dakota,Billings,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12,16,,3.1,2.7,3.5,,3.3,3.0,3.7,,,,,,,,,,,,,,,,,,,,,,19,16,22,,30,21.0,41.0,,7.4,,27,17.0,38.0,,67,,24,22,25,,1.0,4.0,25.0,2.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,58,8,7,9,,0.0,0.0,919,,0.0,0.0,928,,0.0,0.0,928,,,,,,,,,44,,,,,,,41,,,,,,,632,706,90,85.0,94.0,,188,256,73,56.0,91.0,,11,430,2.6,,10,5,14,,,,,,,134700,34500,3.9,,5,197,3,0,9,,0,0.0,,1.0,54.0,,,,,,,,,,,,,,,,,,,,,,2.9,,No,,11,5,18,10,1,19,1,0,6,2,0,6,,76,71,81,,,,,,,,,,,,,,,,,439,46,32,60,,
5,6,38009,North Dakota,Bottineau,,102.0,10724.0,7225.0,14223.0,0.53,,,,,,,,,,,,,,,,,,,,,15,13,17,-0.38,3.2,2.9,3.6,-0.43,3.6,3.2,3.9,-0.48,,5.0,3.0,7.0,-1.0,,,,,,,,,,,,,,,,21,17,24,-0.13,36,31.0,42.0,0.4,8.4,0.23,26,21.0,31.0,-0.07,56,0.03,25,24,27,1.19,6.0,10.0,60.0,46.0,71.0,0.83,13.0,199.1,-0.53,16.0,10.0,25.0,-0.52,,,,,,,,,,,,,,,,442,9,8,11,-0.04,2.0,31.0,3206,0.53,2.0,32.0,3141,0.53,1.0,16.0,6282,0.85,2314.0,-1.11,,,,,,53,-0.33,,,,,,36,0.4,33.0,,,,36.0,4163,4539,92,89.0,94.0,-0.36,954,1290,74,62.0,85.0,-0.68,97,2935,3.3,0.45,12,7,18,-0.18,54.0,,,48.0,11.0,117306,25983,4.5,0.03,201,1352,15,8,22,-0.22,15,23.4,-0.68,6.0,82.0,-0.5,31.0,95.0,65.0,135.0,0.04,,,,,,,,,,,,,,,,5.0,0.39,No,-0.31,8,5,10,7,5,9,1,0,2,0,0,1,-0.45,75,70,80,-0.28,,,,,,,,,,,,,,,,3117,21,17,26,0.03,
6,7,38011,North Dakota,Bowman,x,,,,,0.0,,,,,,,,,,,,,,,,,,,,,14,12,17,-0.43,3.3,2.9,3.6,-0.34,3.7,3.3,4.1,-0.18,x,7.0,,,0.18,,,,,,,,,,,,,,,,19,16,22,-0.45,23,16.0,30.0,-2.75,9.6,-1.04,35,27.0,43.0,1.89,74,-0.78,23,22,25,0.02,0.0,2.0,0.0,0.0,51.0,-1.89,5.0,157.9,-0.63,28.0,17.0,45.0,0.16,,,,,,,,,,,,,,,,244,10,8,12,0.23,1.0,33.0,3076,0.51,5.0,165.0,605,-2.78,,,nan,0.0,3168.0,-0.63,,,,,,47,0.38,,,,,,18,1.78,,,,,,1897,2130,89,86.0,92.0,0.54,512,692,74,61.0,87.0,-0.69,28,1714,1.6,-1.0,10,6,14,-0.59,,,,7.0,5.0,118043,26932,4.4,-0.12,99,762,13,5,21,-0.39,5,16.3,0.1,4.0,108.0,-0.22,,,,,0.0,,,,,,,,,,,,,,,,4.1,-0.51,No,-0.31,7,3,12,6,1,10,2,0,4,0,0,1,-0.59,78,75,82,0.24,,,,,,,,,,,,,,,,1577,15,10,20,-0.73,
7,8,38013,North Dakota,Burke,x,,,,,0.0,,,,,,,,,,,,,,,,,,,,,15,13,17,-0.32,3.1,2.8,3.5,-0.52,3.6,3.2,4.0,-0.38,x,6.0,,,-0.52,,,,,,,,,,,,,,,,20,17,23,-0.25,34,25.0,42.0,-0.24,7.3,1.39,24,17.0,32.0,-0.56,44,0.59,24,23,26,0.57,1.0,3.0,33.0,4.0,64.0,-0.38,,,0.0,29.0,15.0,52.0,0.21,,,,,,,,,,,,,,,,136,8,7,9,-0.53,,,nan,0.0,0.0,0.0,2115,1.32,,,nan,0.0,1308.0,-1.67,,,,,,42,0.97,,,,,,38,0.25,,,,,,1387,1498,93,91.0,94.0,-0.66,432,562,77,68.0,85.0,-1.03,24,1053,2.3,-0.44,9,5,13,-0.77,,,,,,132500,34412,3.9,-0.75,92,595,15,6,25,-0.16,5,23.8,-0.72,2.0,63.0,-0.71,,,,,0.0,,,,,,,,,,,,,,,,1.5,-3.0,No,-0.31,7,3,12,6,2,11,2,0,4,0,0,2,-0.59,77,72,82,0.03,,,,,,,,,,,,,,,,1042,33,26,41,1.49,
8,9,38015,North Dakota,Burleigh,,861.0,5445.0,4908.0,5981.0,-0.85,14369.0,10441.0,19290.0,,,,,,,,,,,,,,5093.0,4541.0,5645.0,,12,11,15,-0.91,2.8,2.5,3.2,-1.01,3.5,3.2,3.9,-0.51,,6.0,6.0,7.0,-0.19,6.0,5.0,8.0,,,,8.0,5.0,11.0,7.0,4.0,10.0,6.0,6.0,7.0,16,13,19,-1.27,32,29.0,34.0,-0.68,9.4,-0.83,20,18.0,22.0,-1.49,85,-1.31,20,20,21,-1.94,10.0,27.0,37.0,27.0,47.0,-0.21,459.0,483.0,0.12,18.0,16.0,20.0,-0.41,75.0,60.0,91.0,,,,23.0,11.0,42.0,40.0,25.0,60.0,13.0,11.0,14.0,4734,6,5,7,-1.35,102.0,107.0,934,-0.51,81.0,85.0,1181,-0.78,260.0,272.0,368,-1.17,4222.0,-0.05,8826.0,,,,4151.0,57,-0.81,34.0,,,36.0,58.0,59,-1.37,53.0,35.0,30.0,42.0,59.0,60297,63953,94,94.0,95.0,-1.24,20342,25845,79,75.0,83.0,-1.24,1180,49216,2.4,-0.34,7,4,9,-1.11,36.0,,39.0,12.0,5.0,131801,31006,4.3,-0.28,5157,21910,24,20,27,0.61,156,16.4,0.09,230.0,250.0,1.35,265.0,56.0,49.0,63.0,-1.31,70.0,38.0,118.0,,,,,,,102.0,53.0,179.0,54.0,47.0,61.0,4.9,0.29,No,-0.31,11,10,12,9,8,10,2,1,3,1,0,1,0.3,86,84,87,1.43,82.0,74.0,90.0,,,,,,,76.0,54.0,98.0,87.0,86.0,89.0,50372,10,9,11,-1.29,
9,10,38017,North Dakota,Cass,,1476.0,5590.0,5206.0,5973.0,-0.81,20719.0,14802.0,28213.0,,,,,,6568.0,4859.0,8683.0,,7816.0,5194.0,11296.0,,5224.0,4833.0,5615.0,,13,11,15,-0.87,3.1,2.8,3.5,-0.59,3.6,3.2,4.0,-0.36,,7.0,6.0,7.0,0.14,8.0,5.0,11.0,8.0,6.0,10.0,9.0,7.0,10.0,6.0,4.0,8.0,6.0,6.0,7.0,18,15,21,-0.82,33,31.0,35.0,-0.35,9.4,-0.83,19,18.0,21.0,-1.67,87,-1.37,23,22,23,-0.56,15.0,38.0,39.0,31.0,47.0,-0.1,879.0,494.4,0.15,13.0,12.0,14.0,-0.71,46.0,32.0,66.0,23.0,15.0,33.0,28.0,22.0,36.0,51.0,39.0,65.0,9.0,8.0,10.0,11212,7,6,8,-0.92,179.0,99.0,1014,-0.4,145.0,80.0,1255,-0.66,525.0,289.0,347,-1.3,4281.0,-0.01,355.0,,7975.0,4856.0,4280.0,57,-0.81,35.0,32.0,26.0,33.0,58.0,59,-1.37,55.0,54.0,33.0,48.0,59.0,106054,111847,95,94.0,96.0,-1.42,43041,53790,80,77.0,83.0,-1.4,2078,102347,2.0,-0.66,9,7,12,-0.7,9.0,23.0,46.0,10.0,4.0,122497,27466,4.5,-0.03,7552,39520,19,16,22,0.19,193,10.6,0.72,524.0,309.0,2.0,475.0,53.0,49.0,58.0,-1.39,165.0,101.0,255.0,,,,27.0,15.0,45.0,58.0,32.0,97.0,54.0,49.0,59.0,5.1,0.49,No,-0.31,13,12,14,11,10,12,2,1,2,1,1,1,0.81,83,82,84,0.99,66.0,52.0,80.0,63.0,55.0,71.0,78.0,72.0,84.0,70.0,60.0,80.0,85.0,84.0,86.0,102906,9,8,9,-1.48,
