,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,39000,Ohio,,,169097,8545,8484,8607,,4405.0,3518.0,5292.0,,2938.0,2707.0,3169.0,,12672.0,12468.0,12876.0,,5348.0,5109.0,5586.0,,8153.0,8085.0,8221.0,,18,17,19,,4.1,3.9,4.3,,4.8,4.5,5.0,,,9,9,9,,10.0,9.0,12.0,9.0,9.0,9.0,14.0,14.0,14.0,8.0,8.0,8.0,7.0,7.0,7.0,21,20,23,,34,,,,6.8,,26,,,,84,,18,17,20,,1817,5642,32,32,33,,63220,542.3,,22,22,22,,20.0,17.0,23.0,6.0,5.0,7.0,40.0,39.0,40.0,36.0,35.0,37.0,18.0,18.0,18.0,729559,8,7,8,,8969,77,1303,,7503,64,1558,,30543,261,383,,4901,,7161.0,2557.0,7182.0,5292.0,4708.0,43,,29.0,39.0,43.0,37.0,44.0,51,,44.0,51.0,39.0,46.0,52.0,7208399,7975777,90,90,90,,1909529,2913622,66,65.0,66.0,,238748,5802322,4.1,,18,17,19,,28.0,12.0,43.0,32.0,14.0,110927,23712,4.7,,704578,2598908,27,27,28,,12909,11.0,,33954.0,293.0,,52961,91,90,92,,36.0,27.0,47.0,26.0,23.0,28.0,100.0,97.0,102.0,49.0,46.0,52.0,94.0,93.0,94.0,9.0,,,,14,14,14,12,12,12,1,1,1,1,1,1,,83,83,83,,74.0,69.0,78.0,75.0,74.0,76.0,75.0,74.0,75.0,75.0,73.0,76.0,85.0,85.0,85.0,5488776,31,31,31,,
1,2,39001,Ohio,Adams,,573,11156,9772,12540,1.34,,,,,,,,,,,,,,,,,,,,,25,22,29,2.27,5.6,5.1,6.2,2.38,5.8,5.3,6.3,2.07,,9,8,10,1.11,,,,,,,,,,,,,,,,30,26,34,2.01,36,29.0,42.0,0.0,6.7,1.29,38,31.0,45.0,2.04,42,1.37,16,14,17,-2.04,11,24,46,36,55,1.61,56,202.0,-0.89,40,35,45,1.75,,,,,,,,,,,,,,,,2208,10,8,11,0.9,12,43,2310,0.26,9,32,3078,0.62,43,155,644,0.21,7070,1.78,,,,,,33,1.84,,,,,,42,1.59,,,,,,15223,18987,80,77,83,1.88,2738,6351,43,36.0,50.0,1.52,733,10717,6.8,2.17,30,21,38,2.03,,,,6.0,30.0,86922,16767,5.2,1.57,2167,6691,32,24,41,1.6,23,8.3,1.16,24.0,86.0,-0.56,164,118,100,136,1.46,,,,,,,,,,,,,,,,8.7,-0.26,No,-0.52,16,12,19,13,10,15,2,1,3,2,1,3,1.62,80,76,83,-0.96,,,,,,,,,,,,,,,,10251,48,42,54,1.53,
2,3,39003,Ohio,Allen,,1494,8211,7569,8852,-0.2,,,,,,,,,10889.0,8972.0,12805.0,,,,,,7972.0,7268.0,8677.0,,19,17,22,0.1,4.5,4.1,4.9,0.16,5.0,4.7,5.4,0.01,,9,9,10,1.46,,,,,,,15.0,13.0,17.0,8.0,5.0,12.0,8.0,8.0,9.0,24,22,28,0.13,36,32.0,40.0,0.06,7.6,0.0,27,24.0,30.0,-0.41,76,-0.42,17,16,18,-0.95,18,54,33,26,40,0.33,617,597.9,1.56,29,26,31,0.44,,,,,,,55.0,48.0,62.0,38.0,27.0,52.0,23.0,20.0,25.0,5884,7,6,8,-0.25,70,68,1467,-0.7,61,60,1678,-0.86,233,228,439,-0.33,6228,1.1,,,11877.0,1760.0,5756.0,44,-0.53,,25.0,44.0,33.0,44.0,49,-0.02,,43.0,32.0,38.0,51.0,62440,69145,90,89,91,-0.27,15170,24887,61,57.0,64.0,-0.29,1929,47866,4.0,-0.42,20,14,25,0.4,,1.0,52.0,13.0,13.0,94927,22091,4.3,0.06,7421,23878,31,28,34,1.39,169,16.5,-1.38,407.0,395.0,1.82,385,75,67,82,-0.66,,,,,,,87.0,67.0,112.0,,,,75.0,67.0,83.0,8.0,-1.07,No,-0.52,14,12,15,11,10,13,1,1,2,2,1,2,0.66,86,85,87,0.46,,,,,,,78.0,75.0,81.0,86.0,79.0,92.0,88.0,87.0,89.0,47375,20,18,21,-1.46,
3,4,39005,Ohio,Ashland,,725,7410,6543,8277,-0.62,,,,,,,,,,,,,,,,,,,,,19,16,21,-0.27,4.4,3.9,4.8,-0.14,5.0,4.6,5.4,-0.2,,6,5,7,-1.35,,,,,,,,,,,,,,,,24,20,27,-0.15,35,27.0,44.0,-0.08,8.1,-0.72,31,23.0,39.0,0.55,60,0.4,18,17,19,-0.35,15,34,44,36,52,1.43,123,229.4,-0.72,18,16,21,-0.74,,,,,,,,,,,,,,,,3609,9,7,10,0.35,24,45,2239,0.2,23,43,2325,0.04,121,226,442,-0.32,5316,0.36,,9459.0,,,5277.0,44,-0.53,,,,,,48,0.21,,55.0,29.0,31.0,48.0,31397,35487,88,87,90,0.11,6245,11546,54,49.0,59.0,0.41,1114,26801,4.2,-0.3,19,14,24,0.31,,,,33.0,22.0,95705,25646,3.7,-0.9,2469,12057,20,17,24,-0.35,103,19.2,-2.22,54.0,103.0,-0.43,165,62,52,71,-1.3,,,,,,,,,,,,,,,,8.9,-0.03,No,-0.52,12,10,15,9,8,11,2,1,3,2,2,3,0.16,84,83,85,0.0,,,,,,,,,,,,,,,,24986,31,28,34,-0.3,
4,5,39007,Ohio,Ashtabula,,1793,10033,9283,10782,0.75,,,,,,,,,13166.0,9448.0,17861.0,,,,,,10175.0,9372.0,10979.0,,23,20,26,1.36,4.9,4.5,5.4,0.92,5.4,5.0,5.8,0.98,,8,8,9,0.4,,,,,,,20.0,14.0,25.0,11.0,8.0,14.0,8.0,7.0,8.0,28,24,31,1.11,37,32.0,43.0,0.41,6.7,1.29,31,26.0,35.0,0.46,73,-0.28,18,17,19,-0.22,31,88,35,30,41,0.52,318,325.1,-0.13,30,27,32,0.58,,,,,,,31.0,20.0,45.0,39.0,29.0,51.0,29.0,26.0,31.0,7220,10,8,11,0.75,32,33,3047,0.66,37,38,2628,0.32,170,175,572,0.07,6681,1.47,,,7422.0,7176.0,6682.0,40,0.33,,26.0,47.0,28.0,40.0,49,-0.02,,50.0,39.0,48.0,49.0,59016,68608,86,85,87,0.64,10039,22367,45,42.0,48.0,1.34,2125,44459,4.8,0.27,27,20,33,1.53,,,32.0,46.0,28.0,89708,19022,4.7,0.77,4931,21666,23,19,26,0.02,122,12.5,-0.15,82.0,135.0,-0.18,487,100,91,108,0.56,,,,,,,81.0,47.0,129.0,53.0,26.0,95.0,103.0,94.0,113.0,9.1,0.2,Yes,1.89,15,13,16,12,11,14,2,1,3,2,1,2,1.12,85,83,86,0.15,,,,,,,66.0,49.0,83.0,87.0,82.0,92.0,84.0,81.0,86.0,39407,34,31,36,-0.01,
5,6,39009,Ohio,Athens,,749,7156,6348,7964,-0.75,,,,,,,,,,,,,,,,,,,,,21,18,24,0.7,4.8,4.4,5.3,0.79,5.2,4.8,5.7,0.51,,9,8,10,0.99,,,,,,,,,,,,,,,,24,21,28,0.03,35,31.0,39.0,-0.16,6.0,2.29,23,20.0,27.0,-1.28,83,-0.8,18,17,19,-0.27,6,32,19,10,29,-1.16,449,674.2,2.03,8,7,9,-1.96,,,,,,,,,,,,,,,,4316,9,8,10,0.53,48,73,1371,-0.88,14,21,4666,1.23,349,534,187,-2.65,3824,-0.84,,,5426.0,,3779.0,39,0.55,,,18.0,,39.0,49,-0.02,,20.0,45.0,29.0,49.0,33293,36984,90,89,91,-0.21,9470,14565,65,60.0,70.0,-0.7,1468,27694,5.3,0.75,25,18,33,1.33,,10.0,25.0,37.0,28.0,89926,14073,6.4,3.62,2185,9518,23,18,28,0.05,57,8.7,1.05,72.0,112.0,-0.36,194,59,51,67,-1.43,,,,,,,,,,,,,,,,6.5,-2.8,Yes,1.89,21,19,23,19,17,21,2,1,3,1,1,2,3.93,71,69,73,-2.83,,,,66.0,55.0,77.0,72.0,61.0,84.0,40.0,27.0,54.0,71.0,69.0,73.0,27769,22,20,25,-1.18,
6,7,39011,Ohio,Auglaize,,520,5718,4913,6524,-1.51,,,,,,,,,,,,,,,,,,,,,16,14,18,-1.26,3.8,3.4,4.1,-1.4,4.5,4.1,4.9,-1.39,,7,6,8,-0.46,,,,,,,,,,,,,,,,23,19,26,-0.38,35,30.0,41.0,-0.13,8.7,-1.58,30,25.0,35.0,0.3,78,-0.52,20,18,21,1.07,2,28,7,1,18,-2.35,116,253.4,-0.57,23,20,26,-0.23,,,,,,,,,,,,,,,,2229,6,5,7,-0.91,19,41,2411,0.33,16,35,2854,0.48,22,48,2075,1.02,4967,0.08,,,,3940.0,4942.0,42,-0.1,,36.0,36.0,,42.0,48,0.21,,44.0,19.0,54.0,48.0,28737,31012,93,91,94,-0.78,6624,10274,64,59.0,70.0,-0.65,750,24980,3.0,-1.36,9,6,12,-1.32,,,22.0,45.0,10.0,110690,29794,3.7,-0.93,2171,11061,20,15,24,-0.49,69,15.1,-0.94,23.0,58.0,-0.77,120,52,43,62,-1.75,,,,,,,,,,,,,,,,9.5,0.67,No,-0.52,10,9,12,9,7,10,1,1,2,1,0,2,-0.79,88,86,89,0.82,,,,,,,,,,,,,,,,23216,20,18,22,-1.38,
7,8,39013,Ohio,Belmont,,1148,8428,7593,9264,-0.09,,,,,,,,,,,,,,,,,,,,,19,17,22,-0.09,4.5,4.1,4.9,0.06,5.1,4.7,5.6,0.26,,8,7,9,0.47,,,,,,,13.0,7.0,18.0,,,,8.0,7.0,9.0,24,21,27,-0.08,35,31.0,39.0,-0.11,7.7,-0.15,31,28.0,35.0,0.55,47,1.07,19,18,20,0.67,16,44,36,29,44,0.64,180,264.6,-0.5,28,25,31,0.41,,,,,,,27.0,15.0,46.0,,,,29.0,25.0,32.0,3693,7,6,8,-0.28,24,36,2813,0.55,30,45,2234,-0.05,135,201,496,-0.14,7940,2.48,,,4599.0,,7991.0,43,-0.31,,,46.0,,43.0,41,1.82,,30.0,40.0,,41.0,45362,50312,90,89,91,-0.24,9698,16636,58,54.0,63.0,-0.02,1684,30153,5.6,1.02,16,10,21,-0.25,,,9.0,14.0,15.0,97998,21945,4.5,0.34,2821,12778,22,18,27,-0.09,101,15.0,-0.91,81.0,137.0,-0.17,293,86,76,96,-0.1,,,,,,,80.0,43.0,137.0,,,,87.0,76.0,97.0,8.3,-0.72,Yes,1.89,8,7,10,7,6,9,0,0,1,1,0,1,-1.72,90,89,90,1.31,,,,,,,,,,,,,,,,28565,31,28,33,-0.31,
8,9,39015,Ohio,Brown,,803,10448,9309,11586,0.97,,,,,,,,,,,,,,,,,,,,,20,18,23,0.39,4.6,4.2,5.1,0.42,5.1,4.7,5.5,0.2,,8,7,9,-0.04,,,,,,,,,,,,,,,,25,21,28,0.19,32,25.0,38.0,-1.08,7.6,0.0,31,25.0,37.0,0.55,50,0.93,18,17,19,-0.02,5,30,17,8,27,-1.37,139,319.0,-0.16,31,27,34,0.69,,,,,,,,,,,,,,,,2796,8,7,9,-0.01,12,28,3634,0.86,7,16,6205,1.52,32,74,1357,0.83,5994,0.91,,,6856.0,,5935.0,36,1.19,,,,,,48,0.21,,,28.0,,48.0,26696,30383,88,86,89,0.24,5522,10184,54,48.0,60.0,0.39,975,19594,5.0,0.45,18,11,25,0.13,,,,,,97641,21775,4.5,0.38,2164,10014,22,16,27,-0.17,26,6.0,1.88,29.0,67.0,-0.7,255,117,103,131,1.41,,,,,,,,,,,,,,,,9.1,0.2,No,-0.52,13,11,16,12,9,14,1,1,2,1,0,1,0.52,81,78,84,-0.59,,,,,,,,,,,,,,,,19366,58,53,63,2.55,
9,10,39017,Ohio,Butler,,5229,9226,8868,9584,0.33,,,,,3285.0,2275.0,4591.0,,10692.0,9441.0,11943.0,,4335.0,3283.0,5616.0,,9536.0,9132.0,9941.0,,17,15,19,-0.91,4.3,3.9,4.7,-0.27,4.8,4.4,5.2,-0.61,,8,8,8,0.18,,,,9.0,7.0,11.0,12.0,11.0,13.0,7.0,6.0,8.0,7.0,7.0,8.0,21,18,25,-0.87,32,29.0,37.0,-0.92,7.8,-0.29,23,20.0,27.0,-1.17,84,-0.86,19,18,20,0.64,38,134,28,24,33,-0.18,1510,396.7,0.31,18,17,18,-0.84,,,,3.0,1.0,5.0,24.0,21.0,27.0,41.0,36.0,46.0,16.0,15.0,17.0,21423,7,6,7,-0.55,207,54,1847,-0.16,199,52,1925,-0.44,923,241,415,-0.43,5151,0.23,,414.0,6466.0,2481.0,5162.0,42,-0.1,,34.0,39.0,31.0,42.0,54,-1.18,,51.0,43.0,39.0,55.0,220618,243427,91,90,91,-0.34,58315,90458,64,62.0,67.0,-0.65,7362,195091,3.8,-0.65,14,11,17,-0.51,29.0,12.0,29.0,37.0,12.0,126287,27833,4.5,0.47,20408,89605,23,21,25,0.02,318,8.3,1.15,973.0,270.0,0.86,1879,99,94,103,0.53,,,,23.0,13.0,37.0,81.0,68.0,95.0,29.0,19.0,42.0,108.0,103.0,114.0,11.6,3.09,No,-0.52,13,12,14,12,11,13,1,1,2,1,1,1,0.52,84,84,85,0.14,,,,70.0,67.0,73.0,79.0,74.0,84.0,76.0,69.0,83.0,84.0,83.0,85.0,180451,37,36,39,0.38,
