,FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low,95% CI - High,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Adults with Diabetes,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low,95% CI - High,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low,95% CI - High,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured (Adults),% Uninsured (Adults),95% CI - Low (Adults),95% CI - High (Adults),# Uninsured (Children),% Uninsured (Children),95% CI - Low (Children),95% CI - High (Children),Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low,95% CI - High,Average Grade Performance (Math),Average Grade Performance (Asian) (Math),Average Grade Performance (Black) (Math),Average Grade Performance (Hispanic) (Math),Average Grade Performance (White) (Math),Average Grade Performance (Reading),Average Grade Performance (Asian) (Reading),Average Grade Performance (Black) (Reading),Average Grade Performance (Hispanic) (Reading),Average Grade Performance (White) (Reading),Median Household Income,95% CI - Low,95% CI - High,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths,Suicide Rate (Age-Adjusted),95% CI - Low,95% CI - High,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low,95% CI - High,% Broadband Access,Numerator,95% CI - Low,95% CI - High,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural,
1,40000,Oklahoma,,76.0,76.0,76.1,73.3,73.0,73.6,84.8,83.7,86.0,73.4,73.0,73.7,84.2,83.4,85.0,76.2,76.1,76.3,60857,457,453,460,589,574,604,218,200,235,581,565,597,270,258,282,450,446,454,2440,64,61,66,79,70,87,62,47,79,101,91,111,55,49,60,56,53,59,2658,7,7,8,9,8,10,8,6,10,11,10,12,7,6,8,6,6,7,14,13,15,16,14,17,12,,,6244,192,594140,15,323295,9,2136,18,17,19,23,20,25,4,2,7,16,14,18,7,6,9,20,19,21,4766,17,17,18,23,21,25,7,6,10,15,14,17,11,9,12,18,18,19,38,36,39,462307,20,20,21,82271,8,8,9,101,989:1,49545,82,8,8,8,2.9,3.1,2.4,2.6,3.2,2.9,3.3,2.3,2.6,3.2,54447,53743,55151,44745,43651,45839,60082,56629,63535,35296,34237,36355,44709,43708,45710,57071,56655,57487,60,55,28,7,7,8,9,8,10,5,3,6,27,25,29,7,6,8,5,5,5,3973,20,20,21,20,21,19,23,10,7,13,9,8,11,9,8,11,23,22,24,3555,18,17,19,17,15,19,9,6,12,30,27,33,9,8,10,18,18,19,4635,4297,428300,21,206,971122,66,65,66,158879,11,11,11,79,1164053,78,79,3956971,24.1,16.1,293458,7.4,371104,9.4,94253,2.4,8581,0.2,438110,11.1,2572388,65.0,74537,2,2,2,50.5,1266322,33.8,
2,40001,Oklahoma,Adair,73.2,71.9,74.5,70.2,68.3,72.1,,,,,,,,,,74.6,72.6,76.6,455,601,544,658,699,604,794,,,,,,,,,,552,474,629,18,77,45,121,,,,,,,,,,,,,,,,24,11,7,17,,,,,,,,,,,,,,,,22,21,23,22,20,23,20,13,29,12,67,4390,20,863,4,19,29,17,45,,,,,,,,,,,,,,,,30,19,13,28,20,11,33,,,,,,,,,,21,12,35,43,42,44,3664,29,26,32,556,9,7,12,77,1306:1,304,78,12,7,18,2.8,,,2.7,2.7,2.8,,,2.7,2.8,39589,35208,43970,34366,30344,38388,80402,11188,149616,,,,41827,30121,53533,34514,30742,38286,86,,23,7,4,13,,,,,,,,,,,,,,,,22,22,13,33,20,,,,,,,,,,,,,,,,16,15,8,24,,,,,,,,,,,,,,,,7,13,2700,7,32,5356,69,67,71,726,10,8,12,50,3832,47,52,22194,27.0,15.8,112,0.5,10235,46.1,188,0.8,18,0.1,1573,7.1,8738,39.4,207,1,1,1,50.0,18894,83.3,
3,40003,Oklahoma,Alfalfa,78.9,76.2,81.6,,,,,,,,,,,,,,,,89,403,321,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,14,15,13,16,9,4,16,15,305,680,12,1189,21,,,,,,,,,,,,,,,,,,,,14,34,19,58,,,,,,,,,,,,,,,,37,35,39,519,21,18,23,174,15,11,19,35,2851:1,,,,,,3.1,,,,,3.4,,,,,57497,50752,64242,87500,39428,135572,,,,,,,57917,7818,108016,62199,57945,66453,49,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1-4,500,,0,1499,80,78,83,89,5,1,9,76,1429,72,81,5702,19.4,20.3,258,4.5,242,4.2,22,0.4,8,0.1,341,6.0,4739,83.1,59,1,0,2,40.3,5642,100.0,
4,40005,Oklahoma,Atoka,76.2,74.6,77.9,78.1,71.0,85.2,,,,,,,,,,76.6,74.8,78.3,274,515,451,579,515,352,727,,,,,,,,,,508,438,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,16,19,18,17,19,12,6,21,5,43,2400,17,2541,18,,,,,,,,,,,,,,,,,,,,28,29,19,42,,,,,,,,,,,,,,,,40,39,42,1696,23,20,26,418,13,10,17,22,4586:1,165,80,,,,3.3,,,,,3.3,,,,,41872,36478,47266,28000,22903,33097,,,,33322,27369,39275,23385,15255,31515,41667,39315,44019,79,38,16,,,,,,,,,,,,,,,,,,,17,21,12,34,25,,,,,,,,,,,,,,,,17,25,14,39,,,,,,,,,,,,,,,,9,7,1400,11,113,3880,73,72,75,501,10,8,13,68,3608,66,71,13758,22.4,20.0,523,3.8,2036,14.8,107,0.8,6,0.0,500,3.6,9662,70.2,61,0,0,1,47.9,14182,100.0,
5,40007,Oklahoma,Beaver,77.3,74.5,80.2,,,,,,,,,,,,,,,,65,358,271,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12,15,15,14,17,13,8,19,,,550,10,792,14,,,,,,,,,,,,,,,,,,,,18,48,28,75,,,,,,,,,,,,,,,,37,35,38,687,24,21,27,230,16,11,21,75,1328:1,,,,,,3.1,,,2.8,3.4,3.2,,,3.0,3.4,55397,48335,62459,,,,,,,,,,49545,44896,54194,54414,49150,59678,56,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-4,1-4,700,,1,1508,77,73,80,177,10,6,14,78,1530,72,83,5311,26.2,19.8,41,0.8,132,2.5,21,0.4,3,0.1,1377,25.9,3691,69.5,247,5,3,7,49.5,5636,100.0,
6,40009,Oklahoma,Beckham,73.5,72.2,74.8,,,,,,,,,,,,,,,,410,581,524,638,,,,,,,,,,356,204,578,623,557,689,21,97,60,148,,,,,,,,,,,,,,,,26,11,7,16,,,,,,,,,,,,,,,,14,13,16,16,14,17,13,9,20,28,158,3000,13,904,4,18,28,16,44,,,,,,,,,,,,,,,,41,26,19,35,,,,,,,,,,,,,,,,38,36,39,2396,21,18,24,505,9,7,12,124,810:1,275,85,,,,3.1,,,2.8,3.2,3.0,,,2.6,3.1,50512,43497,57527,,,,,,,78942,49914,107970,41107,35338,46876,51014,44532,57496,60,49,15,7,3,12,,,,,,,,,,,,,,,,27,23,15,33,24,,,,,,,,,,,,,,,,23,21,13,31,,,,,,,,,,,,,,,,23,28,2300,22,96,5020,66,64,69,613,9,6,12,77,5871,73,82,21859,25.0,14.7,864,4.0,817,3.7,230,1.1,5,0.0,3216,14.7,16393,75.0,177,1,0,2,46.5,7223,32.7,
7,40011,Oklahoma,Blaine,72.1,70.1,74.1,,,,,,,,,,,,,,,,217,664,569,758,1527,1045,2156,,,,,,,,,,608,506,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,14,17,17,16,18,14,9,20,18,235,1260,13,2109,18,,,,,,,,,,,,,,,,,,,,21,31,19,48,,,,,,,,,,,,,,,,37,36,39,992,19,17,22,234,9,7,12,95,1048:1,,,,,,3.1,,,3.0,3.4,3.3,,,3.3,3.4,50574,43698,57450,50750,10366,91134,,,,,,,31993,23707,40279,48563,42030,55096,65,53,16,,,,,,,,,,,,,,,,,,,11,28,13,51,23,,,,,,,,,,,,,,,,10,21,10,38,,,,,,,,,,,,,,,,27,26,1100,48,37,2861,73,70,77,277,8,5,11,71,2762,65,77,9429,25.6,20.2,285,3.0,932,9.9,34,0.4,12,0.1,1182,12.5,6730,71.4,388,4,3,6,50.2,6859,57.4,
8,40013,Oklahoma,Bryan,75.2,74.3,76.1,74.8,71.9,77.8,,,,,,,,,,75.1,74.0,76.1,834,513,477,549,592,483,701,,,,,,,,,,510,470,551,33,75,52,106,,,,,,,,,,,,,,,,25,6,4,9,,,,,,,,,,,,,,,,16,15,17,17,16,19,13,9,17,47,120,7300,16,3400,8,31,22,15,31,,,,,,,,,,,,,,,,76,24,19,30,20,10,37,,,,,,,,,,26,20,33,39,38,41,6439,24,21,27,1028,9,7,11,67,1500:1,525,86,8,5,11,3.1,,,3.1,3.2,3.3,,,3.2,3.4,44074,39630,48518,38438,32666,44210,,,,27500,20641,34359,41750,30489,53011,46537,43046,50028,67,32,10,3,2,6,,,,,,,,,,,,,,,,50,21,15,28,22,,,,,,,,,,,,,,,,30,13,9,18,,,,,,,,,,,,,,,,94,8,4900,21,111,10733,62,60,64,1807,11,10,13,72,12440,70,74,47995,23.3,18.0,874,1.8,7106,14.8,291,0.6,34,0.1,3018,6.3,33694,70.2,372,1,0,1,51.2,26014,61.3,
9,40015,Oklahoma,Caddo,73.0,72.0,74.0,67.7,65.3,70.1,,,,,,,86.0,72.8,99.2,74.2,73.0,75.4,591,588,539,637,834,703,964,,,,893,572,1329,,,,537,479,594,23,78,50,118,,,,,,,,,,,,,,,,30,11,7,16,,,,,,,,,,,,,,,,16,15,18,17,16,18,15,10,20,38,160,4820,16,4337,15,19,22,13,34,,,,,,,,,,,,,,,,63,31,24,39,43,26,65,,,,,,,,,,29,21,41,39,38,40,3422,23,20,25,693,9,7,12,66,1514:1,474,82,10,6,13,3.1,,,2.9,3.3,3.0,,,2.9,3.2,45755,40934,50576,33555,28411,38699,,,,49583,17785,81381,37656,30078,45234,49733,47172,52294,75,64,31,10,6,15,,,,,,,,,,,,,,,,33,23,16,32,23,,,,,,,,,,,,,,,,33,23,16,32,,,,,,,,,,,,,,,,26,34,3200,19,47,7355,71,69,74,709,7,6,9,69,7084,67,71,28762,24.9,16.9,781,2.7,7333,25.5,143,0.5,28,0.1,3834,13.3,16323,56.8,1092,4,3,5,47.2,23671,80.0,
10,40017,Oklahoma,Canadian,78.4,77.9,78.8,73.0,70.5,75.5,86.1,81.8,90.4,77.6,74.2,80.9,85.1,79.8,90.4,78.2,77.6,78.7,1663,358,341,376,596,481,711,145,92,217,335,238,457,275,204,364,362,343,381,69,46,36,59,,,,,,,,,,,,,,,,66,5,4,7,,,,,,,,,,,,,,,,12,11,13,14,13,15,11,9,14,148,126,14540,11,6365,6,51,12,9,15,,,,,,,,,,,,,,,,133,14,12,16,,,,,,,,,,,,,,,,35,33,36,13644,16,14,18,2776,7,5,9,64,1561:1,1880,93,5,3,7,3.2,3.2,2.9,2.8,3.4,3.2,3.3,2.8,2.8,3.4,75111,69051,81171,63594,51387,75801,78321,69443,87199,52976,43723,62229,48656,35817,61495,73798,71021,76575,42,47,16,3,2,5,,,,,,,,,,,,,,,,128,18,15,22,18,,,,,,,,,,,,,,,,100,14,11,17,,,,,,,,,,,,,,,,105,108,17200,12,143,33862,75,74,77,3457,8,7,9,87,38941,85,88,148306,26.0,13.3,4863,3.3,7678,5.2,4821,3.3,159,0.1,14511,9.8,111181,75.0,1921,1,,,50.3,26006,22.5,
