,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,40000,Oklahoma,,,60857.0,9106.0,9000.0,9212.0,,12295.0,11901.0,12689.0,,4690.0,4199.0,5180.0,,12233.0,11818.0,12649.0,,5661.0,5405.0,5916.0,,8823.0,8696.0,8951.0,,21,19,22,,4.5,4.2,4.8,,4.8,4.5,5.2,,,8,8.0,8.0,,7.0,7.0,7.0,8.0,8.0,9.0,14.0,13.0,14.0,7.0,7.0,7.0,8.0,7.0,8.0,20,18,21,,35,,,,5.8,,28,,,,71,,15,13,16,,871,3284,27,26,27,,21974.0,559.0,,33,33,34,,38.0,37.0,39.0,12.0,11.0,14.0,39.0,38.0,41.0,46.0,44.0,47.0,29.0,29.0,30.0,536856,17,16,17,,2401.0,61.0,1642,,2462.0,62.0,1607,,16219.0,410.0,244,,4781,,6652.0,2721.0,6426.0,4151.0,4544.0,38,,33.0,34.0,37.0,29.0,38.0,49,,50.0,49.0,37.0,39.0,50.0,2281635,2592088,88,88,88,,613029,1029918,60,59,60,,60655,1841206,3.3,,20,19,20,,26.0,18.0,40.0,31.0,15.0,104104,22404,4.6,,253186,953773,27,26,27,,4541,11.5,,16696,428,,18560.0,94.0,93.0,96.0,,99.0,95.0,104.0,35.0,30.0,40.0,89.0,85.0,94.0,44.0,41.0,47.0,104.0,102.0,106.0,8.2,,,,14,14,14,11,11,11,3,3,3,1,1,1,,82,82,83,,83.0,82.0,84.0,73.0,71.0,75.0,79.0,78.0,80.0,77.0,76.0,77.0,84.0,84.0,84.0,1760495,27,27,27,,
1,2,40001,Oklahoma,Adair,,455.0,12513.0,10817.0,14209.0,1.06,14785.0,12156.0,17415.0,,,,,,,,,,,,,,11347.0,8811.0,13883.0,,33,31,36,3.36,6.8,6.4,7.2,3.49,6.2,5.9,6.6,2.73,,7,6.0,8.0,-0.52,7.0,5.0,8.0,,,,,,,,,,8.0,6.0,10.0,32,29,35,2.77,43,33.0,54.0,1.46,6.6,0.3,22,16.0,30.0,-1.72,28,1.28,13,12,14,-2.16,6,20,30,18,42,0.44,116.0,529.5,0.67,60,53,66,2.11,64.0,54.0,73.0,,,,,,,53.0,35.0,78.0,55.0,45.0,68.0,4183,23,21,25,1.71,6.0,27.0,3680,0.68,6.0,27.0,3699,0.69,49.0,221.0,453,0.37,9748,2.15,9957.0,,,7626.0,9504.0,30,0.75,36.0,,,,25.0,48,-0.29,56.0,,,29.0,44.0,11562,14317,81,79,83,1.43,1802,5325,34,30,38,2.39,335,8061,4.2,0.72,33,23,43,1.72,47.0,,,54.0,31.0,73909,14506,5.1,0.93,1864,5990,31,26,36,1.32,19,8.6,0.98,100,454,1.38,108.0,98.0,79.0,116.0,-0.5,93.0,69.0,124.0,,,,,,,,,,113.0,85.0,146.0,9.1,0.98,No,-1.74,16,14,18,9,8,11,6,5,7,2,1,2,1.33,84,82,87,0.65,86.0,81.0,92.0,,,,,,,,,,82.0,77.0,87.0,7908,38,34,42,0.81,
2,3,40003,Oklahoma,Alfalfa,,89.0,7742.0,5330.0,10873.0,-1.28,,,,,,,,,,,,,,,,,,,,,19,16,21,-1.24,4.3,3.9,4.7,-1.25,4.6,4.2,5.0,-1.66,,6,4.0,8.0,-1.56,,,,,,,,,,,,,,,,21,18,24,-0.77,40,29.0,52.0,0.85,6.7,0.19,30,21.0,41.0,0.03,39,0.71,17,16,18,2.56,4,9,44,26,60,1.84,7.0,118.5,-1.96,30,20,43,-0.83,,,,,,,,,,,,,,,,680,19,16,21,0.16,2.0,35.0,2877,0.23,3.0,53.0,1901,-0.42,1.0,18.0,5702,1.19,4240,-0.54,,,,,,39,-1.0,,,,,,35,1.42,,,,,,3722,4371,85,82,88,0.25,685,1527,45,38,52,0.93,58,2819,2.1,-1.45,19,12,26,-0.53,,,,,,111406,27442,4.1,-0.84,163,1123,15,9,20,-2.09,14,24.3,-2.32,8,136,-0.69,31.0,107.0,72.0,151.0,-0.13,,,,,,,,,,,,,,,,7.2,-0.69,Yes,0.57,7,4,9,5,2,7,1,0,2,2,0,3,-1.83,78,74,82,-1.02,,,,,,,,,,,,,,,,2201,28,23,33,-0.22,
3,4,40005,Oklahoma,Atoka,,274.0,9587.0,7802.0,11371.0,-0.38,,,,,,,,,,,,,,,,,,,,,25,23,28,0.82,5.4,5.0,5.8,0.82,5.4,5.1,5.7,0.55,,9,7.0,10.0,0.9,6.0,3.0,9.0,,,,,,,,,,9.0,7.0,11.0,26,24,29,0.92,31,21.0,42.0,-0.86,5.8,1.24,30,21.0,40.0,-0.02,36,0.88,14,14,15,-0.44,10,31,32,23,42,0.66,93.0,669.7,1.57,51,43,60,1.28,47.0,33.0,66.0,,,,,,,,,,52.0,42.0,64.0,2087,20,18,22,0.74,2.0,14.0,6919,1.42,3.0,22.0,4586,0.92,161.0,1170.0,85,-3.0,9615,2.09,16152.0,,3940.0,,8540.0,29,0.94,36.0,,19.0,,28.0,40,0.76,42.0,,24.0,,40.0,8023,9641,83,81,85,0.77,1573,3524,45,40,49,0.96,214,4920,4.3,0.92,26,17,34,0.51,34.0,,,15.0,28.0,83467,16888,4.9,0.67,930,3102,30,24,36,1.09,16,11.6,0.36,15,105,-0.89,74.0,107.0,84.0,134.0,-0.11,,,,,,,,,,,,,,,,8.4,0.36,Yes,0.57,12,10,13,9,7,11,2,1,3,2,1,2,-0.08,80,77,84,-0.33,86.0,75.0,96.0,,,,,,,,,,78.0,74.0,81.0,4710,35,31,39,0.51,
4,5,40007,Oklahoma,Beaver,,65.0,9267.0,6053.0,13578.0,-0.53,,,,,,,,,,,,,,,,,,,,,21,19,24,-0.5,4.4,4.0,4.8,-0.98,4.7,4.4,5.1,-1.19,,7,4.0,9.0,-0.81,,,,,,,,,,9.0,4.0,14.0,6.0,3.0,9.0,20,17,23,-1.21,32,23.0,42.0,-0.72,7.6,-0.87,25,18.0,35.0,-1.0,2,2.7,15,14,16,0.55,3,15,20,7,35,-0.52,19.0,357.5,-0.43,19,12,28,-1.92,,,,,,,,,,27.0,14.0,47.0,16.0,8.0,27.0,902,21,19,24,1.14,,,nan,0.0,1.0,19.0,5311,1.05,,,nan,0.0,5769,0.21,,,,,,27,1.33,,,,,,39,0.89,,,,33.0,39.0,2978,3554,84,81,87,0.62,597,1196,50,42,58,0.26,57,2876,2.0,-1.53,16,10,22,-1.06,,,,10.0,19.0,89180,25102,3.6,-1.71,294,1407,21,13,29,-0.78,12,22.6,-1.95,3,55,-1.21,37.0,138.0,97.0,191.0,1.22,,,,,,,,,,,,,,,,5.7,-2.01,No,-1.74,9,6,12,7,4,11,1,0,2,0,0,2,-1.06,78,74,81,-1.05,,,,,,,,,,77.0,59.0,95.0,74.0,66.0,81.0,2423,23,18,27,-0.74,
5,6,40009,Oklahoma,Beckham,,410.0,11612.0,10003.0,13222.0,0.62,,,,,,,,,,,,,,,,,,,,,21,19,24,-0.41,4.7,4.3,5.1,-0.58,4.9,4.5,5.3,-0.74,,8,7.0,10.0,0.71,,,,,,,,,,8.0,5.0,10.0,9.0,7.0,10.0,21,19,24,-0.75,34,27.0,43.0,-0.22,7.8,-1.1,26,20.0,34.0,-0.82,65,-0.69,15,14,16,0.07,5,33,15,7,25,-0.99,109.0,500.2,0.48,53,46,59,1.43,53.0,27.0,95.0,,,,67.0,32.0,123.0,52.0,37.0,71.0,52.0,44.0,60.0,2866,17,15,19,-0.41,15.0,69.0,1447,-1.76,11.0,50.0,1987,-0.32,69.0,316.0,317,-0.01,4082,-0.61,,,,1596.0,3984.0,34,-0.03,33.0,,,33.0,33.0,53,-0.95,53.0,,29.0,52.0,53.0,12627,14772,85,83,88,0.17,3100,6236,50,42,57,0.29,332,10494,3.2,-0.3,29,22,36,1.04,,,87.0,50.0,16.0,102736,22065,4.7,0.18,1000,5559,18,11,24,-1.37,35,16.1,-0.59,43,177,-0.42,139.0,124.0,104.0,145.0,0.63,,,,,,,,,,61.0,29.0,113.0,143.0,118.0,169.0,6.5,-1.31,No,-1.74,9,6,11,6,3,8,3,1,5,0,0,0,-1.13,84,80,88,0.64,,,,,,,,,,82.0,68.0,95.0,85.0,82.0,87.0,8551,20,15,25,-0.97,
6,7,40011,Oklahoma,Blaine,,217.0,14727.0,11793.0,17662.0,2.14,,,,,,,,,,,,,,,,,,,,,23,20,26,0.05,4.9,4.5,5.4,-0.03,5.1,4.8,5.5,-0.17,,7,6.0,9.0,-0.49,,,,,,,,,,8.0,3.0,13.0,8.0,6.0,10.0,23,21,26,-0.07,35,28.0,44.0,-0.07,6.7,0.19,31,23.0,40.0,0.26,58,-0.31,15,14,15,-0.11,7,29,24,14,35,-0.12,31.0,326.4,-0.63,46,37,56,0.78,39.0,20.0,68.0,,,,,,,47.0,27.0,75.0,46.0,35.0,59.0,1210,16,14,18,-0.84,4.0,42.0,2371,-0.2,6.0,64.0,1572,-0.9,35.0,371.0,269,-0.24,2792,-1.24,1036.0,,,,2910.0,30,0.75,11.0,,45.0,,32.0,46,-0.03,48.0,,43.0,,46.0,5810,7025,83,79,86,0.91,1033,2473,42,35,49,1.34,95,4750,2.0,-1.51,22,13,30,-0.09,46.0,,,28.0,11.0,94768,22739,4.2,-0.66,583,1964,30,18,41,1.03,20,21.1,-1.64,13,133,-0.71,73.0,152.0,119.0,192.0,1.83,239.0,119.0,428.0,,,,,,,,,,150.0,113.0,196.0,7.3,-0.6,Yes,0.57,9,6,12,7,4,9,2,1,4,1,0,1,-0.89,89,86,91,1.78,,,,,,,,,,,,,,,,3469,25,19,30,-0.53,
7,8,40013,Oklahoma,Bryan,,834.0,10736.0,9642.0,11830.0,0.19,12287.0,9421.0,15154.0,,,,,,,,,,,,,,10790.0,9474.0,12106.0,,23,20,25,-0.04,5.0,4.6,5.4,0.04,5.2,4.8,5.6,0.0,,8,7.0,9.0,0.12,7.0,5.0,9.0,,,,12.0,5.0,18.0,8.0,5.0,11.0,8.0,7.0,9.0,25,22,28,0.32,33,28.0,39.0,-0.47,6.9,-0.05,30,24.0,36.0,-0.02,44,0.43,15,14,15,-0.13,23,66,35,29,41,0.91,260.0,561.3,0.87,43,39,47,0.48,52.0,43.0,62.0,,,,27.0,13.0,50.0,51.0,36.0,70.0,40.0,36.0,45.0,7375,20,18,22,0.49,20.0,42.0,2360,-0.21,18.0,38.0,2666,0.24,401.0,836.0,120,-2.11,9927,2.24,8744.0,,9200.0,12291.0,10026.0,35,-0.22,45.0,,25.0,29.0,34.0,46,-0.03,50.0,,25.0,35.0,46.0,26838,31065,86,85,88,-0.08,6505,11811,55,51,59,-0.42,650,21334,3.0,-0.42,20,13,26,-0.42,21.0,,79.0,27.0,20.0,90873,19477,4.7,0.19,2842,10901,26,22,30,0.29,49,10.4,0.61,92,206,-0.23,226.0,97.0,85.0,110.0,-0.53,95.0,66.0,132.0,,,,,,,,,,105.0,89.0,120.0,8.5,0.45,Yes,0.57,15,14,17,11,10,13,4,3,5,2,1,2,1.21,81,79,83,-0.12,77.0,71.0,83.0,,,,,,,73.0,64.0,82.0,82.0,80.0,85.0,19464,19,17,22,-1.06,
8,9,40015,Oklahoma,Caddo,,591.0,11540.0,10151.0,12929.0,0.58,18856.0,15111.0,22602.0,,,,,,,,,,,,,,9810.0,8173.0,11447.0,,25,23,27,0.74,5.1,4.8,5.5,0.34,5.2,4.9,5.5,0.07,,8,7.0,9.0,0.33,7.0,5.0,8.0,,,,,,,7.0,4.0,9.0,9.0,8.0,10.0,25,23,28,0.57,43,36.0,50.0,1.4,6.3,0.66,32,27.0,38.0,0.45,53,-0.07,14,14,15,-0.51,10,44,23,15,31,-0.26,155.0,531.3,0.68,42,37,47,0.41,46.0,37.0,56.0,,,,,,,44.0,32.0,58.0,40.0,33.0,47.0,4061,18,17,20,0.04,6.0,21.0,4830,1.05,5.0,17.0,5752,1.11,13.0,45.0,2212,1.08,5462,0.06,7184.0,,,6627.0,5210.0,29,0.94,19.0,,42.0,16.0,32.0,50,-0.56,48.0,,41.0,36.0,51.0,16742,19590,85,84,87,0.17,3190,7420,43,39,47,1.18,422,11768,3.6,0.13,29,21,37,1.05,45.0,,,26.0,17.0,89978,20230,4.4,-0.18,2220,7358,30,24,36,1.13,39,13.5,-0.04,76,259,0.11,185.0,127.0,109.0,145.0,0.73,152.0,114.0,198.0,,,,,,,60.0,30.0,107.0,135.0,111.0,160.0,7.6,-0.34,Yes,0.57,11,9,13,7,6,9,4,3,4,1,1,1,-0.28,83,82,85,0.37,78.0,75.0,80.0,,,,,,,74.0,46.0,100.0,85.0,83.0,88.0,11203,31,29,34,0.15,
9,10,40017,Oklahoma,Canadian,,1663.0,6733.0,6267.0,7200.0,-1.78,11932.0,9240.0,14624.0,,,,,,7129.0,4937.0,9962.0,,4360.0,3215.0,5781.0,,6852.0,6308.0,7397.0,,17,15,19,-1.8,4.0,3.6,4.4,-1.83,4.5,4.1,4.8,-1.89,,7,6.0,7.0,-0.84,7.0,5.0,9.0,7.0,4.0,9.0,10.0,7.0,12.0,5.0,4.0,6.0,7.0,6.0,7.0,18,16,21,-1.76,36,32.0,40.0,-0.01,8.2,-1.57,25,22.0,28.0,-1.12,84,-1.72,16,16,17,1.84,29,91,32,27,37,0.62,495.0,353.8,-0.46,21,19,23,-1.7,28.0,22.0,36.0,,,,33.0,24.0,44.0,24.0,19.0,29.0,20.0,18.0,22.0,16178,13,12,14,-1.94,55.0,38.0,2626,0.04,68.0,46.0,2181,-0.13,306.0,206.0,485,0.43,3828,-0.74,4486.0,,2490.0,,3895.0,44,-1.97,34.0,37.0,38.0,30.0,45.0,52,-0.82,41.0,53.0,38.0,41.0,53.0,84972,92966,91,90,92,-1.41,26749,41099,65,62,68,-1.74,2122,74245,2.9,-0.62,11,8,14,-1.77,10.0,1.0,18.0,31.0,7.0,125415,34519,3.6,-1.57,6881,36684,19,16,21,-1.21,97,6.7,1.38,573,432,1.24,500.0,71.0,65.0,77.0,-1.65,84.0,57.0,120.0,,,,49.0,26.0,84.0,27.0,16.0,43.0,79.0,71.0,86.0,8.5,0.45,Yes,0.57,11,10,12,8,7,9,2,2,3,1,1,1,-0.42,85,84,87,0.92,73.0,65.0,80.0,74.0,66.0,81.0,75.0,63.0,88.0,76.0,71.0,82.0,83.0,80.0,85.0,69794,35,33,37,0.48,
