,Unnamed: 0,FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low.1,95% CI - High.1,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths.1,Child Mortality Rate,95% CI - Low.2,95% CI - High.2,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths.2,Infant Mortality Rate,95% CI - Low.3,95% CI - High.3,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low.4,95% CI - High.4,% Frequent Mental Distress,95% CI - Low.5,95% CI - High.5,% Adults with Diabetes,95% CI - Low.6,95% CI - High.6,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low.7,95% CI - High.7,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low.8,95% CI - High.8,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low.9,95% CI - High.9,# Uninsured (Adults),% Uninsured (Adults),95% CI - Low (Adults),95% CI - High (Adults),# Uninsured (Children),% Uninsured (Children),95% CI - Low (Children),95% CI - High (Children),Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low.10,95% CI - High.10,Average Grade Performance (Math),Average Grade Performance (Asian) (Math),Average Grade Performance (Black) (Math),Average Grade Performance (Hispanic) (Math),Average Grade Performance (White) (Math),Average Grade Performance (Reading),Average Grade Performance (Asian) (Reading),Average Grade Performance (Black) (Reading),Average Grade Performance (Hispanic) (Reading),Average Grade Performance (White) (Reading),Median Household Income,95% CI - Low.11,95% CI - High.11,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low.12,95% CI - High.12,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths.3,Suicide Rate (Age-Adjusted),95% CI - Low.13,95% CI - High.13,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low.14,95% CI - High.14,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low.15,95% CI - High.15,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low.16,95% CI - High.16,% Broadband Access,Numerator,95% CI - Low.17,95% CI - High.17,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low.18,95% CI - High.18,% Female,# Rural,% Rural,Unnamed: 277
0,1,41000,Oregon,,79.9,79.8,80.0,78.8,77.7,80.0,85.8,85.2,86.4,77.1,76.4,77.8,86.0,85.4,86.7,79.5,79.4,79.6,47319.0,303.0,300.0,306.0,411.0,382.0,441.0,173.0,162.0,183.0,442.0,416.0,468.0,190.0,182.0,199.0,315.0,311.0,318.0,1414.0,41.0,38.0,43.0,49.0,32.0,71.0,34.0,26.0,43.0,56.0,44.0,70.0,40.0,36.0,45.0,40.0,37.0,42.0,1516.0,5.0,5.0,5.0,5.0,3.0,7.0,4.0,3.0,5.0,8.0,7.0,10.0,5.0,4.0,5.0,5.0,4.0,5.0,15,14,16,15,14,16,10,,,7050.0,198.0,498730,12,206232,5,1692.0,13.0,13.0,14.0,24.0,17.0,32.0,3.0,2.0,5.0,24.0,19.0,30.0,6.0,5.0,8.0,15.0,14.0,16.0,3136.0,11.0,11.0,11.0,18.0,14.0,22.0,4.0,3.0,5.0,9.0,7.0,12.0,8.0,7.0,9.0,12.0,11.0,12.0,33,31,34,258354,10,10,11,30334,3,3,4,92,1084,45725.0,79.0,7.0,6.0,7.0,2.9,3.3,,2.4,3.1,2.8,3.3,,2.3,3.0,66955,65940,67970,44324.0,39239.0,49409.0,78790.0,75332.0,82248.0,41773.0,38411.0,45135.0,52537.0,51226.0,53848.0,64384.0,64004.0,64764.0,49,61.0,33.0,3.0,3.0,3.0,5.0,3.0,8.0,2.0,1.0,2.0,11.0,9.0,14.0,3.0,2.0,3.0,3.0,2.0,3.0,4105.0,19.0,18.0,19.0,20.0,21.0,16.0,27.0,9.0,7.0,11.0,11.0,8.0,15.0,8.0,7.0,9.0,21.0,20.0,22.0,2612.0,13.0,12.0,13.0,14.0,10.0,19.0,4.0,3.0,6.0,15.0,12.0,19.0,5.0,4.0,6.0,14.0,14.0,15.0,6924,3673,396800,27.0,477,1005896,62,62,63,242821,15,15,16,86,1385086,86,86,4217737,20.5,18.2,82610,2.0,77115,1.8,204739,4.9,19245,0.5,566847,13.4,3165484,75.1,111860,3,3.0,3.0,50.4,726692,19.0,
1,2,41001,Oregon,Baker,77.5,76.0,79.0,,,,,,,,,,,,,,,,244.0,365.0,313.0,418.0,,,,,,,,,,,,,,,,14.0,111.0,61.0,186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13,16,16,14,18,13,9.0,18.0,11.0,80.0,2340,15,3076,19,,,,,,,,,,,,,,,,,,,,17.0,15.0,9.0,24.0,,,,,,,,,,,,,,,,35,33,36,824,10,8,12,117,4,2,5,118,849,378.0,79.0,,,,,,,,,,,,,,48530,44934,52126,,,,,,,,,,49917.0,10320.0,89514.0,46057.0,42259.0,49855.0,52,,17.0,,,,,,,,,,,,,,,,,,,30.0,34.0,22.0,50.0,37.0,,,,,,,,,,,,,,,,22.0,27.0,17.0,42.0,,,,,,,,,,,,,,,,55,50,1400,75.0,71,4893,71,68,74,870,13,10,16,76,5284,73,79,16124,19.8,26.5,102,0.6,251,1.6,150,0.9,24,0.1,761,4.7,14466,89.7,83,1,0.0,1.0,49.0,6616,41.0,
2,3,41003,Oregon,Benton,83.0,82.4,83.6,,,,98.7,86.7,110.7,,,,98.6,86.2,110.9,82.6,82.0,83.2,617.0,198.0,182.0,215.0,,,,,,,,,,,,,,,,19.0,32.0,19.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,14,14,12,15,6,4.0,8.0,55.0,67.0,9690,11,6055,7,13.0,5.0,3.0,8.0,,,,,,,,,,,,,,,,52.0,8.0,6.0,11.0,,,,,,,,,,,,,,,,32,30,33,4191,7,6,9,439,3,2,4,119,838,779.0,86.0,,,,3.1,,,2.4,3.3,3.0,3.5,,2.4,3.1,69148,63624,74672,56591.0,14738.0,98444.0,31208.0,23686.0,38730.0,,,,50345.0,24391.0,76299.0,65848.0,62411.0,69285.0,36,64.0,23.0,,,,,,,,,,,,,,,,,,,65.0,14.0,10.0,18.0,14.0,,,,,,,,,,,,,,,,39.0,9.0,6.0,12.0,,,,,,,,,,,,,,,,62,55,7200,16.0,232,20438,57,56,59,6415,19,17,20,90,32324,89,92,93053,16.1,16.8,994,1.1,823,0.9,6536,7.0,253,0.3,7252,7.8,74272,79.8,1128,1,1.0,2.0,49.9,16058,18.8,
3,4,41005,Oregon,Clackamas,81.1,80.8,81.4,103.2,67.9,138.5,86.9,85.0,88.8,80.3,77.3,83.3,86.0,83.7,88.3,80.8,80.5,81.0,3980.0,249.0,241.0,257.0,185.0,113.0,285.0,145.0,118.0,173.0,249.0,174.0,345.0,186.0,154.0,218.0,259.0,250.0,268.0,115.0,32.0,26.0,38.0,,,,,,,,,,34.0,20.0,54.0,32.0,25.0,39.0,128.0,4.0,4.0,5.0,,,,,,,,,,,,,,,,12,10,13,13,12,15,9,8.0,11.0,580.0,164.0,36840,9,11178,3,106.0,9.0,7.0,10.0,,,,,,,,,,,,,,,,250.0,9.0,8.0,10.0,,,,,,,,,,8.0,5.0,12.0,9.0,8.0,10.0,33,31,34,20404,8,7,9,2640,3,2,3,57,1765,5099.0,85.0,6.0,4.0,8.0,3.1,,,2.5,3.3,3.0,3.6,2.4,2.3,3.1,80539,75768,85310,67444.0,32041.0,102847.0,108845.0,92492.0,125198.0,38589.0,24706.0,52472.0,67083.0,61921.0,72245.0,81207.0,79552.0,82862.0,29,54.0,26.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,344.0,16.0,14.0,18.0,17.0,,,,,,,,,,9.0,5.0,14.0,17.0,15.0,19.0,222.0,11.0,9.0,12.0,,,,,,,,,,7.0,3.0,12.0,12.0,10.0,13.0,488,209,42300,16.0,347,111885,71,70,72,22157,14,13,15,88,138262,87,88,418187,21.2,18.8,4264,1.0,4550,1.1,20323,4.9,1210,0.3,37679,9.0,339296,81.1,7303,2,2.0,2.0,50.7,67974,18.1,
4,5,41007,Oregon,Clatsop,79.1,78.3,80.0,,,,,,,,,,94.6,73.9,115.2,78.9,78.0,79.8,562.0,335.0,304.0,365.0,,,,,,,,,,,,,,,,11.0,37.0,18.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12,15,15,14,17,9,7.0,13.0,63.0,184.0,4750,12,2256,6,21.0,18.0,11.0,27.0,,,,,,,,,,,,,,,,46.0,17.0,12.0,23.0,,,,,,,,,,,,,,,,34,32,36,2673,12,10,14,270,3,2,5,97,1031,385.0,77.0,13.0,6.0,20.0,2.9,,,2.6,3.0,2.8,,,2.3,2.9,59339,54309,64369,,,,41750.0,31041.0,52459.0,21184.0,7333.0,35035.0,49183.0,41969.0,56397.0,55470.0,51091.0,59849.0,52,63.0,34.0,,,,,,,,,,,,,,,,,,,46.0,24.0,17.0,32.0,24.0,,,,,,,,,,,,,,,,25.0,13.0,8.0,19.0,,,,,,,,,,,,,,,,116,71,3400,55.0,230,9826,62,60,64,1976,13,11,15,83,13108,81,85,40224,18.6,23.4,292,0.7,544,1.4,655,1.6,119,0.3,3476,8.6,34232,85.1,576,2,1.0,2.0,50.5,14435,39.0,
5,6,41009,Oregon,Columbia,79.7,78.9,80.5,,,,,,,,,,92.7,72.6,112.8,79.5,78.6,80.3,706.0,331.0,305.0,357.0,,,,,,,,,,,,,,,,18.0,41.0,24.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,16,16,14,17,13,10.0,17.0,53.0,119.0,6200,12,1906,4,21.0,13.0,8.0,21.0,,,,,,,,,,,,,,,,44.0,12.0,9.0,17.0,,,,,,,,,,,,,,,,37,36,39,2421,8,7,9,327,3,2,4,61,1636,637.0,81.0,13.0,8.0,19.0,2.7,,,2.2,2.8,2.4,,,2.0,2.5,72285,63980,80590,53092.0,26090.0,80094.0,26917.0,14143.0,39691.0,,,,48603.0,27572.0,69634.0,64440.0,60676.0,68204.0,42,,23.0,,,,,,,,,,,,,,,,,,,60.0,22.0,17.0,29.0,23.0,,,,,,,,,,,,,,,,41.0,16.0,11.0,22.0,,,,,,,,,,,,,,,,75,57,5200,25.0,163,14832,75,74,77,2207,12,10,14,85,16674,83,86,52354,20.8,19.2,341,0.7,809,1.5,596,1.1,127,0.2,2916,5.6,45990,87.8,317,1,0.0,1.0,49.9,21523,43.6,
6,7,41011,Oregon,Coos,76.8,76.2,77.5,85.5,78.6,92.5,,,,,,,85.6,79.4,91.8,76.3,75.6,77.0,1240.0,430.0,403.0,457.0,,,,,,,,,,278.0,183.0,404.0,448.0,419.0,477.0,14.0,30.0,16.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,18,17,16,19,14,11.0,18.0,68.0,122.0,9870,16,3156,5,25.0,13.0,8.0,19.0,,,,,,,,,,,,,,,,83.0,19.0,15.0,23.0,,,,,,,,,,,,,,,,34,33,36,4007,11,10,13,414,3,2,5,99,1008,919.0,61.0,7.0,3.0,12.0,2.7,,,2.5,2.8,2.5,,,2.4,2.6,49504,45191,53817,43523.0,22441.0,64605.0,,,,,,,41645.0,25298.0,57992.0,45946.0,42728.0,49164.0,58,57.0,20.0,5.0,3.0,7.0,,,,,,,,,,,,,,,,98.0,25.0,20.0,31.0,31.0,,,,,,,,,,,,,,,,61.0,19.0,15.0,25.0,,,,,,,,,,,,,,,,71,61,5400,24.0,182,17798,66,64,67,3584,14,12,16,78,21018,76,80,64487,18.3,26.5,295,0.5,1926,3.0,822,1.3,180,0.3,4392,6.8,54764,84.9,270,0,0.0,1.0,50.6,24179,38.4,
7,8,41013,Oregon,Crook,78.9,77.8,80.1,,,,,,,,,,,,,,,,347.0,334.0,294.0,373.0,,,,,,,,,,,,,,,,10.0,54.0,26.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,14,17,17,15,18,14,9.0,19.0,22.0,107.0,3190,14,1687,8,,,,,,,,,,,,,,,,,,,,29.0,18.0,12.0,26.0,,,,,,,,,,,,,,,,36,34,37,1450,11,9,13,207,4,3,6,61,1627,242.0,78.0,,,,3.1,,,2.7,3.1,2.8,,,2.5,2.9,58739,51203,66275,,,,74375.0,34173.0,114577.0,,,,41113.0,24419.0,57807.0,50713.0,45256.0,56170.0,50,,9.0,,,,,,,,,,,,,,,,,,,34.0,27.0,18.0,39.0,29.0,,,,,,,,,,,,,,,,28.0,24.0,16.0,35.0,,,,,,,,,,,,,,,,28,35,2100,30.0,100,6925,72,69,76,1317,14,11,18,81,7766,78,84,24404,19.8,25.2,91,0.4,424,1.7,170,0.7,26,0.1,1866,7.6,21475,88.0,80,0,0.0,1.0,50.4,10073,48.0,
8,9,41015,Oregon,Curry,77.9,76.6,79.1,,,,,,,,,,,,,,,,453.0,374.0,331.0,418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,16,16,14,17,12,8.0,17.0,14.0,69.0,3300,15,1139,5,11.0,16.0,8.0,29.0,,,,,,,,,,,,,,,,38.0,24.0,17.0,33.0,,,,,,,,,,,,,,,,34,33,36,1211,10,9,12,131,4,3,5,109,917,203.0,75.0,,,,2.9,,,2.3,3.0,2.6,,,2.3,2.8,51267,45881,56653,54120.0,10613.0,97627.0,34651.0,8026.0,61276.0,,,,60691.0,42235.0,79147.0,49655.0,44750.0,54560.0,58,56.0,16.0,,,,,,,,,,,,,,,,,,,53.0,36.0,25.0,49.0,47.0,,,,,,,,,,,,,,,,38.0,33.0,24.0,46.0,,,,,,,,,,,,,,,,40,37,1500,51.0,141,7526,71,68,75,1327,13,10,16,77,8119,74,80,22925,14.2,35.0,105,0.5,605,2.6,194,0.8,39,0.2,1707,7.4,19651,85.7,185,1,0.0,2.0,50.9,8662,38.7,
9,10,41017,Oregon,Deschutes,81.7,81.3,82.0,84.4,77.0,91.9,87.5,82.6,92.5,,,,86.1,82.1,90.1,81.5,81.1,81.9,1792.0,230.0,218.0,241.0,,,,,,,,,,197.0,149.0,255.0,232.0,220.0,244.0,49.0,32.0,24.0,42.0,,,,,,,,,,47.0,22.0,86.0,28.0,19.0,39.0,48.0,4.0,3.0,5.0,,,,,,,,,,,,,,,,13,11,14,14,12,15,9,7.0,10.0,125.0,76.0,19000,11,8288,5,48.0,8.0,6.0,11.0,,,,,,,,,,,,,,,,137.0,11.0,9.0,13.0,,,,,,,,,,,,,,,,34,32,36,11265,10,8,11,1277,3,2,4,109,919,2244.0,83.0,9.0,5.0,12.0,,,,,,,,,,,71880,65951,77809,,,,66935.0,54603.0,79267.0,,,,54503.0,45325.0,63681.0,68446.0,65950.0,70942.0,39,80.0,25.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,196.0,20.0,17.0,23.0,21.0,,,,,,,,,,,,,,,,126.0,14.0,11.0,16.0,,,,,,,,,,,,,,,,445,186,18200,35.0,209,49809,67,66,68,11867,16,15,18,89,65946,88,90,197692,19.8,20.5,920,0.5,2175,1.1,2525,1.3,307,0.2,16324,8.3,171681,86.8,1645,1,1.0,1.0,50.5,43603,27.6,
