,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,41000,Oregon,,,47319.0,5919.0,5835.0,6003.0,,9509.0,8607.0,10411.0,,3465.0,3188.0,3742.0,,8533.0,7925.0,9141.0,,3988.0,3801.0,4174.0,,6178.0,6078.0,6278.0,,18,17,20,,4.7,4.4,5.0,,4.8,4.5,5.1,,,7.0,6.0,7.0,,7.0,7.0,8.0,8.0,8.0,8.0,10.0,9.0,10.0,7.0,7.0,7.0,6.0,6.0,6.0,16,15,17,,29,,,,7.8,,17,,,,88,,19,18,21,,749,2378,31,30,33,,19224.0,464.0,,17.0,17.0,17.0,,24.0,21.0,27.0,5.0,5.0,6.0,23.0,21.0,25.0,30.0,29.0,31.0,13.0,13.0,14.0,285855,8,8,9,,3947,94,1062,,3489,83,1209,,23240.0,551.0,181,,2799,,4155.0,1958.0,5070.0,2738.0,2775.0,42,,36.0,35.0,37.0,34.0,42.0,44,,41.0,45.0,34.0,35.0,45.0,2629700,2898950,91,91,91,,791604,1131777,70,69.0,71.0,,78772,2104073,3.7,,14,13,15,,27.0,15.0,33.0,26.0,13.0,121648,26689,4.6,,180834,864572,21,20,22,,4280,10.2,,10027.0,249.0,,15566.0,75.0,74.0,76.0,,88.0,77.0,99.0,29.0,26.0,32.0,66.0,59.0,73.0,33.0,30.0,35.0,85.0,84.0,87.0,6.4,,,,19,19,19,16,16,16,3,3,3,2,1,2,,72,71,72,,70.0,67.0,73.0,67.0,66.0,68.0,63.0,61.0,66.0,68.0,67.0,69.0,74.0,73.0,74.0,1940955,30,30,30,,
1,2,41001,Oregon,Baker,,244.0,8541.0,6611.0,10471.0,0.97,,,,,,,,,,,,,,,,,,,,,19,17,22,-0.12,4.9,4.5,5.4,0.34,5.2,4.8,5.7,0.59,,7.0,6.0,9.0,0.54,,,,,,,,,,,,,,,,21,18,24,0.72,30,23.0,38.0,-0.48,6.2,1.45,25,18.0,33.0,0.96,73,0.55,21,20,22,0.27,11,28,39,30,49,0.92,33.0,205.6,-1.27,26.0,21.0,33.0,0.63,,,,,,,,,,,,,,,,931,8,7,10,-0.55,13,81,1231,-0.06,8,50,2016,0.78,108.0,670.0,149,-0.94,906,-2.46,,,,,,37,0.84,,,,37.0,38.0,38,0.19,,,,46.0,38.0,10894,11974,91,89,93,-0.44,2203,3559,62,54.0,70.0,-0.1,331,7120,4.6,0.25,22,13,31,1.12,,,,20.0,16.0,95697,21252,4.5,0.39,492,3117,16,10,21,-1.41,31,19.4,-1.9,43.0,264.0,0.66,109.0,136.0,110.0,161.0,1.59,,,,,,,,,,,,,,,,6.3,-0.26,Yes,0.78,15,12,18,12,9,14,3,2,4,2,0,3,-1.34,71,66,76,-0.85,,,,,,,,,,,,,,,,6000,14,11,18,-0.93,
2,3,41003,Oregon,Benton,,617.0,3923.0,3426.0,4420.0,-1.94,,,,,,,,,,,,,,,,,,,,,16,14,18,-1.32,4.1,3.7,4.5,-1.85,4.8,4.4,5.2,-0.92,,5.0,5.0,6.0,-1.57,,,,5.0,3.0,7.0,,,,6.0,4.0,8.0,5.0,4.0,6.0,15,12,17,-2.03,22,18.0,26.0,-2.18,8.1,-0.84,14,11.0,17.0,-1.88,90,-0.97,18,17,19,-1.59,10,40,25,17,34,-0.35,462.0,508.0,0.93,4.0,3.0,5.0,-2.17,,,,,,,,,,11.0,7.0,16.0,4.0,3.0,5.0,4559,6,5,7,-1.82,105,114,877,-0.94,67,72,1389,-0.21,923.0,992.0,101,-2.46,1645,-1.41,,,,2187.0,1572.0,48,-1.97,,61.0,,32.0,49.0,55,-1.75,40.0,60.0,,50.0,55.0,53096,55359,96,95,97,-1.64,18052,21199,85,81.0,90.0,-2.75,1415,48151,2.9,-1.61,11,8,15,-1.27,6.0,31.0,23.0,32.0,9.0,126892,22149,5.7,3.18,2566,14815,17,14,21,-1.04,116,12.6,-0.28,113.0,128.0,-0.71,247.0,55.0,48.0,61.0,-1.44,,,,,,,,,,,,,,,,7.0,0.44,Yes,0.78,22,20,24,19,17,21,2,2,3,2,1,2,1.84,67,65,68,-1.77,,,,57.0,50.0,65.0,,,,64.0,56.0,73.0,69.0,68.0,71.0,43301,19,17,21,-0.5,
3,4,41005,Oregon,Clackamas,,3980.0,5053.0,4797.0,5309.0,-1.23,,,,,2853.0,2078.0,3629.0,,4972.0,3217.0,7339.0,,3830.0,3121.0,4540.0,,5309.0,5015.0,5603.0,,15,13,17,-1.87,4.0,3.6,4.5,-1.99,4.6,4.2,5.1,-1.56,,6.0,6.0,6.0,-0.64,10.0,5.0,14.0,8.0,7.0,9.0,10.0,7.0,13.0,6.0,6.0,7.0,6.0,6.0,6.0,17,14,20,-1.08,28,25.0,30.0,-0.93,8.8,-1.68,16,14.0,18.0,-1.4,91,-1.05,22,21,23,0.85,68,173,39,36,43,0.92,1397.0,338.5,-0.3,10.0,9.0,10.0,-1.47,,,,,,,16.0,10.0,23.0,23.0,20.0,26.0,8.0,7.0,9.0,22782,7,6,7,-1.61,379,91,1098,-0.33,351,84,1191,-0.73,1378.0,330.0,303,0.68,2460,-0.25,2247.0,1001.0,2178.0,2892.0,2468.0,44,-0.95,29.0,38.0,34.0,33.0,44.0,48,-0.95,46.0,49.0,41.0,36.0,48.0,270981,290221,93,93,94,-1.02,76452,103920,74,72.0,76.0,-1.43,7425,219468,3.4,-1.13,7,5,10,-2.21,8.0,10.0,16.0,16.0,8.0,150908,36160,4.2,-0.36,14357,88793,16,15,18,-1.31,372,8.9,0.6,621.0,160.0,-0.39,1281.0,62.0,59.0,66.0,-1.15,,,,22.0,15.0,33.0,56.0,32.0,91.0,29.0,21.0,37.0,68.0,65.0,72.0,8.2,1.65,Yes,0.78,16,15,17,13,12,14,3,2,3,1,1,1,-0.72,76,75,77,0.27,60.0,50.0,70.0,75.0,71.0,79.0,77.0,67.0,87.0,69.0,65.0,72.0,75.0,74.0,77.0,201061,47,45,48,2.05,
4,5,41007,Oregon,Clatsop,,562.0,6880.0,5961.0,7798.0,-0.08,,,,,,,,,,,,,,,,,,,,,18,15,20,-0.69,4.4,4.0,4.9,-0.94,4.8,4.4,5.2,-0.96,,6.0,5.0,7.0,-0.25,,,,,,,,,,7.0,4.0,9.0,6.0,5.0,7.0,18,15,21,-0.51,32,26.0,39.0,-0.05,7.8,-0.47,21,16.0,26.0,-0.18,93,-1.25,21,20,23,0.58,14,48,29,22,37,0.02,145.0,370.1,-0.07,20.0,16.0,23.0,-0.23,,,,,,,,,,24.0,15.0,35.0,20.0,16.0,23.0,2915,10,8,11,0.33,26,65,1529,0.37,28,70,1437,-0.1,132.0,328.0,305,0.68,3421,1.12,,,,6856.0,3375.0,44,-0.95,,40.0,,38.0,44.0,41,-0.15,30.0,52.0,,28.0,41.0,26216,28475,92,91,93,-0.71,5892,9248,64,58.0,70.0,-0.31,726,19385,3.7,-0.73,16,9,22,-0.34,,33.0,,2.0,8.0,105348,26238,4.0,-0.72,1233,7400,17,12,21,-1.2,53,13.3,-0.45,57.0,163.0,-0.36,180.0,92.0,79.0,105.0,-0.04,,,,,,,,,,,,,,,,5.1,-1.47,Yes,0.78,16,14,18,13,11,15,2,1,3,2,1,3,-0.63,73,70,76,-0.45,,,,,,,,,,58.0,50.0,67.0,74.0,72.0,77.0,17728,22,19,25,-0.22,
5,6,41009,Oregon,Columbia,,706.0,6275.0,5489.0,7062.0,-0.46,,,,,,,,,,,,,,,,,,,,,18,16,20,-0.68,4.9,4.5,5.3,0.14,5.1,4.7,5.6,0.22,,6.0,5.0,7.0,-0.74,,,,,,,,,,7.0,4.0,11.0,6.0,5.0,7.0,21,18,24,0.55,34,28.0,40.0,0.28,8.1,-0.84,23,18.0,27.0,0.33,78,0.13,24,23,25,2.31,8,32,25,16,35,-0.35,160.0,309.0,-0.52,17.0,15.0,19.0,-0.57,,,,,,,,,,15.0,8.0,26.0,17.0,14.0,20.0,2714,6,5,7,-1.75,18,34,2910,1.2,31,59,1689,0.36,203.0,388.0,258,0.4,3141,0.72,,,,,,42,-0.44,42.0,50.0,,53.0,42.0,38,0.19,47.0,36.0,,23.0,39.0,33564,36756,91,90,93,-0.52,6950,12141,57,52.0,62.0,0.43,1097,24437,4.5,0.08,12,7,16,-1.22,,,,29.0,12.0,117650,27599,4.3,-0.15,2479,11002,23,17,28,0.19,38,7.3,1.0,65.0,133.0,-0.66,197.0,77.0,66.0,87.0,-0.61,,,,,,,,,,,,,,,,6.4,-0.16,Yes,0.78,14,12,16,12,10,14,2,1,2,2,1,2,-1.71,78,75,81,0.75,,,,,,,,,,,,,,,,21974,58,54,62,3.07,
6,7,41011,Oregon,Coos,,1240.0,8150.0,7366.0,8934.0,0.72,,,,,,,,,,,,,,,,,,,,,21,19,24,0.61,5.2,4.7,5.6,0.92,5.4,5.0,5.9,1.21,,6.0,6.0,7.0,-0.39,7.0,3.0,11.0,,,,,,,6.0,4.0,9.0,6.0,5.0,7.0,22,19,25,1.02,38,33.0,44.0,1.22,7.3,0.13,25,20.0,30.0,0.96,77,0.21,20,19,21,-0.12,18,49,37,29,44,0.69,165.0,258.3,-0.88,24.0,21.0,27.0,0.36,30.0,17.0,51.0,,,,,,,22.0,15.0,31.0,24.0,21.0,27.0,4389,9,8,11,0.24,58,90,1110,-0.3,59,91,1093,-1.07,274.0,425.0,235,0.22,4232,2.28,1964.0,3018.0,6856.0,3745.0,4211.0,40,0.08,39.0,47.0,,37.0,40.0,46,-0.72,52.0,45.0,38.0,44.0,46.0,42263,47579,89,88,90,0.08,7327,13443,55,49.0,60.0,0.74,1273,26147,4.9,0.49,22,13,30,1.1,19.0,,15.0,29.0,23.0,88750,19644,4.5,0.43,2390,11769,20,15,25,-0.33,82,12.7,-0.31,103.0,170.0,-0.29,376.0,118.0,106.0,130.0,0.91,,,,,,,,,,52.0,26.0,94.0,127.0,114.0,140.0,6.0,-0.57,Yes,0.78,18,16,20,15,13,17,3,2,4,2,1,2,0.12,77,74,80,0.55,87.0,73.0,100.0,,,,,,,78.0,66.0,90.0,78.0,75.0,81.0,24461,19,16,21,-0.54,
7,8,41013,Oregon,Crook,,347.0,7137.0,5802.0,8471.0,0.08,,,,,,,,,,,,,,,,,,,,,21,18,23,0.45,5.1,4.6,5.5,0.62,5.3,4.9,5.7,0.82,,7.0,6.0,8.0,0.62,,,,,,,,,,12.0,7.0,16.0,6.0,5.0,8.0,21,18,24,0.6,33,26.0,42.0,0.22,7.3,0.13,23,16.0,30.0,0.33,75,0.36,20,19,22,-0.1,9,20,45,34,55,1.43,104.0,449.8,0.5,27.0,22.0,32.0,0.66,,,,,,,,,,30.0,17.0,47.0,26.0,21.0,32.0,1643,9,8,11,0.13,7,29,3410,1.34,11,45,2219,0.98,114.0,467.0,214,0.02,2370,-0.38,,,,3577.0,2342.0,40,0.08,39.0,36.0,,33.0,40.0,41,-0.15,20.0,30.0,,33.0,41.0,15413,17124,90,88,92,-0.2,2981,5058,59,50.0,68.0,0.24,510,9593,5.3,0.98,17,10,24,0.02,,,,55.0,18.0,92752,25090,3.7,-1.44,1094,4557,24,15,33,0.54,27,11.3,0.03,74.0,346.0,1.49,119.0,103.0,84.0,121.0,0.37,,,,,,,,,,,,,,,,6.8,0.24,No,-1.25,19,15,23,15,11,18,5,2,7,2,1,3,0.66,79,75,83,0.98,,,,,,,,,,,,,,,,8777,39,33,46,1.37,
8,9,41015,Oregon,Curry,,453.0,7632.0,6106.0,9159.0,0.4,,,,,,,,,,,,,,,,,,,,,19,16,21,-0.33,4.7,4.3,5.2,-0.26,5.0,4.6,5.5,-0.14,,6.0,5.0,7.0,-0.89,,,,,,,,,,9.0,4.0,14.0,6.0,4.0,7.0,20,16,23,0.06,36,29.0,44.0,0.77,7.5,-0.11,26,20.0,33.0,1.16,92,-1.11,21,20,23,0.64,4,11,36,20,52,0.66,50.0,220.6,-1.16,22.0,17.0,27.0,0.01,,,,,,,,,,,,,,,,1331,9,8,10,-0.07,18,79,1267,0.0,14,61,1638,0.27,97.0,423.0,236,0.23,2506,-0.18,4330.0,,,,2444.0,32,2.12,31.0,30.0,,30.0,32.0,37,0.31,30.0,32.0,23.0,36.0,37.0,16527,18304,90,88,93,-0.27,2237,4100,55,44.0,65.0,0.74,463,8895,5.2,0.86,20,11,28,0.65,,,,22.0,10.0,97928,20440,4.8,1.05,640,3298,19,10,29,-0.55,21,9.2,0.54,23.0,108.0,-0.92,144.0,127.0,106.0,147.0,1.26,,,,,,,,,,,,,,,,5.7,-0.87,Yes,0.78,18,14,21,13,10,17,2,1,3,3,2,5,-0.09,74,68,80,-0.2,,,,,,,,,,,,,,,,7332,17,11,22,-0.7,
9,10,41017,Oregon,Deschutes,,1792.0,4773.0,4399.0,5147.0,-1.41,,,,,,,,,,,,,3935.0,2911.0,5202.0,,4813.0,4412.0,5214.0,,15,13,17,-1.7,4.1,3.7,4.5,-1.76,4.6,4.2,5.1,-1.61,,7.0,6.0,7.0,0.17,,,,9.0,5.0,12.0,,,,7.0,6.0,8.0,7.0,6.0,7.0,16,13,19,-1.33,26,22.0,29.0,-1.38,8.3,-1.08,16,13.0,18.0,-1.48,90,-0.98,22,21,23,1.08,25,94,27,21,32,-0.21,597.0,319.5,-0.44,13.0,12.0,14.0,-1.07,,,,,,,25.0,13.0,46.0,23.0,18.0,27.0,11.0,10.0,12.0,12431,8,7,9,-0.64,197,103,975,-0.64,164,83,1205,-0.69,928.0,469.0,213,0.01,2203,-0.61,1095.0,,5485.0,1441.0,2174.0,46,-1.46,43.0,49.0,58.0,36.0,46.0,54,-1.63,45.0,49.0,43.0,45.0,54.0,127053,135615,94,93,94,-1.1,35626,48860,73,69.0,77.0,-1.36,3732,96093,3.9,-0.58,11,8,15,-1.29,,,43.0,18.0,13.0,119701,29631,4.0,-0.66,7992,37781,21,18,25,-0.13,190,9.9,0.37,294.0,169.0,-0.3,724.0,78.0,72.0,83.0,-0.58,,,,,,,,,,25.0,15.0,40.0,83.0,77.0,89.0,7.0,0.44,No,-1.25,19,17,20,17,15,18,2,2,3,1,0,1,0.41,74,73,76,-0.08,,,,66.0,52.0,80.0,,,,78.0,72.0,83.0,74.0,73.0,76.0,89194,20,18,22,-0.42,
