,FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low,95% CI - High,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Adults with Diabetes,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low,95% CI - High,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low,95% CI - High,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured (Adults),% Uninsured (Adults),95% CI - Low (Adults),95% CI - High (Adults),# Uninsured (Children),% Uninsured (Children),95% CI - Low (Children),95% CI - High (Children),Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low,95% CI - High,Average Grade Performance (Math),Average Grade Performance (Asian) (Math),Average Grade Performance (Black) (Math),Average Grade Performance (Hispanic) (Math),Average Grade Performance (White) (Math),Average Grade Performance (Reading),Average Grade Performance (Asian) (Reading),Average Grade Performance (Black) (Reading),Average Grade Performance (Hispanic) (Reading),Average Grade Performance (White) (Reading),Median Household Income,95% CI - Low,95% CI - High,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths,Suicide Rate (Age-Adjusted),95% CI - Low,95% CI - High,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low,95% CI - High,% Broadband Access,Numerator,95% CI - Low,95% CI - High,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural,
1,42000,Pennsylvania,,78.4,78.4,78.5,96.4,92.0,100.9,88.8,88.2,89.4,74.4,74.3,74.6,83.1,82.7,83.5,78.7,78.6,78.7,165460,355,353,356,167,138,197,138,132,144,539,532,546,289,281,296,344,342,346,5183,49,47,50,,,,31,26,37,95,90,100,47,43,51,40,38,41,5929,6,6,6,,,,4,3,4,13,12,14,6,5,6,5,4,5,12,11,13,15,14,16,11,,,36144,331,1401920,11,581113,5,14180,37,36,38,29,18,44,5,4,7,41,40,43,33,31,35,38,37,39,8478,9,9,10,,,,3,3,4,8,8,9,7,7,8,10,10,10,39,37,40,569672,8,7,8,120358,4,4,5,125,799:1,138869,86,6,5,6,3.1,3.6,2.5,2.6,3.4,3.1,3.8,2.3,2.4,3.4,63455,62946,63964,40622,35851,45393,76682,74447,78917,38560,37977,39143,41725,40749,42701,66184,65927,66441,51,71,59,5,5,6,,,,1,1,2,29,28,30,8,7,9,2,2,2,9797,15,14,15,15,,,,7,6,8,8,7,8,7,6,8,16,16,17,7871,12,12,13,10,5,18,3,2,3,30,29,31,9,8,10,10,10,11,7132,15338,1220300,18,567,3480978,69,69,69,640448,13,13,13,82,4118706,81,82,12801989,20.6,18.7,1394630,10.9,50687,0.4,481877,3.8,9994,0.1,1000150,7.8,9693578,75.7,245223,2,2,2,51.0,2711092,21.3,
2,42001,Pennsylvania,Adams,79.9,79.3,80.4,,,,,,,79.0,73.1,85.0,84.6,79.6,89.5,79.8,79.2,80.4,1181,292,274,310,,,,,,,433,274,649,188,121,280,295,276,314,33,40,28,56,,,,,,,,,,,,,,,,34,5,3,7,,,,,,,,,,,,,,,,12,11,14,15,14,17,12,8,17,126,142,8360,8,2992,3,47,15,11,20,,,,,,,,,,,,,,,,75,10,8,13,,,,,,,,,,,,,,,,37,36,39,4605,8,7,9,1032,5,3,6,74,1355:1,1099,93,3,1,5,3.2,,2.9,2.8,3.3,3.2,,2.9,2.8,3.3,67706,62814,72598,75893,56312,95474,60050,39048,81052,,,,59147,52498,65796,68324,66002,70646,40,51,30,1,1,3,,,,,,,,,,,,,,,,73,14,10,17,14,,,,,,,,,,,,,,,,54,11,8,14,,,,,,,,,,,,,,,,64,114,9900,18,183,30692,78,77,79,3474,9,8,10,81,31860,80,82,103009,19.8,21.1,1692,1.6,432,0.4,881,0.9,49,0.0,7511,7.3,91400,88.7,1190,1,1,1,50.8,54431,53.7,
3,42003,Pennsylvania,Allegheny,78.1,77.9,78.2,83.3,77.3,89.3,86.4,84.8,87.9,72.4,71.9,73.0,90.0,86.9,93.1,78.9,78.7,79.0,16512,368,362,374,,,,148,125,170,613,591,635,144,115,178,341,334,347,491,54,49,58,,,,39,23,62,124,108,140,50,28,82,33,28,37,555,6,6,7,,,,,,,16,14,18,,,,3,3,4,11,10,12,14,12,16,9,8,10,2456,233,129450,11,69656,6,1749,48,46,50,,,,,,,54,47,60,18,10,29,49,47,52,544,6,6,7,,,,,,,9,8,11,,,,6,5,7,38,36,40,42145,6,5,6,6695,3,2,3,200,500:1,11609,90,4,3,5,3.4,3.8,2.6,3.2,3.6,3.4,4.2,2.5,3.1,3.7,64799,63188,66410,38354,23632,53076,74524,67864,81184,32898,31365,34431,56201,49981,62421,66586,65700,67472,49,64,50,8,8,9,,,,,,,44,40,48,,,,2,2,3,952,15,14,16,16,,,,9,6,14,11,9,13,7,3,13,15,14,16,872,14,13,15,,,,,,,47,42,52,,,,9,9,10,1030,1517,101600,25,643,348130,64,64,65,66812,13,12,13,84,454568,84,84,1216045,18.6,19.3,160336,13.2,1942,0.2,51114,4.2,438,0.0,27552,2.3,949804,78.1,9921,1,1,1,51.6,30416,2.5,
4,42005,Pennsylvania,Armstrong,76.6,75.8,77.3,,,,,,,,,,,,,,,,1091,419,392,446,,,,,,,,,,,,,,,,31,62,42,87,,,,,,,,,,,,,,,,28,6,4,9,,,,,,,,,,,,,,,,13,12,15,17,15,18,15,11,21,30,53,7730,12,1762,3,86,44,35,54,,,,,,,,,,,,,,,,73,16,12,20,,,,,,,,,,,,,,,,41,39,43,2761,7,6,8,550,4,3,6,85,1177:1,598,91,7,4,9,3.2,,,,,3.3,,,,,56259,52662,59856,,,,,,,32396,264,64528,55417,25924,84910,51490,49356,53624,67,73,42,3,1,5,,,,,,,,,,,,,,,,62,18,13,23,19,,,,,,,,,,,,,,,,50,15,11,20,,,,,,,,,,,,,,,,21,52,5800,13,130,21373,76,75,77,2529,9,8,10,75,21062,74,76,64735,19.1,22.6,559,0.9,96,0.1,189,0.3,8,0.0,524,0.8,62771,97.0,156,0,0,0,50.2,46526,67.5,
5,42007,Pennsylvania,Beaver,76.9,76.5,77.4,,,,,,,70.8,69.0,72.7,81.8,77.2,86.4,77.4,77.0,77.9,2696,411,394,427,,,,,,,697,606,789,,,,392,375,409,63,49,38,63,,,,,,,99,54,166,,,,41,30,55,82,7,6,9,,,,,,,,,,,,,,,,12,11,13,15,14,17,12,9,16,111,78,17780,11,20136,12,203,41,35,47,,,,,,,43,24,71,,,,41,35,47,104,9,7,11,,,,,,,,,,,,,,,,40,38,41,5537,6,5,7,1087,3,2,4,85,1171:1,3741,70,6,4,8,3.2,,2.6,3.0,3.4,3.2,,2.4,3.0,3.3,60323,56999,63647,,,,,,,31714,26344,37084,37045,23896,50194,60363,58583,62143,50,63,54,3,2,4,,,,,,,28,18,42,,,,1,1,2,125,14,11,17,15,,,,,,,,,,,,,,,,100,12,10,14,,,,,,,29,17,47,,,,11,9,14,109,206,14800,21,232,52043,73,72,74,6340,9,8,10,81,57470,80,81,163929,19.2,22.0,10366,6.3,295,0.2,969,0.6,69,0.0,2925,1.8,146026,89.1,523,0,0,0,51.4,44046,25.8,
6,42009,Pennsylvania,Bedford,78.3,77.4,79.2,,,,,,,,,,,,,,,,689,367,337,397,,,,,,,,,,,,,,,,17,45,26,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12,15,17,15,19,12,8,18,24,58,5450,11,1114,2,42,29,21,39,,,,,,,,,,,,,,,,61,18,14,23,,,,,,,,,,,,,,,,40,39,42,2306,8,7,10,459,5,3,6,94,1064:1,574,93,7,4,10,3.2,,,,,3.1,,,,,54251,50069,58433,,,,,,,115804,38702,192906,24907,10778,39036,50911,48754,53068,48,68,20,3,1,5,,,,,,,,,,,,,,,,55,21,16,28,23,,,,,,,,,,,,,,,,41,17,12,23,,,,,,,,,,,,,,,,1-4,31,4500,,53,15722,79,77,81,1739,9,8,11,73,14594,72,75,47888,19.1,23.4,292,0.6,93,0.2,213,0.4,20,0.0,601,1.3,46292,96.7,87,0,0,0,50.3,41698,83.8,
7,42011,Pennsylvania,Berks,79.3,79.1,79.6,,,,86.6,82.8,90.3,75.2,73.7,76.8,82.2,80.7,83.8,79.5,79.2,79.8,4733,317,308,326,,,,143,95,206,466,408,524,331,304,358,310,299,321,190,51,43,58,,,,,,,71,40,115,56,44,70,45,37,55,218,7,6,7,,,,,,,15,10,21,7,6,9,5,4,6,12,11,14,15,14,16,10,8,14,766,216,40130,10,14236,3,338,27,24,30,,,,,,,40,26,60,26,20,33,26,23,30,283,10,9,11,,,,,,,10,6,17,7,5,10,10,9,12,36,35,38,21320,9,8,10,4302,4,3,6,85,1170:1,5420,86,5,4,6,2.9,3.5,2.5,2.4,3.2,2.8,3.5,2.4,2.2,3.3,67418,64261,70575,30250,14381,46119,79107,51715,106499,50454,42226,58682,36841,34452,39230,70684,69302,72066,52,52,50,4,3,4,,,,,,,21,14,30,7,5,10,2,1,2,324,15,13,16,16,,,,,,,,,,5,3,8,17,15,19,222,11,9,12,,,,,,,21,13,32,7,5,10,11,9,13,286,458,44000,17,445,110655,72,71,72,18892,12,12,13,83,127790,82,83,421164,22.2,17.6,18057,4.3,3775,0.9,6691,1.6,757,0.2,94556,22.5,296090,70.3,16666,4,4,5,50.8,97660,23.7,
8,42013,Pennsylvania,Blair,77.1,76.6,77.6,,,,,,,72.9,69.3,76.5,,,,77.1,76.6,77.6,1872,395,376,414,,,,,,,579,403,806,,,,394,375,414,47,47,34,62,,,,,,,,,,,,,,,,56,6,5,8,,,,,,,,,,,,,,,,13,12,14,16,14,18,10,7,14,88,84,14910,12,10242,8,96,26,21,32,,,,,,,,,,,,,,,,121,14,11,16,,,,,,,,,,,,,,,,40,39,42,5049,7,6,8,999,4,3,5,172,580:1,1341,90,6,4,9,3.0,,2.7,3.2,3.0,3.0,,2.5,2.7,3.0,51004,47150,54858,,,,,,,28352,16702,40002,18456,4221,32691,49947,48400,51494,49,64,36,1,1,2,,,,,,,,,,,,,,,,93,15,12,19,15,,,,,,,,,,,,,,,,56,9,7,12,,,,,,,,,,,,,,,,102,230,11600,29,318,36377,70,68,71,5884,12,10,13,78,40887,77,80,121829,20.2,21.3,2307,1.9,197,0.2,854,0.7,35,0.0,1631,1.3,115153,94.5,326,0,0,0,51.0,29778,23.4,
9,42015,Pennsylvania,Bradford,78.2,77.5,79.0,,,,,,,,,,,,,,,,894,370,343,396,,,,,,,,,,,,,,,,23,43,27,65,,,,,,,,,,,,,,,,30,6,4,9,,,,,,,,,,,,,,,,13,12,15,16,15,18,16,12,20,31,61,6580,11,2351,4,45,25,18,33,,,,,,,,,,,,,,,,88,21,16,25,,,,,,,,,,,,,,,,41,39,43,2612,8,7,9,628,5,3,6,250,399:1,730,89,9,5,14,3.0,,,,,2.9,,,,,51356,48387,54325,29375,12558,46192,50824,20207,81441,,,,38269,24836,51702,52934,51292,54576,54,57,29,3,2,5,,,,,,,,,,,,,,,,64,20,15,26,21,,,,,,,,,,,,,,,,37,12,9,17,,,,,,,,,,,,,,,,64,67,6100,21,89,18520,74,73,75,2301,10,8,11,79,19831,78,81,60323,21.8,21.9,398,0.7,183,0.3,397,0.7,13,0.0,956,1.6,57714,95.7,139,0,0,0,50.4,45197,72.2,
10,42017,Pennsylvania,Bucks,79.9,79.7,80.1,,,,89.1,87.0,91.2,78.2,76.8,79.6,87.8,85.1,90.6,79.5,79.3,79.8,6940,292,284,299,,,,123,102,145,376,333,420,193,162,225,303,295,311,156,30,25,35,,,,,,,52,30,85,44,27,68,27,22,32,137,3,3,4,,,,,,,,,,5,3,7,3,2,4,10,9,11,13,12,14,11,9,14,547,101,44320,7,25035,4,748,40,37,43,,,,,,,22,13,34,26,17,38,44,41,47,352,8,7,9,,,,,,,11,7,17,7,4,11,8,7,9,35,34,37,23135,6,5,7,4063,3,2,4,69,1454:1,7182,93,3,2,4,3.4,3.8,2.7,2.9,3.4,3.4,3.9,2.6,2.8,3.5,93587,90008,97166,90335,26708,153962,112288,101890,122686,59151,53001,65301,56639,51466,61812,91928,90298,93558,27,54,36,2,1,2,,,,,,,12,8,18,,,,1,1,2,443,13,12,14,14,,,,,,,,,,,,,,,,202,6,6,7,,,,,,,10,6,17,,,,7,6,8,134,596,63600,11,497,183853,77,76,78,31733,14,13,14,89,212282,88,89,628270,20.2,19.2,25633,4.1,1732,0.3,32961,5.2,391,0.1,35660,5.7,523580,83.3,11218,2,2,2,50.9,55207,8.8,
