,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,42000,Pennsylvania,,,165460.0,7451.0,7395.0,7507.0,,3613.0,2708.0,4517.0,,2847.0,2667.0,3026.0,,11525.0,11324.0,11725.0,,6137.0,5965.0,6309.0,,7155.0,7092.0,7218.0,,18,16,19,,4.0,3.7,4.2,,4.7,4.4,5.0,,,8,8.0,8.0,,11.0,9.0,13.0,9.0,8.0,9.0,13.0,13.0,14.0,9.0,9.0,9.0,7.0,7.0,7.0,18,17,19,,31,,,,8.4,,22,,,,84,,20,19,22,,1515,5774,26,26,27,,59340,463.4,,17,16,17,,19.0,15.0,22.0,4.0,3.0,4.0,31.0,30.0,31.0,41.0,40.0,41.0,11.0,11.0,11.0,681152,7,6,7,,10371.0,81.0,1235,,9094.0,71.0,1408,,28178,220,454,,4464,,1485.0,2836.0,7244.0,5772.0,4231.0,45,,42.0,35.0,39.0,38.0,46.0,53,,50.0,55.0,41.0,44.0,54.0,8105322,8954232,91,90,91,,2083547,3174811,66,65,66,,284018,6491648,4.4,,17,16,17,,26.0,14.0,36.0,36.0,11.0,121700,25423,4.8,,683191,2650324,26,25,26,,15628,12.2,,40306,315,,56935,89,88,90,,46.0,35.0,60.0,24.0,22.0,26.0,98.0,96.0,100.0,59.0,57.0,61.0,93.0,92.0,94.0,9.0,,,,15,15,15,13,13,13,1,1,1,1,1,1,,76,76,76,,65.0,62.0,69.0,62.0,61.0,63.0,58.0,57.0,58.0,65.0,64.0,65.0,79.0,79.0,80.0,6081077,38,37,38,,
1,2,42001,Pennsylvania,Adams,,1181.0,6130.0,5533.0,6728.0,-1.05,,,,,,,,,,,,,,,,,,,,,17,15,19,-0.78,4.1,3.7,4.5,-0.34,4.8,4.4,5.2,-0.85,,8,7.0,8.0,0.03,,,,,,,15.0,9.0,21.0,5.0,4.0,7.0,8.0,7.0,8.0,20,17,23,-0.71,31,24.0,39.0,-0.36,8.9,-1.51,23,17.0,29.0,-0.4,61,0.88,21,20,22,0.06,14,62,23,16,30,-0.53,210,205.2,-0.55,16,15,18,-0.33,,,,,,,27.0,17.0,42.0,37.0,30.0,46.0,13.0,12.0,15.0,5561,7,6,8,0.17,54.0,53.0,1904,0.23,35.0,34.0,2943,0.88,97,94,1062,0.58,4106,-0.46,,8277.0,2519.0,1282.0,4093.0,47,-0.18,,25.0,50.0,31.0,48.0,57,-1.06,,59.0,42.0,37.0,57.0,63981,72022,89,88,90,0.39,12844,21881,59,56,62,-0.14,1819,55350,3.3,-1.86,10,7,13,-1.31,,,34.0,27.0,9.0,116559,31237,3.7,-1.39,3325,20736,16,13,19,-1.01,125,12.2,0.63,136,134,-0.52,372,73,65,80,-0.96,,,,,,,,,,33.0,17.0,58.0,77.0,69.0,85.0,7.3,-1.31,Yes,0.44,11,10,12,9,8,10,2,1,2,1,0,1,-0.7,82,81,83,0.37,,,,,,,,,,75.0,68.0,81.0,80.0,78.0,82.0,49843,40,38,43,0.55,
2,3,42003,Pennsylvania,Allegheny,,16512.0,7750.0,7565.0,7935.0,0.14,,,,,2932.0,2364.0,3500.0,,13993.0,13319.0,14668.0,,3772.0,2917.0,4799.0,,6872.0,6682.0,7062.0,,16,14,18,-1.12,3.8,3.4,4.2,-1.2,4.6,4.2,5.0,-1.39,,8,8.0,8.0,0.52,,,,9.0,8.0,9.0,14.0,13.0,14.0,8.0,6.0,9.0,7.0,6.0,7.0,18,16,22,-1.25,29,27.0,31.0,-0.95,8.2,0.1,20,18.0,21.0,-1.07,92,-1.29,22,21,23,0.83,80,323,25,22,28,-0.26,5660,462.8,0.94,12,12,12,-0.99,,,,4.0,3.0,5.0,35.0,34.0,37.0,13.0,10.0,16.0,6.0,6.0,7.0,48166,5,5,5,-1.41,1368.0,112.0,891,-0.67,1193.0,98.0,1019,-1.95,4247,349,286,-1.94,4815,0.35,,2810.0,7423.0,2375.0,4488.0,41,1.12,,31.0,33.0,39.0,42.0,49,0.06,,42.0,34.0,42.0,51.0,835612,883550,95,94,95,-1.75,264026,328931,80,79,81,-2.2,26828,649873,4.1,-0.76,14,12,17,-0.57,,11.0,39.0,21.0,8.0,123973,24260,5.1,1.71,57664,228686,25,24,26,0.57,1487,12.2,0.62,4856,395,1.48,6397,105,102,107,0.89,,,,24.0,18.0,30.0,133.0,125.0,141.0,39.0,29.0,51.0,105.0,102.0,107.0,12.7,2.55,No,-2.24,14,14,14,13,12,13,1,1,1,1,1,1,0.48,71,71,71,-1.91,,,,53.0,50.0,56.0,55.0,53.0,56.0,60.0,55.0,65.0,76.0,76.0,77.0,617871,40,39,40,0.49,
3,4,42005,Pennsylvania,Armstrong,,1091.0,9398.0,8452.0,10343.0,1.34,,,,,,,,,,,,,,,,,,,,,19,16,21,0.21,4.3,3.9,4.8,0.27,5.2,4.7,5.6,0.54,,8,7.0,8.0,0.01,,,,,,,,,,,,,,,,23,20,27,0.76,44,36.0,53.0,2.5,8.3,-0.13,34,27.0,42.0,2.28,79,-0.36,22,20,23,0.49,21,48,44,37,50,2.09,111,169.1,-0.76,22,19,24,0.52,,,,,,,,,,,,,,,,3271,6,6,7,-0.27,28.0,43.0,2331,0.38,20.0,31.0,3237,1.02,72,111,899,0.41,4155,-0.4,,,,,,44,0.47,,,,,,40,1.33,,,34.0,,40.0,43890,48600,90,89,91,-0.16,7932,14334,55,52,59,0.18,1636,32307,5.1,0.47,16,10,21,-0.23,,,,7.0,16.0,97315,22333,4.4,0.02,2766,12662,22,19,25,-0.01,127,19.5,-1.27,72,108,-0.72,400,122,110,133,1.86,,,,,,,,,,,,,,,,10.5,0.98,Yes,0.44,10,9,12,9,8,10,1,1,1,1,1,2,-0.86,83,82,85,0.68,,,,,,,,,,,,,,,,29130,45,43,48,1.03,
4,5,42007,Pennsylvania,Beaver,,2696.0,8676.0,8126.0,9227.0,0.81,,,,,,,,,15069.0,12467.0,17672.0,,,,,,8156.0,7594.0,8717.0,,17,15,20,-0.55,4.0,3.6,4.4,-0.56,5.0,4.6,5.5,0.02,,7,7.0,8.0,-0.15,,,,,,,12.0,10.0,14.0,8.0,5.0,12.0,7.0,6.0,7.0,21,18,24,-0.37,37,31.0,42.0,0.84,7.7,1.25,24,20.0,29.0,-0.02,84,-0.76,20,19,21,-0.75,11,65,17,11,24,-1.23,585,352.1,0.3,17,16,19,-0.15,,,,,,,35.0,28.0,42.0,25.0,16.0,39.0,15.0,13.0,16.0,6531,5,4,6,-1.32,70.0,42.0,2353,0.38,87.0,53.0,1884,0.04,189,115,867,0.37,4347,-0.18,,,5360.0,,4235.0,43,0.69,,36.0,38.0,17.0,43.0,47,0.35,,45.0,36.0,34.0,47.0,112926,121322,93,93,94,-1.19,26361,38106,69,66,72,-1.14,3805,84172,4.5,-0.24,18,14,22,0.14,,38.0,55.0,19.0,13.0,109831,24686,4.4,0.22,8509,32108,27,24,29,0.79,244,14.8,-0.06,437,265,0.49,803,97,90,103,0.42,,,,,,,119.0,92.0,150.0,,,,95.0,88.0,102.0,9.5,0.26,Yes,0.44,11,10,12,9,8,10,1,1,1,1,1,1,-0.74,81,81,82,0.27,,,,62.0,57.0,66.0,67.0,58.0,75.0,61.0,47.0,75.0,81.0,80.0,82.0,79453,39,37,40,0.36,
5,6,42009,Pennsylvania,Bedford,,689.0,8293.0,7241.0,9345.0,0.53,,,,,,,,,,,,,,,,,,,,,19,17,22,0.5,4.5,4.1,5.0,0.81,5.2,4.8,5.7,0.74,,6,5.0,6.0,-1.81,,,,,,,,,,,,,,,,24,20,27,0.87,31,23.0,39.0,-0.5,8.4,-0.36,27,20.0,34.0,0.58,62,0.76,20,19,21,-0.73,9,44,20,13,29,-0.8,63,130.0,-0.98,20,17,23,0.25,,,,,,,,,,,,,,,,2728,7,6,8,0.45,12.0,25.0,4015,0.65,22.0,46.0,2177,0.35,64,134,748,0.19,3735,-0.88,,,,,,44,0.47,,,,45.0,44.0,38,1.61,,,,40.0,38.0,31043,35299,88,87,89,0.73,4828,10079,48,44,51,0.9,1112,23622,4.7,0.0,14,9,19,-0.59,,,,23.0,14.0,91502,21900,4.2,-0.38,1442,9492,15,13,18,-1.16,88,18.3,-0.96,38,80,-0.93,238,99,86,111,0.54,,,,,,,,,,,,,,,,8.7,-0.31,Yes,0.44,11,9,12,9,8,10,2,1,2,1,1,1,-0.7,81,78,83,0.14,,,,,,,,,,,,,,,,21536,35,33,37,-0.04,
6,7,42011,Pennsylvania,Berks,,4733.0,6683.0,6386.0,6979.0,-0.64,,,,,,,,,10049.0,8416.0,11681.0,,6844.0,6253.0,7434.0,,6465.0,6100.0,6830.0,,19,17,22,0.46,4.0,3.7,4.4,-0.47,4.6,4.3,5.0,-1.27,,8,8.0,8.0,0.47,,,,10.0,7.0,12.0,13.0,11.0,14.0,9.0,9.0,10.0,7.0,7.0,7.0,20,17,22,-0.74,34,29.0,39.0,0.31,8.6,-0.82,22,18.0,27.0,-0.44,86,-0.85,21,20,22,0.0,57,212,27,23,30,0.0,1985,475.0,1.01,21,21,22,0.47,,,,,,,22.0,18.0,25.0,56.0,54.0,59.0,8.0,7.0,8.0,25252,7,7,8,0.48,262.0,62.0,1604,0.08,236.0,56.0,1785,-0.09,618,147,681,0.06,4232,-0.32,,3350.0,5871.0,7917.0,4030.0,43,0.69,,41.0,33.0,33.0,44.0,55,-0.78,,53.0,41.0,40.0,56.0,245782,283578,87,86,87,1.2,58186,99445,59,57,60,-0.12,9384,216147,4.3,-0.48,16,13,20,-0.17,51.0,14.0,30.0,37.0,7.0,120225,27554,4.4,0.03,25912,93617,28,26,29,0.99,479,11.4,0.83,1243,300,0.75,1542,74,70,77,-0.89,,,,30.0,15.0,56.0,83.0,66.0,102.0,46.0,40.0,53.0,82.0,77.0,86.0,11.3,1.55,Yes,0.44,15,14,16,13,13,14,1,1,2,1,1,1,0.89,80,79,81,-0.03,51.0,38.0,64.0,72.0,67.0,77.0,70.0,65.0,74.0,64.0,61.0,67.0,83.0,82.0,84.0,201319,33,32,34,-0.2,
7,8,42013,Pennsylvania,Blair,,1872.0,8038.0,7441.0,8635.0,0.35,,,,,,,,,11877.0,7686.0,17533.0,,,,,,7994.0,7382.0,8605.0,,18,16,21,0.04,4.2,3.8,4.7,0.09,5.2,4.8,5.7,0.64,,7,6.0,7.0,-0.64,,,,,,,8.0,4.0,11.0,13.0,6.0,19.0,7.0,6.0,7.0,24,20,27,0.85,32,26.0,39.0,-0.1,7.7,1.25,25,20.0,31.0,0.16,75,-0.12,21,20,23,0.32,17,73,23,17,30,-0.44,385,311.8,0.07,23,21,24,0.64,,,,,,,23.0,16.0,34.0,20.0,10.0,37.0,23.0,21.0,25.0,5970,6,5,7,-0.42,100.0,82.0,1225,-0.21,75.0,62.0,1624,-0.33,305,250,399,-0.96,5192,0.78,,11111.0,4751.0,,5140.0,41,1.12,,25.0,38.0,,41.0,43,0.91,,38.0,36.0,52.0,43.0,80887,88488,91,91,92,-0.57,17087,29244,58,55,62,-0.11,2691,59551,4.5,-0.24,22,17,27,0.92,,,57.0,39.0,18.0,95268,21041,4.5,0.4,5892,25103,23,21,26,0.27,227,18.5,-1.03,282,224,0.17,544,88,81,95,-0.07,,,,,,,83.0,43.0,145.0,,,,89.0,81.0,96.0,8.2,-0.67,No,-2.24,14,13,15,12,11,13,1,1,1,1,1,2,0.46,83,82,84,0.61,,,,,,,,,,58.0,45.0,70.0,85.0,84.0,86.0,55724,21,19,23,-1.4,
8,9,42015,Pennsylvania,Bradford,,894.0,7566.0,6722.0,8410.0,0.0,,,,,,,,,,,,,,,,,,,,,19,16,22,0.17,4.3,3.8,4.7,0.11,5.1,4.6,5.6,0.24,,6,6.0,7.0,-1.23,,,,,,,,,,,,,,,,23,19,26,0.43,39,34.0,46.0,1.47,8.4,-0.36,32,26.0,39.0,1.81,60,0.9,21,20,22,-0.15,17,61,28,21,35,0.12,136,223.5,-0.44,29,26,32,1.62,,,,,,,,,,,,,,,,3192,7,6,8,-0.08,58.0,95.0,1049,-0.41,32.0,53.0,1885,0.04,44,73,1371,0.79,5176,0.76,,,,,,50,-0.83,,,,,,47,0.35,,55.0,57.0,39.0,47.0,38799,43059,90,89,91,-0.08,6910,12950,53,50,57,0.37,1262,28959,4.4,-0.46,21,16,26,0.78,,56.0,47.0,45.0,18.0,98899,23886,4.1,-0.47,3114,13419,23,19,27,0.22,80,13.2,0.38,112,181,-0.16,289,95,84,106,0.33,,,,,,,,,,,,,,,,8.1,-0.74,Yes,0.44,11,10,12,9,8,10,2,1,2,1,1,2,-0.7,81,79,83,0.14,,,,,,,,,,,,,,,,26361,32,30,34,-0.27,
9,10,42017,Pennsylvania,Bucks,,6940.0,6261.0,6023.0,6500.0,-0.95,,,,,2552.0,1871.0,3233.0,,7368.0,6256.0,8480.0,,4429.0,3637.0,5221.0,,6566.0,6295.0,6837.0,,13,11,15,-2.54,3.1,2.8,3.5,-2.9,4.4,4.0,4.8,-1.99,,8,7.0,8.0,0.05,,,,9.0,8.0,10.0,11.0,10.0,13.0,8.0,7.0,9.0,7.0,7.0,7.0,16,13,19,-2.26,28,25.0,32.0,-1.08,9.1,-1.97,18,15.0,21.0,-1.47,89,-1.1,23,22,24,1.74,77,261,30,26,33,0.32,1540,245.1,-0.32,6,6,7,-1.89,,,,,,,15.0,12.0,18.0,21.0,18.0,24.0,5.0,4.0,5.0,26741,5,5,6,-1.23,531.0,85.0,1183,-0.25,547.0,87.0,1149,-1.46,1620,258,388,-1.04,4151,-0.41,,3232.0,5050.0,3138.0,4165.0,46,0.04,,40.0,42.0,38.0,47.0,60,-1.48,,58.0,47.0,52.0,61.0,420177,447515,94,94,94,-1.5,105170,142530,74,72,75,-1.58,13226,345279,3.8,-1.15,7,5,9,-1.9,11.0,7.0,12.0,20.0,5.0,169201,38901,4.3,0.0,22426,128649,17,16,19,-0.77,483,7.7,1.8,603,96,-0.81,2490,79,76,82,-0.57,,,,17.0,11.0,25.0,56.0,44.0,70.0,39.0,30.0,50.0,87.0,83.0,90.0,10.8,1.19,Yes,0.44,15,14,15,14,13,14,1,1,1,1,0,1,0.76,82,81,82,0.35,,,,71.0,70.0,73.0,76.0,74.0,78.0,73.0,71.0,75.0,82.0,82.0,83.0,325917,45,44,46,1.02,
