,Unnamed: 0,FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low.1,95% CI - High.1,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths.1,Child Mortality Rate,95% CI - Low.2,95% CI - High.2,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths.2,Infant Mortality Rate,95% CI - Low.3,95% CI - High.3,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low.4,95% CI - High.4,% Frequent Mental Distress,95% CI - Low.5,95% CI - High.5,% Adults with Diabetes,95% CI - Low.6,95% CI - High.6,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low.7,95% CI - High.7,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low.8,95% CI - High.8,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low.9,95% CI - High.9,# Uninsured (Adults),% Uninsured (Adults),95% CI - Low (Adults),95% CI - High (Adults),# Uninsured (Children),% Uninsured (Children),95% CI - Low (Children),95% CI - High (Children),Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low.10,95% CI - High.10,Average Grade Performance (Math),Average Grade Performance (Asian) (Math),Average Grade Performance (Black) (Math),Average Grade Performance (Hispanic) (Math),Average Grade Performance (White) (Math),Average Grade Performance (Reading),Average Grade Performance (Asian) (Reading),Average Grade Performance (Black) (Reading),Average Grade Performance (Hispanic) (Reading),Average Grade Performance (White) (Reading),Median Household Income,95% CI - Low.11,95% CI - High.11,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low.12,95% CI - High.12,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths.3,Suicide Rate (Age-Adjusted),95% CI - Low.13,95% CI - High.13,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low.14,95% CI - High.14,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low.15,95% CI - High.15,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low.16,95% CI - High.16,% Broadband Access,Numerator,95% CI - Low.17,95% CI - High.17,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low.18,95% CI - High.18,% Female,# Rural,% Rural,Unnamed: 277
0,1,45000,South Carolina,,77.1,77.0,77.2,94.5,87.6,101.4,89.7,88.2,91.2,74.5,74.3,74.6,88.0,86.9,89.2,77.6,77.5,77.7,76331,411,408,414,246.0,209.0,283.0,145.0,131.0,159.0,531,524,538,181.0,170.0,192.0,387,383,390,2644.0,60.0,58.0,62.0,,,,28.0,18.0,41.0,88.0,83.0,93.0,45.0,38.0,51.0,47.0,45.0,50.0,2735.0,7.0,7.0,7.0,,,,4.0,3.0,6.0,10.0,10.0,11.0,5.0,4.0,5.0,5.0,5.0,5.0,12,12,13,15,14,17,13,,,17405,406,600440,12,422111,9,3260.0,21.0,21.0,22.0,21.0,11.0,36.0,,,,11.0,10.0,12.0,6.0,4.0,7.0,28.0,27.0,29.0,6597,19,19,19,14.0,8.0,21.0,6.0,4.0,8.0,23.0,22.0,24.0,12.0,10.0,13.0,18.0,18.0,19.0,39,37,40,465919,16,15,16,54575,5,4,5,102,979,58725.0,81.0,7.0,6.0,7.0,2.9,3.5,2.4,2.6,3.2,2.9,3.7,2.4,2.7,3.2,56360,55385,57335,43861.0,39290.0,48432.0,66846.0,62318.0,71374.0,35092,34502,35682,44166.0,42275.0,46057.0,62388,61927,62849,62,46,42,9.0,8.0,9.0,7.0,3.0,13.0,3.0,1.0,4.0,20.0,19.0,21.0,5.0,4.0,6.0,4.0,4.0,5.0,4054.0,16.0,15.0,16.0,16.0,11.0,5.0,21.0,10.0,7.0,13.0,7.0,6.0,7.0,6.0,5.0,8.0,20.0,20.0,21.0,4541,18,18,19,17.0,10.0,27.0,6.0,4.0,8.0,23.0,22.0,24.0,7.0,6.0,9.0,17.0,17.0,18.0,4487,6821,443700,25.0,179,1333839,69,69,70,234642,13,13,13,78,1502931,78,79,5148714,21.6,18.2,1360342,26.4,28236,0.5,94111,1.8,5065,0.1,307118,6.0,3277542,63.7,68450,1,1.0,2.0,51.6,1557555,33.7,
1,2,45001,South Carolina,Abbeville,76.2,75.0,77.5,,,,,,,73.8,71.0,76.5,,,,77.2,75.9,78.6,429,445,399,491,,,,,,,533,434,631,,,,413,362,464,11.0,55.0,27.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,14,16,17,15,18,17,13.0,21.0,49,232,3540,14,150,1,14.0,19.0,10.0,32.0,,,,,,,,,,,,,,,,44,25,18,34,,,,,,,20.0,10.0,37.0,,,,27.0,19.0,38.0,43,41,44,2343,17,15,20,239,5,3,6,65,1533,217.0,84.0,,,,3.0,,2.8,,3.2,3.3,,3.0,,3.5,46499,42042,50956,,,,,,,24025,20124,27926,49487.0,46679.0,52295.0,46443,39968,52918,67,36,35,10.0,6.0,16.0,,,,,,,,,,,,,,,,22.0,19.0,12.0,29.0,18.0,,,,,,,,,,,,,,,,26,21,14,31,,,,,,,,,,,,,,,,21,27,2100,23.0,25,7248,75,72,78,1275,14,10,18,69,6643,65,73,24527,19.8,22.4,6726,27.4,85,0.3,89,0.4,5,0.0,402,1.6,16892,68.9,120,1,0.0,1.0,51.6,19972,78.6,
2,3,45003,South Carolina,Aiken,76.5,76.0,76.9,,,,90.4,81.1,99.6,74.0,73.1,75.0,87.5,83.0,91.9,76.7,76.2,77.3,2772,434,417,451,,,,,,,527,488,566,163.0,111.0,232.0,426,405,447,95.0,65.0,52.0,79.0,,,,,,,105.0,77.0,140.0,,,,46.0,32.0,62.0,93.0,7.0,6.0,9.0,,,,,,,10.0,8.0,14.0,,,,5.0,4.0,7.0,13,12,14,15,14,17,13,12.0,15.0,490,342,17640,11,11652,7,120.0,24.0,19.0,28.0,,,,,,,11.0,6.0,18.0,,,,31.0,25.0,36.0,210,18,16,20,,,,,,,23.0,17.0,29.0,,,,18.0,15.0,21.0,37,36,38,15283,16,14,17,1829,5,3,6,60,1659,1595.0,89.0,7.0,4.0,10.0,2.8,,2.4,2.6,3.1,2.7,,2.3,2.6,3.0,56824,50777,62871,97568.0,46367.0,148769.0,62404.0,14221.0,110587.0,39040,34988,43092,44685.0,38797.0,50573.0,58059,56188,59930,66,27,26,9.0,7.0,10.0,,,,,,,19.0,14.0,24.0,,,,6.0,4.0,8.0,180.0,21.0,18.0,24.0,21.0,,,,,,,6.0,3.0,11.0,,,,28.0,23.0,32.0,191,23,19,26,,,,,,,21.0,16.0,29.0,,,,25.0,21.0,29.0,163,217,14900,26.0,108,49051,73,71,74,7506,12,10,13,79,53250,78,80,170872,21.4,19.9,42338,24.8,965,0.6,2122,1.2,116,0.1,10087,5.9,112362,65.8,2493,2,1.0,2.0,51.7,59235,37.0,
3,4,45005,South Carolina,Allendale,72.4,70.4,74.3,,,,,,,72.1,69.7,74.5,,,,73.6,70.0,77.3,218,618,531,705,,,,,,,639,533,745,,,,588,434,780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,17,20,18,17,19,22,15.0,30.0,46,595,1640,18,1289,12,,,,,,,,,,,,,,,,,,,,17,26,15,42,,,,,,,,,,,,,,,,45,44,46,575,13,11,16,51,3,2,4,81,1241,101.0,73.0,,,,1.9,,,,,2.3,,,,,32147,28078,36216,,,,,,,22321,16447,28195,,,,48929,35404,62454,100,19,17,29.0,18.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,31,17,52,,,,,,,,,,,,,,,,12,10,700,31.0,27,2295,68,63,74,395,13,7,19,55,1866,49,62,8688,19.0,20.9,6280,72.3,36,0.4,74,0.9,5,0.1,322,3.7,1934,22.3,75,1,0.0,2.0,48.0,7112,68.3,
4,5,45007,South Carolina,Anderson,76.3,75.9,76.7,,,,84.2,79.9,88.5,74.8,73.7,75.8,96.4,82.5,110.3,76.3,75.8,76.7,3228,437,421,453,,,,,,,504,461,547,152.0,95.0,231.0,436,419,454,90.0,49.0,40.0,61.0,,,,,,,56.0,34.0,86.0,,,,49.0,38.0,62.0,111.0,7.0,6.0,8.0,,,,,,,11.0,8.0,15.0,,,,6.0,5.0,8.0,13,12,15,16,14,17,15,14.0,17.0,353,210,21350,11,21003,11,109.0,18.0,15.0,22.0,,,,,,,11.0,6.0,20.0,,,,21.0,17.0,25.0,298,22,19,24,,,,,,,16.0,11.0,22.0,,,,24.0,21.0,27.0,38,36,39,18094,15,14,17,2172,5,3,6,63,1582,2320.0,86.0,7.0,5.0,10.0,3.0,3.5,2.5,2.6,3.2,3.0,3.9,2.5,2.8,3.2,54496,50210,58782,39236.0,6629.0,71843.0,90341.0,59831.0,120851.0,33225,29393,37057,44858.0,30645.0,59071.0,55376,52870,57882,55,44,36,10.0,8.0,11.0,,,,,,,25.0,19.0,33.0,,,,6.0,5.0,8.0,188.0,19.0,16.0,22.0,19.0,,,,,,,7.0,4.0,13.0,,,,22.0,19.0,26.0,217,22,19,25,,,,,,,30.0,23.0,40.0,,,,21.0,18.0,24.0,185,211,18500,21.0,103,55081,72,71,73,7407,10,9,11,77,58826,75,78,202558,22.7,18.3,32328,16.0,689,0.3,2111,1.0,95,0.0,8080,4.0,156228,77.1,1486,1,1.0,1.0,51.9,70969,37.9,
5,6,45009,South Carolina,Bamberg,73.5,71.6,75.3,,,,,,,71.1,68.6,73.5,,,,77.2,74.6,79.9,326,606,533,678,,,,,,,702,600,805,,,,480,379,582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,17,17,16,18,21,16.0,28.0,92,742,2440,17,2233,14,,,,,,,,,,,,,,,,,,,,28,27,18,39,,,,,,,24.0,13.0,40.0,,,,35.0,19.0,60.0,42,41,44,1244,16,14,18,129,5,3,6,100,1005,160.0,80.0,,,,2.7,,2.6,,3.0,2.7,,2.6,,3.0,35364,30260,40468,,,,,,,25895,21228,30562,,,,52831,40015,65647,100,25,24,15.0,8.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,26,16,41,,,,,,,,,,,,,,,,9,1-4,1100,,54,3768,71,68,73,577,12,7,17,63,3341,56,69,14066,18.8,22.4,8391,59.7,60,0.4,76,0.5,9,0.1,320,2.3,5094,36.2,28,0,0.0,1.0,52.1,8714,54.5,
6,7,45011,South Carolina,Barnwell,73.6,72.2,75.0,,,,,,,72.0,69.9,74.1,,,,74.0,72.0,75.9,441,566,510,622,,,,,,,640,548,732,,,,536,461,612,16.0,79.0,45.0,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,17,17,16,19,18,14.0,22.0,122,696,3680,17,210,1,10.0,16.0,8.0,29.0,,,,,,,,,,,,,,,,37,25,17,34,,,,,,,30.0,18.0,46.0,,,,22.0,13.0,35.0,43,41,44,1816,15,13,17,215,4,3,6,58,1739,288.0,85.0,17.0,7.0,27.0,2.7,,2.3,,3.2,2.7,,2.4,,3.1,36675,31967,41383,,,,,,,23280,16699,29861,63667.0,57496.0,69838.0,50962,46069,55855,100,25,23,18.0,12.0,26.0,,,,,,,,,,,,,,,,10.0,9.0,4.0,17.0,9.0,,,,,,,,,,,,,,,,27,25,17,37,,,,,,,25.0,13.0,44.0,,,,27.0,15.0,45.0,43,56,2000,50.0,10,5815,70,66,73,1239,16,12,21,65,5461,60,70,20866,23.7,18.9,9062,43.4,138,0.7,206,1.0,4,0.0,558,2.7,10596,50.8,111,1,0.0,1.0,52.1,18672,82.5,
7,8,45013,South Carolina,Beaufort,82.9,82.4,83.4,,,,91.7,84.7,98.8,76.6,75.3,77.8,91.9,85.4,98.3,83.7,83.2,84.3,1940,254,241,267,,,,,,,475,434,517,107.0,78.0,143.0,225,210,240,62.0,44.0,34.0,56.0,,,,,,,91.0,62.0,128.0,,,,34.0,22.0,50.0,53.0,4.0,3.0,5.0,,,,,,,,,,,,,,,,11,10,12,13,12,14,8,7.0,10.0,362,222,15640,9,18361,11,86.0,15.0,12.0,19.0,,,,,,,13.0,7.0,22.0,,,,18.0,14.0,23.0,177,14,12,16,,,,,,,23.0,17.0,30.0,8.0,4.0,15.0,12.0,10.0,15.0,35,34,36,16125,17,15,18,2864,8,6,10,90,1117,1568.0,86.0,7.0,4.0,10.0,2.8,3.5,2.3,2.6,3.3,3.0,3.6,2.4,2.8,3.4,73890,69548,78232,,,,78013.0,53518.0,102508.0,34663,32341,36985,46549.0,40751.0,52347.0,79074,75970,82178,54,56,46,6.0,5.0,8.0,,,,,,,27.0,20.0,34.0,,,,2.0,1.0,3.0,118.0,13.0,10.0,15.0,13.0,,,,,,,7.0,3.0,13.0,,,,15.0,12.0,19.0,131,14,12,16,,,,,,,33.0,25.0,43.0,,,,11.0,8.0,14.0,142,154,13800,21.0,103,52424,73,72,75,10301,15,14,16,85,60621,84,86,192122,18.2,28.0,32993,17.2,809,0.4,2792,1.5,271,0.1,21319,11.1,131559,68.5,4281,2,2.0,3.0,51.0,31873,19.6,
8,9,45015,South Carolina,Berkeley,78.8,78.4,79.3,,,,98.7,87.2,110.3,77.2,76.3,78.2,85.7,81.5,89.9,78.7,78.2,79.2,2673,357,343,371,,,,133.0,88.0,192.0,426,394,457,182.0,136.0,240.0,353,336,369,95.0,45.0,37.0,55.0,,,,,,,57.0,39.0,80.0,,,,43.0,32.0,56.0,104.0,5.0,4.0,7.0,,,,,,,9.0,6.0,12.0,,,,4.0,3.0,6.0,12,11,13,14,13,16,14,12.0,15.0,456,249,19290,9,16632,9,139.0,21.0,17.0,24.0,,,,,,,12.0,7.0,19.0,,,,26.0,22.0,31.0,259,18,15,20,,,,,,,27.0,22.0,32.0,,,,16.0,13.0,18.0,38,37,39,20065,15,13,17,2619,5,3,6,47,2110,2456.0,84.0,8.0,5.0,10.0,3.0,3.4,2.6,2.6,3.3,2.8,3.3,2.3,2.6,3.1,68690,64919,72461,41250.0,12134.0,70366.0,71597.0,62206.0,80988.0,44351,41462,47240,51296.0,46101.0,56491.0,73334,71102,75566,56,29,26,7.0,6.0,8.0,,,,,,,15.0,11.0,20.0,,,,4.0,3.0,6.0,177.0,16.0,14.0,19.0,16.0,,,,,,,8.0,5.0,12.0,,,,20.0,16.0,23.0,175,16,14,19,,,,,,,17.0,13.0,23.0,,,,17.0,14.0,20.0,276,384,20800,32.0,150,55295,72,71,73,8738,12,11,13,82,63093,81,83,227907,23.8,14.2,54764,24.0,1545,0.7,6143,2.7,291,0.1,15903,7.0,144196,63.3,3137,2,1.0,2.0,50.4,51492,29.0,
9,10,45017,South Carolina,Calhoun,76.0,74.2,77.8,,,,,,,74.4,71.6,77.2,,,,75.9,73.3,78.6,263,450,389,511,,,,,,,537,433,641,,,,430,346,514,11.0,98.0,49.0,175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12,15,16,14,17,15,9.0,21.0,40,318,1840,13,46,0,,,,,,,,,,,,,,,,,,,,34,33,23,46,,,,,,,30.0,16.0,52.0,,,,34.0,20.0,53.0,39,38,41,1364,16,14,19,150,5,4,7,21,4851,122.0,88.0,,,,2.7,,2.6,,2.8,2.5,,2.3,,2.8,47090,41229,52951,48650.0,19771.0,77529.0,,,,37174,26322,48026,,,,56236,49192,63280,100,21,17,,,,,,,,,,,,,,,,,,,12.0,16.0,7.0,29.0,16.0,,,,,,,,,,,,,,,,14,19,10,32,,,,,,,,,,,,,,,,1-4,12,1100,,22,4963,80,77,83,753,13,9,17,69,4273,65,74,14553,18.7,23.9,5764,39.6,89,0.6,46,0.3,14,0.1,569,3.9,7944,54.6,53,0,0.0,1.0,52.0,15175,100.0,
