,Unnamed: 0,FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low.1,95% CI - High.1,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths.1,Child Mortality Rate,95% CI - Low.2,95% CI - High.2,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths.2,Infant Mortality Rate,95% CI - Low.3,95% CI - High.3,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low.4,95% CI - High.4,% Frequent Mental Distress,95% CI - Low.5,95% CI - High.5,% Adults with Diabetes,95% CI - Low.6,95% CI - High.6,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low.7,95% CI - High.7,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low.8,95% CI - High.8,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low.9,95% CI - High.9,# Uninsured (Adults),% Uninsured (Adults),95% CI - Low (Adults),95% CI - High (Adults),# Uninsured (Children),% Uninsured (Children),95% CI - Low (Children),95% CI - High (Children),Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low.10,95% CI - High.10,Average Grade Performance (Math),Average Grade Performance (Asian) (Math),Average Grade Performance (Black) (Math),Average Grade Performance (Hispanic) (Math),Average Grade Performance (White) (Math),Average Grade Performance (Reading),Average Grade Performance (Asian) (Reading),Average Grade Performance (Black) (Reading),Average Grade Performance (Hispanic) (Reading),Average Grade Performance (White) (Reading),Median Household Income,95% CI - Low.11,95% CI - High.11,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low.12,95% CI - High.12,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths.3,Suicide Rate (Age-Adjusted),95% CI - Low.13,95% CI - High.13,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low.14,95% CI - High.14,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low.15,95% CI - High.15,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low.16,95% CI - High.16,% Broadband Access,Numerator,95% CI - Low.17,95% CI - High.17,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low.18,95% CI - High.18,% Female,# Rural,% Rural,Unnamed: 277
0,1,46000,South Dakota,,78.9,78.7,79.1,65.5,64.7,66.3,84.2,81.4,86.9,87.0,78.4,95.7,91.3,85.8,96.8,80.2,80.0,80.4,10096.0,335.0,329.0,342.0,968.0,921.0,1015.0,150.0,110.0,200.0,326.0,266.0,386.0,181.0,145.0,216.0,290.0,284.0,297.0,575.0,67.0,61.0,72.0,151.0,129.0,173.0,,,,76.0,50.0,111.0,29.0,17.0,47.0,54.0,48.0,60.0,545.0,6.0,6.0,7.0,12.0,10.0,14.0,,,,11.0,8.0,15.0,4.0,3.0,7.0,5.0,5.0,6.0,9,8,10,9,8,11,10,,,610.0,85.0,95080,11,85872,11,216.0,8.0,7.0,9.0,20.0,15.0,26.0,,,,,,,,,,7.0,6.0,8.0,984.0,16.0,15.0,17.0,50.0,44.0,56.0,,,,12.0,7.0,19.0,11.0,7.0,17.0,13.0,12.0,14.0,30,28,32,68043,14,13,14,13134,6,5,7,159,629,10127.0,81.0,5.0,5.0,6.0,3.1,3.1,2.5,2.7,3.3,3.0,2.9,2.4,2.5,3.3,60414,58322,62506,27902.0,25874.0,29930.0,52786.0,45081.0,60491.0,38706.0,28855.0,48557.0,44967.0,39851.0,50083.0,61746.0,60854.0,62638.0,37.0,66.0,57.0,3.0,3.0,4.0,18.0,15.0,22.0,,,,8.0,4.0,14.0,,,,2.0,1.0,2.0,875.0,21.0,19.0,22.0,20.0,51.0,43.0,58.0,20.0,9.0,40.0,9.0,4.0,17.0,8.0,4.0,13.0,17.0,16.0,19.0,535.0,12.0,11.0,13.0,18.0,14.0,23.0,,,,13.0,7.0,22.0,,,,12.0,11.0,13.0,,2692,94700,28.0,192,233607,68,67,68,31625,9,9,10,81,277778,80,81,884659,24.5,17.2,19447,2.2,80004,9.0,13699,1.5,787,0.1,37351,4.2,721053,81.5,7834,1,1.0,1.0,49.5,352933.0,43.3,
1,2,46003,South Dakota,Aurora,80.0,77.1,82.9,,,,,,,,,,,,,,,,38.0,326.0,227.0,453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,11,10,9,12,21,12.0,34.0,,,240,9,631,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,28,31,270,18,15,20,73,11,8,14,73,1376,,,,,,,,,,,3.2,,,,,56360,49143,63577,,,,,,,,,,78036.0,32064.0,124008.0,65221.0,57638.0,72804.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-4,300,,9,890,75,65,85,51,4,1,8,72,856,68,77,2751,24.8,20.7,16,0.6,80,2.9,19,0.7,0,0.0,197,7.2,2415,87.8,58,2,0.0,4.0,47.1,2710.0,100.0,
2,3,46005,South Dakota,Beadle,78.8,77.5,80.2,,,,72.7,67.3,78.1,,,,,,,78.7,77.1,80.2,215.0,351.0,302.0,400.0,,,,,,,,,,,,,,,,10.0,50.0,24.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,12,11,10,12,9,6.0,13.0,7.0,47.0,2080,11,1402,8,,,,,,,,,,,,,,,,,,,,15.0,12.0,7.0,19.0,,,,,,,,,,,,,,,,31,30,32,1944,19,16,21,413,8,6,10,152,659,212.0,70.0,,,,2.9,2.6,,,3.2,2.7,2.2,,2.5,3.0,51844,44425,59263,,,,45386.0,36483.0,54289.0,,,,45104.0,23402.0,66806.0,53956.0,50905.0,57007.0,53.0,,51.0,,,,,,,,,,,,,,,,,,,19.0,23.0,14.0,37.0,21.0,,,,,,,,,,,,,,,,11.0,12.0,6.0,21.0,,,,,,,,,,,,,,,,,44,2100,21.0,181,4968,66,63,68,528,7,5,10,72,5447,69,75,18453,27.1,17.8,184,1.0,293,1.6,1861,10.1,82,0.4,1979,10.7,13872,75.2,1028,6,4.0,8.0,49.4,4761.0,27.4,
3,4,46007,South Dakota,Bennett,69.4,65.5,73.3,,,,,,,,,,,,,,,,68.0,756.0,581.0,967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,16,19,16,14,17,15,12.0,19.0,,,620,18,2036,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,32,35,504,27,23,31,96,8,6,11,267,374,,,,,,2.9,,,,,2.8,,,,,36345,31054,41636,36848.0,30605.0,43091.0,35625.0,23367.0,47883.0,,,,46354.0,45115.0,47593.0,54706.0,45227.0,64185.0,100.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,500,18.0,14,595,60,53,68,91,10,4,17,66,648,62,70,3365,33.8,13.3,19,0.6,1996,59.3,19,0.6,2,0.1,208,6.2,1092,32.5,20,1,0.0,2.0,50.7,3431.0,100.0,
4,5,46009,South Dakota,Bon Homme,80.4,78.5,82.4,,,,,,,,,,,,,,,,72.0,287.0,222.0,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,12,11,10,12,9,5.0,14.0,5.0,83.0,670,10,303,4,,,,,,,,,,,,,,,,,,,,10.0,20.0,10.0,38.0,,,,,,,,,,,,,,,,31,30,33,383,13,11,15,101,7,5,9,174,575,,,,,,3.2,,,,,3.3,,,,,52660,45876,59444,20882.0,396.0,41368.0,,,,,,,,,,55539.0,49304.0,61774.0,29.0,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,700,17.0,8,1864,74,71,76,170,7,4,10,72,1832,67,77,6901,19.4,20.8,89,1.3,575,8.3,18,0.3,3,0.0,214,3.1,5946,86.2,15,0,0.0,1.0,40.8,7070.0,100.0,
5,6,46011,South Dakota,Brookings,82.4,81.4,83.4,,,,,,,,,,,,,,,,205.0,217.0,186.0,247.0,,,,,,,,,,,,,,,,16.0,56.0,32.0,91.0,,,,,,,,,,,,,,,,21.0,7.0,4.0,10.0,,,,,,,,,,,,,,,,9,8,10,10,9,11,8,6.0,9.0,12.0,40.0,3170,9,5234,16,,,,,,,,,,,,,,,,,,,,19.0,8.0,5.0,12.0,,,,,,,,,,,,,,,,28,27,29,2222,11,9,13,354,5,3,6,80,1253,335.0,87.0,,,,3.1,,,,,3.0,,,,,59036,53695,64377,12406.0,3579.0,21233.0,,,,43711.0,29211.0,58211.0,47614.0,26945.0,68283.0,59494.0,55014.0,63974.0,21.0,49.0,22.0,,,,,,,,,,,,,,,,,,,23.0,15.0,9.0,23.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,3000,39.0,156,7628,59,57,61,1560,12,10,15,83,10721,80,86,35077,20.6,12.5,455,1.3,422,1.2,992,2.8,30,0.1,1226,3.5,31540,89.9,360,1,1.0,2.0,48.6,9483.0,29.7,
6,7,46013,South Dakota,Brown,81.1,80.2,82.0,,,,,,,,,,,,,,,,380.0,278.0,249.0,307.0,,,,,,,,,,,,,,,,11.0,29.0,15.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,11,10,9,12,12,10.0,14.0,12.0,37.0,3800,10,3008,8,,,,,,,,,,,,,,,,,,,,29.0,11.0,7.0,15.0,,,,,,,,,,,,,,,,32,30,33,2853,13,11,15,537,6,4,7,160,626,393.0,88.0,,,,3.4,,,,,3.2,,,2.1,3.4,61447,55942,66952,36439.0,28269.0,44609.0,55225.0,6131.0,104319.0,24649.0,5742.0,43556.0,,,,61063.0,57805.0,64321.0,31.0,61.0,42.0,,,,,,,,,,,,,,,,,,,28.0,15.0,10.0,22.0,14.0,,,,,,,,,,,,,,,,19.0,10.0,6.0,15.0,,,,,,,,,,,,,,,,,65,4100,16.0,219,10435,64,62,66,1506,9,7,12,80,13055,77,83,38839,23.7,17.9,842,2.2,1324,3.4,1088,2.8,96,0.2,1383,3.6,33469,86.2,276,1,0.0,1.0,50.7,10554.0,28.9,
7,8,46015,South Dakota,Brule,80.5,77.6,83.3,,,,,,,,,,,,,,,,63.0,332.0,251.0,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,13,12,11,13,8,4.0,14.0,,,670,13,674,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,30,33,539,19,16,22,154,11,8,15,170,589,82.0,84.0,,,,3.2,,,,,3.4,,,,,65008,59527,70489,44000.0,16677.0,71323.0,,,,,,,,,,60262.0,50176.0,70348.0,48.0,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,600,30.0,16,1376,62,57,66,137,7,3,10,72,1613,68,77,5297,25.8,19.7,29,0.5,530,10.0,20,0.4,2,0.0,171,3.2,4412,83.3,0,0,0.0,1.0,50.1,5255.0,100.0,
8,9,46017,South Dakota,Buffalo,64.5,60.1,68.9,,,,,,,,,,,,,,,,46.0,963.0,700.0,1293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,21,24,19,17,21,18,12.0,28.0,,,450,22,1374,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,38,41,304,28,24,33,41,5,3,7,153,654,,,,,,,,,,,,,,,,26671,23045,30297,27019.0,18240.0,35798.0,,,,,,,,,,51146.0,33855.0,68437.0,,,,,,,,,,,,,,,,,,,,,,12.0,139.0,72.0,242.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-4,300,,0,261,46,39,54,80,16,6,27,54,302,47,60,1962,38.7,7.5,13,0.7,1582,80.6,1,0.1,2,0.1,105,5.4,293,14.9,13,1,0.0,4.0,50.6,1912.0,100.0,
9,10,46019,South Dakota,Butte,77.3,75.5,79.0,,,,,,,,,,,,,,,,141.0,368.0,302.0,434.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,13,12,11,13,12,8.0,16.0,,,1150,11,884,9,,,,,,,,,,,,,,,,,,,,14.0,19.0,11.0,33.0,,,,,,,,,,,,,,,,30,29,32,908,16,13,19,173,7,5,9,58,1738,135.0,92.0,,,,2.8,,,,,2.6,,,,,50105,43078,57132,,,,,,,,,,30625.0,15755.0,45495.0,48680.0,41881.0,55479.0,45.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1200,42.0,94,3211,77,73,81,473,12,7,17,76,3158,70,81,10429,24.7,20.5,49,0.5,263,2.5,45,0.4,11,0.1,392,3.8,9495,91.0,3,0,0.0,1.0,49.0,4870.0,48.2,
