,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,46000,South Dakota,,,10096.0,7328.0,7117.0,7540.0,,23108.0,21865.0,24352.0,,3350.0,2371.0,4598.0,,7367.0,6072.0,8662.0,,4108.0,3326.0,4890.0,,5904.0,5695.0,6112.0,,13,12,15,,3.0,2.7,3.3,,3.3,2.9,3.6,,,7.0,6.0,7.0,,7.0,7.0,8.0,9.0,8.0,10.0,9.0,8.0,10.0,7.0,6.0,8.0,6.0,6.0,6.0,20,18,22,,32,,,,6.6,,22,,,,74,,24,22,27,,217.0,611.0,36.0,34.0,37.0,,4432.0,509.6,,24.0,23.0,25.0,,75.0,72.0,79.0,21.0,17.0,27.0,26.0,22.0,31.0,48.0,44.0,53.0,14.0,14.0,15.0,80090,11,11,12,,677.0,77.0,1303,,545.0,62.0,1623,,1676.0,189.0,528,,4189.0,,7069.0,3030.0,3188.0,2313.0,4058.0,50,,26.0,35.0,29.0,37.0,51.0,48,,26.0,45.0,33.0,37.0,50.0,525152,572393,92,91,92,,147536,215936,68,67.0,69.0,,15284,464003,3.3,,15,14,16,,56.0,24.0,29.0,24.0,9.0,107365,26116,4.1,,48484,212613,23,22,24,,1439,16.3,,3204.0,373.0,,3586.0,82.0,80.0,85.0,,206.0,191.0,220.0,34.0,21.0,50.0,52.0,39.0,67.0,36.0,28.0,47.0,73.0,70.0,76.0,5.0,,,,12,12,13,9,9,10,2,2,3,1,1,1,,81,80,81,,69.0,67.0,71.0,67.0,60.0,73.0,74.0,69.0,80.0,75.0,71.0,78.0,82.0,81.0,82.0,438297,15,15,16,,
1,2,46003,South Dakota,Aurora,x,,,,,0.0,,,,,,,,,,,,,,,,,,,,,13,11,15,-0.55,3.0,2.6,3.4,-0.61,3.1,2.8,3.5,-0.62,x,6.0,,,-0.01,,,,,,,,,,,,,,,,18,15,21,-0.57,31,22.0,42.0,-0.5,7.1,-0.11,21,13.0,30.0,-0.81,58,-0.22,25,23,26,0.63,2.0,7.0,29.0,9.0,50.0,-0.11,12.0,438.3,-0.13,,,,0.0,,,,,,,,,,,,,,,,336,16,13,18,0.69,,,nan,0.0,0.0,0.0,2751,1.11,2.0,73.0,1376,0.53,4774.0,0.25,,,,,,52,-0.51,,,,,,37,0.04,,,,,,1572,1806,87,84,90,0.59,422,601,70,60.0,81.0,-0.65,42,1527,2.8,-0.82,14,8,21,-0.45,,,,,,108800,32122,3.4,-0.85,94,645,15,8,21,-0.54,4,14.3,-0.04,1.0,18.0,-0.87,,,,,0.0,,,,,,,,,,,,,,,,5.2,0.25,No,-0.83,5,3,7,3,1,6,1,0,3,1,0,1,-1.06,73,67,79,-0.36,,,,,,,,,,,,,,,,1488,24,17,31,0.31,
2,3,46005,South Dakota,Beadle,,215.0,7483.0,6027.0,8939.0,-0.43,,,,,,,,,,,,,,,,,,,,,16,14,19,-0.03,3.4,3.0,3.7,-0.25,3.2,2.9,3.5,-0.44,,7.0,6.0,8.0,0.39,,,,12.0,8.0,15.0,,,,6.0,4.0,8.0,6.0,5.0,7.0,21,18,23,-0.21,37,29.0,44.0,0.42,7.9,-0.48,20,15.0,26.0,-1.04,68,-0.6,22,21,23,-0.66,7.0,12.0,58.0,45.0,69.0,1.0,47.0,258.9,-0.45,54.0,46.0,61.0,0.97,,,,72.0,50.0,101.0,,,,127.0,98.0,163.0,35.0,28.0,44.0,2328,15,13,17,0.57,10.0,53.0,1888,0.22,10.0,54.0,1845,0.0,53.0,287.0,348,-0.97,7387.0,1.67,,,,,,46,0.07,,,,33.0,46.0,54,-1.05,28.0,43.0,,16.0,56.0,10215,12112,84,82,87,1.19,2394,4382,55,47.0,63.0,0.66,303,9618,3.2,-0.53,16,9,22,-0.35,69.0,61.0,,22.0,17.0,96051,25979,3.7,-0.59,626,4905,13,7,19,-0.68,32,16.9,-0.4,48.0,258.0,0.64,71.0,77.0,60.0,97.0,-0.54,,,,,,,,,,,,,,,,5.4,0.46,No,-0.83,14,10,17,7,5,9,7,4,10,1,0,1,0.19,79,76,82,0.56,,,,,,,,,,,,,,,,8933,9,6,12,-1.11,
3,4,46007,South Dakota,Bennett,,68.0,19614.0,14136.0,26512.0,1.59,,,,,,,,,,,,,,,,,,,,,26,24,29,1.53,5.2,4.8,5.5,1.46,4.3,4.0,4.6,1.19,,6.0,4.0,8.0,-0.34,,,,,,,,,,,,,,,,32,29,35,1.7,42,36.0,47.0,1.2,2.0,2.25,25,21.0,29.0,0.12,4,1.78,22,21,23,-0.47,0.0,3.0,0.0,0.0,42.0,-1.18,43.0,1244.9,1.29,65.0,50.0,83.0,1.48,,,,,,,,,,,,,,,,592,20,17,23,1.9,,,nan,0.0,2.0,59.0,1683,-0.1,,,nan,0.0,5190.0,0.48,11536.0,,,,1847.0,25,2.09,14.0,,,,36.0,6,2.03,2.0,,,,5.0,1518,1887,80,75,86,2.04,347,830,42,33.0,51.0,1.75,59,1091,5.4,1.09,44,26,63,1.91,60.0,,,29.0,4.0,81636,19556,4.2,-0.19,592,1226,48,37,60,2.12,3,8.7,0.74,16.0,451.0,1.85,26.0,151.0,99.0,222.0,0.95,,,,,,,,,,,,,,,,3.6,-1.47,No,-0.83,21,16,26,10,4,15,12,7,17,3,0,5,1.19,73,68,77,-0.38,70.0,43.0,97.0,,,,,,,,,,80.0,72.0,88.0,1127,22,11,33,0.09,
4,5,46009,South Dakota,Bon Homme,,72.0,5493.0,3706.0,7842.0,-0.77,,,,,,,,,,,,,,,,,,,,,15,13,17,-0.2,3.4,3.1,3.8,-0.23,3.4,3.1,3.7,-0.19,x,5.0,3.0,7.0,-0.95,,,,,,,,,,,,,,,,21,18,24,-0.07,40,30.0,51.0,0.9,8.5,-0.76,24,17.0,32.0,-0.02,67,-0.55,25,24,27,1.01,1.0,8.0,13.0,1.0,35.0,-0.71,11.0,157.5,-0.63,8.0,4.0,14.0,-1.04,,,,,,,,,,,,,,,,477,11,9,13,-0.52,4.0,57.0,1745,0.09,3.0,43.0,2300,0.22,1.0,14.0,6901,0.94,4667.0,0.19,,,,,,59,-1.19,,,,,,31,0.43,,,,,,4408,5043,87,85,90,0.51,832,1758,47,41.0,54.0,1.28,91,2870,3.2,-0.52,17,10,23,-0.27,35.0,,,,12.0,97932,23364,4.2,-0.17,289,1338,22,13,30,0.02,15,21.5,-1.03,1.0,14.0,-0.89,32.0,92.0,63.0,130.0,-0.24,,,,,,,,,,,,,,,,5.9,1.0,Yes,1.19,8,5,11,5,2,7,1,0,3,3,2,5,-0.59,71,66,76,-0.63,,,,,,,,,,,,,,,,2757,25,21,30,0.43,
5,6,46011,South Dakota,Brookings,,205.0,4222.0,3377.0,5067.0,-0.98,,,,,,,,,,,,,,,,,,,,,12,10,14,-0.71,2.9,2.6,3.3,-0.72,3.0,2.6,3.3,-0.84,,5.0,4.0,6.0,-0.88,,,,10.0,5.0,16.0,,,,6.0,2.0,10.0,5.0,4.0,6.0,17,14,19,-0.86,30,27.0,33.0,-0.74,7.5,-0.29,16,14.0,18.0,-1.92,84,-1.18,22,21,23,-0.48,2.0,14.0,14.0,3.0,31.0,-0.65,134.0,391.2,-0.22,7.0,6.0,8.0,-1.08,,,,,,,,,,57.0,35.0,88.0,5.0,4.0,6.0,2537,9,8,11,-1.06,20.0,57.0,1762,0.11,16.0,46.0,2192,0.18,48.0,137.0,731,0.08,4494.0,0.1,,,,,,53,-0.61,,,,,,59,-1.37,,,,,,17570,18487,95,94,96,-1.17,6369,8022,79,72.0,86.0,-1.43,627,19138,3.3,-0.44,10,6,13,-0.82,85.0,,21.0,44.0,8.0,106848,25692,4.2,-0.2,1090,7051,15,9,22,-0.47,53,15.0,-0.14,39.0,114.0,-0.27,85.0,49.0,39.0,61.0,-1.1,,,,,,,,,,,,,,,,4.5,-0.51,No,-0.83,14,11,16,12,10,15,1,0,2,2,1,3,0.21,78,76,81,0.48,,,,,,,,,,60.0,41.0,79.0,81.0,78.0,83.0,19098,11,9,13,-0.96,
6,7,46013,South Dakota,Brown,,380.0,5168.0,4375.0,5961.0,-0.82,,,,,,,,,,,,,,,,,,,,,14,12,16,-0.36,3.4,3.0,3.7,-0.29,3.1,2.8,3.5,-0.59,,6.0,5.0,7.0,-0.18,6.0,3.0,10.0,10.0,5.0,14.0,,,,,,,6.0,5.0,7.0,18,15,22,-0.55,35,32.0,38.0,0.09,8.2,-0.62,22,20.0,25.0,-0.53,79,-1.01,21,20,22,-1.12,4.0,10.0,40.0,23.0,56.0,0.32,153.0,390.5,-0.22,16.0,13.0,18.0,-0.69,38.0,23.0,59.0,,,,,,,48.0,24.0,85.0,14.0,11.0,16.0,3341,11,9,12,-0.68,25.0,64.0,1573,-0.1,24.0,62.0,1618,-0.15,142.0,366.0,274,-1.52,4234.0,-0.04,10396.0,,,11454.0,4026.0,61,-1.38,47.0,,,23.0,61.0,56,-1.18,48.0,45.0,,28.0,57.0,23906,25708,93,92,94,-0.72,6573,9450,70,64.0,75.0,-0.6,643,20795,3.1,-0.58,10,6,14,-0.78,72.0,42.0,28.0,,7.0,107401,27056,4.0,-0.36,1625,9102,18,13,23,-0.28,65,16.5,-0.35,116.0,312.0,0.98,135.0,69.0,57.0,81.0,-0.7,,,,,,,,,,,,,,,,5.7,0.78,No,-0.83,12,9,14,10,8,12,1,1,2,1,0,1,-0.09,82,79,84,0.94,,,,,,,,,,,,,,,,20679,9,7,11,-1.14,
7,8,46015,South Dakota,Brule,,63.0,6889.0,4577.0,9956.0,-0.53,,,,,,,,,,,,,,,,,,,,,16,13,18,-0.13,3.6,3.2,4.0,-0.07,3.6,3.2,3.9,0.05,,6.0,4.0,8.0,-0.29,10.0,4.0,15.0,,,,,,,,,,5.0,3.0,7.0,21,18,24,-0.17,35,24.0,46.0,0.11,7.2,-0.16,27,19.0,36.0,0.56,63,-0.41,23,22,24,-0.21,0.0,1.0,0.0,0.0,66.0,-1.18,18.0,338.9,-0.31,20.0,13.0,30.0,-0.5,49.0,25.0,86.0,,,,,,,,,,12.0,6.0,21.0,685,17,14,19,0.94,8.0,153.0,654,-2.79,2.0,38.0,2649,0.34,6.0,113.0,883,0.25,3682.0,-0.34,,,,,,49,-0.22,38.0,,,,51.0,48,-0.66,51.0,,,,48.0,3177,3574,89,86,92,0.18,777,1108,70,58.0,82.0,-0.65,76,2451,3.1,-0.57,18,10,25,-0.18,15.0,,,,15.0,108300,25988,4.2,-0.19,238,1286,19,10,27,-0.23,8,15.3,-0.18,21.0,662.0,3.0,27.0,102.0,68.0,149.0,-0.03,,,,,,,,,,,,,,,,5.0,0.03,Yes,1.19,13,9,17,6,3,9,2,0,5,5,2,7,0.05,70,65,75,-0.83,,,,,,,,,,,,,,,,2889,13,10,17,-0.71,
8,9,46017,South Dakota,Buffalo,,46.0,23226.0,16085.0,32457.0,2.19,,,,,,,,,,,,,,,,,,,,,35,31,38,2.84,6.7,6.2,7.2,2.95,5.2,4.9,5.7,2.64,,9.0,6.0,12.0,1.79,,,,,,,,,,,,,,,,38,34,41,2.6,50,40.0,61.0,2.65,0.1,3.0,27,19.0,37.0,0.65,0,1.92,17,16,18,-2.57,2.0,3.0,67.0,39.0,82.0,1.32,38.0,1901.0,2.45,72.0,52.0,98.0,1.8,,,,,,,,,,,,,,,,343,19,16,22,1.57,,,nan,0.0,4.0,204.0,491,-3.0,6.0,306.0,327,-1.1,1204.0,-1.68,,,,,,46,0.07,42.0,,,,50.0,37,0.04,44.0,,,,13.0,807,1033,78,74,83,2.55,162,492,33,22.0,43.0,2.5,45,683,6.6,1.95,46,29,64,2.06,45.0,,,,23.0,70867,8924,7.9,2.96,315,767,41,31,51,1.55,0,0.0,1.94,,,0.0,27.0,266.0,176.0,388.0,3.0,,,,,,,,,,,,,,,,4.8,-0.18,No,-0.83,29,23,36,16,8,24,14,8,21,2,0,5,2.34,70,61,79,-0.78,,,,,,,,,,,,,,,,594,19,8,30,-0.18,
9,10,46019,South Dakota,Butte,,141.0,8231.0,6074.0,10388.0,-0.31,,,,,,,,,,,,,,,,,,,,,16,14,19,-0.03,3.5,3.1,3.9,-0.17,3.4,3.1,3.8,-0.15,,8.0,6.0,9.0,0.9,,,,,,,,,,,,,,,,22,19,26,0.11,33,27.0,39.0,-0.29,7.8,-0.43,22,17.0,28.0,-0.51,72,-0.75,23,22,24,-0.13,4.0,7.0,57.0,39.0,71.0,0.96,37.0,366.1,-0.26,30.0,23.0,38.0,-0.08,,,,,,,,,,,,,,,,1068,13,11,15,0.05,3.0,29.0,3407,0.93,6.0,58.0,1738,-0.07,4.0,38.0,2607,0.77,2261.0,-1.11,,,,,,43,0.36,58.0,,,,43.0,34,0.23,29.0,,,27.0,34.0,6317,6939,91,89,93,-0.29,1102,2205,50,38.0,62.0,1.06,171,5044,3.4,-0.36,18,10,25,-0.21,56.0,,,3.0,5.0,86970,21570,4.0,-0.31,685,2522,27,13,41,0.45,11,10.8,0.45,16.0,155.0,-0.01,36.0,70.0,49.0,97.0,-0.68,,,,,,,,,,,,,,,,4.5,-0.51,Yes,1.19,12,8,16,10,6,14,1,0,2,1,0,3,-0.03,70,64,76,-0.73,,,,,,,,,,,,,,,,4798,23,16,29,0.16,
