,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,47000,Tennessee,,,108615,9355,9272,9439,,3587.0,2735.0,4440.0,,3466.0,3103.0,3828.0,,12227.0,12000.0,12454.0,,4770.0,4520.0,5020.0,,9064.0,8969.0,9159.0,,21,20,23,,4.7,4.4,5.1,,5.2,4.8,5.6,,,9,9,9,,8.0,6.0,10.0,9.0,8.0,9.0,14.0,14.0,15.0,7.0,7.0,7.0,8.0,8.0,8.0,21,19,22,,33,,,,6.2,,27,,,,70,,17,16,19,,1278,5199,25,24,25,,38212,569.0,,29,29,29,,16.0,12.0,20.0,6.0,5.0,7.0,39.0,38.0,39.0,48.0,47.0,49.0,25.0,24.0,25.0,662260,12,12,12,,4849.0,72.0,1396,,3791.0,56.0,1801,,10769.0,158.0,634,,4915,,6112.0,2564.0,6234.0,4310.0,4773.0,41,,29.0,32.0,38.0,30.0,42.0,50,,42.0,47.0,38.0,37.0,52.0,4012265,4587393,87,87,88,,1074919,1749986,61,61,62,,113355,3344858,3.4,,19,19,20,,31.0,10.0,37.0,35.0,16.0,105727,22395,4.7,,427987,1500878,29,28,29,,7628,11.3,,40973,621,,31041,92,91,94,,37.0,26.0,51.0,30.0,26.0,34.0,85.0,83.0,87.0,39.0,36.0,42.0,100.0,98.0,101.0,8.8,,,,14,14,14,12,12,12,2,2,2,1,1,1,,83,83,83,,79.0,74.0,84.0,76.0,74.0,78.0,82.0,81.0,82.0,72.0,71.0,74.0,85.0,84.0,85.0,3066773,35,35,36,,
1,2,47001,Tennessee,Anderson,,1447,10513,9662,11364,0.11,,,,,,,,,11912.0,8094.0,16908.0,,,,,,10854.0,9937.0,11770.0,,21,18,24,-1.0,4.7,4.2,5.2,-1.12,5.3,4.8,5.8,-0.9,,9,8,10,0.35,,,,,,,12.0,8.0,16.0,5.0,2.0,7.0,9.0,9.0,10.0,24,20,28,-0.64,34,27.0,41.0,-0.24,7.2,0.43,28,22.0,35.0,-0.38,66,-0.67,15,15,16,-0.44,13,49,27,19,34,0.09,268,351.4,-0.25,33,30,36,-0.09,,,,,,,33.0,23.0,47.0,26.0,15.0,42.0,34.0,31.0,37.0,6990,12,10,13,-0.55,39.0,51.0,1961,-0.2,56.0,73.0,1375,-1.9,72.0,94.0,1069,-0.18,4421,-0.61,,,5657.0,,4430.0,48,-1.62,,50.0,53.0,75.0,48.0,58,-1.66,,67.0,52.0,62.0,58.0,47204,54265,87,86,88,-0.77,10306,17888,58,53,62,-0.79,1241,34949,3.6,-0.54,22,16,28,-0.11,,15.0,13.0,38.0,22.0,100322,21148,4.7,0.33,4834,16066,30,25,36,0.57,119,15.6,-1.55,251,401,0.05,421,110,100,121,0.47,,,,,,,74.0,40.0,127.0,,,,116.0,105.0,128.0,10.4,1.83,Yes,2.06,13,12,15,11,10,13,2,1,3,1,1,2,0.33,86,84,89,0.71,,,,87.0,77.0,98.0,88.0,85.0,91.0,67.0,49.0,86.0,90.0,88.0,92.0,31794,37,34,40,-0.19,
2,3,47003,Tennessee,Bedford,,833,9846,8867,10826,-0.28,,,,,,,,,10942.0,7919.0,14738.0,,6142.0,4081.0,8876.0,,10185.0,9020.0,11350.0,,25,22,27,0.18,5.3,4.8,5.7,-0.03,5.5,5.1,5.9,-0.42,,9,8,9,-0.25,,,,,,,14.0,10.0,17.0,6.0,4.0,8.0,9.0,8.0,10.0,26,23,29,-0.04,34,27.0,43.0,-0.06,7.7,-0.41,32,25.0,40.0,0.43,49,0.16,16,15,17,-0.12,18,43,42,34,49,1.58,175,363.7,-0.19,41,37,45,0.71,,,,,,,33.0,22.0,48.0,49.0,39.0,60.0,41.0,36.0,45.0,6029,15,13,17,1.36,15.0,31.0,3269,0.48,13.0,26.0,3824,0.51,34.0,68.0,1462,0.14,4566,-0.53,,,6778.0,6942.0,4423.0,42,-0.43,,,52.0,29.0,42.0,47,0.1,,46.0,33.0,34.0,48.0,26296,32037,82,80,85,0.35,5408,12394,44,39,48,0.54,786,21223,3.7,-0.35,19,12,26,-0.54,,,23.0,27.0,17.0,93976,24449,3.8,-1.4,3204,12270,26,21,31,0.0,39,8.0,0.46,200,425,0.17,196,81,70,93,-0.99,,,,,,,50.0,24.0,92.0,,,,94.0,80.0,108.0,9.2,0.48,No,-0.48,16,14,19,13,10,15,4,3,6,0,0,1,1.77,79,77,82,-1.64,,,,,,,85.0,73.0,96.0,53.0,42.0,63.0,81.0,79.0,83.0,21611,34,30,37,-0.51,
3,4,47005,Tennessee,Benton,,410,14216,11974,16458,2.24,,,,,,,,,,,,,,,,,,,,,27,24,31,1.05,5.9,5.3,6.4,1.16,6.0,5.5,6.5,0.95,,8,7,10,-0.57,,,,,,,,,,,,,,,,30,26,34,1.13,33,24.0,43.0,-0.35,6.8,1.1,26,18.0,35.0,-0.72,48,0.22,15,14,16,-0.58,8,20,40,28,51,1.4,49,306.5,-0.46,45,38,53,1.18,,,,,,,,,,,,,,,,1552,13,11,15,0.18,3.0,19.0,5395,0.88,3.0,19.0,5387,0.9,7.0,43.0,2309,0.46,5153,-0.19,,,,,,35,0.95,,,,,,50,-0.38,,,42.0,47.0,50.0,9719,11802,82,79,85,0.29,1503,3199,47,38,56,0.22,311,6964,4.5,0.61,28,18,38,0.84,,,,,,73911,15469,4.8,0.39,874,3149,28,18,38,0.24,17,10.5,-0.22,25,152,-1.15,117,145,119,172,2.22,,,,,,,,,,,,,,,,8.2,-0.64,No,-0.48,15,12,19,12,9,15,3,1,4,2,1,3,1.29,89,84,93,1.46,,,,,,,,,,,,,,,,5664,30,24,36,-0.83,
4,5,47007,Tennessee,Bledsoe,,248,7894,6366,9422,-1.4,,,,,,,,,,,,,,,,,,,,,27,23,30,0.81,5.7,5.2,6.2,0.83,5.8,5.3,6.2,0.42,,8,6,9,-1.12,,,,,,,,,,,,,,,,28,25,32,0.65,37,27.0,48.0,0.51,7.2,0.43,31,21.0,41.0,0.11,24,1.43,16,15,17,-0.08,5,14,36,21,50,0.98,146,992.1,2.84,38,30,46,0.38,,,,,,,,,,,,,,,,1660,18,15,20,3.0,1.0,7.0,14755,1.27,3.0,20.0,5021,0.83,4.0,27.0,3766,0.68,2991,-1.42,,,,,,40,-0.04,,,,,,37,1.71,,,,,,8341,11032,76,72,80,1.82,1493,4003,37,30,44,1.14,235,4346,5.4,1.79,41,31,50,2.88,,,,85.0,24.0,89020,16744,5.3,1.42,621,2786,22,14,31,-0.55,6,4.1,1.48,24,173,-1.05,78,106,84,132,0.24,,,,,,,,,,,,,,,,8.9,0.14,No,-0.48,14,10,18,8,5,11,3,1,6,3,1,5,0.8,76,66,86,-2.76,,,,,,,,,,,,,,,,5291,51,42,61,1.14,
5,6,47009,Tennessee,Blount,,2110,8763,8164,9362,-0.9,,,,,,,,,8565.0,5931.0,11968.0,,,,,,9084.0,8435.0,9733.0,,20,17,23,-1.46,4.7,4.2,5.2,-1.1,5.3,4.8,5.8,-0.92,,8,7,8,-0.91,,,,,,,13.0,9.0,17.0,6.0,4.0,8.0,8.0,7.0,8.0,22,18,25,-1.41,36,29.0,43.0,0.25,7.6,-0.24,25,20.0,30.0,-0.95,68,-0.75,17,16,18,1.26,30,105,29,24,34,0.29,582,447.9,0.22,26,24,28,-0.84,,,,,,,29.0,20.0,41.0,29.0,20.0,41.0,26.0,24.0,28.0,11788,11,10,13,-0.65,90.0,69.0,1459,-0.79,77.0,58.0,1728,-1.13,176.0,132.0,756,-0.67,4717,-0.44,,,8667.0,,4621.0,46,-1.22,,52.0,55.0,39.0,46.0,56,-1.34,,60.0,44.0,44.0,57.0,82880,92995,89,88,90,-1.26,17639,30202,58,55,62,-0.87,2043,64115,3.2,-1.0,14,9,19,-1.35,,6.0,17.0,32.0,14.0,106893,25442,4.2,-0.71,5484,26470,21,17,24,-0.77,137,10.4,-0.2,449,354,-0.18,587,90,83,98,-0.54,,,,,,,52.0,26.0,92.0,,,,95.0,87.0,103.0,8.6,-0.19,No,-0.48,12,10,13,10,9,12,1,1,2,1,0,1,-0.46,87,85,88,0.88,,,,,,,93.0,64.0,100.0,84.0,74.0,95.0,87.0,85.0,89.0,60295,36,33,38,-0.3,
6,7,47011,Tennessee,Bradley,,1673,8450,7840,9059,-1.08,,,,,,,,,10329.0,7666.0,13618.0,,,,,,8587.0,7920.0,9253.0,,22,19,25,-0.6,5.0,4.6,5.6,-0.46,5.4,5.0,5.9,-0.61,,9,8,9,-0.11,,,,7.0,3.0,11.0,13.0,10.0,16.0,7.0,6.0,9.0,9.0,8.0,9.0,25,21,28,-0.58,37,33.0,42.0,0.51,7.1,0.6,30,26.0,35.0,0.0,77,-1.19,16,15,17,-0.05,17,63,27,20,34,0.13,443,419.7,0.08,30,28,32,-0.44,,,,,,,28.0,21.0,38.0,48.0,38.0,58.0,29.0,27.0,31.0,11670,14,12,15,0.7,55.0,52.0,1940,-0.22,54.0,50.0,2002,-0.72,110.0,102.0,983,-0.28,5048,-0.25,,,4275.0,1600.0,5098.0,43,-0.63,,35.0,47.0,36.0,44.0,46,0.27,,30.0,38.0,30.0,46.0,61456,72026,85,84,87,-0.39,15187,26465,57,53,61,-0.77,1811,52465,3.5,-0.67,17,12,23,-0.83,,,15.0,40.0,21.0,97862,22660,4.3,-0.49,6026,23345,26,22,30,-0.04,147,13.8,-1.08,576,554,0.79,419,79,72,87,-1.09,,,,,,,68.0,41.0,106.0,42.0,23.0,71.0,84.0,76.0,92.0,10.2,1.61,No,-0.48,14,12,16,11,10,13,3,2,3,1,1,1,0.65,83,81,84,-0.53,,,,,,,76.0,68.0,83.0,81.0,75.0,88.0,84.0,82.0,86.0,48153,26,24,28,-1.21,
7,8,47013,Tennessee,Campbell,,1010,13968,12625,15310,2.1,,,,,,,,,,,,,,,,,,,,,27,23,31,0.92,5.7,5.2,6.3,0.9,6.1,5.6,6.7,1.33,,10,9,11,0.89,,,,,,,,,,,,,,,,29,25,33,0.97,31,23.0,39.0,-0.75,6.6,1.44,31,23.0,40.0,0.28,65,-0.62,15,14,16,-0.85,8,41,20,12,28,-0.59,112,282.5,-0.58,45,41,50,1.2,,,,,,,,,,,,,,,,4041,13,11,15,0.4,19.0,48.0,2083,-0.1,11.0,28.0,3622,0.43,20.0,50.0,1992,0.37,6646,0.65,,,,,,41,-0.23,,,,,,41,1.07,,,,,,22149,28665,77,75,80,1.45,4009,9352,43,37,48,0.61,687,14978,4.6,0.76,31,22,40,1.36,,,,44.0,30.0,81580,16692,4.9,0.6,2198,8223,27,22,32,0.09,39,9.9,-0.05,167,419,0.14,217,109,95,124,0.41,,,,,,,,,,,,,,,,9.8,1.16,No,-0.48,11,9,13,10,8,12,1,0,1,1,1,2,-0.84,83,80,86,-0.49,,,,,,,,,,,,,,,,15098,44,39,49,0.48,
8,9,47015,Tennessee,Cannon,,306,12151,10048,14255,1.05,,,,,,,,,,,,,,,,,,,,,24,21,27,-0.12,5.3,4.8,5.8,-0.02,5.8,5.3,6.2,0.32,,9,7,10,-0.07,,,,,,,,,,,,,,,,27,24,31,0.28,39,27.0,50.0,0.84,8.1,-1.08,26,17.0,37.0,-0.76,21,1.56,16,15,18,0.47,10,23,43,33,53,1.74,33,232.1,-0.82,32,26,40,-0.19,,,,,,,,,,,,,,,,1464,13,11,14,0.04,3.0,21.0,4821,0.81,4.0,27.0,3670,0.45,2.0,14.0,7339,0.84,5949,0.26,,,,,,41,-0.23,,,,,,48,-0.06,,,47.0,,48.0,8571,10139,85,82,87,-0.21,1541,3494,44,36,52,0.49,205,6686,3.1,-1.15,20,12,27,-0.49,,,,13.0,27.0,92470,21297,4.3,-0.44,579,3019,19,11,27,-0.99,12,8.3,0.36,25,177,-1.03,103,145,117,173,2.18,,,,,,,,,,,,,,,,8.8,0.03,No,-0.48,10,7,13,7,5,10,2,0,3,1,0,2,-1.45,86,83,90,0.77,,,,,,,,,,,,,,,,6380,63,54,71,2.17,
9,10,47017,Tennessee,Carroll,,593,10153,8813,11493,-0.1,,,,,,,,,,,,,,,,,,,,,25,22,28,0.26,5.3,4.9,5.8,0.11,5.7,5.2,6.1,0.12,,8,7,9,-1.11,,,,,,,16.0,11.0,22.0,13.0,5.0,20.0,7.0,6.0,8.0,26,22,29,-0.2,34,26.0,42.0,-0.18,7.3,0.26,33,26.0,41.0,0.54,24,1.41,15,14,16,-0.65,3,20,15,5,28,-1.03,133,477.4,0.36,28,24,32,-0.58,,,,,,,22.0,14.0,34.0,40.0,20.0,72.0,29.0,24.0,34.0,2436,12,10,13,-0.57,12.0,43.0,2335,0.07,8.0,29.0,3471,0.37,14.0,50.0,1983,0.37,6011,0.29,,,7091.0,,5941.0,39,0.16,,,41.0,,39.0,53,-0.86,,,44.0,,54.0,16224,19286,84,82,86,-0.12,3219,6035,53,47,60,-0.38,590,12172,4.8,1.09,24,15,32,0.17,,,34.0,42.0,21.0,82940,17691,4.7,0.22,1389,5931,23,17,30,-0.38,33,11.8,-0.55,72,254,-0.66,137,98,82,115,-0.15,,,,,,,73.0,36.0,130.0,,,,105.0,87.0,124.0,8.4,-0.42,No,-0.48,14,11,17,13,10,16,2,1,3,1,0,1,0.71,87,86,89,1.05,,,,,,,,,,,,,,,,10921,36,32,40,-0.29,
