,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,48000,Texas,,,302432.0,6620.0,6587.0,6653.0,,3497.0,3089.0,3904.0,,3002.0,2898.0,3106.0,,9892.0,9778.0,10007.0,,5471.0,5424.0,5517.0,,7097.0,7042.0,7152.0,,19,17,20,,3.8,3.5,4.1,,3.8,3.4,4.1,,,8.0,8.0,8.0,,7.0,6.0,7.0,9.0,9.0,9.0,13.0,13.0,14.0,8.0,8.0,8.0,7.0,7.0,7.0,14,13,16,,31,,,,5.9,,23,,,,81,,19,17,21,,4721.0,18368.0,26.0,25.0,26.0,,146510.0,517.6,,31.0,31.0,32.0,,16.0,14.0,17.0,5.0,4.0,5.0,32.0,31.0,32.0,43.0,43.0,43.0,19.0,19.0,19.0,4883741,20,20,20,,17476.0,61.0,1642,,17293.0,60.0,1677,,35047.0,121.0,827,,4793.0,,7270.0,2847.0,7202.0,5237.0,4422.0,37.0,,37.0,33.0,37.0,30.0,39.0,46.0,,46.0,51.0,34.0,37.0,49.0,15173595,18131554,84,84.0,84.0,,4945296,7977267,62,62.0,62.0,,493528,14045334,3.5,,19,19,20,,20.0,10.0,27.0,28.0,9.0,125160,25951,4.8,,1922874,7320250,26,26,27,,21592,7.5,,115228.0,420.0,,81462.0,58.0,57.0,58.0,,35.0,30.0,40.0,22.0,21.0,23.0,64.0,63.0,66.0,39.0,38.0,39.0,77.0,76.0,78.0,7.3,,,,17,17,18,13,13,13,5,5,5,1,1,1,,81,80,81,,76.0,74.0,78.0,76.0,76.0,77.0,81.0,81.0,82.0,79.0,79.0,79.0,82.0,82.0,82.0,13115511,39,39,39,,
1,2,48001,Texas,Anderson,,1139.0,11034.0,10100.0,11967.0,1.45,,,,,,,,,12939.0,10561.0,15317.0,,12493.0,10317.0,14669.0,,10790.0,9529.0,12051.0,,24,22,27,0.14,4.5,4.2,4.9,0.16,4.6,4.3,4.9,0.11,,7.0,7.0,8.0,-0.43,,,,,,,11.0,9.0,13.0,5.0,4.0,6.0,7.0,6.0,8.0,22,19,24,1.18,38,28.0,48.0,1.0,6.4,0.41,27,20.0,35.0,0.25,26,1.41,20,19,20,0.47,10.0,55.0,18.0,12.0,26.0,-0.38,247.0,427.8,0.05,44.0,40.0,48.0,0.3,,,,,,,42.0,33.0,53.0,50.0,41.0,60.0,41.0,36.0,47.0,7202,20,18,22,-0.31,19.0,33.0,3056,0.39,23.0,40.0,2510,-0.31,25.0,43.0,2309,0.34,4905.0,-0.17,,,6230.0,3502.0,4820.0,34.0,-0.16,,,32.0,22.0,34.0,44.0,-0.62,,,35.0,38.0,46.0,34222,42073,81,79.0,83.0,-0.06,7015,18542,38,34.0,41.0,1.15,693,23913,2.9,-0.61,24,16,32,0.16,,,25.0,27.0,17.0,83787,19685,4.3,-0.6,3257,11238,29,22,36,0.49,57,9.8,0.22,241.0,417.0,0.95,253.0,88.0,77.0,98.0,0.39,,,,,,,76.0,56.0,101.0,64.0,44.0,90.0,98.0,83.0,113.0,8.5,0.91,Yes,0.81,14,12,16,9,7,11,4,3,6,1,0,1,-0.11,84,81,87,0.65,,,,,,,81.0,74.0,88.0,80.0,70.0,90.0,87.0,84.0,89.0,18989,28,23,32,-0.27,
2,3,48003,Texas,Andrews,,190.0,7522.0,6110.0,8934.0,-0.55,,,,,,,,,,,,,7204.0,5470.0,9313.0,,7581.0,5369.0,9793.0,,23,21,26,-0.06,4.2,3.9,4.5,-0.59,4.3,4.0,4.6,-0.87,,7.0,6.0,8.0,-0.77,,,,,,,,,,7.0,6.0,9.0,6.0,4.0,8.0,17,15,19,-0.74,31,20.0,44.0,0.01,7.8,-0.9,27,17.0,40.0,0.32,94,-1.58,20,19,21,0.56,16.0,55.0,29.0,22.0,36.0,0.64,74.0,417.6,0.03,56.0,49.0,63.0,1.2,,,,,,,,,,65.0,56.0,74.0,39.0,30.0,51.0,3398,21,19,23,-0.04,9.0,50.0,2014,-0.27,4.0,21.0,4676,0.56,3.0,16.0,6235,0.85,4874.0,-0.19,,,,7562.0,3981.0,27.0,0.88,,,,26.0,27.0,24.0,1.43,,,,19.0,25.0,7731,10700,72,68.0,77.0,1.12,1867,4990,37,30.0,45.0,1.19,221,9906,2.2,-1.23,13,8,17,-1.34,,,,18.0,1.0,133688,33148,4.0,-0.92,992,5688,17,9,26,-0.89,12,6.6,0.85,90.0,494.0,1.42,74.0,82.0,64.0,103.0,0.14,,,,,,,,,,79.0,56.0,107.0,87.0,59.0,123.0,6.3,-0.94,Yes,0.81,14,9,19,7,4,11,6,3,10,1,0,3,-0.06,79,74,84,-0.39,,,,,,,,,,72.0,63.0,81.0,89.0,83.0,95.0,8130,31,24,38,0.02,
3,4,48005,Texas,Angelina,,1377.0,8689.0,8007.0,9372.0,0.11,,,,,,,,,13503.0,11337.0,15669.0,,6039.0,4853.0,7225.0,,8442.0,7547.0,9337.0,,25,22,27,0.22,5.1,4.7,5.4,1.31,5.1,4.8,5.4,1.73,,9.0,8.0,10.0,0.62,,,,12.0,6.0,18.0,14.0,12.0,16.0,8.0,7.0,9.0,8.0,7.0,9.0,20,18,23,0.59,40,36.0,43.0,1.32,6.3,0.5,33,30.0,37.0,1.53,65,-0.31,17,17,18,-0.86,16.0,87.0,18.0,13.0,24.0,-0.36,425.0,484.0,0.2,39.0,36.0,42.0,-0.02,,,,,,,41.0,34.0,48.0,40.0,35.0,45.0,39.0,35.0,42.0,15019,21,19,23,0.04,51.0,59.0,1708,-0.61,44.0,51.0,1971,-0.82,118.0,136.0,735,-1.37,4791.0,-0.24,,,7868.0,3744.0,4458.0,40.0,-1.06,,50.0,42.0,38.0,40.0,49.0,-1.13,,58.0,40.0,47.0,50.0,46925,57275,82,80.0,83.0,-0.14,11987,21861,55,51.0,59.0,-0.34,1440,35893,4.0,0.41,23,15,30,0.0,,,44.0,31.0,16.0,91316,21194,4.3,-0.52,6956,22408,31,27,36,0.74,95,10.9,0.01,275.0,312.0,0.3,303.0,69.0,61.0,77.0,-0.43,,,,,,,81.0,61.0,106.0,36.0,25.0,50.0,80.0,69.0,91.0,9.0,1.34,Yes,0.81,17,15,19,12,10,14,5,4,6,2,1,2,0.83,80,79,82,-0.06,,,,,,,73.0,65.0,82.0,79.0,76.0,83.0,85.0,83.0,88.0,35888,18,16,21,-0.97,
4,5,48007,Texas,Aransas,,513.0,10135.0,8579.0,11690.0,0.94,,,,,,,,,,,,,7560.0,5535.0,10084.0,,11562.0,9301.0,13823.0,,23,21,26,-0.03,4.6,4.2,5.1,0.4,4.7,4.4,5.1,0.56,,10.0,8.0,11.0,1.19,,,,,,,,,,9.0,7.0,11.0,10.0,8.0,12.0,20,17,22,0.25,38,27.0,50.0,1.1,5.4,1.34,34,23.0,46.0,1.68,81,-0.99,19,18,20,0.05,2.0,24.0,8.0,2.0,20.0,-1.29,104.0,406.7,0.0,37.0,31.0,43.0,-0.2,,,,,,,,,,46.0,36.0,56.0,32.0,25.0,40.0,3961,24,22,27,0.76,9.0,38.0,2644,0.19,6.0,26.0,3918,0.36,19.0,81.0,1237,-0.35,2727.0,-1.54,,,,1563.0,2601.0,46.0,-1.96,,47.0,,28.0,47.0,49.0,-1.13,,64.0,33.0,36.0,50.0,15099,17878,84,82.0,86.0,-0.47,1874,4256,44,36.0,52.0,0.61,403,9425,4.3,0.66,32,21,44,1.28,,,,28.0,27.0,101870,20318,5.0,0.5,1115,4587,24,13,35,-0.07,13,5.5,1.08,121.0,477.0,1.32,129.0,104.0,86.0,122.0,1.13,,,,,,,,,,59.0,36.0,91.0,129.0,105.0,153.0,7.4,-0.02,Yes,0.81,15,12,19,12,9,15,2,1,4,1,0,2,0.27,77,73,82,-0.71,,,,,,,,,,77.0,68.0,86.0,78.0,70.0,85.0,9531,27,20,33,-0.35,
5,6,48009,Texas,Archer,,121.0,6352.0,4544.0,8161.0,-1.22,,,,,,,,,,,,,,,,,,,,,17,15,20,-1.28,3.9,3.5,4.3,-1.25,4.4,4.0,4.8,-0.41,,6.0,4.0,8.0,-1.27,,,,,,,,,,,,,,,,18,15,21,-0.31,29,19.0,40.0,-0.46,7.7,-0.8,18,11.0,26.0,-1.55,23,1.59,22,21,23,2.14,3.0,12.0,25.0,10.0,42.0,0.26,13.0,147.6,-0.68,23.0,17.0,31.0,-1.19,,,,,,,,,,,,,,,,1158,16,14,18,-1.2,,,nan,0.0,,,nan,0.0,,,nan,0.0,5402.0,0.15,,,,,,38.0,-0.76,,,,,,47.0,-0.92,,,,44.0,47.0,5544,6137,90,88.0,92.0,-1.24,1171,1897,62,53.0,71.0,-0.95,118,4145,2.8,-0.66,13,8,17,-1.32,,,,23.0,19.0,122841,24086,5.1,0.63,346,1889,18,11,26,-0.79,8,9.1,0.36,11.0,202.0,-0.38,36.0,83.0,58.0,114.0,0.17,,,,,,,,,,,,,,,,7.2,-0.18,No,-1.22,10,6,13,7,3,10,2,0,3,1,0,2,-1.26,85,81,89,0.76,,,,,,,,,,,,,,,,4361,17,13,20,-1.09,
6,7,48011,Texas,Armstrong,x,,,,,0.0,,,,,,,,,,,,,,,,,,,,,16,14,18,-1.61,3.7,3.3,4.1,-1.62,4.3,3.9,4.7,-0.8,x,7.0,,,-0.53,,,,,,,,,,,,,,,,17,14,20,-0.82,22,13.0,38.0,-1.44,6.7,0.13,21,12.0,33.0,-0.9,3,2.47,22,21,23,2.1,1.0,5.0,20.0,2.0,48.0,-0.21,98.0,5215.5,3.0,,,,0.0,,,,,,,,,,,,,,,,244,17,15,19,-1.04,0.0,0.0,1892,1.66,0.0,0.0,1887,1.56,,,nan,0.0,3837.0,-0.84,,,,,,40.0,-1.06,,,,,,27.0,1.12,,,,,,1216,1400,87,82.0,92.0,-0.78,317,408,78,61.0,95.0,-2.35,25,929,2.7,-0.8,17,10,23,-0.8,,,,,,126300,31357,4.0,-0.93,110,456,24,11,37,-0.09,4,21.1,-2.0,3.0,153.0,-0.68,,,,,0.0,,,,,,,,,,,,,,,,5.8,-1.37,No,-1.22,9,4,14,7,0,14,1,0,5,0,0,3,-1.33,71,65,76,-2.04,,,,,,,,,,,,,,,,880,55,40,70,1.79,
7,8,48013,Texas,Atascosa,,647.0,7777.0,6915.0,8639.0,-0.41,,,,,,,,,,,,,7320.0,6297.0,8343.0,,8692.0,7029.0,10355.0,,25,23,28,0.39,4.3,4.0,4.7,-0.29,4.3,4.0,4.7,-0.72,,8.0,7.0,9.0,-0.06,,,,,,,,,,8.0,7.0,9.0,7.0,6.0,9.0,17,15,19,-0.88,40,30.0,52.0,1.47,7.6,-0.71,36,25.0,48.0,2.06,41,0.76,18,17,19,-0.64,7.0,49.0,14.0,8.0,22.0,-0.74,426.0,869.7,1.21,45.0,41.0,48.0,0.37,,,,,,,,,,51.0,47.0,56.0,29.0,23.0,35.0,8648,20,18,22,-0.22,11.0,22.0,4574,0.81,21.0,41.0,2436,-0.37,20.0,39.0,2558,0.42,5877.0,0.45,,,,7217.0,4908.0,29.0,0.58,,,,29.0,29.0,36.0,0.2,,,,32.0,38.0,24226,31431,77,74.0,80.0,0.49,5149,12631,41,36.0,46.0,0.89,779,21707,3.6,0.02,19,11,27,-0.49,,,,24.0,13.0,106461,24537,4.3,-0.48,4124,13615,30,23,38,0.64,34,6.8,0.82,109.0,222.0,-0.25,152.0,61.0,52.0,71.0,-0.78,,,,,,,,,,51.0,40.0,63.0,81.0,63.0,103.0,7.8,0.32,No,-1.22,15,12,17,7,5,9,7,6,9,1,1,2,0.17,80,77,83,-0.19,,,,,,,,,,78.0,74.0,81.0,79.0,73.0,86.0,19458,50,45,55,1.42,
8,9,48015,Texas,Austin,,392.0,7587.0,6400.0,8774.0,-0.52,,,,,,,,,,,,,5707.0,3952.0,7974.0,,8162.0,6516.0,9808.0,,19,17,22,-0.83,3.9,3.6,4.3,-1.09,4.3,4.0,4.7,-0.71,,8.0,7.0,9.0,0.12,,,,,,,12.0,8.0,16.0,8.0,6.0,10.0,8.0,6.0,9.0,17,15,19,-0.84,32,24.0,42.0,0.16,7.9,-0.99,27,19.0,37.0,0.28,26,1.41,21,20,21,1.09,4.0,28.0,14.0,6.0,25.0,-0.74,78.0,261.9,-0.38,28.0,24.0,32.0,-0.81,,,,,,,50.0,35.0,69.0,38.0,30.0,46.0,17.0,13.0,22.0,4767,20,18,22,-0.36,5.0,17.0,5998,1.01,12.0,40.0,2503,-0.32,12.0,40.0,2503,0.4,3746.0,-0.9,,,7194.0,3787.0,3178.0,34.0,-0.16,,,24.0,21.0,36.0,41.0,-0.31,,,31.0,37.0,42.0,16989,20235,84,82.0,86.0,-0.41,3919,6616,59,52.0,66.0,-0.73,483,14096,3.4,-0.13,17,12,22,-0.76,,,41.0,28.0,6.0,118701,24957,4.8,0.13,1274,7097,18,12,24,-0.83,34,11.3,-0.08,70.0,238.0,-0.16,110.0,74.0,60.0,88.0,-0.22,,,,,,,,,,40.0,23.0,64.0,94.0,75.0,116.0,8.5,0.91,No,-1.22,15,12,18,9,6,12,6,3,8,1,0,2,0.23,83,80,86,0.42,,,,,,,81.0,79.0,83.0,79.0,70.0,88.0,85.0,80.0,90.0,13170,41,36,46,0.73,
9,10,48017,Texas,Bailey,,71.0,8325.0,5974.0,11294.0,-0.09,,,,,,,,,,,,,,,,,,,,,26,23,29,0.61,4.5,4.1,4.9,0.14,4.4,4.0,4.7,-0.56,,8.0,6.0,9.0,-0.26,,,,,,,,,,8.0,6.0,11.0,6.0,3.0,8.0,18,16,20,-0.41,26,16.0,39.0,-0.81,7.9,-0.99,19,11.0,30.0,-1.35,82,-1.06,18,17,19,-0.64,3.0,10.0,30.0,13.0,48.0,0.72,32.0,452.2,0.12,61.0,50.0,73.0,1.57,,,,,,,,,,63.0,51.0,77.0,46.0,26.0,75.0,1712,29,26,32,2.06,2.0,28.0,3514,0.55,3.0,43.0,2333,-0.45,2.0,29.0,3500,0.62,7737.0,1.62,,,,5127.0,8640.0,37.0,-0.61,,,,23.0,44.0,42.0,-0.41,,,,39.0,42.0,3284,4269,77,70.0,84.0,0.51,776,1732,45,31.0,59.0,0.54,93,2508,3.7,0.13,26,16,36,0.43,,,,,,93786,27382,3.4,-1.8,410,2061,20,6,34,-0.6,5,7.1,0.75,12.0,160.0,-0.64,37.0,104.0,73.0,144.0,1.13,,,,,,,,,,92.0,57.0,141.0,134.0,76.0,217.0,5.9,-1.28,No,-1.22,19,11,26,7,2,12,10,4,15,3,0,6,1.23,70,60,80,-2.12,,,,,,,,,,62.0,52.0,73.0,84.0,73.0,94.0,3101,26,15,38,-0.36,
